|6.6.6
Archiving\03_Data\eq/QFM_m4.75/NWA1068/NWA1068_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Opx(TH)        ab            
  1948.72        2500.00        98.3219       0.642300        1.01872       0.171200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.3093       0.642436        1.03117       0.171221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.2967       0.642572        1.04362       0.171242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.2841       0.642708        1.05608       0.171262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.2715       0.642843        1.06853       0.171283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.2589       0.642979        1.08100       0.171304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.2463       0.643115        1.09346       0.171325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.2337       0.643251        1.10594       0.171346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.2211       0.643386        1.11841       0.171367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.2089       0.643519        1.13040       0.171387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.1968       0.643652        1.14240       0.171407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.1847       0.643785        1.15440       0.171427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.1725       0.643917        1.16641       0.171447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.1604       0.644050        1.17842       0.171467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.1482       0.644183        1.19043       0.171487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.1361       0.644315        1.20245       0.171508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.1239       0.644448        1.21447       0.171528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        98.1123       0.644578        1.22602       0.171547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.1006       0.644708        1.23757       0.171567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        98.0889       0.644837        1.24912       0.171586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        98.0772       0.644967        1.26068       0.171606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        98.0655       0.645097        1.27224       0.171625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.0538       0.645226        1.28381       0.171645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        98.0421       0.645356        1.29538       0.171664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        98.0304       0.645486        1.30695       0.171684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        98.0192       0.645613        1.31805       0.171703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        98.0079       0.645739        1.32915       0.171722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        97.9967       0.645866        1.34026       0.171740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        97.9855       0.645993        1.35137       0.171759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        97.9742       0.646120        1.36248       0.171778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        97.9630       0.646246        1.37360       0.171797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        97.9517       0.646373        1.38472       0.171816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        97.9405       0.646500        1.39584       0.171835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        97.9297       0.646624        1.40650       0.171853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        97.9189       0.646748        1.41716       0.171871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        97.9081       0.646871        1.42782       0.171890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        97.8973       0.646995        1.43848       0.171908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        97.8865       0.647119        1.44915       0.171926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        97.8757       0.647243        1.45982       0.171945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        97.8649       0.647367        1.47049       0.171963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        97.8541       0.647490        1.48117       0.171981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        97.8438       0.647612        1.49138       0.171999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        97.8335       0.647733        1.50159       0.172016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        97.8231       0.647854        1.51180       0.172034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        97.8128       0.647975        1.52202       0.172052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        97.8025       0.648096        1.53224       0.172069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        97.7921       0.648216        1.54247       0.172087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        97.7818       0.648337        1.55269       0.172105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        97.7714       0.648458        1.56292       0.172122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        97.7615       0.648577        1.57269       0.172140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        97.7516       0.648695        1.58246       0.172157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        97.7417       0.648813        1.59223       0.172174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        97.7318       0.648931        1.60200       0.172191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        97.7219       0.649049        1.61178       0.172208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        97.7120       0.649167        1.62156       0.172225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        97.7021       0.649286        1.63134       0.172242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        97.6922       0.649404        1.64113       0.172259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        97.6828       0.649519        1.65045       0.172276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        97.6734       0.649635        1.65977       0.172292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        97.6639       0.649750        1.66909       0.172308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        97.6545       0.649865        1.67842       0.172325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        97.6450       0.649981        1.68775       0.172341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        97.6356       0.650096        1.69708       0.172358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        97.6261       0.650211        1.70641       0.172374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        97.6167       0.650327        1.71575       0.172391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        97.6077       0.650439        1.72462       0.172407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        97.5987       0.650552        1.73350       0.172423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        97.5897       0.650665        1.74238       0.172439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        97.5807       0.650778        1.75126       0.172455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        97.5717       0.650890        1.76014       0.172471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        97.5627       0.651003        1.76903       0.172486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        97.5537       0.651115        1.77791       0.172502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        97.5447       0.651228        1.78680       0.172518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        97.5362       0.651338        1.79523       0.172534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        97.5276       0.651448        1.80366       0.172549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        97.5191       0.651558        1.81209       0.172564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        97.5105       0.651668        1.82053       0.172580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        97.5020       0.651778        1.82896       0.172595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        97.4935       0.651888        1.83740       0.172610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        97.4849       0.651998        1.84584       0.172626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        97.4763       0.652108        1.85428       0.172641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        97.4681       0.652216        1.86237       0.172656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        97.4599       0.652324        1.87047       0.172671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        97.4517       0.652432        1.87856       0.172686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        97.4435       0.652539        1.88666       0.172701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        97.4355       0.652646        1.89459       0.172716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        97.4274       0.652753        1.90253       0.172730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        97.4195       0.652860        1.91036       0.172745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.4112       0.652966        1.91809       0.172759E-001  0.482378E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        97.3946       0.653078        1.92458       0.172775E-001  0.105105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        97.3779       0.653189        1.93106       0.172791E-001  0.205423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        97.3613       0.653300        1.93755       0.172807E-001  0.305778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        97.3447       0.653412        1.94404       0.172823E-001  0.406168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        97.3280       0.653523        1.95053       0.172839E-001  0.506595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        97.3114       0.653634        1.95702       0.172855E-001  0.607059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        97.2947       0.653745        1.96352       0.172871E-001  0.707559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        97.2780       0.653857        1.97001       0.172887E-001  0.808095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        97.2712       0.653937        1.97261       0.172895E-001  0.849301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        96.5831       0.654055        1.94774       0.169155E-001  0.101803       0.696385                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        95.9314       0.654138        1.91931       0.165517E-001  0.112908        1.36571                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        95.2795       0.654219        1.89088       0.161878E-001  0.124016        2.03518                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        94.6354       0.654288        1.86004       0.158192E-001  0.134826        2.69959                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        93.9912       0.654356        1.82919       0.154506E-001  0.145639        3.36412                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        93.3470       0.654421        1.79833       0.150819E-001  0.156454        4.02875                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        92.7026       0.654485        1.76746       0.147131E-001  0.167270        4.69349                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        92.0776       0.654528        1.73159       0.143386E-001  0.177565        5.34435                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        91.4526       0.654568        1.69571       0.139641E-001  0.187861        5.99527                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        90.8276       0.654607        1.65983       0.135895E-001  0.198159        6.64622                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        90.2025       0.654644        1.62394       0.132150E-001  0.208457        7.29722                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        89.5774       0.654679        1.58805       0.128404E-001  0.218755        7.94826                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        88.9523       0.654713        1.55215       0.124658E-001  0.229055        8.59932                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        88.3271       0.654745        1.51625       0.120912E-001  0.239355        9.25041                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        87.7020       0.654775        1.48034       0.117166E-001  0.249656        9.90152                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        87.1086       0.654776        1.43751       0.113418E-001  0.259280        10.5285                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        86.5153       0.654776        1.39469       0.109670E-001  0.268903        11.1553                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        85.9221       0.654774        1.35186       0.105923E-001  0.278526        11.7822                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        85.3288       0.654771        1.30903       0.102176E-001  0.288149        12.4090                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        84.7357       0.654766        1.26621       0.984300E-002  0.297771        13.0358                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        84.1426       0.654760        1.22338       0.946840E-002  0.307392        13.6624                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        83.5495       0.654752        1.18056       0.909384E-002  0.317012        14.2891                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        82.9565       0.654743        1.13774       0.871933E-002  0.326632        14.9156                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        82.3969       0.654704        1.08729       0.834931E-002  0.335599        15.5172                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        81.8373       0.654663        1.03685       0.797937E-002  0.344564        16.1186                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        81.2779       0.654621       0.986420       0.760953E-002  0.353527        16.7199                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        80.7186       0.654578       0.935996       0.723977E-002  0.362489        17.3211                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        80.1594       0.654534       0.885581       0.687010E-002  0.371449        17.9222                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        79.6003       0.654488       0.835177       0.650053E-002  0.380408        18.5231                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        79.0414       0.654441       0.784782       0.613105E-002  0.389364        19.1239                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        78.4826       0.654393       0.734397       0.576166E-002  0.398319        19.7245                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        77.9426       0.654324       0.678546       0.539447E-002  0.406960        20.3122                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        77.4027       0.654255       0.622710       0.502740E-002  0.415599        20.8997                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        76.8682       0.654177       0.565070       0.466062E-002  0.423906        21.4840                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        75.7352       0.655023       0.554493       0.468695E-002  0.435529        21.5063        1.10875                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        74.5443       0.655971       0.548842       0.474819E-002  0.446993        21.4828        2.31638                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        73.3500       0.656921       0.543175       0.480959E-002  0.458490        21.4592        3.52748                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        72.1523       0.657872       0.537491       0.487115E-002  0.470020        21.4354        4.74206                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        70.9512       0.658825       0.531790       0.493288E-002  0.481583        21.4115        5.96012                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        69.6402       0.659928       0.530673       0.500381E-002  0.493138        21.3814        7.28962                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        68.3249       0.661032       0.529552       0.507497E-002  0.504731        21.3512        8.62354                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        67.0052       0.662139       0.528425       0.514634E-002  0.516364        21.3208        9.96190                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        65.6812       0.663248       0.527294       0.521793E-002  0.528035        21.2903        11.3047                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        64.2455       0.664477       0.527759       0.527292E-002  0.539808        21.2871        12.7300                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        62.6089       0.665891       0.532683       0.528261E-002  0.550460        21.3602       0.916998        13.3596                 NaN            NaN            NaN            NaN
  1490.38        2500.00        62.6073       0.665928       0.532690       0.528252E-002  0.550498        21.3611       0.917035        13.3602                 NaN            NaN            NaN            NaN
  1487.18        2500.00        59.3457       0.668684       0.537524       0.525132E-002  0.571549        21.5766        3.41972        13.8750                 NaN            NaN            NaN            NaN
  1483.97        2500.00        59.3441       0.668719       0.537530       0.525122E-002  0.571587        21.5774        3.41985        13.8755                 NaN            NaN            NaN            NaN
  1480.77        2500.00        59.3425       0.668753       0.537535       0.525111E-002  0.571624        21.5783        3.41998        13.8761                 NaN            NaN            NaN            NaN
  1477.56        2500.00        59.3409       0.668788       0.537541       0.525101E-002  0.571662        21.5791        3.42011        13.8766                 NaN            NaN            NaN            NaN
  1474.36        2500.00        59.3392       0.668823       0.537546       0.525090E-002  0.571700        21.5800        3.42024        13.8772                 NaN            NaN            NaN            NaN
  1471.15        2500.00        59.3376       0.668858       0.537552       0.525080E-002  0.571738        21.5809        3.42037        13.8778                 NaN            NaN            NaN            NaN
  1467.95        2500.00        59.3360       0.668892       0.537557       0.525070E-002  0.571775        21.5817        3.42050        13.8783                 NaN            NaN            NaN            NaN
  1464.74        2500.00        59.3344       0.668927       0.537563       0.525060E-002  0.571813        21.5826        3.42063        13.8789                 NaN            NaN            NaN            NaN
  1461.54        2500.00        48.2367       0.677631       0.441251       0.486607E-002  0.662894        22.7852        15.6745        11.5170                 NaN            NaN            NaN            NaN
  1458.33        2500.00        48.2351       0.677659       0.441251       0.486593E-002  0.662932        22.7859        15.6750        11.5173                 NaN            NaN            NaN            NaN
  1455.13        2500.00        48.2335       0.677688       0.441252       0.486579E-002  0.662971        22.7866        15.6755        11.5176                 NaN            NaN            NaN            NaN
  1451.92        2500.00        48.2319       0.677717       0.441252       0.486565E-002  0.663009        22.7873        15.6760        11.5179                 NaN            NaN            NaN            NaN
  1448.72        2500.00        48.2304       0.677745       0.441253       0.486551E-002  0.663048        22.7880        15.6765        11.5183                 NaN            NaN            NaN            NaN
  1445.51        2500.00        48.2288       0.677774       0.441253       0.486537E-002  0.663086        22.7887        15.6769        11.5186                 NaN            NaN            NaN            NaN
  1442.31        2500.00        48.2272       0.677802       0.441254       0.486523E-002  0.663125        22.7894        15.6774        11.5189                 NaN            NaN            NaN            NaN
  1439.10        2500.00        48.2256       0.677831       0.441255       0.486510E-002  0.663163        22.7901        15.6779        11.5193                 NaN            NaN            NaN            NaN
  1435.90        2500.00        39.4969       0.683577       0.153597       0.398130E-002  0.783073        24.7517        16.3838        17.7434                 NaN            NaN            NaN            NaN
  1432.69        2500.00        39.4954       0.683601       0.153596       0.398116E-002  0.783113        24.7523        16.3842        17.7437                 NaN            NaN            NaN            NaN
  1429.49        2500.00        37.5975       0.684648       0.493108E-001  0.366896E-002  0.819923        25.3916        16.3292        19.1242                 NaN            NaN            NaN            NaN
  1426.28        2500.00        36.6692       0.685193                 NaN  0.352800E-002  0.840001        25.6871        16.3221        19.7929                 NaN            NaN            NaN            NaN
  1423.08        2500.00        35.6453       0.686146                 NaN  0.356489E-002  0.860999        25.6862        16.6842        20.4336                 NaN            NaN            NaN            NaN
  1419.87        2500.00        35.6440       0.686167                 NaN  0.356475E-002  0.861041        25.6867        16.6845        20.4340                 NaN            NaN            NaN            NaN
  1416.67        2500.00        33.6895       0.687988                 NaN  0.363808E-002  0.905785        25.6662        21.6547        17.3921                 NaN            NaN            NaN            NaN
  1413.46        2500.00        32.7563       0.688877                 NaN  0.367589E-002  0.929011        25.6503        22.2338        17.7381                 NaN            NaN            NaN            NaN
  1410.26        2500.00        31.2842       0.689857                 NaN  0.364526E-002  0.939364        25.7785        18.1533        22.7590       0.392142                 NaN            NaN            NaN
  1407.05        2500.00        31.2831       0.689875                 NaN  0.364511E-002  0.939407        25.7789        18.1536        22.7593       0.392172                 NaN            NaN            NaN
  1403.85        2500.00        31.2819       0.689894                 NaN  0.364495E-002  0.939450        25.7793        18.1540        22.7596       0.392201                 NaN            NaN            NaN
  1400.64        2500.00        31.2808       0.689912                 NaN  0.364479E-002  0.939492        25.7797        18.1543        22.7600       0.392230                 NaN            NaN            NaN
  1397.44        2500.00        31.2796       0.689930                 NaN  0.364464E-002  0.939535        25.7801        18.1546        22.7603       0.392260                 NaN            NaN            NaN
  1394.23        2500.00        31.2785       0.689949                 NaN  0.364448E-002  0.939578        25.7805        18.1549        22.7606       0.392289                 NaN            NaN            NaN
  1391.03        2500.00        31.2773       0.689967                 NaN  0.364433E-002  0.939620        25.7809        18.1553        22.7609       0.392318                 NaN            NaN            NaN
  1387.82        2500.00        31.2762       0.689985                 NaN  0.364418E-002  0.939663        25.7813        18.1556        22.7613       0.392348                 NaN            NaN            NaN
  1384.62        2500.00        20.9604       0.695913                 NaN  0.312442E-002  0.959245        26.9171        21.1658        25.1107        4.18766                 NaN            NaN            NaN
  1381.41        2500.00        20.9596       0.695924                 NaN  0.312425E-002  0.959279        26.9173        21.1660        25.1109        4.18793                 NaN            NaN            NaN
  1378.21        2500.00        20.9588       0.695936                 NaN  0.312409E-002  0.959313        26.9175        21.1662        25.1110        4.18820                 NaN            NaN            NaN
  1375.00        2500.00        20.9581       0.695947                 NaN  0.312393E-002  0.959347        26.9176        21.1663        25.1111        4.18848                 NaN            NaN            NaN
  1371.79        2500.00        20.9573       0.695958                 NaN  0.312377E-002  0.959381        26.9178        21.1665        25.1112        4.18875                 NaN            NaN            NaN
  1368.59        2500.00        20.9565       0.695970                 NaN  0.312361E-002  0.959415        26.9179        21.1667        25.1113        4.18902                 NaN            NaN            NaN
  1365.38        2500.00        20.9558       0.695981                 NaN  0.312344E-002  0.959448        26.9181        21.1669        25.1114        4.18929                 NaN            NaN            NaN
  1362.18        2500.00        20.9550       0.695993                 NaN  0.312328E-002  0.959482        26.9182        21.1670        25.1116        4.18956                 NaN            NaN            NaN
