|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.75/WD94/WD94_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q              hed           
  1530.41        500.000        99.3155       0.681116       0.339509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.3214       0.657698       0.209393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.3254       0.663629       0.109302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.3307       0.660443       0.888303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.0189       0.953127       0.279970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.6534       0.327838       0.187895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.3440       0.650284       0.571384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.3502       0.642242       0.758953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.3536       0.644125       0.224624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.3583       0.641685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.3653       0.596965       0.377453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.3677       0.624870       0.744039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.3691       0.630891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.5782       0.421838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000        99.1728       0.822286       0.496025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.3861       0.591834       0.220699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000        99.3858       0.614240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000        99.3884       0.611562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000        99.3926       0.607414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.3951       0.604861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000        99.3998       0.600200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000        99.4031       0.596882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000        99.4062       0.593849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        500.000        99.4106       0.589381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        500.000        99.4134       0.586643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4167       0.583282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        500.000        99.4206       0.579415       0.173528E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.4230       0.577046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        500.000        99.4031       0.596917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000        99.4517       0.548302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        500.000        99.4303       0.569653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.4344       0.565596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        500.000        99.4362       0.563771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        500.000        99.4395       0.560466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        500.000        99.4456       0.554441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        500.000        99.4445       0.555525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000        99.4490       0.550966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        500.000        99.4513       0.548677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        500.000        99.4485       0.551493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        500.000        99.4575       0.542505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        500.000        99.4582       0.541814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        500.000        99.4595       0.540492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        500.000        99.4631       0.536880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        500.000        99.4643       0.535723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        500.000        99.4545       0.472353                 NaN            NaN  0.731901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        500.000        99.2920                 NaN            NaN            NaN  0.707969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        500.000        99.2870                 NaN            NaN            NaN  0.713045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        500.000        99.2654                 NaN            NaN            NaN  0.207029E-001  0.713901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        500.000        98.8512                 NaN            NaN            NaN  0.419332       0.729511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        500.000        98.8754                 NaN            NaN            NaN  0.411062       0.713527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        500.000        98.8557                 NaN            NaN            NaN  0.416972       0.727345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        500.000        98.8810                 NaN            NaN            NaN  0.405545       0.713455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        500.000        98.8947                 NaN            NaN            NaN  0.702802       0.402480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        500.000        98.9027                 NaN            NaN            NaN  0.699063       0.398263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        500.000        98.9120                 NaN            NaN            NaN  0.693506       0.394521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        500.000        98.9196                 NaN            NaN            NaN  0.688721       0.391664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        500.000        98.9299                 NaN            NaN            NaN  0.682846       0.387256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        500.000        98.9386                 NaN            NaN            NaN  0.384248       0.677157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        500.000        98.9453                 NaN            NaN            NaN  0.381240       0.673495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        500.000        98.9554                 NaN            NaN            NaN  0.667615       0.376953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        500.000        98.9666                 NaN            NaN            NaN  0.660739       0.372708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        500.000        98.9727                 NaN            NaN            NaN  0.369860       0.657429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        500.000        98.9805                 NaN            NaN            NaN  0.652917       0.366580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        500.000        98.9880                 NaN            NaN            NaN  0.363495       0.648486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        500.000        98.9969                 NaN            NaN            NaN  0.644062       0.359027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        500.000        99.0046                 NaN            NaN            NaN  0.638860       0.356573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        500.000        99.0110                 NaN            NaN            NaN  0.353506       0.635538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        99.0190                 NaN            NaN            NaN  0.630457       0.350542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        500.000        99.0270                 NaN            NaN            NaN  0.625753       0.347247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        500.000        99.0340                 NaN            NaN            NaN  0.621576       0.344465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        500.000        98.6017                 NaN            NaN            NaN  0.542725       0.673333                 NaN  0.182233                 NaN            NaN            NaN            NaN            NaN
  1424.33        500.000        97.2302                 NaN            NaN            NaN   1.17387       0.836419                 NaN  0.759483                 NaN            NaN            NaN            NaN            NaN
  1422.83        500.000        97.2878                 NaN            NaN            NaN  0.818772        1.14987                 NaN  0.743592                 NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        97.3441                 NaN            NaN            NaN  0.803155        1.12541                 NaN  0.727388                 NaN            NaN            NaN            NaN            NaN
  1419.84        500.000        97.3921                 NaN            NaN            NaN  0.789264        1.10464                 NaN  0.713968                 NaN            NaN            NaN            NaN            NaN
  1418.35        500.000        97.4442                 NaN            NaN            NaN   1.08277       0.773627                 NaN  0.699412                 NaN            NaN            NaN            NaN            NaN
  1416.86        500.000        97.4928                 NaN            NaN            NaN   1.06247       0.759315                 NaN  0.685455                 NaN            NaN            NaN            NaN            NaN
  1415.36        500.000        97.5469                 NaN            NaN            NaN  0.744080        1.03905                 NaN  0.669964                 NaN            NaN            NaN            NaN            NaN
  1413.87        500.000        97.5870                 NaN            NaN            NaN  0.732357        1.02203                 NaN  0.658570                 NaN            NaN            NaN            NaN            NaN
  1412.37        500.000        97.6282                 NaN            NaN            NaN   1.00524       0.719707                 NaN  0.646822                 NaN            NaN            NaN            NaN            NaN
  1410.88        500.000        97.6735                 NaN            NaN            NaN  0.706549       0.985952                 NaN  0.633966                 NaN            NaN            NaN            NaN            NaN
  1409.39        500.000        97.7141                 NaN            NaN            NaN  0.968743       0.694562                 NaN  0.622582                 NaN            NaN            NaN            NaN            NaN
  1407.89        500.000        97.7531                 NaN            NaN            NaN  0.952589       0.683008                 NaN  0.611263                 NaN            NaN            NaN            NaN            NaN
  1406.40        500.000        97.7896                 NaN            NaN            NaN  0.671885       0.937526                 NaN  0.600940                 NaN            NaN            NaN            NaN            NaN
  1404.90        500.000        97.8291                 NaN            NaN            NaN  0.659872       0.921272                 NaN  0.589713                 NaN            NaN            NaN            NaN            NaN
  1403.41        500.000        97.8643                 NaN            NaN            NaN  0.906632       0.649315                 NaN  0.579706                 NaN            NaN            NaN            NaN            NaN
  1401.92        500.000        97.8934                 NaN  0.933285E-001            NaN  0.670034       0.759945                 NaN  0.583296                 NaN            NaN            NaN            NaN            NaN
  1400.42        500.000        97.8982                 NaN  0.248008                 NaN  0.716207       0.534995                 NaN  0.602620                 NaN            NaN            NaN            NaN            NaN
  1398.93        500.000        97.9635                 NaN  0.246292                 NaN  0.507926       0.699384                 NaN  0.582901                 NaN            NaN            NaN            NaN            NaN
  1397.43        500.000        97.9882                 NaN  0.250119                 NaN  0.692358       0.492420                 NaN  0.576891                 NaN            NaN            NaN            NaN            NaN
  1395.94        500.000        98.0194                 NaN  0.253847                 NaN  0.685765       0.472598                 NaN  0.568376                 NaN            NaN            NaN            NaN            NaN
  1394.45        500.000        98.0462                 NaN  0.258255                 NaN  0.453926       0.680375                 NaN  0.561235                 NaN            NaN            NaN            NaN            NaN
  1392.95        500.000        98.0784                 NaN  0.261057                 NaN  0.435563       0.672827                 NaN  0.552133                 NaN            NaN            NaN            NaN            NaN
  1391.46        500.000        98.1057                 NaN  0.264122                 NaN  0.666596       0.418817                 NaN  0.544730                 NaN            NaN            NaN            NaN            NaN
  1389.96        500.000        98.1346                 NaN  0.267776                 NaN  0.400643       0.660098                 NaN  0.536909                 NaN            NaN            NaN            NaN            NaN
  1388.47        500.000        98.1484                 NaN  0.274525                 NaN  0.383693       0.659004                 NaN  0.534347                 NaN            NaN            NaN            NaN            NaN
  1386.97        500.000        98.2041                 NaN  0.270854                 NaN  0.364085       0.644145                 NaN  0.516795                 NaN            NaN            NaN            NaN            NaN
  1385.48        500.000        98.2122                 NaN  0.277945                 NaN  0.643617       0.350813                 NaN  0.515458                 NaN            NaN            NaN            NaN            NaN
  1383.99        500.000        98.2377                 NaN  0.280654                 NaN  0.335850       0.637752                 NaN  0.508070                 NaN            NaN            NaN            NaN            NaN
  1382.49        500.000        98.2655                 NaN  0.283790                 NaN  0.631633       0.318288                 NaN  0.500787                 NaN            NaN            NaN            NaN            NaN
  1381.00        500.000        98.2835                 NaN  0.288354                 NaN  0.629512       0.302570                 NaN  0.496085                 NaN            NaN            NaN            NaN            NaN
  1379.50        500.000        98.3138                 NaN  0.288358                 NaN  0.620281       0.290425                 NaN  0.487177                 NaN            NaN            NaN            NaN            NaN
  1378.01        500.000        98.3277                 NaN  0.297800                 NaN  0.618166       0.272071                 NaN  0.484213                 NaN            NaN            NaN            NaN            NaN
  1376.52        500.000        98.3623                 NaN  0.294256                 NaN  0.258787       0.611230                 NaN  0.473407                 NaN            NaN            NaN            NaN            NaN
  1375.02        500.000        98.3791                 NaN  0.297352                 NaN  0.247504       0.606975                 NaN  0.469058                 NaN            NaN            NaN            NaN            NaN
  1373.53        500.000        98.3987                 NaN  0.302292                 NaN  0.604571       0.230508                 NaN  0.463928                 NaN            NaN            NaN            NaN            NaN
  1372.03        500.000        98.4200                 NaN  0.304383                 NaN  0.600136       0.217738                 NaN  0.457749                 NaN            NaN            NaN            NaN            NaN
  1370.54        500.000        98.4424                 NaN  0.307275                 NaN  0.595621       0.202835                 NaN  0.451844                 NaN            NaN            NaN            NaN            NaN
  1369.05        500.000        98.4583                 NaN  0.309985                 NaN  0.190117       0.594325                 NaN  0.447305                 NaN            NaN            NaN            NaN            NaN
  1367.55        500.000        98.4810                 NaN  0.312572                 NaN  0.588072       0.177424                 NaN  0.440901                 NaN            NaN            NaN            NaN            NaN
  1366.06        500.000        98.7623                 NaN  0.261580                 NaN  0.494066       0.120757                 NaN  0.361259                 NaN            NaN            NaN            NaN            NaN
  1364.56        500.000        98.2333                 NaN  0.370543                 NaN  0.689802       0.197014                 NaN  0.509366                 NaN            NaN            NaN            NaN            NaN
  1363.07        500.000        98.5417                 NaN  0.317173                 NaN  0.142885       0.574804                 NaN  0.423479                 NaN            NaN            NaN            NaN            NaN
  1361.57        500.000        98.5499                 NaN  0.322935                 NaN  0.574931       0.130700                 NaN  0.421556                 NaN            NaN            NaN            NaN            NaN
  1360.08        500.000        98.5746                 NaN  0.323185                 NaN  0.569610       0.118166                 NaN  0.414409                 NaN            NaN            NaN            NaN            NaN
  1358.59        500.000        98.5896                 NaN  0.325968                 NaN  0.107396       0.566757                 NaN  0.410313                 NaN            NaN            NaN            NaN            NaN
  1357.09        500.000        98.6047                 NaN  0.328848                 NaN  0.962685E-001  0.564079                 NaN  0.406147                 NaN            NaN            NaN            NaN            NaN
  1355.60        500.000        98.6221                 NaN  0.328883                 NaN  0.560694       0.876466E-001            NaN  0.400630                 NaN            NaN            NaN            NaN            NaN
  1354.10        500.000        98.6380                 NaN  0.331184                 NaN  0.763813E-001  0.558045                 NaN  0.396366                 NaN            NaN            NaN            NaN            NaN
  1352.61        500.000        98.6514                 NaN  0.332699                 NaN  0.555126       0.684905E-001            NaN  0.392326                 NaN            NaN            NaN            NaN            NaN
  1351.12        500.000        98.6705                 NaN  0.333311                 NaN  0.550535       0.588890E-001            NaN  0.386778                 NaN            NaN            NaN            NaN            NaN
  1349.62        500.000        98.6846                 NaN  0.335185                 NaN  0.548119       0.492819E-001            NaN  0.382768                 NaN            NaN            NaN            NaN            NaN
  1348.13        500.000        98.6995                 NaN  0.336308                 NaN  0.408496E-001  0.544856                 NaN  0.378499                 NaN            NaN            NaN            NaN            NaN
  1346.63        500.000        98.7145                 NaN  0.337027                 NaN  0.541996       0.325722E-001            NaN  0.373947                 NaN            NaN            NaN            NaN            NaN
  1345.14        500.000        98.7279                 NaN  0.337716                 NaN  0.538988       0.254667E-001            NaN  0.369921                 NaN            NaN            NaN            NaN            NaN
  1343.65        500.000        98.7421                 NaN  0.337998                 NaN  0.182474E-001  0.535919                 NaN  0.365719                 NaN            NaN            NaN            NaN            NaN
  1342.15        500.000        98.7559                 NaN  0.338476                 NaN  0.532860       0.112951E-001            NaN  0.361478                 NaN            NaN            NaN            NaN            NaN
  1340.66        500.000        98.7718                 NaN  0.339473                 NaN  0.529112       0.247982E-002            NaN  0.357092                 NaN            NaN            NaN            NaN            NaN
  1339.16        500.000        98.7819                 NaN  0.338386                 NaN  0.526085                 NaN            NaN  0.353653                 NaN            NaN            NaN            NaN            NaN
  1337.67        500.000        98.7792                 NaN  0.287232                 NaN  0.481568       0.103915                 NaN  0.348067                 NaN            NaN            NaN            NaN            NaN
  1336.17        500.000        98.8085                 NaN  0.331854                 NaN  0.514984                 NaN            NaN  0.344710                 NaN            NaN            NaN            NaN            NaN
  1334.68        500.000        98.8189                 NaN  0.329909                 NaN  0.509892                 NaN            NaN  0.341263                 NaN            NaN            NaN            NaN            NaN
  1333.19        500.000        98.8317                 NaN  0.327141                 NaN  0.504011                 NaN            NaN  0.337148                 NaN            NaN            NaN            NaN            NaN
  1331.69        500.000        98.7960                 NaN  0.251773                 NaN  0.442971       0.170200                 NaN  0.339031                 NaN            NaN            NaN            NaN            NaN
  1330.20        500.000        98.8752                 NaN  0.316086                 NaN  0.486781                 NaN            NaN  0.321891                 NaN            NaN            NaN            NaN            NaN
  1328.70        500.000        98.8653                 NaN  0.319739                 NaN  0.489055                 NaN            NaN  0.325934                 NaN            NaN            NaN            NaN            NaN
  1327.21        500.000        98.8770                 NaN  0.316941                 NaN  0.484012                 NaN            NaN  0.322018                 NaN            NaN            NaN            NaN            NaN
  1325.72        500.000        98.8877                 NaN  0.315407                 NaN  0.478270                 NaN            NaN  0.318588                 NaN            NaN            NaN            NaN            NaN
  1324.22        500.000        98.8983                 NaN  0.310356                 NaN  0.476486                 NaN            NaN  0.314874                 NaN            NaN            NaN            NaN            NaN
  1322.73        500.000        98.9100                 NaN  0.308731                 NaN  0.470302                 NaN            NaN  0.310979                 NaN            NaN            NaN            NaN            NaN
  1321.23        500.000        98.9197                 NaN  0.307146                 NaN  0.465322                 NaN            NaN  0.307846                 NaN            NaN            NaN            NaN            NaN
  1319.74        500.000        98.9313                 NaN  0.303167                 NaN  0.461637                 NaN            NaN  0.303932                 NaN            NaN            NaN            NaN            NaN
  1318.25        500.000        98.8563                 NaN  0.302632                 NaN  0.863782E-001  0.420425                 NaN  0.334232                 NaN            NaN            NaN            NaN            NaN
  1316.75        500.000        99.0223                 NaN  0.254889                 NaN  0.459752                 NaN            NaN  0.263021                 NaN            NaN            NaN            NaN            NaN
  1315.26        500.000        98.9635                 NaN  0.294620                 NaN  0.448979                 NaN            NaN  0.292938                 NaN            NaN            NaN            NaN            NaN
  1313.76        500.000        98.9701                 NaN  0.293762                 NaN  0.445191                 NaN            NaN  0.290922                 NaN            NaN            NaN            NaN            NaN
  1312.27        500.000        98.9822                 NaN  0.289945                 NaN  0.440903                 NaN            NaN  0.286914                 NaN            NaN            NaN            NaN            NaN
  1310.77        500.000        98.9893                 NaN  0.287141                 NaN  0.439128                 NaN            NaN  0.284396                 NaN            NaN            NaN            NaN            NaN
  1309.28        500.000        99.0024                 NaN  0.284470                 NaN  0.432848                 NaN            NaN  0.280255                 NaN            NaN            NaN            NaN            NaN
  1307.79        500.000        99.0109                 NaN  0.281928                 NaN  0.429694                 NaN            NaN  0.277447                 NaN            NaN            NaN            NaN            NaN
  1306.29        500.000        99.0208                 NaN  0.279834                 NaN  0.425028                 NaN            NaN  0.274321                 NaN            NaN            NaN            NaN            NaN
  1304.80        500.000        99.0304                 NaN  0.275774                 NaN  0.422807                 NaN            NaN  0.271029                 NaN            NaN            NaN            NaN            NaN
  1303.30        500.000        99.0386                 NaN  0.273448                 NaN  0.419743                 NaN            NaN  0.268192                 NaN            NaN            NaN            NaN            NaN
  1301.81        500.000        99.0488                 NaN  0.270725                 NaN  0.415507                 NaN            NaN  0.264926                 NaN            NaN            NaN            NaN            NaN
