|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           Sp(TH)         an             San(TH)        ilm            q             
  1379.09        500.000        98.7959       0.440916       0.380165                 NaN            NaN  0.297367E-001            NaN  0.353328                 NaN            NaN            NaN
  1378.00        500.000        99.4319       0.178970       0.208553                 NaN            NaN  0.140223E-001            NaN  0.166569                 NaN            NaN            NaN
  1376.91        500.000        99.1299       0.274020       0.319566                 NaN            NaN  0.213071E-001            NaN  0.255207                 NaN            NaN            NaN
  1375.81        500.000        99.1427       0.269736       0.315464                 NaN            NaN  0.207345E-001            NaN  0.251348                 NaN            NaN            NaN
  1374.72        500.000        99.1534       0.266163       0.311934                 NaN            NaN  0.202819E-001            NaN  0.248206                 NaN            NaN            NaN
  1373.63        500.000        99.1642       0.308703       0.262481                 NaN            NaN  0.197089E-001            NaN  0.244945                 NaN            NaN            NaN
  1372.54        500.000        99.1733       0.306026       0.258962                 NaN            NaN  0.193904E-001            NaN  0.242292                 NaN            NaN            NaN
  1371.44        500.000        99.1852       0.301935       0.255258                 NaN            NaN  0.188059E-001            NaN  0.238767                 NaN            NaN            NaN
  1370.35        500.000        99.1990       0.298049       0.250483                 NaN            NaN  0.181420E-001            NaN  0.234364                 NaN            NaN            NaN
  1369.26        500.000        99.2063       0.248110       0.295408                 NaN            NaN  0.178326E-001            NaN  0.232330                 NaN            NaN            NaN
  1368.17        500.000        99.2151       0.244878       0.292931                 NaN            NaN  0.173387E-001            NaN  0.229794                 NaN            NaN            NaN
  1367.07        500.000        99.2269       0.241130       0.289029                 NaN            NaN  0.168721E-001            NaN  0.226115                 NaN            NaN            NaN
  1365.98        500.000        99.2319       0.238959       0.287698                 NaN            NaN  0.166612E-001            NaN  0.224732                 NaN            NaN            NaN
  1364.89        500.000        99.2486       0.282469       0.233576                 NaN            NaN  0.158689E-001            NaN  0.219441                 NaN            NaN            NaN
  1363.80        500.000        99.2535       0.231971       0.280817                 NaN            NaN  0.155731E-001            NaN  0.218148                 NaN            NaN            NaN
  1362.70        500.000        99.2609       0.229296       0.278582                 NaN            NaN  0.152053E-001            NaN  0.216012                 NaN            NaN            NaN
  1361.61        500.000        99.2736       0.225245       0.274333                 NaN            NaN  0.147941E-001            NaN  0.211995                 NaN            NaN            NaN
  1360.52        500.000        99.2816       0.222292       0.272135                 NaN            NaN  0.143161E-001            NaN  0.209646                 NaN            NaN            NaN
  1359.43        500.000        99.2889       0.219555       0.270041                 NaN            NaN  0.139720E-001            NaN  0.207484                 NaN            NaN            NaN
  1358.33        500.000        99.2976       0.216642       0.267313                 NaN            NaN  0.135829E-001            NaN  0.204866                 NaN            NaN            NaN
  1357.24        500.000        99.3056       0.265014       0.213852                 NaN            NaN  0.131367E-001            NaN  0.202415                 NaN            NaN            NaN
  1356.15        500.000        99.3112       0.212253       0.262714                 NaN            NaN  0.129710E-001            NaN  0.200834                 NaN            NaN            NaN
  1355.06        500.000        99.3239       0.259855       0.207204                 NaN            NaN  0.122471E-001            NaN  0.196749                 NaN            NaN            NaN
  1353.96        500.000        99.3289       0.258208       0.205435                 NaN            NaN  0.120073E-001            NaN  0.195412                 NaN            NaN            NaN
  1352.87        500.000        99.3368       0.255813       0.202869                 NaN            NaN  0.115770E-001            NaN  0.192948                 NaN            NaN            NaN
  1351.78        500.000        99.3444       0.253298       0.199979                 NaN            NaN  0.114350E-001            NaN  0.190857                 NaN            NaN            NaN
  1350.69        500.000        99.3522       0.251336       0.197203                 NaN            NaN  0.109193E-001            NaN  0.188336                 NaN            NaN            NaN
  1349.59        500.000        99.3592       0.194879       0.249176                 NaN            NaN  0.105570E-001            NaN  0.186195                 NaN            NaN            NaN
  1348.50        500.000        99.3660       0.247287       0.192326                 NaN            NaN  0.102260E-001            NaN  0.184130                 NaN            NaN            NaN
  1347.41        500.000        99.3725       0.190214       0.245260                 NaN            NaN  0.990727E-002            NaN  0.182160                 NaN            NaN            NaN
  1346.32        500.000        99.3799       0.243395       0.187373                 NaN            NaN  0.944913E-002            NaN  0.179875                 NaN            NaN            NaN
  1345.22        500.000        99.3861       0.241560       0.185167                 NaN            NaN  0.916012E-002            NaN  0.178033                 NaN            NaN            NaN
  1344.13        500.000        99.3932       0.182598       0.239546                 NaN            NaN  0.879962E-002            NaN  0.175865                 NaN            NaN            NaN
  1343.04        500.000        99.3997       0.237878       0.180161                 NaN            NaN  0.841900E-002            NaN  0.173858                 NaN            NaN            NaN
  1341.95        500.000        99.4057       0.235922       0.178094                 NaN            NaN  0.816847E-002            NaN  0.172107                 NaN            NaN            NaN
  1340.85        500.000        99.4123       0.234266       0.175606                 NaN            NaN  0.780826E-002            NaN  0.170022                 NaN            NaN            NaN
  1339.76        500.000        99.4180       0.232647       0.173587                 NaN            NaN  0.747401E-002            NaN  0.168323                 NaN            NaN            NaN
  1338.67        500.000        99.4243       0.171355       0.230737                 NaN            NaN  0.719319E-002            NaN  0.166379                 NaN            NaN            NaN
  1337.58        500.000        99.4298       0.229400       0.169312                 NaN            NaN  0.680869E-002            NaN  0.164685                 NaN            NaN            NaN
  1336.48        500.000        99.4359       0.166995       0.227677                 NaN            NaN  0.657951E-002            NaN  0.162892                 NaN            NaN            NaN
  1335.39        500.000        99.4422       0.164580       0.226122                 NaN            NaN  0.621231E-002            NaN  0.160919                 NaN            NaN            NaN
  1334.30        500.000        99.4473       0.224774       0.162633                 NaN            NaN  0.592617E-002            NaN  0.159368                 NaN            NaN            NaN
  1333.21        500.000        99.4529       0.160542       0.223364                 NaN            NaN  0.557471E-002            NaN  0.157625                 NaN            NaN            NaN
  1332.11        500.000        99.4583       0.158265       0.222111                 NaN            NaN  0.530562E-002            NaN  0.156065                 NaN            NaN            NaN
  1331.02        500.000        99.4639       0.156309       0.220498                 NaN            NaN  0.500104E-002            NaN  0.154262                 NaN            NaN            NaN
  1329.93        500.000        99.4689       0.219210       0.154438                 NaN            NaN  0.469208E-002            NaN  0.152771                 NaN            NaN            NaN
  1328.84        500.000        99.4742       0.152530       0.217733                 NaN            NaN  0.443482E-002            NaN  0.151123                 NaN            NaN            NaN
  1327.74        500.000        99.4790       0.216798       0.150504                 NaN            NaN  0.400878E-002            NaN  0.149645                 NaN            NaN            NaN
  1326.65        500.000        99.4846       0.215299       0.148413                 NaN            NaN  0.376609E-002            NaN  0.147924                 NaN            NaN            NaN
  1325.56        500.000        99.4891       0.213981       0.146779                 NaN            NaN  0.355270E-002            NaN  0.146611                 NaN            NaN            NaN
  1324.47        500.000        99.5482       0.305026                 NaN            NaN            NaN            NaN            NaN  0.146739                 NaN            NaN            NaN
  1323.37        500.000        99.5137       0.345077                 NaN            NaN            NaN  0.153774E-001            NaN  0.125876                 NaN            NaN            NaN
  1322.28        500.000        99.4284       0.937107E-001  0.313285                 NaN            NaN  0.202106E-002            NaN  0.162558                 NaN            NaN            NaN
  1321.19        500.000        99.5099       0.214656       0.135899                 NaN            NaN            NaN            NaN  0.139508                 NaN            NaN            NaN
  1320.10        500.000        99.5141       0.134820       0.212745                 NaN            NaN            NaN            NaN  0.138310                 NaN            NaN            NaN
  1319.00        500.000        99.5186       0.133080       0.211348                 NaN            NaN            NaN            NaN  0.137011                 NaN            NaN            NaN
  1317.91        500.000        99.5226       0.131706       0.209845                 NaN            NaN            NaN            NaN  0.135875                 NaN            NaN            NaN
  1316.82        500.000        99.5263       0.206871       0.131245                 NaN            NaN  0.611102E-003            NaN  0.134993                 NaN            NaN            NaN
  1315.73        500.000        99.5301       0.130234       0.204712                 NaN            NaN  0.959059E-003            NaN  0.133961                 NaN            NaN            NaN
  1314.63        500.000        99.5338       0.128636       0.203976                 NaN            NaN  0.682311E-003            NaN  0.132870                 NaN            NaN            NaN
  1313.54        500.000        99.5388       0.126776       0.202740                 NaN            NaN  0.398862E-003            NaN  0.131287                 NaN            NaN            NaN
  1312.45        500.000        99.5424       0.125079       0.202152                 NaN            NaN  0.143282E-003            NaN  0.130227                 NaN            NaN            NaN
  1311.36        500.000        99.5460       0.123930       0.200920                 NaN            NaN            NaN            NaN  0.129128                 NaN            NaN            NaN
  1310.26        500.000        99.5508       0.199308       0.122117                 NaN            NaN            NaN            NaN  0.127727                 NaN            NaN            NaN
  1309.17        500.000        99.5520       0.126441       0.189127                 NaN            NaN  0.386042E-002            NaN  0.128523                 NaN            NaN            NaN
  1308.08        500.000        99.5735       0.123742       0.148673                 NaN            NaN  0.254340E-001            NaN  0.128611                 NaN            NaN            NaN
  1306.99        500.000        99.5344       0.207675       0.125572                 NaN            NaN            NaN            NaN  0.132344                 NaN            NaN            NaN
  1305.89        500.000        99.5652       0.117790       0.193350                 NaN            NaN            NaN            NaN  0.123618                 NaN            NaN            NaN
  1304.80        500.000        99.5696       0.192340       0.115746                 NaN            NaN            NaN            NaN  0.122324                 NaN            NaN            NaN
  1303.71        500.000        99.5724       0.114686       0.191325                 NaN            NaN            NaN            NaN  0.121600                 NaN            NaN            NaN
  1302.62        500.000        99.9268       0.201132E-001  0.321228E-001            NaN            NaN            NaN            NaN  0.210072E-001            NaN            NaN            NaN
  1301.52        500.000        99.2299       0.205073       0.346096                 NaN            NaN            NaN            NaN  0.218895                 NaN            NaN            NaN
  1300.43        500.000        99.5827       0.111302       0.187383                 NaN            NaN            NaN            NaN  0.118565                 NaN            NaN            NaN
  1299.34        500.000        99.5869       0.185944       0.109755                 NaN            NaN            NaN            NaN  0.117435                 NaN            NaN            NaN
  1298.25        500.000        99.5897       0.108768       0.184908                 NaN            NaN            NaN            NaN  0.116667                 NaN            NaN            NaN
  1297.15        500.000        99.5928       0.107593       0.183827                 NaN            NaN            NaN            NaN  0.115811                 NaN            NaN            NaN
  1296.06        500.000        99.5964       0.106544       0.182289                 NaN            NaN            NaN            NaN  0.114778                 NaN            NaN            NaN
  1294.97        500.000        99.6032       0.179488       0.104498                 NaN            NaN            NaN            NaN  0.112851                 NaN            NaN            NaN
  1293.88        500.000        99.5994       0.104988       0.181801                 NaN            NaN            NaN            NaN  0.113810                 NaN            NaN            NaN
  1292.78        500.000        99.6059       0.102943       0.179099                 NaN            NaN            NaN            NaN  0.112063                 NaN            NaN            NaN
  1291.69        500.000        99.6091       0.178096       0.101614                 NaN            NaN            NaN            NaN  0.111237                 NaN            NaN            NaN
  1290.60        500.000        95.2506       0.494338       0.906844                 NaN            NaN            NaN            NaN  0.556516        2.79173                 NaN            NaN
  1289.51        500.000        94.0114        1.10108       0.606435                 NaN            NaN            NaN            NaN  0.679885        3.60122                 NaN            NaN
  1288.42        500.000        94.4544       0.567104        1.01440                 NaN            NaN            NaN            NaN  0.631518        3.33259                 NaN            NaN
  1287.32        500.000        94.8452       0.938204       0.531397                 NaN            NaN            NaN            NaN  0.588587        3.09657                 NaN            NaN
  1286.23        500.000        95.1792       0.501443       0.872954                 NaN            NaN            NaN            NaN  0.551916        2.89445                 NaN            NaN
  1285.14        500.000        95.4776       0.814975       0.474088                 NaN            NaN            NaN            NaN  0.519051        2.71428                 NaN            NaN
  1284.05        500.000        95.7389       0.763462       0.450835                 NaN            NaN            NaN            NaN  0.490108        2.55669                 NaN            NaN
  1282.95        500.000        95.4790       0.919196       0.315171                 NaN            NaN            NaN            NaN  0.533049        2.75356                 NaN            NaN
  1281.86        500.000        91.6155        2.05397                 NaN            NaN            NaN            NaN            NaN   1.02116        5.30941                 NaN            NaN
  1280.77        500.000        93.2166        1.64148                 NaN            NaN            NaN            NaN            NaN  0.824689        4.31725                 NaN            NaN
  1279.68        500.000        95.3035        1.13800                 NaN            NaN            NaN            NaN            NaN  0.573061        2.98548                 NaN            NaN
  1278.58        500.000        96.4676       0.857061                 NaN            NaN            NaN            NaN            NaN  0.432551        2.24280                 NaN            NaN
  1277.49        500.000        97.1912       0.683423                 NaN            NaN            NaN            NaN            NaN  0.345162        1.78019                 NaN            NaN
  1276.40        500.000        97.6800       0.565887                 NaN            NaN            NaN            NaN            NaN  0.285944        1.46818                 NaN            NaN
  1275.31        500.000        98.0254       0.482453                 NaN            NaN            NaN            NaN            NaN  0.244095        1.24807                 NaN            NaN
  1274.21        500.000        98.2790       0.422013                 NaN            NaN            NaN            NaN            NaN  0.213302        1.08566                 NaN            NaN
  1273.12        500.000        98.4735       0.375135                 NaN            NaN            NaN            NaN            NaN  0.189646       0.961758                 NaN            NaN
  1272.03        500.000        98.6262       0.339826                 NaN            NaN            NaN            NaN            NaN  0.171064       0.862897                 NaN            NaN
  1270.94        500.000        98.7475       0.311537                 NaN            NaN            NaN            NaN            NaN  0.156234       0.784690                 NaN            NaN
  1269.84        500.000        98.8136       0.206417       0.117762                 NaN            NaN            NaN            NaN  0.137888       0.724367                 NaN            NaN
  1268.75        500.000        98.8795       0.159402       0.160085                 NaN            NaN            NaN            NaN  0.126767       0.674231                 NaN            NaN
  1267.66        500.000        98.9147       0.138409       0.176751                 NaN            NaN            NaN            NaN  0.121507       0.648640                 NaN            NaN
  1266.57        500.000        98.9391       0.199823       0.115435                 NaN            NaN            NaN            NaN  0.117155       0.628456                 NaN            NaN
  1265.47        500.000        98.9505       0.231533       0.890623E-001            NaN            NaN            NaN            NaN  0.113869       0.615014                 NaN            NaN
  1264.38        500.000        98.9446       0.267441       0.637270E-001            NaN            NaN            NaN            NaN  0.112623       0.611598                 NaN            NaN
  1263.29        500.000        98.9192       0.457856E-001  0.299452                 NaN            NaN            NaN            NaN  0.114268       0.621300                 NaN            NaN
  1262.20        500.000        98.8662       0.367118       0.128227E-001            NaN            NaN            NaN            NaN  0.117617       0.636218                 NaN            NaN
  1261.10        500.000        98.7880       0.413328                 NaN            NaN            NaN            NaN            NaN  0.125539       0.673144                 NaN            NaN
  1260.01        500.000        98.6764       0.462159                 NaN            NaN            NaN            NaN            NaN  0.137564       0.723888                 NaN            NaN
  1258.92        500.000        98.5214       0.529037                 NaN            NaN            NaN            NaN            NaN  0.154312       0.795214                 NaN            NaN
  1257.83        500.000        98.3144       0.617696                 NaN            NaN            NaN            NaN            NaN  0.175104       0.892836                 NaN            NaN
  1256.73        500.000        97.9342       0.779788                 NaN            NaN            NaN            NaN            NaN  0.215995        1.06787       0.218717E-002            NaN
  1255.64        500.000        95.0181        1.70020                 NaN            NaN            NaN            NaN            NaN  0.533817        2.53069       0.217242                 NaN
  1254.55        500.000        92.5057        2.60970                 NaN            NaN            NaN            NaN            NaN  0.787775        3.77109       0.325740                 NaN
  1253.46        500.000        97.9622       0.435160                 NaN            NaN            NaN            NaN            NaN  0.215213        1.26711       0.120337                 NaN
  1252.36        500.000        98.0185       0.423376                 NaN            NaN            NaN            NaN            NaN  0.209361        1.23288       0.115936                 NaN
  1251.27        500.000        98.0735       0.411086                 NaN            NaN            NaN            NaN            NaN  0.203320        1.20026       0.111848                 NaN
  1250.18        500.000        98.1251       0.400067                 NaN            NaN            NaN            NaN            NaN  0.197686        1.16922       0.107954                 NaN
  1249.09        500.000        98.1777       0.388375                 NaN            NaN            NaN            NaN            NaN  0.191889        1.13794       0.104099                 NaN
  1247.99        500.000        98.2243       0.378652                 NaN            NaN            NaN            NaN            NaN  0.186884        1.10975       0.100415                 NaN
  1246.90        500.000        98.2704       0.368591                 NaN            NaN            NaN            NaN            NaN  0.181921        1.08220       0.968670E-001            NaN
  1245.81        500.000        98.3174       0.358110                 NaN            NaN            NaN            NaN            NaN  0.176592        1.05441       0.935381E-001            NaN
  1244.72        500.000        98.3602       0.348048                 NaN            NaN            NaN            NaN            NaN  0.171808        1.02952       0.904195E-001            NaN
  1243.62        500.000        98.4017       0.339739                 NaN            NaN            NaN            NaN            NaN  0.167325        1.00409       0.871613E-001            NaN
  1242.53        500.000        98.4417       0.330874                 NaN            NaN            NaN            NaN            NaN  0.162907       0.980333       0.841433E-001            NaN
  1241.44        500.000        98.4799       0.322511                 NaN            NaN            NaN            NaN            NaN  0.158968       0.957523       0.811039E-001            NaN
  1240.35        500.000        98.5178       0.313520                 NaN            NaN            NaN            NaN            NaN  0.154184       0.935779       0.786950E-001            NaN
  1239.25        500.000        98.5560       0.306213                 NaN            NaN            NaN            NaN            NaN  0.150299       0.911879       0.756347E-001            NaN
  1238.16        500.000        98.5899       0.298289                 NaN            NaN            NaN            NaN            NaN  0.146544       0.892173       0.731366E-001            NaN
  1237.07        500.000        98.6237       0.290876                 NaN            NaN            NaN            NaN            NaN  0.142780       0.872010       0.706327E-001            NaN
  1235.98        500.000        98.6563       0.283584                 NaN            NaN            NaN            NaN            NaN  0.139039       0.852768       0.683169E-001            NaN
  1234.88        500.000        98.6875       0.276701                 NaN            NaN            NaN            NaN            NaN  0.135538       0.834282       0.659935E-001            NaN
  1233.79        500.000        98.7193       0.269598                 NaN            NaN            NaN            NaN            NaN  0.132074       0.815289       0.637742E-001            NaN
  1232.70        500.000        98.7474       0.264013                 NaN            NaN            NaN            NaN            NaN  0.129115       0.798029       0.614523E-001            NaN
  1231.61        500.000        98.7776       0.256728                 NaN            NaN            NaN            NaN            NaN  0.125737       0.780506       0.594294E-001            NaN
  1230.51        500.000        98.8032       0.251865                 NaN            NaN            NaN            NaN            NaN  0.122838       0.764587       0.574641E-001            NaN
  1229.42        500.000        98.8291       0.246428                 NaN            NaN            NaN            NaN            NaN  0.120257       0.748894       0.553645E-001            NaN
  1228.33        500.000        98.8569       0.239699                 NaN            NaN            NaN            NaN            NaN  0.116820       0.732818       0.537287E-001            NaN
  1227.24        500.000        98.8813       0.234781                 NaN            NaN            NaN            NaN            NaN  0.114366       0.717782       0.517912E-001            NaN
  1226.14        500.000        98.9062       0.229010                 NaN            NaN            NaN            NaN            NaN  0.111478       0.703095       0.501749E-001            NaN
  1225.05        500.000        98.9295       0.223679                 NaN            NaN            NaN            NaN            NaN  0.108722       0.689471       0.486019E-001            NaN
  1223.96        500.000        98.9525       0.218735                 NaN            NaN            NaN            NaN            NaN  0.106324       0.675545       0.469433E-001            NaN
  1222.87        500.000        98.9745       0.213963                 NaN            NaN            NaN            NaN            NaN  0.103951       0.662200       0.453733E-001            NaN
  1221.77        500.000        94.9110       0.526038                 NaN            NaN            NaN            NaN            NaN  0.397457        2.25760       0.105921        1.80196     
  1220.68        500.000        90.2448       0.891085                 NaN            NaN            NaN            NaN            NaN  0.735752        4.06743       0.170226        3.89068     
  1219.59        500.000        90.8252       0.850445                 NaN            NaN            NaN            NaN            NaN  0.692997        3.81563       0.155943        3.65979     
  1218.50        500.000        91.3415       0.815488                 NaN            NaN            NaN            NaN            NaN  0.656798        3.59082       0.142650        3.45276     
  1217.40        500.000        91.7791       0.784950                 NaN            NaN            NaN            NaN            NaN  0.624552        3.40085       0.131982        3.27856     
  1216.31        500.000        92.1943       0.751698                 NaN            NaN            NaN            NaN            NaN  0.593505        3.22342       0.122683        3.11438     
  1215.22        500.000        92.5044       0.736637                 NaN            NaN            NaN            NaN            NaN  0.572277        3.08474       0.113817        2.98815     
  1214.13        500.000        92.8097       0.714490                 NaN            NaN            NaN            NaN            NaN  0.549798        2.95243       0.106451        2.86716     
  1213.03        500.000        93.0569       0.699938                 NaN            NaN            NaN            NaN            NaN  0.531920        2.84346       0.998710E-001   2.76787     
  1211.94        500.000        93.2955       0.682531                 NaN            NaN            NaN            NaN            NaN  0.513521        2.74044       0.944524E-001   2.67360     
  1210.85        500.000        92.9824       0.657018                 NaN            NaN            NaN  0.497583E-001            NaN  0.549232        2.84174       0.887988E-001   2.83106     
  1209.76        500.000        93.0638       0.636021                 NaN            NaN            NaN  0.608894E-001            NaN  0.542933        2.80322       0.855182E-001   2.80766     
  1208.66        500.000        93.2497       0.619047                 NaN            NaN            NaN  0.596859E-001            NaN  0.525465        2.72810       0.828598E-001   2.73512     
  1207.57        500.000        93.4203       0.604039                 NaN            NaN            NaN  0.580069E-001            NaN  0.509713        2.66001       0.802373E-001   2.66774     
  1206.48        500.000        93.5702       0.591274                 NaN            NaN            NaN  0.560900E-001            NaN  0.495908        2.60073       0.778756E-001   2.60795     
  1205.39        500.000        93.6851       0.580799                 NaN            NaN            NaN  0.546349E-001            NaN  0.484758        2.55545       0.758290E-001   2.56340     
  1204.29        500.000        93.7664       0.573786                 NaN            NaN            NaN  0.534556E-001            NaN  0.476186        2.52463       0.742343E-001   2.53130     
  1203.20        500.000        83.5390                 NaN            NaN            NaN            NaN  0.448595                 NaN   1.23647        6.77621       0.212940        7.78680     
  1202.11        500.000        97.1597        1.50571                 NaN            NaN            NaN            NaN            NaN  0.326984       0.986743       0.208275E-001            NaN
  1201.02        500.000        97.0302                 NaN            NaN            NaN            NaN            NaN            NaN  0.132577        1.33824       0.710607E-002   1.49187     
