|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/EETA/EETA_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1756.41        500.000        98.5648       0.784217       0.111813E-001  0.639819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        98.5544       0.784359       0.111824E-001  0.650045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        98.5440       0.784500       0.111835E-001  0.660274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        98.5337       0.784642       0.111847E-001  0.670506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        98.5233       0.784784       0.111858E-001  0.680741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        98.5134       0.784922       0.111868E-001  0.690461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        98.5036       0.785060       0.111879E-001  0.700184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        98.4937       0.785198       0.111890E-001  0.709909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        98.4838       0.785336       0.111900E-001  0.719637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        98.4740       0.785474       0.111911E-001  0.729368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        98.4641       0.785611       0.111921E-001  0.739100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        98.4542       0.785749       0.111932E-001  0.748836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        98.4443       0.785887       0.111943E-001  0.758573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        98.4350       0.786021       0.111953E-001  0.767796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        98.4256       0.786156       0.111963E-001  0.777021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        98.4163       0.786290       0.111973E-001  0.786248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        98.4069       0.786424       0.111983E-001  0.795477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        98.3975       0.786558       0.111994E-001  0.804709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        98.3882       0.786692       0.112004E-001  0.813943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        98.3788       0.786826       0.112014E-001  0.823179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        98.3694       0.786960       0.112024E-001  0.832417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        98.3606       0.787091       0.112034E-001  0.841144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        98.3517       0.787222       0.112044E-001  0.849873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        98.3428       0.787352       0.112053E-001  0.858603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        98.3340       0.787483       0.112063E-001  0.867336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        98.3251       0.787613       0.112073E-001  0.876071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        98.3162       0.787744       0.112083E-001  0.884808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        98.3074       0.787874       0.112092E-001  0.893547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        98.2985       0.788004       0.112102E-001  0.902288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        98.2901       0.788131       0.112111E-001  0.910516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        98.2818       0.788258       0.112121E-001  0.918745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        98.2734       0.788385       0.112130E-001  0.926976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        98.2651       0.788512       0.112139E-001  0.935209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        98.2567       0.788639       0.112149E-001  0.943444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        98.2483       0.788765       0.112158E-001  0.951681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        98.2400       0.788892       0.112167E-001  0.959919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        98.2316       0.789019       0.112177E-001  0.968160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        98.2235       0.789143       0.112186E-001  0.976098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        98.2155       0.789268       0.112195E-001  0.984037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        98.2144       0.789343       0.112197E-001  0.985075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        98.1976       0.789518       0.112213E-001  0.999357       0.227731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        98.1808       0.789649       0.112223E-001   1.00591       0.124195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        98.1640       0.789781       0.112233E-001   1.01246       0.225654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        98.1471       0.789912       0.112243E-001   1.01902       0.327148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        98.1303       0.790043       0.112254E-001   1.02558       0.428679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        98.1139       0.790173       0.112263E-001   1.03196       0.527773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        98.0974       0.790303       0.112273E-001   1.03835       0.626902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        98.0813       0.790432       0.112283E-001   1.04464       0.723761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        97.4767       0.790549       0.109012E-001   1.02079       0.838746E-001  0.617177                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        96.7403       0.790650       0.104947E-001  0.987698       0.954310E-001   1.37539                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        96.0038       0.790748       0.100881E-001  0.954594       0.106990        2.13376                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        95.2671       0.790844       0.968142E-002  0.921483       0.118552        2.89230                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        94.5303       0.790936       0.927467E-002  0.888363       0.130117        3.65098                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        93.8347       0.790999       0.887417E-002  0.850141       0.141169        4.37416                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        93.1389       0.791058       0.847364E-002  0.811915       0.152224        5.09741                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        92.4431       0.791116       0.807308E-002  0.773683       0.163280        5.82073                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        91.7472       0.791170       0.767250E-002  0.735448       0.174337        6.54412                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        91.0513       0.791222       0.727190E-002  0.697208       0.185395        7.26757                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        90.3554       0.791271       0.687128E-002  0.658964       0.196454        7.99106                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        89.6594       0.791318       0.647066E-002  0.620717       0.207514        8.71460                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        88.9634       0.791362       0.607003E-002  0.582467       0.218576        9.43817                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        88.3114       0.791377       0.568124E-002  0.539228       0.228884        10.1234                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        87.6594       0.791390       0.529249E-002  0.495990       0.239192        10.8087                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        87.0075       0.791400       0.490376E-002  0.452754       0.249500        11.4939                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        86.3557       0.791408       0.451507E-002  0.409518       0.259808        12.1791                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        85.7245       0.791400       0.413110E-002  0.363318       0.269838        12.8468                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        85.0934       0.791389       0.374718E-002  0.317121       0.279868        13.5145                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        84.4741       0.791370       0.336897E-002  0.269906       0.289741        14.1715                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        83.2822       0.792565       0.340205E-002  0.264725       0.280827        14.1518        1.22446                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        82.1776       0.793684       0.344078E-002  0.257855       0.269997        14.1210        2.37636                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        81.0700       0.794805       0.347961E-002  0.250967       0.259136        14.0902        3.53146                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        79.9592       0.795928       0.351855E-002  0.244059       0.248243        14.0592        4.68978                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        78.8454       0.797053       0.355758E-002  0.237132       0.237319        14.0282        5.85134                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        77.7285       0.798180       0.359671E-002  0.230186       0.226363        13.9970        7.01614                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        76.6085       0.799309       0.363595E-002  0.223220       0.215376        13.9657        8.18419                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        75.4854       0.800440       0.367528E-002  0.216235       0.204358        13.9344        9.35550                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        74.3592       0.801573       0.371472E-002  0.209231       0.193307        13.9029        10.5301                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        73.3743       0.802538       0.373359E-002  0.196706       0.179380        13.9049        11.5385                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        72.3870       0.803506       0.375250E-002  0.184152       0.165418        13.9069        12.5492                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        71.3975       0.804474       0.377145E-002  0.171569       0.151422        13.9089        13.5624                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        70.4056       0.805444       0.379044E-002  0.158956       0.137391        13.9109        14.5779                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        69.4114       0.806415       0.380947E-002  0.146314       0.123327        13.9129        15.5958                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        68.4149       0.807388       0.382854E-002  0.133642       0.109227        13.9149        16.6161                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        67.4161       0.808362       0.384765E-002  0.120941       0.950939E-001   13.9168        17.6388                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        66.4149       0.809338       0.386680E-002  0.108210       0.809258E-001   13.9188        18.6640                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        65.4614       0.810250       0.387353E-002  0.926635E-001  0.641304E-001   13.9424        19.6253                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        63.8575       0.811816       0.397796E-002  0.760818E-001  0.126566        13.8057        16.9216        4.39669                 NaN            NaN            NaN            NaN
  1477.56        500.000        62.2123       0.813442       0.406732E-002  0.586451E-001  0.190293        13.6965        14.3143        8.71044                 NaN            NaN            NaN            NaN
  1474.36        500.000        60.5606       0.815072       0.415701E-002  0.411398E-001  0.254277        13.5868        11.6966        13.0414                 NaN            NaN            NaN            NaN
  1471.15        500.000        58.9268       0.816692       0.421468E-002  0.211035E-001  0.313717        13.5315        9.47315        16.9128                 NaN            NaN            NaN            NaN
  1467.95        500.000        57.2867       0.818316       0.427255E-002  0.989099E-003  0.373395        13.4759        7.24087        20.7996                 NaN            NaN            NaN            NaN
  1464.74        500.000        55.6217       0.820157       0.438651E-002            NaN  0.422980        13.3239        5.55151        24.2554                 NaN            NaN            NaN            NaN
  1461.54        500.000        53.8765       0.822107       0.445905E-002            NaN  0.447319        13.2470        4.89679        25.7195       0.986231                 NaN            NaN            NaN
  1458.33        500.000        53.8750       0.822145       0.445894E-002            NaN  0.447346        13.2475        4.89694        25.7204       0.986261                 NaN            NaN            NaN
  1455.13        500.000        53.8734       0.822182       0.445882E-002            NaN  0.447373        13.2479        4.89710        25.7212       0.986291                 NaN            NaN            NaN
  1451.92        500.000        53.8719       0.822219       0.445871E-002            NaN  0.447400        13.2484        4.89725        25.7221       0.986321                 NaN            NaN            NaN
  1448.72        500.000        53.8704       0.822256       0.445860E-002            NaN  0.447427        13.2488        4.89741        25.7229       0.986351                 NaN            NaN            NaN
  1445.51        500.000        53.8688       0.822294       0.445849E-002            NaN  0.447454        13.2493        4.89756        25.7238       0.986382                 NaN            NaN            NaN
  1442.31        500.000        53.8673       0.822331       0.445838E-002            NaN  0.447481        13.2497        4.89772        25.7246       0.986412                 NaN            NaN            NaN
  1439.10        500.000        53.8657       0.822368       0.445827E-002            NaN  0.447509        13.2502        4.89787        25.7254       0.986442                 NaN            NaN            NaN
  1435.90        500.000        41.9931       0.835664       0.495568E-002            NaN  0.570569        12.7089        3.08316        32.0532        8.75046                 NaN            NaN            NaN
  1432.69        500.000        41.9917       0.835694       0.495550E-002            NaN  0.570599        12.7092        3.08323        32.0540        8.75064                 NaN            NaN            NaN
  1429.49        500.000        41.9904       0.835723       0.495533E-002            NaN  0.570628        12.7095        3.08330        32.0547        8.75083                 NaN            NaN            NaN
  1426.28        500.000        41.9890       0.835753       0.495516E-002            NaN  0.570658        12.7098        3.08336        32.0555        8.75101                 NaN            NaN            NaN
  1423.08        500.000        37.2170       0.841295       0.517499E-002            NaN  0.603730        12.4492        3.55180        33.2499        12.0819                 NaN            NaN            NaN
  1419.87        500.000        36.1163       0.842617       0.522984E-002            NaN  0.610209        12.3818        3.76281        12.8637        33.4173                 NaN            NaN            NaN
  1416.67        500.000        33.7254       0.844562       0.521008E-002            NaN  0.633427        12.4577        3.14240        13.5266        34.9585       0.706233                 NaN            NaN
  1413.46        500.000        33.7242       0.844586       0.520986E-002            NaN  0.633456        12.4579        3.14245        13.5268        34.9591       0.706288                 NaN            NaN
  1410.26        500.000        28.9152       0.848259       0.513583E-002            NaN  0.680354        12.6568        1.67704        38.3245        14.5542        2.33845                 NaN            NaN
  1407.05        500.000        28.9142       0.848279       0.513560E-002            NaN  0.680383        12.6570        1.67706        38.3250        14.5543        2.33862                 NaN            NaN
  1403.85        500.000        25.0426       0.851246       0.508087E-002            NaN  0.716321        12.8048       0.566699        15.3232        40.9906        3.69936                 NaN            NaN
  1400.64        500.000        23.3853       0.852527       0.505879E-002            NaN  0.731109        12.8643       0.115730        15.6322        42.1148        4.29896                 NaN            NaN
  1397.44        500.000        21.8953       0.853699       0.504218E-002            NaN  0.735756        12.9142                 NaN   42.8019        15.9532        4.84089                 NaN            NaN
  1394.23        500.000        21.8946       0.853714       0.504192E-002            NaN  0.735782        12.9143                 NaN   42.8022        15.9533        4.84120                 NaN            NaN
  1391.03        500.000        21.8938       0.853729       0.504166E-002            NaN  0.735808        12.9143                 NaN   42.8024        15.9533        4.84152                 NaN            NaN
  1387.82        500.000        21.8931       0.853744       0.504140E-002            NaN  0.735834        12.9144                 NaN   42.8027        15.9534        4.84184                 NaN            NaN
  1384.62        500.000        17.0910       0.857515       0.498749E-002            NaN  0.740078        13.0605                 NaN   16.9733        44.6110        6.66165                 NaN            NaN
  1381.41        500.000        17.0905       0.857527       0.498721E-002            NaN  0.740101        13.0605                 NaN   16.9733        44.6110        6.66206                 NaN            NaN
  1378.21        500.000        17.0899       0.857538       0.498694E-002            NaN  0.740124        13.0605                 NaN   16.9733        44.6111        6.66247                 NaN            NaN
  1375.00        500.000        17.0894       0.857549       0.498666E-002            NaN  0.740147        13.0606                 NaN   16.9733        44.6112        6.66288                 NaN            NaN
  1371.79        500.000        17.0888       0.857560       0.498639E-002            NaN  0.740170        13.0606                 NaN   16.9733        44.6113        6.66330                 NaN            NaN
  1368.59        500.000        17.0882       0.857571       0.498611E-002            NaN  0.740193        13.0606                 NaN   16.9733        44.6114        6.66371                 NaN            NaN
  1365.38        500.000        17.0876       0.857582       0.498584E-002            NaN  0.740216        13.0607                 NaN   16.9733        44.6115        6.66412                 NaN            NaN
  1362.18        500.000        17.0871       0.857593       0.498556E-002            NaN  0.740238        13.0607                 NaN   16.9733        44.6116        6.66453                 NaN            NaN
  1358.97        500.000        10.7352       0.862648       0.496137E-002            NaN  0.748307        13.1720                 NaN   47.2235        17.8859        9.36753                 NaN            NaN
  1355.77        500.000        10.7349       0.862655       0.496107E-002            NaN  0.748327        13.1719                 NaN   47.2234        17.8858        9.36807                 NaN            NaN
