|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1552.15        2500.00        99.3977                 NaN  0.545932       0.563181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        99.3401                 NaN  0.599477       0.603902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.3356                 NaN  0.607818       0.565997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.3538                 NaN  0.588333       0.578662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.3520                 NaN  0.591564       0.564353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.3575                 NaN  0.586622       0.558638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.3613                 NaN  0.584610       0.541079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.3676                 NaN  0.577491       0.548940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.3701                 NaN  0.577387       0.525442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.3745                 NaN  0.574259       0.512832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        99.3786                 NaN  0.570169       0.511839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.3826                 NaN  0.568350       0.490324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.3858                 NaN  0.565749       0.484194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.3918                 NaN  0.559718       0.484907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.3951                 NaN  0.558275       0.466697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        99.3283                 NaN  0.622700       0.490169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.4691                 NaN  0.491553       0.393912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.4037                 NaN  0.553204       0.430616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4105                 NaN  0.545353       0.441411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.3230                 NaN  0.628863       0.481306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.5061                 NaN  0.459208       0.347383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4149                 NaN  0.547589       0.375224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4213                 NaN  0.541539       0.371170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.4263                 NaN  0.535992       0.377299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.5218                 NaN  0.380872       0.234401E-001            NaN  0.739348E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00        99.1082                 NaN  0.755706E-001  0.227719E-001            NaN  0.793464                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00        99.2128                 NaN            NaN            NaN            NaN  0.787161                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00        99.2079                 NaN            NaN            NaN            NaN  0.792095                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.2018                 NaN            NaN            NaN            NaN  0.798170                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00        99.1892                 NaN            NaN            NaN            NaN  0.810757                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00        99.1839                 NaN            NaN            NaN            NaN  0.816133                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00        98.7750                 NaN            NaN            NaN            NaN  0.686982       0.538061                 NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00        98.7049                 NaN            NaN            NaN            NaN  0.477610       0.817467                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.7129                 NaN            NaN            NaN            NaN  0.473394       0.813742                 NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00        98.7315                 NaN            NaN            NaN            NaN  0.801142       0.467341                 NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00        98.7420                 NaN            NaN            NaN            NaN  0.461509       0.796535                 NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.7526                 NaN            NaN            NaN            NaN  0.790147       0.457224                 NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00        98.7636                 NaN            NaN            NaN            NaN  0.452072       0.784375                 NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00        98.7757                 NaN            NaN            NaN            NaN  0.447663       0.776651                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00        98.7866                 NaN            NaN            NaN            NaN  0.443528       0.769897                 NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00        98.7979                 NaN            NaN  0.778949E-002            NaN  0.427482       0.766820                 NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00        98.8158                 NaN            NaN  0.560289E-001            NaN  0.352123       0.776046                 NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00        98.8190                 NaN            NaN  0.563147E-002            NaN  0.422070       0.753252                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.8319                 NaN            NaN  0.291111E-001            NaN  0.755550       0.383414                 NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00        98.8378                 NaN            NaN  0.284391E-001            NaN  0.381635       0.752081                 NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00        98.8540                 NaN            NaN  0.256397E-001            NaN  0.740539       0.379843                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.8594                 NaN            NaN  0.250366E-001            NaN  0.737742       0.377844                 NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00        98.8674                 NaN            NaN  0.242680E-001            NaN  0.374673       0.733658                 NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00        98.8789                 NaN            NaN  0.226410E-001            NaN  0.725745       0.372742                 NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00        98.8865                 NaN            NaN  0.216064E-001            NaN  0.369844       0.722094                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00        98.8948                 NaN            NaN  0.201470E-001            NaN  0.716200       0.368804                 NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00        98.4593                 NaN            NaN  0.265737E-001            NaN  0.513078        1.00100                 NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00        99.3562                 NaN            NaN  0.105637E-001            NaN  0.417161       0.216080                 NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00        98.9326                 NaN            NaN  0.145740                 NaN  0.180021       0.741677                 NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        98.9332                 NaN            NaN            NaN            NaN  0.381259       0.685498                 NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        98.9290                 NaN            NaN            NaN            NaN  0.380845       0.690133                 NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        98.9365                 NaN            NaN            NaN            NaN  0.377155       0.686353                 NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00        98.9436                 NaN            NaN            NaN            NaN  0.683187       0.373258                 NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00        98.9504                 NaN            NaN  0.299309E-004            NaN  0.678599       0.370985                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        96.8593                 NaN            NaN  0.237681                 NaN  0.990257       0.998276       0.914448                 NaN            NaN            NaN            NaN
  1459.61        2500.00        96.7950                 NaN            NaN  0.326399                 NaN  0.909264        1.00505       0.964245                 NaN            NaN            NaN            NaN
  1458.06        2500.00        96.8499                 NaN            NaN  0.326333                 NaN  0.883727       0.990716       0.949296                 NaN            NaN            NaN            NaN
  1456.52        2500.00        96.9126                 NaN            NaN  0.325176                 NaN  0.857162       0.974825       0.930262                 NaN            NaN            NaN            NaN
  1454.98        2500.00        97.0091                 NaN            NaN  0.320438                 NaN  0.820958       0.947718       0.901748                 NaN            NaN            NaN            NaN
  1453.44        2500.00        97.0831                 NaN            NaN  0.317109                 NaN  0.927116       0.792762       0.879940                 NaN            NaN            NaN            NaN
  1451.90        2500.00        97.1341                 NaN            NaN  0.316515                 NaN  0.914844       0.769448       0.865076                 NaN            NaN            NaN            NaN
  1450.35        2500.00        97.2017                 NaN            NaN  0.314259                 NaN  0.742188       0.896598       0.845258                 NaN            NaN            NaN            NaN
  1448.81        2500.00        97.2606                 NaN            NaN  0.312745                 NaN  0.880797       0.718021       0.827840                 NaN            NaN            NaN            NaN
  1447.27        2500.00        97.3197                 NaN            NaN  0.310849                 NaN  0.863661       0.695396       0.810419                 NaN            NaN            NaN            NaN
  1445.73        2500.00        97.3770                 NaN            NaN  0.308897                 NaN  0.850343       0.670476       0.793272                 NaN            NaN            NaN            NaN
  1444.18        2500.00        97.4296                 NaN            NaN  0.307549                 NaN  0.649509       0.835570       0.777786                 NaN            NaN            NaN            NaN
  1442.64        2500.00        97.4808                 NaN            NaN  0.306424                 NaN  0.822302       0.627714       0.762719                 NaN            NaN            NaN            NaN
  1441.10        2500.00        97.5339                 NaN            NaN  0.304047                 NaN  0.807476       0.607972       0.746588                 NaN            NaN            NaN            NaN
  1439.56        2500.00        97.5817                 NaN            NaN  0.303000                 NaN  0.587031       0.795579       0.732666                 NaN            NaN            NaN            NaN
  1438.01        2500.00        97.6267                 NaN            NaN  0.301756                 NaN  0.569492       0.782457       0.719546                 NaN            NaN            NaN            NaN
  1436.47        2500.00        97.6774                 NaN            NaN  0.300214                 NaN  0.769813       0.548629       0.703945                 NaN            NaN            NaN            NaN
  1434.93        2500.00        97.8391                 NaN            NaN  0.284238                 NaN  0.496012       0.725283       0.655387                 NaN            NaN            NaN            NaN
  1433.39        2500.00        97.6323                 NaN            NaN  0.314133                 NaN  0.545278       0.790695       0.717563                 NaN            NaN            NaN            NaN
  1431.85        2500.00        97.7986                 NaN            NaN  0.297591                 NaN  0.738314       0.497666       0.667829                 NaN            NaN            NaN            NaN
  1430.30        2500.00        97.8408                 NaN            NaN  0.295797                 NaN  0.481613       0.726510       0.655291                 NaN            NaN            NaN            NaN
  1428.76        2500.00        97.8784                 NaN            NaN  0.295201                 NaN  0.465864       0.716427       0.644104                 NaN            NaN            NaN            NaN
  1427.22        2500.00        97.9156                 NaN            NaN  0.294103                 NaN  0.450542       0.706742       0.633045                 NaN            NaN            NaN            NaN
  1425.68        2500.00        97.9511                 NaN            NaN  0.293385                 NaN  0.697834       0.435355       0.622295                 NaN            NaN            NaN            NaN
  1424.13        2500.00        97.9859                 NaN            NaN  0.292409                 NaN  0.419088       0.690641       0.611935                 NaN            NaN            NaN            NaN
  1422.59        2500.00        98.0190                 NaN            NaN  0.292048                 NaN  0.680696       0.406296       0.601925                 NaN            NaN            NaN            NaN
  1421.05        2500.00        98.0542                 NaN            NaN  0.290590                 NaN  0.670416       0.393365       0.591458                 NaN            NaN            NaN            NaN
  1419.51        2500.00        98.0870                 NaN            NaN  0.281621                 NaN  0.658905       0.392137       0.580347                 NaN            NaN            NaN            NaN
  1417.96        2500.00        98.1125                 NaN            NaN  0.298206                 NaN  0.355081       0.659181       0.574987                 NaN            NaN            NaN            NaN
  1416.42        2500.00        98.1450                 NaN            NaN  0.287616                 NaN  0.355843       0.647758       0.563738                 NaN            NaN            NaN            NaN
  1414.88        2500.00        98.1744                 NaN            NaN  0.289157                 NaN  0.640542       0.340526       0.555358                 NaN            NaN            NaN            NaN
  1413.34        2500.00        98.2039                 NaN            NaN  0.287145                 NaN  0.329724       0.632740       0.546496                 NaN            NaN            NaN            NaN
  1411.80        2500.00        98.2295                 NaN            NaN  0.286808                 NaN  0.626736       0.318269       0.538664                 NaN            NaN            NaN            NaN
  1410.25        2500.00        98.2537                 NaN            NaN  0.286386                 NaN  0.309352       0.619425       0.531138                 NaN            NaN            NaN            NaN
  1408.71        2500.00        98.2717                 NaN            NaN  0.287869                 NaN  0.297922       0.616330       0.526178                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.3198                 NaN            NaN  0.282002                 NaN  0.601616       0.286059       0.510556                 NaN            NaN            NaN            NaN
  1405.63        2500.00        98.3308                 NaN            NaN  0.293357                 NaN  0.604069       0.262759       0.509014                 NaN            NaN            NaN            NaN
  1404.08        2500.00        98.3602                 NaN            NaN  0.274534                 NaN  0.590128       0.277683       0.497433                 NaN            NaN            NaN            NaN
  1402.54        2500.00        98.3797                 NaN            NaN  0.282714                 NaN  0.255511       0.589302       0.492797                 NaN            NaN            NaN            NaN
  1401.00        2500.00        98.4040                 NaN            NaN  0.281677                 NaN  0.582763       0.246536       0.485064                 NaN            NaN            NaN            NaN
  1399.46        2500.00        98.4254                 NaN            NaN  0.281421                 NaN  0.577397       0.237052       0.478710                 NaN            NaN            NaN            NaN
  1397.91        2500.00        98.4466                 NaN            NaN  0.280726                 NaN  0.572570       0.227904       0.472166                 NaN            NaN            NaN            NaN
  1396.37        2500.00        98.4675                 NaN            NaN  0.280183                 NaN  0.567266       0.219326       0.465751                 NaN            NaN            NaN            NaN
  1394.83        2500.00        98.4855                 NaN            NaN  0.280573                 NaN  0.210452       0.562987       0.460441                 NaN            NaN            NaN            NaN
  1393.29        2500.00        98.5110                 NaN            NaN  0.277643                 NaN  0.556466       0.202912       0.452017                 NaN            NaN            NaN            NaN
  1391.75        2500.00        98.5292                 NaN            NaN  0.277599                 NaN  0.552032       0.194553       0.446648                 NaN            NaN            NaN            NaN
  1390.20        2500.00        98.5259                 NaN            NaN  0.285281                 NaN  0.186069       0.551332       0.451395                 NaN            NaN            NaN            NaN
  1388.66        2500.00        98.5970                 NaN            NaN  0.266914                 NaN  0.533917       0.179018       0.423111                 NaN            NaN            NaN            NaN
  1387.12        2500.00        98.5851                 NaN            NaN  0.275202                 NaN  0.539364       0.171026       0.429291                 NaN            NaN            NaN            NaN
  1385.58        2500.00        98.6020                 NaN            NaN  0.274394                 NaN  0.164864       0.534773       0.423999                 NaN            NaN            NaN            NaN
  1384.03        2500.00        98.6204                 NaN            NaN  0.273207                 NaN  0.532128       0.156116       0.418157                 NaN            NaN            NaN            NaN
  1382.49        2500.00        98.6366                 NaN            NaN  0.272195                 NaN  0.527364       0.150835       0.413016                 NaN            NaN            NaN            NaN
  1380.95        2500.00        98.6190                 NaN            NaN  0.289839                 NaN  0.548266       0.121596       0.421348                 NaN            NaN            NaN            NaN
  1379.41        2500.00        98.6965                 NaN            NaN  0.253002                 NaN  0.498866       0.160892       0.390730                 NaN            NaN            NaN            NaN
  1377.86        2500.00        98.6913                 NaN            NaN  0.267161                 NaN  0.513498       0.132789       0.395270                 NaN            NaN            NaN            NaN
  1376.32        2500.00        98.7000                 NaN            NaN  0.268719                 NaN  0.126088       0.512035       0.393132                 NaN            NaN            NaN            NaN
  1374.78        2500.00        98.7188                 NaN            NaN  0.265055                 NaN  0.507520       0.122168       0.386502                 NaN            NaN            NaN            NaN
  1373.24        2500.00        98.7326                 NaN            NaN  0.264892                 NaN  0.504540       0.115506       0.382476                 NaN            NaN            NaN            NaN
  1371.70        2500.00        98.7476                 NaN            NaN  0.263760                 NaN  0.499745       0.111168       0.377761                 NaN            NaN            NaN            NaN
  1370.15        2500.00        98.7618                 NaN            NaN  0.261582                 NaN  0.497495       0.106356       0.372774                 NaN            NaN            NaN            NaN
  1368.61        2500.00        98.7755                 NaN            NaN  0.260450                 NaN  0.101405       0.494276       0.368385                 NaN            NaN            NaN            NaN
  1367.07        2500.00        98.7893                 NaN            NaN  0.258941                 NaN  0.966814E-001  0.491080       0.363979                 NaN            NaN            NaN            NaN
  1365.53        2500.00        98.8026                 NaN            NaN  0.256911                 NaN  0.487850       0.932338E-001  0.359442                 NaN            NaN            NaN            NaN
  1363.98        2500.00        98.8149                 NaN            NaN  0.255342                 NaN  0.484661       0.897713E-001  0.355345                 NaN            NaN            NaN            NaN
  1362.44        2500.00        98.8289                 NaN            NaN  0.253430                 NaN  0.857650E-001  0.481062       0.350817                 NaN            NaN            NaN            NaN
  1360.90        2500.00        98.8424                 NaN            NaN  0.251630                 NaN  0.477435       0.821337E-001  0.346450                 NaN            NaN            NaN            NaN
  1359.36        2500.00        98.8542                 NaN            NaN  0.249488                 NaN  0.474749       0.792162E-001  0.342395                 NaN            NaN            NaN            NaN
  1357.81        2500.00        98.8664                 NaN            NaN  0.247612                 NaN  0.472140       0.754594E-001  0.338399                 NaN            NaN            NaN            NaN
  1356.27        2500.00        98.8778                 NaN            NaN  0.246161                 NaN  0.469861       0.715897E-001  0.334575                 NaN            NaN            NaN            NaN
  1354.73        2500.00        98.8904                 NaN            NaN  0.242164                 NaN  0.464625       0.728251E-001  0.330007                 NaN            NaN            NaN            NaN
  1353.19        2500.00        98.8998                 NaN            NaN  0.240885                 NaN  0.463646       0.688422E-001  0.326819                 NaN            NaN            NaN            NaN
  1351.65        2500.00        98.9130                 NaN            NaN  0.238051                 NaN  0.673462E-001  0.459197       0.322382                 NaN            NaN            NaN            NaN
  1350.10        2500.00        98.9241                 NaN            NaN  0.236041                 NaN  0.642998E-001  0.456837       0.318764                 NaN            NaN            NaN            NaN
  1348.56        2500.00        98.9346                 NaN            NaN  0.233401                 NaN  0.629304E-001  0.454012       0.315068                 NaN            NaN            NaN            NaN
  1347.02        2500.00        98.9447                 NaN            NaN  0.230927                 NaN  0.451428       0.613637E-001  0.311562                 NaN            NaN            NaN            NaN
  1345.48        2500.00        98.9551                 NaN            NaN  0.228078                 NaN  0.448189       0.607064E-001  0.307932                 NaN            NaN            NaN            NaN
  1343.93        2500.00        98.9666                 NaN            NaN  0.225004                 NaN  0.443574       0.608842E-001  0.303945                 NaN            NaN            NaN            NaN
  1342.39        2500.00        98.9748                 NaN            NaN  0.222740                 NaN  0.594068E-001  0.441891       0.301144                 NaN            NaN            NaN            NaN
  1340.85        2500.00        98.9850                 NaN            NaN  0.221989                 NaN  0.570185E-001  0.437655       0.298332                 NaN            NaN            NaN            NaN
  1339.31        2500.00        98.9982                 NaN            NaN  0.213774                 NaN  0.629450E-001  0.432909       0.292176                 NaN            NaN            NaN            NaN
  1337.76        2500.00        99.0039                 NaN            NaN  0.213811                 NaN  0.583916E-001  0.433044       0.290864                 NaN            NaN            NaN            NaN
  1336.22        2500.00        99.0130                 NaN            NaN  0.209453                 NaN  0.430040       0.602486E-001  0.287227                 NaN            NaN            NaN            NaN
  1334.68        2500.00        99.0229                 NaN            NaN  0.206804                 NaN  0.426278       0.601194E-001  0.283943                 NaN            NaN            NaN            NaN
  1333.14        2500.00        99.0308                 NaN            NaN  0.203139                 NaN  0.617906E-001  0.423354       0.280965                 NaN            NaN            NaN            NaN
  1331.60        2500.00        99.0392                 NaN            NaN  0.199843                 NaN  0.622814E-001  0.420733       0.277904                 NaN            NaN            NaN            NaN
  1330.05        2500.00        99.0464                 NaN            NaN  0.196187                 NaN  0.418245       0.640622E-001  0.275138                 NaN            NaN            NaN            NaN
  1328.51        2500.00        99.0563                 NaN            NaN  0.192215                 NaN  0.670460E-001  0.412778       0.271661                 NaN            NaN            NaN            NaN
  1326.97        2500.00        99.0640                 NaN            NaN  0.188999                 NaN  0.673283E-001  0.410863       0.268798                 NaN            NaN            NaN            NaN
  1325.43        2500.00        99.0706                 NaN            NaN  0.184906                 NaN  0.711075E-001  0.407145       0.266195                 NaN            NaN            NaN            NaN
  1323.88        2500.00        99.0795                 NaN            NaN  0.181579                 NaN  0.404513       0.713525E-001  0.263094                 NaN            NaN            NaN            NaN
  1322.34        2500.00        99.0868                 NaN            NaN  0.177454                 NaN  0.400182       0.752357E-001  0.260326                 NaN            NaN            NaN            NaN
  1320.80        2500.00        99.0932                 NaN            NaN  0.173306                 NaN  0.396795       0.788520E-001  0.257824                 NaN            NaN            NaN            NaN
  1319.26        2500.00        99.1004                 NaN            NaN  0.170604                 NaN  0.771240E-001  0.396529       0.255302                 NaN            NaN            NaN            NaN
  1317.71        2500.00        99.1078                 NaN            NaN  0.163547                 NaN  0.387062       0.894915E-001  0.252134                 NaN            NaN            NaN            NaN
  1316.17        2500.00        99.1143                 NaN            NaN  0.161125                 NaN  0.877937E-001  0.386928       0.249900                 NaN            NaN            NaN            NaN
  1314.63        2500.00        99.1205                 NaN            NaN  0.156361                 NaN  0.939169E-001  0.381735       0.247464                 NaN            NaN            NaN            NaN
  1313.09        2500.00        99.1304                 NaN            NaN  0.160056                 NaN  0.682510E-001  0.396512       0.244786                 NaN            NaN            NaN            NaN
  1311.55        2500.00        99.1323                 NaN            NaN  0.144416                 NaN  0.115840       0.364777       0.242674                 NaN            NaN            NaN            NaN
  1310.00        2500.00        99.1397                 NaN            NaN  0.144211                 NaN  0.103631       0.372163       0.240275                 NaN            NaN            NaN            NaN
  1308.46        2500.00        99.1442                 NaN            NaN  0.139694                 NaN  0.109142       0.368562       0.238412                 NaN            NaN            NaN            NaN
  1306.92        2500.00        99.1505                 NaN            NaN  0.133509                 NaN  0.123001       0.357256       0.235772                 NaN            NaN            NaN            NaN
  1305.38        2500.00        99.1558                 NaN            NaN  0.131052                 NaN  0.119617       0.359493       0.234009                 NaN            NaN            NaN            NaN
  1303.83        2500.00        92.6157                 NaN            NaN  0.690301                 NaN   1.76289                 NaN   1.03893        3.89222                 NaN            NaN            NaN
