|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1561.40        2500.00        99.6414                 NaN  0.325574       0.329772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3914                 NaN  0.551628       0.569505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3952                 NaN  0.548507       0.562828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.4005                 NaN  0.543796       0.557032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.4054                 NaN  0.540146       0.544334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        99.3550                 NaN  0.584755       0.602124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4699                 NaN  0.481852       0.482895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        99.4191                 NaN  0.529081       0.517744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.4151                 NaN  0.536369       0.485026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.4315                 NaN  0.518979       0.495636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.4299                 NaN  0.521741       0.483237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.4350                 NaN  0.517238       0.478116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.4383                 NaN  0.515417       0.462959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.4441                 NaN  0.508944       0.469505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.4463                 NaN  0.508762       0.449187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.4503                 NaN  0.505905       0.438278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        99.4541                 NaN  0.502161       0.437133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.4577                 NaN  0.500467       0.418660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.4606                 NaN  0.498029       0.413276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.4660                 NaN  0.492600       0.413694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.4690                 NaN  0.491209       0.397974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        99.4104                 NaN  0.547784       0.417870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.5341                 NaN  0.432302       0.335649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.4768                 NaN  0.486471       0.366840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4830                 NaN  0.479421       0.375839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.4063                 NaN  0.552689       0.409655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.5670                 NaN  0.403492       0.295531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4871                 NaN  0.481021       0.319068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4928                 NaN  0.475625       0.315499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.4972                 NaN  0.470692       0.320666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.5806                 NaN  0.334326       0.199069E-001            NaN  0.651474E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00        99.2151                 NaN  0.663420E-001  0.193401E-001            NaN  0.699247                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00        99.3066                 NaN            NaN            NaN            NaN  0.693370                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00        99.3026                 NaN            NaN            NaN            NaN  0.697445                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.2975                 NaN            NaN            NaN            NaN  0.702542                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00        99.2866                 NaN            NaN            NaN            NaN  0.713391                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00        99.2821                 NaN            NaN            NaN            NaN  0.717899                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00        98.9191                 NaN            NaN            NaN            NaN  0.607592       0.473297                 NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00        98.8571                 NaN            NaN            NaN            NaN  0.419992       0.722860                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.8646                 NaN            NaN            NaN            NaN  0.416070       0.719283                 NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00        98.8814                 NaN            NaN            NaN            NaN  0.707948       0.410634                 NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00        98.8911                 NaN            NaN            NaN            NaN  0.405290       0.703636                 NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.9009                 NaN            NaN            NaN            NaN  0.697731       0.401349                 NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00        98.9110                 NaN            NaN            NaN            NaN  0.396616       0.692356                 NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00        98.9222                 NaN            NaN            NaN            NaN  0.392520       0.685301                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00        98.9321                 NaN            NaN            NaN            NaN  0.388735       0.679142                 NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00        98.9428                 NaN            NaN  0.655853E-002            NaN  0.374474       0.676168                 NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00        98.9605                 NaN            NaN  0.471425E-001            NaN  0.308329       0.684066                 NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00        98.9622                 NaN            NaN  0.473474E-002            NaN  0.369351       0.663678                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.9747                 NaN            NaN  0.244570E-001            NaN  0.665443       0.335353                 NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00        98.9804                 NaN            NaN  0.238808E-001            NaN  0.333616       0.662153                 NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00        98.9950                 NaN            NaN  0.215069E-001            NaN  0.651679       0.331862                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        99.0000                 NaN            NaN  0.209889E-001            NaN  0.649003       0.329969                 NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00        99.0076                 NaN            NaN  0.203230E-001            NaN  0.326968       0.645081                 NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00        99.0181                 NaN            NaN  0.189473E-001            NaN  0.637850       0.325116                 NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00        99.0252                 NaN            NaN  0.180668E-001            NaN  0.322408       0.634373                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00        99.0328                 NaN            NaN  0.168359E-001            NaN  0.628982       0.321338                 NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00        98.6518                 NaN            NaN  0.222030E-001            NaN  0.447033       0.878943                 NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00        99.4374                 NaN            NaN  0.880922E-002            NaN  0.365823       0.187958                 NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00        99.0712                 NaN            NaN  0.121444                 NaN  0.156661       0.650728                 NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.0678                 NaN            NaN            NaN            NaN  0.331401       0.600842                 NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        99.0645                 NaN            NaN            NaN            NaN  0.330862       0.604671                 NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.0715                 NaN            NaN            NaN            NaN  0.327452       0.601068                 NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00        99.0780                 NaN            NaN            NaN            NaN  0.598073       0.323915                 NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00        99.0844                 NaN            NaN  0.248490E-004            NaN  0.593789       0.321753                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        97.1059                 NaN            NaN  0.197214                 NaN  0.867039       0.866171       0.963659                 NaN            NaN            NaN            NaN
  1459.61        2500.00        97.0463                 NaN            NaN  0.270309                 NaN  0.788084       0.879314        1.01603                 NaN            NaN            NaN            NaN
  1458.06        2500.00        97.0990                 NaN            NaN  0.269678                 NaN  0.765187       0.866106        1.00007                 NaN            NaN            NaN            NaN
  1456.52        2500.00        97.1589                 NaN            NaN  0.268238                 NaN  0.741479       0.851613       0.979800                 NaN            NaN            NaN            NaN
  1454.98        2500.00        97.2503                 NaN            NaN  0.263796                 NaN  0.709336       0.827042       0.949508                 NaN            NaN            NaN            NaN
  1453.44        2500.00        97.3205                 NaN            NaN  0.260521                 NaN  0.808458       0.684215       0.926289                 NaN            NaN            NaN            NaN
  1451.90        2500.00        97.3698                 NaN            NaN  0.259452                 NaN  0.797024       0.663303       0.910392                 NaN            NaN            NaN            NaN
  1450.35        2500.00        97.4340                 NaN            NaN  0.257097                 NaN  0.639146       0.780487       0.889259                 NaN            NaN            NaN            NaN
  1448.81        2500.00        97.4904                 NaN            NaN  0.255289                 NaN  0.766018       0.617622       0.870655                 NaN            NaN            NaN            NaN
  1447.27        2500.00        97.5467                 NaN            NaN  0.253276                 NaN  0.750487       0.597452       0.852042                 NaN            NaN            NaN            NaN
  1445.73        2500.00        97.6016                 NaN            NaN  0.251130                 NaN  0.738139       0.575447       0.833718                 NaN            NaN            NaN            NaN
  1444.18        2500.00        97.6520                 NaN            NaN  0.249494                 NaN  0.556764       0.724639       0.817138                 NaN            NaN            NaN            NaN
  1442.64        2500.00        97.7010                 NaN            NaN  0.248077                 NaN  0.712467       0.537466       0.800998                 NaN            NaN            NaN            NaN
  1441.10        2500.00        97.7518                 NaN            NaN  0.245618                 NaN  0.698916       0.519933       0.783739                 NaN            NaN            NaN            NaN
  1439.56        2500.00        97.7975                 NaN            NaN  0.244249                 NaN  0.501479       0.687957       0.768801                 NaN            NaN            NaN            NaN
  1438.01        2500.00        97.8406                 NaN            NaN  0.242756                 NaN  0.485927       0.675984       0.754706                 NaN            NaN            NaN            NaN
  1436.47        2500.00        97.8891                 NaN            NaN  0.240958                 NaN  0.664410       0.467547       0.738008                 NaN            NaN            NaN            NaN
  1434.93        2500.00        98.0384                 NaN            NaN  0.227490                 NaN  0.422223       0.625185       0.686722                 NaN            NaN            NaN            NaN
  1433.39        2500.00        97.8526                 NaN            NaN  0.251095                 NaN  0.463624       0.681061       0.751667                 NaN            NaN            NaN            NaN
  1431.85        2500.00        98.0059                 NaN            NaN  0.237322                 NaN  0.635150       0.422523       0.699139                 NaN            NaN            NaN            NaN
  1430.30        2500.00        98.0461                 NaN            NaN  0.235392                 NaN  0.408426       0.624377       0.685662                 NaN            NaN            NaN            NaN
  1428.76        2500.00        98.0824                 NaN            NaN  0.234389                 NaN  0.394578       0.615043       0.673605                 NaN            NaN            NaN            NaN
  1427.22        2500.00        98.1181                 NaN            NaN  0.233016                 NaN  0.381128       0.606075       0.661684                 NaN            NaN            NaN            NaN
  1425.68        2500.00        98.1524                 NaN            NaN  0.231944                 NaN  0.597778       0.367818       0.650090                 NaN            NaN            NaN            NaN
  1424.13        2500.00        98.1858                 NaN            NaN  0.230712                 NaN  0.353668       0.590934       0.638907                 NaN            NaN            NaN            NaN
  1422.59        2500.00        98.2178                 NaN            NaN  0.229818                 NaN  0.581841       0.342412       0.628094                 NaN            NaN            NaN            NaN
  1421.05        2500.00        98.2515                 NaN            NaN  0.228232                 NaN  0.572396       0.331092       0.616807                 NaN            NaN            NaN            NaN
  1419.51        2500.00        98.2829                 NaN            NaN  0.220709                 NaN  0.561923       0.329618       0.604859                 NaN            NaN            NaN            NaN
  1417.96        2500.00        98.3084                 NaN            NaN  0.233175                 NaN  0.298076       0.561490       0.598905                 NaN            NaN            NaN            NaN
  1416.42        2500.00        98.3393                 NaN            NaN  0.224413                 NaN  0.298327       0.551119       0.586817                 NaN            NaN            NaN            NaN
  1414.88        2500.00        98.3677                 NaN            NaN  0.225120                 NaN  0.544364       0.285128       0.577725                 NaN            NaN            NaN            NaN
  1413.34        2500.00        98.3959                 NaN            NaN  0.223056                 NaN  0.275751       0.537146       0.568135                 NaN            NaN            NaN            NaN
  1411.80        2500.00        98.4210                 NaN            NaN  0.222274                 NaN  0.531360       0.265784       0.559623                 NaN            NaN            NaN            NaN
  1410.25        2500.00        98.4446                 NaN            NaN  0.221346                 NaN  0.257987       0.524586       0.551434                 NaN            NaN            NaN            NaN
  1408.71        2500.00        98.4626                 NaN            NaN  0.222046                 NaN  0.248183       0.521304       0.545911                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.5074                 NaN            NaN  0.217102                 NaN  0.508204       0.237930       0.529324                 NaN            NaN            NaN            NaN
  1405.63        2500.00        98.5193                 NaN            NaN  0.225379                 NaN  0.509704       0.218252       0.527356                 NaN            NaN            NaN            NaN
  1404.08        2500.00        98.5468                 NaN            NaN  0.210526                 NaN  0.497287       0.230369       0.514988                 NaN            NaN            NaN            NaN
  1402.54        2500.00        98.5663                 NaN            NaN  0.216194                 NaN  0.211676       0.495988       0.509820                 NaN            NaN            NaN            NaN
  1401.00        2500.00        98.5898                 NaN            NaN  0.214933                 NaN  0.489868       0.203958       0.501449                 NaN            NaN            NaN            NaN
  1399.46        2500.00        98.6106                 NaN            NaN  0.214250                 NaN  0.484749       0.195842       0.494510                 NaN            NaN            NaN            NaN
  1397.91        2500.00        98.6313                 NaN            NaN  0.213245                 NaN  0.480068       0.188027       0.487380                 NaN            NaN            NaN            NaN
  1396.37        2500.00        98.6515                 NaN            NaN  0.212343                 NaN  0.475019       0.180703       0.480389                 NaN            NaN            NaN            NaN
  1394.83        2500.00        98.6693                 NaN            NaN  0.212148                 NaN  0.173161       0.470860       0.474543                 NaN            NaN            NaN            NaN
  1393.29        2500.00        98.6935                 NaN            NaN  0.209494                 NaN  0.464794       0.166725       0.465491                 NaN            NaN            NaN            NaN
  1391.75        2500.00        98.7113                 NaN            NaN  0.208991                 NaN  0.460491       0.159636       0.459598                 NaN            NaN            NaN            NaN
  1390.20        2500.00        98.7094                 NaN            NaN  0.214493                 NaN  0.152473       0.459488       0.464113                 NaN            NaN            NaN            NaN
  1388.66        2500.00        98.7746                 NaN            NaN  0.200071                 NaN  0.444215       0.146480       0.434662                 NaN            NaN            NaN            NaN
  1387.12        2500.00        98.7656                 NaN            NaN  0.205841                 NaN  0.448149       0.139746       0.440664                 NaN            NaN            NaN            NaN
  1385.58        2500.00        98.7821                 NaN            NaN  0.204719                 NaN  0.134516       0.443755       0.434871                 NaN            NaN            NaN            NaN
  1384.03        2500.00        98.7999                 NaN            NaN  0.203437                 NaN  0.440941       0.127219       0.428520                 NaN            NaN            NaN            NaN
  1382.49        2500.00        98.8158                 NaN            NaN  0.202199                 NaN  0.436420       0.122729       0.422895                 NaN            NaN            NaN            NaN
  1380.95        2500.00        98.8022                 NaN            NaN  0.214707                 NaN  0.453214       0.988146E-001  0.431064                 NaN            NaN            NaN            NaN
  1379.41        2500.00        98.8713                 NaN            NaN  0.187104                 NaN  0.411639       0.130564       0.399373                 NaN            NaN            NaN            NaN
  1377.86        2500.00        98.8683                 NaN            NaN  0.197130                 NaN  0.423260       0.107598       0.403676                 NaN            NaN            NaN            NaN
  1376.32        2500.00        98.8776                 NaN            NaN  0.197812                 NaN  0.102025       0.421444       0.401144                 NaN            NaN            NaN            NaN
  1374.78        2500.00        98.8953                 NaN            NaN  0.194726                 NaN  0.417187       0.987076E-001  0.394029                 NaN            NaN            NaN            NaN
  1373.24        2500.00        98.9089                 NaN            NaN  0.194184                 NaN  0.414161       0.931950E-001  0.389580                 NaN            NaN            NaN            NaN
  1371.70        2500.00        98.9234                 NaN            NaN  0.192915                 NaN  0.409707       0.895666E-001  0.384434                 NaN            NaN            NaN            NaN
  1370.15        2500.00        98.9373                 NaN            NaN  0.190902                 NaN  0.407242       0.855753E-001  0.379018                 NaN            NaN            NaN            NaN
  1368.61        2500.00        98.9506                 NaN            NaN  0.189667                 NaN  0.814750E-001  0.404056       0.374216                 NaN            NaN            NaN            NaN
  1367.07        2500.00        98.9640                 NaN            NaN  0.188160                 NaN  0.775687E-001  0.400884       0.369404                 NaN            NaN            NaN            NaN
  1365.53        2500.00        98.9769                 NaN            NaN  0.186271                 NaN  0.397686       0.746957E-001  0.364465                 NaN            NaN            NaN            NaN
  1363.98        2500.00        98.9890                 NaN            NaN  0.184697                 NaN  0.394524       0.718185E-001  0.359979                 NaN            NaN            NaN            NaN
  1362.44        2500.00        99.0024                 NaN            NaN  0.182956                 NaN  0.685182E-001  0.391053       0.355062                 NaN            NaN            NaN            NaN
  1360.90        2500.00        99.0153                 NaN            NaN  0.181259                 NaN  0.387598       0.655312E-001  0.350316                 NaN            NaN            NaN            NaN
  1359.36        2500.00        99.0268                 NaN            NaN  0.179314                 NaN  0.384862       0.631127E-001  0.345892                 NaN            NaN            NaN            NaN
  1357.81        2500.00        99.0386                 NaN            NaN  0.177594                 NaN  0.382211       0.600365E-001  0.341535                 NaN            NaN            NaN            NaN
  1356.27        2500.00        99.0498                 NaN            NaN  0.176168                 NaN  0.379845       0.568767E-001  0.337356                 NaN            NaN            NaN            NaN
  1354.73        2500.00        99.0618                 NaN            NaN  0.172932                 NaN  0.375044       0.577756E-001  0.332435                 NaN            NaN            NaN            NaN
  1353.19        2500.00        99.0712                 NaN            NaN  0.171621                 NaN  0.373720       0.545396E-001  0.328912                 NaN            NaN            NaN            NaN
  1351.65        2500.00        99.0837                 NaN            NaN  0.169268                 NaN  0.532826E-001  0.369626       0.324136                 NaN            NaN            NaN            NaN
  1350.10        2500.00        99.0943                 NaN            NaN  0.167496                 NaN  0.508049E-001  0.367224       0.320192                 NaN            NaN            NaN            NaN
  1348.56        2500.00        99.1045                 NaN            NaN  0.165283                 NaN  0.496547E-001  0.364397       0.316177                 NaN            NaN            NaN            NaN
  1347.02        2500.00        99.1143                 NaN            NaN  0.163148                 NaN  0.361823       0.483495E-001  0.312359                 NaN            NaN            NaN            NaN
  1345.48        2500.00        99.1243                 NaN            NaN  0.160812                 NaN  0.358708       0.477650E-001  0.308421                 NaN            NaN            NaN            NaN
  1343.93        2500.00        99.1352                 NaN            NaN  0.158324                 NaN  0.354552       0.478404E-001  0.304133                 NaN            NaN            NaN            NaN
  1342.39        2500.00        99.1433                 NaN            NaN  0.156408                 NaN  0.466152E-001  0.352658       0.301040                 NaN            NaN            NaN            NaN
  1340.85        2500.00        99.1529                 NaN            NaN  0.155551                 NaN  0.446904E-001  0.348875       0.297939                 NaN            NaN            NaN            NaN
  1339.31        2500.00        99.1652                 NaN            NaN  0.149484                 NaN  0.492591E-001  0.344504       0.291508                 NaN            NaN            NaN            NaN
  1337.76        2500.00        99.1711                 NaN            NaN  0.149202                 NaN  0.456362E-001  0.344131       0.289919                 NaN            NaN            NaN            NaN
  1336.22        2500.00        99.1799                 NaN            NaN  0.145839                 NaN  0.341236       0.470227E-001  0.286014                 NaN            NaN            NaN            NaN
  1334.68        2500.00        99.1891                 NaN            NaN  0.143730                 NaN  0.337803       0.468643E-001  0.282470                 NaN            NaN            NaN            NaN
  1333.14        2500.00        99.1968                 NaN            NaN  0.140872                 NaN  0.480998E-001  0.334971       0.279234                 NaN            NaN            NaN            NaN
  1331.60        2500.00        99.2049                 NaN            NaN  0.138314                 NaN  0.484180E-001  0.332413       0.275923                 NaN            NaN            NaN            NaN
  1330.05        2500.00        99.2119                 NaN            NaN  0.135486                 NaN  0.329944       0.497345E-001  0.272911                 NaN            NaN            NaN            NaN
  1328.51        2500.00        99.2211                 NaN            NaN  0.132483                 NaN  0.519897E-001  0.325206       0.269199                 NaN            NaN            NaN            NaN
  1326.97        2500.00        99.2285                 NaN            NaN  0.130019                 NaN  0.521402E-001  0.323223       0.266103                 NaN            NaN            NaN            NaN
  1325.43        2500.00        99.2350                 NaN            NaN  0.126917                 NaN  0.549960E-001  0.319827       0.263269                 NaN            NaN            NaN            NaN
  1323.88        2500.00        99.2432                 NaN            NaN  0.124404                 NaN  0.317317       0.551181E-001  0.259948                 NaN            NaN            NaN            NaN
  1322.34        2500.00        99.2502                 NaN            NaN  0.121345                 NaN  0.313477       0.580419E-001  0.256963                 NaN            NaN            NaN            NaN
  1320.80        2500.00        99.2564                 NaN            NaN  0.118264                 NaN  0.310332       0.607550E-001  0.254247                 NaN            NaN            NaN            NaN
  1319.26        2500.00        99.2633                 NaN            NaN  0.116190                 NaN  0.593509E-001  0.309669       0.251515                 NaN            NaN            NaN            NaN
  1317.71        2500.00        99.2700                 NaN            NaN  0.111175                 NaN  0.301843       0.687856E-001  0.248152                 NaN            NaN            NaN            NaN
  1316.17        2500.00        99.2763                 NaN            NaN  0.109318                 NaN  0.674027E-001  0.301300       0.245716                 NaN            NaN            NaN            NaN
  1314.63        2500.00        99.2822                 NaN            NaN  0.105878                 NaN  0.720123E-001  0.296821       0.243084                 NaN            NaN            NaN            NaN
  1313.09        2500.00        99.2915                 NaN            NaN  0.108172                 NaN  0.522672E-001  0.307859       0.240220                 NaN            NaN            NaN            NaN
  1311.55        2500.00        99.2932                 NaN            NaN  0.974151E-001            NaN  0.886087E-001  0.282865       0.237919                 NaN            NaN            NaN            NaN
  1310.00        2500.00        99.3003                 NaN            NaN  0.971043E-001            NaN  0.791954E-001  0.288102       0.235340                 NaN            NaN            NaN            NaN
  1308.46        2500.00        99.3047                 NaN            NaN  0.938787E-001            NaN  0.832955E-001  0.284841       0.233291                 NaN            NaN            NaN            NaN
  1306.92        2500.00        99.3104                 NaN            NaN  0.895441E-001            NaN  0.937894E-001  0.275748       0.230487                 NaN            NaN            NaN            NaN
  1305.38        2500.00        99.3156                 NaN            NaN  0.877299E-001            NaN  0.911019E-001  0.277052       0.228545                 NaN            NaN            NaN            NaN
  1303.83        2500.00        93.0576                 NaN            NaN  0.462542                 NaN   1.36128                 NaN   1.01820        4.10034                 NaN            NaN            NaN
