|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1414.54        500.000        98.2424                 NaN  0.566444       0.734436                 NaN            NaN  0.456756                 NaN            NaN            NaN            NaN
  1413.41        500.000        98.2647                 NaN  0.725492       0.559017                 NaN            NaN  0.450799                 NaN            NaN            NaN            NaN
  1412.28        500.000        98.2805                 NaN  0.553905       0.719132                 NaN            NaN  0.446415                 NaN            NaN            NaN            NaN
  1411.15        500.000        98.3191                 NaN  0.702351       0.542636                 NaN            NaN  0.435932                 NaN            NaN            NaN            NaN
  1410.01        500.000        98.3338                 NaN  0.696133       0.538253                 NaN            NaN  0.431801                 NaN            NaN            NaN            NaN
  1408.88        500.000        98.3546                 NaN  0.531862       0.687628                 NaN            NaN  0.425935                 NaN            NaN            NaN            NaN
  1407.75        500.000        98.3761                 NaN  0.678282       0.525646                 NaN            NaN  0.419991                 NaN            NaN            NaN            NaN
  1406.61        500.000        98.3962                 NaN  0.669851       0.519457                 NaN            NaN  0.414530                 NaN            NaN            NaN            NaN
  1405.48        500.000        98.4171                 NaN  0.513037       0.660918                 NaN            NaN  0.408978                 NaN            NaN            NaN            NaN
  1404.35        500.000        99.9281                 NaN  0.559102E-001            NaN            NaN  0.581873E-002  0.101242E-001            NaN            NaN            NaN            NaN
  1403.22        500.000        96.9684                 NaN   1.23335        1.00712                 NaN            NaN  0.791094                 NaN            NaN            NaN            NaN
  1402.08        500.000        98.4749                 NaN  0.504075       0.577704                 NaN  0.434279E-001  0.399907                 NaN            NaN            NaN            NaN
  1400.95        500.000        98.4789                 NaN  0.526563       0.415827                 NaN  0.161090       0.417669                 NaN            NaN            NaN            NaN
  1399.82        500.000        98.5022                 NaN  0.519320       0.403547                 NaN  0.163188       0.411716                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.5194                 NaN  0.514894       0.394666                 NaN  0.163852       0.407172                 NaN            NaN            NaN            NaN
  1397.55        500.000        98.5366                 NaN  0.510115       0.385035                 NaN  0.165564       0.402678                 NaN            NaN            NaN            NaN
  1396.42        500.000        98.5513                 NaN  0.506421       0.376190                 NaN  0.167206       0.398847                 NaN            NaN            NaN            NaN
  1395.29        500.000        98.5691                 NaN  0.367453       0.501444                 NaN  0.168083       0.393912                 NaN            NaN            NaN            NaN
  1394.16        500.000        98.5837                 NaN  0.497660       0.358333                 NaN  0.169995       0.390297                 NaN            NaN            NaN            NaN
  1393.02        500.000        98.5987                 NaN  0.493122       0.350525                 NaN  0.171450       0.386173                 NaN            NaN            NaN            NaN
  1391.89        500.000        98.6151                 NaN  0.342019       0.488862                 NaN  0.172137       0.381899                 NaN            NaN            NaN            NaN
  1390.76        500.000        98.6218                 NaN  0.487699       0.334893                 NaN  0.175577       0.380049                 NaN            NaN            NaN            NaN
  1389.63        500.000        98.6522                 NaN  0.478533       0.324005                 NaN  0.173530       0.371744                 NaN            NaN            NaN            NaN
  1388.49        500.000        98.6592                 NaN  0.477359       0.316511                 NaN  0.176567       0.370363                 NaN            NaN            NaN            NaN
  1387.36        500.000        98.6719                 NaN  0.474025       0.309145                 NaN  0.178044       0.366868                 NaN            NaN            NaN            NaN
  1386.23        500.000        98.6860                 NaN  0.300751       0.470140                 NaN  0.179712       0.363379                 NaN            NaN            NaN            NaN
  1385.09        500.000        98.7009                 NaN  0.293126       0.466637                 NaN  0.180248       0.359122                 NaN            NaN            NaN            NaN
  1383.96        500.000        98.7128                 NaN  0.463502       0.285346                 NaN  0.182081       0.356242                 NaN            NaN            NaN            NaN
  1382.83        500.000        98.7240                 NaN  0.279100       0.460296                 NaN  0.183374       0.353183                 NaN            NaN            NaN            NaN
  1381.70        500.000        98.7390                 NaN  0.271262       0.455995                 NaN  0.184590       0.349146                 NaN            NaN            NaN            NaN
  1380.56        500.000        98.7516                 NaN  0.452987       0.263490                 NaN  0.186010       0.345931                 NaN            NaN            NaN            NaN
  1379.43        500.000        98.7635                 NaN  0.256623       0.449992                 NaN  0.187178       0.342672                 NaN            NaN            NaN            NaN
  1378.30        500.000        98.7755                 NaN  0.446858       0.249688                 NaN  0.188515       0.339487                 NaN            NaN            NaN            NaN
  1377.17        500.000        98.7830                 NaN  0.445409       0.243916                 NaN  0.190041       0.337595                 NaN            NaN            NaN            NaN
  1376.03        500.000        98.8009                 NaN  0.235718       0.440280                 NaN  0.190526       0.332608                 NaN            NaN            NaN            NaN
  1374.90        500.000        98.8081                 NaN  0.439002       0.229242                 NaN  0.192641       0.330995                 NaN            NaN            NaN            NaN
  1373.77        500.000        98.8219                 NaN  0.222947       0.435168                 NaN  0.192966       0.327012                 NaN            NaN            NaN            NaN
  1372.64        500.000        98.8320                 NaN  0.216562       0.432502                 NaN  0.194509       0.324383                 NaN            NaN            NaN            NaN
  1371.50        500.000        98.8419                 NaN  0.430308       0.209960                 NaN  0.195918       0.321870                 NaN            NaN            NaN            NaN
  1370.37        500.000        98.8526                 NaN  0.204848       0.426973                 NaN  0.196714       0.318825                 NaN            NaN            NaN            NaN
  1369.24        500.000        99.0045                 NaN  0.169321       0.372688                 NaN  0.175460       0.278011                 NaN            NaN            NaN            NaN
  1368.11        500.000        98.7327                 NaN  0.219818       0.474718                 NaN  0.221322       0.351465                 NaN            NaN            NaN            NaN
  1366.97        500.000        98.8837                 NaN  0.419106       0.186439                 NaN  0.200112       0.310602                 NaN            NaN            NaN            NaN
  1365.84        500.000        98.8932                 NaN  0.180628       0.417286                 NaN  0.201101       0.307814                 NaN            NaN            NaN            NaN
  1364.71        500.000        98.9024                 NaN  0.175476       0.414894                 NaN  0.201902       0.305327                 NaN            NaN            NaN            NaN
  1363.57        500.000        98.9118                 NaN  0.412882       0.169541                 NaN  0.202987       0.302763                 NaN            NaN            NaN            NaN
  1362.44        500.000        98.9167                 NaN  0.412432       0.164060                 NaN  0.205110       0.301713                 NaN            NaN            NaN            NaN
  1361.31        500.000        98.9341                 NaN  0.406015       0.160022                 NaN  0.203499       0.296412                 NaN            NaN            NaN            NaN
  1360.18        500.000        98.9388                 NaN  0.406163       0.154094                 NaN  0.205592       0.295315                 NaN            NaN            NaN            NaN
  1359.04        500.000        98.9482                 NaN  0.403359       0.149419                 NaN  0.206254       0.292753                 NaN            NaN            NaN            NaN
  1357.91        500.000        98.9555                 NaN  0.402676       0.143192                 NaN  0.207786       0.290886                 NaN            NaN            NaN            NaN
  1356.78        500.000        98.9657                 NaN  0.139747       0.399531                 NaN  0.207298       0.287686                 NaN            NaN            NaN            NaN
  1355.65        500.000        98.9722                 NaN  0.398552       0.133676                 NaN  0.209240       0.286287                 NaN            NaN            NaN            NaN
  1354.51        500.000        99.9036                 NaN  0.282837E-001            NaN            NaN  0.380510E-001  0.300454E-001            NaN            NaN            NaN            NaN
  1353.38        500.000        98.0663                 NaN  0.234281       0.788233                 NaN  0.377317       0.533877                 NaN            NaN            NaN            NaN
  1352.25        500.000        98.9964                 NaN  0.126837       0.391424                 NaN  0.206710       0.278583                 NaN            NaN            NaN            NaN
  1351.12        500.000        99.0045                 NaN  0.391359       0.112835                 NaN  0.214025       0.277256                 NaN            NaN            NaN            NaN
  1349.98        500.000        99.0123                 NaN  0.113454       0.388291                 NaN  0.211216       0.274699                 NaN            NaN            NaN            NaN
  1348.85        500.000        99.0198                 NaN  0.386933       0.109185                 NaN  0.211594       0.272453                 NaN            NaN            NaN            NaN
  1347.72        500.000        99.0287                 NaN  0.384510       0.104584                 NaN  0.212137       0.270105                 NaN            NaN            NaN            NaN
  1346.59        500.000        99.0355                 NaN  0.101548       0.382477                 NaN  0.212381       0.268068                 NaN            NaN            NaN            NaN
  1345.45        500.000        99.0418                 NaN  0.381175       0.986865E-001            NaN  0.212298       0.266042                 NaN            NaN            NaN            NaN
  1344.32        500.000        99.0479                 NaN  0.380297       0.939880E-001            NaN  0.213365       0.264408                 NaN            NaN            NaN            NaN
  1343.19        500.000        99.0577                 NaN  0.914350E-001  0.377178                 NaN  0.212231       0.261504                 NaN            NaN            NaN            NaN
  1342.05        500.000        99.0619                 NaN  0.376523       0.862584E-001            NaN  0.214486       0.260796                 NaN            NaN            NaN            NaN
  1340.92        500.000        99.0692                 NaN  0.857653E-001  0.374690                 NaN  0.212526       0.257787                 NaN            NaN            NaN            NaN
  1339.79        500.000        99.0784                 NaN  0.824541E-001  0.371922                 NaN  0.212042       0.255224                 NaN            NaN            NaN            NaN
  1338.66        500.000        99.0722                 NaN  0.373607       0.803750E-001            NaN  0.216238       0.257540                 NaN            NaN            NaN            NaN
  1337.52        500.000        99.1009                 NaN  0.754433E-001  0.366093                 NaN  0.209322       0.248270                 NaN            NaN            NaN            NaN
  1336.39        500.000        99.0758                 NaN  0.376038       0.788618E-001            NaN  0.203739       0.253134       0.124554E-001            NaN            NaN            NaN
  1335.26        500.000        98.8956                 NaN  0.454312       0.120069                 NaN  0.127305       0.280306       0.122434                 NaN            NaN            NaN
  1334.13        500.000        98.8853                 NaN  0.466171       0.116820                 NaN  0.119311       0.280313       0.132097                 NaN            NaN            NaN
  1332.99        500.000        98.8978                 NaN  0.114817       0.459912                 NaN  0.118637       0.277511       0.131329                 NaN            NaN            NaN
  1331.86        500.000        98.8998                 NaN  0.463055       0.109223                 NaN  0.116679       0.276336       0.134879                 NaN            NaN            NaN
  1330.73        500.000        98.9028                 NaN  0.464649       0.106369                 NaN  0.113765       0.274936       0.137528                 NaN            NaN            NaN
  1329.60        500.000        98.9072                 NaN  0.465838       0.102619                 NaN  0.111472       0.273269       0.139638                 NaN            NaN            NaN
  1328.46        500.000        98.9149                 NaN  0.987559E-001  0.464485                 NaN  0.110543       0.271237       0.140088                 NaN            NaN            NaN
  1327.33        500.000        98.9231                 NaN  0.463587       0.952116E-001            NaN  0.108766       0.268784       0.140547                 NaN            NaN            NaN
  1326.20        500.000        98.9300                 NaN  0.914712E-001  0.462865                 NaN  0.107780       0.266944       0.140958                 NaN            NaN            NaN
  1325.07        500.000        98.9420                 NaN  0.881719E-001  0.458461                 NaN  0.107676       0.264138       0.139540                 NaN            NaN            NaN
  1323.93        500.000        98.9501                 NaN  0.456059       0.849190E-001            NaN  0.107221       0.262290       0.139434                 NaN            NaN            NaN
  1322.80        500.000        98.9653                 NaN  0.451058       0.811907E-001            NaN  0.106896       0.258499       0.137103                 NaN            NaN            NaN
  1321.67        500.000        98.9729                 NaN  0.449082       0.779465E-001            NaN  0.106622       0.256689       0.136779                 NaN            NaN            NaN
  1320.53        500.000        98.9841                 NaN  0.753891E-001  0.444888                 NaN  0.106103       0.254103       0.135387                 NaN            NaN            NaN
  1319.40        500.000        98.9959                 NaN  0.447921       0.469754E-001            NaN  0.122367       0.253568       0.133302                 NaN            NaN            NaN
  1318.27        500.000        99.0030                 NaN  0.432032       0.955210E-001            NaN  0.885548E-001  0.247146       0.133706                 NaN            NaN            NaN
  1317.14        500.000        99.0144                 NaN  0.692246E-001  0.434307                 NaN  0.104026       0.246663       0.131389                 NaN            NaN            NaN
  1316.00        500.000        99.0251                 NaN  0.430371       0.662614E-001            NaN  0.104036       0.244224       0.129979                 NaN            NaN            NaN
  1314.87        500.000        99.0371                 NaN  0.425574       0.636980E-001            NaN  0.104271       0.241471       0.127927                 NaN            NaN            NaN
  1313.74        500.000        99.0456                 NaN  0.643785E-001  0.420955                 NaN  0.103074       0.239518       0.126447                 NaN            NaN            NaN
  1312.61        500.000        99.0588                 NaN  0.416951       0.608031E-001            NaN  0.102388       0.236130       0.124885                 NaN            NaN            NaN
  1311.47        500.000        99.0673                 NaN  0.413210       0.598537E-001            NaN  0.101911       0.234225       0.123505                 NaN            NaN            NaN
  1310.34        500.000        99.0772                 NaN  0.409392       0.583327E-001            NaN  0.101221       0.231823       0.121994                 NaN            NaN            NaN
  1309.21        500.000        99.0878                 NaN  0.573090E-001  0.404596                 NaN  0.100579       0.229354       0.120355                 NaN            NaN            NaN
  1308.08        500.000        99.0973                 NaN  0.400055       0.581839E-001            NaN  0.983740E-001  0.226943       0.119183                 NaN            NaN            NaN
  1306.94        500.000        99.1087                 NaN  0.511665E-001  0.397165                 NaN  0.101448       0.224536       0.117034                 NaN            NaN            NaN
  1305.81        500.000        99.1174                 NaN  0.392170       0.537898E-001            NaN  0.985310E-001  0.222273       0.115793                 NaN            NaN            NaN
  1304.68        500.000        99.1272                 NaN  0.387813       0.530277E-001            NaN  0.978484E-001  0.219944       0.114169                 NaN            NaN            NaN
  1303.55        500.000        99.1361                 NaN  0.383624       0.533935E-001            NaN  0.964031E-001  0.217690       0.112744                 NaN            NaN            NaN
  1302.41        500.000        99.1457                 NaN  0.520585E-001  0.379753                 NaN  0.957909E-001  0.215401       0.111275                 NaN            NaN            NaN
  1301.28        500.000        99.1551                 NaN  0.519725E-001  0.375307                 NaN  0.947201E-001  0.213106       0.109765                 NaN            NaN            NaN
  1300.15        500.000        99.1641                 NaN  0.520325E-001  0.370905                 NaN  0.937001E-001  0.210990       0.108299                 NaN            NaN            NaN
  1299.01        500.000        99.1731                 NaN  0.514028E-001  0.367011                 NaN  0.929092E-001  0.208774       0.106822                 NaN            NaN            NaN
  1297.88        500.000        99.1820                 NaN  0.362969       0.511302E-001            NaN  0.918184E-001  0.206594       0.105477                 NaN            NaN            NaN
  1296.75        500.000        99.1904                 NaN  0.512728E-001  0.359043                 NaN  0.906337E-001  0.204530       0.104121                 NaN            NaN            NaN
  1295.62        500.000        99.1986                 NaN  0.525313E-001  0.354782                 NaN  0.889994E-001  0.202402       0.102685                 NaN            NaN            NaN
  1294.48        500.000        99.2076                 NaN  0.350035       0.495266E-001            NaN  0.909383E-001  0.200946       0.100921                 NaN            NaN            NaN
  1293.35        500.000        99.2167                 NaN  0.345178       0.567968E-001            NaN  0.840328E-001  0.197430       0.998575E-001            NaN            NaN            NaN
  1292.22        500.000        99.2235                 NaN  0.537401E-001  0.342786                 NaN  0.851575E-001  0.196245       0.985977E-001            NaN            NaN            NaN
  1291.09        500.000        99.2319                 NaN  0.538429E-001  0.338486                 NaN  0.842515E-001  0.194255       0.972499E-001            NaN            NaN            NaN
  1289.95        500.000        99.2399                 NaN  0.549832E-001  0.334465                 NaN  0.825588E-001  0.192189       0.959178E-001            NaN            NaN            NaN
  1288.82        500.000        99.2474                 NaN  0.567195E-001  0.330183                 NaN  0.808445E-001  0.190279       0.945887E-001            NaN            NaN            NaN
  1287.69        500.000        99.2352                 NaN  0.289661       0.138513                 NaN  0.549746E-001  0.191441       0.901729E-001            NaN            NaN            NaN
  1286.56        500.000        99.2752                 NaN  0.340060       0.248177E-001            NaN  0.819176E-001  0.183291       0.946686E-001            NaN            NaN            NaN
  1285.42        500.000        99.2438                 NaN  0.196165       0.268291                 NaN  0.147527E-001  0.185467       0.915244E-001            NaN            NaN            NaN
  1284.29        500.000        99.2647                 NaN  0.302627       0.669548E-001            NaN  0.932937E-001  0.187813       0.845862E-001            NaN            NaN            NaN
  1283.16        500.000        99.3095                 NaN  0.342332                 NaN            NaN  0.806066E-001  0.175017       0.925847E-001            NaN            NaN            NaN
  1282.03        500.000        99.3027                 NaN  0.331400                 NaN            NaN  0.998274E-001  0.178832       0.872680E-001            NaN            NaN            NaN
  1280.89        500.000        99.3103                 NaN  0.327805                 NaN            NaN  0.988462E-001  0.176981       0.860980E-001            NaN            NaN            NaN
  1279.76        500.000        99.3072                 NaN  0.302500       0.574357E-001            NaN  0.725069E-001  0.175487       0.848227E-001            NaN            NaN            NaN
  1278.63        500.000        99.3129                 NaN  0.295069       0.674698E-001            NaN  0.672102E-001  0.173760       0.835449E-001            NaN            NaN            NaN
  1277.49        500.000        99.3147                 NaN  0.987426E-001  0.281511                 NaN  0.496123E-001  0.172156       0.833204E-001            NaN            NaN            NaN
  1276.36        500.000        99.3323                 NaN  0.264813E-001  0.301972                 NaN  0.887595E-001  0.170740       0.797915E-001            NaN            NaN            NaN
  1275.23        500.000        99.3316                 NaN  0.278441       0.880903E-001            NaN  0.530408E-001  0.168223       0.806236E-001            NaN            NaN            NaN
  1274.10        500.000        99.3391                 NaN  0.279236       0.756495E-001            NaN  0.600635E-001  0.167031       0.789101E-001            NaN            NaN            NaN
  1272.96        500.000        99.3451                 NaN  0.275012       0.783700E-001            NaN  0.580235E-001  0.165639       0.778767E-001            NaN            NaN            NaN
  1271.83        500.000        99.3524                 NaN  0.773737E-001  0.272390                 NaN  0.575469E-001  0.163668       0.766705E-001            NaN            NaN            NaN
  1270.70        500.000        99.3576                 NaN  0.267481       0.824176E-001            NaN  0.544804E-001  0.162356       0.756591E-001            NaN            NaN            NaN
  1269.57        500.000        92.5560                 NaN   1.17441        1.01070                 NaN            NaN  0.919716       0.492649        3.84656                 NaN            NaN
  1268.43        500.000        91.2981                 NaN   1.33458        1.17071                 NaN            NaN   1.05796       0.562229        4.57641                 NaN            NaN
  1267.30        500.000        92.0842                 NaN   1.07255        1.21600                 NaN            NaN  0.967454       0.509855        4.14992                 NaN            NaN
  1266.17        500.000        92.7394                 NaN   1.11853       0.987596                 NaN            NaN  0.891580       0.467087        3.79579                 NaN            NaN
  1265.04        500.000        93.2981                 NaN  0.913661        1.03502                 NaN            NaN  0.826604       0.430971        3.49568                 NaN            NaN
  1263.90        500.000        93.7676                 NaN  0.965532       0.852426                 NaN            NaN  0.771864       0.400215        3.24233                 NaN            NaN
  1262.77        500.000        94.1806                 NaN  0.794679       0.905297                 NaN            NaN  0.723352       0.374293        3.02176                 NaN            NaN
  1261.64        500.000        94.5374                 NaN  0.852587       0.746339                 NaN            NaN  0.681455       0.351505        2.83069                 NaN            NaN
  1260.51        500.000        94.8578                 NaN  0.700582       0.805959                 NaN            NaN  0.643449       0.331556        2.66067                 NaN            NaN
  1259.37        500.000        95.1377                 NaN  0.661056       0.765224                 NaN            NaN  0.610222       0.313980        2.51185                 NaN            NaN
  1258.24        500.000        95.3924                 NaN  0.728317       0.623994                 NaN            NaN  0.579850       0.298062        2.37743                 NaN            NaN
  1257.11        500.000        95.6207                 NaN  0.695249       0.590863                 NaN            NaN  0.552288       0.283667        2.25727                 NaN            NaN
  1255.97        500.000        95.8260                 NaN  0.665735       0.560576                 NaN            NaN  0.527677       0.271043        2.14900                 NaN            NaN
  1254.84        500.000        96.0113                 NaN  0.534177       0.638037                 NaN            NaN  0.505096       0.259256        2.05209                 NaN            NaN
  1253.71        500.000        96.1828                 NaN  0.614114       0.508377                 NaN            NaN  0.484272       0.248429        1.96204                 NaN            NaN
  1252.58        500.000        96.3407                 NaN  0.590384       0.485980                 NaN            NaN  0.464941       0.238232        1.87975                 NaN            NaN
  1251.44        500.000        96.4881                 NaN  0.569236       0.463014                 NaN            NaN  0.446590       0.229160        1.80393                 NaN            NaN
  1250.31        500.000        96.6222                 NaN  0.444030       0.548779                 NaN            NaN  0.430447       0.220448        1.73414                 NaN            NaN
  1249.18        500.000        96.7470                 NaN  0.529363       0.426735                 NaN            NaN  0.414514       0.212054        1.67038                 NaN            NaN
  1248.05        500.000        96.8632                 NaN  0.407729       0.514196                 NaN            NaN  0.400202       0.204899        1.60976                 NaN            NaN
  1246.91        500.000        96.9356                 NaN  0.458788       0.477357                 NaN            NaN  0.388950       0.121598        1.57578       0.419768E-001            NaN
  1245.78        500.000        97.0192                 NaN  0.499243       0.427402                 NaN            NaN  0.377883       0.855495E-001   1.53309       0.575830E-001            NaN
  1244.65        500.000        97.1136                 NaN  0.489986       0.411282                 NaN            NaN  0.366094       0.793886E-001   1.48303       0.566737E-001            NaN
  1243.52        500.000        97.2011                 NaN  0.479193       0.397095                 NaN            NaN  0.355062       0.748710E-001   1.43754       0.550868E-001            NaN
  1242.38        500.000        96.6214                 NaN  0.827439                 NaN            NaN            NaN  0.406407                 NaN   1.91738       0.227391                 NaN
  1241.25        500.000        95.4090                 NaN  0.364287        1.06818                 NaN            NaN  0.438030                 NaN   2.53308       0.187459                 NaN
  1240.12        500.000        98.4055                 NaN  0.574019                 NaN            NaN            NaN  0.367689       0.108588       0.544237                 NaN            NaN
  1238.99        500.000        98.0836                 NaN  0.517053       0.289532                 NaN            NaN  0.234187       0.946825E-003  0.874698                 NaN            NaN
  1237.85        500.000        97.4182                 NaN  0.251166       0.610711                 NaN            NaN  0.331028                 NaN   1.38888                 NaN            NaN
  1236.72        500.000        98.1978                 NaN  0.198197       0.445386                 NaN            NaN  0.227451                 NaN  0.902763       0.284415E-001            NaN
  1235.59        500.000        96.6751                 NaN  0.482196       0.290240                 NaN            NaN  0.436514       0.264040        1.85193                 NaN            NaN
  1234.45        500.000        99.3702                 NaN  0.117113       0.217984                 NaN            NaN  0.715485E-001  0.161925E-001  0.206951                 NaN            NaN
  1233.32        500.000        97.8158                 NaN  0.288922       0.562793                 NaN            NaN  0.271207                 NaN   1.02211       0.392165E-001            NaN
  1232.19        500.000        94.6047                 NaN  0.208812        1.05117                 NaN            NaN  0.729741       0.394108        3.01143                 NaN            NaN
  1231.06        500.000        99.7700                 NaN  0.428496E-001            NaN            NaN            NaN            NaN            NaN  0.183549       0.360759E-002            NaN
  1229.92        500.000        98.8606                 NaN  0.155635       0.295039                 NaN            NaN  0.163777       0.594947E-001  0.465427                 NaN            NaN
  1228.79        500.000        98.5562                 NaN  0.324266                 NaN            NaN            NaN  0.198037       0.102306       0.819239                 NaN            NaN
  1227.66        500.000        94.9263                 NaN   1.81653                 NaN            NaN            NaN  0.581666       0.206022        2.42567       0.438308E-001            NaN
  1226.53        500.000        99.3829                 NaN  0.147012       0.439055E-001            NaN            NaN  0.752282E-001  0.394244E-001  0.311533                 NaN            NaN
  1225.39        500.000        98.4662                 NaN  0.433236       0.399406E-001            NaN            NaN  0.198236                 NaN  0.818375       0.439950E-001            NaN
  1224.26        500.000        99.7203                 NaN  0.325501E-001  0.697559E-001            NaN            NaN  0.326624E-001            NaN  0.137162       0.755561E-002            NaN
  1223.13        500.000        99.0874                 NaN  0.321846                 NaN            NaN  0.112091E-001  0.103559       0.465630E-001  0.429451                 NaN            NaN
  1222.00        500.000        99.7691                 NaN  0.232710E-001            NaN            NaN            NaN  0.273009E-001            NaN  0.165548       0.148210E-001            NaN
  1220.86        500.000        98.0114                 NaN  0.538040                 NaN            NaN  0.643433E-001  0.243881       0.126943        1.01543                 NaN            NaN
  1219.73        500.000        96.7411                 NaN  0.319866       0.792348                 NaN            NaN  0.415307                 NaN   1.65660       0.747382E-001            NaN
  1218.60        500.000        98.3187                 NaN  0.142189       0.401157                 NaN            NaN  0.209016                 NaN  0.893289       0.356075E-001            NaN
  1217.47        500.000        98.5314                 NaN  0.418649       0.110097                 NaN            NaN  0.181214                 NaN  0.729213       0.294465E-001            NaN
  1216.33        500.000        97.5998                 NaN  0.461817       0.306848                 NaN            NaN  0.296128       0.121835        1.20859       0.500674E-002            NaN
  1215.20        500.000        98.9256                 NaN  0.712538E-001  0.286071                 NaN            NaN  0.135067                 NaN  0.558166       0.238266E-001            NaN
  1214.07        500.000        99.5507                 NaN  0.108724                 NaN            NaN            NaN  0.559534E-001            NaN  0.214805       0.186248E-001  0.511438E-001
  1212.93        500.000        99.3378                 NaN  0.174399       0.458701E-001            NaN            NaN  0.710646E-001            NaN  0.362593       0.824335E-002            NaN
  1211.80        500.000        98.5915                 NaN  0.285485                 NaN            NaN  0.232245       0.182670                 NaN  0.676249       0.319000E-001            NaN
