|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1347.72        500.000        99.1618                 NaN  0.318791       0.847267E-001            NaN  0.155219       0.279413                 NaN            NaN            NaN            NaN
  1346.59        500.000        99.1687                 NaN  0.821787E-001  0.316809                 NaN  0.155132       0.277149                 NaN            NaN            NaN            NaN
  1345.45        500.000        99.1751                 NaN  0.315386       0.797733E-001            NaN  0.154805       0.274897                 NaN            NaN            NaN            NaN
  1344.32        500.000        99.1814                 NaN  0.314358       0.758957E-001            NaN  0.155347       0.273050                 NaN            NaN            NaN            NaN
  1343.19        500.000        99.1906                 NaN  0.737617E-001  0.311490                 NaN  0.154273       0.269891                 NaN            NaN            NaN            NaN
  1342.05        500.000        99.1952                 NaN  0.310655       0.695145E-001            NaN  0.155643       0.269002                 NaN            NaN            NaN            NaN
  1340.92        500.000        99.2024                 NaN  0.690428E-001  0.308835                 NaN  0.153951       0.265739                 NaN            NaN            NaN            NaN
  1339.79        500.000        99.2111                 NaN  0.663029E-001  0.306234                 NaN  0.153392       0.262939                 NaN            NaN            NaN            NaN
  1338.66        500.000        99.2069                 NaN  0.307236       0.645448E-001            NaN  0.156152       0.265167                 NaN            NaN            NaN            NaN
  1337.52        500.000        99.2322                 NaN  0.605417E-001  0.300857                 NaN  0.150959       0.255460                 NaN            NaN            NaN            NaN
  1336.39        500.000        99.2135                 NaN  0.308705       0.632139E-001            NaN  0.146672       0.260311       0.760141E-002            NaN            NaN            NaN
  1335.26        500.000        99.0769                 NaN  0.372649       0.961529E-001            NaN  0.915101E-001  0.288089       0.746855E-001            NaN            NaN            NaN
  1334.13        500.000        99.0709                 NaN  0.381824       0.934155E-001            NaN  0.855942E-001  0.287806       0.804923E-001            NaN            NaN            NaN
  1332.99        500.000        99.0826                 NaN  0.916956E-001  0.376223                 NaN  0.849668E-001  0.284627       0.799225E-001            NaN            NaN            NaN
  1331.86        500.000        99.0861                 NaN  0.378283       0.871072E-001            NaN  0.834062E-001  0.283122       0.819882E-001            NaN            NaN            NaN
  1330.73        500.000        99.0902                 NaN  0.379054       0.847084E-001            NaN  0.811616E-001  0.281383       0.835004E-001            NaN            NaN            NaN
  1329.60        500.000        99.0955                 NaN  0.379480       0.816020E-001            NaN  0.793794E-001  0.279370       0.846730E-001            NaN            NaN            NaN
  1328.46        500.000        99.1033                 NaN  0.784167E-001  0.377845                 NaN  0.785691E-001  0.276985       0.848356E-001            NaN            NaN            NaN
  1327.33        500.000        99.1116                 NaN  0.376564       0.754923E-001            NaN  0.771590E-001  0.274172       0.850012E-001            NaN            NaN            NaN
  1326.20        500.000        99.1187                 NaN  0.724171E-001  0.375436                 NaN  0.763132E-001  0.271989       0.851379E-001            NaN            NaN            NaN
  1325.07        500.000        99.1299                 NaN  0.697017E-001  0.371324                 NaN  0.760950E-001  0.268822       0.841602E-001            NaN            NaN            NaN
  1323.93        500.000        99.1378                 NaN  0.368911       0.670442E-001            NaN  0.756182E-001  0.266637       0.839825E-001            NaN            NaN            NaN
  1322.80        500.000        99.1515                 NaN  0.364318       0.639990E-001            NaN  0.752504E-001  0.262482       0.824650E-001            NaN            NaN            NaN
  1321.67        500.000        99.1590                 NaN  0.362179       0.613517E-001            NaN  0.749218E-001  0.260346       0.821574E-001            NaN            NaN            NaN
  1320.53        500.000        99.1694                 NaN  0.592545E-001  0.358294                 NaN  0.744223E-001  0.257427       0.812052E-001            NaN            NaN            NaN
  1319.40        500.000        99.1808                 NaN  0.360201       0.368661E-001            NaN  0.856713E-001  0.256587       0.798484E-001            NaN            NaN            NaN
  1318.27        500.000        99.1866                 NaN  0.346908       0.748514E-001            NaN  0.618735E-001  0.249804       0.799748E-001            NaN            NaN            NaN
  1317.14        500.000        99.1976                 NaN  0.541637E-001  0.348218                 NaN  0.725453E-001  0.249030       0.784767E-001            NaN            NaN            NaN
  1316.00        500.000        99.2074                 NaN  0.344589       0.517734E-001            NaN  0.724131E-001  0.246284       0.775336E-001            NaN            NaN            NaN
  1314.87        500.000        99.2182                 NaN  0.340240       0.496981E-001            NaN  0.724486E-001  0.243227       0.761944E-001            NaN            NaN            NaN
  1313.74        500.000        99.2261                 NaN  0.501509E-001  0.336050                 NaN  0.714706E-001  0.240984       0.752039E-001            NaN            NaN            NaN
  1312.61        500.000        99.2379                 NaN  0.332410       0.473024E-001            NaN  0.708758E-001  0.237303       0.741768E-001            NaN            NaN            NaN
  1311.47        500.000        99.2458                 NaN  0.328941       0.464943E-001            NaN  0.704137E-001  0.235120       0.732533E-001            NaN            NaN            NaN
  1310.34        500.000        99.2548                 NaN  0.325429       0.452466E-001            NaN  0.698118E-001  0.232443       0.722563E-001            NaN            NaN            NaN
  1309.21        500.000        99.2643                 NaN  0.443914E-001  0.321169                 NaN  0.692455E-001  0.229706       0.711864E-001            NaN            NaN            NaN
  1308.08        500.000        99.2728                 NaN  0.317151       0.450001E-001            NaN  0.675967E-001  0.227032       0.704013E-001            NaN            NaN            NaN
  1306.94        500.000        99.2831                 NaN  0.395224E-001  0.314397                 NaN  0.695954E-001  0.224369       0.690334E-001            NaN            NaN            NaN
  1305.81        500.000        99.2910                 NaN  0.310007       0.414901E-001            NaN  0.674713E-001  0.221857       0.682075E-001            NaN            NaN            NaN
  1304.68        500.000        99.2997                 NaN  0.306125       0.408437E-001            NaN  0.668852E-001  0.219285       0.671570E-001            NaN            NaN            NaN
  1303.55        500.000        99.3077                 NaN  0.302392       0.410674E-001            NaN  0.657777E-001  0.216794       0.662276E-001            NaN            NaN            NaN
  1302.41        500.000        99.3163                 NaN  0.399857E-001  0.298929                 NaN  0.652500E-001  0.214274       0.652768E-001            NaN            NaN            NaN
  1301.28        500.000        99.3246                 NaN  0.398665E-001  0.295025                 NaN  0.644078E-001  0.211754       0.643041E-001            NaN            NaN            NaN
  1300.15        500.000        99.3326                 NaN  0.398572E-001  0.291161                 NaN  0.636053E-001  0.209418       0.633583E-001            NaN            NaN            NaN
  1299.01        500.000        99.3406                 NaN  0.393208E-001  0.287717                 NaN  0.629556E-001  0.206989       0.624117E-001            NaN            NaN            NaN
  1297.88        500.000        99.3485                 NaN  0.284168       0.390585E-001            NaN  0.621110E-001  0.204601       0.615437E-001            NaN            NaN            NaN
  1296.75        500.000        99.3560                 NaN  0.391157E-001  0.280715                 NaN  0.612024E-001  0.202334       0.606690E-001            NaN            NaN            NaN
  1295.62        500.000        99.3632                 NaN  0.400185E-001  0.277002                 NaN  0.599883E-001  0.200010       0.597550E-001            NaN            NaN            NaN
  1294.48        500.000        99.3712                 NaN  0.272953       0.376854E-001            NaN  0.611901E-001  0.198353       0.586519E-001            NaN            NaN            NaN
  1293.35        500.000        99.3790                 NaN  0.268773       0.431555E-001            NaN  0.564615E-001  0.194671       0.579549E-001            NaN            NaN            NaN
  1292.22        500.000        99.3851                 NaN  0.407776E-001  0.266547                 NaN  0.571221E-001  0.193293       0.571486E-001            NaN            NaN            NaN
  1291.09        500.000        99.3925                 NaN  0.408009E-001  0.262868                 NaN  0.564184E-001  0.191127       0.562948E-001            NaN            NaN            NaN
  1289.95        500.000        99.3995                 NaN  0.416131E-001  0.259396                 NaN  0.551949E-001  0.188891       0.554513E-001            NaN            NaN            NaN
  1288.82        500.000        99.4060                 NaN  0.428690E-001  0.255726                 NaN  0.539600E-001  0.186815       0.546106E-001            NaN            NaN            NaN
  1287.69        500.000        99.3950                 NaN  0.224057       0.104557                 NaN  0.366170E-001  0.187762       0.520030E-001            NaN            NaN            NaN
  1286.56        500.000        99.4300                 NaN  0.262708       0.187087E-001            NaN  0.544985E-001  0.179572       0.545177E-001            NaN            NaN            NaN
  1285.42        500.000        99.4013                 NaN  0.147715       0.207004                 NaN  0.979941E-002  0.181527       0.526404E-001            NaN            NaN            NaN
  1284.29        500.000        99.4223                 NaN  0.233241       0.503642E-001            NaN  0.618541E-001  0.183627       0.485949E-001            NaN            NaN            NaN
  1283.16        500.000        99.4592                 NaN  0.263426                 NaN            NaN  0.533547E-001  0.170929       0.531142E-001            NaN            NaN            NaN
  1282.03        500.000        99.4549                 NaN  0.254680                 NaN            NaN  0.659920E-001  0.174476       0.500009E-001            NaN            NaN            NaN
  1280.89        500.000        99.4614                 NaN  0.251604                 NaN            NaN  0.652289E-001  0.172489       0.492625E-001            NaN            NaN            NaN
  1279.76        500.000        99.4580                 NaN  0.231898       0.429767E-001            NaN  0.477774E-001  0.170859       0.484780E-001            NaN            NaN            NaN
  1278.63        500.000        99.4627                 NaN  0.225913       0.504221E-001            NaN  0.442241E-001  0.169004       0.476912E-001            NaN            NaN            NaN
  1277.49        500.000        99.4637                 NaN  0.736992E-001  0.215251                 NaN  0.325887E-001  0.167277       0.475012E-001            NaN            NaN            NaN
  1276.36        500.000        99.4802                 NaN  0.197430E-001  0.230644                 NaN  0.582281E-001  0.165731       0.454375E-001            NaN            NaN            NaN
  1275.23        500.000        99.4783                 NaN  0.212388       0.655936E-001            NaN  0.347376E-001  0.163125       0.458532E-001            NaN            NaN            NaN
  1274.10        500.000        99.4851                 NaN  0.212739       0.562649E-001            NaN  0.392790E-001  0.161808       0.448252E-001            NaN            NaN            NaN
  1272.96        500.000        99.4901                 NaN  0.209265       0.582189E-001            NaN  0.378868E-001  0.160301       0.441842E-001            NaN            NaN            NaN
  1271.83        500.000        99.4964                 NaN  0.574136E-001  0.207023                 NaN  0.375209E-001  0.158238       0.434486E-001            NaN            NaN            NaN
  1270.70        500.000        99.5008                 NaN  0.203042       0.610896E-001            NaN  0.354680E-001  0.156816       0.428239E-001            NaN            NaN            NaN
  1269.57        500.000        93.1680                 NaN  0.894212       0.751279                 NaN            NaN  0.891944       0.279886        4.01465                 NaN            NaN
  1268.43        500.000        91.9959                 NaN   1.01469       0.868862                 NaN            NaN   1.02583       0.319196        4.77556                 NaN            NaN
  1267.30        500.000        92.7366                 NaN  0.793583       0.921766                 NaN            NaN  0.936399       0.288841        4.32279                 NaN            NaN
  1266.17        500.000        93.3533                 NaN  0.845485       0.728617                 NaN            NaN  0.861472       0.264072        3.94710                 NaN            NaN
  1265.04        500.000        93.8781                 NaN  0.672178       0.780304                 NaN            NaN  0.797346       0.243191        3.62892                 NaN            NaN
  1263.90        500.000        94.3195                 NaN  0.725931       0.625424                 NaN            NaN  0.743326       0.225405        3.36040                 NaN            NaN
  1262.77        500.000        94.7069                 NaN  0.581566       0.678911                 NaN            NaN  0.695480       0.210411        3.12673                 NaN            NaN
  1261.64        500.000        95.0417                 NaN  0.637784       0.544762                 NaN            NaN  0.654154       0.197235        2.92436                 NaN            NaN
  1260.51        500.000        95.3417                 NaN  0.510097       0.601442                 NaN            NaN  0.616693       0.185708        2.74437                 NaN            NaN
  1259.37        500.000        95.6039                 NaN  0.480143       0.569682                 NaN            NaN  0.583935       0.175547        2.58682                 NaN            NaN
  1258.24        500.000        95.8420                 NaN  0.540939       0.452143                 NaN            NaN  0.554008       0.166365        2.44458                 NaN            NaN
  1257.11        500.000        96.0553                 NaN  0.515189       0.427130                 NaN            NaN  0.526862       0.158065        2.31744                 NaN            NaN
  1255.97        500.000        96.2472                 NaN  0.492195       0.404286                 NaN            NaN  0.502613       0.150759        2.20291                 NaN            NaN
  1254.84        500.000        96.4203                 NaN  0.384370       0.470670                 NaN            NaN  0.480372       0.143961        2.10036                 NaN            NaN
  1253.71        500.000        96.5803                 NaN  0.452013       0.364969                 NaN            NaN  0.459870       0.137715        2.00516                 NaN            NaN
  1252.58        500.000        96.7275                 NaN  0.433592       0.348109                 NaN            NaN  0.440847       0.131844        1.91816                 NaN            NaN
  1251.44        500.000        96.8644                 NaN  0.417180       0.330937                 NaN            NaN  0.422811       0.126617        1.83802                 NaN            NaN
  1250.31        500.000        96.9892                 NaN  0.316676       0.401363                 NaN            NaN  0.406919       0.121610        1.76427                 NaN            NaN
  1249.18        500.000        97.1050                 NaN  0.386306       0.303703                 NaN            NaN  0.391277       0.116786        1.69688                 NaN            NaN
  1248.05        500.000        97.2132                 NaN  0.289557       0.374500                 NaN            NaN  0.377209       0.112659        1.63288                 NaN            NaN
  1246.91        500.000        97.2762                 NaN  0.333458       0.338289                 NaN            NaN  0.366098       0.667491E-001   1.59620       0.230441E-001            NaN
  1245.78        500.000        97.3523                 NaN  0.353066       0.310039                 NaN            NaN  0.355212       0.468851E-001   1.55091       0.315693E-001            NaN
  1244.65        500.000        97.4400                 NaN  0.345786       0.297745                 NaN            NaN  0.343680       0.434388E-001   1.49830       0.310297E-001            NaN
  1243.52        500.000        97.5212                 NaN  0.337483       0.286919                 NaN            NaN  0.332888       0.409019E-001   1.45046       0.301211E-001            NaN
  1242.38        500.000        96.9615                 NaN  0.600318                 NaN            NaN            NaN  0.380726                 NaN   1.93326       0.124236                 NaN
  1241.25        500.000        95.9225                 NaN  0.263277       0.748059                 NaN            NaN  0.410319                 NaN   2.55341       0.102409                 NaN
  1240.12        500.000        98.6519                 NaN  0.399922                 NaN            NaN            NaN  0.342918       0.589603E-001  0.546250                 NaN            NaN
  1238.99        500.000        98.3369                 NaN  0.360253       0.207094                 NaN            NaN  0.218202       0.512492E-003  0.877060                 NaN            NaN
  1237.85        500.000        97.6947                 NaN  0.179717       0.425535                 NaN            NaN  0.308247                 NaN   1.39185                 NaN            NaN
  1236.72        500.000        98.4181                 NaN  0.141604       0.310044                 NaN            NaN  0.211493                 NaN  0.903353       0.154223E-001            NaN
  1235.59        500.000        97.0535                 NaN  0.343607       0.201427                 NaN            NaN  0.405852       0.142752        1.85288                 NaN            NaN
  1234.45        500.000        99.4849                 NaN  0.831686E-001  0.150599                 NaN            NaN  0.662989E-001  0.871871E-002  0.206361                 NaN            NaN
  1233.32        500.000        98.1125                 NaN  0.205442       0.389644                 NaN            NaN  0.251444                 NaN   1.01978       0.212021E-001            NaN
  1232.19        500.000        95.2282                 NaN  0.148464       0.727871                 NaN            NaN  0.676823       0.212526        3.00617                 NaN            NaN
  1231.06        500.000        99.7858                 NaN  0.302323E-001            NaN            NaN            NaN            NaN            NaN  0.182032       0.193869E-002            NaN
  1229.92        500.000        99.0408                 NaN  0.106676       0.207723                 NaN            NaN  0.151037       0.318648E-001  0.461918                 NaN            NaN
  1228.79        500.000        98.7287                 NaN  0.221779                 NaN            NaN            NaN  0.182463       0.547643E-001  0.812300                 NaN            NaN
  1227.66        500.000        95.6393                 NaN   1.27971                 NaN            NaN            NaN  0.537014       0.110487        2.40994       0.235954E-001            NaN
  1226.53        500.000        99.4699                 NaN  0.102838       0.299679E-001            NaN            NaN  0.689655E-001  0.209894E-001  0.307339                 NaN            NaN
  1225.39        500.000        98.6614                 NaN  0.297794       0.279449E-001            NaN            NaN  0.181774                 NaN  0.807552       0.235221E-001            NaN
  1224.26        500.000        99.7600                 NaN  0.222330E-001  0.487187E-001            NaN            NaN  0.298974E-001            NaN  0.135109       0.403249E-002            NaN
  1223.13        500.000        99.2259                 NaN  0.224840                 NaN            NaN  0.659771E-002  0.948185E-001  0.247310E-001  0.423129                 NaN            NaN
  1222.00        500.000        99.7880                 NaN  0.162365E-001            NaN            NaN            NaN  0.249658E-001            NaN  0.162909       0.790221E-002            NaN
  1220.86        500.000        98.2953                 NaN  0.375818                 NaN            NaN  0.378676E-001  0.223276       0.673905E-001   1.00035                 NaN            NaN
  1219.73        500.000        97.1883                 NaN  0.223304       0.537016                 NaN            NaN  0.380020                 NaN   1.63145       0.398724E-001            NaN
  1218.60        500.000        98.5438                 NaN  0.989249E-001  0.271036                 NaN            NaN  0.190607                 NaN  0.876669       0.189315E-001            NaN
  1217.47        500.000        98.7451                 NaN  0.282915       0.765432E-001            NaN            NaN  0.165053                 NaN  0.714744       0.156366E-001            NaN
  1216.33        500.000        97.9553                 NaN  0.311493       0.212902                 NaN            NaN  0.269574       0.642875E-001   1.18379       0.265721E-002            NaN
  1215.20        500.000        99.0778                 NaN  0.493416E-001  0.192440                 NaN            NaN  0.122604                 NaN  0.545229       0.126091E-001            NaN
