|6.6.6
Archiving\03_Data\eq/QFM_m5/TIS/TIS_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1910.26        2500.00        96.4867       0.828472        2.67902       0.582680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.4775       0.828608        2.68809       0.582724E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.4683       0.828744        2.69716       0.582768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.4591       0.828880        2.70623       0.582812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.4499       0.829016        2.71530       0.582856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        96.4410       0.829149        2.72399       0.582898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.4322       0.829282        2.73267       0.582941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.4234       0.829415        2.74136       0.582983E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        96.4146       0.829548        2.75006       0.583026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        96.4057       0.829681        2.75875       0.583068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        96.3969       0.829814        2.76744       0.583111E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        96.3881       0.829947        2.77614       0.583154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        96.3792       0.830080        2.78484       0.583196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        96.3708       0.830210        2.79316       0.583237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        96.3623       0.830340        2.80148       0.583278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        96.3539       0.830470        2.80980       0.583319E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        96.3454       0.830600        2.81812       0.583360E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        96.3370       0.830730        2.82644       0.583401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        96.3285       0.830860        2.83477       0.583442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        96.3201       0.830990        2.84310       0.583483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        96.3116       0.831120        2.85143       0.583525E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        96.3035       0.831248        2.85938       0.583564E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        96.2955       0.831375        2.86733       0.583604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        96.2874       0.831502        2.87529       0.583643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        96.2793       0.831629        2.88325       0.583683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        96.2712       0.831757        2.89121       0.583722E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        96.2631       0.831884        2.89917       0.583762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        96.2550       0.832011        2.90713       0.583802E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        96.2469       0.832138        2.91510       0.583842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        96.2392       0.832263        2.92269       0.583880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        96.2315       0.832387        2.93028       0.583918E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        96.2238       0.832512        2.93787       0.583956E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        96.2161       0.832636        2.94547       0.583994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        96.2083       0.832761        2.95307       0.584032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        96.2006       0.832885        2.96066       0.584071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        96.1929       0.833010        2.96826       0.584109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        96.1852       0.833134        2.97587       0.584148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        96.1778       0.833256        2.98309       0.584184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        96.1705       0.833378        2.99032       0.584221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        96.1631       0.833499        2.99755       0.584258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        96.1557       0.833621        3.00479       0.584295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        96.1484       0.833743        3.01202       0.584332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        96.1410       0.833865        3.01926       0.584369E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        96.1337       0.833986        3.02649       0.584406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        96.1263       0.834108        3.03373       0.584443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        96.1193       0.834227        3.04060       0.584478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        96.1123       0.834346        3.04747       0.584513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        96.1053       0.834465        3.05434       0.584549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        96.0984       0.834584        3.06121       0.584584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        96.0914       0.834703        3.06809       0.584620E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        96.0844       0.834822        3.07496       0.584656E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        96.0774       0.834941        3.08184       0.584691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        96.0704       0.835061        3.08872       0.584727E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        96.0637       0.835177        3.09523       0.584761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        96.0571       0.835294        3.10174       0.584795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        96.0505       0.835410        3.10826       0.584829E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        96.0438       0.835527        3.11478       0.584864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        96.0372       0.835643        3.12129       0.584898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        96.0306       0.835759        3.12781       0.584932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        96.0239       0.835876        3.13433       0.584967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        96.0173       0.835992        3.14086       0.585001E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        96.0110       0.836106        3.14701       0.585034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        96.0048       0.836220        3.15316       0.585067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        95.9985       0.836334        3.15931       0.585100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        95.9922       0.836448        3.16547       0.585133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        95.9860       0.836562        3.17163       0.585166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        95.9797       0.836676        3.17779       0.585199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        95.9734       0.836790        3.18394       0.585232E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        95.9671       0.836904        3.19011       0.585265E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        95.9627       0.837003        3.19446       0.585288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        95.9582       0.837103        3.19881       0.585312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        95.9538       0.837202        3.20317       0.585335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        95.9493       0.837302        3.20753       0.585358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        95.9449       0.837402        3.21188       0.585382E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        95.9404       0.837501        3.21624       0.585406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        95.9359       0.837601        3.22060       0.585429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        95.9315       0.837700        3.22496       0.585453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        95.9229       0.837833        3.23337       0.585500E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        95.9144       0.837967        3.24178       0.585547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        95.9059       0.838100        3.25019       0.585595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        95.8973       0.838233        3.25860       0.585642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        95.8918       0.838341        3.26401       0.585672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        95.8863       0.838450        3.26942       0.585703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        95.8763       0.838563        3.27427       0.585736E-002  0.504635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        95.8611       0.838680        3.27857       0.585773E-002  0.158137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        95.8462       0.838797        3.28278       0.585809E-002  0.263804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        95.8313       0.838914        3.28699       0.585845E-002  0.369503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        95.8164       0.839030        3.29121       0.585882E-002  0.475233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        95.8015       0.839147        3.29542       0.585918E-002  0.580996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        95.7869       0.839262        3.29952       0.585954E-002  0.684128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        95.7724       0.839378        3.30362       0.585989E-002  0.787291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        95.7546       0.839505        3.30862       0.586033E-002  0.914204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        95.0146       0.840301        3.31525       0.586544E-002  0.906035E-001  0.733358                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        93.3349       0.842000        3.32707       0.587685E-002  0.794714E-001   2.41066                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        91.6485       0.843703        3.33892       0.588829E-002  0.682938E-001   4.09471                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        89.9553       0.845412        3.35082       0.589977E-002  0.570705E-001   5.78552                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        88.2553       0.847125        3.36275       0.591127E-002  0.458014E-001   7.48312                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        86.7033       0.848698        3.37330       0.592180E-002  0.333532E-001   9.03540                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        85.1457       0.850274        3.38388       0.593235E-002  0.208585E-001   10.5934                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        83.6516       0.851789        3.39380       0.594247E-002  0.817581E-002   12.0886                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        82.2243       0.853195        3.40031       0.593302E-002            NaN   13.4727       0.435787E-001            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        80.9973       0.854350        3.40062       0.589936E-002            NaN   14.6021       0.139764                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        79.7670       0.855506        3.40093       0.586561E-002            NaN   15.7345       0.236208                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        78.5335       0.856664        3.40123       0.583175E-002            NaN   16.8698       0.332909                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        77.2968       0.857823        3.40152       0.579781E-002            NaN   18.0082       0.429868                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        76.0567       0.858983        3.40181       0.576376E-002            NaN   19.1496       0.527086                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        74.8135       0.860145        3.40209       0.572961E-002            NaN   20.2940       0.624563                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        73.5669       0.861308        3.40237       0.569537E-002            NaN   21.4414       0.722299                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        72.3171       0.862472        3.40264       0.566103E-002            NaN   22.5919       0.820296                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        71.2714       0.863452        3.40002       0.563074E-002            NaN   23.5526       0.906826                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        70.2235       0.864432        3.39740       0.560037E-002            NaN   24.5155       0.993550                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        69.1733       0.865414        3.39476       0.556994E-002            NaN   25.4805        1.08047                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        68.1208       0.866397        3.39211       0.553943E-002            NaN   26.4476        1.16758                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        67.0660       0.867380        3.38945       0.550885E-002            NaN   27.4167        1.25488                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        66.0090       0.868364        3.38678       0.547820E-002            NaN   28.3880        1.34238                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        64.9496       0.869349        3.38410       0.544747E-002            NaN   29.3615        1.43007                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        63.8879       0.870334        3.38141       0.541667E-002            NaN   30.3370        1.51795                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        62.5819       0.871632        3.38494       0.542793E-002            NaN   30.1993        1.51387        1.44297                 NaN            NaN            NaN            NaN
  1532.05        2500.00        61.0207       0.873244        3.39459       0.546912E-002            NaN   29.2872        1.44530        3.97342                 NaN            NaN            NaN            NaN
  1528.85        2500.00        59.4219       0.874927        3.40538       0.550914E-002            NaN   28.4147        1.38021        6.49740                 NaN            NaN            NaN            NaN
  1525.64        2500.00        57.8171       0.876615        3.41619       0.554930E-002            NaN   27.5386        1.31487        9.03106                 NaN            NaN            NaN            NaN
  1522.44        2500.00        56.1845       0.878362        3.42771       0.558652E-002            NaN   26.7356        1.25692        11.5114                 NaN            NaN            NaN            NaN
  1519.23        2500.00        54.2543       0.880539        3.44928       0.562362E-002            NaN   26.1437        1.20558        13.3011       0.759825                 NaN            NaN            NaN
  1516.03        2500.00        54.2527       0.880582        3.44930       0.562349E-002            NaN   26.1447        1.20563        13.3016       0.759852                 NaN            NaN            NaN
  1512.82        2500.00        50.3051       0.885091        3.49812       0.569458E-002            NaN   25.3400        1.11250        15.6446        3.20884                 NaN            NaN            NaN
  1509.62        2500.00        50.3035       0.885132        3.49814       0.569443E-002            NaN   25.3409        1.11254        15.6451        3.20894                 NaN            NaN            NaN
  1506.41        2500.00        50.3019       0.885173        3.49815       0.569428E-002            NaN   25.3418        1.11257        15.6457        3.20904                 NaN            NaN            NaN
  1503.21        2500.00        50.3003       0.885214        3.49816       0.569413E-002            NaN   25.3426        1.11261        15.6462        3.20914                 NaN            NaN            NaN
  1500.00        2500.00        50.2987       0.885255        3.49818       0.569399E-002            NaN   25.3435        1.11264        15.6468        3.20924                 NaN            NaN            NaN
  1496.79        2500.00        50.2971       0.885296        3.49819       0.569384E-002            NaN   25.3443        1.11268        15.6473        3.20935                 NaN            NaN            NaN
  1493.59        2500.00        50.2955       0.885337        3.49820       0.569369E-002            NaN   25.3452        1.11271        15.6479        3.20945                 NaN            NaN            NaN
  1490.38        2500.00        50.2939       0.885378        3.49822       0.569354E-002            NaN   25.3461        1.11275        15.6485        3.20955                 NaN            NaN            NaN
  1487.18        2500.00        37.5923       0.899661        3.60456       0.586190E-002            NaN   23.6795       0.953075        11.4343        21.8308                 NaN            NaN            NaN
  1483.97        2500.00        37.5909       0.899693        3.60454       0.586168E-002            NaN   23.6800       0.953095        11.4345        21.8314                 NaN            NaN            NaN
  1480.77        2500.00        37.5895       0.899725        3.60451       0.586147E-002            NaN   23.6806       0.953116        11.4348        21.8319                 NaN            NaN            NaN
  1477.56        2500.00        37.5881       0.899757        3.60449       0.586126E-002            NaN   23.6811       0.953136        11.4350        21.8325                 NaN            NaN            NaN
  1474.36        2500.00        37.5867       0.899789        3.60447       0.586105E-002            NaN   23.6817       0.953157        11.4353        21.8331                 NaN            NaN            NaN
  1471.15        2500.00        37.5853       0.899821        3.60445       0.586084E-002            NaN   23.6823       0.953177        11.4355        21.8336                 NaN            NaN            NaN
  1467.95        2500.00        37.5839       0.899853        3.60442       0.586062E-002            NaN   23.6828       0.953198        11.4358        21.8342                 NaN            NaN            NaN
  1464.74        2500.00        37.5825       0.899884        3.60440       0.586041E-002            NaN   23.6834       0.953218        11.4360        21.8347                 NaN            NaN            NaN
  1461.54        2500.00        28.5059       0.909759        3.58032       0.580773E-002            NaN   23.7572        1.24534        24.2533        17.7424                 NaN            NaN            NaN
  1458.33        2500.00        28.5048       0.909784        3.58028       0.580747E-002            NaN   23.7576        1.24536        24.2537        17.7427                 NaN            NaN            NaN
  1455.13        2500.00        28.5037       0.909809        3.58023       0.580722E-002            NaN   23.7580        1.24538        24.2542        17.7429                 NaN            NaN            NaN
  1451.92        2500.00        28.5026       0.909835        3.58018       0.580697E-002            NaN   23.7584        1.24540        24.2546        17.7432                 NaN            NaN            NaN
  1448.72        2500.00        24.8709       0.913614        3.52530       0.570049E-002            NaN   24.1815        1.56307        24.5497        20.3902                 NaN            NaN            NaN
  1445.51        2500.00        24.0544       0.914444        3.50650       0.566259E-002  0.146773E-003   24.2814        1.66678        24.5796        20.9910                 NaN            NaN            NaN
  1442.31        2500.00        23.2436       0.915240        3.48314       0.562164E-002  0.203903E-001   24.1754        1.77674        21.5783        24.8016                 NaN            NaN            NaN
  1439.10        2500.00        22.0411       0.916082        3.46299       0.554676E-002  0.427533E-001   23.8415        1.96741        22.0262        25.3747       0.321709                 NaN            NaN
  1435.90        2500.00        20.6270       0.916874        3.44251       0.544205E-002  0.666577E-001   23.3197        2.22725        26.1945        22.3388       0.861222                 NaN            NaN
  1432.69        2500.00        20.6263       0.916894        3.44245       0.544178E-002  0.666603E-001   23.3199        2.22727        26.1949        22.3389       0.861281                 NaN            NaN
  1429.49        2500.00        20.6255       0.916913        3.44238       0.544151E-002  0.666629E-001   23.3202        2.22729        26.1952        22.3391       0.861340                 NaN            NaN
  1426.28        2500.00        20.6247       0.916932        3.44231       0.544124E-002  0.666655E-001   23.3204        2.22730        26.1955        22.3393       0.861400                 NaN            NaN
  1423.08        2500.00        20.6239       0.916951        3.44224       0.544098E-002  0.666682E-001   23.3206        2.22732        26.1959        22.3395       0.861459                 NaN            NaN
  1419.87        2500.00        20.6231       0.916970        3.44218       0.544071E-002  0.666708E-001   23.3208        2.22734        26.1962        22.3397       0.861518                 NaN            NaN
  1416.67        2500.00        20.6224       0.916989        3.44211       0.544044E-002  0.666734E-001   23.3211        2.22736        26.1965        22.3399       0.861577                 NaN            NaN
  1413.46        2500.00        20.6216       0.917008        3.44204       0.544018E-002  0.666759E-001   23.3213        2.22737        26.1969        22.3401       0.861637                 NaN            NaN
  1410.26        2500.00        12.6257       0.919679        3.13449       0.435612E-002  0.269805        18.7721        4.80688        23.6775        31.5693        4.22027                 NaN            NaN
  1407.05        2500.00        12.6252       0.919691        3.13440       0.435588E-002  0.269813        18.7722        4.80689        23.6775        31.5694        4.22053                 NaN            NaN
  1403.85        2500.00        12.6248       0.919703        3.13432       0.435564E-002  0.269822        18.7722        4.80689        23.6775        31.5696        4.22079                 NaN            NaN
  1400.64        2500.00        12.6244       0.919716        3.13424       0.435539E-002  0.269831        18.7722        4.80690        23.6775        31.5698        4.22104                 NaN            NaN
  1397.44        2500.00        12.6239       0.919728        3.13415       0.435515E-002  0.269839        18.7723        4.80690        23.6776        31.5699        4.22130                 NaN            NaN
  1394.23        2500.00        12.6235       0.919740        3.13407       0.435491E-002  0.269848        18.7723        4.80690        23.6776        31.5701        4.22156                 NaN            NaN
  1391.03        2500.00        12.6230       0.919753        3.13399       0.435466E-002  0.269856        18.7724        4.80691        23.6776        31.5703        4.22182                 NaN            NaN
  1387.82        2500.00        12.6226       0.919765        3.13391       0.435442E-002  0.269865        18.7724        4.80691        23.6777        31.5704        4.22208                 NaN            NaN
  1384.62        2500.00        7.58431       0.918652        2.61385       0.281585E-002  0.497637        13.2707        8.31607        36.2419        23.7886        6.76548                 NaN            NaN
  1381.41        2500.00        7.58408       0.918661        2.61377       0.281568E-002  0.497651        13.2707        8.31605        36.2419        23.7885        6.76587                 NaN            NaN
  1378.21        2500.00        7.58385       0.918669        2.61369       0.281551E-002  0.497665        13.2707        8.31602        36.2419        23.7885        6.76625                 NaN            NaN
  1375.00        2500.00        7.58362       0.918677        2.61361       0.281534E-002  0.497678        13.2707        8.31600        36.2419        23.7884        6.76664                 NaN            NaN
  1371.79        2500.00        7.58338       0.918685        2.61354       0.281518E-002  0.497692        13.2706        8.31597        36.2420        23.7883        6.76703                 NaN            NaN
  1368.59        2500.00        7.58315       0.918693        2.61346       0.281501E-002  0.497706        13.2706        8.31594        36.2420        23.7882        6.76741                 NaN            NaN
  1365.38        2500.00        7.58292       0.918701        2.61338       0.281484E-002  0.497719        13.2706        8.31592        36.2420        23.7882        6.76780                 NaN            NaN
