|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              hed           
  1572.37        2500.00                 NaN   99.4271                 NaN  0.509411       0.634585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4274                 NaN  0.509845       0.627605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN   99.4378                 NaN  0.512803       0.493999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4390                 NaN  0.489878       0.711022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN   99.4453                 NaN  0.495561       0.590962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN   99.4492                 NaN  0.492446       0.583265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN   99.4546                 NaN  0.487824       0.575804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.4530                 NaN  0.487596       0.594131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN   99.4690                 NaN  0.473591       0.574449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN   99.4694                 NaN  0.477566       0.530828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN   99.4728                 NaN  0.472553       0.546412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4755                 NaN  0.472013       0.524901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN   99.4803                 NaN  0.461987       0.577629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN   99.4817                 NaN  0.472739       0.456038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN   99.4910                 NaN  0.459250       0.497496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.4941                 NaN  0.454947       0.509174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00                 NaN   99.4966                 NaN  0.454545       0.488298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.5014                 NaN  0.450002       0.485826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN   99.5045                 NaN  0.448237       0.472926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN   99.7441                 NaN  0.230743       0.252028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN   99.2765                 NaN  0.655046       0.684171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN   99.5174                 NaN  0.437029       0.455896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN   99.4441                 NaN  0.503869       0.520352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN   99.5990                 NaN  0.364516       0.365328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN   99.4391                 NaN  0.547305       0.135840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.6173                 NaN  0.309126       0.735639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN   99.5362                 NaN  0.421085       0.427515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN   99.5335                 NaN  0.426827       0.397133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN   99.5445                 NaN  0.414474       0.410111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN   99.5434                 NaN  0.417933       0.386860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN   99.5485                 NaN  0.410783       0.407587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN   99.5500                 NaN  0.412060       0.379871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN   99.5528                 NaN  0.411437       0.357303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN   99.5563                 NaN  0.407098       0.365830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN   99.5588                 NaN  0.406188       0.349971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN   99.5588                 NaN  0.407667       0.335586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN   99.5692                 NaN  0.394265       0.365220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN   99.1182                 NaN  0.820816       0.610056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN   99.9051                 NaN  0.889097E-001  0.595335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN   99.7125                 NaN  0.264102       0.233781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN   99.5519                 NaN  0.414962       0.331729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN   99.5778                 NaN  0.391933       0.302529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN   99.5231                 NaN  0.199315                 NaN  0.277618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN   99.4729                 NaN  0.280255E-001            NaN  0.499028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN   99.4807                 NaN  0.144510       0.109436E-005  0.374766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN   99.4743                 NaN            NaN            NaN  0.525710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN   99.4767                 NaN            NaN            NaN  0.523279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN   99.4775                 NaN            NaN            NaN  0.522516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN   99.4787                 NaN            NaN            NaN  0.521306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN   98.8041                 NaN            NaN            NaN   1.19591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN   99.9490                 NaN            NaN            NaN  0.509848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00                 NaN   99.7838                 NaN            NaN            NaN  0.216174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   99.3848                 NaN            NaN            NaN  0.615173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.4813                 NaN            NaN            NaN  0.518694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN   99.4803                 NaN            NaN            NaN  0.519668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN   99.4787                 NaN            NaN            NaN  0.521341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN   99.4787                 NaN            NaN            NaN  0.521294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN   99.4751                 NaN            NaN            NaN  0.524940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN   99.4739                 NaN            NaN            NaN  0.526067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN   99.4901                 NaN            NaN            NaN  0.509868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN   99.4487                 NaN            NaN            NaN  0.551320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN   99.4690                 NaN            NaN            NaN  0.531029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN   99.4612                 NaN            NaN            NaN  0.538839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN   99.4690                 NaN            NaN            NaN  0.531043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN   99.4363                 NaN            NaN            NaN  0.563737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN   99.2621                 NaN            NaN            NaN  0.417496       0.320392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN   99.2196                 NaN            NaN            NaN  0.251895       0.528502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN   99.2242                 NaN            NaN            NaN  0.525817       0.249970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN   99.2314                 NaN            NaN            NaN  0.246252       0.522347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   99.2387                 NaN            NaN            NaN  0.515661       0.245634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN   99.2443                 NaN            NaN            NaN  0.512274       0.243436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN   99.2509                 NaN            NaN            NaN  0.508147       0.240985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.2567                 NaN            NaN            NaN  0.504010       0.239316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN   99.2641                 NaN            NaN            NaN  0.236773       0.499091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN   99.2694                 NaN            NaN            NaN  0.495488       0.235082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN   99.2755                 NaN            NaN            NaN  0.233250       0.491291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN   99.2810                 NaN            NaN            NaN  0.487680       0.231339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN   99.2866                 NaN            NaN            NaN  0.229622       0.483756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN   99.2921                 NaN            NaN            NaN  0.227347       0.480600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN   99.2977                 NaN            NaN            NaN  0.225587       0.476692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN   99.3026                 NaN            NaN            NaN  0.473675       0.223724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN   99.3079                 NaN            NaN            NaN  0.470161       0.221952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN   99.3069                 NaN            NaN            NaN  0.473879       0.219255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN   99.3253                 NaN            NaN            NaN  0.217892       0.456761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN   99.3235                 NaN            NaN            NaN  0.459983       0.216556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN   99.3275                 NaN            NaN            NaN  0.457346       0.215130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN   99.3343                 NaN            NaN            NaN  0.212020       0.453710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN   99.3539                 NaN            NaN            NaN  0.206986       0.439154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN   99.3249                 NaN            NaN            NaN  0.214628       0.460469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   99.3472                 NaN            NaN            NaN  0.207942       0.444819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN   99.3514                 NaN            NaN            NaN  0.206030       0.442581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN   98.9282                 NaN            NaN            NaN  0.449714       0.398083                 NaN  0.223979                 NaN            NaN            NaN            NaN            NaN
  1432.69        2500.00                 NaN   98.2350                 NaN            NaN            NaN  0.457165       0.715014                 NaN  0.592867                 NaN            NaN            NaN            NaN            NaN
  1431.17        2500.00                 NaN   98.2708                 NaN            NaN            NaN  0.447452       0.700974                 NaN  0.580798                 NaN            NaN            NaN            NaN            NaN
  1429.66        2500.00                 NaN   98.3030                 NaN            NaN            NaN  0.439107       0.688148                 NaN  0.569749                 NaN            NaN            NaN            NaN            NaN
  1428.14        2500.00                 NaN   98.3097                 NaN            NaN  0.137036       0.493275       0.465329                 NaN  0.594618                 NaN            NaN            NaN            NaN            NaN
  1426.62        2500.00                 NaN   98.3322                 NaN            NaN  0.185908       0.508834       0.376239                 NaN  0.596865                 NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN   98.3639                 NaN            NaN  0.184494       0.500560       0.364992                 NaN  0.586082                 NaN            NaN            NaN            NaN            NaN
  1423.58        2500.00                 NaN   98.3813                 NaN            NaN  0.185887       0.354382       0.498117                 NaN  0.580271                 NaN            NaN            NaN            NaN            NaN
  1422.07        2500.00                 NaN   98.4300                 NaN            NaN  0.180142       0.342322       0.484801                 NaN  0.562700                 NaN            NaN            NaN            NaN            NaN
  1420.55        2500.00                 NaN   98.4547                 NaN            NaN  0.179883       0.477717       0.333163                 NaN  0.554492                 NaN            NaN            NaN            NaN            NaN
  1419.03        2500.00                 NaN   98.4804                 NaN            NaN  0.180266       0.471943       0.321052                 NaN  0.546312                 NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.5104                 NaN            NaN  0.176751       0.465580       0.312292                 NaN  0.534989                 NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.5604                 NaN            NaN  0.174311       0.451876       0.295304                 NaN  0.518135                 NaN            NaN            NaN            NaN            NaN
  1414.47        2500.00                 NaN   98.5330                 NaN            NaN  0.178266       0.460548       0.300460                 NaN  0.527686                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5861                 NaN            NaN  0.173368       0.446942       0.284694                 NaN  0.508876                 NaN            NaN            NaN            NaN            NaN
  1411.44        2500.00                 NaN   98.6091                 NaN            NaN  0.173191       0.441340       0.275081                 NaN  0.501296                 NaN            NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.6350                 NaN            NaN  0.171267       0.433932       0.267613                 NaN  0.492151                 NaN            NaN            NaN            NaN            NaN
  1408.40        2500.00                 NaN   98.6579                 NaN            NaN  0.170182       0.428417       0.259285                 NaN  0.484205                 NaN            NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN   98.6793                 NaN            NaN  0.169593       0.422073       0.252124                 NaN  0.476954                 NaN            NaN            NaN            NaN            NaN
  1405.36        2500.00                 NaN   98.6995                 NaN            NaN  0.169123       0.241849       0.419483                 NaN  0.470065                 NaN            NaN            NaN            NaN            NaN
  1403.85        2500.00                 NaN   98.7260                 NaN            NaN  0.165532       0.410567       0.237838                 NaN  0.460018                 NaN            NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.7444                 NaN            NaN  0.165748       0.407415       0.228487                 NaN  0.453941                 NaN            NaN            NaN            NaN            NaN
  1400.81        2500.00                 NaN   98.7649                 NaN            NaN  0.164671       0.401880       0.221654                 NaN  0.446860                 NaN            NaN            NaN            NaN            NaN
  1399.29        2500.00                 NaN   98.7845                 NaN            NaN  0.163535       0.213506       0.398783                 NaN  0.439629                 NaN            NaN            NaN            NaN            NaN
  1397.77        2500.00                 NaN   98.8036                 NaN            NaN  0.162241       0.393324       0.207795                 NaN  0.433011                 NaN            NaN            NaN            NaN            NaN
  1396.26        2500.00                 NaN   98.8237                 NaN            NaN  0.161027       0.201513       0.387864                 NaN  0.425935                 NaN            NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN   98.8417                 NaN            NaN  0.160557       0.382066       0.195808                 NaN  0.419838                 NaN            NaN            NaN            NaN            NaN
  1393.22        2500.00                 NaN   98.8601                 NaN            NaN  0.158245       0.189767       0.379068                 NaN  0.412869                 NaN            NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN   98.8092                 NaN            NaN  0.796645E-001  0.295890       0.376126                 NaN  0.426458       0.126171E-001            NaN            NaN            NaN            NaN
  1390.18        2500.00                 NaN   98.7663                 NaN            NaN  0.259131E-002  0.369634       0.399701                 NaN  0.437132       0.245967E-001            NaN            NaN            NaN            NaN
  1388.66        2500.00                 NaN   98.7926                 NaN            NaN  0.707484E-002  0.385639       0.363032                 NaN  0.428155       0.234847E-001            NaN            NaN            NaN            NaN
  1387.15        2500.00                 NaN   98.8181                 NaN            NaN  0.109729E-001  0.373069       0.356120                 NaN  0.419261       0.224342E-001            NaN            NaN            NaN            NaN
  1385.63        2500.00                 NaN   98.8420                 NaN            NaN  0.151480E-001  0.350191       0.360157                 NaN  0.411142       0.214010E-001            NaN            NaN            NaN            NaN
  1384.11        2500.00                 NaN   98.8667                 NaN            NaN  0.191344E-001  0.347409       0.343909                 NaN  0.402450       0.203743E-001            NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.9453                 NaN            NaN  0.238331       0.406800                 NaN            NaN  0.404949       0.462133E-002            NaN            NaN            NaN            NaN
  1381.07        2500.00                 NaN   98.9323                 NaN            NaN            NaN  0.348531       0.327219                 NaN  0.373576       0.183612E-001            NaN            NaN            NaN            NaN
  1379.56        2500.00                 NaN   98.9215                 NaN            NaN  0.709845E-003  0.361957       0.316196                 NaN  0.379783       0.198220E-001            NaN            NaN            NaN            NaN
  1378.04        2500.00                 NaN   98.9401                 NaN            NaN            NaN  0.357466       0.310067                 NaN  0.373058       0.193531E-001            NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN   98.9614                 NaN            NaN            NaN  0.301484       0.353552                 NaN  0.364992       0.186145E-001            NaN            NaN            NaN            NaN
  1375.00        2500.00                 NaN   98.9782                 NaN            NaN            NaN  0.295969       0.349097                 NaN  0.358738       0.180440E-001            NaN            NaN            NaN            NaN
  1373.48        2500.00                 NaN   98.8887                 NaN            NaN            NaN  0.380267       0.321717                 NaN  0.389938       0.193688E-001            NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.1375                 NaN            NaN  0.437970E-001  0.269849       0.229934                 NaN  0.307305       0.115704E-001            NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN   99.0507                 NaN            NaN  0.539177E-001  0.245761       0.298869                 NaN  0.338731       0.120680E-001            NaN            NaN            NaN            NaN
  1368.93        2500.00                 NaN   99.0661                 NaN            NaN  0.618504E-001  0.296871       0.229607                 NaN  0.334548       0.110493E-001            NaN            NaN            NaN            NaN
  1367.41        2500.00                 NaN   99.0883                 NaN            NaN  0.576871E-001  0.231519       0.287350                 NaN  0.324652       0.104927E-001            NaN            NaN            NaN            NaN
  1365.89        2500.00                 NaN   99.1019                 NaN            NaN  0.648048E-001  0.215460       0.287441                 NaN  0.320848       0.956010E-002            NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1180                 NaN            NaN  0.688060E-001  0.205016       0.284121                 NaN  0.315283       0.872524E-002            NaN            NaN            NaN            NaN
  1362.85        2500.00                 NaN   99.1330                 NaN            NaN  0.725815E-001  0.194834       0.281532                 NaN  0.310058       0.796193E-002            NaN            NaN            NaN            NaN
  1361.34        2500.00                 NaN   99.1377                 NaN            NaN  0.776119E-001  0.282741       0.184700                 NaN  0.309691       0.752507E-002            NaN            NaN            NaN            NaN
  1359.82        2500.00                 NaN   99.1742                 NaN            NaN  0.775742E-001  0.270369       0.177683                 NaN  0.294068       0.608385E-002            NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN   99.1787                 NaN            NaN  0.832758E-001  0.272094       0.166365                 NaN  0.294021       0.555343E-002            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.1924                 NaN            NaN  0.872756E-001  0.269542       0.156705                 NaN  0.289269       0.476441E-002            NaN            NaN            NaN            NaN
  1355.26        2500.00                 NaN   99.2061                 NaN            NaN  0.907797E-001  0.147325       0.267293                 NaN  0.284446       0.400601E-002            NaN            NaN            NaN            NaN
  1353.75        2500.00                 NaN   99.2195                 NaN            NaN  0.945473E-001  0.265419       0.137556                 NaN  0.279749       0.323576E-002            NaN            NaN            NaN            NaN
  1352.23        2500.00                 NaN   99.2323                 NaN            NaN  0.980217E-001  0.263501       0.128440                 NaN  0.275208       0.250743E-002            NaN            NaN            NaN            NaN
  1350.71        2500.00                 NaN   99.2453                 NaN            NaN  0.101787       0.118989       0.261569                 NaN  0.270606       0.172134E-002            NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.2571                 NaN            NaN  0.105611       0.260991       0.108828                 NaN  0.266488       0.100210E-002            NaN            NaN            NaN            NaN
  1347.67        2500.00                 NaN   99.2697                 NaN            NaN  0.109264       0.258318       0.100528                 NaN  0.261990       0.193713E-003            NaN            NaN            NaN            NaN
  1346.15        2500.00                 NaN   99.2800                 NaN            NaN  0.109168       0.255582       0.970570E-001            NaN  0.258158                 NaN            NaN            NaN            NaN            NaN
  1344.64        2500.00                 NaN   99.2782                 NaN            NaN  0.101423       0.264840       0.912630E-001            NaN  0.260959       0.334897E-002            NaN            NaN            NaN            NaN
  1343.12        2500.00                 NaN   99.2963                 NaN            NaN  0.880998E-001  0.133735       0.233690                 NaN  0.248154                 NaN            NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.3063                 NaN            NaN  0.105774       0.903548E-001  0.249342                 NaN  0.248212                 NaN            NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.3143                 NaN            NaN  0.101477       0.954779E-001  0.244086                 NaN  0.244651                 NaN            NaN            NaN            NaN            NaN
  1338.56        2500.00                 NaN   99.3230                 NaN            NaN  0.101281       0.242463       0.916599E-001            NaN  0.241572                 NaN            NaN            NaN            NaN            NaN
  1337.04        2500.00                 NaN   99.3311                 NaN            NaN  0.996329E-001  0.240166       0.907410E-001            NaN  0.238318                 NaN            NaN            NaN            NaN            NaN
  1335.53        2500.00                 NaN   99.3391                 NaN            NaN  0.981452E-001  0.237772       0.897194E-001            NaN  0.235231                 NaN            NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.3020                 NaN            NaN  0.570556E-001  0.140519       0.257014                 NaN  0.243411                 NaN            NaN            NaN            NaN            NaN
