|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1438.34        2500.00        98.1386       0.610604       0.380467                 NaN  0.230927                 NaN  0.639431                 NaN            NaN            NaN
  1437.12        2500.00        98.1643       0.604344       0.369366                 NaN  0.230760                 NaN  0.631277                 NaN            NaN            NaN
  1435.90        2500.00        98.1954       0.596429       0.357819                 NaN  0.229390                 NaN  0.620971                 NaN            NaN            NaN
  1434.68        2500.00        98.2194       0.346980       0.590741                 NaN  0.229388                 NaN  0.613466                 NaN            NaN            NaN
  1433.46        2500.00        98.2467       0.583924       0.336528                 NaN  0.228585                 NaN  0.604282                 NaN            NaN            NaN
  1432.23        2500.00        98.2637       0.579725       0.327255                 NaN  0.229762                 NaN  0.599575                 NaN            NaN            NaN
  1431.01        2500.00        98.3025       0.315481       0.570285                 NaN  0.226331                 NaN  0.585404                 NaN            NaN            NaN
  1429.79        2500.00        98.3213       0.305462       0.566296                 NaN  0.226917                 NaN  0.580026                 NaN            NaN            NaN
  1428.57        2500.00        98.3417       0.562048       0.295794                 NaN  0.226958                 NaN  0.573536                 NaN            NaN            NaN
  1427.35        2500.00        98.3662       0.286664       0.555408                 NaN  0.226241                 NaN  0.565488                 NaN            NaN            NaN
  1426.13        2500.00        98.3864       0.277134       0.551329                 NaN  0.226148                 NaN  0.558957                 NaN            NaN            NaN
  1424.91        2500.00        98.4084       0.545802       0.268368                 NaN  0.225909                 NaN  0.551567                 NaN            NaN            NaN
  1423.69        2500.00        98.4302       0.540923       0.258874                 NaN  0.225249                 NaN  0.544737                 NaN            NaN            NaN
  1422.47        2500.00        98.4536       0.251023       0.534790                 NaN  0.224088                 NaN  0.536460                 NaN            NaN            NaN
  1421.25        2500.00        98.4713       0.531025       0.242017                 NaN  0.224572                 NaN  0.531091                 NaN            NaN            NaN
  1420.02        2500.00        98.4851       0.235299       0.527826                 NaN  0.224809                 NaN  0.526992                 NaN            NaN            NaN
  1418.80        2500.00        98.5151       0.521202       0.224390                 NaN  0.223105                 NaN  0.516220                 NaN            NaN            NaN
  1417.58        2500.00        98.5285       0.517850       0.217894                 NaN  0.223570                 NaN  0.512209                 NaN            NaN            NaN
  1416.36        2500.00        98.5240       0.216332       0.518767                 NaN  0.225632                 NaN  0.515268                 NaN            NaN            NaN
  1415.14        2500.00        98.5801       0.196166       0.507896                 NaN  0.221637                 NaN  0.494238                 NaN            NaN            NaN
  1413.92        2500.00        98.5837       0.194249       0.505824                 NaN  0.222297                 NaN  0.493970                 NaN            NaN            NaN
  1412.70        2500.00        98.5983       0.502809       0.187196                 NaN  0.222470                 NaN  0.489221                 NaN            NaN            NaN
  1411.48        2500.00        98.6152       0.498237       0.180569                 NaN  0.222245                 NaN  0.483772                 NaN            NaN            NaN
  1410.26        2500.00        98.6321       0.172793       0.495034                 NaN  0.221960                 NaN  0.478083                 NaN            NaN            NaN
  1409.04        2500.00        98.6499       0.490547       0.166704                 NaN  0.220915                 NaN  0.471913                 NaN            NaN            NaN
  1407.81        2500.00        98.6632       0.487763       0.159894                 NaN  0.221363                 NaN  0.467745                 NaN            NaN            NaN
  1406.59        2500.00        98.6806       0.484615       0.152314                 NaN  0.220633                 NaN  0.461886                 NaN            NaN            NaN
  1405.37        2500.00        98.6951       0.146232       0.481283                 NaN  0.220347                 NaN  0.457086                 NaN            NaN            NaN
  1404.15        2500.00        98.7093       0.139949       0.478217                 NaN  0.220171                 NaN  0.452367                 NaN            NaN            NaN
  1402.93        2500.00        98.7234       0.475346       0.134007                 NaN  0.219754                 NaN  0.447504                 NaN            NaN            NaN
  1401.71        2500.00        98.7379       0.126631       0.472925                 NaN  0.219723                 NaN  0.442808                 NaN            NaN            NaN
  1400.49        2500.00        98.7521       0.469284       0.121883                 NaN  0.218846                 NaN  0.437838                 NaN            NaN            NaN
  1399.27        2500.00        98.7636       0.114907       0.468291                 NaN  0.219054                 NaN  0.434130                 NaN            NaN            NaN
  1398.05        2500.00        98.7802       0.463626       0.109879                 NaN  0.217980                 NaN  0.428322                 NaN            NaN            NaN
  1396.83        2500.00        98.7879       0.463613       0.103699                 NaN  0.218700                 NaN  0.426076                 NaN            NaN            NaN
  1395.60        2500.00        98.8070       0.992794E-001  0.457857                 NaN  0.216737                 NaN  0.419105                 NaN            NaN            NaN
  1394.38        2500.00        98.8184       0.927504E-001  0.456258                 NaN  0.217015                 NaN  0.415568                 NaN            NaN            NaN
  1393.16        2500.00        98.8302       0.873395E-001  0.454146                 NaN  0.216747                 NaN  0.411559                 NaN            NaN            NaN
  1391.94        2500.00        98.8424       0.451669       0.820948E-001            NaN  0.216471                 NaN  0.407390                 NaN            NaN            NaN
  1390.72        2500.00        98.8538       0.772595E-001  0.449649                 NaN  0.215698                 NaN  0.403597                 NaN            NaN            NaN
  1389.50        2500.00        98.8671       0.742153E-001  0.446474                 NaN  0.213951                 NaN  0.398216                 NaN            NaN            NaN
  1388.28        2500.00        98.8769       0.445602       0.676476E-001            NaN  0.214506                 NaN  0.395380                 NaN            NaN            NaN
  1387.06        2500.00        98.8885       0.635163E-001  0.442854                 NaN  0.213865                 NaN  0.391267                 NaN            NaN            NaN
  1385.84        2500.00        98.9001       0.590891E-001  0.440515                 NaN  0.213073                 NaN  0.387177                 NaN            NaN            NaN
  1384.62        2500.00        98.9101       0.439503       0.542051E-001            NaN  0.212579                 NaN  0.383659                 NaN            NaN            NaN
  1383.39        2500.00        98.9230       0.487008E-001  0.436871                 NaN  0.211928                 NaN  0.379450                 NaN            NaN            NaN
  1382.17        2500.00        98.9321       0.461120E-001  0.434803                 NaN  0.211024                 NaN  0.375953                 NaN            NaN            NaN
  1380.95        2500.00        98.9426       0.433320       0.410868E-001            NaN  0.210615                 NaN  0.372368                 NaN            NaN            NaN
  1379.73        2500.00        98.6608       0.453302E-001  0.551198                 NaN  0.269707                 NaN  0.472994                 NaN            NaN            NaN
  1378.51        2500.00        99.2563       0.307299       0.270934E-001            NaN  0.148636                 NaN  0.260637                 NaN            NaN            NaN
  1377.29        2500.00        98.9717       0.428184       0.303461E-001            NaN  0.207961                 NaN  0.361784                 NaN            NaN            NaN
  1376.07        2500.00        98.9810       0.426169       0.270849E-001            NaN  0.207241                 NaN  0.358470                 NaN            NaN            NaN
  1374.85        2500.00        98.9889       0.425126       0.224641E-001            NaN  0.207414                 NaN  0.356108                 NaN            NaN            NaN
  1373.63        2500.00        99.0026       0.422224       0.211221E-001            NaN  0.203847                 NaN  0.350184                 NaN            NaN            NaN
  1372.41        2500.00        99.0099       0.421184       0.165035E-001            NaN  0.204436                 NaN  0.348026                 NaN            NaN            NaN
  1371.18        2500.00        99.0191       0.420224       0.131057E-001            NaN  0.203010                 NaN  0.344537                 NaN            NaN            NaN
  1369.96        2500.00        99.0263       0.419244       0.103288E-001            NaN  0.202191                 NaN  0.341894                 NaN            NaN            NaN
  1368.74        2500.00        99.0367       0.417170       0.723677E-002            NaN  0.200893                 NaN  0.338007                 NaN            NaN            NaN
  1367.52        2500.00        99.0444       0.416384       0.417699E-002            NaN  0.199875                 NaN  0.335152                 NaN            NaN            NaN
  1366.30        2500.00        99.0533       0.414766       0.136968E-002            NaN  0.198743                 NaN  0.331839                 NaN            NaN            NaN
  1365.08        2500.00        99.0619       0.412021                 NaN            NaN  0.197441                 NaN  0.328597                 NaN            NaN            NaN
  1363.86        2500.00        99.0306       0.385833                 NaN            NaN  0.235418                 NaN  0.348117                 NaN            NaN            NaN
  1362.64        2500.00        99.1179       0.419705       0.141482E-001            NaN  0.149652                 NaN  0.298629                 NaN            NaN            NaN
  1361.42        2500.00        99.0839       0.404878                 NaN            NaN  0.191570                 NaN  0.319641                 NaN            NaN            NaN
  1360.20        2500.00        99.0880       0.396209       0.127951E-001            NaN  0.185803                 NaN  0.317188                 NaN            NaN            NaN
  1358.97        2500.00        99.1032       0.399152                 NaN            NaN  0.186111                 NaN  0.311547                 NaN            NaN            NaN
  1357.75        2500.00        99.1067       0.397704                 NaN            NaN  0.185356                 NaN  0.310264                 NaN            NaN            NaN
  1356.53        2500.00        99.1133       0.396157                 NaN            NaN  0.183045                 NaN  0.307507                 NaN            NaN            NaN
  1355.31        2500.00        99.1214       0.391636                 NaN            NaN  0.182370                 NaN  0.304582                 NaN            NaN            NaN
  1354.09        2500.00        99.1273       0.390282                 NaN            NaN  0.180363                 NaN  0.302045                 NaN            NaN            NaN
  1352.87        2500.00        99.1339       0.388723                 NaN            NaN  0.178021                 NaN  0.299321                 NaN            NaN            NaN
  1351.65        2500.00        99.1258       0.381405                 NaN            NaN  0.189079                 NaN  0.303699                 NaN            NaN            NaN
  1350.43        2500.00        99.1690       0.371870                 NaN            NaN  0.172378                 NaN  0.286778                 NaN            NaN            NaN
  1349.21        2500.00        99.1537       0.382835                 NaN            NaN  0.172468                 NaN  0.290970                 NaN            NaN            NaN
  1347.99        2500.00        99.1458       0.334478       0.928465E-001            NaN  0.140878                 NaN  0.285964                 NaN            NaN            NaN
  1346.76        2500.00        99.1665       0.380396                 NaN            NaN  0.167617                 NaN  0.285447                 NaN            NaN            NaN
  1345.54        2500.00        99.1730       0.375914                 NaN            NaN  0.167857                 NaN  0.283219                 NaN            NaN            NaN
  1344.32        2500.00        99.1798       0.375123                 NaN            NaN  0.164822                 NaN  0.280246                 NaN            NaN            NaN
  1343.10        2500.00        99.1848       0.374417                 NaN            NaN  0.162563                 NaN  0.278246                 NaN            NaN            NaN
  1341.88        2500.00        99.0789       0.417847                 NaN            NaN  0.159079                 NaN  0.306154       0.380459E-001            NaN            NaN
  1340.66        2500.00        99.0656       0.424863                 NaN            NaN  0.155998                 NaN  0.307955       0.455384E-001            NaN            NaN
  1339.44        2500.00        99.0752       0.418730                 NaN            NaN  0.155447                 NaN  0.305730       0.449289E-001            NaN            NaN
  1338.22        2500.00        99.0855       0.413672                 NaN            NaN  0.154627                 NaN  0.302072       0.441717E-001            NaN            NaN
  1337.00        2500.00        99.0948       0.408770                 NaN            NaN  0.153743                 NaN  0.299208       0.435100E-001            NaN            NaN
  1335.78        2500.00        99.1073       0.402661                 NaN            NaN  0.152199                 NaN  0.295150       0.427150E-001            NaN            NaN
  1334.55        2500.00        99.1168       0.398514                 NaN            NaN  0.150680                 NaN  0.291978       0.420466E-001            NaN            NaN
  1333.33        2500.00        99.1258       0.390903                 NaN            NaN  0.151856                 NaN  0.289951       0.415110E-001            NaN            NaN
  1332.11        2500.00        99.1368       0.390016                 NaN            NaN  0.147627                 NaN  0.284928       0.406264E-001            NaN            NaN
  1330.89        2500.00        99.1459       0.383347                 NaN            NaN  0.147996                 NaN  0.282703       0.400934E-001            NaN            NaN
  1329.67        2500.00        99.1569       0.379310                 NaN            NaN  0.145586                 NaN  0.278874       0.393073E-001            NaN            NaN
  1328.45        2500.00        99.1649       0.376045                 NaN            NaN  0.144212                 NaN  0.276174       0.387074E-001            NaN            NaN
  1327.23        2500.00        99.1743       0.371838                 NaN            NaN  0.142656                 NaN  0.273072       0.380865E-001            NaN            NaN
  1326.01        2500.00        99.1829       0.367458                 NaN            NaN  0.141955                 NaN  0.270244       0.374700E-001            NaN            NaN
  1324.79        2500.00        99.1917       0.364300                 NaN            NaN  0.139938                 NaN  0.267241       0.368331E-001            NaN            NaN
  1323.57        2500.00        99.1990       0.359355                 NaN            NaN  0.140094                 NaN  0.265174       0.363347E-001            NaN            NaN
  1322.34        2500.00        99.2101       0.356746                 NaN            NaN  0.136771                 NaN  0.260864       0.355661E-001            NaN            NaN
  1321.12        2500.00        99.2175       0.352652                 NaN            NaN  0.136043                 NaN  0.258729       0.350747E-001            NaN            NaN
  1319.90        2500.00        99.2264       0.349667                 NaN            NaN  0.133968                 NaN  0.255558       0.344429E-001            NaN            NaN
  1318.68        2500.00        99.2342       0.345736                 NaN            NaN  0.132977                 NaN  0.253169       0.339293E-001            NaN            NaN
  1317.46        2500.00        99.2428       0.343634                 NaN            NaN  0.130408                 NaN  0.249869       0.332867E-001            NaN            NaN
  1316.24        2500.00        99.2506       0.340016                 NaN            NaN  0.129233                 NaN  0.247438       0.327532E-001            NaN            NaN
  1315.02        2500.00        99.2585       0.337305                 NaN            NaN  0.127374                 NaN  0.244674       0.321921E-001            NaN            NaN
  1313.80        2500.00        99.2662       0.333918                 NaN            NaN  0.126098                 NaN  0.242092       0.316745E-001            NaN            NaN
  1312.58        2500.00        99.2734       0.331084                 NaN            NaN  0.124732                 NaN  0.239682       0.311462E-001            NaN            NaN
  1311.36        2500.00        99.2815       0.327983                 NaN            NaN  0.122898                 NaN  0.236989       0.306589E-001            NaN            NaN
  1310.13        2500.00        99.2888       0.325940                 NaN            NaN  0.120729                 NaN  0.234488       0.300296E-001            NaN            NaN
  1308.91        2500.00        99.2963       0.323501                 NaN            NaN  0.119112                 NaN  0.231584       0.295247E-001            NaN            NaN
  1307.69        2500.00        99.3039       0.319741                 NaN            NaN  0.117985                 NaN  0.229312       0.290889E-001            NaN            NaN
  1306.47        2500.00        99.3106       0.317091                 NaN            NaN  0.116740                 NaN  0.226945       0.285987E-001            NaN            NaN
  1305.25        2500.00        99.3173       0.314693                 NaN            NaN  0.115201                 NaN  0.224670       0.281185E-001            NaN            NaN
  1304.03        2500.00        99.3247       0.311966                 NaN            NaN  0.113589                 NaN  0.222154       0.276205E-001            NaN            NaN
  1302.81        2500.00        99.3313       0.309554                 NaN            NaN  0.112027                 NaN  0.219909       0.271648E-001            NaN            NaN
  1301.59        2500.00        99.3385       0.307409                 NaN            NaN  0.109948                 NaN  0.217496       0.266854E-001            NaN            NaN
  1300.37        2500.00        99.3452       0.304555                 NaN            NaN  0.108947                 NaN  0.215130       0.262096E-001            NaN            NaN
  1299.15        2500.00        99.3518       0.302653                 NaN            NaN  0.106886                 NaN  0.212901       0.257458E-001            NaN            NaN
  1297.92        2500.00        91.0241        1.60184                 NaN            NaN  0.648521                 NaN   1.34600       0.215461        5.16410                 NaN
  1296.70        2500.00        75.0948        4.10054                 NaN            NaN   1.73030                 NaN   3.52335       0.568322        14.9827                 NaN
  1295.48        2500.00        76.2075        4.14917                 NaN            NaN   1.35319       0.467362        3.33731       0.261942        14.2235                 NaN
  1294.26        2500.00        78.7171        3.87721                 NaN            NaN   1.00622       0.718325        2.97295       0.542995E-001   12.6539                 NaN
  1293.04        2500.00        81.7158        3.29877                 NaN            NaN   1.01063       0.407864        2.58826       0.162280        10.8164                 NaN
  1291.82        2500.00        83.8550        2.89104                 NaN            NaN   1.01674       0.180979        2.31185       0.241867        9.50252                 NaN
  1290.60        2500.00        77.9462        3.60914                 NaN            NaN   1.61327                 NaN   3.23618       0.520054        13.0751                 NaN
  1289.38        2500.00        94.4542        1.25486                 NaN            NaN  0.353423       0.106222       0.754227                 NaN   3.07703                 NaN
  1288.16        2500.00        87.6009        2.24113                 NaN            NaN  0.847122                 NaN   1.80198       0.260096        7.24880                 NaN
  1286.94        2500.00        89.4771        1.92688                 NaN            NaN  0.687444                 NaN   1.52771       0.248031        6.13287                 NaN
  1285.71        2500.00        90.6265        1.72888                 NaN            NaN  0.795755                 NaN   1.39793       0.151328        5.29960                 NaN
  1284.49        2500.00        90.9164        1.72282                 NaN            NaN  0.632970                 NaN   1.33617       0.182372        5.20928                 NaN
  1283.27        2500.00        90.6958        1.65770                 NaN            NaN  0.719787                 NaN   1.38526       0.187952        5.35346                 NaN
  1282.05        2500.00        88.9590        2.07663                 NaN            NaN  0.754157                 NaN   1.63925       0.222508        6.34846                 NaN
  1280.83        2500.00        92.4513        1.46356                 NaN            NaN  0.526490                 NaN   1.12120       0.148551        4.28887                 NaN
  1279.61        2500.00        89.1064        2.72614                 NaN            NaN            NaN            NaN   1.43549       0.276206        6.45579                 NaN
  1278.39        2500.00        95.5942        1.43999                 NaN            NaN            NaN            NaN  0.641239       0.100861        2.22367                 NaN
  1277.17        2500.00        95.6764                 NaN            NaN            NaN  0.813756                 NaN  0.627806       0.705138E-001   2.81152                 NaN
  1275.95        2500.00        97.3502       0.178216                 NaN            NaN  0.689257                 NaN  0.551498                 NaN   1.23078                 NaN
  1274.73        2500.00        94.7199        1.58459                 NaN            NaN  0.470162E-001            NaN  0.774865       0.114381        2.75924                 NaN
  1273.50        2500.00        92.5866       0.900234                 NaN            NaN  0.972819                 NaN   1.22988       0.128263        4.18219                 NaN
  1272.28        2500.00        95.8709       0.870990                 NaN            NaN  0.208945                 NaN  0.582646       0.545956E-001   2.41196                 NaN
  1271.06        2500.00        97.6217       0.663222                 NaN            NaN  0.120866                 NaN  0.347335       0.470099E-001   1.19989                 NaN
  1269.84        2500.00        95.1425        1.14492                 NaN            NaN  0.222839                 NaN  0.722237       0.861682E-001   2.68136                 NaN
  1268.62        2500.00        95.6508        1.07927                 NaN            NaN  0.157424                 NaN  0.645619       0.739820E-001   2.39296                 NaN
  1267.40        2500.00        94.0208        1.55869                 NaN            NaN  0.131612                 NaN  0.886519       0.110073        3.29228                 NaN
  1266.18        2500.00        94.6212       0.504084       0.899937                 NaN            NaN            NaN  0.768687       0.792478E-001   3.12680                 NaN
  1264.96        2500.00        97.4431       0.552768                 NaN            NaN  0.122238                 NaN  0.394512       0.494691E-001   1.43789                 NaN
  1263.74        2500.00        97.2188        1.06969                 NaN            NaN  0.409386E-001            NaN  0.407257       0.264253E-001   1.23687                 NaN
  1262.52        2500.00        95.5319        1.29561                 NaN            NaN            NaN            NaN  0.632867       0.767350E-001   2.46291                 NaN
  1261.29        2500.00        96.5684       0.991287                 NaN            NaN  0.782966E-001            NaN  0.524774       0.414504E-001   1.79577                 NaN
  1260.07        2500.00        96.1321        1.18240                 NaN            NaN            NaN            NaN  0.567808       0.522560E-001   2.06545                 NaN
  1258.85        2500.00        95.0600        1.46118                 NaN            NaN            NaN            NaN  0.708126       0.829244E-001   2.68775                 NaN
  1257.63        2500.00        97.6796       0.734436                 NaN            NaN            NaN            NaN  0.369962       0.737372E-002   1.20858                 NaN
  1256.41        2500.00        96.5291        1.05587                 NaN            NaN            NaN            NaN  0.515498       0.434054E-001   1.85610                 NaN
  1255.19        2500.00        96.3877        1.04300                 NaN            NaN  0.688666E-004            NaN  0.543521       0.461068E-001   1.97959                 NaN
  1253.97        2500.00        97.3754       0.774030                 NaN            NaN            NaN            NaN  0.369215       0.386821E-001   1.44263                 NaN
  1252.75        2500.00        96.8340       0.644400                 NaN            NaN            NaN            NaN  0.316490       0.876420E-001   2.11746                 NaN
  1251.53        2500.00        81.4481        1.95343        3.54463                 NaN            NaN            NaN   2.85964       0.221095        9.97313                 NaN
  1250.31        2500.00        99.8210                 NaN            NaN            NaN            NaN            NaN  0.178957                 NaN            NaN            NaN
  1249.08        2500.00        99.9493       0.132262E-001            NaN            NaN            NaN            NaN  0.374742E-001            NaN            NaN            NaN
  1247.86        2500.00        99.9284       0.715880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1246.64        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1245.42        2500.00        99.9234       0.766359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1244.20        2500.00        98.9227       0.380184                 NaN            NaN            NaN            NaN  0.171241       0.568759E-001  0.468982                 NaN
  1242.98        2500.00        98.2962       0.395434                 NaN            NaN            NaN            NaN  0.663586E-001  0.262741E-001   1.21574                 NaN
  1241.76        2500.00        99.4446       0.311718                 NaN            NaN            NaN            NaN  0.691415E-001            NaN  0.174519                 NaN
  1240.54        2500.00        97.9924       0.605961                 NaN            NaN            NaN            NaN  0.289081       0.202205E-002   1.11055                 NaN
  1239.32        2500.00        99.4468                 NaN            NaN            NaN            NaN            NaN  0.493425E-001            NaN  0.503839                 NaN
  1238.10        2500.00        98.1000       0.508661                 NaN            NaN            NaN            NaN  0.288233       0.765598E-002   1.09545                 NaN
  1236.87        2500.00        98.7264                 NaN            NaN            NaN  0.278438                 NaN  0.150059       0.125991E-001  0.832533                 NaN
  1235.65        2500.00        96.4933        1.16025                 NaN            NaN            NaN            NaN  0.577317       0.400923E-001   1.72908                 NaN
  1234.43        2500.00        98.1911       0.491049       0.446591E-002            NaN            NaN            NaN  0.251741       0.239548E-001   1.03771                 NaN
  1233.21        2500.00        97.1942       0.503688                 NaN            NaN            NaN            NaN  0.404721       0.488684E-001   1.84853                 NaN
  1231.99        2500.00        97.9341       0.622080                 NaN            NaN            NaN            NaN  0.110250       0.502425E-001   1.28334                 NaN
  1230.77        2500.00        99.3405       0.441137E-001            NaN            NaN            NaN            NaN  0.164527       0.100455E-001  0.440803                 NaN
  1229.55        2500.00        98.1074                 NaN            NaN            NaN            NaN            NaN  0.187741       0.349999E-001  0.725469       0.944390     
  1228.33        2500.00        85.1950        2.31557       0.318932       0.371803E-003            NaN            NaN   1.42907       0.482872E-001   6.72572        3.96701     
  1227.11        2500.00                 NaN   8.68631        3.38292       0.559210E-005            NaN            NaN   8.45654       0.642221        46.3820        32.4500     
  1225.89        2500.00                 NaN   8.70641        3.36575       0.558516E-005            NaN            NaN   8.46030       0.641821        46.3754        32.4503     
  1224.66        2500.00                 NaN   8.72530        3.34770       0.139430E-005            NaN            NaN   8.46425       0.641424        46.3704        32.4510     
  1223.44        2500.00                 NaN   8.74413        3.32972       0.139484E-005            NaN            NaN   8.46820       0.641023        46.3652        32.4517     
  1222.22        2500.00                 NaN   8.76293        3.31177       0.139506E-005            NaN            NaN   8.47216       0.640618        46.3601        32.4524     
  1221.00        2500.00                 NaN   8.78047        3.29511       0.807494E-005            NaN            NaN   8.47609       0.640213        46.3550        32.4531     
  1219.78        2500.00                 NaN   7.64172        4.45498                 NaN            NaN            NaN   8.45626       0.638729        46.3450        32.4633     
  1218.56        2500.00                 NaN   2.47997        9.65342                 NaN            NaN            NaN   8.40123       0.614628        46.3810        32.4697     
  1217.34        2500.00                 NaN   8.58905        3.49092       0.177369E-003            NaN            NaN   8.48229       0.639236        46.3416        32.4568     
  1216.12        2500.00                 NaN   8.79282        3.28664       0.200909E-005            NaN            NaN   8.49049       0.638635        46.3350        32.4564     
  1214.90        2500.00                 NaN   8.83367        3.24663       0.108124E-005            NaN            NaN   8.49507       0.638175        46.3295        32.4570     
  1213.68        2500.00                 NaN   9.06955        3.01057       0.101817E-005            NaN            NaN   8.50488       0.637394        46.3214        32.4562     
  1212.45        2500.00                 NaN   9.07375        3.00963       0.193560E-005            NaN            NaN   8.50475       0.636945        46.3160        32.4589     
  1211.23        2500.00                 NaN   9.10650        2.97591       0.415805E-005            NaN            NaN   8.51262       0.636479        46.3107        32.4578     
  1210.01        2500.00                 NaN   9.11989        2.96305       0.550612E-005            NaN            NaN   8.51675       0.636120        46.3059        32.4583     
