|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Sp(TH)         San(TH)        ilm            q             
  1298.83        500.000        99.4757       0.110224       0.143325       0.892820E-001  0.181485                 NaN            NaN            NaN            NaN
  1297.86        500.000        99.4792       0.108815       0.142176       0.899672E-001  0.179798                 NaN            NaN            NaN            NaN
  1296.90        500.000        99.4803       0.106193       0.141604       0.939081E-001  0.178034                 NaN            NaN            NaN            NaN
  1295.94        500.000        99.4837       0.109033       0.140837       0.178432       0.880291E-001            NaN            NaN            NaN            NaN
  1294.97        500.000        99.4877       0.106130       0.139300       0.176689       0.901684E-001            NaN            NaN            NaN            NaN
  1294.01        500.000        99.4894       0.106055       0.138889       0.893204E-001  0.176313                 NaN            NaN            NaN            NaN
  1293.04        500.000        99.4927       0.104771       0.137800       0.899279E-001  0.174775                 NaN            NaN            NaN            NaN
  1292.08        500.000        99.4939       0.106262       0.137698       0.863510E-001  0.175777                 NaN            NaN            NaN            NaN
  1291.12        500.000        99.4988       0.101593       0.135570       0.917939E-001  0.172213                 NaN            NaN            NaN            NaN
  1290.15        500.000        99.5002       0.102437       0.135432       0.171604       0.903560E-001            NaN            NaN            NaN            NaN
  1289.19        500.000        99.5024       0.102188       0.134755       0.171578       0.890323E-001            NaN            NaN            NaN            NaN
  1288.22        500.000        99.5056       0.100558       0.133680       0.169856       0.903483E-001            NaN            NaN            NaN            NaN
  1287.26        500.000        99.5077       0.996916E-001  0.132959       0.168801       0.908338E-001            NaN            NaN            NaN            NaN
  1286.30        500.000        99.5098       0.985099E-001  0.132238       0.917740E-001  0.167687                 NaN            NaN            NaN            NaN
  1285.33        500.000        99.5116       0.973635E-001  0.131547       0.926848E-001  0.166779                 NaN            NaN            NaN            NaN
  1284.37        500.000        99.5190       0.139486       0.133848       0.181194       0.264954E-001            NaN            NaN            NaN            NaN
  1283.40        500.000        99.5123       0.530862E-001  0.126885       0.149299       0.158419                 NaN            NaN            NaN            NaN
  1282.44        500.000        99.5193       0.944163E-001  0.129101       0.163477       0.936837E-001            NaN            NaN            NaN            NaN
  1281.48        500.000        99.5215       0.937099E-001  0.128460       0.162509       0.937815E-001            NaN            NaN            NaN            NaN
  1280.51        500.000        99.5234       0.938008E-001  0.128010       0.923894E-001  0.162442                 NaN            NaN            NaN            NaN
  1279.55        500.000        99.5262       0.904058E-001  0.126719       0.159541       0.971091E-001            NaN            NaN            NaN            NaN
  1278.58        500.000        99.5281       0.907252E-001  0.126271       0.159751       0.951498E-001            NaN            NaN            NaN            NaN
  1277.62        500.000        99.4871       0.235467E-001  0.129544       0.158235       0.158238       0.433206E-001            NaN            NaN            NaN
  1276.66        500.000        99.4769       0.509020E-002  0.130134       0.173964       0.158658       0.552110E-001            NaN            NaN            NaN
  1275.69        500.000        99.4749                 NaN  0.130067       0.175852       0.159636       0.595793E-001            NaN            NaN            NaN
  1274.73        500.000        99.4732                 NaN  0.130153       0.167491       0.164315       0.648818E-001            NaN            NaN            NaN
  1273.76        500.000        99.4809       0.306492E-001  0.131056       0.119605       0.174889       0.629437E-001            NaN            NaN            NaN
  1272.80        500.000        99.4734                 NaN  0.129853       0.157376       0.168703       0.706640E-001            NaN            NaN            NaN
  1271.84        500.000        99.4744                 NaN  0.129489       0.152629       0.170435       0.730235E-001            NaN            NaN            NaN
  1270.87        500.000        90.0623                 NaN   1.16865        1.44468        1.31062       0.666989        5.34680                 NaN            NaN
  1269.91        500.000        90.0579                 NaN   1.16905        1.33227        1.40025       0.687516        5.35306                 NaN            NaN
  1268.94        500.000        90.8603                 NaN   1.07905        1.23501        1.27999       0.636607        4.90905                 NaN            NaN
  1267.98        500.000        91.6305                 NaN  0.992088        1.13391        1.17186       0.583378        4.48825                 NaN            NaN
  1267.02        500.000        92.3046                 NaN  0.915762        1.07844        1.04391       0.536107        4.12116                 NaN            NaN
  1266.05        500.000        92.8938                 NaN  0.848803       0.964501       0.996672       0.494890        3.80133                 NaN            NaN
  1265.09        500.000        93.4010                 NaN  0.791039       0.896369       0.925959       0.459478        3.52616                 NaN            NaN
  1264.13        500.000        93.8416                 NaN  0.740724       0.837500       0.863017       0.429316        3.28782                 NaN            NaN
  1263.16        500.000        94.2306                 NaN  0.696142       0.785699       0.807342       0.402924        3.07731                 NaN            NaN
  1262.20        500.000        94.5698                 NaN  0.657223       0.741293       0.756664       0.380660        2.89433                 NaN            NaN
  1261.23        500.000        94.8768                 NaN  0.621845       0.700442       0.712173       0.359823        2.72890                 NaN            NaN
  1260.27        500.000        95.1492                 NaN  0.590402       0.670898       0.664815       0.342275        2.58237                 NaN            NaN
  1259.31        500.000        95.3936                 NaN  0.562086       0.632743       0.634104       0.326132        2.45134                 NaN            NaN
  1258.34        500.000        95.6145                 NaN  0.536329       0.604169       0.599976       0.311914        2.33311                 NaN            NaN
  1257.38        500.000        95.8154                 NaN  0.512924       0.577885       0.568261       0.299301        2.22625                 NaN            NaN
  1256.41        500.000        95.9993                 NaN  0.491381       0.555043       0.538783       0.287887        2.12761                 NaN            NaN
  1255.45        500.000        96.1669                 NaN  0.471740       0.533045       0.512773       0.277059        2.03849                 NaN            NaN
  1254.49        500.000        96.3216                 NaN  0.453437       0.487800       0.513564       0.267414        1.95619                 NaN            NaN
  1253.52        500.000        96.4642                 NaN  0.436611       0.464016       0.495668       0.258767        1.88069                 NaN            NaN
  1252.56        500.000        96.5931                 NaN  0.421304       0.443026       0.479115       0.250711        1.81273                 NaN            NaN
  1251.59        500.000        96.7204                 NaN  0.406083       0.463688       0.421201       0.243266        1.74535                 NaN            NaN
  1250.63        500.000        96.8339                 NaN  0.392520       0.449170       0.402349       0.236261        1.68579                 NaN            NaN
  1249.67        500.000        96.9380                 NaN  0.379981       0.384971       0.436076       0.229691        1.63133                 NaN            NaN
  1248.70        500.000        97.0417                 NaN  0.367544       0.423093       0.367375       0.223597        1.57667                 NaN            NaN
  1247.74        500.000        97.1333                 NaN  0.356505       0.351692       0.411268       0.218090        1.52912                 NaN            NaN
  1246.77        500.000        97.2232                 NaN  0.345284       0.334584       0.401169       0.213028        1.48272                 NaN            NaN
  1245.81        500.000        97.3056                 NaN  0.335464       0.321890       0.390400       0.207612        1.43907                 NaN            NaN
  1244.85        500.000        97.3867                 NaN  0.325314       0.380439       0.307049       0.202926        1.39756                 NaN            NaN
  1243.88        500.000        97.4607                 NaN  0.316440       0.371296       0.294168       0.198319        1.35911                 NaN            NaN
  1242.92        500.000        97.5298                 NaN  0.307704       0.282697       0.362434       0.193882        1.32350                 NaN            NaN
  1241.95        500.000        97.5978                 NaN  0.299285       0.270438       0.354151       0.189969        1.28835                 NaN            NaN
  1240.99        500.000        97.6617                 NaN  0.291237       0.259475       0.345827       0.185860        1.25589                 NaN            NaN
  1240.03        500.000        97.7222                 NaN  0.283822       0.249013       0.338058       0.181951        1.22491                 NaN            NaN
  1239.06        500.000        97.7819                 NaN  0.276164       0.239006       0.330461       0.178051        1.19445                 NaN            NaN
  1238.10        500.000        97.8378                 NaN  0.269152       0.323748       0.228658       0.174687        1.16601                 NaN            NaN
  1237.13        500.000        97.8913                 NaN  0.262309       0.219992       0.316465       0.171232        1.13873                 NaN            NaN
  1236.17        500.000        97.8494                 NaN  0.264243       0.291057       0.289230       0.850171E-001   1.16830       0.528019E-001            NaN
  1235.21        500.000        97.8968                 NaN  0.258097       0.283673       0.283586       0.806817E-001   1.14416       0.530340E-001            NaN
  1234.24        500.000        97.9510                 NaN  0.251571       0.274391       0.276978       0.795133E-001   1.11550       0.510836E-001            NaN
  1233.28        500.000        97.9965                 NaN  0.245948       0.268240       0.269714       0.778409E-001   1.09206       0.496569E-001            NaN
  1232.31        500.000        98.0473                 NaN  0.239389       0.265869       0.257074       0.773843E-001   1.06525       0.476939E-001            NaN
  1231.35        500.000        98.0929                 NaN  0.233929       0.250446       0.258915       0.759939E-001   1.04169       0.461591E-001            NaN
  1230.39        500.000        98.1370                 NaN  0.228156       0.253381       0.242906       0.748998E-001   1.01899       0.446686E-001            NaN
  1229.42        500.000        98.1787                 NaN  0.223136       0.236316       0.247427       0.738974E-001  0.997436       0.431139E-001            NaN
  1228.46        500.000        98.2204                 NaN  0.217782       0.230849       0.241219       0.721504E-001  0.975664       0.418921E-001            NaN
  1227.49        500.000        98.2663                 NaN  0.211872       0.236473       0.221962       0.714236E-001  0.951844       0.401608E-001            NaN
  1226.53        500.000        98.2895                 NaN  0.209373       0.233388       0.218265       0.707638E-001  0.939318       0.393923E-001            NaN
  1225.57        500.000        96.8518                 NaN  0.501121       0.339939       0.594782       0.199019        1.41059       0.102741                 NaN
  1224.60        500.000        96.5598                 NaN  0.373064       0.280574       0.274093       0.354319        2.15817                 NaN            NaN
  1223.64        500.000        98.8039                 NaN  0.977952E-001  0.270238                 NaN            NaN  0.746232       0.818212E-001            NaN
  1222.67        500.000        97.7518                 NaN  0.248415       0.457043E-001  0.470143                 NaN   1.44446       0.394359E-001            NaN
  1221.71        500.000        99.7732                 NaN            NaN  0.203455                 NaN  0.233619E-001            NaN            NaN            NaN
  1220.75        500.000        99.5255                 NaN  0.144468       0.284128       0.182700E-001            NaN  0.134430E-002  0.263058E-001            NaN
  1219.78        500.000        99.0419                 NaN  0.510291E-001  0.851506E-001  0.272674E-001            NaN  0.794622                 NaN            NaN
  1218.82        500.000        99.2654                 NaN  0.891403E-001  0.198542       0.609976E-001  0.699189E-001  0.315980                 NaN            NaN
  1217.85        500.000        98.8259                 NaN  0.132229       0.217023       0.100251                 NaN  0.681503       0.431001E-001            NaN
  1216.89        500.000        98.6804                 NaN  0.156738       0.180593       0.171538       0.310823E-001  0.742004       0.376742E-001            NaN
  1215.93        500.000        98.5727                 NaN  0.172871       0.210017       0.173109       0.276072E-001  0.801841       0.418445E-001            NaN
  1214.96        500.000        98.7364                 NaN  0.150536       0.170726       0.152333       0.565028E-001  0.709033       0.244522E-001            NaN
  1214.00        500.000        98.7533                 NaN  0.147884       0.146985       0.170618       0.557126E-001  0.701421       0.240662E-001            NaN
  1213.04        500.000        98.7028                 NaN  0.155210       0.153457       0.172708       0.582722E-001  0.732549       0.250179E-001            NaN
  1212.07        500.000        98.7460                 NaN  0.150500       0.188958       0.145857       0.200130E-001  0.706335       0.423229E-001            NaN
  1211.11        500.000        98.3857                 NaN  0.187761       0.203034       0.206354                 NaN  0.934858       0.822442E-001            NaN
  1210.14        500.000        98.8085                 NaN  0.156509       0.364658                 NaN  0.197500E-001  0.650583                 NaN            NaN
  1209.18        500.000        99.2048                 NaN  0.924231E-001  0.114628       0.101605       0.609361E-001  0.425627                 NaN            NaN
  1208.22        500.000        98.7027                 NaN  0.159017       0.208823                 NaN  0.847218E-001  0.818614       0.261181E-001            NaN
  1207.25        500.000        97.9504                 NaN  0.234276       0.399380                 NaN  0.154603        1.23122       0.301523E-001            NaN
  1206.29        500.000        99.1023                 NaN  0.162415                 NaN            NaN  0.972229E-001  0.551384       0.866505E-001            NaN
  1205.32        500.000        99.6399                 NaN  0.696273E-001  0.153724                 NaN            NaN  0.106248       0.305284E-001            NaN
  1204.36        500.000        98.9490                 NaN  0.323031E-001  0.284597E-001  0.242582                 NaN  0.747628                 NaN            NaN
  1203.40        500.000        99.0071                 NaN  0.103717       0.454705       0.624441E-001            NaN  0.371992                 NaN            NaN
  1202.43        500.000        99.1516                 NaN  0.979231E-001  0.130513       0.922528E-001  0.179012E-001  0.509791                 NaN            NaN
  1201.47        500.000        97.6896                 NaN  0.301175       0.518316                 NaN  0.229348        1.23396       0.276184E-001            NaN
  1200.50        500.000        97.1167                 NaN  0.295462       0.110064E-001  0.773951       0.210562        1.59233                 NaN            NaN
  1199.54        500.000        99.9123                 NaN  0.663147E-001  0.419269E-002            NaN  0.171841E-001            NaN            NaN            NaN
  1198.58        500.000        99.9856                 NaN            NaN  0.411985E-002            NaN            NaN  0.103012E-001            NaN            NaN
  1197.61        500.000        99.2299                 NaN  0.237486       0.157455                 NaN            NaN  0.375165                 NaN            NaN
  1196.65        500.000        99.2411                 NaN            NaN  0.753295E-001            NaN  0.365770E-001  0.646951                 NaN            NaN
  1195.68        500.000        98.1249                 NaN            NaN  0.933689E-001            NaN            NaN   1.09986       0.419036E-001  0.639986     
  1194.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1193.76        500.000        98.9007                 NaN  0.163942       0.544966                 NaN  0.168604E-001  0.370124       0.341053E-002            NaN
  1192.79        500.000        97.4765                 NaN  0.182016                 NaN            NaN            NaN   1.25636       0.731335E-001   1.01202     
  1191.83        500.000        91.9765                 NaN  0.724050       0.573839       0.717722       0.213377        3.29185       0.607054E-001   2.44193     
  1190.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1188.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1187.97        500.000        79.7792                 NaN   1.55411        1.52726                 NaN  0.884191        8.23132                 NaN   8.02391     
  1187.01        500.000        83.3645                 NaN   1.24857        1.17136                 NaN  0.709210        6.87366                 NaN   6.63267     
  1186.04        500.000        95.6938                 NaN  0.319337       0.278322       0.288764E-002  0.189318        1.78462                 NaN   1.73172     
  1185.08        500.000                 NaN            NaN   7.16455        6.16267                 NaN   4.15642        42.0290                 NaN   40.4873     
  1184.12        500.000                 NaN            NaN   7.16901        6.16503                 NaN   4.15226        42.0296                 NaN   40.4841     
  1183.15        500.000                 NaN            NaN   7.17113        6.15653                 NaN   4.15805        42.0248                 NaN   40.4895     
  1182.19        500.000                 NaN            NaN   7.17023        6.16039                 NaN   4.15536        42.0271                 NaN   40.4870     
  1181.22        500.000                 NaN            NaN   7.16877        6.14894                 NaN   4.16391        42.0245                 NaN   40.4939     
  1180.26        500.000                 NaN            NaN   7.16972        6.14648                 NaN   4.16527        42.0234                 NaN   40.4951     
  1179.30        500.000                 NaN            NaN   7.17066        6.14394                 NaN   4.16668        42.0223                 NaN   40.4964     
  1178.33        500.000                 NaN            NaN   7.17162        6.14134                 NaN   4.16812        42.0212                 NaN   40.4977     
  1177.37        500.000                 NaN            NaN   7.17350        6.13698                 NaN   4.17062        42.0188                 NaN   40.5001     
  1176.40        500.000                 NaN            NaN   7.17360        6.13807                 NaN   4.16981        42.0190                 NaN   40.4995     
  1175.44        500.000                 NaN            NaN   7.17447        6.13526                 NaN   4.17144        42.0179                 NaN   40.5010     
  1174.48        500.000                 NaN            NaN   7.17571        6.14022                 NaN   4.16819        42.0171                 NaN   40.4988     
  1173.51        500.000                 NaN            NaN   7.17637        6.12814                 NaN   4.17547        42.0155                 NaN   40.5045     
  1172.55        500.000                 NaN            NaN   7.17734        6.12532                 NaN   4.17704        42.0143                 NaN   40.5060     
  1171.58        500.000                 NaN            NaN   7.17830        6.12255                 NaN   4.17858        42.0132                 NaN   40.5074     
  1170.62        500.000                 NaN            NaN   7.17926        6.11985                 NaN   4.18009        42.0120                 NaN   40.5088     
  1169.66        500.000                 NaN            NaN   7.17964        6.12723                 NaN   4.17609        42.0110                 NaN   40.5061     
  1168.69        500.000                 NaN            NaN   7.18048        6.12465                 NaN   4.17763        42.0097                 NaN   40.5075     
  1167.73        500.000                 NaN            NaN   7.18133        6.12203                 NaN   4.17917        42.0085                 NaN   40.5089     
  1166.77        500.000                 NaN            NaN   7.18220        6.11933                 NaN   4.18074        42.0073                 NaN   40.5104     
  1165.80        500.000                 NaN            NaN   7.18384        6.11200                 NaN   4.18451        42.0062                 NaN   40.5135     
  1164.84        500.000                 NaN            NaN   7.18474        6.11348                 NaN   4.18361        42.0052                 NaN   40.5130     
  1163.87        500.000                 NaN            NaN   7.18592        6.10650                 NaN   4.18752        42.0038                 NaN   40.5163     
  1162.91        500.000                 NaN            NaN   7.18686        6.10143                 NaN   4.19033        42.0027                 NaN   40.5186     
  1161.95        500.000                 NaN            NaN   7.18743        6.10425                 NaN   4.18849        42.0026                 NaN   40.5173     
  1160.98        500.000                 NaN            NaN   7.18807        6.10004                 NaN   4.19044        42.0027                 NaN   40.5187     
  1160.02        500.000                 NaN            NaN   7.19080        6.08438                 NaN   4.19979        41.9982                 NaN   40.5268     
  1159.05        500.000                 NaN            NaN   7.19158        6.07379                 NaN   4.20626        41.9961                 NaN   40.5323     
  1158.09        500.000                 NaN            NaN   7.19179        6.08532                 NaN   4.19944        41.9964                 NaN   40.5270     
  1157.13        500.000                 NaN            NaN   7.19332        6.07083                 NaN   4.20726        41.9954                 NaN   40.5332     
  1156.16        500.000                 NaN            NaN   7.19366        6.07874                 NaN   4.20322        41.9938                 NaN   40.5306     
  1155.20        500.000                 NaN            NaN   7.19453        6.06852                 NaN   4.20901        41.9927                 NaN   40.5353     
  1154.23        500.000                 NaN            NaN   7.19578        6.07417                 NaN   4.20564        41.9916                 NaN   40.5329     
  1153.27        500.000                 NaN            NaN   7.19660        6.07177                 NaN   4.20711        41.9902                 NaN   40.5343     
  1152.31        500.000                 NaN            NaN   7.19757        6.07005                 NaN   4.20806        41.9890                 NaN   40.5353     
  1151.34        500.000                 NaN            NaN   7.19855        6.06829                 NaN   4.20904        41.9877                 NaN   40.5364     
  1150.38        500.000                 NaN            NaN   7.19955        6.06537                 NaN   4.21061        41.9867                 NaN   40.5378     
  1149.41        500.000                 NaN            NaN   7.20052        6.06164                 NaN   4.21274        41.9853                 NaN   40.5398     
  1148.45        500.000                 NaN            NaN   7.20152        6.05885                 NaN   4.21427        41.9841                 NaN   40.5412     
  1147.49        500.000                 NaN            NaN   7.20252        6.05608                 NaN   4.21579        41.9830                 NaN   40.5426     
  1146.52        500.000                 NaN            NaN   7.20462        6.05238                 NaN   4.21699        41.9823                 NaN   40.5437     
  1145.56        500.000                 NaN            NaN   7.20426        6.05312                 NaN   4.21744        41.9807                 NaN   40.5445     
  1144.59        500.000                 NaN            NaN   7.20224        6.05297                 NaN   4.21665        41.9854                 NaN   40.5427     
