|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Sp(TH)         San(TH)        ilm            q             
  1330.64        500.000        99.4636       0.876162E-001  0.177388       0.968786E-001  0.174544                 NaN            NaN            NaN            NaN
  1329.67        500.000        99.4673       0.868920E-001  0.175895       0.959129E-001  0.173951                 NaN            NaN            NaN            NaN
  1328.71        500.000        99.4718       0.868761E-001  0.174618       0.172425       0.943075E-001            NaN            NaN            NaN            NaN
  1327.75        500.000        99.4762       0.865903E-001  0.173099       0.171453       0.926894E-001            NaN            NaN            NaN            NaN
  1326.78        500.000        99.4788       0.867324E-001  0.172298       0.170574       0.916043E-001            NaN            NaN            NaN            NaN
  1325.82        500.000        99.4834       0.866362E-001  0.170845       0.169457       0.896327E-001            NaN            NaN            NaN            NaN
  1324.85        500.000        99.4403       0.150770E-001  0.169636       0.128150       0.246814                 NaN            NaN            NaN            NaN
  1323.89        500.000        99.5175       0.125203       0.167893       0.189401                 NaN            NaN            NaN            NaN            NaN
  1322.93        500.000        99.5141       0.118232       0.167669       0.152015E-001  0.184846                 NaN            NaN            NaN            NaN
  1321.96        500.000        99.4966       0.859720E-001  0.166588       0.850053E-001  0.165822                 NaN            NaN            NaN            NaN
  1321.00        500.000        99.5019       0.848464E-001  0.164422       0.844677E-001  0.164338                 NaN            NaN            NaN            NaN
  1320.03        500.000        99.5048       0.849524E-001  0.163657       0.833959E-001  0.163202                 NaN            NaN            NaN            NaN
  1319.07        500.000        99.5082       0.851770E-001  0.162663       0.816060E-001  0.162355                 NaN            NaN            NaN            NaN
  1318.11        500.000        99.5122       0.843947E-001  0.161190       0.810187E-001  0.161236                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.5146       0.832368E-001  0.160213       0.819842E-001  0.159921                 NaN            NaN            NaN            NaN
  1316.18        500.000        99.5189       0.847830E-001  0.159062       0.159907       0.773514E-001            NaN            NaN            NaN            NaN
  1315.21        500.000        99.5219       0.834485E-001  0.157892       0.158435       0.783277E-001            NaN            NaN            NaN            NaN
  1314.25        500.000        99.5249       0.832223E-001  0.156896       0.773476E-001  0.157599                 NaN            NaN            NaN            NaN
  1313.29        500.000        99.5283       0.827856E-001  0.155724       0.766694E-001  0.156569                 NaN            NaN            NaN            NaN
  1312.32        500.000        99.5314       0.825916E-001  0.154696       0.756051E-001  0.155681                 NaN            NaN            NaN            NaN
  1311.36        500.000        99.5346       0.821153E-001  0.153572       0.750701E-001  0.154672                 NaN            NaN            NaN            NaN
  1310.40        500.000        99.5315       0.827539E-001  0.154741       0.155915       0.751060E-001            NaN            NaN            NaN            NaN
  1309.43        500.000        99.5469       0.802774E-001  0.149233       0.151059       0.725618E-001            NaN            NaN            NaN            NaN
  1308.47        500.000        99.5437       0.811827E-001  0.150519       0.152126       0.724502E-001            NaN            NaN            NaN            NaN
  1307.50        500.000        99.5465       0.801926E-001  0.149387       0.150822       0.730866E-001            NaN            NaN            NaN            NaN
  1306.54        500.000        99.5504       0.801960E-001  0.148270       0.149499       0.716013E-001            NaN            NaN            NaN            NaN
  1305.58        500.000        99.5505       0.800497E-001  0.148272       0.149301       0.718573E-001            NaN            NaN            NaN            NaN
  1304.61        500.000        99.5573       0.776005E-001  0.145257       0.147309       0.725233E-001            NaN            NaN            NaN            NaN
  1303.65        500.000        99.5586       0.784835E-001  0.145258       0.705212E-001  0.147158                 NaN            NaN            NaN            NaN
  1302.68        500.000        99.5612       0.780938E-001  0.144397       0.701423E-001  0.146128                 NaN            NaN            NaN            NaN
  1301.72        500.000        99.5640       0.771305E-001  0.143214       0.702947E-001  0.145396                 NaN            NaN            NaN            NaN
  1300.76        500.000        99.5664       0.769836E-001  0.142444       0.144721       0.694181E-001            NaN            NaN            NaN            NaN
  1299.79        500.000        99.5692       0.759884E-001  0.141339       0.143517       0.699082E-001            NaN            NaN            NaN            NaN
  1298.83        500.000        99.5719       0.760514E-001  0.140574       0.686387E-001  0.142841                 NaN            NaN            NaN            NaN
  1297.86        500.000        99.5751       0.749942E-001  0.139369       0.691078E-001  0.141400                 NaN            NaN            NaN            NaN
  1296.90        500.000        99.5762       0.730766E-001  0.138732       0.720658E-001  0.139887                 NaN            NaN            NaN            NaN
  1295.94        500.000        99.5796       0.749208E-001  0.137903       0.140115       0.674949E-001            NaN            NaN            NaN            NaN
  1294.97        500.000        99.5831       0.728588E-001  0.136323       0.138619       0.690859E-001            NaN            NaN            NaN            NaN
  1294.01        500.000        99.5848       0.727307E-001  0.135845       0.683798E-001  0.138218                 NaN            NaN            NaN            NaN
  1293.04        500.000        99.5878       0.717634E-001  0.134705       0.687934E-001  0.136913                 NaN            NaN            NaN            NaN
  1292.08        500.000        99.5892       0.727087E-001  0.134530       0.660205E-001  0.137581                 NaN            NaN            NaN            NaN
  1291.12        500.000        99.5934       0.694047E-001  0.132377       0.701046E-001  0.134693                 NaN            NaN            NaN            NaN
  1290.15        500.000        99.5949       0.698982E-001  0.132169       0.134123       0.689517E-001            NaN            NaN            NaN            NaN
  1289.19        500.000        99.5970       0.696667E-001  0.131435       0.133979       0.678932E-001            NaN            NaN            NaN            NaN
  1288.22        500.000        99.5998       0.684683E-001  0.130314       0.132543       0.688478E-001            NaN            NaN            NaN            NaN
  1287.26        500.000        99.6019       0.677798E-001  0.129539       0.131617       0.691496E-001            NaN            NaN            NaN            NaN
  1286.30        500.000        99.6039       0.668916E-001  0.128765       0.698099E-001  0.130647                 NaN            NaN            NaN            NaN
  1285.33        500.000        99.6057       0.660217E-001  0.128021       0.704431E-001  0.129835                 NaN            NaN            NaN            NaN
  1284.37        500.000        99.6142       0.944899E-001  0.130184       0.140957       0.201226E-001            NaN            NaN            NaN            NaN
  1283.40        500.000        99.6045       0.359197E-001  0.123345       0.116046       0.120212                 NaN            NaN            NaN            NaN
  1282.44        500.000        99.6128       0.638029E-001  0.125431       0.126969       0.710333E-001            NaN            NaN            NaN            NaN
  1281.48        500.000        99.6148       0.632616E-001  0.124739       0.126133       0.710598E-001            NaN            NaN            NaN            NaN
  1280.51        500.000        99.6166       0.632635E-001  0.124234       0.699449E-001  0.125946                 NaN            NaN            NaN            NaN
  1279.55        500.000        99.6191       0.608855E-001  0.122912       0.123631       0.734616E-001            NaN            NaN            NaN            NaN
  1278.58        500.000        99.6209       0.610247E-001  0.122411       0.123704       0.719230E-001            NaN            NaN            NaN            NaN
  1277.62        500.000        99.5926       0.158201E-001  0.125517       0.119512       0.122439       0.241442E-001            NaN            NaN            NaN
  1276.66        500.000        99.5859       0.341605E-002  0.126008       0.131292       0.122667       0.307489E-001            NaN            NaN            NaN
  1275.69        500.000        99.5851                 NaN  0.125858       0.132601       0.123324       0.331556E-001            NaN            NaN            NaN
  1274.73        500.000        99.5850                 NaN  0.125853       0.126203       0.126829       0.360804E-001            NaN            NaN            NaN
  1273.76        500.000        99.5930       0.204999E-001  0.126634       0.900449E-001  0.134878       0.349778E-001            NaN            NaN            NaN
  1272.80        500.000        99.5870                 NaN  0.125381       0.118379       0.130000       0.392255E-001            NaN            NaN            NaN
  1271.84        500.000        99.5886                 NaN  0.124937       0.114711       0.131218       0.405015E-001            NaN            NaN            NaN
  1270.87        500.000        90.7975                 NaN   1.13455        1.09158        1.01469       0.372431        5.58928                 NaN            NaN
  1269.91        500.000        90.8043                 NaN   1.13398        1.03006        1.05649       0.383754        5.59139                 NaN            NaN
  1268.94        500.000        91.5644                 NaN   1.04503       0.952744       0.963251       0.354799        5.11979                 NaN            NaN
  1267.98        500.000        92.2898                 NaN  0.959257       0.872872       0.879836       0.324662        4.67358                 NaN            NaN
  1267.02        500.000        92.9234                 NaN  0.884064       0.807849       0.801939       0.297966        4.28479                 NaN            NaN
  1266.05        500.000        93.4762                 NaN  0.818173       0.739466       0.744987       0.274699        3.94643                 NaN            NaN
  1265.09        500.000        93.9518                 NaN  0.761370       0.685894       0.690686       0.254720        3.65552                 NaN            NaN
  1264.13        500.000        94.3645                 NaN  0.711920       0.639663       0.642473       0.237720        3.40371                 NaN            NaN
  1263.16        500.000        94.7288                 NaN  0.668133       0.599017       0.599803       0.222819        3.18146                 NaN            NaN
  1262.20        500.000        95.0462                 NaN  0.629914       0.564194       0.561112       0.210239        2.98832                 NaN            NaN
  1261.23        500.000        95.3332                 NaN  0.595198       0.532134       0.527125       0.198506        2.81382                 NaN            NaN
  1260.27        500.000        95.5878                 NaN  0.564348       0.495669       0.504249       0.188604        2.65928                 NaN            NaN
  1259.31        500.000        95.8160                 NaN  0.536574       0.479116       0.467640       0.179508        2.52111                 NaN            NaN
  1258.34        500.000        96.0223                 NaN  0.511317       0.456723       0.441688       0.171495        2.39650                 NaN            NaN
  1257.38        500.000        96.2095                 NaN  0.488371       0.436196       0.417646       0.164398        2.28388                 NaN            NaN
  1256.41        500.000        96.3813                 NaN  0.467260       0.418260       0.395293       0.157921        2.17998                 NaN            NaN
  1255.45        500.000        96.5375                 NaN  0.448012       0.401040       0.375568       0.151824        2.08608                 NaN            NaN
  1254.49        500.000        96.6817                 NaN  0.430084       0.356684       0.385782       0.146376        1.99940                 NaN            NaN
  1253.52        500.000        96.8145                 NaN  0.413603       0.338770       0.371768       0.141491        1.91989                 NaN            NaN
  1252.56        500.000        96.9344                 NaN  0.398604       0.322923       0.358815       0.136939        1.84829                 NaN            NaN
  1251.59        500.000        97.0529                 NaN  0.383723       0.346756       0.306526       0.132723        1.77742                 NaN            NaN
  1250.63        500.000        97.1584                 NaN  0.370447       0.335397       0.292335       0.128764        1.71470                 NaN            NaN
  1249.67        500.000        97.2550                 NaN  0.358172       0.279265       0.325134       0.125055        1.65733                 NaN            NaN
  1248.70        500.000        97.3514                 NaN  0.346023       0.314990       0.266115       0.121597        1.59988                 NaN            NaN
  1247.74        500.000        97.4364                 NaN  0.335221       0.254358       0.305780       0.118475        1.54981                 NaN            NaN
  1246.77        500.000        97.5196                 NaN  0.324273       0.241652       0.297868       0.115607        1.50102                 NaN            NaN
  1245.81        500.000        97.5962                 NaN  0.314671       0.232104       0.289404       0.112534        1.45510                 NaN            NaN
  1244.85        500.000        97.6711                 NaN  0.304781       0.281669       0.221078       0.109893        1.41147                 NaN            NaN
  1243.88        500.000        97.7396                 NaN  0.296112       0.274511       0.211486       0.107254        1.37105                 NaN            NaN
  1242.92        500.000        97.8035                 NaN  0.287593       0.202949       0.267576       0.104753        1.33359                 NaN            NaN
  1241.95        500.000        97.8664                 NaN  0.279393       0.193870       0.261114       0.102528        1.29668                 NaN            NaN
  1240.99        500.000        97.9253                 NaN  0.271558       0.185740       0.254626       0.100202        1.26256                 NaN            NaN
  1240.03        500.000        97.9811                 NaN  0.264333       0.178004       0.248593       0.979924E-001   1.23002                 NaN            NaN
  1239.06        500.000        98.0359                 NaN  0.256900       0.170611       0.242670       0.958011E-001   1.19808                 NaN            NaN
  1238.10        500.000        98.0874                 NaN  0.250086       0.237433       0.163004       0.938833E-001   1.16822                 NaN            NaN
  1237.13        500.000        98.1366                 NaN  0.243447       0.156598       0.231792       0.919121E-001   1.13962                 NaN            NaN
  1236.17        500.000        98.0943                 NaN  0.244991       0.212901       0.205599       0.455818E-001   1.16806       0.285484E-001            NaN
  1235.21        500.000        98.1378                 NaN  0.239040       0.201346       0.207161       0.431998E-001   1.14276       0.286433E-001            NaN
  1234.24        500.000        98.1876                 NaN  0.232750       0.194471       0.202067       0.425176E-001   1.11301       0.275604E-001            NaN
  1233.28        500.000        98.2295                 NaN  0.227311       0.189830       0.196508       0.415689E-001   1.08854       0.267624E-001            NaN
  1232.31        500.000        98.2762                 NaN  0.221018       0.193463       0.181671       0.412708E-001   1.06073       0.256773E-001            NaN
  1231.35        500.000        98.3178                 NaN  0.215754       0.176728       0.188157       0.404765E-001   1.03624       0.248251E-001            NaN
  1230.39        500.000        98.3582                 NaN  0.210213       0.183901       0.171162       0.398425E-001   1.01267       0.239985E-001            NaN
  1229.42        500.000        98.3963                 NaN  0.205379       0.166283       0.179355       0.392588E-001  0.990279       0.231394E-001            NaN
  1228.46        500.000        98.4345                 NaN  0.200249       0.162194       0.174619       0.382816E-001  0.967692       0.224606E-001            NaN
  1227.49        500.000        98.4761                 NaN  0.194618       0.170988       0.155746       0.378485E-001  0.943174       0.215104E-001            NaN
  1226.53        500.000        98.4980                 NaN  0.192133       0.168563       0.152895       0.374527E-001  0.929855       0.210777E-001            NaN
  1225.57        500.000        97.3153                 NaN  0.459851       0.238191       0.429909       0.105311        1.39649       0.549720E-001            NaN
  1224.60        500.000        96.9502                 NaN  0.341392       0.201977       0.190359       0.185757        2.13031                 NaN            NaN
  1223.64        500.000        98.9391                 NaN  0.892016E-001  0.193823                 NaN            NaN  0.734392       0.435146E-001            NaN
  1222.67        500.000        97.9613                 NaN  0.226637       0.318034E-001  0.337651                 NaN   1.42160       0.209775E-001            NaN
  1221.71        500.000        99.8472                 NaN            NaN  0.140592                 NaN  0.122142E-001            NaN            NaN            NaN
  1220.75        500.000        99.6425                 NaN  0.131507       0.197574       0.130931E-001            NaN  0.132052E-002  0.139613E-001            NaN
  1219.78        500.000        99.0937                 NaN  0.464222E-001  0.608918E-001  0.188952E-001            NaN  0.780052                 NaN            NaN
  1218.82        500.000        99.3910                 NaN  0.810895E-001  0.137553       0.435797E-001  0.365933E-001  0.310234                 NaN            NaN
  1217.85        500.000        98.9637                 NaN  0.120235       0.155080       0.694171E-001            NaN  0.668745       0.228488E-001            NaN
  1216.89        500.000        98.8461                 NaN  0.142449       0.128893       0.118592       0.162524E-001  0.727759       0.199621E-001            NaN
  1215.93        500.000        98.7518                 NaN  0.156999       0.145213       0.123426       0.144226E-001  0.786029       0.221556E-001            NaN
  1214.96        500.000        98.8997                 NaN  0.136580       0.121735       0.105186       0.294820E-001  0.694407       0.129339E-001            NaN
  1214.00        500.000        98.9152                 NaN  0.134061       0.101284       0.121424       0.290371E-001  0.686288       0.127189E-001            NaN
  1213.04        500.000        98.8709                 NaN  0.140591       0.105712       0.122896       0.303411E-001  0.716310       0.132112E-001            NaN
  1212.07        500.000        98.9073                 NaN  0.136207       0.130007       0.103679       0.104089E-001  0.690056       0.223299E-001            NaN
  1211.11        500.000        98.5879                 NaN  0.169836       0.139565       0.146572                 NaN  0.912798       0.433683E-001            NaN
  1210.14        500.000        98.9644                 NaN  0.141392       0.249591                 NaN  0.102225E-001  0.634396                 NaN            NaN
  1209.18        500.000        99.3201                 NaN  0.834071E-001  0.810398E-001  0.693475E-001  0.315306E-001  0.414584                 NaN            NaN
  1208.22        500.000        98.8537                 NaN  0.143449       0.148012                 NaN  0.438909E-001  0.797165       0.137348E-001            NaN
  1207.25        500.000        98.2118                 NaN  0.211286       0.282802                 NaN  0.799847E-001   1.19830       0.158519E-001            NaN
  1206.29        500.000        99.2230                 NaN  0.146152                 NaN            NaN  0.497721E-001  0.535647       0.454532E-001            NaN
  1205.32        500.000        99.7101                 NaN  0.625940E-001  0.108122                 NaN            NaN  0.103155       0.159980E-001            NaN
  1204.36        500.000        99.0545                 NaN  0.290407E-001  0.193993E-001  0.171270                 NaN  0.725764                 NaN            NaN
  1203.40        500.000        99.1924                 NaN  0.932125E-001  0.309411       0.439975E-001            NaN  0.360965                 NaN            NaN
  1202.43        500.000        99.2553                 NaN  0.878921E-001  0.886271E-001  0.648723E-001  0.919955E-002  0.494094                 NaN            NaN
  1201.47        500.000        98.0359                 NaN  0.270416       0.364680                 NaN  0.117936        1.19665       0.144543E-001            NaN
  1200.50        500.000        97.5362                 NaN  0.264838       0.744867E-002  0.543187       0.107709        1.54059                 NaN            NaN
  1199.54        500.000        99.9292                 NaN  0.591852E-001  0.281942E-002            NaN  0.878317E-002            NaN            NaN            NaN
  1198.58        500.000        99.9873                 NaN            NaN  0.277971E-002            NaN            NaN  0.992833E-002            NaN            NaN
  1197.61        500.000        99.3204                 NaN  0.212010       0.105943                 NaN            NaN  0.361665                 NaN            NaN
  1196.65        500.000        99.3071                 NaN            NaN  0.507451E-001            NaN  0.186608E-001  0.623516                 NaN            NaN
  1195.68        500.000        98.2414                 NaN            NaN  0.631490E-001            NaN            NaN   1.06100       0.218149E-001  0.612641     
  1194.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1193.76        500.000        99.1193                 NaN  0.146371       0.366877                 NaN  0.861480E-002  0.357022       0.177472E-002            NaN
  1192.79        500.000        97.6196                 NaN  0.162497                 NaN            NaN            NaN   1.21154       0.380530E-001  0.968358     
  1191.83        500.000        92.7763                 NaN  0.649699       0.388704       0.504189       0.109240        3.19153       0.317470E-001   2.34854     
  1190.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1188.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1187.97        500.000        81.2083                 NaN   1.40607        1.08353                 NaN  0.455245        8.06532                 NaN   7.78159     
  1187.01        500.000        84.5599                 NaN   1.12516       0.829097                 NaN  0.363180        6.71561                 NaN   6.40701     
  1186.04        500.000        96.0412                 NaN  0.284705       0.195121       0.192674E-002  0.947683E-001   1.72729                 NaN   1.65500     
  1185.08        500.000                 NaN            NaN   6.92595        4.68762                 NaN   2.27050        44.1601                 NaN   41.9558     
  1184.12        500.000                 NaN            NaN   6.93020        4.68892                 NaN   2.26793        44.1601                 NaN   41.9529     
  1183.15        500.000                 NaN            NaN   6.93218        4.68376                 NaN   2.27092        44.1543                 NaN   41.9589     
  1182.19        500.000                 NaN            NaN   6.93130        4.68596                 NaN   2.26942        44.1563                 NaN   41.9571     
  1181.22        500.000                 NaN            NaN   6.92985        4.67843                 NaN   2.27395        44.1530                 NaN   41.9648     
  1180.26        500.000                 NaN            NaN   6.93072        4.67680                 NaN   2.27457        44.1512                 NaN   41.9667     
  1179.30        500.000                 NaN            NaN   6.93159        4.67512                 NaN   2.27521        44.1495                 NaN   41.9686     
  1178.33        500.000                 NaN            NaN   6.93247        4.67340                 NaN   2.27587        44.1477                 NaN   41.9705     
  1177.37        500.000                 NaN            NaN   6.93422        4.67079                 NaN   2.27705        44.1445                 NaN   41.9735     
  1176.40        500.000                 NaN            NaN   6.93430        4.67128                 NaN   2.27656        44.1443                 NaN   41.9735     
  1175.44        500.000                 NaN            NaN   6.93510        4.66943                 NaN   2.27733        44.1425                 NaN   41.9756     
  1174.48        500.000                 NaN            NaN   6.93628        4.67290                 NaN   2.27554        44.1413                 NaN   41.9740     
  1173.51        500.000                 NaN            NaN   6.93685        4.66467                 NaN   2.27925        44.1388                 NaN   41.9804     
  1172.55        500.000                 NaN            NaN   6.93774        4.66281                 NaN   2.27997        44.1370                 NaN   41.9825     
  1171.58        500.000                 NaN            NaN   6.93863        4.66097                 NaN   2.28069        44.1352                 NaN   41.9846     
  1170.62        500.000                 NaN            NaN   6.93951        4.65919                 NaN   2.28138        44.1333                 NaN   41.9866     
  1169.66        500.000                 NaN            NaN   6.93987        4.66445                 NaN   2.27927        44.1319                 NaN   41.9845     
  1168.69        500.000                 NaN            NaN   6.94064        4.66277                 NaN   2.27999        44.1300                 NaN   41.9866     
  1167.73        500.000                 NaN            NaN   6.94142        4.66106                 NaN   2.28071        44.1282                 NaN   41.9886     
  1166.77        500.000                 NaN            NaN   6.94222        4.65929                 NaN   2.28144        44.1263                 NaN   41.9907     
  1165.80        500.000                 NaN            NaN   6.94373        4.65430                 NaN   2.28325        44.1244                 NaN   41.9944     
  1164.84        500.000                 NaN            NaN   6.94458        4.65541                 NaN   2.28265        44.1228                 NaN   41.9945     
  1163.87        500.000                 NaN            NaN   6.94565        4.65070                 NaN   2.28459        44.1207                 NaN   41.9984     
  1162.91        500.000                 NaN            NaN   6.94652        4.64708                 NaN   2.28597        44.1190                 NaN   42.0014     
  1161.95        500.000                 NaN            NaN   6.94706        4.64890                 NaN   2.28489        44.1184                 NaN   42.0007     
  1160.98        500.000                 NaN            NaN   6.94765        4.64546                 NaN   2.28582        44.1182                 NaN   42.0029     
  1160.02        500.000                 NaN            NaN   6.95019        4.63512                 NaN   2.29063        44.1125                 NaN   42.0116     
  1159.05        500.000                 NaN            NaN   6.95087        4.62803                 NaN   2.29401        44.1095                 NaN   42.0176     
  1158.09        500.000                 NaN            NaN   6.95106        4.63641                 NaN   2.29028        44.1094                 NaN   42.0129     
  1157.13        500.000                 NaN            NaN   6.95247        4.62583                 NaN   2.29429        44.1077                 NaN   42.0197     
  1156.16        500.000                 NaN            NaN   6.95277        4.63208                 NaN   2.29210        44.1054                 NaN   42.0176     
  1155.20        500.000                 NaN            NaN   6.95354        4.62506                 NaN   2.29510        44.1034                 NaN   42.0229     
  1154.23        500.000                 NaN            NaN   6.95474        4.62901                 NaN   2.29310        44.1019                 NaN   42.0212     
  1153.27        500.000                 NaN            NaN   6.95550        4.62748                 NaN   2.29382        44.0999                 NaN   42.0233     
  1152.31        500.000                 NaN            NaN   6.95639        4.62640                 NaN   2.29422        44.0980                 NaN   42.0249     
  1151.34        500.000                 NaN            NaN   6.95730        4.62528                 NaN   2.29462        44.0962                 NaN   42.0266     
