|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1543.86        500.000        99.3923                 NaN  0.607706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000        99.3444                 NaN  0.655554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.6234                 NaN  0.376624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000        99.2356                 NaN  0.764436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        99.4154                 NaN  0.584630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000        99.4169                 NaN  0.583081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000        99.4229                 NaN  0.577130       0.459896E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000        99.4258                 NaN  0.562266       0.119182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000        99.4290                 NaN  0.571048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000        99.4364                 NaN  0.563642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.5044                 NaN  0.495580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.3757                 NaN  0.624342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.4536                 NaN  0.522426       0.239976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.4499                 NaN  0.546492       0.365637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.4583                 NaN  0.541583       0.135045E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.4587                 NaN  0.541269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.4638                 NaN  0.536165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.4705                 NaN  0.529456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.4723                 NaN  0.527658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.4745                 NaN  0.525491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.4788                 NaN  0.521220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.4567                 NaN  0.543265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.5129                 NaN  0.487052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000        99.4900                 NaN  0.510008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.4921                 NaN  0.507869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000        99.4966                 NaN  0.503366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000        99.4995                 NaN  0.500496       0.357249E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000        99.5049                 NaN  0.495135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.4199                 NaN  0.146703                 NaN            NaN  0.433420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000        99.3837                 NaN  0.743058E-001            NaN            NaN  0.542020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000        99.3835                 NaN            NaN            NaN            NaN  0.616523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000        99.3824                 NaN            NaN            NaN            NaN  0.617640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        500.000        99.3860                 NaN            NaN            NaN            NaN  0.613974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        500.000        99.3129                 NaN            NaN            NaN            NaN  0.687086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.5975                 NaN            NaN            NaN            NaN  0.402450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        500.000        99.2486                 NaN  0.495305E-001            NaN            NaN  0.701877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.3859                 NaN            NaN            NaN            NaN  0.614056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        500.000        99.3809                 NaN            NaN            NaN            NaN  0.619051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000        99.5274                 NaN            NaN            NaN            NaN  0.472638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        500.000        99.2360                 NaN            NaN            NaN            NaN  0.763988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.3768                 NaN            NaN            NaN            NaN  0.623179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        500.000        99.3741                 NaN            NaN            NaN            NaN  0.625937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        500.000        99.0175                 NaN            NaN            NaN            NaN  0.533395       0.449112                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        500.000        98.9786                 NaN            NaN            NaN            NaN  0.601966       0.419452                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        500.000        98.9821                 NaN            NaN            NaN            NaN  0.600907       0.416999                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000        99.0099                 NaN            NaN            NaN            NaN  0.583809       0.406277                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        500.000        99.0145                 NaN            NaN            NaN            NaN  0.582394       0.403084                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        500.000        99.0253                 NaN            NaN            NaN            NaN  0.576531       0.398132                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        500.000        99.0396                 NaN            NaN            NaN            NaN  0.391185       0.569224                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        500.000        99.0492                 NaN            NaN            NaN            NaN  0.563299       0.387544                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        500.000        99.0604                 NaN            NaN            NaN            NaN  0.557897       0.381669                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        500.000        99.0701                 NaN            NaN            NaN            NaN  0.552334       0.377580                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        500.000        99.0824                 NaN            NaN            NaN            NaN  0.372060       0.545529                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        500.000        99.0915                 NaN            NaN            NaN            NaN  0.541285       0.367236                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        500.000        99.1020                 NaN            NaN            NaN            NaN  0.534957       0.363004                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        500.000        99.1126                 NaN            NaN            NaN            NaN  0.358525       0.528889                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        500.000        99.1216                 NaN            NaN            NaN            NaN  0.524470       0.353942                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        500.000        99.1312                 NaN            NaN            NaN            NaN  0.519047       0.349729                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        500.000        99.1417                 NaN            NaN            NaN            NaN  0.344847       0.513465                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        500.000        99.1490                 NaN            NaN            NaN            NaN  0.510816       0.340145                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        500.000        99.1611                 NaN            NaN            NaN            NaN  0.502739       0.336178                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        500.000        99.1687                 NaN            NaN            NaN            NaN  0.498814       0.332478                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        500.000        99.1774                 NaN            NaN            NaN            NaN  0.328561       0.494020                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        500.000        99.1866                 NaN            NaN            NaN            NaN  0.324183       0.489190                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        500.000        99.1950                 NaN            NaN            NaN            NaN  0.484633       0.320328                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        500.000        99.2031                 NaN            NaN            NaN            NaN  0.480634       0.316229                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        500.000        99.2113                 NaN            NaN            NaN            NaN  0.312284       0.476451                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        500.000        99.2193                 NaN            NaN            NaN            NaN  0.472618       0.308042                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        500.000        98.8842                 NaN            NaN            NaN            NaN  0.515842       0.443858                 NaN  0.156063                 NaN            NaN            NaN            NaN
  1440.76        500.000        97.3841                 NaN            NaN            NaN            NaN  0.724861        1.04822                 NaN  0.842815                 NaN            NaN            NaN            NaN
  1439.27        500.000        97.4648                 NaN            NaN            NaN            NaN  0.702338        1.01567                 NaN  0.817182                 NaN            NaN            NaN            NaN
  1437.77        500.000        97.5239                 NaN            NaN            NaN            NaN  0.685246       0.991129                 NaN  0.799733                 NaN            NaN            NaN            NaN
  1436.28        500.000        97.6014                 NaN            NaN            NaN            NaN  0.664523       0.959260                 NaN  0.774811                 NaN            NaN            NaN            NaN
  1434.79        500.000        97.6557                 NaN            NaN            NaN            NaN  0.649653       0.936569                 NaN  0.758080                 NaN            NaN            NaN            NaN
  1433.29        500.000        97.7145                 NaN            NaN            NaN            NaN  0.912532       0.633430                 NaN  0.739572                 NaN            NaN            NaN            NaN
  1431.80        500.000        97.7730                 NaN            NaN            NaN            NaN  0.617468       0.888384                 NaN  0.721130                 NaN            NaN            NaN            NaN
  1430.30        500.000        97.8263                 NaN            NaN            NaN            NaN  0.866242       0.602969                 NaN  0.704457                 NaN            NaN            NaN            NaN
  1428.81        500.000        97.8799                 NaN            NaN            NaN            NaN  0.844486       0.587890                 NaN  0.687695                 NaN            NaN            NaN            NaN
  1427.32        500.000        97.9294                 NaN            NaN            NaN            NaN  0.573714       0.824528                 NaN  0.672386                 NaN            NaN            NaN            NaN
  1425.82        500.000        97.9769                 NaN            NaN            NaN            NaN  0.804490       0.561322                 NaN  0.657314                 NaN            NaN            NaN            NaN
  1424.33        500.000        98.0252                 NaN            NaN            NaN            NaN  0.785238       0.547464                 NaN  0.642096                 NaN            NaN            NaN            NaN
  1422.83        500.000        98.0691                 NaN            NaN            NaN            NaN  0.767808       0.534863                 NaN  0.628243                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.1129                 NaN            NaN            NaN            NaN  0.523191       0.749601                 NaN  0.614329                 NaN            NaN            NaN            NaN
  1419.84        500.000        98.1545                 NaN            NaN            NaN            NaN  0.511531       0.732810                 NaN  0.601151                 NaN            NaN            NaN            NaN
  1418.35        500.000        98.1943                 NaN            NaN            NaN            NaN  0.717024       0.500165                 NaN  0.588515                 NaN            NaN            NaN            NaN
  1416.86        500.000        98.2341                 NaN            NaN            NaN            NaN  0.489247       0.700791                 NaN  0.575852                 NaN            NaN            NaN            NaN
  1415.36        500.000        98.2710                 NaN            NaN            NaN            NaN  0.686347       0.478308                 NaN  0.564328                 NaN            NaN            NaN            NaN
  1413.87        500.000        98.3071                 NaN            NaN            NaN            NaN  0.671766       0.468369                 NaN  0.552737                 NaN            NaN            NaN            NaN
  1412.37        500.000        98.3375                 NaN            NaN            NaN            NaN  0.458888       0.660041                 NaN  0.543552                 NaN            NaN            NaN            NaN
  1410.88        500.000        98.3807                 NaN            NaN            NaN            NaN  0.642645       0.447599                 NaN  0.529028                 NaN            NaN            NaN            NaN
  1409.39        500.000        98.4073                 NaN            NaN            NaN            NaN  0.631987       0.439985                 NaN  0.520759                 NaN            NaN            NaN            NaN
  1407.89        500.000        98.4398                 NaN            NaN            NaN            NaN  0.430778       0.618997                 NaN  0.510404                 NaN            NaN            NaN            NaN
  1406.40        500.000        98.4706                 NaN            NaN            NaN            NaN  0.606924       0.422006                 NaN  0.500473                 NaN            NaN            NaN            NaN
  1404.90        500.000        98.5005                 NaN            NaN            NaN            NaN  0.595091       0.413470                 NaN  0.490967                 NaN            NaN            NaN            NaN
  1403.41        500.000        98.5288                 NaN            NaN            NaN            NaN  0.405324       0.584066                 NaN  0.481838                 NaN            NaN            NaN            NaN
  1401.92        500.000        98.5563                 NaN            NaN            NaN            NaN  0.573101       0.397668                 NaN  0.472962                 NaN            NaN            NaN            NaN
  1400.42        500.000        98.5839                 NaN            NaN            NaN            NaN  0.389504       0.562458                 NaN  0.464137                 NaN            NaN            NaN            NaN
  1398.93        500.000        98.6095                 NaN            NaN            NaN            NaN  0.382196       0.552376                 NaN  0.455926                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.6332                 NaN            NaN            NaN            NaN  0.542560       0.376089                 NaN  0.448120                 NaN            NaN            NaN            NaN
  1395.94        500.000        98.6615                 NaN            NaN            NaN            NaN  0.532122       0.367485                 NaN  0.438891                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.6829                 NaN            NaN            NaN            NaN  0.523623       0.361365                 NaN  0.432102                 NaN            NaN            NaN            NaN
  1392.95        500.000        98.7073                 NaN            NaN            NaN            NaN  0.514114       0.354260                 NaN  0.424299                 NaN            NaN            NaN            NaN
  1391.46        500.000        98.7298                 NaN            NaN            NaN            NaN  0.347676       0.505586                 NaN  0.416943                 NaN            NaN            NaN            NaN
  1389.96        500.000        98.7509                 NaN            NaN            NaN            NaN  0.341874       0.497135                 NaN  0.410106                 NaN            NaN            NaN            NaN
  1388.47        500.000        98.7729                 NaN            NaN            NaN            NaN  0.335035       0.489138                 NaN  0.402877                 NaN            NaN            NaN            NaN
  1386.97        500.000        98.7945                 NaN            NaN            NaN            NaN  0.328855       0.480725                 NaN  0.395912                 NaN            NaN            NaN            NaN
  1385.48        500.000        98.8140                 NaN            NaN            NaN            NaN  0.323388       0.473035                 NaN  0.389555                 NaN            NaN            NaN            NaN
  1383.99        500.000        98.8343                 NaN            NaN            NaN            NaN  0.465681       0.317062                 NaN  0.382927                 NaN            NaN            NaN            NaN
  1382.49        500.000        98.8530                 NaN            NaN            NaN            NaN  0.311675       0.458560                 NaN  0.376757                 NaN            NaN            NaN            NaN
  1381.00        500.000        98.8717                 NaN            NaN            NaN            NaN  0.306445       0.451144                 NaN  0.370687                 NaN            NaN            NaN            NaN
  1379.50        500.000        98.8904                 NaN            NaN            NaN            NaN  0.444367       0.300532                 NaN  0.364670                 NaN            NaN            NaN            NaN
  1378.01        500.000        98.9080                 NaN            NaN            NaN            NaN  0.437442       0.295829                 NaN  0.358765                 NaN            NaN            NaN            NaN
  1376.52        500.000        98.9249                 NaN            NaN            NaN            NaN  0.290547       0.431328                 NaN  0.353243                 NaN            NaN            NaN            NaN
  1375.02        500.000        98.9416                 NaN            NaN            NaN            NaN  0.285381       0.425348                 NaN  0.347707                 NaN            NaN            NaN            NaN
  1373.53        500.000        98.9593                 NaN            NaN            NaN            NaN  0.280335       0.418429                 NaN  0.341915                 NaN            NaN            NaN            NaN
  1372.03        500.000        98.9740                 NaN            NaN            NaN            NaN  0.275834       0.413103                 NaN  0.337102                 NaN            NaN            NaN            NaN
  1370.54        500.000        98.9901                 NaN            NaN            NaN            NaN  0.271195       0.406921                 NaN  0.331787                 NaN            NaN            NaN            NaN
  1369.05        500.000        99.0052                 NaN            NaN            NaN            NaN  0.401361       0.266705                 NaN  0.326737                 NaN            NaN            NaN            NaN
  1367.55        500.000        99.0207                 NaN            NaN            NaN            NaN  0.395796       0.261825                 NaN  0.321720                 NaN            NaN            NaN            NaN
  1366.06        500.000        99.0354                 NaN            NaN            NaN            NaN  0.390151       0.257642                 NaN  0.316855                 NaN            NaN            NaN            NaN
  1364.56        500.000        99.0495                 NaN            NaN            NaN            NaN  0.253275       0.385061                 NaN  0.312210                 NaN            NaN            NaN            NaN
  1363.07        500.000        99.0624                 NaN            NaN            NaN            NaN  0.380239       0.249426                 NaN  0.307938                 NaN            NaN            NaN            NaN
  1361.57        500.000        99.0774                 NaN            NaN            NaN            NaN  0.375049       0.244656                 NaN  0.302931                 NaN            NaN            NaN            NaN
  1360.08        500.000        99.0906                 NaN            NaN            NaN            NaN  0.369876       0.241063                 NaN  0.298481                 NaN            NaN            NaN            NaN
  1358.59        500.000        99.1034                 NaN            NaN            NaN            NaN  0.237093       0.365192                 NaN  0.294277                 NaN            NaN            NaN            NaN
  1357.09        500.000        99.1161                 NaN            NaN            NaN            NaN  0.360521       0.233310                 NaN  0.290056                 NaN            NaN            NaN            NaN
  1355.60        500.000        99.1269                 NaN            NaN            NaN            NaN  0.230200       0.356439                 NaN  0.286468                 NaN            NaN            NaN            NaN
  1354.10        500.000        99.1419                 NaN            NaN            NaN            NaN  0.225498       0.351176                 NaN  0.281384                 NaN            NaN            NaN            NaN
  1352.61        500.000        99.1524                 NaN            NaN            NaN            NaN  0.347534       0.222196                 NaN  0.277899                 NaN            NaN            NaN            NaN
  1351.12        500.000        99.1634                 NaN            NaN            NaN            NaN  0.218903       0.343409                 NaN  0.274244                 NaN            NaN            NaN            NaN
  1349.62        500.000        99.1752                 NaN            NaN            NaN            NaN  0.339398       0.214970                 NaN  0.270472                 NaN            NaN            NaN            NaN
  1348.13        500.000        99.1874                 NaN            NaN            NaN            NaN  0.334900       0.211507                 NaN  0.266172                 NaN            NaN            NaN            NaN
  1346.63        500.000        99.1978                 NaN            NaN            NaN            NaN  0.208264       0.331128                 NaN  0.262800                 NaN            NaN            NaN            NaN
  1345.14        500.000        99.2079                 NaN            NaN            NaN            NaN  0.205112       0.327554                 NaN  0.259389                 NaN            NaN            NaN            NaN
  1343.65        500.000        99.2185                 NaN            NaN            NaN            NaN  0.201874       0.323818                 NaN  0.255841                 NaN            NaN            NaN            NaN
  1342.15        500.000        99.2289                 NaN            NaN            NaN            NaN  0.320009       0.198785                 NaN  0.252295                 NaN            NaN            NaN            NaN
  1340.66        500.000        99.2376                 NaN            NaN            NaN            NaN  0.317190       0.195747                 NaN  0.249423                 NaN            NaN            NaN            NaN
  1339.16        500.000        99.2485                 NaN            NaN            NaN            NaN  0.192806       0.312997                 NaN  0.245685                 NaN            NaN            NaN            NaN
  1337.67        500.000        99.2584                 NaN            NaN            NaN            NaN  0.189874       0.309244                 NaN  0.242453                 NaN            NaN            NaN            NaN
  1336.17        500.000        99.2680                 NaN            NaN            NaN            NaN  0.306410       0.186390                 NaN  0.239201                 NaN            NaN            NaN            NaN
  1334.68        500.000        99.2771                 NaN            NaN            NaN            NaN  0.303121       0.183684                 NaN  0.236120                 NaN            NaN            NaN            NaN
  1333.19        500.000        99.2863                 NaN            NaN            NaN            NaN  0.180685       0.299969                 NaN  0.233094                 NaN            NaN            NaN            NaN
  1331.69        500.000        99.2947                 NaN            NaN            NaN            NaN  0.178083       0.296980                 NaN  0.230250                 NaN            NaN            NaN            NaN
  1330.20        500.000        99.3038                 NaN            NaN            NaN            NaN  0.175071       0.293864                 NaN  0.227247                 NaN            NaN            NaN            NaN
  1328.70        500.000        99.3133                 NaN            NaN            NaN            NaN  0.172324       0.290441                 NaN  0.223903                 NaN            NaN            NaN            NaN
  1327.21        500.000        99.3208                 NaN            NaN            NaN            NaN  0.169750       0.287978                 NaN  0.221451                 NaN            NaN            NaN            NaN
  1325.72        500.000        99.3291                 NaN            NaN            NaN            NaN  0.167154       0.285066                 NaN  0.218636                 NaN            NaN            NaN            NaN
  1324.22        500.000        99.3372                 NaN            NaN            NaN            NaN  0.164673       0.282217                 NaN  0.215904                 NaN            NaN            NaN            NaN
  1322.73        500.000        99.3445                 NaN            NaN            NaN            NaN  0.279734       0.162292                 NaN  0.213514                 NaN            NaN            NaN            NaN
  1321.23        500.000        99.3529                 NaN            NaN            NaN            NaN  0.159679       0.276888                 NaN  0.210560                 NaN            NaN            NaN            NaN
  1319.74        500.000        99.3609                 NaN            NaN            NaN            NaN  0.156948       0.274181                 NaN  0.207937                 NaN            NaN            NaN            NaN
  1318.25        500.000        99.3680                 NaN            NaN            NaN            NaN  0.271840       0.154598                 NaN  0.205527                 NaN            NaN            NaN            NaN
  1316.75        500.000        99.3754                 NaN            NaN            NaN            NaN  0.152109       0.269410                 NaN  0.203047                 NaN            NaN            NaN            NaN
  1315.26        500.000        99.3825                 NaN            NaN            NaN            NaN  0.149915       0.266941                 NaN  0.200606                 NaN            NaN            NaN            NaN
  1313.76        500.000        99.3900                 NaN            NaN            NaN            NaN  0.264402       0.147495                 NaN  0.198116                 NaN            NaN            NaN            NaN
  1312.27        500.000        99.3967                 NaN            NaN            NaN            NaN  0.145847       0.261564                 NaN  0.195869                 NaN            NaN            NaN            NaN
  1310.77        500.000        99.4041                 NaN            NaN            NaN            NaN  0.259497       0.143088                 NaN  0.193283                 NaN            NaN            NaN            NaN
  1309.28        500.000        99.4097                 NaN            NaN            NaN            NaN  0.258136       0.140630                 NaN  0.191572                 NaN            NaN            NaN            NaN
  1307.79        500.000        99.4179                 NaN            NaN            NaN            NaN  0.255388       0.138086                 NaN  0.188641                 NaN            NaN            NaN            NaN
  1306.29        500.000        99.4239                 NaN            NaN            NaN            NaN  0.136212       0.253192                 NaN  0.186666                 NaN            NaN            NaN            NaN
  1304.80        500.000        99.4301                 NaN            NaN            NaN            NaN  0.134091       0.251202                 NaN  0.184567                 NaN            NaN            NaN            NaN
  1303.30        500.000        99.4366                 NaN            NaN            NaN            NaN  0.248905       0.132111                 NaN  0.182417                 NaN            NaN            NaN            NaN
  1301.81        500.000        99.4427                 NaN            NaN            NaN            NaN  0.129867       0.247106                 NaN  0.180337                 NaN            NaN            NaN            NaN
  1300.32        500.000        99.4490                 NaN            NaN            NaN            NaN  0.127889       0.244907                 NaN  0.178242                 NaN            NaN            NaN            NaN
