|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1563.31        500.000                 NaN   99.3181                 NaN  0.681904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000                 NaN   99.3326                 NaN  0.628120       0.393029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000                 NaN   99.3321                 NaN  0.667876       0.118280E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000                 NaN   99.3349                 NaN  0.637483       0.275694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000                 NaN   99.3534                 NaN  0.646592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN   99.3495                 NaN  0.650483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000                 NaN   99.3580                 NaN  0.641973       0.214971E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.3649                 NaN  0.607398       0.276642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000                 NaN   99.3668                 NaN  0.633139       0.118098E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000                 NaN   99.3724                 NaN  0.627597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000                 NaN   99.3778                 NaN  0.622209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000                 NaN   99.3836                 NaN  0.616412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000                 NaN   99.3948                 NaN  0.529104       0.760630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000                 NaN   99.4052                 NaN  0.565498       0.292825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000                 NaN   99.3998                 NaN  0.600196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000                 NaN   99.4043                 NaN  0.595582       0.735257E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000                 NaN   99.4084                 NaN  0.591554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN   99.4129                 NaN  0.587051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000                 NaN   99.4185                 NaN  0.581500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000                 NaN   99.4214                 NaN  0.576755       0.182882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000                 NaN   99.4281                 NaN  0.571862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000                 NaN   99.4328                 NaN  0.567217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000                 NaN   99.4366                 NaN  0.563361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000                 NaN   99.4403                 NaN  0.559722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000                 NaN   99.4450                 NaN  0.554979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   99.4485                 NaN  0.551526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000                 NaN   99.4534                 NaN  0.546648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000                 NaN   99.4574                 NaN  0.542627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000                 NaN   99.4612                 NaN  0.538773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.4655                 NaN  0.534546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000                 NaN   99.4695                 NaN  0.530497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN   99.4729                 NaN  0.527118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000                 NaN   99.4774                 NaN  0.522623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000                 NaN   99.4818                 NaN  0.518189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000                 NaN   99.4846                 NaN  0.515441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000                 NaN   99.4882                 NaN  0.511759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000                 NaN   99.4917                 NaN  0.508283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000                 NaN   99.4933                 NaN  0.506659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000                 NaN   99.5019                 NaN  0.498106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   99.3913                 NaN  0.462992E-001            NaN  0.562415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000                 NaN   99.3811                 NaN            NaN            NaN  0.618893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000                 NaN   99.3834                 NaN  0.870103E-002            NaN  0.607941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000                 NaN   99.3859                 NaN  0.265907E-001            NaN  0.587467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000                 NaN   99.3852                 NaN            NaN            NaN  0.614781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000                 NaN   99.3884                 NaN            NaN            NaN  0.611650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.3887                 NaN            NaN            NaN  0.611348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000                 NaN   99.3879                 NaN            NaN            NaN  0.612096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000                 NaN   99.3895                 NaN            NaN            NaN  0.610500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000                 NaN   99.3888                 NaN            NaN            NaN  0.611235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000                 NaN   99.3882                 NaN            NaN            NaN  0.611761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000                 NaN   99.3881                 NaN            NaN            NaN  0.611937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000                 NaN   99.3865                 NaN            NaN            NaN  0.613523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000                 NaN   99.3836                 NaN            NaN            NaN  0.616374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000                 NaN   99.3812                 NaN            NaN            NaN  0.618758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000                 NaN   99.3768                 NaN            NaN            NaN  0.623235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.0242                 NaN            NaN            NaN  0.443221       0.532542                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000                 NaN   99.1548                 NaN  0.151209                 NaN  0.694008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000                 NaN   99.0663                 NaN  0.285947                 NaN  0.647740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000                 NaN   98.7934                 NaN            NaN            NaN  0.727166       0.479392                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000                 NaN   99.0228                 NaN            NaN            NaN  0.580823       0.396328                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000                 NaN   99.2638                 NaN  0.386393E-001            NaN  0.697599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000                 NaN   98.8174                 NaN            NaN            NaN  0.726850       0.455771                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000                 NaN   99.0562                 NaN            NaN            NaN  0.380985       0.562785                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000                 NaN   99.0679                 NaN            NaN            NaN  0.556692       0.375438                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000                 NaN   99.0787                 NaN            NaN            NaN  0.551016       0.370285                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000                 NaN   99.0882                 NaN            NaN            NaN  0.366083       0.545710                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000                 NaN   99.0998                 NaN            NaN            NaN  0.539193       0.361028                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000                 NaN   99.1094                 NaN            NaN            NaN  0.533721       0.356883                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000                 NaN   99.1207                 NaN            NaN            NaN  0.527607       0.351694                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000                 NaN   99.1299                 NaN            NaN            NaN  0.522980       0.347100                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000                 NaN   99.1394                 NaN            NaN            NaN  0.343375       0.517177                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000                 NaN   99.1481                 NaN            NaN            NaN  0.513059       0.338874                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000                 NaN   99.1585                 NaN            NaN            NaN  0.333828       0.507634                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000                 NaN   99.1668                 NaN            NaN            NaN  0.330242       0.502960                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000                 NaN   99.1742                 NaN            NaN            NaN  0.326556       0.499196                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000                 NaN   99.1862                 NaN            NaN            NaN  0.492151       0.321656                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000                 NaN   99.1936                 NaN            NaN            NaN  0.488381       0.318013                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000                 NaN   99.2018                 NaN            NaN            NaN  0.483700       0.314460                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000                 NaN   99.2115                 NaN            NaN            NaN  0.310029       0.478451                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000                 NaN   99.2191                 NaN            NaN            NaN  0.474359       0.306513                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000                 NaN   98.7453                 NaN            NaN            NaN  0.540396       0.496825                 NaN            NaN  0.217522                 NaN            NaN            NaN
  1441.63        500.000                 NaN   97.3531                 NaN            NaN            NaN  0.734151        1.05681                 NaN            NaN  0.855904                 NaN            NaN            NaN
  1440.13        500.000                 NaN   98.6134                 NaN  0.697506E-001            NaN  0.850365                 NaN            NaN            NaN  0.466458                 NaN            NaN            NaN
  1438.63        500.000                 NaN   96.3199                 NaN            NaN            NaN   1.93755       0.567478                 NaN            NaN   1.17503                 NaN            NaN            NaN
  1437.13        500.000                 NaN   97.5645                 NaN            NaN            NaN  0.969369       0.676080                 NaN            NaN  0.790021                 NaN            NaN            NaN
  1435.63        500.000                 NaN   97.6296                 NaN            NaN            NaN  0.658025       0.942668                 NaN            NaN  0.769739                 NaN            NaN            NaN
  1434.12        500.000                 NaN   97.6835                 NaN            NaN            NaN  0.919914       0.643766                 NaN            NaN  0.752837                 NaN            NaN            NaN
  1432.62        500.000                 NaN   97.7555                 NaN            NaN            NaN  0.891538       0.622990                 NaN            NaN  0.729945                 NaN            NaN            NaN
  1431.12        500.000                 NaN   97.8069                 NaN            NaN            NaN  0.869919       0.609193                 NaN            NaN  0.714035                 NaN            NaN            NaN
  1429.62        500.000                 NaN   97.8608                 NaN            NaN            NaN  0.594622       0.847617                 NaN            NaN  0.697003                 NaN            NaN            NaN
  1428.11        500.000                 NaN   97.9122                 NaN            NaN            NaN  0.580529       0.826367                 NaN            NaN  0.680871                 NaN            NaN            NaN
  1426.61        500.000                 NaN   97.9611                 NaN            NaN            NaN  0.566273       0.807010                 NaN            NaN  0.665581                 NaN            NaN            NaN
  1425.11        500.000                 NaN   98.0097                 NaN            NaN            NaN  0.786883       0.553230                 NaN            NaN  0.650160                 NaN            NaN            NaN
  1423.61        500.000                 NaN   98.0556                 NaN            NaN            NaN  0.540523       0.768287                 NaN            NaN  0.635616                 NaN            NaN            NaN
  1422.11        500.000                 NaN   98.1001                 NaN            NaN            NaN  0.750470       0.527798                 NaN            NaN  0.621639                 NaN            NaN            NaN
  1420.60        500.000                 NaN   98.1429                 NaN            NaN            NaN  0.733414       0.515757                 NaN            NaN  0.607962                 NaN            NaN            NaN
  1419.10        500.000                 NaN   98.1826                 NaN            NaN            NaN  0.717484       0.504513                 NaN            NaN  0.595372                 NaN            NaN            NaN
  1417.60        500.000                 NaN   98.2243                 NaN            NaN            NaN  0.493246       0.700448                 NaN            NaN  0.581987                 NaN            NaN            NaN
  1416.10        500.000                 NaN   98.2621                 NaN            NaN            NaN  0.482421       0.685327                 NaN            NaN  0.570125                 NaN            NaN            NaN
  1414.59        500.000                 NaN   98.2997                 NaN            NaN            NaN  0.471974       0.670405                 NaN            NaN  0.557902                 NaN            NaN            NaN
  1413.09        500.000                 NaN   98.3355                 NaN            NaN            NaN  0.656058       0.461923                 NaN            NaN  0.546550                 NaN            NaN            NaN
  1411.59        500.000                 NaN   98.3691                 NaN            NaN            NaN  0.452298       0.642828                 NaN            NaN  0.535776                 NaN            NaN            NaN
  1410.09        500.000                 NaN   98.4023                 NaN            NaN            NaN  0.443225       0.629431                 NaN            NaN  0.525029                 NaN            NaN            NaN
  1408.59        500.000                 NaN   98.4346                 NaN            NaN            NaN  0.433962       0.616670                 NaN            NaN  0.514781                 NaN            NaN            NaN
  1407.08        500.000                 NaN   98.4665                 NaN            NaN            NaN  0.604093       0.425007                 NaN            NaN  0.504449                 NaN            NaN            NaN
  1405.58        500.000                 NaN   98.4961                 NaN            NaN            NaN  0.416244       0.592710                 NaN            NaN  0.494967                 NaN            NaN            NaN
  1404.08        500.000                 NaN   98.5258                 NaN            NaN            NaN  0.407972       0.580733                 NaN            NaN  0.485468                 NaN            NaN            NaN
  1402.58        500.000                 NaN   98.5537                 NaN            NaN            NaN  0.400315       0.569444                 NaN            NaN  0.476587                 NaN            NaN            NaN
  1401.08        500.000                 NaN   98.5822                 NaN            NaN            NaN  0.391851       0.558724                 NaN            NaN  0.467245                 NaN            NaN            NaN
  1399.57        500.000                 NaN   98.6079                 NaN            NaN            NaN  0.548702       0.384461                 NaN            NaN  0.458917                 NaN            NaN            NaN
  1398.07        500.000                 NaN   98.6343                 NaN            NaN            NaN  0.376959       0.538395                 NaN            NaN  0.450388                 NaN            NaN            NaN
  1396.57        500.000                 NaN   98.6591                 NaN            NaN            NaN  0.369837       0.528723                 NaN            NaN  0.442364                 NaN            NaN            NaN
  1395.07        500.000                 NaN   98.6837                 NaN            NaN            NaN  0.362938       0.519025                 NaN            NaN  0.434333                 NaN            NaN            NaN
  1393.56        500.000                 NaN   98.7071                 NaN            NaN            NaN  0.355839       0.510446                 NaN            NaN  0.426657                 NaN            NaN            NaN
  1392.06        500.000                 NaN   98.7306                 NaN            NaN            NaN  0.349380       0.500976                 NaN            NaN  0.419008                 NaN            NaN            NaN
  1390.56        500.000                 NaN   98.7522                 NaN            NaN            NaN  0.492767       0.342970                 NaN            NaN  0.412090                 NaN            NaN            NaN
  1389.06        500.000                 NaN   98.7743                 NaN            NaN            NaN  0.336622       0.484265                 NaN            NaN  0.404804                 NaN            NaN            NaN
  1387.56        500.000                 NaN   98.7964                 NaN            NaN            NaN  0.475830       0.330188                 NaN            NaN  0.397539                 NaN            NaN            NaN
  1386.05        500.000                 NaN   98.8163                 NaN            NaN            NaN  0.324222       0.468411                 NaN            NaN  0.391046                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.8361                 NaN            NaN            NaN  0.318141       0.461098                 NaN            NaN  0.384664                 NaN            NaN            NaN
  1383.05        500.000                 NaN   98.8569                 NaN            NaN            NaN  0.312575       0.452784                 NaN            NaN  0.377751                 NaN            NaN            NaN
  1381.55        500.000                 NaN   98.8754                 NaN            NaN            NaN  0.307083       0.445856                 NaN            NaN  0.371691                 NaN            NaN            NaN
  1380.05        500.000                 NaN   98.8933                 NaN            NaN            NaN  0.439057       0.301868                 NaN            NaN  0.365787                 NaN            NaN            NaN
  1378.54        500.000                 NaN   98.9107                 NaN            NaN            NaN  0.296861       0.432381                 NaN            NaN  0.360043                 NaN            NaN            NaN
  1377.04        500.000                 NaN   98.9304                 NaN            NaN            NaN  0.425291       0.290737                 NaN            NaN  0.353571                 NaN            NaN            NaN
  1375.54        500.000                 NaN   98.9460                 NaN            NaN            NaN  0.286146       0.419392                 NaN            NaN  0.348457                 NaN            NaN            NaN
  1374.04        500.000                 NaN   98.9630                 NaN            NaN            NaN  0.412894       0.281369                 NaN            NaN  0.342770                 NaN            NaN            NaN
  1372.53        500.000                 NaN   98.9796                 NaN            NaN            NaN  0.406929       0.276144                 NaN            NaN  0.337287                 NaN            NaN            NaN
  1371.03        500.000                 NaN   98.9956                 NaN            NaN            NaN  0.271567       0.400841                 NaN            NaN  0.332001                 NaN            NaN            NaN
  1369.53        500.000                 NaN   99.0104                 NaN            NaN            NaN  0.267214       0.395297                 NaN            NaN  0.327073                 NaN            NaN            NaN
  1368.03        500.000                 NaN   99.0251                 NaN            NaN            NaN  0.263071       0.389711                 NaN            NaN  0.322117                 NaN            NaN            NaN
  1366.53        500.000                 NaN   99.0410                 NaN            NaN            NaN  0.258080       0.383982                 NaN            NaN  0.316903                 NaN            NaN            NaN
  1365.02        500.000                 NaN   99.0553                 NaN            NaN            NaN  0.253860       0.378590                 NaN            NaN  0.312210                 NaN            NaN            NaN
  1363.52        500.000                 NaN   99.0697                 NaN            NaN            NaN  0.249456       0.373502                 NaN            NaN  0.307390                 NaN            NaN            NaN
  1362.02        500.000                 NaN   99.0835                 NaN            NaN            NaN  0.245389       0.368299                 NaN            NaN  0.302854                 NaN            NaN            NaN
  1360.52        500.000                 NaN   99.0968                 NaN            NaN            NaN  0.363196       0.241482                 NaN            NaN  0.298503                 NaN            NaN            NaN
  1359.02        500.000                 NaN   99.1105                 NaN            NaN            NaN  0.358553       0.237196                 NaN            NaN  0.293778                 NaN            NaN            NaN
  1357.51        500.000                 NaN   99.1232                 NaN            NaN            NaN  0.233560       0.353786                 NaN            NaN  0.289497                 NaN            NaN            NaN
  1356.01        500.000                 NaN   99.1355                 NaN            NaN            NaN  0.349528       0.229367                 NaN            NaN  0.285575                 NaN            NaN            NaN
  1354.51        500.000                 NaN   99.1483                 NaN            NaN            NaN  0.225826       0.344777                 NaN            NaN  0.281048                 NaN            NaN            NaN
  1353.01        500.000                 NaN   99.1600                 NaN            NaN            NaN  0.221869       0.340858                 NaN            NaN  0.277289                 NaN            NaN            NaN
  1351.50        500.000                 NaN   99.1717                 NaN            NaN            NaN  0.336152       0.218918                 NaN            NaN  0.273274                 NaN            NaN            NaN
  1350.00        500.000                 NaN   99.1826                 NaN            NaN            NaN  0.332297       0.215346                 NaN            NaN  0.269731                 NaN            NaN            NaN
  1348.50        500.000                 NaN   99.1958                 NaN            NaN            NaN  0.211579       0.327561                 NaN            NaN  0.265084                 NaN            NaN            NaN
  1347.00        500.000                 NaN   99.2058                 NaN            NaN            NaN  0.208259       0.324107                 NaN            NaN  0.261789                 NaN            NaN            NaN
  1345.50        500.000                 NaN   5.07943        93.0553                 NaN            NaN  0.530594       0.710417                 NaN            NaN  0.624259                 NaN            NaN            NaN
  1343.99        500.000                 NaN   9.65586        88.7032                 NaN            NaN  0.624157       0.467115                 NaN            NaN  0.549680                 NaN            NaN            NaN
  1342.49        500.000                 NaN   2.98991        97.0101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.99        500.000                 NaN   2.55786        97.3672                 NaN            NaN  0.749636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.49        500.000                 NaN   18.4461        78.0905                 NaN            NaN  0.996708        1.28062                 NaN            NaN   1.18603                 NaN            NaN            NaN
  1337.98        500.000                 NaN   16.6500        82.9470                 NaN            NaN  0.328760                 NaN            NaN            NaN  0.742759E-001            NaN            NaN            NaN
  1336.48        500.000                 NaN   26.7011        71.0497                 NaN            NaN   1.37953       0.259211E-001            NaN            NaN  0.843719                 NaN            NaN            NaN
  1334.98        500.000                 NaN   30.6210        68.3139                 NaN            NaN  0.484742       0.224586                 NaN            NaN  0.355825                 NaN            NaN            NaN
  1333.48        500.000                 NaN   33.3803        65.7489                 NaN            NaN  0.185422       0.395651                 NaN            NaN  0.289687                 NaN            NaN            NaN
  1331.98        500.000                 NaN   35.7892        63.4274                 NaN            NaN  0.167750       0.354973                 NaN            NaN  0.260690                 NaN            NaN            NaN
  1330.47        500.000                 NaN   37.8205        61.4854                 NaN            NaN  0.149476       0.313951                 NaN            NaN  0.230653                 NaN            NaN            NaN
  1328.97        500.000                 NaN   39.5544        59.8197                 NaN            NaN  0.282419       0.135795                 NaN            NaN  0.207631                 NaN            NaN            NaN
  1327.47        500.000                 NaN   41.0462        58.3832                 NaN            NaN  0.124605       0.257004                 NaN            NaN  0.188991                 NaN            NaN            NaN
  1325.97        500.000                 NaN   78.9288        20.7314                 NaN            NaN  0.230713                 NaN            NaN            NaN  0.109052                 NaN            NaN            NaN
  1324.47        500.000                 NaN   99.3909                 NaN            NaN  0.166217       0.213650                 NaN            NaN            NaN  0.229198                 NaN            NaN            NaN
  1322.96        500.000                 NaN   99.4230                 NaN            NaN  0.170250       0.187658                 NaN            NaN            NaN  0.219069                 NaN            NaN            NaN
  1321.46        500.000                 NaN   99.4909                 NaN            NaN  0.148486       0.168161                 NaN            NaN            NaN  0.192460                 NaN            NaN            NaN
  1319.96        500.000                 NaN   99.5461                 NaN            NaN  0.130225       0.153042                 NaN            NaN            NaN  0.170656                 NaN            NaN            NaN
  1318.46        500.000                 NaN   99.5894                 NaN            NaN  0.115999       0.141017                 NaN            NaN            NaN  0.153595                 NaN            NaN            NaN
  1316.95        500.000                 NaN   99.6245                 NaN            NaN  0.104537       0.131085                 NaN            NaN            NaN  0.139859                 NaN            NaN            NaN
  1315.45        500.000                 NaN   99.6559                 NaN            NaN  0.933842E-001  0.123503                 NaN            NaN            NaN  0.127177                 NaN            NaN            NaN
  1313.95        500.000                 NaN   99.6814                 NaN            NaN  0.847407E-001  0.116787                 NaN            NaN            NaN  0.117096                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.7016                 NaN            NaN  0.778299E-001  0.111498                 NaN            NaN            NaN  0.109107                 NaN            NaN            NaN
  1310.95        500.000                 NaN   99.7190                 NaN            NaN  0.715959E-001  0.107274                 NaN            NaN            NaN  0.102094                 NaN            NaN            NaN
  1309.44        500.000                 NaN   99.7345                 NaN            NaN  0.659614E-001  0.103692                 NaN            NaN            NaN  0.958527E-001            NaN            NaN            NaN
  1307.94        500.000                 NaN   99.7468                 NaN            NaN  0.614811E-001  0.100854                 NaN            NaN            NaN  0.909029E-001            NaN            NaN            NaN
  1306.44        500.000                 NaN   99.7585                 NaN            NaN  0.567131E-001  0.987938E-001            NaN            NaN            NaN  0.860121E-001            NaN            NaN            NaN
