|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1576.83        500.000                 NaN   99.1489                 NaN  0.851085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000                 NaN   99.1524                 NaN  0.841956       0.568106E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000                 NaN   99.1652                 NaN  0.834785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000                 NaN   99.1771                 NaN  0.803767       0.190866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000                 NaN   99.1791                 NaN  0.820889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000                 NaN   99.1857                 NaN  0.814319       0.735573E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000                 NaN   99.1956                 NaN  0.801529       0.288439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000                 NaN   99.2051                 NaN  0.760250       0.346534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000                 NaN   99.2112                 NaN  0.788770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000                 NaN   99.2151                 NaN  0.784887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000                 NaN   99.2303                 NaN  0.723309       0.463816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000                 NaN   99.2307                 NaN  0.769303       0.139698E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000                 NaN   99.2332                 NaN  0.734274       0.325433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000                 NaN   99.2549                 NaN  0.745129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN   99.2501                 NaN  0.749860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000                 NaN   99.2598                 NaN  0.740156       0.254312E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2668                 NaN  0.700519       0.327165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000                 NaN   99.2696                 NaN  0.730413       0.139779E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000                 NaN   99.2758                 NaN  0.724181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000                 NaN   99.2818                 NaN  0.718176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000                 NaN   99.2883                 NaN  0.711743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000                 NaN   99.2983                 NaN  0.611529       0.901804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000                 NaN   99.3120                 NaN  0.653241       0.347293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000                 NaN   99.3064                 NaN  0.693623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000                 NaN   99.3115                 NaN  0.688452       0.872874E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000                 NaN   99.3160                 NaN  0.683970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000                 NaN   99.3211                 NaN  0.678903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000                 NaN   99.3272                 NaN  0.672761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000                 NaN   99.3305                 NaN  0.667301       0.217386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000                 NaN   99.3381                 NaN  0.661878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000                 NaN   99.3432                 NaN  0.656771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000                 NaN   99.3476                 NaN  0.652433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000                 NaN   99.3517                 NaN  0.648261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000                 NaN   99.3570                 NaN  0.643023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   99.3610                 NaN  0.639024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000                 NaN   99.3663                 NaN  0.633681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000                 NaN   99.3708                 NaN  0.629187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000                 NaN   99.3751                 NaN  0.624916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.3799                 NaN  0.620139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000                 NaN   99.3844                 NaN  0.615591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN   99.3881                 NaN  0.611916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000                 NaN   99.3931                 NaN  0.606920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000                 NaN   99.3981                 NaN  0.601854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000                 NaN   99.4011                 NaN  0.598881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000                 NaN   99.4053                 NaN  0.594698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000                 NaN   99.4092                 NaN  0.590822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000                 NaN   99.4108                 NaN  0.589227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000                 NaN   99.4207                 NaN  0.579306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   99.2953                 NaN  0.538551E-001            NaN  0.650878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000                 NaN   99.2834                 NaN            NaN            NaN  0.716575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000                 NaN   99.2856                 NaN  0.101292E-001            NaN  0.704222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000                 NaN   99.2883                 NaN  0.309738E-001            NaN  0.680742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000                 NaN   99.2873                 NaN            NaN            NaN  0.712719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000                 NaN   99.2906                 NaN            NaN            NaN  0.709426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.2907                 NaN            NaN            NaN  0.709334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000                 NaN   99.2894                 NaN            NaN            NaN  0.710628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000                 NaN   99.2910                 NaN            NaN            NaN  0.709002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000                 NaN   99.2898                 NaN            NaN            NaN  0.710158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000                 NaN   99.2889                 NaN            NaN            NaN  0.711081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000                 NaN   99.2883                 NaN            NaN            NaN  0.711698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000                 NaN   99.2862                 NaN            NaN            NaN  0.713770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000                 NaN   99.2826                 NaN            NaN            NaN  0.717412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000                 NaN   99.2795                 NaN            NaN            NaN  0.720544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000                 NaN   99.2740                 NaN            NaN            NaN  0.726030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   98.8661                 NaN            NaN            NaN  0.516385       0.617475                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000                 NaN   99.0176                 NaN  0.177147                 NaN  0.805239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000                 NaN   98.9131                 NaN  0.335150                 NaN  0.751782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000                 NaN   98.5950                 NaN            NaN            NaN  0.848520       0.556453                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000                 NaN   98.8623                 NaN            NaN            NaN  0.674803       0.462930                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000                 NaN   99.1434                 NaN  0.453906E-001            NaN  0.811199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000                 NaN   98.6203                 NaN            NaN            NaN  0.849820       0.529910                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000                 NaN   98.8991                 NaN            NaN            NaN  0.445934       0.654927                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000                 NaN   98.9121                 NaN            NaN            NaN  0.648199       0.439748                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000                 NaN   98.9241                 NaN            NaN            NaN  0.641941       0.433991                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000                 NaN   98.9346                 NaN            NaN            NaN  0.429350       0.636092                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000                 NaN   98.9474                 NaN            NaN            NaN  0.628859       0.423742                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000                 NaN   98.9580                 NaN            NaN            NaN  0.622848       0.419148                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000                 NaN   98.9707                 NaN            NaN            NaN  0.616024       0.413291                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000                 NaN   98.9808                 NaN            NaN            NaN  0.611002       0.408244                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000                 NaN   98.9914                 NaN            NaN            NaN  0.404101       0.604515                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000                 NaN   99.0008                 NaN            NaN            NaN  0.600062       0.399115                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000                 NaN   99.0126                 NaN            NaN            NaN  0.393386       0.594018                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000                 NaN   99.0216                 NaN            NaN            NaN  0.389491       0.588914                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000                 NaN   99.0297                 NaN            NaN            NaN  0.385496       0.584791                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000                 NaN   99.0432                 NaN            NaN            NaN  0.576928       0.379911                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000                 NaN   99.0513                 NaN            NaN            NaN  0.572823       0.375860                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000                 NaN   99.0604                 NaN            NaN            NaN  0.567655       0.371919                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000                 NaN   99.0713                 NaN            NaN            NaN  0.366936       0.561811                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000                 NaN   99.0797                 NaN            NaN            NaN  0.557307       0.363043                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000                 NaN   98.5623                 NaN            NaN            NaN  0.635071       0.588688                 NaN            NaN  0.213893                 NaN            NaN            NaN
  1441.63        500.000                 NaN   97.0442                 NaN            NaN            NaN  0.862547        1.25223                 NaN            NaN  0.841060                 NaN            NaN            NaN
  1440.13        500.000                 NaN   98.4562                 NaN  0.832393E-001            NaN   1.00146                 NaN            NaN            NaN  0.459153                 NaN            NaN            NaN
  1438.63        500.000                 NaN   95.8795                 NaN            NaN            NaN   2.29866       0.667246                 NaN            NaN   1.15458                 NaN            NaN            NaN
  1437.13        500.000                 NaN   97.2715                 NaN            NaN            NaN   1.15342       0.797063                 NaN            NaN  0.778021                 NaN            NaN            NaN
  1435.63        500.000                 NaN   97.3416                 NaN            NaN            NaN  0.776655        1.12318                 NaN            NaN  0.758609                 NaN            NaN            NaN
  1434.12        500.000                 NaN   97.3991                 NaN            NaN            NaN   1.09768       0.760683                 NaN            NaN  0.742499                 NaN            NaN            NaN
  1432.62        500.000                 NaN   97.4772                 NaN            NaN            NaN   1.06529       0.737050                 NaN            NaN  0.720473                 NaN            NaN            NaN
  1431.12        500.000                 NaN   97.5323                 NaN            NaN            NaN   1.04087       0.721496                 NaN            NaN  0.705299                 NaN            NaN            NaN
  1429.62        500.000                 NaN   97.5903                 NaN            NaN            NaN  0.705089        1.01561                 NaN            NaN  0.688999                 NaN            NaN            NaN
  1428.11        500.000                 NaN   97.6457                 NaN            NaN            NaN  0.689193       0.991525                 NaN            NaN  0.673568                 NaN            NaN            NaN
  1426.61        500.000                 NaN   97.6983                 NaN            NaN            NaN  0.673060       0.969684                 NaN            NaN  0.658948                 NaN            NaN            NaN
  1425.11        500.000                 NaN   97.7507                 NaN            NaN            NaN  0.946767       0.658317                 NaN            NaN  0.644181                 NaN            NaN            NaN
  1423.61        500.000                 NaN   97.8000                 NaN            NaN            NaN  0.643981       0.925724                 NaN            NaN  0.630261                 NaN            NaN            NaN
  1422.11        500.000                 NaN   97.8481                 NaN            NaN            NaN  0.905444       0.629560                 NaN            NaN  0.616886                 NaN            NaN            NaN
  1420.60        500.000                 NaN   97.8942                 NaN            NaN            NaN  0.886157       0.615886                 NaN            NaN  0.603788                 NaN            NaN            NaN
  1419.10        500.000                 NaN   97.9368                 NaN            NaN            NaN  0.868192       0.603209                 NaN            NaN  0.591751                 NaN            NaN            NaN
  1417.60        500.000                 NaN   97.9820                 NaN            NaN            NaN  0.590423       0.848652                 NaN            NaN  0.578909                 NaN            NaN            NaN
  1416.10        500.000                 NaN   98.0228                 NaN            NaN            NaN  0.578157       0.831476                 NaN            NaN  0.567563                 NaN            NaN            NaN
  1414.59        500.000                 NaN   98.0633                 NaN            NaN            NaN  0.566310       0.814517                 NaN            NaN  0.555839                 NaN            NaN            NaN
  1413.09        500.000                 NaN   98.1020                 NaN            NaN            NaN  0.798143       0.554885                 NaN            NaN  0.544967                 NaN            NaN            NaN
  1411.59        500.000                 NaN   98.1382                 NaN            NaN            NaN  0.543981       0.783210                 NaN            NaN  0.534654                 NaN            NaN            NaN
  1410.09        500.000                 NaN   98.1740                 NaN            NaN            NaN  0.533714       0.767912                 NaN            NaN  0.524353                 NaN            NaN            NaN
  1408.59        500.000                 NaN   98.2089                 NaN            NaN            NaN  0.523198       0.753408                 NaN            NaN  0.514536                 NaN            NaN            NaN
  1407.08        500.000                 NaN   98.2434                 NaN            NaN            NaN  0.739025       0.512997                 NaN            NaN  0.504620                 NaN            NaN            NaN
  1405.58        500.000                 NaN   98.2753                 NaN            NaN            NaN  0.503046       0.726118                 NaN            NaN  0.495538                 NaN            NaN            NaN
  1404.08        500.000                 NaN   98.3076                 NaN            NaN            NaN  0.493605       0.712393                 NaN            NaN  0.486427                 NaN            NaN            NaN
  1402.58        500.000                 NaN   98.3376                 NaN            NaN            NaN  0.484956       0.699515                 NaN            NaN  0.477919                 NaN            NaN            NaN
  1401.08        500.000                 NaN   98.3685                 NaN            NaN            NaN  0.475239       0.687290                 NaN            NaN  0.468937                 NaN            NaN            NaN
  1399.57        500.000                 NaN   98.3963                 NaN            NaN            NaN  0.675876       0.466843                 NaN            NaN  0.460957                 NaN            NaN            NaN
  1398.07        500.000                 NaN   98.4249                 NaN            NaN            NaN  0.458279       0.664092                 NaN            NaN  0.452764                 NaN            NaN            NaN
  1396.57        500.000                 NaN   98.4517                 NaN            NaN            NaN  0.450176       0.653076                 NaN            NaN  0.445065                 NaN            NaN            NaN
  1395.07        500.000                 NaN   98.4784                 NaN            NaN            NaN  0.442315       0.641926                 NaN            NaN  0.437346                 NaN            NaN            NaN
  1393.56        500.000                 NaN   98.5036                 NaN            NaN            NaN  0.434176       0.632214                 NaN            NaN  0.429973                 NaN            NaN            NaN
  1392.06        500.000                 NaN   98.5293                 NaN            NaN            NaN  0.426797       0.621318                 NaN            NaN  0.422616                 NaN            NaN            NaN
  1390.56        500.000                 NaN   98.5526                 NaN            NaN            NaN  0.611975       0.419480                 NaN            NaN  0.415983                 NaN            NaN            NaN
  1389.06        500.000                 NaN   98.5766                 NaN            NaN            NaN  0.412211       0.602236                 NaN            NaN  0.408968                 NaN            NaN            NaN
  1387.56        500.000                 NaN   98.6007                 NaN            NaN            NaN  0.592503       0.404793                 NaN            NaN  0.401963                 NaN            NaN            NaN
  1386.05        500.000                 NaN   98.6222                 NaN            NaN            NaN  0.397953       0.584085                 NaN            NaN  0.395726                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.6437                 NaN            NaN            NaN  0.390960       0.575702                 NaN            NaN  0.389593                 NaN            NaN            NaN
  1383.05        500.000                 NaN   98.6664                 NaN            NaN            NaN  0.384594       0.566099                 NaN            NaN  0.382910                 NaN            NaN            NaN
  1381.55        500.000                 NaN   98.6865                 NaN            NaN            NaN  0.378278       0.558169                 NaN            NaN  0.377082                 NaN            NaN            NaN
  1380.05        500.000                 NaN   98.7059                 NaN            NaN            NaN  0.550398       0.372305                 NaN            NaN  0.371402                 NaN            NaN            NaN
  1378.54        500.000                 NaN   98.7248                 NaN            NaN            NaN  0.366554       0.542738                 NaN            NaN  0.365875                 NaN            NaN            NaN
  1377.04        500.000                 NaN   98.7464                 NaN            NaN            NaN  0.534557       0.359405                 NaN            NaN  0.359598                 NaN            NaN            NaN
  1375.54        500.000                 NaN   98.7632                 NaN            NaN            NaN  0.354202       0.527870                 NaN            NaN  0.354692                 NaN            NaN            NaN
  1374.04        500.000                 NaN   98.7817                 NaN            NaN            NaN  0.520368       0.348707                 NaN            NaN  0.349195                 NaN            NaN            NaN
  1372.53        500.000                 NaN   98.8000                 NaN            NaN            NaN  0.513490       0.342608                 NaN            NaN  0.343897                 NaN            NaN            NaN
  1371.03        500.000                 NaN   98.8174                 NaN            NaN            NaN  0.337336       0.506475                 NaN            NaN  0.338790                 NaN            NaN            NaN
  1369.53        500.000                 NaN   98.8335                 NaN            NaN            NaN  0.332343       0.500161                 NaN            NaN  0.334039                 NaN            NaN            NaN
  1368.03        500.000                 NaN   98.8494                 NaN            NaN            NaN  0.327596       0.493765                 NaN            NaN  0.329252                 NaN            NaN            NaN
  1366.53        500.000                 NaN   98.8670                 NaN            NaN            NaN  0.321740       0.487095                 NaN            NaN  0.324193                 NaN            NaN            NaN
  1365.02        500.000                 NaN   98.8827                 NaN            NaN            NaN  0.316827       0.480833                 NaN            NaN  0.319658                 NaN            NaN            NaN
  1363.52        500.000                 NaN   98.8983                 NaN            NaN            NaN  0.311723       0.475018                 NaN            NaN  0.314985                 NaN            NaN            NaN
  1362.02        500.000                 NaN   98.9135                 NaN            NaN            NaN  0.306985       0.468965                 NaN            NaN  0.310595                 NaN            NaN            NaN
  1360.52        500.000                 NaN   98.9281                 NaN            NaN            NaN  0.463080       0.302473                 NaN            NaN  0.306387                 NaN            NaN            NaN
  1359.02        500.000                 NaN   98.9430                 NaN            NaN            NaN  0.457773       0.297459                 NaN            NaN  0.301788                 NaN            NaN            NaN
  1357.51        500.000                 NaN   98.9569                 NaN            NaN            NaN  0.293224       0.452256                 NaN            NaN  0.297637                 NaN            NaN            NaN
  1356.01        500.000                 NaN   98.9705                 NaN            NaN            NaN  0.447365       0.288313                 NaN            NaN  0.293848                 NaN            NaN            NaN
  1354.51        500.000                 NaN   98.9845                 NaN            NaN            NaN  0.284193       0.441866                 NaN            NaN  0.289429                 NaN            NaN            NaN
  1353.01        500.000                 NaN   98.9973                 NaN            NaN            NaN  0.279546       0.437381                 NaN            NaN  0.285795                 NaN            NaN            NaN
  1351.50        500.000                 NaN   99.0101                 NaN            NaN            NaN  0.431889       0.276171                 NaN            NaN  0.281888                 NaN            NaN            NaN
  1350.00        500.000                 NaN   99.0222                 NaN            NaN            NaN  0.427414       0.271964                 NaN            NaN  0.278463                 NaN            NaN            NaN
  1348.50        500.000                 NaN   99.0367                 NaN            NaN            NaN  0.267513       0.421870                 NaN            NaN  0.273892                 NaN            NaN            NaN
  1347.00        500.000                 NaN   99.0477                 NaN            NaN            NaN  0.263638       0.417969                 NaN            NaN  0.270710                 NaN            NaN            NaN
  1345.50        500.000                 NaN   4.95346        92.8134                 NaN            NaN  0.671646       0.916085                 NaN            NaN  0.645418                 NaN            NaN            NaN
  1343.99        500.000                 NaN   9.43742        88.5935                 NaN            NaN  0.806771       0.592703                 NaN            NaN  0.569560                 NaN            NaN            NaN
  1342.49        500.000                 NaN   2.89242        97.1076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.99        500.000                 NaN   2.47421        97.4284                 NaN            NaN  0.973830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.49        500.000                 NaN   18.0337        77.8154                 NaN            NaN   1.26549        1.65631                 NaN            NaN   1.22913                 NaN            NaN            NaN
  1337.98        500.000                 NaN   16.1666        83.3265                 NaN            NaN  0.429482                 NaN            NaN            NaN  0.774932E-001            NaN            NaN            NaN
  1336.48        500.000                 NaN   26.0443        71.2457                 NaN            NaN   1.79744       0.331407E-001            NaN            NaN  0.879475                 NaN            NaN            NaN
  1334.98        500.000                 NaN   29.9667        68.7384                 NaN            NaN  0.634258       0.288366                 NaN            NaN  0.372285                 NaN            NaN            NaN
  1333.48        500.000                 NaN   32.7084        66.2308                 NaN            NaN  0.238546       0.518724                 NaN            NaN  0.303539                 NaN            NaN            NaN
  1331.98        500.000                 NaN   35.1038        63.9404                 NaN            NaN  0.216163       0.466162                 NaN            NaN  0.273474                 NaN            NaN            NaN
  1330.47        500.000                 NaN   37.1316        62.0204                 NaN            NaN  0.192894       0.412898                 NaN            NaN  0.242221                 NaN            NaN            NaN
  1328.97        500.000                 NaN   38.8675        60.3669                 NaN            NaN  0.371901       0.175461                 NaN            NaN  0.218248                 NaN            NaN            NaN
  1327.47        500.000                 NaN   40.3654        58.9357                 NaN            NaN  0.161211       0.338864                 NaN            NaN  0.198823                 NaN            NaN            NaN
  1325.97        500.000                 NaN   78.6447        20.9414                 NaN            NaN  0.299140                 NaN            NaN            NaN  0.114828                 NaN            NaN            NaN
  1324.47        500.000                 NaN   99.2384                 NaN            NaN  0.243007       0.277172                 NaN            NaN            NaN  0.241410                 NaN            NaN            NaN
  1322.96        500.000                 NaN   99.2759                 NaN            NaN  0.249449       0.243669                 NaN            NaN            NaN  0.231003                 NaN            NaN            NaN
  1321.46        500.000                 NaN   99.3602                 NaN            NaN  0.218021       0.218566                 NaN            NaN            NaN  0.203171                 NaN            NaN            NaN
  1319.96        500.000                 NaN   99.4289                 NaN            NaN  0.191589       0.199146                 NaN            NaN            NaN  0.180330                 NaN            NaN            NaN
  1318.46        500.000                 NaN   99.4829                 NaN            NaN  0.170999       0.183675                 NaN            NaN            NaN  0.162444                 NaN            NaN            NaN
  1316.95        500.000                 NaN   99.5268                 NaN            NaN  0.154276       0.170885                 NaN            NaN            NaN  0.148033                 NaN            NaN            NaN
  1315.45        500.000                 NaN   99.5660                 NaN            NaN  0.138160       0.161152                 NaN            NaN            NaN  0.134704                 NaN            NaN            NaN
  1313.95        500.000                 NaN   99.5978                 NaN            NaN  0.125556       0.152516                 NaN            NaN            NaN  0.124108                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.6231                 NaN            NaN  0.115482       0.145708                 NaN            NaN            NaN  0.115709                 NaN            NaN            NaN
  1310.95        500.000                 NaN   99.6450                 NaN            NaN  0.106390       0.140301                 NaN            NaN            NaN  0.108331                 NaN            NaN            NaN
  1309.44        500.000                 NaN   99.6644                 NaN            NaN  0.981615E-001  0.135725                 NaN            NaN            NaN  0.101761                 NaN            NaN            NaN
  1307.94        500.000                 NaN   99.6797                 NaN            NaN  0.916373E-001  0.132087                 NaN            NaN            NaN  0.965525E-001            NaN            NaN            NaN
  1306.44        500.000                 NaN   99.6944                 NaN            NaN  0.846482E-001  0.129504                 NaN            NaN            NaN  0.913994E-001            NaN            NaN            NaN
  1304.94        500.000                 NaN   99.7058                 NaN            NaN  0.793076E-001  0.127445                 NaN            NaN            NaN  0.874780E-001            NaN            NaN            NaN
