|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1507.58        2500.00        99.5813       0.391006       0.276622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        2500.00        99.5841       0.387306       0.285547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        2500.00        99.5851       0.389645       0.252171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.5872       0.388110       0.246413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        2500.00        99.5894       0.386726       0.239125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        2500.00        99.5914       0.384499       0.240880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        2500.00        99.5936       0.383687       0.227172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        2500.00        99.5956       0.382791       0.215824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.07        2500.00        99.5967       0.382620       0.206680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        2500.00        99.5994       0.379937       0.206761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        2500.00        99.6011       0.379684       0.192276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        2500.00        99.6033       0.377581       0.191643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        2500.00        99.6045       0.376861       0.186573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        2500.00        99.2989       0.665610       0.354675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        2500.00        99.9235       0.735644E-001  0.290302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        2500.00        99.6957       0.292285       0.119702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        2500.00        99.5252       0.455961       0.188256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        2500.00        99.4222       0.294129       0.310925E-001  0.252538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.69        2500.00        99.2162       0.205787       0.488183E-001  0.529227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        2500.00        99.2222       0.204530       0.477072E-001  0.525541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.82        2500.00        99.2312       0.200968       0.473073E-001  0.520502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.38        2500.00        99.2331       0.201475       0.450606E-001  0.520392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        2500.00        99.2462       0.197298       0.456157E-001  0.510843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        2500.00        99.2507       0.198110       0.429583E-001  0.508275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.07        2500.00        99.2549       0.191535       0.418508E-001  0.702493E-002  0.504651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        2500.00        99.2642       0.192612       0.427553E-001  0.500391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.19        2500.00        99.2444       0.715495E-001  0.257047E-001  0.188686       0.469704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.75        2500.00        99.2431       0.341307E-001  0.198716E-001  0.457138       0.245752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        99.2491       0.319793E-001  0.191165E-001  0.246444       0.453389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        2500.00        99.2525       0.345620E-001  0.179298E-001  0.243336       0.451686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.44        2500.00        99.2624       0.295989E-001  0.175008E-001  0.245281       0.445254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.00        2500.00        99.2658       0.292097E-001  0.165281E-001  0.245564       0.442919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.56        2500.00        99.2713       0.273809E-001  0.157288E-001  0.439109       0.246472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.13        2500.00        99.2761       0.279979E-001  0.147745E-001  0.436410       0.244686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.2827       0.286726E-001  0.139973E-001  0.242113       0.432503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.25        2500.00        99.2872       0.257776E-001  0.132139E-001  0.244436       0.429379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.37        2500.00        98.5908       0.529916E-001  0.239336E-001  0.849026       0.483216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.94        2500.00        99.3024       0.250311E-001  0.108328E-001  0.241714       0.419994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.50        2500.00        99.3072       0.257285E-001  0.997452E-002  0.417232       0.239908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.06        2500.00        99.3115       0.247139E-001  0.935293E-002  0.239856       0.414601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        2500.00        99.3162       0.257947E-001  0.854073E-002  0.237583       0.411928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.19        2500.00        99.3209       0.244347E-001  0.786141E-002  0.237776       0.409049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.75        2500.00        99.3256       0.247234E-001  0.708529E-002  0.236500       0.406052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.31        2500.00        99.3299       0.259398E-001  0.622203E-002  0.403690       0.234252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.87        2500.00        99.3344       0.264742E-001  0.553345E-002  0.232488       0.401068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.43        2500.00        99.3383       0.270178E-001  0.476283E-002  0.231102       0.398791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.3423       0.274577E-001  0.398621E-002  0.229859       0.396391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.56        2500.00        99.3468       0.299709E-001  0.304947E-002  0.226215       0.393945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.12        2500.00        99.3496       0.254824E-001  0.256075E-002  0.391712       0.230641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.68        2500.00        99.3558       0.319299E-001  0.190040E-002  0.221327       0.389087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        99.3589       0.332690E-001  0.119136E-002  0.219279       0.387404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.81        2500.00        99.3625       0.300978E-001            NaN  0.384417       0.222981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.37        2500.00        99.2765       0.190810E-001  0.147371E-001  0.251244       0.388109       0.503464E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.93        2500.00        98.0312       0.136408E-001  0.189334       0.548346       0.551991       0.665449                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.49        2500.00        98.8716                 NaN  0.110194       0.315942       0.321186       0.381127                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.05        2500.00        98.4881                 NaN  0.148999       0.428523       0.423067       0.511331                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.62        2500.00        98.5146                 NaN  0.147856       0.415766       0.419104       0.502679                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.18        2500.00        98.5398                 NaN  0.146827       0.409875       0.408975       0.494519                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.74        2500.00        98.5644                 NaN  0.145773       0.400881       0.402501       0.486408                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.30        2500.00        98.5743                 NaN  0.146836       0.394964       0.399935       0.483927                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        2500.00        98.6240                 NaN  0.142214       0.386790       0.381024       0.466000                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.43        2500.00        98.6346                 NaN  0.142932       0.375308       0.383797       0.463322                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.99        2500.00        98.6572                 NaN  0.141860       0.377591       0.367484       0.455914                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.55        2500.00        98.6783                 NaN  0.141174       0.372301       0.359388       0.448804                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.11        2500.00        98.6995                 NaN  0.140167       0.366384       0.352031       0.441872                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.68        2500.00        98.7197                 NaN  0.139835       0.361366       0.343789       0.435283                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.24        2500.00        98.7408                 NaN  0.138363       0.337562       0.355169       0.428118                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.80        2500.00        98.7596                 NaN  0.137427       0.330585       0.350481       0.421954                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.36        2500.00        98.7784                 NaN  0.136764       0.345288       0.323707       0.415848                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.92        2500.00        98.7964                 NaN  0.136047       0.340620       0.316983       0.409911                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.49        2500.00        98.8145                 NaN  0.135241       0.310821       0.335519       0.403886                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.05        2500.00        98.8319                 NaN  0.134494       0.330928       0.304545       0.398143                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.61        2500.00        98.8491                 NaN  0.133914       0.326412       0.298279       0.392322                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.17        2500.00        98.8673                 NaN  0.132720       0.321474       0.292315       0.386234                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.73        2500.00        98.8825                 NaN  0.132228       0.286482       0.317484       0.381304                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.30        2500.00        98.8986                 NaN  0.131424       0.313153       0.280935       0.375920                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.86        2500.00        98.9143                 NaN  0.130721       0.275250       0.309056       0.370634                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.42        2500.00        98.9291                 NaN  0.130036       0.305119       0.270049       0.365679                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.98        2500.00        98.9443                 NaN  0.129252       0.300871       0.264977       0.360610                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.55        2500.00        98.9591                 NaN  0.128657       0.259516       0.297113       0.355649                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.11        2500.00        98.9737                 NaN  0.127964       0.254324       0.293243       0.350815                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.67        2500.00        98.9873                 NaN  0.127070       0.289573       0.249974       0.346086                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.23        2500.00        99.0093                 NaN  0.126022       0.284021       0.241950       0.338666                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.79        2500.00        99.0013                 NaN  0.125375       0.285615       0.246746       0.340933                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.36        2500.00        99.0236                 NaN  0.126902       0.235347       0.279904       0.334248                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.92        2500.00        99.0452                 NaN  0.124324       0.229413       0.274719       0.326375                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.48        2500.00        99.0526                 NaN  0.123753       0.227496       0.271976       0.324157                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.04        2500.00        99.0647                 NaN  0.123121       0.268914       0.223231       0.320075                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.60        2500.00        99.0758                 NaN  0.122940       0.265757       0.218835       0.316627                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.17        2500.00        99.0902                 NaN  0.121273       0.215495       0.261803       0.311242                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.73        2500.00        99.0984                 NaN  0.121464       0.259719       0.211648       0.308785                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.29        2500.00        99.1100                 NaN  0.120083       0.255929       0.209356       0.304655                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.85        2500.00        99.1244                 NaN  0.119833       0.202362       0.253596       0.299852                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.41        2500.00        99.1342                 NaN  0.118762       0.250123       0.200610       0.296284                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.98        2500.00        99.1439                 NaN  0.118422       0.196940       0.247607       0.293117                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.54        2500.00        99.1542                 NaN  0.117728       0.244936       0.193604       0.289513                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.10        2500.00        99.1650                 NaN  0.117082       0.190278       0.241746       0.285868                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.66        2500.00        99.1744                 NaN  0.106161       0.236720       0.202167       0.280560                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.23        2500.00        99.1839                 NaN  0.125973       0.169082       0.239623       0.281395                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.79        2500.00        99.1938                 NaN  0.115132       0.234263       0.180906       0.275936                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.35        2500.00        99.1995                 NaN  0.114770       0.231730       0.179718       0.274256                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.91        2500.00        99.2128                 NaN  0.114835       0.230723       0.172330       0.269340                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.47        2500.00        99.2261                 NaN  0.110956       0.225521       0.173374       0.264075                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.04        2500.00        99.2309                 NaN  0.112020       0.224093       0.169928       0.263107                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.60        2500.00        99.2392                 NaN  0.111486       0.222065       0.167060       0.260192                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.16        2500.00        99.2483                 NaN  0.110581       0.219160       0.164812       0.257118                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.72        2500.00        99.2565                 NaN  0.109723       0.217156       0.162576       0.254028                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.28        2500.00        99.2649                 NaN  0.109146       0.214728       0.159913       0.251274                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.85        2500.00        99.2729                 NaN  0.108220       0.212682       0.157856       0.248354                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.41        2500.00        99.2807                 NaN  0.107624       0.210433       0.155636       0.245654                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.97        2500.00        99.2886                 NaN  0.106669       0.153577       0.208314       0.242847                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.53        2500.00        99.2962                 NaN  0.105966       0.151503       0.206111       0.240189                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.09        2500.00        99.2954                 NaN  0.109447       0.207788       0.145758       0.241646                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.66        2500.00        99.3183                 NaN  0.997839E-001  0.198897       0.151982       0.231051                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.22        2500.00        99.3187                 NaN  0.103474       0.145525       0.200142       0.232174                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.78        2500.00        99.2984                 NaN  0.110404       0.198001       0.148297       0.244937                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.34        2500.00        99.3540                 NaN  0.941376E-001  0.197417       0.140981       0.213489                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.91        2500.00        99.3394                 NaN  0.100780       0.194093       0.140930       0.224847                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.47        2500.00        99.3469                 NaN  0.996714E-001  0.192000       0.139427       0.222016                 NaN            NaN            NaN            NaN            NaN            NaN
  1335.03        2500.00        99.3514                 NaN  0.999380E-001  0.191142       0.136961       0.220539                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.59        2500.00        99.3611                 NaN  0.974676E-001  0.188005       0.136722       0.216718                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.15        2500.00        99.3659                 NaN  0.975978E-001  0.186318       0.134801       0.215427                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.72        2500.00        99.3729                 NaN  0.958896E-001  0.133907       0.184797       0.212508                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.28        2500.00        99.3786                 NaN  0.956170E-001  0.132165       0.182803       0.210774                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.84        2500.00        99.3799                 NaN  0.961692E-001  0.181567       0.131959       0.210406                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.40        2500.00        99.3946                 NaN  0.918269E-001  0.178833       0.130431       0.204296                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.96        2500.00        99.3971                 NaN  0.920602E-001  0.129548       0.177549       0.203788                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.53        2500.00        99.4021                 NaN  0.913286E-001  0.176010       0.128552       0.201963                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.09        2500.00        99.4076                 NaN  0.903700E-001  0.174435       0.127706       0.199927                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.65        2500.00        99.4139                 NaN  0.892448E-001  0.172627       0.126538       0.197656                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.21        2500.00        99.4193                 NaN  0.882905E-001  0.171001       0.125718       0.195643                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.77        2500.00        99.4237                 NaN  0.873966E-001  0.125279       0.169609       0.193982                 NaN            NaN            NaN            NaN            NaN            NaN
  1316.34        2500.00        99.4225                 NaN  0.835702E-001  0.133967       0.164484       0.195522                 NaN            NaN            NaN            NaN            NaN            NaN
  1314.90        2500.00        99.4398                 NaN  0.869777E-001  0.116611       0.169861       0.186704                 NaN            NaN            NaN            NaN            NaN            NaN
  1313.46        2500.00        99.4401                 NaN  0.838715E-001  0.164670       0.123538       0.187827                 NaN            NaN            NaN            NaN            NaN            NaN
  1312.02        2500.00        99.4452                 NaN  0.828140E-001  0.123067       0.162916       0.185965                 NaN            NaN            NaN            NaN            NaN            NaN
  1310.59        2500.00        99.4500                 NaN  0.820783E-001  0.161444       0.122162       0.184294                 NaN            NaN            NaN            NaN            NaN            NaN
  1309.15        2500.00        99.4555                 NaN  0.806115E-001  0.159723       0.121993       0.182151                 NaN            NaN            NaN            NaN            NaN            NaN
  1307.71        2500.00        99.4595                 NaN  0.785904E-001  0.157977       0.123501       0.180402                 NaN            NaN            NaN            NaN            NaN            NaN
  1306.27        2500.00        97.8422                 NaN  0.241561       0.324284       0.120118       0.380300        1.09157                 NaN            NaN            NaN            NaN            NaN
  1304.83        2500.00        86.8358                 NaN   1.34732       0.945313E-001   1.47280        1.74579        8.50372                 NaN            NaN            NaN            NaN            NaN
  1303.40        2500.00        87.9815                 NaN   1.25687       0.244202E-001   1.38464        1.60488        7.74769                 NaN            NaN            NaN            NaN            NaN
  1301.96        2500.00        88.9536                 NaN   1.16470        1.29699                 NaN   1.48374        7.10093                 NaN            NaN            NaN            NaN            NaN
  1300.52        2500.00        89.7923                 NaN   1.07640        1.21365                 NaN   1.37851        6.53913                 NaN            NaN            NaN            NaN            NaN
  1299.08        2500.00        90.4744                 NaN   1.00679        1.14352                 NaN   1.29362        6.08168                 NaN            NaN            NaN            NaN            NaN
  1297.64        2500.00        91.2427                 NaN  0.925063        1.06623                 NaN   1.19397        5.57202                 NaN            NaN            NaN            NaN            NaN
  1296.21        2500.00        91.7877                 NaN  0.869172        1.00945                 NaN   1.12578        5.20794                 NaN            NaN            NaN            NaN            NaN
  1294.77        2500.00        92.3058                 NaN  0.815302       0.956745                 NaN   1.05987        4.86228                 NaN            NaN            NaN            NaN            NaN
  1293.33        2500.00        81.6422                 NaN  0.874965        2.75932                 NaN   2.32789        11.5486       0.846995                 NaN            NaN            NaN            NaN
  1291.89        2500.00        75.7193                 NaN  0.812638        3.79020                 NaN   3.00374        15.2897        1.38449                 NaN            NaN            NaN            NaN
  1290.45        2500.00        79.0686                 NaN  0.692621        3.25581                 NaN   2.57842        13.2119        1.19266                 NaN            NaN            NaN            NaN
  1289.02        2500.00        81.5188                 NaN  0.606870        2.85996                 NaN   2.26609        11.6959        1.05235                 NaN            NaN            NaN            NaN
  1287.58        2500.00        82.4726                 NaN  0.490326       0.226106        2.57780        2.13434        11.0965        1.00235                 NaN            NaN            NaN            NaN
  1286.14        2500.00        78.8628                 NaN  0.645505       0.241349        3.09046        2.63585        13.3194        1.20466                 NaN            NaN            NaN            NaN
  1284.70        2500.00        93.2865                 NaN  0.175804        1.05047                 NaN  0.719632        4.39308       0.374471                 NaN            NaN            NaN            NaN
  1283.27        2500.00        80.2680                 NaN  0.260572        2.65452        1.20000        2.44780        12.1033        1.06579                 NaN            NaN            NaN            NaN
  1281.83        2500.00        95.4946                 NaN  0.230693E-001  0.467382                 NaN  0.416300        3.24946       0.349196                 NaN            NaN            NaN            NaN
