|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        San(TH)        q             
  1413.41        500.000        98.4195       0.484372       0.616158                 NaN            NaN  0.479969                 NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.4419       0.607251       0.477584                 NaN            NaN  0.473271                 NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.4629       0.598755       0.471757                 NaN            NaN  0.466595                 NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        98.4835       0.465586       0.590599                 NaN            NaN  0.460323                 NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.5003       0.461345       0.583190                 NaN            NaN  0.455184                 NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.5250       0.453532       0.574281                 NaN            NaN  0.447186                 NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.5417       0.566816       0.449338                 NaN            NaN  0.442110                 NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.5604       0.443075       0.560238                 NaN            NaN  0.436261                 NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.5805       0.437038       0.552566                 NaN            NaN  0.429925                 NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.6000       0.431359       0.544780                 NaN  0.508771E-005  0.423900                 NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.6138       0.439773       0.468338                 NaN  0.478673E-001  0.430263                 NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.6286       0.344890       0.455671                 NaN  0.127418       0.443436                 NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.6454       0.452231       0.332870                 NaN  0.130535       0.438917                 NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.6611       0.448505       0.324450                 NaN  0.131600       0.434304                 NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.6812       0.442682       0.315573                 NaN  0.132181       0.428394                 NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        98.6900       0.308091       0.441123                 NaN  0.134485       0.426286                 NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.7134       0.434620       0.300677                 NaN  0.133195       0.418150                 NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        98.7281       0.430068       0.292886                 NaN  0.134521       0.414463                 NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        98.7465       0.426651       0.282631                 NaN  0.135683       0.408524                 NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.7547       0.424887       0.276082                 NaN  0.137253       0.407102                 NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.7741       0.418865       0.269640                 NaN  0.136869       0.400515                 NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.7861       0.262362       0.416041                 NaN  0.138347       0.397150                 NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.5465       0.305619       0.501157                 NaN  0.169970       0.476716                 NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        99.0684       0.196625       0.321423                 NaN  0.108917       0.304658                 NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.8266       0.406288       0.241304                 NaN  0.140768       0.385050                 NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.8399       0.234832       0.402802                 NaN  0.141495       0.380996                 NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.8535       0.227575       0.399333                 NaN  0.142425       0.377120                 NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.8658       0.221744       0.396314                 NaN  0.142966       0.373216                 NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.8784       0.215047       0.393157                 NaN  0.143841       0.369563                 NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.8896       0.208864       0.390543                 NaN  0.144709       0.366254                 NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.9028       0.387327       0.202221                 NaN  0.145290       0.362403                 NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.9131       0.384362       0.197186                 NaN  0.146060       0.359262                 NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.9068       0.388234       0.193348                 NaN  0.149498       0.362106                 NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.9566       0.372226       0.183150                 NaN  0.143727       0.344331                 NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.9472       0.179620       0.376631                 NaN  0.147849       0.348718                 NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.9563       0.374905       0.172919                 NaN  0.149516       0.346389                 NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.9674       0.371786       0.168791                 NaN  0.149295       0.342678                 NaN            NaN            NaN            NaN            NaN
  1371.50        500.000        98.9833       0.163593       0.367561                 NaN  0.148247       0.337309                 NaN            NaN            NaN            NaN            NaN
  1370.37        500.000        98.9900       0.158570       0.365934                 NaN  0.149873       0.335645                 NaN            NaN            NaN            NaN            NaN
  1369.24        500.000        99.0004       0.152633       0.363725                 NaN  0.150633       0.332620                 NaN            NaN            NaN            NaN            NaN
  1368.11        500.000        99.0035       0.364185       0.146858                 NaN  0.153213       0.332235                 NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        99.0275       0.356095       0.143531                 NaN  0.149437       0.323439                 NaN            NaN            NaN            NaN            NaN
  1365.84        500.000        99.0302       0.356555       0.138144                 NaN  0.151776       0.323282                 NaN            NaN            NaN            NaN            NaN
  1364.71        500.000        99.0394       0.354800       0.132537                 NaN  0.152643       0.320648                 NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        99.0494       0.351854       0.128831                 NaN  0.152584       0.317358                 NaN            NaN            NaN            NaN            NaN
  1362.44        500.000        99.0582       0.124215       0.349880                 NaN  0.152980       0.314686                 NaN            NaN            NaN            NaN            NaN
  1361.31        500.000        99.0673       0.348028       0.119265                 NaN  0.153486       0.311921                 NaN            NaN            NaN            NaN            NaN
  1360.18        500.000        99.0757       0.115578       0.346032                 NaN  0.153509       0.309139                 NaN            NaN            NaN            NaN            NaN
  1359.04        500.000        99.0844       0.343915       0.111351                 NaN  0.153904       0.306439                 NaN            NaN            NaN            NaN            NaN
  1357.91        500.000        99.0939       0.341502       0.107055                 NaN  0.154100       0.303475                 NaN            NaN            NaN            NaN            NaN
  1356.78        500.000        99.1022       0.102923       0.339706                 NaN  0.154268       0.300891                 NaN            NaN            NaN            NaN            NaN
  1355.65        500.000        99.1084       0.338566       0.989237E-001            NaN  0.155126       0.298958                 NaN            NaN            NaN            NaN            NaN
  1354.51        500.000        99.1197       0.963465E-001  0.335149                 NaN  0.153804       0.295003                 NaN            NaN            NaN            NaN            NaN
  1353.38        500.000        99.1265       0.333924       0.920546E-001            NaN  0.154484       0.293085                 NaN            NaN            NaN            NaN            NaN
  1352.25        500.000        99.1340       0.332088       0.887106E-001            NaN  0.154582       0.290661                 NaN            NaN            NaN            NaN            NaN
  1351.12        500.000        99.1422       0.852575E-001  0.330147                 NaN  0.154415       0.287932                 NaN            NaN            NaN            NaN            NaN
  1349.98        500.000        99.1458       0.811443E-001  0.329048                 NaN  0.156094       0.287919                 NaN            NaN            NaN            NaN            NaN
  1348.85        500.000        99.1611       0.326052       0.791513E-001            NaN  0.152692       0.280981                 NaN            NaN            NaN            NaN            NaN
  1347.72        500.000        99.1641       0.745035E-001  0.324772                 NaN  0.155259       0.281339                 NaN            NaN            NaN            NaN            NaN
  1346.59        500.000        99.1730       0.323432       0.729827E-001            NaN  0.153179       0.277453                 NaN            NaN            NaN            NaN            NaN
  1345.45        500.000        99.1797       0.695533E-001  0.321203                 NaN  0.153882       0.275710                 NaN            NaN            NaN            NaN            NaN
  1344.32        500.000        99.1859       0.668700E-001  0.319819                 NaN  0.153731       0.273668                 NaN            NaN            NaN            NaN            NaN
  1343.19        500.000        99.1926       0.646431E-001  0.318157                 NaN  0.153275       0.271362                 NaN            NaN            NaN            NaN            NaN
  1342.05        500.000        99.2013       0.315552       0.619545E-001            NaN  0.152766       0.268442                 NaN            NaN            NaN            NaN            NaN
  1340.92        500.000        99.2054       0.315062       0.601118E-001            NaN  0.152534       0.266855                 NaN            NaN            NaN            NaN            NaN
  1339.79        500.000        99.2137       0.562762E-001  0.313160                 NaN  0.152527       0.264300                 NaN            NaN            NaN            NaN            NaN
  1338.66        500.000        99.2210       0.310707       0.553962E-001            NaN  0.151270       0.261629                 NaN            NaN            NaN            NaN            NaN
  1337.52        500.000        99.2270       0.309701       0.517319E-001            NaN  0.151636       0.259903                 NaN            NaN            NaN            NaN            NaN
  1336.39        500.000        99.2140       0.297870       0.942503E-001            NaN  0.134163       0.259677                 NaN            NaN            NaN            NaN            NaN
  1335.26        500.000        99.2553       0.316370       0.958629E-002            NaN  0.165117       0.253642                 NaN            NaN            NaN            NaN            NaN
  1334.13        500.000        99.2464       0.467611E-001  0.304129                 NaN  0.149607       0.253053                 NaN            NaN            NaN            NaN            NaN
  1332.99        500.000        96.8463        1.29833       0.277352                 NaN  0.438890        1.01800       0.121121                 NaN            NaN            NaN            NaN
  1331.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.73        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.60        500.000        99.9420       0.260226E-001            NaN            NaN  0.153394E-001  0.166298E-001            NaN            NaN            NaN            NaN            NaN
  1328.46        500.000        99.1556       0.384102                 NaN            NaN  0.120245       0.273004       0.670319E-001            NaN            NaN            NaN            NaN
  1327.33        500.000        99.1457       0.383036       0.206334E-001            NaN  0.104977       0.272488       0.731714E-001            NaN            NaN            NaN            NaN
  1326.20        500.000        99.1455       0.437969E-001  0.373893                 NaN  0.927202E-001  0.269917       0.741824E-001            NaN            NaN            NaN            NaN
  1325.07        500.000        99.1516       0.374114       0.401335E-001            NaN  0.913553E-001  0.267779       0.750342E-001            NaN            NaN            NaN            NaN
  1323.93        500.000        99.1608       0.371139       0.380311E-001            NaN  0.907063E-001  0.264921       0.743979E-001            NaN            NaN            NaN            NaN
  1322.80        500.000        99.1676       0.359376E-001  0.369850                 NaN  0.893620E-001  0.262678       0.745681E-001            NaN            NaN            NaN            NaN
  1321.67        500.000        99.1775       0.367041       0.320111E-001            NaN  0.894260E-001  0.259943       0.740751E-001            NaN            NaN            NaN            NaN
  1320.53        500.000        99.1858       0.365042       0.308192E-001            NaN  0.876389E-001  0.256922       0.737519E-001            NaN            NaN            NaN            NaN
  1319.40        500.000        99.1939       0.361897       0.291949E-001            NaN  0.873425E-001  0.254666       0.729540E-001            NaN            NaN            NaN            NaN
  1318.27        500.000        99.2025       0.360013       0.269887E-001            NaN  0.859579E-001  0.251770       0.727439E-001            NaN            NaN            NaN            NaN
  1317.14        500.000        99.2112       0.356800       0.256225E-001            NaN  0.852909E-001  0.249194       0.719173E-001            NaN            NaN            NaN            NaN
  1316.00        500.000        99.2209       0.233082E-001  0.353264                 NaN  0.850730E-001  0.246426       0.710635E-001            NaN            NaN            NaN            NaN
  1314.87        500.000        99.2297       0.350814       0.212581E-001            NaN  0.842436E-001  0.243630       0.704011E-001            NaN            NaN            NaN            NaN
  1313.74        500.000        99.2087       0.314339       0.143843                 NaN  0.217112E-001  0.239255       0.721025E-001            NaN            NaN            NaN            NaN
  1312.61        500.000        99.2534       0.338230                 NaN            NaN  0.103538       0.238745       0.661177E-001            NaN            NaN            NaN            NaN
  1311.47        500.000        99.2603       0.346426                 NaN            NaN  0.897765E-001  0.235858       0.676187E-001            NaN            NaN            NaN            NaN
  1310.34        500.000        99.2688       0.340904       0.265480E-002            NaN  0.878097E-001  0.233113       0.666865E-001            NaN            NaN            NaN            NaN
  1309.21        500.000        99.2774       0.338824                 NaN            NaN  0.874253E-001  0.230472       0.658332E-001            NaN            NaN            NaN            NaN
  1308.08        500.000        99.2848       0.334488                 NaN            NaN  0.871206E-001  0.228311       0.652441E-001            NaN            NaN            NaN            NaN
  1306.94        500.000        99.2945       0.230264E-002  0.330696                 NaN  0.837333E-001  0.224762       0.639604E-001            NaN            NaN            NaN            NaN
  1305.81        500.000        99.2957       0.317729                 NaN            NaN  0.984596E-001  0.227642       0.605178E-001            NaN            NaN            NaN            NaN
  1304.68        500.000        99.3132       0.324830       0.224847E-001            NaN  0.598459E-001  0.214755       0.649169E-001            NaN            NaN            NaN            NaN
  1303.55        500.000        99.3159       0.145314E-001  0.315017                 NaN  0.759179E-001  0.217263       0.613468E-001            NaN            NaN            NaN            NaN
  1302.41        500.000        99.3236       0.311366       0.148620E-001            NaN  0.748277E-001  0.214848       0.604478E-001            NaN            NaN            NaN            NaN
  1301.28        500.000        99.3315       0.307487       0.153681E-001            NaN  0.737179E-001  0.212379       0.595038E-001            NaN            NaN            NaN            NaN
  1300.15        500.000        99.3348       0.413474E-001  0.292423                 NaN  0.632321E-001  0.209670       0.585335E-001            NaN            NaN            NaN            NaN
  1299.01        500.000        99.3500       0.305168       0.284238E-002            NaN  0.766320E-001  0.207533       0.577898E-001            NaN            NaN            NaN            NaN
  1297.88        500.000        99.3575       0.302514       0.169961E-002            NaN  0.759620E-001  0.205208       0.570672E-001            NaN            NaN            NaN            NaN
  1296.75        500.000        99.3622       0.293084       0.164123E-001            NaN  0.695246E-001  0.202762       0.560450E-001            NaN            NaN            NaN            NaN
  1295.62        500.000        99.3729       0.296729                 NaN            NaN  0.745368E-001  0.200529       0.553362E-001            NaN            NaN            NaN            NaN
  1294.48        500.000        99.3805       0.292043                 NaN            NaN  0.746114E-001  0.198365       0.544812E-001            NaN            NaN            NaN            NaN
  1293.35        500.000        99.3775       0.268577       0.511935E-001            NaN  0.536603E-001  0.195665       0.534076E-001            NaN            NaN            NaN            NaN
  1292.22        500.000        99.3910       0.185232E-001  0.278902                 NaN  0.651280E-001  0.193664       0.527566E-001            NaN            NaN            NaN            NaN
  1291.09        500.000        99.3982       0.189602E-001  0.275032                 NaN  0.645236E-001  0.191523       0.517972E-001            NaN            NaN            NaN            NaN
  1289.95        500.000        99.4039       0.271560       0.221856E-001            NaN  0.618404E-001  0.189325       0.511893E-001            NaN            NaN            NaN            NaN
  1288.82        500.000        99.4117       0.268288       0.205518E-001            NaN  0.620147E-001  0.187161       0.502795E-001            NaN            NaN            NaN            NaN
  1287.69        500.000        99.4177       0.227280E-001  0.264663                 NaN  0.602900E-001  0.185090       0.495511E-001            NaN            NaN            NaN            NaN
  1286.56        500.000        99.4237       0.241240E-001  0.261347                 NaN  0.589460E-001  0.183131       0.487878E-001            NaN            NaN            NaN            NaN
  1285.42        500.000        99.4303       0.257731       0.253336E-001            NaN  0.576206E-001  0.180991       0.479926E-001            NaN            NaN            NaN            NaN
  1284.29        500.000        99.4367       0.254339       0.259420E-001            NaN  0.567413E-001  0.178999       0.472714E-001            NaN            NaN            NaN            NaN
  1283.16        500.000        99.4426       0.250664       0.283178E-001            NaN  0.549600E-001  0.176989       0.465091E-001            NaN            NaN            NaN            NaN
  1282.03        500.000        99.4493       0.247720       0.275299E-001            NaN  0.547377E-001  0.175020       0.457386E-001            NaN            NaN            NaN            NaN
  1280.89        500.000        99.4545       0.319252E-001  0.243343                 NaN  0.520012E-001  0.173090       0.450993E-001            NaN            NaN            NaN            NaN
  1279.76        500.000        99.4599       0.328532E-001  0.240470                 NaN  0.511186E-001  0.171342       0.443540E-001            NaN            NaN            NaN            NaN
  1278.63        500.000        99.4727       0.253263                 NaN            NaN  0.611231E-001  0.169135       0.437933E-001            NaN            NaN            NaN            NaN
  1277.49        500.000        99.4660       0.219865       0.660549E-001            NaN  0.378455E-001  0.167641       0.426356E-001            NaN            NaN            NaN            NaN
  1276.36        500.000        99.4771       0.230210       0.376150E-001            NaN  0.471031E-001  0.165712       0.422617E-001            NaN            NaN            NaN            NaN
  1275.23        500.000        99.4829       0.388662E-001  0.226693                 NaN  0.461608E-001  0.163895       0.415092E-001            NaN            NaN            NaN            NaN
  1274.10        500.000        99.4959       0.238474                 NaN            NaN  0.620402E-001  0.162345       0.412632E-001            NaN            NaN            NaN            NaN
  1272.96        500.000        99.4817       0.193745       0.101460                 NaN  0.226382E-001  0.160853       0.396211E-001            NaN            NaN            NaN            NaN
  1271.83        500.000        99.5069       0.236463                 NaN            NaN  0.591142E-001  0.158491       0.376231E-001  0.136172E-002            NaN            NaN            NaN
  1270.70        500.000        99.5148       0.221004                 NaN            NaN  0.829012E-001  0.158021       0.215210E-002  0.210962E-001            NaN            NaN            NaN
  1269.57        500.000        92.4540       0.973513       0.846970                 NaN            NaN  0.973252       0.233276       0.366665E-001   4.48229                 NaN            NaN
  1268.43        500.000        92.6361        1.29707                 NaN            NaN  0.435881       0.965814                 NaN  0.174315        4.49085                 NaN            NaN
  1267.30        500.000        92.8322       0.972101       0.802087                 NaN            NaN  0.927045       0.145088       0.692340E-001   4.25227                 NaN            NaN
  1266.17        500.000        93.4887       0.780843       0.809012                 NaN            NaN  0.844603       0.168973       0.458737E-001   3.86199                 NaN            NaN
  1265.04        500.000        93.9464       0.739555       0.748085                 NaN            NaN  0.788873       0.150286       0.457117E-001   3.58105                 NaN            NaN
  1263.90        500.000        94.4114       0.837008       0.324042                 NaN  0.223512       0.742494                 NaN  0.122224        3.33935                 NaN            NaN
  1262.77        500.000        94.6195       0.635867       0.698259                 NaN  0.438274E-002  0.708577       0.114409       0.497982E-001   3.16919                 NaN            NaN
  1261.64        500.000        95.1493       0.896560E-001  0.830136                 NaN  0.269912       0.654899                 NaN  0.108507        2.89755                 NaN            NaN
  1260.51        500.000        95.3237       0.213944       0.739181                 NaN  0.210983       0.630491                 NaN  0.101934        2.77973                 NaN            NaN
  1259.37        500.000        95.5721       0.708040       0.193704                 NaN  0.203031       0.599236                 NaN  0.962436E-001   2.62766                 NaN            NaN
  1258.24        500.000        95.7882       0.674691       0.189021                 NaN  0.191377       0.571483                 NaN  0.909501E-001   2.49425                 NaN            NaN
  1257.11        500.000        95.9984       0.651027       0.164010                 NaN  0.187542       0.544819                 NaN  0.863729E-001   2.36788                 NaN            NaN
  1255.97        500.000        96.1824       0.152960       0.625541                 NaN  0.180112       0.521018                 NaN  0.820524E-001   2.25588                 NaN            NaN
  1254.84        500.000        96.3552       0.141676       0.601532                 NaN  0.173465       0.498859                 NaN  0.780825E-001   2.15121                 NaN            NaN
  1253.71        500.000        96.5125       0.582414       0.126160                 NaN  0.169299       0.478404                 NaN  0.744783E-001   2.05671                 NaN            NaN
  1252.58        500.000        96.6586       0.562086       0.116654                 NaN  0.163525       0.459123                 NaN  0.710790E-001   1.96893                 NaN            NaN
  1251.44        500.000        96.7917       0.544270       0.105597                 NaN  0.159352       0.441705                 NaN  0.680129E-001   1.88932                 NaN            NaN
  1250.31        500.000        96.9193       0.522891       0.101565                 NaN  0.153341       0.424461                 NaN  0.649338E-001   1.81348                 NaN            NaN
  1249.18        500.000        97.0349       0.514292       0.826266E-001            NaN  0.151953       0.409370                 NaN  0.624538E-001   1.74436                 NaN            NaN
  1248.05        500.000        97.1443       0.496064       0.794173E-001            NaN  0.146419       0.394573                 NaN  0.597443E-001   1.67953                 NaN            NaN
  1246.91        500.000        97.2357       0.459824       0.116275                 NaN  0.128695       0.381449                 NaN  0.566894E-001   1.62135                 NaN            NaN
  1245.78        500.000        96.6460       0.106074       0.767527                 NaN            NaN  0.465901                 NaN  0.578090E-001   1.95667                 NaN            NaN
  1244.65        500.000        98.0386       0.449303                 NaN            NaN  0.845987E-001  0.260085                 NaN  0.405888E-001   1.12682                 NaN            NaN
  1243.52        500.000        97.5015       0.472763                 NaN            NaN  0.150214       0.345507                 NaN  0.528725E-001   1.47713                 NaN            NaN
  1242.38        500.000        97.5428       0.450207                 NaN            NaN  0.168385       0.342738                 NaN  0.509493E-001   1.44492                 NaN            NaN
  1241.25        500.000        97.7264       0.425754                 NaN            NaN  0.145688       0.316757                 NaN  0.465598E-001   1.33881                 NaN            NaN
  1240.12        500.000        97.6162       0.405640       0.233252                 NaN            NaN  0.322463                 NaN  0.418920E-001   1.38055                 NaN            NaN
  1238.99        500.000        97.7365       0.145283       0.335381                 NaN  0.109195       0.313727                 NaN  0.436196E-001   1.31627                 NaN            NaN
  1237.85        500.000        97.7888       0.993004E-001  0.337650                 NaN  0.109247       0.306213                 NaN  0.436690E-001   1.31515                 NaN            NaN
  1236.72        500.000        97.6718       0.219662       0.381153                 NaN  0.245565E-001  0.318930                 NaN  0.395359E-001   1.34431                 NaN            NaN
  1235.59        500.000        97.2440       0.572402                 NaN            NaN  0.123628       0.365955                 NaN  0.534413E-001   1.64057                 NaN            NaN
  1234.45        500.000        98.9597       0.244211                 NaN            NaN  0.657435E-001  0.135829                 NaN  0.245879E-001  0.569976                 NaN            NaN
  1233.32        500.000        98.3950       0.411692                 NaN            NaN  0.683228E-002  0.226953                 NaN  0.229078E-001  0.936659                 NaN            NaN
  1232.19        500.000        98.0406       0.331826                 NaN            NaN  0.159544       0.275537                 NaN  0.379368E-001   1.15458                 NaN            NaN
  1231.06        500.000        96.5972       0.580932                 NaN            NaN  0.171791       0.471069                 NaN  0.545247E-001   2.12450                 NaN            NaN
  1229.92        500.000        99.4098       0.859891E-001  0.930114E-001            NaN  0.712968E-002  0.749224E-001            NaN  0.162322E-001  0.312866                 NaN            NaN
  1228.79        500.000        97.2138       0.455610                 NaN            NaN  0.251462       0.392722                 NaN  0.512065E-001   1.63524                 NaN            NaN
  1227.66        500.000        99.8417       0.409942E-001            NaN            NaN  0.625411E-002  0.201088E-001            NaN  0.301413E-002  0.879110E-001            NaN            NaN
  1226.53        500.000        99.7898       0.367588E-001            NaN            NaN  0.173734E-001  0.289087E-001            NaN  0.394802E-002  0.123202                 NaN            NaN
  1225.39        500.000        97.1095       0.399979       0.470933                 NaN            NaN  0.373702                 NaN  0.496665E-001   1.59624                 NaN            NaN
  1224.26        500.000        98.4303       0.256551                 NaN            NaN  0.139462       0.219376                 NaN  0.275047E-001  0.926777                 NaN            NaN
  1223.13        500.000        98.5604       0.729703E-001  0.243584                 NaN  0.536797E-001  0.189942                 NaN  0.248496E-001  0.854567                 NaN            NaN
  1222.00        500.000        98.5213       0.258306                 NaN            NaN  0.108770       0.200172                 NaN  0.265469E-001  0.884937                 NaN            NaN
  1220.86        500.000        96.9705       0.543769                 NaN            NaN  0.209525       0.409083                 NaN  0.521762E-001   1.81490                 NaN            NaN
  1219.73        500.000        99.7356       0.127462E-001  0.327846E-001            NaN  0.129505E-001  0.365803E-001            NaN  0.433039E-002  0.165006                 NaN            NaN
  1218.60        500.000        99.3616       0.128030                 NaN            NaN            NaN  0.759738E-001            NaN  0.111015E-001  0.423293                 NaN            NaN
  1217.47        500.000        99.4106                 NaN            NaN            NaN  0.112936       0.941310E-001            NaN  0.101364E-001  0.372154                 NaN            NaN
  1216.33        500.000        95.6260       0.286562       0.579248                 NaN  0.120580       0.593999                 NaN  0.610726E-001   2.73252                 NaN            NaN
  1215.20        500.000       100.0000       0.205722E-005            NaN            NaN  0.836316E-006  0.158977E-005            NaN            NaN  0.686886E-005            NaN            NaN
  1214.07        500.000        99.6579       0.680664E-001  0.448993E-001            NaN            NaN  0.426708E-001            NaN  0.514390E-002  0.181306                 NaN            NaN
  1212.93        500.000        99.7355       0.225188E-001            NaN            NaN  0.159357E-001  0.358966E-001            NaN  0.494089E-002  0.185173                 NaN            NaN
