|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        San(TH)        q             
  1389.63        500.000        98.6417       0.313353       0.487606                 NaN  0.179020       0.378294                 NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.3727       0.365315       0.587706                 NaN  0.220170       0.454133                 NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        98.9554       0.235336       0.377397                 NaN  0.141432       0.290482                 NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.6835       0.477284       0.288998                 NaN  0.183032       0.367149                 NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.6972       0.281523       0.473577                 NaN  0.184293       0.363415                 NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.7115       0.273041       0.469816                 NaN  0.185788       0.359853                 NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.7239       0.266328       0.466688                 NaN  0.186816       0.356261                 NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.7370       0.258512       0.463357                 NaN  0.188245       0.352912                 NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.7485       0.251337       0.460596                 NaN  0.189722       0.349890                 NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.7621       0.457196       0.243577                 NaN  0.190761       0.346351                 NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.7725       0.454107       0.237784                 NaN  0.192091       0.343490                 NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.7641       0.459218       0.233418                 NaN  0.196866       0.346349                 NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.8191       0.440500       0.221239                 NaN  0.189678       0.329502                 NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.8074       0.217198       0.446108                 NaN  0.195437       0.333837                 NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.8165       0.444525       0.209292                 NaN  0.197924       0.331754                 NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.8279       0.441153       0.204514                 NaN  0.198068       0.328348                 NaN            NaN            NaN            NaN            NaN
  1371.50        500.000        98.8448       0.198399       0.436546                 NaN  0.196923       0.323353                 NaN            NaN            NaN            NaN            NaN
  1370.37        500.000        98.8511       0.192515       0.434980                 NaN  0.199461       0.321907                 NaN            NaN            NaN            NaN            NaN
  1369.24        500.000        98.8619       0.185481       0.432711                 NaN  0.200787       0.319156                 NaN            NaN            NaN            NaN            NaN
  1368.11        500.000        98.8642       0.433719       0.178676                 NaN  0.204490       0.318938                 NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        98.8903       0.424403       0.174778                 NaN  0.199840       0.310651                 NaN            NaN            NaN            NaN            NaN
  1365.84        500.000        98.8923       0.425347       0.168392                 NaN  0.203304       0.310650                 NaN            NaN            NaN            NaN            NaN
  1364.71        500.000        98.9016       0.423616       0.161713                 NaN  0.204801       0.308274                 NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        98.9118       0.420511       0.157361                 NaN  0.205056       0.305266                 NaN            NaN            NaN            NaN            NaN
  1362.44        500.000        98.9208       0.151878       0.418538                 NaN  0.205943       0.302851                 NaN            NaN            NaN            NaN            NaN
  1361.31        500.000        98.9300       0.416691       0.145969                 NaN  0.206948       0.300347                 NaN            NaN            NaN            NaN            NaN
  1360.18        500.000        98.9385       0.141609       0.414736                 NaN  0.207345       0.297826                 NaN            NaN            NaN            NaN            NaN
  1359.04        500.000        98.9473       0.412558       0.136576                 NaN  0.208215       0.295383                 NaN            NaN            NaN            NaN            NaN
  1357.91        500.000        98.9570       0.410060       0.131442                 NaN  0.208820       0.292685                 NaN            NaN            NaN            NaN            NaN
  1356.78        500.000        98.9655       0.126499       0.408288                 NaN  0.209386       0.290352                 NaN            NaN            NaN            NaN            NaN
  1355.65        500.000        98.9714       0.407296       0.121705                 NaN  0.210937       0.288646                 NaN            NaN            NaN            NaN            NaN
  1354.51        500.000        98.9833       0.118674       0.403612                 NaN  0.209465       0.284989                 NaN            NaN            NaN            NaN            NaN
  1353.38        500.000        98.9900       0.402515       0.113503                 NaN  0.210736       0.283296                 NaN            NaN            NaN            NaN            NaN
  1352.25        500.000        98.9974       0.400723       0.109503                 NaN  0.211220       0.281114                 NaN            NaN            NaN            NaN            NaN
  1351.12        500.000        99.0059       0.105346       0.398745                 NaN  0.211358       0.278637                 NaN            NaN            NaN            NaN            NaN
  1349.98        500.000        99.0090       0.100369       0.397820                 NaN  0.214034       0.278786                 NaN            NaN            NaN            NaN            NaN
  1348.85        500.000        99.0255       0.394588       0.980121E-001            NaN  0.209686       0.272231                 NaN            NaN            NaN            NaN            NaN
  1347.72        500.000        99.0280       0.923418E-001  0.393461                 NaN  0.213498       0.272740                 NaN            NaN            NaN            NaN            NaN
  1346.59        500.000        99.0370       0.392229       0.905685E-001            NaN  0.211051       0.269135                 NaN            NaN            NaN            NaN            NaN
  1345.45        500.000        99.0437       0.864083E-001  0.389879                 NaN  0.212358       0.267606                 NaN            NaN            NaN            NaN            NaN
  1344.32        500.000        99.0499       0.831629E-001  0.388587                 NaN  0.212542       0.265787                 NaN            NaN            NaN            NaN            NaN
  1343.19        500.000        99.0566       0.804853E-001  0.387009                 NaN  0.212240       0.263711                 NaN            NaN            NaN            NaN            NaN
  1342.05        500.000        99.0657       0.384199       0.772156E-001            NaN  0.211857       0.261036                 NaN            NaN            NaN            NaN            NaN
  1340.92        500.000        99.0694       0.384011       0.750031E-001            NaN  0.211940       0.259655                 NaN            NaN            NaN            NaN            NaN
  1339.79        500.000        99.0781       0.702959E-001  0.382094                 NaN  0.212210       0.257334                 NaN            NaN            NaN            NaN            NaN
  1338.66        500.000        99.0855       0.379494       0.692707E-001            NaN  0.210817       0.254895                 NaN            NaN            NaN            NaN            NaN
  1337.52        500.000        99.0916       0.378624       0.647493E-001            NaN  0.211673       0.253377                 NaN            NaN            NaN            NaN            NaN
  1336.39        500.000        99.0761       0.364682       0.118146                 NaN  0.187759       0.253313                 NaN            NaN            NaN            NaN            NaN
  1335.26        500.000        99.1215       0.387626       0.120268E-001            NaN  0.231235       0.247599                 NaN            NaN            NaN            NaN            NaN
  1334.13        500.000        99.1112       0.587207E-001  0.373006                 NaN  0.209845       0.247183                 NaN            NaN            NaN            NaN            NaN
  1332.99        500.000        96.2487        1.59327       0.348036                 NaN  0.618467       0.992944       0.198548                 NaN            NaN            NaN            NaN
  1331.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.73        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.60        500.000        99.9299       0.321041E-001            NaN            NaN  0.216922E-001  0.163186E-001            NaN            NaN            NaN            NaN            NaN
  1328.46        500.000        98.9780       0.473725                 NaN            NaN  0.170074       0.267733       0.110476                 NaN            NaN            NaN            NaN
  1327.33        500.000        98.9638       0.473098       0.261006E-001            NaN  0.148760       0.267509       0.120725                 NaN            NaN            NaN            NaN
  1326.20        500.000        98.9626       0.554805E-001  0.462456                 NaN  0.131628       0.265275       0.122543                 NaN            NaN            NaN            NaN
  1325.07        500.000        98.9682       0.463349       0.509157E-001            NaN  0.129929       0.263465       0.124093                 NaN            NaN            NaN            NaN
  1323.93        500.000        98.9779       0.460369       0.483162E-001            NaN  0.129261       0.260945       0.123208                 NaN            NaN            NaN            NaN
  1322.80        500.000        98.9846       0.457228E-001  0.459431                 NaN  0.127598       0.259026       0.123649                 NaN            NaN            NaN            NaN
  1321.67        500.000        98.9952       0.456519       0.407843E-001            NaN  0.127889       0.256619       0.122985                 NaN            NaN            NaN            NaN
  1320.53        500.000        99.0038       0.454761       0.393236E-001            NaN  0.125601       0.253924       0.122617                 NaN            NaN            NaN            NaN
  1319.40        500.000        99.0123       0.451492       0.373075E-001            NaN  0.125422       0.251980       0.121451                 NaN            NaN            NaN            NaN
  1318.27        500.000        99.0214       0.449799       0.345364E-001            NaN  0.123653       0.249398       0.121263                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.0306       0.446429       0.328354E-001            NaN  0.122932       0.247128       0.120043                 NaN            NaN            NaN            NaN
  1316.00        500.000        99.0412       0.299127E-001  0.442622                 NaN  0.122835       0.244662       0.118774                 NaN            NaN            NaN            NaN
  1314.87        500.000        99.0506       0.440201       0.273207E-001            NaN  0.121860       0.242162       0.117828                 NaN            NaN            NaN            NaN
  1313.74        500.000        99.0294       0.395089       0.185175                 NaN  0.314357E-001  0.238067       0.120850                 NaN            NaN            NaN            NaN
  1312.61        500.000        99.0753       0.425577                 NaN            NaN  0.150341       0.237838       0.110953                 NaN            NaN            NaN            NaN
  1311.47        500.000        99.0840       0.436549                 NaN            NaN  0.130585       0.235234       0.113628                 NaN            NaN            NaN            NaN
  1310.34        500.000        99.0934       0.430205       0.343117E-002            NaN  0.127936       0.232762       0.112216                 NaN            NaN            NaN            NaN
  1309.21        500.000        99.1028       0.428199                 NaN            NaN  0.127638       0.230388       0.110926                 NaN            NaN            NaN            NaN
  1308.08        500.000        99.1108       0.423235                 NaN            NaN  0.127413       0.228488       0.110083                 NaN            NaN            NaN            NaN
  1306.94        500.000        99.1219       0.298899E-002  0.419149                 NaN  0.122677       0.225193       0.108052                 NaN            NaN            NaN            NaN
  1305.81        500.000        99.1215       0.403200                 NaN            NaN  0.144536       0.228338       0.102379                 NaN            NaN            NaN            NaN
  1304.68        500.000        99.1442       0.412905       0.292682E-001            NaN  0.879880E-001  0.215656       0.109964                 NaN            NaN            NaN            NaN
  1303.55        500.000        99.1458       0.189415E-001  0.400969                 NaN  0.111813       0.218415       0.104050                 NaN            NaN            NaN            NaN
  1302.41        500.000        99.1544       0.396881       0.193995E-001            NaN  0.110408       0.216229       0.102660                 NaN            NaN            NaN            NaN
  1301.28        500.000        99.1633       0.392504       0.200876E-001            NaN  0.108958       0.213983       0.101192                 NaN            NaN            NaN            NaN
  1300.15        500.000        99.1674       0.541135E-001  0.373733                 NaN  0.936141E-001  0.211486       0.996699E-001            NaN            NaN            NaN            NaN
  1299.01        500.000        99.1839       0.390590       0.372525E-002            NaN  0.113659       0.209563       0.985305E-001            NaN            NaN            NaN            NaN
  1297.88        500.000        99.1923       0.387730       0.223053E-002            NaN  0.112848       0.207445       0.974229E-001            NaN            NaN            NaN            NaN
  1296.75        500.000        99.1978       0.376185       0.215695E-001            NaN  0.103473       0.205198       0.958043E-001            NaN            NaN            NaN            NaN
  1295.62        500.000        99.2096       0.381378                 NaN            NaN  0.111106       0.203162       0.947111E-001            NaN            NaN            NaN            NaN
  1294.48        500.000        99.2182       0.375826                 NaN            NaN  0.111419       0.201190       0.933740E-001            NaN            NaN            NaN            NaN
  1293.35        500.000        99.2158       0.346093       0.675382E-001            NaN  0.802706E-001  0.198664       0.916415E-001            NaN            NaN            NaN            NaN
  1292.22        500.000        99.2306       0.244712E-001  0.359911                 NaN  0.975735E-001  0.196845       0.906425E-001            NaN            NaN            NaN            NaN
  1291.09        500.000        99.2387       0.250828E-001  0.355414                 NaN  0.968352E-001  0.194879       0.891044E-001            NaN            NaN            NaN            NaN
  1289.95        500.000        99.2452       0.351395       0.293874E-001            NaN  0.929614E-001  0.192847       0.881713E-001            NaN            NaN            NaN            NaN
  1288.82        500.000        99.2542       0.347602       0.272566E-001            NaN  0.933725E-001  0.190847       0.867164E-001            NaN            NaN            NaN            NaN
  1287.69        500.000        99.2610       0.301826E-001  0.343375                 NaN  0.909243E-001  0.188935       0.855633E-001            NaN            NaN            NaN            NaN
  1286.56        500.000        99.2679       0.320788E-001  0.339538                 NaN  0.890515E-001  0.187132       0.843493E-001            NaN            NaN            NaN            NaN
  1285.42        500.000        99.2756       0.335271       0.337277E-001            NaN  0.871766E-001  0.185140       0.830776E-001            NaN            NaN            NaN            NaN
  1284.29        500.000        99.2829       0.331268       0.345798E-001            NaN  0.859886E-001  0.183294       0.819279E-001            NaN            NaN            NaN            NaN
  1283.16        500.000        99.2897       0.326920       0.377951E-001            NaN  0.834193E-001  0.181424       0.807057E-001            NaN            NaN            NaN            NaN
  1282.03        500.000        99.2975       0.323480       0.367902E-001            NaN  0.832091E-001  0.179591       0.794635E-001            NaN            NaN            NaN            NaN
  1280.89        500.000        99.3037       0.427148E-001  0.318193                 NaN  0.791667E-001  0.177793       0.784485E-001            NaN            NaN            NaN            NaN
  1279.76        500.000        99.3098       0.440109E-001  0.314845                 NaN  0.779629E-001  0.176177       0.772450E-001            NaN            NaN            NaN            NaN
  1278.63        500.000        99.3241       0.332120                 NaN            NaN  0.933396E-001  0.174087       0.763564E-001            NaN            NaN            NaN            NaN
  1277.49        500.000        99.3177       0.288564       0.886965E-001            NaN  0.578902E-001  0.172720       0.744298E-001            NaN            NaN            NaN            NaN
  1276.36        500.000        99.3300       0.302542       0.505680E-001            NaN  0.721649E-001  0.170905       0.738616E-001            NaN            NaN            NaN            NaN
  1275.23        500.000        99.3367       0.523129E-001  0.298289                 NaN  0.708264E-001  0.169199       0.726317E-001            NaN            NaN            NaN            NaN
  1274.10        500.000        99.3504       0.314121                 NaN            NaN  0.953497E-001  0.167769       0.723199E-001            NaN            NaN            NaN            NaN
  1272.96        500.000        99.3368       0.255576       0.136882                 NaN  0.348383E-001  0.166386       0.694897E-001            NaN            NaN            NaN            NaN
  1271.83        500.000        99.3640       0.312308                 NaN            NaN  0.911069E-001  0.164107       0.660595E-001  0.241668E-002            NaN            NaN            NaN
  1270.70        500.000        99.3747       0.292248                 NaN            NaN  0.127971       0.163780       0.378323E-002  0.374768E-001            NaN            NaN            NaN
  1269.57        500.000        91.8019        1.28308        1.14149                 NaN            NaN   1.00397       0.408368       0.648317E-001   4.29640                 NaN            NaN
  1268.43        500.000        91.9961        1.71437                 NaN            NaN  0.673574       0.997517                 NaN  0.308594        4.30985                 NaN            NaN
  1267.30        500.000        92.1998        1.31675        1.06248                 NaN            NaN  0.958453       0.254825       0.122694        4.08504                 NaN            NaN
  1266.17        500.000        92.8956        1.06066        1.07468                 NaN            NaN  0.874535       0.297364       0.814196E-001   3.71570                 NaN            NaN
  1265.04        500.000        93.3820        1.00720       0.996360                 NaN            NaN  0.817971       0.264968       0.812466E-001   3.45021                 NaN            NaN
  1263.90        500.000        93.8789        1.11778       0.442488                 NaN  0.350254       0.771003                 NaN  0.217557        3.22202                 NaN            NaN
  1262.77        500.000        94.0974       0.850679       0.955542                 NaN  0.688798E-002  0.736678       0.202421       0.887493E-001   3.06161                 NaN            NaN
  1261.64        500.000        94.6578       0.123037        1.11419                 NaN  0.425630       0.681981                 NaN  0.193696        2.80371                 NaN            NaN
  1260.51        500.000        94.8445       0.294293       0.994474                 NaN  0.333683       0.657462                 NaN  0.182216        2.69339                 NaN            NaN
  1259.37        500.000        95.1083       0.954862       0.267091                 NaN  0.322042       0.625766                 NaN  0.172292        2.54969                 NaN            NaN
  1258.24        500.000        95.3378       0.912071       0.261252                 NaN  0.304522       0.597638                 NaN  0.163051        2.42369                 NaN            NaN
  1257.11        500.000        95.5616       0.882162       0.227215                 NaN  0.299154       0.570582                 NaN  0.155073        2.30424                 NaN            NaN
  1255.97        500.000        95.7575       0.212394       0.849589                 NaN  0.288098       0.546448                 NaN  0.147532        2.19844                 NaN            NaN
  1254.84        500.000        95.9417       0.197169       0.818833                 NaN  0.278212       0.523971                 NaN  0.140601        2.09951                 NaN            NaN
  1253.71        500.000        96.1094       0.794598       0.175972                 NaN  0.272247       0.503222                 NaN  0.134310        2.01022                 NaN            NaN
  1252.58        500.000        96.2655       0.768571       0.163075                 NaN  0.263638       0.483650                 NaN  0.128370        1.92724                 NaN            NaN
  1251.44        500.000        96.4076       0.745846       0.147942                 NaN  0.257563       0.465985                 NaN  0.123015        1.85204                 NaN            NaN
  1250.31        500.000        96.5445       0.718090       0.142602                 NaN  0.248463       0.448453                 NaN  0.117620        1.78031                 NaN            NaN
  1249.18        500.000        96.6677       0.707799       0.116261                 NaN  0.246820       0.433146                 NaN  0.113296        1.71498                 NaN            NaN
  1248.05        500.000        96.7851       0.684161       0.111985                 NaN  0.238406       0.418107                 NaN  0.108543        1.65369                 NaN            NaN
  1246.91        500.000        96.8834       0.635469       0.164305                 NaN  0.210202       0.404786                 NaN  0.103144        1.59872                 NaN            NaN
  1245.78        500.000        96.2360       0.146782        1.08622                 NaN            NaN  0.494801                 NaN  0.105267        1.93090                 NaN            NaN
  1244.65        500.000        97.7714       0.623858                 NaN            NaN  0.138811       0.276938                 NaN  0.741034E-001   1.11489                 NaN            NaN
  1243.52        500.000        97.1689       0.656935                 NaN            NaN  0.246926       0.368162                 NaN  0.966016E-001   1.46251                 NaN            NaN
  1242.38        500.000        97.2043       0.626414                 NaN            NaN  0.277639       0.365745                 NaN  0.932251E-001   1.43273                 NaN            NaN
  1241.25        500.000        97.4116       0.594398                 NaN            NaN  0.240340       0.338584                 NaN  0.853366E-001   1.32977                 NaN            NaN
  1240.12        500.000        97.2990       0.579980       0.326111                 NaN            NaN  0.345092                 NaN  0.768735E-001   1.37290                 NaN            NaN
  1238.99        500.000        97.4150       0.207294       0.469370                 NaN  0.181112       0.336216                 NaN  0.801579E-001   1.31084                 NaN            NaN
  1237.85        500.000        97.4818       0.142978       0.473136                 NaN  0.181478       0.328665                 NaN  0.803724E-001   1.31159                 NaN            NaN
  1236.72        500.000        97.3444       0.308805       0.548084                 NaN  0.409384E-001  0.342717                 NaN  0.728523E-001   1.34222                 NaN            NaN
  1235.59        500.000        96.8572       0.803279                 NaN            NaN  0.207137       0.393681                 NaN  0.985851E-001   1.64013                 NaN            NaN
  1234.45        500.000        98.7820       0.343891                 NaN            NaN  0.110496       0.146574                 NaN  0.454997E-001  0.571514                 NaN            NaN
  1233.32        500.000        98.1639       0.597490                 NaN            NaN  0.114887E-001  0.245021                 NaN  0.424113E-001  0.939683                 NaN            NaN
  1232.19        500.000        97.7360       0.468225                 NaN            NaN  0.268506       0.297718                 NaN  0.702946E-001   1.15930                 NaN            NaN
  1231.06        500.000        96.1414       0.824707                 NaN            NaN  0.289263       0.509237                 NaN  0.101082        2.13432                 NaN            NaN
  1229.92        500.000        99.3029       0.122147       0.135732                 NaN  0.120756E-001  0.813340E-001            NaN  0.302195E-001  0.315610                 NaN            NaN
  1228.79        500.000        96.7598       0.645984                 NaN            NaN  0.425276       0.425873                 NaN  0.952305E-001   1.64785                 NaN            NaN
  1227.66        500.000        99.8144       0.584433E-001            NaN            NaN  0.106292E-001  0.219053E-001            NaN  0.563103E-002  0.889914E-001            NaN            NaN
  1226.53        500.000        99.7545       0.524062E-001            NaN            NaN  0.295039E-001  0.314944E-001            NaN  0.737655E-002  0.124728                 NaN            NaN
  1225.39        500.000        96.6301       0.570712       0.687938                 NaN            NaN  0.406239                 NaN  0.925967E-001   1.61240                 NaN            NaN
  1224.26        500.000        98.1657       0.366703                 NaN            NaN  0.237051       0.239371                 NaN  0.514721E-001  0.939702                 NaN            NaN
  1223.13        500.000        98.3297       0.107267       0.349638                 NaN  0.914250E-001  0.207569                 NaN  0.465747E-001  0.867784                 NaN            NaN
  1222.00        500.000        98.2753       0.370356                 NaN            NaN  0.185760       0.219009                 NaN  0.498160E-001  0.899777                 NaN            NaN
  1220.86        500.000        96.4693       0.781805                 NaN            NaN  0.357893       0.447649                 NaN  0.979265E-001   1.84539                 NaN            NaN
  1219.73        500.000        99.6937       0.183588E-001  0.487337E-001            NaN  0.222162E-001  0.402285E-001            NaN  0.816811E-002  0.168634                 NaN            NaN
  1218.60        500.000        99.2795       0.183517                 NaN            NaN            NaN  0.835418E-001            NaN  0.209381E-001  0.432541                 NaN            NaN
  1217.47        500.000        99.3025                 NaN            NaN            NaN  0.194307       0.103556                 NaN  0.191270E-001  0.380467                 NaN            NaN
  1216.33        500.000        94.9698       0.413294       0.856434                 NaN  0.206606       0.651972                 NaN  0.114979        2.78695                 NaN            NaN
  1215.20        500.000       100.0000       0.296561E-005            NaN            NaN  0.144539E-005  0.175697E-005            NaN            NaN  0.705356E-005            NaN            NaN
  1214.07        500.000        99.5905       0.101342       0.651026E-001            NaN            NaN  0.471439E-001            NaN  0.974827E-002  0.186138                 NaN            NaN
  1212.93        500.000        99.7005       0.326546E-001            NaN            NaN  0.276097E-001  0.396788E-001            NaN  0.936823E-002  0.190203                 NaN            NaN
  1211.80        500.000        96.3731       0.758705       0.677127                 NaN            NaN  0.420798                 NaN  0.734412E-001   1.69685                 NaN            NaN
  1210.67        500.000        95.1176       0.269402                 NaN            NaN  0.438611       0.452758                 NaN  0.681433E-001   1.92606                 NaN   1.72742     
  1209.54        500.000        96.2465       0.939206                 NaN            NaN            NaN  0.302397                 NaN  0.400080E-001   1.30430                 NaN   1.16759     
