|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1904.76        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.8831                 NaN            NaN  0.116889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4149                 NaN            NaN  0.585124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4091                 NaN            NaN  0.590939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4253                 NaN            NaN  0.574706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4209                 NaN            NaN  0.579122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4255                 NaN            NaN  0.574496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4204                 NaN            NaN  0.571864                 NaN  0.770945E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4160                 NaN            NaN  0.568485                 NaN  0.155492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4180                 NaN            NaN  0.566538                 NaN  0.155097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4223                 NaN            NaN  0.562261                 NaN  0.154155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4233                 NaN            NaN  0.561293                 NaN  0.154078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4259                 NaN            NaN  0.558712                 NaN  0.153710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4278                 NaN            NaN  0.556864                 NaN  0.153143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4291                 NaN            NaN  0.555592                 NaN  0.152827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4313                 NaN            NaN  0.553469                 NaN  0.152389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4348                 NaN            NaN  0.550093                 NaN  0.151513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4333                 NaN            NaN  0.551446                 NaN  0.152157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4386                 NaN            NaN  0.546368                 NaN  0.150452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4374                 NaN            NaN  0.547525                 NaN  0.151183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4406                 NaN            NaN  0.544409                 NaN  0.149986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4420                 NaN            NaN  0.543030                 NaN  0.149543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4420                 NaN            NaN  0.543047                 NaN  0.149508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4440                 NaN            NaN  0.541109                 NaN  0.148967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4447                 NaN            NaN  0.540425                 NaN  0.148592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4454                 NaN            NaN  0.539786                 NaN  0.148348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4458                 NaN            NaN  0.539413                 NaN  0.148034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4473                 NaN            NaN  0.537951                 NaN  0.147468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4475                 NaN            NaN  0.537790                 NaN  0.147346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4459                 NaN            NaN  0.539364                 NaN  0.147726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4511                 NaN            NaN  0.534284                 NaN  0.145674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4492                 NaN            NaN  0.536233                 NaN  0.146120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4575                 NaN            NaN  0.528059                 NaN  0.144202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4449                 NaN            NaN  0.540380                 NaN  0.147011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4447                 NaN            NaN  0.540771                 NaN  0.145333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4495                 NaN            NaN  0.536032                 NaN  0.144666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4484                 NaN            NaN  0.537123                 NaN  0.144667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4489                 NaN            NaN  0.536697                 NaN  0.143922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4483                 NaN            NaN  0.537341                 NaN  0.143837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4483                 NaN            NaN  0.537315                 NaN  0.143472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4475                 NaN            NaN  0.538217                 NaN  0.143205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4466                 NaN            NaN  0.539131                 NaN  0.142899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4461                 NaN            NaN  0.539643                 NaN  0.142581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4944                 NaN            NaN  0.492483                 NaN  0.131105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3954                 NaN            NaN  0.589271                 NaN  0.153528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.7089                 NaN            NaN   1.25857                 NaN  0.325353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.9989                 NaN            NaN            NaN            NaN  0.110430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6120                 NaN            NaN  0.379299                 NaN  0.873681E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4358                 NaN            NaN  0.550038                 NaN  0.142109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4406                 NaN            NaN  0.545398                 NaN  0.140048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4388                 NaN            NaN  0.547225                 NaN  0.139706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4348                 NaN            NaN  0.551222                 NaN  0.140072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4351                 NaN            NaN  0.550987                 NaN  0.139540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4294                 NaN            NaN  0.556573                 NaN  0.139977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4335                 NaN            NaN  0.552613                 NaN  0.138562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4285                 NaN            NaN  0.557555                 NaN  0.138999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4270                 NaN            NaN  0.559113                 NaN  0.138849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4234                 NaN            NaN  0.562704                 NaN  0.138989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4242                 NaN            NaN  0.562060                 NaN  0.137873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4208                 NaN            NaN  0.565435                 NaN  0.137946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4186                 NaN            NaN  0.567566                 NaN  0.138061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4176                 NaN            NaN  0.568689                 NaN  0.137322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4139                 NaN            NaN  0.572373                 NaN  0.137411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4295                 NaN            NaN  0.557219                 NaN  0.133183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3919                 NaN            NaN  0.593961                 NaN  0.140984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4052                 NaN            NaN  0.581123                 NaN  0.137222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3432                 NaN            NaN  0.641738                 NaN  0.150959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4894                 NaN            NaN  0.498954                 NaN  0.116339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3763                 NaN            NaN  0.609620                 NaN  0.141286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3953                 NaN            NaN  0.591065                 NaN  0.136231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3954                 NaN            NaN  0.591020                 NaN  0.135517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3915                 NaN            NaN  0.594924                 NaN  0.135683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3890                 NaN            NaN  0.597465                 NaN  0.135384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3863                 NaN            NaN  0.600226                 NaN  0.135203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3825                 NaN            NaN  0.603949                 NaN  0.135439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3981                 NaN            NaN  0.588821                 NaN  0.131208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3627                 NaN            NaN  0.623433                 NaN  0.138328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3766                 NaN            NaN  0.609911                 NaN  0.134542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3733                 NaN            NaN  0.613262                 NaN  0.134198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3728                 NaN            NaN  0.613784                 NaN  0.133777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3673                 NaN            NaN  0.619242                 NaN  0.134275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3638                 NaN            NaN  0.622747                 NaN  0.134427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3664                 NaN            NaN  0.620329                 NaN  0.132959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3657                 NaN            NaN  0.621049                 NaN  0.132544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3572                 NaN            NaN  0.629432                 NaN  0.133986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3594                 NaN            NaN  0.627379                 NaN  0.132608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3538                 NaN            NaN  0.632934                 NaN  0.133115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3552                 NaN            NaN  0.631605                 NaN  0.132391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.6037                 NaN            NaN  0.388181                 NaN  0.811071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.0987                 NaN            NaN  0.882977                 NaN  0.183597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.9689                 NaN            NaN  0.311129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        98.7281                 NaN            NaN   1.24563                 NaN  0.263016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3472                 NaN            NaN  0.639642                 NaN  0.131313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3452                 NaN            NaN  0.641632                 NaN  0.131375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3408                 NaN            NaN  0.646049                 NaN  0.131525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3434                 NaN            NaN  0.643510                 NaN  0.130707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3414                 NaN            NaN  0.645506                 NaN  0.130711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3356                 NaN            NaN  0.651276                 NaN  0.131250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2779                 NaN            NaN  0.707837                 NaN  0.142971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4062                 NaN            NaN  0.582166                 NaN  0.116665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3381                 NaN            NaN  0.648878                 NaN  0.129963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3334                 NaN            NaN  0.653650                 NaN  0.129448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3443                 NaN            NaN  0.642808                 NaN  0.129180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3383                 NaN            NaN  0.648813                 NaN  0.129104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3390                 NaN            NaN  0.648157                 NaN  0.128635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3389                 NaN            NaN  0.648248                 NaN  0.128470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1571                 NaN            NaN  0.826402                 NaN  0.164513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.5242                 NaN            NaN  0.466615                 NaN  0.917424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3405                 NaN            NaN  0.646705                 NaN  0.127584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3429                 NaN            NaN  0.644418                 NaN  0.127083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3440                 NaN            NaN  0.643275                 NaN  0.126880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3445                 NaN            NaN  0.642813                 NaN  0.126588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3391                 NaN            NaN  0.648122                 NaN  0.127390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3554                 NaN            NaN  0.632218                 NaN  0.124058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.3505                 NaN            NaN  0.636947                 NaN  0.125314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.3515                 NaN            NaN  0.635966                 NaN  0.124986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.3540                 NaN            NaN  0.633509                 NaN  0.124835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3576                 NaN            NaN  0.629959                 NaN  0.123939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3591                 NaN            NaN  0.628487                 NaN  0.123707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.8857                 NaN            NaN  0.316019                 NaN            NaN  0.798298                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5622                 NaN            NaN  0.929959E-001            NaN            NaN   1.34476                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5847                 NaN            NaN  0.895725E-001            NaN            NaN   1.32571                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6082                 NaN            NaN  0.865443E-001            NaN            NaN   1.30523                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6320                 NaN            NaN  0.846126E-001            NaN            NaN   1.28339                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6520                 NaN            NaN  0.803218E-001            NaN            NaN   1.26771                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6786                 NaN            NaN  0.785961E-001            NaN            NaN   1.24283                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6974                 NaN            NaN  0.746039E-001            NaN            NaN   1.22797                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7173                 NaN            NaN  0.715453E-001            NaN            NaN   1.21117                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7373                 NaN            NaN  0.679443E-001            NaN            NaN   1.19476                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7554                 NaN            NaN  0.647662E-001            NaN            NaN   1.17983                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7717                 NaN            NaN  0.609866E-001            NaN            NaN   1.16732                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7973                 NaN            NaN  0.602393E-001            NaN            NaN   1.14247                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8103                 NaN            NaN  0.557061E-001            NaN            NaN   1.13401                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8274                 NaN            NaN  0.535595E-001            NaN            NaN   1.11907                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8455                 NaN            NaN  0.521922E-001            NaN            NaN   1.10226                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8609                 NaN            NaN  0.490639E-001            NaN            NaN   1.09006                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8806                 NaN            NaN  0.470389E-001            NaN            NaN   1.07237                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8915                 NaN            NaN  0.409716E-001            NaN            NaN   1.06749                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9098                 NaN            NaN  0.426407E-001            NaN            NaN   1.04758                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9188                 NaN            NaN  0.357089E-001            NaN            NaN   1.04546                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9378                 NaN            NaN  0.342051E-001            NaN            NaN   1.02803                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9485                 NaN            NaN  0.221750E-001            NaN            NaN   1.02931                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9603                 NaN            NaN  0.355893E-001            NaN            NaN   1.00409                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9773                 NaN            NaN  0.267213E-001            NaN            NaN  0.995938                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9909                 NaN            NaN  0.261257E-001            NaN            NaN  0.982976                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9988                 NaN            NaN  0.194428E-001            NaN            NaN  0.981743                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0144                 NaN            NaN  0.215691E-001            NaN            NaN  0.964016                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0273                 NaN            NaN  0.148939E-001            NaN            NaN  0.957756                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0351                 NaN            NaN  0.132088E-001            NaN            NaN  0.951673                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0482                 NaN            NaN  0.116995E-001            NaN            NaN  0.940068                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0539                 NaN            NaN  0.235791E-002            NaN            NaN  0.943745                 NaN            NaN            NaN            NaN            NaN            NaN
