|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1588.85        2500.00        99.1661                 NaN  0.730343       0.103529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00        99.1703                 NaN  0.727819       0.101904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00        98.7229                 NaN   1.11991       0.157185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00        99.6441                 NaN  0.311848       0.440217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.1913                 NaN  0.701624       0.107077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00        99.1976                 NaN  0.715020       0.873648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00        99.2072                 NaN  0.697061       0.957523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00        99.2134                 NaN  0.693389       0.931905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00        99.2177                 NaN  0.690033       0.922471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00        99.2247                 NaN  0.684201       0.911353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        98.7283                 NaN   1.12293       0.148789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00        99.7463                 NaN  0.222538       0.311788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00        99.2460                 NaN  0.666934       0.871010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00        99.2519                 NaN  0.661983       0.861580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00        99.2579                 NaN  0.656908       0.852062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00        99.2640                 NaN  0.652525       0.834912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00        99.6210                 NaN  0.337509       0.415373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00        98.9226                 NaN  0.956092       0.121310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00        99.2815                 NaN  0.628102       0.903513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00        99.2436                 NaN  0.685959       0.704260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        99.3334                 NaN  0.593537       0.730195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00        99.2984                 NaN  0.625509       0.761177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00        99.2983                 NaN  0.630826       0.708313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00        99.3100                 NaN  0.615497       0.745530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.3129                 NaN  0.615240       0.718980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00        99.3191                 NaN  0.608937       0.719871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00        99.3233                 NaN  0.594860       0.817941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00        99.3290                 NaN  0.613642       0.573826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.3318                 NaN  0.600852       0.673603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00        99.3381                 NaN  0.595503       0.663877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.3417                 NaN  0.590802       0.675371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00        99.2264                 NaN  0.696181       0.774299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00        99.7561                 NaN  0.219927       0.239826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00        99.8671                 NaN  0.121013       0.119216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00        98.5694                 NaN   1.29460       0.135971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00        99.2110                 NaN  0.715564       0.734034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00        99.5224                 NaN  0.432647       0.449207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00        99.3730                 NaN  0.568826       0.581542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00        99.3751                 NaN  0.570044       0.548719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00        99.3807                 NaN  0.562855       0.564244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00        99.3851                 NaN  0.560676       0.541991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00        99.3890                 NaN  0.557328       0.536577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00        99.3912                 NaN  0.557010       0.517790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00        99.3955                 NaN  0.553810       0.507099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00        99.3989                 NaN  0.550878       0.502584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00        99.4019                 NaN  0.549285       0.488602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00        99.3554                 NaN  0.528281       0.116324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00        99.4570                 NaN  0.536839       0.616378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00        99.4105                 NaN  0.578389       0.111010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.4147                 NaN  0.542162       0.431273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00        99.4192                 NaN  0.533225       0.475836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00        99.2904                 NaN  0.661198       0.483952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00        99.6756                 NaN  0.302184       0.222588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00        99.3058                 NaN  0.646636       0.475469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00        99.4298                 NaN  0.531403       0.387809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00        99.4323                 NaN  0.530883       0.367742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00        99.4345                 NaN  0.528130       0.373578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00        99.4355                 NaN  0.530953       0.335114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00        99.2429                 NaN            NaN            NaN  0.757086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00        99.2210                 NaN            NaN  0.325407E-002  0.775749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00        99.2102                 NaN            NaN            NaN  0.789823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00        99.1993                 NaN            NaN            NaN  0.800684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.1846                 NaN            NaN            NaN  0.815448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00        98.8323                 NaN            NaN  0.297674E-003  0.717376       0.450033                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00        98.7859                 NaN            NaN            NaN  0.831391       0.382752                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00        98.7925                 NaN            NaN            NaN  0.827313       0.380176                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00        98.8077                 NaN            NaN  0.408905E-001  0.837929       0.313466                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00        98.8120                 NaN            NaN  0.994159E-002  0.359809       0.818294                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00        98.8307                 NaN            NaN  0.675592E-001  0.836814       0.264895                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00        99.9374                 NaN            NaN  0.343993E-003  0.622151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00        97.7481                 NaN            NaN  0.129292       0.474830        1.64782                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00        98.8602                 NaN            NaN  0.618679E-001  0.266569       0.811387                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00        99.0224                 NaN            NaN  0.523513E-001  0.697374       0.227879                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        98.7031                 NaN            NaN  0.673639E-001  0.309176       0.920311                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        98.8948                 NaN            NaN  0.574379E-001  0.783834       0.263903                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        98.8894                 NaN            NaN  0.558920E-001  0.266207       0.788497                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00        98.8974                 NaN            NaN  0.543391E-001  0.265879       0.782428                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        98.9004                 NaN            NaN  0.531113E-001  0.266215       0.780323                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00        98.9170                 NaN            NaN  0.508655E-001  0.765708       0.266405                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00        98.9205                 NaN            NaN  0.495783E-001  0.764095       0.265791                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00        98.9814                 NaN            NaN  0.460643E-001  0.720574       0.252001                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00        98.8772                 NaN            NaN  0.489118E-001  0.793207       0.280713                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00        98.9449                 NaN            NaN  0.643008E-001  0.754935       0.235847                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00        98.9438                 NaN            NaN  0.248882E-001  0.737127       0.294137                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.0967                 NaN            NaN  0.388552E-001  0.632460       0.231978                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00        98.8167                 NaN            NaN  0.448288E-001  0.832739       0.305739                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        98.9638                 NaN            NaN  0.396655E-001  0.731106       0.265393                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00        98.9690                 NaN            NaN  0.387593E-001  0.263716       0.728533                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00        98.9759                 NaN            NaN  0.366756E-001  0.720489       0.266944                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00        98.9806                 NaN            NaN  0.357400E-001  0.718543       0.265100                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00        98.9858                 NaN            NaN  0.341984E-001  0.714453       0.265550                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00        98.9904                 NaN            NaN  0.329259E-001  0.711191       0.265448                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00        98.9946                 NaN            NaN  0.316367E-001  0.265217       0.708527                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00        98.2867                 NaN            NaN  0.169626       0.413917       0.798251                 NaN  0.331468                 NaN            NaN            NaN            NaN
  1440.85        2500.00        97.2013                 NaN            NaN  0.389393       0.628168       0.938448                 NaN  0.842659                 NaN            NaN            NaN            NaN
  1439.27        2500.00        97.2762                 NaN            NaN  0.384954       0.603552       0.916000                 NaN  0.819303                 NaN            NaN            NaN            NaN
  1437.70        2500.00        97.3194                 NaN            NaN  0.386068       0.905335       0.582231                 NaN  0.806963                 NaN            NaN            NaN            NaN
  1436.13        2500.00        97.3697                 NaN            NaN  0.385697       0.892174       0.560469                 NaN  0.792002                 NaN            NaN            NaN            NaN
  1434.55        2500.00        97.4155                 NaN            NaN  0.386049       0.880392       0.539669                 NaN  0.778413                 NaN            NaN            NaN            NaN
  1432.98        2500.00        97.4637                 NaN            NaN  0.385212       0.517172       0.869771                 NaN  0.764169                 NaN            NaN            NaN            NaN
  1431.40        2500.00        97.5083                 NaN            NaN  0.385240       0.859252       0.496352                 NaN  0.750844                 NaN            NaN            NaN            NaN
  1429.83        2500.00        97.5516                 NaN            NaN  0.385291       0.476824       0.848365                 NaN  0.737967                 NaN            NaN            NaN            NaN
  1428.25        2500.00        97.5940                 NaN            NaN  0.385179       0.838797       0.456595                 NaN  0.725386                 NaN            NaN            NaN            NaN
  1426.68        2500.00        97.6332                 NaN            NaN  0.385572       0.437932       0.829677                 NaN  0.713582                 NaN            NaN            NaN            NaN
  1425.10        2500.00        97.6755                 NaN            NaN  0.385055       0.818941       0.419476                 NaN  0.701003                 NaN            NaN            NaN            NaN
  1423.53        2500.00        97.7125                 NaN            NaN  0.385404       0.401258       0.810904                 NaN  0.689972                 NaN            NaN            NaN            NaN
  1421.96        2500.00        97.7488                 NaN            NaN  0.385922       0.384038       0.802048                 NaN  0.679186                 NaN            NaN            NaN            NaN
  1420.38        2500.00        97.7870                 NaN            NaN  0.385910       0.366927       0.792327                 NaN  0.667807                 NaN            NaN            NaN            NaN
  1418.81        2500.00        97.8187                 NaN            NaN  0.387190       0.786963       0.348475                 NaN  0.658676                 NaN            NaN            NaN            NaN
  1417.23        2500.00        97.8550                 NaN            NaN  0.385859       0.333046       0.778972                 NaN  0.647144                 NaN            NaN            NaN            NaN
  1415.66        2500.00        97.8865                 NaN            NaN  0.387342       0.769219       0.318957                 NaN  0.637975                 NaN            NaN            NaN            NaN
  1414.08        2500.00        97.9225                 NaN            NaN  0.386470       0.302925       0.761047                 NaN  0.627063                 NaN            NaN            NaN            NaN
  1412.51        2500.00        97.9417                 NaN            NaN  0.390443       0.760312       0.286120                 NaN  0.621411                 NaN            NaN            NaN            NaN
  1410.93        2500.00        97.9854                 NaN            NaN  0.385998       0.747545       0.273334                 NaN  0.607720                 NaN            NaN            NaN            NaN
  1409.36        2500.00        98.0100                 NaN            NaN  0.387764       0.258160       0.743392                 NaN  0.600638                 NaN            NaN            NaN            NaN
  1407.79        2500.00        98.0370                 NaN            NaN  0.388905       0.737631       0.243862                 NaN  0.592562                 NaN            NaN            NaN            NaN
  1406.21        2500.00        98.0662                 NaN            NaN  0.389165       0.731162       0.229496                 NaN  0.583994                 NaN            NaN            NaN            NaN
  1404.64        2500.00        98.0891                 NaN            NaN  0.389831       0.218201       0.726218                 NaN  0.576642                 NaN            NaN            NaN            NaN
  1403.06        2500.00        98.1173                 NaN            NaN  0.390354       0.203123       0.720530                 NaN  0.568695                 NaN            NaN            NaN            NaN
  1401.49        2500.00        98.1479                 NaN            NaN  0.389302       0.713580       0.190382                 NaN  0.558878                 NaN            NaN            NaN            NaN
  1399.91        2500.00        98.1651                 NaN            NaN  0.391381       0.712060       0.177913                 NaN  0.553544                 NaN            NaN            NaN            NaN
  1398.34        2500.00        98.1606                 NaN            NaN  0.390847       0.700985       0.191713                 NaN  0.555835                 NaN            NaN            NaN            NaN
  1396.76        2500.00        98.2479                 NaN            NaN  0.391434       0.697339       0.135372                 NaN  0.527967                 NaN            NaN            NaN            NaN
  1395.19        2500.00        98.2390                 NaN            NaN  0.391139       0.696843       0.141881                 NaN  0.531107                 NaN            NaN            NaN            NaN
  1393.62        2500.00        98.2574                 NaN            NaN  0.393704       0.694522       0.128402                 NaN  0.525938                 NaN            NaN            NaN            NaN
  1392.04        2500.00        98.2746                 NaN            NaN  0.394377       0.690443       0.120580                 NaN  0.519952                 NaN            NaN            NaN            NaN
  1390.47        2500.00        98.3150                 NaN            NaN  0.386747       0.676731       0.114707                 NaN  0.506786                 NaN            NaN            NaN            NaN
  1388.89        2500.00        97.4904                 NaN            NaN   1.16174       0.390434                 NaN            NaN  0.957455                 NaN            NaN            NaN            NaN
  1387.32        2500.00        98.8452                 NaN            NaN            NaN  0.966543                 NaN            NaN  0.188268                 NaN            NaN            NaN            NaN
  1385.74        2500.00        98.6371                 NaN            NaN  0.837420E-005  0.669921       0.334972                 NaN  0.357969                 NaN            NaN            NaN            NaN
  1384.17        2500.00        98.3742                 NaN            NaN  0.394918       0.672773       0.684407E-001            NaN  0.489712                 NaN            NaN            NaN            NaN
  1382.59        2500.00        98.4151                 NaN            NaN  0.385273       0.650888E-001  0.659103                 NaN  0.475399                 NaN            NaN            NaN            NaN
  1381.02        2500.00        98.4224                 NaN            NaN  0.389370       0.539499E-001  0.660608                 NaN  0.473672                 NaN            NaN            NaN            NaN
  1379.45        2500.00        98.4422                 NaN            NaN  0.388776       0.449654E-001  0.656470                 NaN  0.467576                 NaN            NaN            NaN            NaN
  1377.87        2500.00        98.4595                 NaN            NaN  0.388141       0.653516       0.368320E-001            NaN  0.462058                 NaN            NaN            NaN            NaN
  1376.30        2500.00        98.4768                 NaN            NaN  0.387154       0.294559E-001  0.650172                 NaN  0.456445                 NaN            NaN            NaN            NaN
  1374.72        2500.00        98.4943                 NaN            NaN  0.386435       0.647046       0.212862E-001            NaN  0.450956                 NaN            NaN            NaN            NaN
  1373.15        2500.00        98.5111                 NaN            NaN  0.385615       0.643427       0.143362E-001            NaN  0.445476                 NaN            NaN            NaN            NaN
  1371.57        2500.00        98.5263                 NaN            NaN  0.383813       0.640325       0.931600E-002            NaN  0.440252                 NaN            NaN            NaN            NaN
  1370.00        2500.00        98.5429                 NaN            NaN  0.382967       0.636978       0.217203E-002            NaN  0.434999                 NaN            NaN            NaN            NaN
  1368.42        2500.00        98.5562                 NaN            NaN  0.373347       0.182357E-001  0.622702                 NaN  0.429481                 NaN            NaN            NaN            NaN
  1366.85        2500.00        98.5722                 NaN            NaN  0.380407       0.622070                 NaN            NaN  0.425297                 NaN            NaN            NaN            NaN
  1365.27        2500.00        98.5500                 NaN            NaN  0.397562       0.616920                 NaN            NaN  0.435566                 NaN            NaN            NaN            NaN
  1363.70        2500.00        98.6394                 NaN            NaN  0.357193       0.603591                 NaN            NaN  0.399800                 NaN            NaN            NaN            NaN
  1362.13        2500.00        98.5874                 NaN            NaN  0.306070       0.180210       0.516571                 NaN  0.409728                 NaN            NaN            NaN            NaN
  1360.55        2500.00        98.6363                 NaN            NaN  0.362457       0.598697                 NaN            NaN  0.402586                 NaN            NaN            NaN            NaN
  1358.98        2500.00        98.6436                 NaN            NaN  0.358516       0.598069                 NaN            NaN  0.399858                 NaN            NaN            NaN            NaN
  1357.40        2500.00        98.6592                 NaN            NaN  0.358522       0.587336                 NaN            NaN  0.394979                 NaN            NaN            NaN            NaN
  1355.83        2500.00        98.6600                 NaN            NaN  0.319828       0.544520       0.861133E-001            NaN  0.389571                 NaN            NaN            NaN            NaN
  1354.25        2500.00        98.6829                 NaN            NaN  0.349760       0.581305                 NaN            NaN  0.386032                 NaN            NaN            NaN            NaN
  1352.68        2500.00        98.6974                 NaN            NaN  0.350705       0.570506                 NaN            NaN  0.381372                 NaN            NaN            NaN            NaN
  1351.10        2500.00        98.7097                 NaN            NaN  0.346528       0.566581                 NaN            NaN  0.377178                 NaN            NaN            NaN            NaN
  1349.53        2500.00        98.7104                 NaN            NaN  0.352261       0.559640                 NaN            NaN  0.377721                 NaN            NaN            NaN            NaN
  1347.96        2500.00        98.7421                 NaN            NaN  0.332771       0.560781                 NaN            NaN  0.364344                 NaN            NaN            NaN            NaN
  1346.38        2500.00        98.7443                 NaN            NaN  0.337449       0.553263                 NaN            NaN  0.364967                 NaN            NaN            NaN            NaN
  1344.81        2500.00        98.7613                 NaN            NaN  0.334209       0.544434                 NaN            NaN  0.360031                 NaN            NaN            NaN            NaN
  1343.23        2500.00        98.7698                 NaN            NaN  0.327363       0.547528                 NaN            NaN  0.355262                 NaN            NaN            NaN            NaN
  1341.66        2500.00        98.7800                 NaN            NaN  0.325605       0.542408                 NaN            NaN  0.352035                 NaN            NaN            NaN            NaN
  1340.08        2500.00        98.7919                 NaN            NaN  0.322371       0.537690                 NaN            NaN  0.348050                 NaN            NaN            NaN            NaN
  1338.51        2500.00        98.8021                 NaN            NaN  0.318707       0.534932                 NaN            NaN  0.344250                 NaN            NaN            NaN            NaN
  1336.93        2500.00        98.8136                 NaN            NaN  0.314660       0.531555                 NaN            NaN  0.340156                 NaN            NaN            NaN            NaN
  1335.36        2500.00        98.8256                 NaN            NaN  0.315270       0.522478                 NaN            NaN  0.336661                 NaN            NaN            NaN            NaN
  1333.79        2500.00        98.8354                 NaN            NaN  0.307475       0.524743                 NaN            NaN  0.332359                 NaN            NaN            NaN            NaN
  1332.21        2500.00        98.8450                 NaN            NaN  0.304161       0.521832                 NaN            NaN  0.329042                 NaN            NaN            NaN            NaN
  1330.64        2500.00        98.8555                 NaN            NaN  0.302277       0.516799                 NaN            NaN  0.325448                 NaN            NaN            NaN            NaN
  1329.06        2500.00        98.8651                 NaN            NaN  0.292878       0.520009                 NaN            NaN  0.322003                 NaN            NaN            NaN            NaN
  1327.49        2500.00        98.8756                 NaN            NaN  0.293149       0.513794                 NaN            NaN  0.317505                 NaN            NaN            NaN            NaN
  1325.91        2500.00        98.8850                 NaN            NaN  0.290888       0.509300                 NaN            NaN  0.314776                 NaN            NaN            NaN            NaN
  1324.34        2500.00        98.8946                 NaN            NaN  0.286517       0.507515                 NaN            NaN  0.311395                 NaN            NaN            NaN            NaN
  1322.76        2500.00        98.9047                 NaN            NaN  0.281968       0.505545                 NaN            NaN  0.307758                 NaN            NaN            NaN            NaN
  1321.19        2500.00        98.9134                 NaN            NaN  0.277575       0.504405                 NaN            NaN  0.304616                 NaN            NaN            NaN            NaN
  1319.62        2500.00        98.9208                 NaN            NaN  0.273967       0.503663                 NaN            NaN  0.301601                 NaN            NaN            NaN            NaN
  1318.04        2500.00        98.9324                 NaN            NaN  0.271521       0.498083                 NaN            NaN  0.298044                 NaN            NaN            NaN            NaN
  1316.47        2500.00        98.9410                 NaN            NaN  0.268913       0.494978                 NaN            NaN  0.295070                 NaN            NaN            NaN            NaN
  1314.89        2500.00        98.9493                 NaN            NaN  0.263224       0.495637                 NaN            NaN  0.291841                 NaN            NaN            NaN            NaN
  1313.32        2500.00        98.9587                 NaN            NaN  0.260228       0.492299                 NaN            NaN  0.288769                 NaN            NaN            NaN            NaN
  1311.74        2500.00        98.9662                 NaN            NaN  0.255962       0.491954                 NaN            NaN  0.285919                 NaN            NaN            NaN            NaN
  1310.17        2500.00        98.9754                 NaN            NaN  0.251763       0.490068                 NaN            NaN  0.282780                 NaN            NaN            NaN            NaN
  1308.59        2500.00        98.9831                 NaN            NaN  0.248009       0.488719                 NaN            NaN  0.280143                 NaN            NaN            NaN            NaN
  1307.02        2500.00        98.9908                 NaN            NaN  0.240299       0.492070                 NaN            NaN  0.276816                 NaN            NaN            NaN            NaN
