|6.6.6
Archiving\03_Data\Dfrac/QFM_m5/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1914.79        2500.00        92.6626        7.33737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        92.6442        7.35583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        92.6257        7.37426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        92.6074        7.39262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        92.5891        7.41094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        92.5104        7.42688       0.627367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4601       0.869836E-002  0.531229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4641       0.906334E-003  0.535004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4718                 NaN  0.528226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4719                 NaN  0.528055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4756                 NaN  0.524436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4622       0.533976E-001  0.484402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.0853                 NaN  0.914676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.8908                 NaN  0.109249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4867                 NaN  0.513343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5159                 NaN  0.484137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4632                 NaN  0.536752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4908                 NaN  0.509191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4955                 NaN  0.504520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4955                 NaN  0.504473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4982                 NaN  0.501797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4993                 NaN  0.500722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4995                 NaN  0.500527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5022                 NaN  0.497758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5769                 NaN  0.423123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.1779                 NaN  0.822138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.7610                 NaN  0.239025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5044                 NaN  0.495554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.5074                 NaN  0.492617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5061                 NaN  0.493901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4354                 NaN  0.564643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.6455                 NaN  0.354524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4465                 NaN  0.553033       0.479125E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5095                 NaN  0.490506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5005                 NaN  0.488300       0.111939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4966                 NaN  0.488272       0.151586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4953                 NaN  0.489565       0.151596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4970                 NaN  0.487954       0.150309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4957                 NaN  0.489293       0.150472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4951                 NaN  0.489844       0.150165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4906                 NaN  0.494217       0.151362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4935                 NaN  0.491626       0.148746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2775                 NaN  0.701325       0.211326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.7107                 NaN  0.280831       0.844201E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4900                 NaN  0.495136       0.149069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4899                 NaN  0.495338       0.148061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4142                 NaN  0.568937       0.168715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.7040                 NaN  0.287397       0.855867E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3451                 NaN  0.636153       0.187302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4842                 NaN  0.501051       0.147060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4822                 NaN  0.503108       0.146588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4820                 NaN  0.503428       0.146105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4781                 NaN  0.507276       0.146097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4756                 NaN  0.509785       0.146065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4751                 NaN  0.510334       0.145659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4735                 NaN  0.512064       0.144547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4681                 NaN  0.517311       0.145762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4666                 NaN  0.518895       0.144738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4340                 NaN  0.531281       0.347268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4924                 NaN  0.507082       0.531436E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4655                 NaN  0.526738       0.773185E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4594                 NaN  0.526309       0.143354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4545                 NaN  0.531126       0.143569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4515                 NaN  0.534160       0.143333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4481                 NaN  0.537605       0.143326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4462                 NaN  0.539511       0.142744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.0912                 NaN  0.885508       0.232474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.7835                 NaN  0.211240       0.529726E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4361                 NaN  0.549631       0.142410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4333                 NaN  0.552498       0.142071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3740                 NaN  0.610368       0.156309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4822                 NaN  0.505056       0.127835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4222                 NaN  0.563608       0.141778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4184                 NaN  0.567414       0.141596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4152                 NaN  0.570644       0.141411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4121                 NaN  0.573781       0.141200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4072                 NaN  0.578726       0.141188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4037                 NaN  0.582179       0.141261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4013                 NaN  0.584637       0.140700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4249                 NaN  0.561699       0.134157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3649                 NaN  0.620380       0.146857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3899                 NaN  0.596029       0.140441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3839                 NaN  0.602003       0.140933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4380                 NaN  0.549148       0.128056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3243                 NaN  0.660486       0.152316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3743                 NaN  0.611673       0.140229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3662                 NaN  0.619751       0.140940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.1629                 NaN  0.583719       0.112392E-001  0.242120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        95.1055                 NaN  0.590414E-001            NaN   4.83546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1290                 NaN  0.470116                 NaN  0.400848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        97.2161                 NaN  0.254142                 NaN   2.52973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        97.3192                 NaN  0.243602                 NaN   2.43721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        97.3005                 NaN  0.245009                 NaN   2.45453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.3943                 NaN  0.235683                 NaN   2.37003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.4708                 NaN  0.230159                 NaN   2.29902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.5311                 NaN  0.223087                 NaN   2.24586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.3415                 NaN  0.266163       0.142031E-001   2.37813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.9296                 NaN  0.190959                 NaN   1.87942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.6783                 NaN  0.210430                 NaN   2.11123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.7268                 NaN  0.204818                 NaN   2.06835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.7737                 NaN  0.201180                 NaN   2.02510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.8177                 NaN  0.196132                 NaN   1.98612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.8659                 NaN  0.194036                 NaN   1.94002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.9080                 NaN  0.187246                 NaN   1.90480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.9428                 NaN  0.182801                 NaN   1.87438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        97.9826                 NaN  0.176559                 NaN   1.84086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.0279                 NaN  0.174741                 NaN   1.79734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        96.5584                 NaN  0.304404                 NaN   3.13715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.6120                 NaN  0.129512E-001            NaN  0.375048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.1329                 NaN  0.162766                 NaN   1.70434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.1644                 NaN  0.160041                 NaN   1.67556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2003                 NaN  0.154911                 NaN   1.64474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2292                 NaN  0.150427                 NaN   1.62040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2612                 NaN  0.147622                 NaN   1.59113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.2865                 NaN  0.141697                 NaN   1.57181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.2781                 NaN  0.144120                 NaN   1.57774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.3905                 NaN  0.131492                 NaN   1.47802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.3727                 NaN  0.131543                 NaN   1.49571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.3754                 NaN  0.127872                 NaN   1.49673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.4526                 NaN  0.126458                 NaN   1.42090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.4513                 NaN  0.121611                 NaN   1.42708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.4788                 NaN  0.120318                 NaN   1.40083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        96.9044                 NaN  0.211625                 NaN   2.88401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.1500                 NaN  0.675770E-001            NaN  0.782400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.0762                 NaN  0.142337                 NaN   1.78149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5823                 NaN  0.102171                 NaN   1.31556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6190                 NaN  0.103164                 NaN   1.27787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6322                 NaN  0.967069E-001            NaN   1.27111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6506                 NaN  0.124549                 NaN   1.22488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6697                 NaN  0.619064E-001            NaN   1.26836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6008                 NaN  0.939506E-001            NaN   1.30525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7918                 NaN  0.792246E-001            NaN   1.12894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7233                 NaN  0.813009E-001            NaN   1.19536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7407                 NaN  0.799598E-001            NaN   1.17935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.7576                 NaN  0.678323E-001            NaN   1.17452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7732                 NaN  0.833029E-001            NaN   1.14354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7896                 NaN  0.717557E-001            NaN   1.13867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8057                 NaN  0.696049E-001            NaN   1.12472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.5599                 NaN  0.906008E-001            NaN   1.34954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.1086                 NaN  0.478220E-001            NaN  0.843550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8512                 NaN  0.617200E-001            NaN   1.08709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8582                 NaN  0.597371E-001            NaN   1.08208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8790                 NaN  0.545051E-001            NaN   1.06650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8869                 NaN  0.521390E-001            NaN   1.06096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8985                 NaN  0.511536E-001            NaN   1.05038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9162                 NaN  0.479416E-001            NaN   1.03581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9244                 NaN  0.441040E-001            NaN   1.03152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9313                 NaN  0.403541E-001            NaN   1.00908       0.192455E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.6822                 NaN            NaN            NaN            NaN   1.31784                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.6840                 NaN            NaN            NaN            NaN   1.31601                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.6878                 NaN            NaN            NaN            NaN   1.31222                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.6857                 NaN            NaN            NaN  0.229039E-001   1.29139                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.6864                 NaN            NaN            NaN            NaN   1.31363                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.6832                 NaN            NaN            NaN            NaN   1.31678                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.6812                 NaN            NaN            NaN            NaN   1.31878                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.6692                 NaN            NaN            NaN            NaN   1.33080                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.6533                 NaN            NaN            NaN            NaN   1.34666                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.6314                 NaN            NaN            NaN            NaN   1.36857                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        97.9877                 NaN            NaN            NaN            NaN  0.995507        1.01683                 NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.2490                 NaN            NaN            NaN  0.160295        1.59069                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        97.4430                 NaN            NaN            NaN            NaN   1.05148        1.50552                 NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        97.9011                 NaN            NaN            NaN            NaN   1.26473       0.834116                 NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        97.9362                 NaN            NaN            NaN            NaN   1.24588       0.817882                 NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        98.7188                 NaN  0.307574E-002            NaN  0.100678E-001  0.448508       0.819560                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        97.2663                 NaN            NaN            NaN            NaN   1.10466        1.62902                 NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        98.0352                 NaN            NaN            NaN            NaN  0.773072        1.19175                 NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        98.0657                 NaN            NaN            NaN            NaN  0.759674        1.17467                 NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.0970                 NaN            NaN            NaN            NaN   1.15830       0.744708                 NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        98.1245                 NaN            NaN            NaN            NaN  0.731053        1.14440                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.1547                 NaN            NaN            NaN            NaN   1.12818       0.717150                 NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        98.1803                 NaN            NaN            NaN            NaN   1.11571       0.703958                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.2056                 NaN            NaN            NaN            NaN  0.692073        1.10230                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.2318                 NaN            NaN            NaN            NaN  0.678638        1.08958                 NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.2531                 NaN            NaN            NaN            NaN  0.667595        1.07934                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.2819                 NaN            NaN            NaN            NaN  0.654220        1.06388                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        98.3021                 NaN            NaN            NaN            NaN  0.644243        1.05368                 NaN            NaN            NaN            NaN            NaN
