|6.6.6
Archiving\03_Data\Dfrac/QFM_m5/WD94/WD94_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1927.32        2500.00        97.0218        2.97823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        97.0139        2.98611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        97.0060        2.99397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        96.9982        3.00181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        96.9904        3.00963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        96.9826        3.01743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        96.9748        3.02521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        96.9670        3.03297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        96.9593        3.04071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        96.9516        3.04844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        96.8842        3.05529       0.604770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.5076       0.341796E-002  0.489022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.5073       0.356086E-003  0.492302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.5140                 NaN  0.485981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.5144                 NaN  0.485616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.5179                 NaN  0.482105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5339       0.209710E-001  0.445124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1587                 NaN  0.841287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.8997                 NaN  0.100277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.5288                 NaN  0.471230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5558                 NaN  0.444166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.5076                 NaN  0.492354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.5332                 NaN  0.466845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.5376                 NaN  0.462363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5378                 NaN  0.462184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.5404                 NaN  0.459576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.5416                 NaN  0.458354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.5420                 NaN  0.458013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5447                 NaN  0.455325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.6130                 NaN  0.387018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.2483                 NaN  0.751708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.7817                 NaN  0.218336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5474                 NaN  0.452583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.5502                 NaN  0.449759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5492                 NaN  0.450804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4849                 NaN  0.515081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.6767                 NaN  0.323251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4956                 NaN  0.504097       0.319155E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5529                 NaN  0.447051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5478                 NaN  0.444702       0.745001E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5454                 NaN  0.444487       0.100844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5445                 NaN  0.445467       0.100793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5462                 NaN  0.443763       0.999019E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5452                 NaN  0.444806       0.999763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5449                 NaN  0.445111       0.997325E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5411                 NaN  0.448844       0.100463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5440                 NaN  0.446153       0.986351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.3498                 NaN  0.636214       0.140042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.7398                 NaN  0.254597       0.559545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5412                 NaN  0.448921       0.988220E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5414                 NaN  0.448748       0.980692E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4738                 NaN  0.515051       0.111672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.7341                 NaN  0.260201       0.566619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4121                 NaN  0.575475       0.123900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5372                 NaN  0.453039       0.972521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5356                 NaN  0.454673       0.968683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5356                 NaN  0.454787       0.965396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5325                 NaN  0.457845       0.964625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5305                 NaN  0.459870       0.963907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5300                 NaN  0.460339       0.961351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5291                 NaN  0.461405       0.952913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5244                 NaN  0.466020       0.960436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5235                 NaN  0.467011       0.952854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4988                 NaN  0.478325       0.228697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5437                 NaN  0.455904       0.349666E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5216                 NaN  0.473343       0.508471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5178                 NaN  0.472806       0.942753E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5138                 NaN  0.476751       0.943531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5114                 NaN  0.479211       0.941292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5086                 NaN  0.482026       0.941102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5071                 NaN  0.483491       0.936738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.1936                 NaN  0.791190       0.152371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.8075                 NaN  0.188991       0.347182E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4990                 NaN  0.491665       0.933218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4968                 NaN  0.493930       0.930442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4443                 NaN  0.545474       0.102344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5408                 NaN  0.450886       0.836378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4878                 NaN  0.502895       0.927067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4848                 NaN  0.505912       0.925437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4822                 NaN  0.508545       0.923755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4798                 NaN  0.510988       0.922054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4758                 NaN  0.515020       0.921164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4730                 NaN  0.517771       0.921520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4712                 NaN  0.519624       0.917211E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4923                 NaN  0.498946       0.874035E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4398                 NaN  0.550608       0.956004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4622                 NaN  0.528672       0.914032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4571                 NaN  0.533738       0.916935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5049                 NaN  0.486744       0.833268E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4054                 NaN  0.584738       0.989668E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4498                 NaN  0.541132       0.910836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4432                 NaN  0.547648       0.914531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2597                 NaN  0.515694       0.729268E-002  0.217310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        95.5908                 NaN  0.519875E-001            NaN   4.35723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2254                 NaN  0.415050                 NaN  0.359547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        97.5026                 NaN  0.224705                 NaN   2.27268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        97.5959                 NaN  0.215271                 NaN   2.18886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        97.5797                 NaN  0.216486                 NaN   2.20378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.6646                 NaN  0.208169                 NaN   2.12723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.7345                 NaN  0.203110                 NaN   2.06243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.7890                 NaN  0.196948                 NaN   2.01407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.6228                 NaN  0.235059       0.925345E-002   2.13293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        98.1483                 NaN  0.168209                 NaN   1.68351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.9237                 NaN  0.185335                 NaN   1.89095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.9677                 NaN  0.180317                 NaN   1.85197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.0105                 NaN  0.177024                 NaN   1.81250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.0506                 NaN  0.172484                 NaN   1.77690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.0948                 NaN  0.170547                 NaN   1.73461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.1327                 NaN  0.164507                 NaN   1.70280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.1647                 NaN  0.160530                 NaN   1.67473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2004                 NaN  0.154974                 NaN   1.64458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2420                 NaN  0.153284                 NaN   1.60476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        96.9294                 NaN  0.267092                 NaN   2.80353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.6546                 NaN  0.113320E-001            NaN  0.334061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3374                 NaN  0.142570                 NaN   1.52002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3661                 NaN  0.140126                 NaN   1.49378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.3986                 NaN  0.135544                 NaN   1.46582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4248                 NaN  0.131558                 NaN   1.44364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4541                 NaN  0.129048                 NaN   1.41689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4770                 NaN  0.123769                 NaN   1.39927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4702                 NaN  0.125858                 NaN   1.40392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5706                 NaN  0.114750                 NaN   1.31469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5553                 NaN  0.114766                 NaN   1.32993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5582                 NaN  0.111474                 NaN   1.33035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6275                 NaN  0.110192                 NaN   1.26228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6266                 NaN  0.105911                 NaN   1.26746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6517                 NaN  0.104734                 NaN   1.24355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        97.2513                 NaN  0.184467                 NaN   2.56427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.2476                 NaN  0.587014E-001            NaN  0.693712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.2963                 NaN  0.123722                 NaN   1.57998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7457                 NaN  0.887257E-001            NaN   1.16558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7787                 NaN  0.895230E-001            NaN   1.13177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7905                 NaN  0.838936E-001            NaN   1.12565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8079                 NaN  0.107956                 NaN   1.08412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8243                 NaN  0.536343E-001            NaN   1.12209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7640                 NaN  0.813452E-001            NaN   1.15466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9335                 NaN  0.685609E-001            NaN  0.997979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8732                 NaN  0.703239E-001            NaN   1.05648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8889                 NaN  0.691280E-001            NaN   1.04195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9041                 NaN  0.586164E-001            NaN   1.03731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9185                 NaN  0.719433E-001            NaN   1.00958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9333                 NaN  0.619260E-001            NaN   1.00481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9477                 NaN  0.600458E-001            NaN  0.992225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.7314                 NaN  0.781606E-001            NaN   1.19046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.2154                 NaN  0.411997E-001            NaN  0.743411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9889                 NaN  0.531546E-001            NaN  0.957971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9954                 NaN  0.514370E-001            NaN  0.953209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0138                 NaN  0.468954E-001            NaN  0.939271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0212                 NaN  0.448381E-001            NaN  0.933920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0317                 NaN  0.439567E-001            NaN  0.924304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0476                 NaN  0.411835E-001            NaN  0.911198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0550                 NaN  0.378674E-001            NaN  0.907169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0613                 NaN  0.346253E-001            NaN  0.887056       0.169817E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8374                 NaN            NaN            NaN            NaN   1.16257                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.8398                 NaN            NaN            NaN            NaN   1.16017                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.8437                 NaN            NaN            NaN            NaN   1.15628                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.8427                 NaN            NaN            NaN  0.200973E-001   1.13722                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.8438                 NaN            NaN            NaN            NaN   1.15616                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.8415                 NaN            NaN            NaN            NaN   1.15847                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.8406                 NaN            NaN            NaN            NaN   1.15944                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.8306                 NaN            NaN            NaN            NaN   1.16938                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.8174                 NaN            NaN            NaN            NaN   1.18263                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.7990                 NaN            NaN            NaN            NaN   1.20099                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.2314                 NaN            NaN            NaN            NaN  0.873713       0.894911                 NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.4612                 NaN            NaN            NaN  0.140123        1.39868                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        97.7549                 NaN            NaN            NaN            NaN  0.924960        1.32018                 NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.1582                 NaN            NaN            NaN            NaN   1.11128       0.730494                 NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        98.1902                 NaN            NaN            NaN            NaN   1.09407       0.715734                 NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        98.8782                 NaN  0.260475E-002            NaN  0.875192E-002  0.391761       0.718692                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        97.6043                 NaN            NaN            NaN            NaN  0.965905        1.42984                 NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        98.2808                 NaN            NaN            NaN            NaN  0.674774        1.04438                 NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        98.3088                 NaN            NaN            NaN            NaN  0.662509        1.02873                 NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.3373                 NaN            NaN            NaN            NaN   1.01374       0.648932                 NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        98.3626                 NaN            NaN            NaN            NaN  0.636469        1.00089                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.3902                 NaN            NaN            NaN            NaN  0.985970       0.623792                 NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        98.4139                 NaN            NaN            NaN            NaN  0.974367       0.611777                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.4372                 NaN            NaN            NaN            NaN  0.600885       0.961956                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.4611                 NaN            NaN            NaN            NaN  0.588683       0.950225                 NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.4808                 NaN            NaN            NaN            NaN  0.578607       0.940616                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.5071                 NaN            NaN            NaN            NaN  0.566510       0.926376                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        98.5258                 NaN            NaN            NaN            NaN  0.557340       0.916886                 NaN            NaN            NaN            NaN            NaN
