|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm            hed           
  1496.35        500.000                 NaN   99.4834       0.516577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000                 NaN   99.4857       0.514265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000                 NaN   99.4902       0.509754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000                 NaN   99.4919       0.508092       0.192256E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN   99.4992       0.500752       0.944086E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000                 NaN   99.9862       0.137802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.0077       0.992310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000                 NaN   99.5028       0.497224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.6736       0.270347       0.560715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        500.000                 NaN   99.3524       0.647554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN   99.5104       0.489575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        500.000                 NaN   99.5152       0.484807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN   99.5170       0.483032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        500.000                 NaN   99.5187       0.481279       0.272834E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        500.000                 NaN   99.5199       0.480106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        500.000                 NaN   99.3106       0.652271       0.371506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        500.000                 NaN   99.8734       0.572153E-001  0.693631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        500.000                 NaN   99.4191       0.580876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        500.000                 NaN   99.5310       0.469025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN   99.5321       0.467917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        500.000                 NaN   99.6107       0.389302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        500.000                 NaN   99.4574       0.542630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000                 NaN   99.5386       0.461390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        500.000                 NaN   99.5389       0.461112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        500.000                 NaN   99.5834       0.416643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        500.000                 NaN   99.0009       0.338246                 NaN            NaN  0.660894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        500.000                 NaN   99.0342       0.274937                 NaN            NaN  0.678739       0.120928E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        500.000                 NaN   99.0309       0.181105                 NaN            NaN  0.657971       0.129981                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   99.0159                 NaN            NaN            NaN  0.364113       0.619978                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   99.0267       0.509644E-001            NaN            NaN  0.300958       0.621328                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN   99.0332                 NaN            NaN            NaN  0.356294       0.610549                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN   99.0473       0.602653E-001            NaN            NaN  0.282937       0.609490                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.80        500.000                 NaN   99.0533       0.167313E-001            NaN            NaN  0.329612       0.600372                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.31        500.000                 NaN   99.0600                 NaN            NaN            NaN  0.593905       0.346126                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.83        500.000                 NaN   99.0685                 NaN            NaN            NaN  0.342215       0.589302                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.34        500.000                 NaN   99.0770                 NaN            NaN            NaN  0.584058       0.338951                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.85        500.000                 NaN   99.0848                 NaN            NaN            NaN  0.335106       0.580130                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.37        500.000                 NaN   99.0919                 NaN            NaN            NaN  0.332062       0.576075                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.88        500.000                 NaN   99.1002                 NaN            NaN            NaN  0.571187       0.328568                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.40        500.000                 NaN   99.1072       0.217426E-001            NaN            NaN  0.569622       0.301422                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.91        500.000                 NaN   99.1734                 NaN            NaN            NaN  0.526043       0.300545                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.42        500.000                 NaN   99.0623                 NaN            NaN            NaN  0.594768       0.342925                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.94        500.000                 NaN   99.1253                 NaN            NaN            NaN  0.317450       0.557238                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.45        500.000                 NaN   99.1404                 NaN            NaN            NaN  0.312277       0.547292                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.97        500.000                 NaN   99.1422                 NaN            NaN            NaN  0.310955       0.546819                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.48        500.000                 NaN   99.1491                 NaN            NaN            NaN  0.542847       0.308071                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.99        500.000                 NaN   99.1559                 NaN            NaN            NaN  0.538184       0.305886                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.51        500.000                 NaN   99.1620                 NaN            NaN            NaN  0.535459       0.302580                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN   99.1679                 NaN            NaN            NaN  0.300577       0.531488                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.54        500.000                 NaN   98.5296                 NaN            NaN            NaN  0.599881       0.567607                 NaN  0.302921                 NaN            NaN            NaN            NaN
  1422.05        500.000                 NaN   97.5598                 NaN            NaN            NaN  0.974695       0.699874                 NaN  0.765595                 NaN            NaN            NaN            NaN
  1420.56        500.000                 NaN   97.6092                 NaN            NaN            NaN  0.686528       0.954417                 NaN  0.749879                 NaN            NaN            NaN            NaN
  1419.08        500.000                 NaN   97.6571                 NaN            NaN            NaN  0.673313       0.934780                 NaN  0.734806                 NaN            NaN            NaN            NaN
  1417.59        500.000                 NaN   97.7009                 NaN            NaN            NaN  0.660989       0.917173                 NaN  0.720906                 NaN            NaN            NaN            NaN
  1416.11        500.000                 NaN   97.7479                 NaN            NaN            NaN  0.648293       0.897789                 NaN  0.706042                 NaN            NaN            NaN            NaN
  1414.62        500.000                 NaN   97.7897                 NaN            NaN            NaN  0.636172       0.881135                 NaN  0.692961                 NaN            NaN            NaN            NaN
  1413.13        500.000                 NaN   97.8313                 NaN            NaN            NaN  0.624459       0.864355                 NaN  0.679840                 NaN            NaN            NaN            NaN
  1411.65        500.000                 NaN   97.8713                 NaN            NaN            NaN  0.613372       0.848399                 NaN  0.666939                 NaN            NaN            NaN            NaN
  1410.16        500.000                 NaN   97.9089                 NaN            NaN            NaN  0.833114       0.603242                 NaN  0.654775                 NaN            NaN            NaN            NaN
  1408.67        500.000                 NaN   97.9478                 NaN            NaN            NaN  0.592079       0.817618                 NaN  0.642541                 NaN            NaN            NaN            NaN
  1407.19        500.000                 NaN   97.9836                 NaN            NaN            NaN  0.581898       0.803335                 NaN  0.631166                 NaN            NaN            NaN            NaN
  1405.70        500.000                 NaN   98.0173                 NaN            NaN            NaN  0.572692       0.789718                 NaN  0.620292                 NaN            NaN            NaN            NaN
  1404.22        500.000                 NaN   98.0530                 NaN  0.917107E-002            NaN  0.762753       0.564430                 NaN  0.610629                 NaN            NaN            NaN            NaN
  1402.73        500.000                 NaN   98.0792                 NaN  0.186060                 NaN  0.611551       0.487172                 NaN  0.636034                 NaN            NaN            NaN            NaN
  1401.24        500.000                 NaN   98.1112                 NaN  0.188462                 NaN  0.604087       0.469975                 NaN  0.626306                 NaN            NaN            NaN            NaN
  1399.76        500.000                 NaN   98.1434                 NaN  0.190325                 NaN  0.596339       0.453493                 NaN  0.616483                 NaN            NaN            NaN            NaN
  1398.27        500.000                 NaN   98.1677                 NaN  0.194519                 NaN  0.591658       0.436584                 NaN  0.609586                 NaN            NaN            NaN            NaN
  1396.79        500.000                 NaN   98.3650                 NaN  0.355187                 NaN  0.702340                 NaN            NaN  0.577436                 NaN            NaN            NaN            NaN
  1395.30        500.000                 NaN   98.0796                 NaN  0.322224E-001            NaN  0.829482       0.452261                 NaN  0.606476                 NaN            NaN            NaN            NaN
  1393.81        500.000                 NaN   98.3974                 NaN  0.350078                 NaN  0.686248                 NaN            NaN  0.566258                 NaN            NaN            NaN            NaN
  1392.33        500.000                 NaN   98.1621                 NaN  0.459167E-001            NaN  0.766129       0.443030                 NaN  0.582819                 NaN            NaN            NaN            NaN
  1390.84        500.000                 NaN   98.3188                 NaN  0.202824                 NaN  0.555366       0.359979                 NaN  0.562993                 NaN            NaN            NaN            NaN
  1389.36        500.000                 NaN   98.3456                 NaN  0.205100                 NaN  0.549599       0.344855                 NaN  0.554835                 NaN            NaN            NaN            NaN
  1387.87        500.000                 NaN   98.3711                 NaN  0.207092                 NaN  0.330832       0.543758                 NaN  0.547181                 NaN            NaN            NaN            NaN
  1386.38        500.000                 NaN   98.3929                 NaN  0.209258                 NaN  0.539458       0.317774                 NaN  0.540577                 NaN            NaN            NaN            NaN
  1384.90        500.000                 NaN   98.4229                 NaN  0.210839                 NaN  0.302932       0.532114                 NaN  0.531210                 NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN   98.4466                 NaN  0.213151                 NaN  0.527057       0.289197                 NaN  0.524032                 NaN            NaN            NaN            NaN
  1381.93        500.000                 NaN   98.4691                 NaN  0.215097                 NaN  0.522147       0.276345                 NaN  0.517310                 NaN            NaN            NaN            NaN
  1380.44        500.000                 NaN   98.4913                 NaN  0.216878                 NaN  0.264084       0.517411                 NaN  0.510285                 NaN            NaN            NaN            NaN
  1378.95        500.000                 NaN   98.5131                 NaN  0.219345                 NaN  0.512822       0.250788                 NaN  0.503937                 NaN            NaN            NaN            NaN
  1377.47        500.000                 NaN   98.5356                 NaN  0.220222                 NaN  0.239900       0.507486                 NaN  0.496749                 NaN            NaN            NaN            NaN
  1375.98        500.000                 NaN   98.5579                 NaN  0.222425                 NaN  0.503017       0.226727                 NaN  0.489934                 NaN            NaN            NaN            NaN
  1374.49        500.000                 NaN   98.5776                 NaN  0.224476                 NaN  0.214991       0.498979                 NaN  0.483985                 NaN            NaN            NaN            NaN
  1373.01        500.000                 NaN   98.5987                 NaN  0.225830                 NaN  0.494655       0.203455                 NaN  0.477391                 NaN            NaN            NaN            NaN
  1371.52        500.000                 NaN   98.6081                 NaN  0.232600                 NaN  0.495128       0.188338                 NaN  0.475865                 NaN            NaN            NaN            NaN
  1370.04        500.000                 NaN   98.6472                 NaN  0.224861                 NaN  0.480571       0.186286                 NaN  0.461071                 NaN            NaN            NaN            NaN
  1368.55        500.000                 NaN   98.6560                 NaN  0.231317                 NaN  0.481880       0.170851                 NaN  0.459965                 NaN            NaN            NaN            NaN
  1367.06        500.000                 NaN   98.6719                 NaN  0.233085                 NaN  0.160819       0.479007                 NaN  0.455155                 NaN            NaN            NaN            NaN
  1365.58        500.000                 NaN   98.6993                 NaN  0.232713                 NaN  0.473644       0.148507                 NaN  0.445790                 NaN            NaN            NaN            NaN
  1364.09        500.000                 NaN   98.7121                 NaN  0.235753                 NaN  0.470804       0.138922                 NaN  0.442390                 NaN            NaN            NaN            NaN
  1362.61        500.000                 NaN   98.7294                 NaN  0.236149                 NaN  0.467009       0.130656                 NaN  0.436740                 NaN            NaN            NaN            NaN
  1361.12        500.000                 NaN   98.7460                 NaN  0.237580                 NaN  0.121346       0.463476                 NaN  0.431582                 NaN            NaN            NaN            NaN
  1359.63        500.000                 NaN   98.7633                 NaN  0.238732                 NaN  0.460177       0.111617                 NaN  0.426161                 NaN            NaN            NaN            NaN
  1358.15        500.000                 NaN   98.7797                 NaN  0.240243                 NaN  0.456758       0.102080                 NaN  0.421179                 NaN            NaN            NaN            NaN
  1356.66        500.000                 NaN   98.7955                 NaN  0.242507                 NaN  0.453740       0.917881E-001            NaN  0.416468                 NaN            NaN            NaN            NaN
  1355.18        500.000                 NaN   98.8138                 NaN  0.240352                 NaN  0.448702       0.873017E-001            NaN  0.409804                 NaN            NaN            NaN            NaN
  1353.69        500.000                 NaN   98.8112                 NaN  0.218889                 NaN  0.427778       0.135295                 NaN  0.406852                 NaN            NaN            NaN            NaN
  1352.20        500.000                 NaN   98.8600                 NaN  0.267283                 NaN  0.463062       0.974349E-002            NaN  0.399953                 NaN            NaN            NaN            NaN
  1350.72        500.000                 NaN   98.8573                 NaN  0.244841                 NaN  0.439174       0.620264E-001            NaN  0.396611                 NaN            NaN            NaN            NaN
  1349.23        500.000                 NaN   98.8730                 NaN  0.243952                 NaN  0.437465       0.546917E-001            NaN  0.390849                 NaN            NaN            NaN            NaN
  1347.75        500.000                 NaN   98.8864                 NaN  0.244488                 NaN  0.484220E-001  0.433938                 NaN  0.386714                 NaN            NaN            NaN            NaN
  1346.26        500.000                 NaN   98.9006                 NaN  0.245066                 NaN  0.411171E-001  0.431065                 NaN  0.382173                 NaN            NaN            NaN            NaN
  1344.77        500.000                 NaN   98.8710                 NaN  0.247241                 NaN  0.465787E-001  0.441809                 NaN  0.393339                 NaN            NaN            NaN            NaN
  1343.29        500.000                 NaN   98.9681                 NaN  0.242671                 NaN  0.412427       0.186395E-001            NaN  0.358150                 NaN            NaN            NaN            NaN
  1341.80        500.000                 NaN   98.9407                 NaN  0.244921                 NaN  0.236402E-001  0.421896                 NaN  0.368796                 NaN            NaN            NaN            NaN
  1340.31        500.000                 NaN   98.9516                 NaN  0.246935                 NaN  0.150225E-001  0.420564                 NaN  0.365869                 NaN            NaN            NaN            NaN
  1338.83        500.000                 NaN   98.9707                 NaN  0.243574                 NaN  0.414418       0.127172E-001            NaN  0.358590                 NaN            NaN            NaN            NaN
  1337.34        500.000                 NaN   98.9769                 NaN  0.246121                 NaN  0.414279       0.568538E-002            NaN  0.357034                 NaN            NaN            NaN            NaN
  1335.86        500.000                 NaN   98.9952                 NaN  0.241475                 NaN  0.594070E-002  0.407521                 NaN  0.349863                 NaN            NaN            NaN            NaN
  1334.37        500.000                 NaN   99.0040                 NaN  0.241474                 NaN  0.405121       0.224898E-002            NaN  0.347110                 NaN            NaN            NaN            NaN
  1332.88        500.000                 NaN   99.0123                 NaN  0.231908                 NaN  0.394205       0.190204E-001            NaN  0.342555                 NaN            NaN            NaN            NaN
  1331.40        500.000                 NaN   99.0246                 NaN  0.232221                 NaN  0.391696       0.129428E-001            NaN  0.338560                 NaN            NaN            NaN            NaN
  1329.91        500.000                 NaN   99.0376                 NaN  0.235681                 NaN  0.391956                 NaN            NaN  0.334758                 NaN            NaN            NaN            NaN
  1328.43        500.000                 NaN   99.0489                 NaN  0.232706                 NaN  0.387868                 NaN            NaN  0.330530                 NaN            NaN            NaN            NaN
  1326.94        500.000                 NaN   99.0589                 NaN  0.230258                 NaN  0.384176                 NaN            NaN  0.326636                 NaN            NaN            NaN            NaN
  1325.45        500.000                 NaN   99.0647                 NaN  0.218204                 NaN  0.232051E-001  0.371403                 NaN  0.322503                 NaN            NaN            NaN            NaN
  1323.97        500.000                 NaN   99.0748                 NaN  0.227623                 NaN  0.377317                 NaN            NaN  0.320294                 NaN            NaN            NaN            NaN
  1322.48        500.000                 NaN   99.0916                 NaN  0.223848                 NaN  0.370081                 NaN            NaN  0.314479                 NaN            NaN            NaN            NaN
  1321.00        500.000                 NaN   99.1005                 NaN  0.221058                 NaN  0.367387                 NaN            NaN  0.311082                 NaN            NaN            NaN            NaN
  1319.51        500.000                 NaN   99.1085                 NaN  0.220515                 NaN  0.362796                 NaN            NaN  0.308144                 NaN            NaN            NaN            NaN
  1318.02        500.000                 NaN   99.1214                 NaN  0.216184                 NaN  0.359393                 NaN            NaN  0.303041                 NaN            NaN            NaN            NaN
  1316.54        500.000                 NaN   99.1297                 NaN  0.214139                 NaN  0.356119                 NaN            NaN  0.300003                 NaN            NaN            NaN            NaN
  1315.05        500.000                 NaN   99.1399                 NaN  0.211620                 NaN  0.352407                 NaN            NaN  0.296109                 NaN            NaN            NaN            NaN
  1313.57        500.000                 NaN   99.1474                 NaN  0.210479                 NaN  0.348702                 NaN            NaN  0.293384                 NaN            NaN            NaN            NaN
  1312.08        500.000                 NaN   99.1591                 NaN  0.207640                 NaN  0.344527                 NaN            NaN  0.288768                 NaN            NaN            NaN            NaN
  1310.59        500.000                 NaN   99.1665                 NaN  0.205388                 NaN  0.342072                 NaN            NaN  0.286017                 NaN            NaN            NaN            NaN
  1309.11        500.000                 NaN   99.1758                 NaN  0.202307                 NaN  0.339446                 NaN            NaN  0.282412                 NaN            NaN            NaN            NaN
  1307.62        500.000                 NaN   99.1874                 NaN  0.200375                 NaN  0.334058                 NaN            NaN  0.278194                 NaN            NaN            NaN            NaN
  1306.13        500.000                 NaN   99.1935                 NaN  0.198751                 NaN  0.331899                 NaN            NaN  0.275815                 NaN            NaN            NaN            NaN
  1304.65        500.000                 NaN   99.2034                 NaN  0.195678                 NaN  0.328859                 NaN            NaN  0.272042                 NaN            NaN            NaN            NaN
