|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        q              ilm           
  1909.77        500.000        99.4351       0.329676E-002            NaN  0.561624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.4764       0.220185E-002            NaN  0.521389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.4252       0.305773E-002            NaN  0.571786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4290       0.276701E-002            NaN  0.568242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4517       0.219201E-002            NaN  0.546072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4559       0.194302E-002            NaN  0.542180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4590       0.162230E-002            NaN  0.539390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4632       0.137771E-002            NaN  0.535381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4664       0.106444E-002            NaN  0.532511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4699       0.812247E-003            NaN  0.529301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4709       0.466156E-003            NaN  0.528639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4777       0.245736E-003            NaN  0.522037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4220       0.238927E-002            NaN  0.575587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.6565       0.195003E-002            NaN  0.341583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3667                 NaN            NaN  0.633314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4831       0.199273E-002            NaN  0.514862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3503                 NaN            NaN  0.649740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.6351                 NaN            NaN  0.364915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4948                 NaN            NaN  0.505178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4965                 NaN            NaN  0.503537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3382       0.444226E-001            NaN  0.617390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.6516                 NaN            NaN  0.348395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5017                 NaN            NaN  0.498255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5022                 NaN            NaN  0.497813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5065                 NaN            NaN  0.493533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5073                 NaN            NaN  0.492670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5077                 NaN            NaN  0.492277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5081                 NaN            NaN  0.491906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5135                 NaN            NaN  0.486500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5119                 NaN            NaN  0.488131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5775       0.223383E-002            NaN  0.420261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4484                 NaN            NaN  0.551627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4309                 NaN            NaN  0.569083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6988                 NaN            NaN  0.301165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4160                 NaN            NaN  0.583955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5627                 NaN            NaN  0.437311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4696                 NaN            NaN  0.530402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5140                 NaN            NaN  0.482993       0.301646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5021                 NaN            NaN  0.482309       0.155778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5020                 NaN            NaN  0.482530       0.155199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5033                 NaN            NaN  0.481257       0.154024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5036                 NaN            NaN  0.481040       0.153579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5018                 NaN            NaN  0.482824       0.153837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5014                 NaN            NaN  0.483241       0.153470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5008                 NaN            NaN  0.483923       0.152962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4999                 NaN            NaN  0.484866       0.152800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4984                 NaN            NaN  0.486334       0.152648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4984                 NaN            NaN  0.486450       0.151904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4943                 NaN            NaN  0.490407       0.152553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4974                 NaN            NaN  0.487574       0.150755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4935                 NaN            NaN  0.491333       0.151352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4936                 NaN            NaN  0.491384       0.150455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4897                 NaN            NaN  0.495176       0.151009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4890                 NaN            NaN  0.495926       0.150391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4858                 NaN            NaN  0.499130       0.150768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4880                 NaN            NaN  0.497109       0.148801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.6161                 NaN            NaN  0.372571       0.113622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3525                 NaN            NaN  0.628984       0.184721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4770                 NaN            NaN  0.508028       0.149598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4783                 NaN            NaN  0.506887       0.148385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4748                 NaN            NaN  0.510361       0.148184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4719                 NaN            NaN  0.513276       0.148051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4666                 NaN            NaN  0.518514       0.148464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4711                 NaN            NaN  0.514265       0.146470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4626                 NaN            NaN  0.522652       0.147705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4640                 NaN            NaN  0.521392       0.146435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4584                 NaN            NaN  0.526876       0.147173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4553                 NaN            NaN  0.529994       0.147122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        98.8101                 NaN            NaN   1.15808       0.318620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.9948                 NaN            NaN            NaN  0.523559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.5505                 NaN            NaN  0.442458       0.705683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        98.8853                 NaN            NaN   1.08554       0.291541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4371                 NaN            NaN  0.548367       0.145342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4314                 NaN            NaN  0.554021       0.145813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4276                 NaN            NaN  0.557818       0.145948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4274                 NaN            NaN  0.558158       0.144674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4302                 NaN            NaN  0.555504       0.143116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4080                 NaN            NaN  0.577234       0.147581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4151                 NaN            NaN  0.570402       0.144783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4105                 NaN            NaN  0.574982       0.144823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4068                 NaN            NaN  0.578667       0.144932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4031                 NaN            NaN  0.582419       0.144448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3993                 NaN            NaN  0.586289       0.144426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2637                 NaN            NaN  0.721907       0.143964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.5217                 NaN            NaN  0.463822       0.144328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3862                 NaN            NaN  0.599399       0.144384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3850                 NaN            NaN  0.600654       0.143747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3789                 NaN            NaN  0.606656       0.144176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3850                 NaN            NaN  0.600801       0.141976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3609                 NaN            NaN  0.624468       0.146406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3661                 NaN            NaN  0.619436       0.144286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3654                 NaN            NaN  0.620280       0.143622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3586                 NaN            NaN  0.626975       0.144545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3579                 NaN            NaN  0.627773       0.143443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3530                 NaN            NaN  0.632593       0.143741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.7830                 NaN            NaN   1.19027       0.267674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.9143                 NaN            NaN  0.837773E-001  0.187807E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3432                 NaN            NaN  0.642425       0.143652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3325                 NaN            NaN  0.652982       0.145102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3413                 NaN            NaN  0.644457       0.142694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3306                 NaN            NaN  0.654975       0.144140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3317                 NaN            NaN  0.654006       0.143289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        97.5566                 NaN            NaN  0.128902                 NaN   2.31447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.4639                 NaN            NaN  0.820472E-001            NaN   2.45406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        97.3575                 NaN            NaN  0.581737E-001            NaN   2.58434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.7276                 NaN            NaN  0.718000E-001            NaN   2.20058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.6299                 NaN            NaN  0.751776E-001            NaN   2.29490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.6641                 NaN            NaN  0.670594E-001            NaN   2.26880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.7560                 NaN            NaN  0.674381E-001            NaN   2.17660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.7831                 NaN            NaN  0.653714E-001            NaN   2.15148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.8263                 NaN            NaN  0.621546E-001            NaN   2.11152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        97.8722                 NaN            NaN  0.591853E-001            NaN   2.06857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        97.9122                 NaN            NaN  0.564483E-001            NaN   2.03134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        97.9595                 NaN            NaN  0.549845E-001            NaN   1.98556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.9970                 NaN            NaN  0.517186E-001            NaN   1.95133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0290                 NaN            NaN  0.202196E-001            NaN   1.95081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0762                 NaN            NaN  0.736014E-001            NaN   1.85018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.1083                 NaN            NaN  0.451031E-001            NaN   1.84662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.1459                 NaN            NaN  0.401723E-001            NaN   1.81393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.1782                 NaN            NaN  0.381981E-001            NaN   1.78361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        97.9132                 NaN            NaN  0.172543E-001            NaN   2.06956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.5167                 NaN            NaN  0.302950E-001            NaN   1.45304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2745                 NaN            NaN  0.303772E-001            NaN   1.69516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        96.4985                 NaN            NaN  0.298195E-001            NaN   3.47166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.9940                 NaN            NaN  0.112627E-005            NaN  0.603821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5235                 NaN            NaN  0.238142E-001            NaN   1.45267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4737                 NaN            NaN  0.308158E-002            NaN   1.52322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.3360                 NaN            NaN  0.316287E-001            NaN   1.63240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4408                 NaN            NaN  0.154292E-001            NaN   1.54373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.1818                 NaN            NaN  0.766845E-002            NaN  0.810551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        97.7752                 NaN            NaN  0.136346E-001            NaN   2.21113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5158                 NaN            NaN  0.776417E-002            NaN   1.47639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5367                 NaN            NaN  0.476720E-002            NaN   1.45850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5578                 NaN            NaN  0.989336E-002            NaN   1.43231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5849                 NaN            NaN  0.384474E-001            NaN   1.37668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6017                 NaN            NaN            NaN            NaN   1.39832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6245                 NaN            NaN            NaN            NaN   1.37552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6461                 NaN            NaN  0.993080E-002            NaN   1.34402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6683                 NaN            NaN  0.375393E-001            NaN   1.29413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6866                 NaN            NaN  0.967856E-002            NaN   1.30374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6989                 NaN            NaN  0.345933E-003            NaN   1.30079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7176                 NaN            NaN  0.152479E-003            NaN   1.28227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7288                 NaN            NaN            NaN            NaN   1.27119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7558                 NaN            NaN            NaN            NaN   1.24420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7674                 NaN            NaN            NaN            NaN   1.23262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7857                 NaN            NaN            NaN            NaN   1.21430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8034                 NaN            NaN            NaN            NaN   1.19659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8204                 NaN            NaN            NaN            NaN   1.17957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8324                 NaN            NaN            NaN            NaN   1.16755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8494                 NaN            NaN            NaN            NaN   1.15061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8626                 NaN            NaN            NaN            NaN   1.13741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
