|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/T13/T13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        q              ilm           
  1909.77        500.000        99.4834       0.128558E-002            NaN  0.515269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5209       0.858505E-003            NaN  0.478192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.4746       0.119214E-002            NaN  0.524169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4781       0.107866E-002            NaN  0.520841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4988       0.854399E-003            NaN  0.500348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5026       0.757264E-003            NaN  0.496627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.5055       0.632197E-003            NaN  0.493900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.5094       0.536824E-003            NaN  0.490073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.5123       0.414713E-003            NaN  0.487276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5155       0.316420E-003            NaN  0.484185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5164       0.181576E-003            NaN  0.483425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.5227       0.957078E-004            NaN  0.477209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4731       0.930483E-003            NaN  0.525968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.6872       0.759217E-003            NaN  0.312037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4216                 NaN            NaN  0.578432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.5292       0.775748E-003            NaN  0.469990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4071                 NaN            NaN  0.592862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.6671                 NaN            NaN  0.332860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.5393                 NaN            NaN  0.460738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.5410                 NaN            NaN  0.459019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4201       0.172843E-001            NaN  0.562649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.6827                 NaN            NaN  0.317285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5464                 NaN            NaN  0.453637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5469                 NaN            NaN  0.453108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5510                 NaN            NaN  0.448991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5519                 NaN            NaN  0.448130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5525                 NaN            NaN  0.447487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5529                 NaN            NaN  0.447069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5580                 NaN            NaN  0.442040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5566                 NaN            NaN  0.443433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.6178       0.867652E-003            NaN  0.381370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4993                 NaN            NaN  0.500681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4837                 NaN            NaN  0.516311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.7270                 NaN            NaN  0.273030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4707                 NaN            NaN  0.529317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.6036                 NaN            NaN  0.396418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5198                 NaN            NaN  0.480222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5607                 NaN            NaN  0.437260       0.199498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5533                 NaN            NaN  0.436419       0.102970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5533                 NaN            NaN  0.436410       0.102500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5548                 NaN            NaN  0.434992       0.101681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5552                 NaN            NaN  0.434632       0.101362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5538                 NaN            NaN  0.436033       0.101498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5536                 NaN            NaN  0.436250       0.101216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5533                 NaN            NaN  0.436633       0.100823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5526                 NaN            NaN  0.437309       0.100679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5515                 NaN            NaN  0.438404       0.100531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5517                 NaN            NaN  0.438301       0.999901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5484                 NaN            NaN  0.441539       0.100370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5512                 NaN            NaN  0.438903       0.991512E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5480                 NaN            NaN  0.442021       0.994908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5482                 NaN            NaN  0.441889       0.988612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5451                 NaN            NaN  0.444953       0.991776E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5447                 NaN            NaN  0.445427       0.987271E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5419                 NaN            NaN  0.448174       0.989305E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5441                 NaN            NaN  0.446100       0.975825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.6584                 NaN            NaN  0.334127       0.745860E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4240                 NaN            NaN  0.563872       0.121023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.5351                 NaN            NaN  0.455151       0.979666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5364                 NaN            NaN  0.453917       0.971462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.5336                 NaN            NaN  0.456690       0.969058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5312                 NaN            NaN  0.459087       0.967863E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.5269                 NaN            NaN  0.463422       0.969761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.5309                 NaN            NaN  0.459514       0.956998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.5236                 NaN            NaN  0.466757       0.964088E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5252                 NaN            NaN  0.465279       0.955842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.5205                 NaN            NaN  0.469928       0.960320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.5179                 NaN            NaN  0.472508       0.959516E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        98.9467                 NaN            NaN   1.03250       0.208375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.9966                 NaN            NaN            NaN  0.340484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.6017                 NaN            NaN  0.393660       0.459418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.0155                 NaN            NaN  0.965547       0.189813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.5035                 NaN            NaN  0.487099       0.944768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4988                 NaN            NaN  0.491726       0.947266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4956                 NaN            NaN  0.494897       0.947933E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4957                 NaN            NaN  0.494861       0.938968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4986                 NaN            NaN  0.492120       0.928404E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4793                 NaN            NaN  0.511096       0.956997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4859                 NaN            NaN  0.504718       0.938329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4822                 NaN            NaN  0.508428       0.938107E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4792                 NaN            NaN  0.511433       0.938636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4763                 NaN            NaN  0.514320       0.934452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4732                 NaN            NaN  0.517422       0.933967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3541                 NaN            NaN  0.636631       0.931564E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.5820                 NaN            NaN  0.408686       0.931872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4628                 NaN            NaN  0.527887       0.931731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4621                 NaN            NaN  0.528634       0.927443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4572                 NaN            NaN  0.533489       0.929646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4628                 NaN            NaN  0.528045       0.915044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4423                 NaN            NaN  0.548292       0.942862E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4473                 NaN            NaN  0.543378       0.928666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4468                 NaN            NaN  0.543929       0.923780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4412                 NaN            NaN  0.549513       0.929833E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4411                 NaN            NaN  0.549679       0.921764E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4372                 NaN            NaN  0.553574       0.923013E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.9423                 NaN            NaN   1.04053       0.171858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.9257                 NaN            NaN  0.731303E-001  0.120323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4300                 NaN            NaN  0.560819       0.920882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.4209                 NaN            NaN  0.569843       0.929386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.4292                 NaN            NaN  0.561683       0.913720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.4204                 NaN            NaN  0.570371       0.922216E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4219                 NaN            NaN  0.568988       0.916133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        97.8386                 NaN            NaN  0.112320                 NaN   2.04906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.7566                 NaN            NaN  0.714643E-001            NaN   2.17195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        97.6590                 NaN            NaN  0.507069E-001            NaN   2.29029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.9919                 NaN            NaN  0.624753E-001            NaN   1.94563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.9063                 NaN            NaN  0.653908E-001            NaN   2.02830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.9371                 NaN            NaN  0.582756E-001            NaN   2.00458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        98.0193                 NaN            NaN  0.585940E-001            NaN   1.92210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        98.0442                 NaN            NaN  0.567650E-001            NaN   1.89904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.0831                 NaN            NaN  0.539411E-001            NaN   1.86296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.1244                 NaN            NaN  0.513356E-001            NaN   1.82423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.1605                 NaN            NaN  0.489307E-001            NaN   1.79059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.2028                 NaN            NaN  0.476438E-001            NaN   1.74957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.2366                 NaN            NaN  0.447887E-001            NaN   1.71863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2649                 NaN            NaN  0.175021E-001            NaN   1.71760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.3082                 NaN            NaN  0.636740E-001            NaN   1.62814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.3367                 NaN            NaN  0.390007E-001            NaN   1.62432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.3705                 NaN            NaN  0.347101E-001            NaN   1.59478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.3995                 NaN            NaN  0.329923E-001            NaN   1.56751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.1657                 NaN            NaN  0.148923E-001            NaN   1.81941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.6984                 NaN            NaN  0.261277E-001            NaN   1.27546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4859                 NaN            NaN  0.261950E-001            NaN   1.48795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        96.9200                 NaN            NaN  0.257892E-001            NaN   3.05421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.9947                 NaN            NaN  0.967638E-006            NaN  0.528453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.7065                 NaN            NaN  0.204886E-001            NaN   1.27305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6623                 NaN            NaN  0.265236E-002            NaN   1.33505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.5428                 NaN            NaN  0.271997E-001            NaN   1.43004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6352                 NaN            NaN  0.132588E-001            NaN   1.35151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.2846                 NaN            NaN  0.658134E-002            NaN  0.708853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.0521                 NaN            NaN  0.117157E-001            NaN   1.93622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7023                 NaN            NaN  0.666179E-002            NaN   1.29100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7210                 NaN            NaN  0.408823E-002            NaN   1.27489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7400                 NaN            NaN  0.847999E-002            NaN   1.25154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7646                 NaN            NaN  0.329282E-001            NaN   1.20243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7791                 NaN            NaN            NaN            NaN   1.22094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7996                 NaN            NaN            NaN            NaN   1.20037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8191                 NaN            NaN  0.849628E-002            NaN   1.17242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8394                 NaN            NaN  0.320824E-001            NaN   1.12850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8553                 NaN            NaN  0.826663E-002            NaN   1.13641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8663                 NaN            NaN  0.295195E-003            NaN   1.13339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8832                 NaN            NaN  0.130080E-003            NaN   1.11664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8933                 NaN            NaN            NaN            NaN   1.10673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9172                 NaN            NaN            NaN            NaN   1.08282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9274                 NaN            NaN            NaN            NaN   1.07259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9439                 NaN            NaN            NaN            NaN   1.05606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9599                 NaN            NaN            NaN            NaN   1.04007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9751                 NaN            NaN            NaN            NaN   1.02486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9861                 NaN            NaN            NaN            NaN   1.01393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0012                 NaN            NaN            NaN            NaN  0.998764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0130                 NaN            NaN            NaN            NaN  0.987046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
