|6.6.6
Archiving\03_Data\eqfracLP/QFM/TAY13/TAY13_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1345.41        500.000        99.1638                 NaN  0.120038       0.180997       0.257249       0.277948                 NaN            NaN            NaN            NaN            NaN
  1344.03        500.000        99.1736                 NaN  0.120381       0.254742       0.176277       0.274981                 NaN            NaN            NaN            NaN            NaN
  1342.65        500.000        99.1838                 NaN  0.120399       0.252027       0.172161       0.271644                 NaN            NaN            NaN            NaN            NaN
  1341.27        500.000        99.1862                 NaN  0.122521       0.252293       0.167471       0.271525                 NaN            NaN            NaN            NaN            NaN
  1339.89        500.000        99.2086                 NaN  0.120001       0.162595       0.245391       0.263458                 NaN            NaN            NaN            NaN            NaN
  1338.51        500.000        99.2129                 NaN  0.120566       0.244813       0.159520       0.262226                 NaN            NaN            NaN            NaN            NaN
  1337.12        500.000        99.2654                 NaN  0.193680       0.280882                 NaN  0.260002                 NaN            NaN            NaN            NaN            NaN
  1335.74        500.000        99.1887                 NaN  0.491588E-001  0.304638       0.201352       0.256198                 NaN            NaN            NaN            NaN            NaN
  1334.36        500.000        99.2388                 NaN  0.121349       0.147516       0.238187       0.254145                 NaN            NaN            NaN            NaN            NaN
  1332.98        500.000        99.2476                 NaN  0.121569       0.236031       0.143465       0.251329                 NaN            NaN            NaN            NaN            NaN
  1331.60        500.000        99.2559                 NaN  0.121805       0.233887       0.139595       0.248818                 NaN            NaN            NaN            NaN            NaN
  1330.22        500.000        99.2644                 NaN  0.121590       0.136233       0.231845       0.245895                 NaN            NaN            NaN            NaN            NaN
  1328.83        500.000        99.2659                 NaN  0.122854       0.231443       0.133998       0.245790                 NaN            NaN            NaN            NaN            NaN
  1327.45        500.000        99.2855                 NaN  0.121649       0.226622       0.127139       0.239111                 NaN            NaN            NaN            NaN            NaN
  1326.07        500.000        99.2900                 NaN  0.119966       0.128057       0.224722       0.237251                 NaN            NaN            NaN            NaN            NaN
  1324.69        500.000        99.2947                 NaN  0.121944       0.223721       0.123313       0.236348                 NaN            NaN            NaN            NaN            NaN
  1323.31        500.000        99.3060                 NaN  0.120688       0.220977       0.120012       0.232281                 NaN            NaN            NaN            NaN            NaN
  1321.93        500.000        99.3115                 NaN  0.121027       0.219511       0.117300       0.230683                 NaN            NaN            NaN            NaN            NaN
  1320.54        500.000        99.3160                 NaN  0.121579       0.114581       0.218283       0.229523                 NaN            NaN            NaN            NaN            NaN
  1319.16        500.000        99.3304                 NaN  0.119805       0.215070       0.110605       0.224137                 NaN            NaN            NaN            NaN            NaN
  1317.78        500.000        99.3335                 NaN  0.120133       0.213767       0.109224       0.223389                 NaN            NaN            NaN            NaN            NaN
  1316.40        500.000        99.3405                 NaN  0.119789       0.106683       0.212073       0.221001                 NaN            NaN            NaN            NaN            NaN
  1315.02        500.000        99.3474                 NaN  0.119228       0.210062       0.104592       0.218677                 NaN            NaN            NaN            NaN            NaN
  1313.64        500.000        99.3541                 NaN  0.121036       0.208636       0.991107E-001  0.217121                 NaN            NaN            NaN            NaN            NaN
  1312.25        500.000        99.3622                 NaN  0.116876       0.205732       0.101894       0.213317                 NaN            NaN            NaN            NaN            NaN
  1310.87        500.000        99.3677                 NaN  0.118098       0.204577       0.976847E-001  0.211922                 NaN            NaN            NaN            NaN            NaN
  1309.49        500.000        99.3746                 NaN  0.117605       0.202684       0.954660E-001  0.209630                 NaN            NaN            NaN            NaN            NaN
  1308.11        500.000        99.3807                 NaN  0.117019       0.200905       0.938737E-001  0.207546                 NaN            NaN            NaN            NaN            NaN
  1306.73        500.000        99.3858                 NaN  0.116694       0.922194E-001  0.199493       0.205810                 NaN            NaN            NaN            NaN            NaN
  1305.35        500.000        99.3939                 NaN  0.115352       0.197202       0.905505E-001  0.202957                 NaN            NaN            NaN            NaN            NaN
  1303.96        500.000        99.3994                 NaN  0.115246       0.195633       0.885578E-001  0.201186                 NaN            NaN            NaN            NaN            NaN
  1302.58        500.000        99.4053                 NaN  0.114240       0.874928E-001  0.193921       0.199085                 NaN            NaN            NaN            NaN            NaN
  1301.20        500.000        99.4111                 NaN  0.113627       0.859886E-001  0.192178       0.197099                 NaN            NaN            NaN            NaN            NaN
  1299.82        500.000        99.4171                 NaN  0.112953       0.842870E-001  0.190586       0.195109                 NaN            NaN            NaN            NaN            NaN
  1298.44        500.000        99.4223                 NaN  0.111770       0.839985E-001  0.188773       0.193122                 NaN            NaN            NaN            NaN            NaN
  1297.06        500.000        99.4281                 NaN  0.111010       0.186982       0.827766E-001  0.191144                 NaN            NaN            NaN            NaN            NaN
  1295.67        500.000        99.4337                 NaN  0.110115       0.185377       0.815946E-001  0.189198                 NaN            NaN            NaN            NaN            NaN
  1294.29        500.000        99.4392                 NaN  0.109263       0.805597E-001  0.183672       0.187266                 NaN            NaN            NaN            NaN            NaN
  1292.91        500.000        99.4448                 NaN  0.108323       0.181937       0.796117E-001  0.185305                 NaN            NaN            NaN            NaN            NaN
  1291.53        500.000        99.4501                 NaN  0.107306       0.180261       0.789194E-001  0.183461                 NaN            NaN            NaN            NaN            NaN
  1290.15        500.000        99.4555                 NaN  0.106644       0.178679       0.775510E-001  0.181652                 NaN            NaN            NaN            NaN            NaN
  1288.77        500.000        99.4604                 NaN  0.105072       0.778381E-001  0.176958       0.179712                 NaN            NaN            NaN            NaN            NaN
  1287.38        500.000        99.4653                 NaN  0.104131       0.772684E-001  0.175257       0.178010                 NaN            NaN            NaN            NaN            NaN
  1286.00        500.000        99.4708                 NaN  0.105119       0.174181       0.732953E-001  0.176620                 NaN            NaN            NaN            NaN            NaN
  1284.62        500.000        99.4757                 NaN  0.100328       0.171278       0.787920E-001  0.173882                 NaN            NaN            NaN            NaN            NaN
  1283.24        500.000        99.4799                 NaN  0.100643       0.763508E-001  0.170301       0.172755                 NaN            NaN            NaN            NaN            NaN
  1281.86        500.000        99.4851                 NaN  0.995430E-001  0.757667E-001  0.168679       0.170942                 NaN            NaN            NaN            NaN            NaN
  1280.48        500.000        99.4890                 NaN  0.983150E-001  0.761176E-001  0.167070       0.169461                 NaN            NaN            NaN            NaN            NaN
  1279.09        500.000        99.4922                 NaN  0.974480E-001  0.166042       0.759894E-001  0.168308                 NaN            NaN            NaN            NaN            NaN
  1277.71        500.000        99.4997                 NaN  0.944482E-001  0.774808E-001  0.163055       0.165349                 NaN            NaN            NaN            NaN            NaN
  1276.33        500.000        99.5026                 NaN  0.942366E-001  0.162215       0.765045E-001  0.164433                 NaN            NaN            NaN            NaN            NaN
  1274.95        500.000        99.2065                 NaN  0.100590       0.117229       0.182475       0.195727       0.197434                 NaN            NaN            NaN            NaN
  1273.57        500.000        91.3453                 NaN  0.279709       0.741860        1.22648        1.05644        5.35017                 NaN            NaN            NaN            NaN
  1272.19        500.000        90.7664                 NaN  0.256897E-001  0.771977        1.58481        1.11760        5.62739       0.106090                 NaN            NaN            NaN
  1270.80        500.000        88.1451                 NaN            NaN   1.57745        1.21766        1.47476        7.15172       0.433325                 NaN            NaN            NaN
  1269.42        500.000        89.7103                 NaN            NaN   1.05946        1.36731        1.28831        6.19777       0.376883                 NaN            NaN            NaN
  1268.04        500.000        90.9164                 NaN            NaN  0.938661        1.20206        1.14400        5.46439       0.334527                 NaN            NaN            NaN
  1266.66        500.000        91.8731                 NaN            NaN  0.843749        1.06904        1.02908        4.88363       0.301443                 NaN            NaN            NaN
  1265.28        500.000        92.6552                 NaN            NaN  0.766207       0.958889       0.934785        4.40988       0.275078                 NaN            NaN            NaN
  1263.90        500.000        93.3043                 NaN            NaN  0.865718       0.702956       0.856370        4.01705       0.253651                 NaN            NaN            NaN
  1262.51        500.000        93.8475                 NaN            NaN  0.786655       0.650167       0.790241        3.68928       0.236114                 NaN            NaN            NaN
  1261.13        500.000        94.3116                 NaN            NaN  0.717741       0.605688       0.733619        3.40988       0.221475                 NaN            NaN            NaN
  1259.75        500.000        94.7115                 NaN            NaN  0.657406       0.567789       0.684457        3.16971       0.209111                 NaN            NaN            NaN
  1258.37        500.000        95.0589                 NaN            NaN  0.604418       0.534696       0.641663        2.96185       0.198515                 NaN            NaN            NaN
  1256.99        500.000        95.3652                 NaN            NaN  0.557347       0.506029       0.603618        2.77856       0.189210                 NaN            NaN            NaN
  1255.61        500.000        95.6349                 NaN            NaN  0.514723       0.481054       0.570028        2.61798       0.181344                 NaN            NaN            NaN
  1254.22        500.000        95.8775                 NaN            NaN  0.476765       0.458461       0.539530        2.47364       0.174065                 NaN            NaN            NaN
  1252.84        500.000        96.0971                 NaN            NaN  0.442039       0.438147       0.511796        2.34335       0.167602                 NaN            NaN            NaN
  1251.46        500.000        96.2927                 NaN            NaN  0.410047       0.420093       0.487040        2.22792       0.162167                 NaN            NaN            NaN
  1250.08        500.000        96.4719                 NaN            NaN  0.380776       0.403727       0.464024        2.12265       0.156949                 NaN            NaN            NaN
  1248.70        500.000        96.6334                 NaN            NaN  0.389040       0.354245       0.443177        2.02775       0.152362                 NaN            NaN            NaN
  1247.32        500.000        96.7823                 NaN            NaN  0.374537       0.329893       0.423997        1.94110       0.148148                 NaN            NaN            NaN
  1245.93        500.000        96.9246                 NaN            NaN  0.362057       0.307003       0.405220        1.85741       0.143718                 NaN            NaN            NaN
  1244.55        500.000        91.9206                 NaN            NaN  0.841526       0.921036        1.12421        4.81385       0.378571       0.181593E-003            NaN            NaN
  1243.17        500.000        99.9292                 NaN            NaN  0.482016E-001            NaN  0.836426E-002            NaN  0.142699E-001            NaN            NaN            NaN
  1241.79        500.000        98.5369                 NaN            NaN  0.171205       0.865072E-001  0.132292        1.02857       0.445450E-001            NaN            NaN            NaN
