|6.6.6
Archiving\03_Data\frac/QFM_m3/NWA1068/NWA1068_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1937.34        2500.00        99.1737       0.779001       0.473458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.1737       0.779000       0.473458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.1737       0.778999       0.473458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.1737       0.778999       0.473457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.1737       0.778998       0.473457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.1737       0.778997       0.473456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.1737       0.778997       0.473456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.1737       0.778996       0.473456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.1737       0.778995       0.473455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.1737       0.778995       0.473455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.1737       0.778994       0.473454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.1737       0.778993       0.473454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.1737       0.778992       0.473453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.1737       0.778990       0.473452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.1737       0.778991       0.473452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.1737       0.778990       0.473452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.1737       0.778989       0.473452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.1737       0.778989       0.473451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.1737       0.778988       0.473451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.1737       0.778987       0.473450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.1737       0.778986       0.473450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1737       0.778986       0.473449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.1737       0.778985       0.473449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.1737       0.778984       0.473448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.1737       0.778983       0.473448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.1737       0.778982       0.473447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.1737       0.778982       0.473447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.1737       0.778981       0.473446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.1737       0.778980       0.473446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.1737       0.778979       0.473445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.1737       0.778978       0.473445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.1737       0.778978       0.473444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.1737       0.778980       0.473446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.1737       0.778976       0.473443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.1737       0.778975       0.473443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.1737       0.778974       0.473442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.1737       0.778973       0.473442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.1737       0.778972       0.473441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.1737       0.778971       0.473441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.1737       0.778970       0.473440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.1737       0.778970       0.473439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.1737       0.778969       0.473439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.1737       0.778968       0.473438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.1737       0.778967       0.473438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.1737       0.778966       0.473437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.1737       0.778965       0.473437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.1737       0.778964       0.473436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.1737       0.778963       0.473435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.1737       0.778962       0.473435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.1737       0.778961       0.473434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.1737       0.778960       0.473434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.1737       0.778959       0.473433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.1737       0.778958       0.473432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.1737       0.778957       0.473432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.1737       0.778956       0.473431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.1737       0.778955       0.473431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.1737       0.778954       0.473430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.1737       0.778953       0.473429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.1737       0.778952       0.473429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.1737       0.778951       0.473428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.1737       0.778950       0.473427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.1737       0.778948       0.473427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.1737       0.778947       0.473426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.1737       0.778946       0.473425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.1737       0.778945       0.473425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.1737       0.778944       0.473424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.1737       0.778943       0.473423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.1737       0.778942       0.473423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.1737       0.778941       0.473422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.1737       0.778939       0.473421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.1737       0.778938       0.473420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.1737       0.778937       0.473420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.1737       0.778936       0.473419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.1737       0.778935       0.473418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.1737       0.778933       0.473417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.1737       0.778932       0.473417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.1737       0.778931       0.473416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.1737       0.778930       0.473415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.1737       0.778928       0.473414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.1737       0.778927       0.473414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.1737       0.778926       0.473413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.1737       0.778925       0.473412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.1737       0.778922       0.473411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.1737       0.778922       0.473411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.1737       0.778921       0.473410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.1737       0.778919       0.473409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.1737       0.778918       0.473408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.1737       0.778917       0.473407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.1737       0.778915       0.473406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.1737       0.778916       0.473407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.1737       0.778912       0.473405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.1737       0.778911       0.473404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.1738       0.778910       0.473403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.1738       0.778908       0.473402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.1738       0.778907       0.473401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.1738       0.778905       0.473400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.1725       0.778904       0.473399E-001  0.121842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.1737       0.778912       0.473404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1698       0.778910       0.473403E-001  0.398758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1613       0.778940       0.473421E-001  0.124074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.1613       0.779035       0.473479E-001  0.123627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.1612       0.779129       0.473537E-001  0.122711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.1612       0.779223       0.473594E-001  0.121681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1613       0.779316       0.473650E-001  0.120449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.1613       0.779409       0.473706E-001  0.119687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.1612       0.779500       0.473762E-001  0.118886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1613       0.779591       0.473817E-001  0.117427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.1613       0.779681       0.473872E-001  0.116690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.8348       0.779767       0.444022E-001  0.119883E-001  0.329056                 NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.9884                 NaN            NaN  0.116287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.9885                 NaN            NaN  0.115441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.9439                 NaN            NaN  0.114239E-001  0.446471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3962                 NaN            NaN  0.118948E-001  0.591953                 NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3948                 NaN            NaN  0.118726E-001  0.593305                 NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3934                 NaN            NaN  0.119367E-001  0.594682                 NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.0456                 NaN            NaN  0.186845E-001  0.935726                 NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.7509                 NaN            NaN  0.464295E-002  0.244455                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3999                 NaN            NaN  0.116516E-001  0.588419                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3969                 NaN            NaN  0.116883E-001  0.591421                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4006                 NaN            NaN  0.115837E-001  0.587775                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3967                 NaN            NaN  0.116236E-001  0.591649                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4041                 NaN            NaN  0.114786E-001  0.584445                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.4012                 NaN            NaN  0.114761E-001  0.587292                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4040                 NaN            NaN  0.114174E-001  0.584618                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.4048                 NaN            NaN  0.113989E-001  0.583761                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.4058                 NaN            NaN  0.113575E-001  0.582805                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.4079                 NaN            NaN  0.112648E-001  0.580805                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.8531                 NaN            NaN  0.219341E-001   1.12496                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.8734                 NaN            NaN  0.245851E-002  0.124094                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.5086                 NaN            NaN  0.909952E-002  0.482271                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4125                 NaN            NaN  0.111142E-001  0.576410                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.8555                 NaN            NaN  0.215752E-001   1.12293                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.8646                 NaN            NaN  0.229972E-002  0.133072                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.8229                 NaN            NaN  0.359101E-002  0.173491                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1426                 NaN            NaN  0.160965E-001  0.841310                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4223                 NaN            NaN  0.108613E-001  0.566791                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4256                 NaN            NaN  0.107450E-001  0.563666                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4300                 NaN            NaN  0.106652E-001  0.559343                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4292                 NaN            NaN  0.106791E-001  0.560074                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.4340                 NaN            NaN  0.105763E-001  0.555395                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.4358                 NaN            NaN  0.105248E-001  0.553693                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.4378                 NaN            NaN  0.104802E-001  0.551766                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.4396                 NaN            NaN  0.104198E-001  0.549957                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.4440                 NaN            NaN  0.103443E-001  0.545705                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.4457                 NaN            NaN  0.103055E-001  0.544012                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.4481                 NaN            NaN  0.102340E-001  0.541683                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.4517                 NaN            NaN  0.101804E-001  0.538156                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.4526                 NaN            NaN  0.101642E-001  0.537225                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.4591                 NaN            NaN  0.100261E-001  0.530853                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.4698                 NaN            NaN  0.982004E-002  0.520395                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4537                 NaN            NaN  0.100979E-001  0.536200                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.4661                 NaN            NaN  0.986946E-002  0.524066                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.3813                 NaN            NaN  0.114260E-001  0.607226                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.7153                 NaN            NaN  0.525804E-002  0.279420                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.3191                 NaN            NaN  0.125620E-001  0.668309                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.4778                 NaN            NaN  0.961090E-002  0.512637                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.4805                 NaN            NaN  0.957221E-002  0.509964                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4854                 NaN            NaN  0.946217E-002  0.505137                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.4871                 NaN            NaN  0.944405E-002  0.503421                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.4916                 NaN            NaN  0.934613E-002  0.499034                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.3930                 NaN            NaN  0.111255E-001  0.595846                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.7674                 NaN            NaN  0.425119E-002  0.228334                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.3322                 NaN            NaN  0.122493E-001  0.655544                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.5037                 NaN            NaN  0.908838E-002  0.487198                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.4373                 NaN            NaN  0.103202E-001  0.552410                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.6521                 NaN            NaN  0.636362E-002  0.341520                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.4407                 NaN            NaN  0.102135E-001  0.549095                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.1453                 NaN            NaN  0.155633E-001  0.839180                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.8949                 NaN            NaN  0.190290E-002  0.103229                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.4021                 NaN            NaN  0.921984E-002  0.377138       0.211537                 NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        98.7907                 NaN            NaN  0.115565E-001            NaN   1.19771                 NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.7874                 NaN            NaN  0.113690E-001            NaN   1.20121                 NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        98.7810                 NaN            NaN  0.111858E-001            NaN   1.20780                 NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        98.7744                 NaN            NaN  0.109754E-001            NaN   1.21461                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.7583                 NaN            NaN  0.107844E-001            NaN   1.23091                 NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        98.7437                 NaN            NaN  0.105516E-001            NaN   1.24576                 NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        98.7243                 NaN            NaN  0.103048E-001            NaN   1.26538                 NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.6923                 NaN            NaN  0.100389E-001            NaN   1.29768                 NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        98.6408                 NaN            NaN  0.963116E-002            NaN   1.34953                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.3274                 NaN            NaN  0.624841E-002            NaN  0.696759       0.969624                 NaN            NaN            NaN            NaN
  1486.22        2500.00        98.2439                 NaN            NaN  0.484580E-002  0.129940E-005   1.30378       0.447470                 NaN            NaN            NaN            NaN
  1483.71        2500.00        98.2675                 NaN            NaN  0.460954E-002            NaN  0.447546        1.28036                 NaN            NaN            NaN            NaN
  1481.20        2500.00        98.2907                 NaN            NaN  0.437424E-002  0.125393E-005   1.25855       0.446403                 NaN            NaN            NaN            NaN
  1478.70        2500.00        98.3148                 NaN            NaN  0.412269E-002            NaN   1.23659       0.444532                 NaN            NaN            NaN            NaN
  1476.19        2500.00        98.3353                 NaN            NaN  0.391685E-002            NaN  0.444236        1.21650                 NaN            NaN            NaN            NaN
  1473.68        2500.00        98.3560                 NaN            NaN  0.369515E-002            NaN   1.19914       0.441174                 NaN            NaN            NaN            NaN
  1471.18        2500.00        98.3760                 NaN            NaN  0.345341E-002            NaN  0.437486        1.18306                 NaN            NaN            NaN            NaN
  1468.67        2500.00        98.3965                 NaN            NaN  0.324902E-002            NaN   1.16092       0.439283                 NaN            NaN            NaN            NaN
  1466.17        2500.00        98.4193                 NaN            NaN  0.296810E-002  0.276514E-001  0.385395        1.16465                 NaN            NaN            NaN            NaN
  1463.66        2500.00        98.4489                 NaN            NaN  0.243227E-002  0.121223       0.207805        1.21961                 NaN            NaN            NaN            NaN
  1461.15        2500.00        98.4663                 NaN            NaN  0.226302E-002  0.117099        1.19903       0.215291                 NaN            NaN            NaN            NaN
  1458.65        2500.00        98.4792                 NaN            NaN  0.210043E-002  0.112536       0.223909        1.18228                 NaN            NaN            NaN            NaN
  1456.14        2500.00        98.5050                 NaN            NaN  0.191883E-002  0.109573       0.225582        1.15792                 NaN            NaN            NaN            NaN
  1453.63        2500.00        98.5160                 NaN            NaN  0.176899E-002  0.105259       0.234931        1.14206                 NaN            NaN            NaN            NaN
  1451.13        2500.00        98.5314                 NaN            NaN  0.160855E-002  0.101404        1.12567       0.239906                 NaN            NaN            NaN            NaN
