|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/WD94/WD94_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1447.31        500.000        98.9419                 NaN  0.324036       0.734098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.83        500.000        98.9535                 NaN  0.319731       0.726723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.34        500.000        98.9609                 NaN  0.316282       0.722771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.85        500.000        98.9694                 NaN  0.312186       0.718393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        98.9771                 NaN  0.309682       0.713180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.88        500.000        98.9645                 NaN  0.121261       0.677982       0.236263                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.40        500.000        98.9566                 NaN            NaN  0.653484       0.389948                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.91        500.000        99.0010       0.165179E-005  0.298631       0.700390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.42        500.000        99.0095       0.182699E-005  0.296603       0.693882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.94        500.000        98.9202       0.116270E-005            NaN  0.474101       0.605684                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.45        500.000        98.9919                 NaN            NaN  0.632005       0.376139                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.97        500.000        98.9936                 NaN            NaN  0.631933       0.374485                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.48        500.000        99.0020       0.133462E-005            NaN  0.370291       0.627712                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.99        500.000        99.0087                 NaN            NaN  0.368755       0.622561                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.51        500.000        99.0144                 NaN            NaN  0.365198       0.620440                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.02        500.000        99.0219                 NaN            NaN  0.615667       0.362476                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.54        500.000        99.0276                 NaN            NaN  0.360157       0.612196                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.05        500.000        99.0347       0.113980E-005            NaN  0.357200       0.608123                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.56        500.000        98.1492                 NaN            NaN  0.766512       0.706907       0.377408                 NaN            NaN            NaN            NaN            NaN
  1419.08        500.000        97.4148                 NaN            NaN  0.783957        1.10616       0.695077                 NaN            NaN            NaN            NaN            NaN
  1417.59        500.000        97.4636                 NaN            NaN   1.08518       0.769924       0.681312                 NaN            NaN            NaN            NaN            NaN
  1416.11        500.000        97.5125                 NaN            NaN   1.06433       0.755485       0.667715                 NaN            NaN            NaN            NaN            NaN
  1414.62        500.000        97.5575                 NaN            NaN  0.742131        1.04531       0.655103                 NaN            NaN            NaN            NaN            NaN
  1413.13        500.000        97.6020                 NaN            NaN   1.02583       0.729546       0.642624                 NaN            NaN            NaN            NaN            NaN
  1411.65        500.000        97.6426                 NaN            NaN  0.717384        1.00868       0.631349                 NaN            NaN            NaN            NaN            NaN
  1410.16        500.000        97.6856                 NaN            NaN  0.704840       0.990490       0.619034                 NaN            NaN            NaN            NaN            NaN
  1408.67        500.000        97.7251       0.175232E-005            NaN  0.693191       0.973805       0.607915                 NaN            NaN            NaN            NaN            NaN
  1407.19        500.000        97.7607                 NaN            NaN  0.682978       0.958642       0.597683                 NaN            NaN            NaN            NaN            NaN
  1405.70        500.000        97.7981       0.499395E-001            NaN  0.874285       0.683555       0.594083                 NaN            NaN            NaN            NaN            NaN
  1404.22        500.000        98.0176       0.487675                 NaN  0.896339                 NaN  0.598434                 NaN            NaN            NaN            NaN            NaN
  1402.73        500.000        97.6418       0.218161E-004            NaN   1.21970       0.515834       0.622690                 NaN            NaN            NaN            NaN            NaN
  1401.24        500.000        97.8961       0.150309                 NaN  0.695140       0.678998       0.579431                 NaN            NaN            NaN            NaN            NaN
  1399.76        500.000        97.9201       0.244997                 NaN  0.695267       0.554302       0.585367                 NaN            NaN            NaN            NaN            NaN
  1398.27        500.000        97.9517       0.248428                 NaN  0.686835       0.536199       0.576842                 NaN            NaN            NaN            NaN            NaN
  1396.79        500.000        97.9842       0.251820                 NaN  0.679091       0.516829       0.568027                 NaN            NaN            NaN            NaN            NaN
  1395.30        500.000        98.0141       0.254914                 NaN  0.671142       0.499920       0.559928                 NaN            NaN            NaN            NaN            NaN
  1393.81        500.000        98.0439       0.258220                 NaN  0.481835       0.664152       0.551864                 NaN            NaN            NaN            NaN            NaN
  1392.33        500.000        98.0683       0.262286                 NaN  0.465956       0.658225       0.545206                 NaN            NaN            NaN            NaN            NaN
  1390.84        500.000        98.1019       0.264905                 NaN  0.650253       0.446773       0.536146                 NaN            NaN            NaN            NaN            NaN
  1389.36        500.000        98.1267       0.268823                 NaN  0.430582       0.644239       0.529670                 NaN            NaN            NaN            NaN            NaN
  1387.87        500.000        98.1544       0.271982                 NaN  0.413641       0.637871       0.522063                 NaN            NaN            NaN            NaN            NaN
  1386.38        500.000        98.1750       0.275466                 NaN  0.632929       0.400236       0.516394                 NaN            NaN            NaN            NaN            NaN
  1384.90        500.000        98.2098       0.278041                 NaN  0.380731       0.624533       0.506881                 NaN            NaN            NaN            NaN            NaN
  1383.41        500.000        98.2294       0.282160                 NaN  0.366386       0.620408       0.501693                 NaN            NaN            NaN            NaN            NaN
  1381.93        500.000        98.2532       0.285547                 NaN  0.351478       0.614387       0.495382                 NaN            NaN            NaN            NaN            NaN
  1380.44        500.000        98.2767       0.289207                 NaN  0.335658       0.609358       0.489085                 NaN            NaN            NaN            NaN            NaN
  1378.95        500.000        98.2998       0.291763                 NaN  0.321898       0.604089       0.482487                 NaN            NaN            NaN            NaN            NaN
  1377.47        500.000        98.3212       0.295606                 NaN  0.599412       0.306946       0.476869                 NaN            NaN            NaN            NaN            NaN
  1375.98        500.000        98.3412       0.298999                 NaN  0.594661       0.293864       0.471252                 NaN            NaN            NaN            NaN            NaN
  1374.49        500.000        98.3624       0.302068                 NaN  0.590094       0.279898       0.465505                 NaN            NaN            NaN            NaN            NaN
  1373.01        500.000        98.3803       0.307134                 NaN  0.586925       0.264257       0.461405                 NaN            NaN            NaN            NaN            NaN
  1371.52        500.000        98.4085       0.306505                 NaN  0.252907       0.579565       0.452483                 NaN            NaN            NaN            NaN            NaN
  1370.04        500.000        98.4191       0.311874                 NaN  0.240574       0.578535       0.449876                 NaN            NaN            NaN            NaN            NaN
  1368.55        500.000        98.4425       0.314642                 NaN  0.573067       0.226182       0.443638                 NaN            NaN            NaN            NaN            NaN
  1367.06        500.000        98.4569       0.319114                 NaN  0.569305       0.214861       0.439783                 NaN            NaN            NaN            NaN            NaN
  1365.58        500.000        98.4822       0.319340                 NaN  0.563995       0.202067       0.432440                 NaN            NaN            NaN            NaN            NaN
  1364.09        500.000        98.4963       0.323673                 NaN  0.189504       0.561670       0.428807                 NaN            NaN            NaN            NaN            NaN
  1362.61        500.000        98.5144       0.326696                 NaN  0.177245       0.557718       0.423903                 NaN            NaN            NaN            NaN            NaN
  1361.12        500.000        98.5311       0.329143                 NaN  0.165996       0.554418       0.419335                 NaN            NaN            NaN            NaN            NaN
  1359.63        500.000        98.5481       0.331374                 NaN  0.550743       0.155387       0.414377                 NaN            NaN            NaN            NaN            NaN
  1358.15        500.000        98.5643       0.334385                 NaN  0.547429       0.143916       0.409944                 NaN            NaN            NaN            NaN            NaN
  1356.66        500.000        98.5799       0.336789                 NaN  0.133543       0.544148       0.405593                 NaN            NaN            NaN            NaN            NaN
  1355.18        500.000        98.5957       0.338937                 NaN  0.541210       0.123053       0.401117                 NaN            NaN            NaN            NaN            NaN
  1353.69        500.000        98.6118       0.341477                 NaN  0.112642       0.537393       0.396662                 NaN            NaN            NaN            NaN            NaN
  1352.20        500.000        98.6266       0.344274                 NaN  0.534364       0.101859       0.392882                 NaN            NaN            NaN            NaN            NaN
  1350.72        500.000        98.6434       0.345116                 NaN  0.531046       0.928193E-001  0.387665                 NaN            NaN            NaN            NaN            NaN
  1349.23        500.000        98.6551       0.348096                 NaN  0.837553E-001  0.528546       0.384462                 NaN            NaN            NaN            NaN            NaN
  1347.75        500.000        98.6701       0.348228                 NaN  0.764009E-001  0.525405       0.379862                 NaN            NaN            NaN            NaN            NaN
  1346.26        500.000        98.6843       0.350320                 NaN  0.671238E-001  0.522330       0.375898                 NaN            NaN            NaN            NaN            NaN
  1344.77        500.000        98.6972       0.352114                 NaN  0.589676E-001  0.519577       0.372174                 NaN            NaN            NaN            NaN            NaN
  1343.29        500.000        98.7112       0.353557                 NaN  0.504219E-001  0.516590       0.368191                 NaN            NaN            NaN            NaN            NaN
  1341.80        500.000        98.7243       0.354373                 NaN  0.435119E-001  0.513521       0.364288                 NaN            NaN            NaN            NaN            NaN
  1340.31        500.000        98.7139       0.360306                 NaN  0.519076       0.375303E-001  0.369161                 NaN            NaN            NaN            NaN            NaN
  1338.83        500.000        98.7698       0.351371                 NaN  0.504749       0.248329E-001  0.349248                 NaN            NaN            NaN            NaN            NaN
  1337.34        500.000        98.7628       0.356945                 NaN  0.220766E-001  0.505171       0.353002                 NaN            NaN            NaN            NaN            NaN
  1335.86        500.000        98.7721       0.357756                 NaN  0.502963       0.171083E-001  0.350058                 NaN            NaN            NaN            NaN            NaN
  1334.37        500.000        98.7876       0.356973                 NaN  0.498833       0.112881E-001  0.345322                 NaN            NaN            NaN            NaN            NaN
  1332.88        500.000        98.8004       0.358255                 NaN  0.496103       0.337877E-002  0.341825                 NaN            NaN            NaN            NaN            NaN
  1331.40        500.000        98.8105       0.357799                 NaN  0.493079                 NaN  0.338573                 NaN            NaN            NaN            NaN            NaN
  1329.91        500.000        98.8193       0.344238                 NaN  0.480923       0.212429E-001  0.334316                 NaN            NaN            NaN            NaN            NaN
  1328.43        500.000        98.8332       0.352243                 NaN  0.483476                 NaN  0.331096                 NaN            NaN            NaN            NaN            NaN
  1326.94        500.000        98.8399       0.350616                 NaN  0.481016                 NaN  0.328471                 NaN            NaN            NaN            NaN            NaN
  1325.45        500.000        98.8513       0.332055                 NaN  0.463808       0.297362E-001  0.323102                 NaN            NaN            NaN            NaN            NaN
  1323.97        500.000        98.8642       0.345022                 NaN  0.470075                 NaN  0.320666                 NaN            NaN            NaN            NaN            NaN
  1322.48        500.000        98.8741       0.342310                 NaN  0.466249                 NaN  0.317373                 NaN            NaN            NaN            NaN            NaN
  1321.00        500.000        98.8835       0.340146                 NaN  0.462271                 NaN  0.314086                 NaN            NaN            NaN            NaN            NaN
  1319.51        500.000        98.8899       0.340127                 NaN  0.458200                 NaN  0.311763                 NaN            NaN            NaN            NaN            NaN
  1318.02        500.000        98.9057       0.333704                 NaN  0.453795                 NaN  0.306789                 NaN            NaN            NaN            NaN            NaN
  1316.54        500.000        98.9128       0.332565                 NaN  0.450347                 NaN  0.304294                 NaN            NaN            NaN            NaN            NaN
  1315.05        500.000        98.9173       0.303202                 NaN  0.429737       0.499516E-001  0.299834                 NaN            NaN            NaN            NaN            NaN
  1313.57        500.000        98.9343       0.326432                 NaN  0.441962                 NaN  0.297265                 NaN            NaN            NaN            NaN            NaN
  1312.08        500.000        98.9422       0.324294                 NaN  0.438878                 NaN  0.294607                 NaN            NaN            NaN            NaN            NaN
  1310.59        500.000        98.9206       0.299921                 NaN  0.456366                 NaN  0.295448       0.276260E-001            NaN            NaN            NaN            NaN
  1309.11        500.000        98.7019       0.132506                 NaN  0.614395                 NaN  0.320912       0.230246                 NaN            NaN            NaN            NaN
  1307.62        500.000        98.7075       0.836084E-001            NaN  0.595863       0.613494E-001  0.314877       0.236781                 NaN            NaN            NaN            NaN
  1306.13        500.000        98.7092       0.443024E-001            NaN  0.172089       0.535281       0.310461       0.228628                 NaN            NaN            NaN            NaN
  1304.65        500.000        98.7146                 NaN            NaN  0.229083       0.516854       0.304967       0.234450                 NaN            NaN            NaN            NaN
  1303.16        500.000        98.7346       0.212594E-004            NaN  0.509044       0.224404       0.300582       0.231310                 NaN            NaN            NaN            NaN
  1301.68        500.000        98.7551       0.296281E-005            NaN  0.500737       0.219859       0.296186       0.228156                 NaN            NaN            NaN            NaN
  1300.19        500.000        98.7747       0.457337E-005            NaN  0.215876       0.492439       0.291928       0.225015                 NaN            NaN            NaN            NaN
  1298.70        500.000        98.7940                 NaN            NaN  0.484581       0.211843       0.287768       0.221779                 NaN            NaN            NaN            NaN
  1297.22        500.000        98.8145       0.501741E-002            NaN  0.477966       0.201058       0.283670       0.217746                 NaN            NaN            NaN            NaN
  1295.73        500.000        98.8321                 NaN            NaN  0.468813       0.204180       0.279415       0.215523                 NaN            NaN            NaN            NaN
  1294.25        500.000        98.8520                 NaN            NaN  0.460198       0.200519       0.275049       0.212210                 NaN            NaN            NaN            NaN
  1292.76        500.000        98.8698       0.634238E-005            NaN  0.196985       0.452628       0.271228       0.209316                 NaN            NaN            NaN            NaN
  1291.27        500.000        98.8876       0.121610E-005            NaN  0.445888       0.192315       0.267242       0.206910                 NaN            NaN            NaN            NaN
  1289.79        500.000        98.9059                 NaN            NaN  0.190295       0.437529       0.263262       0.202990                 NaN            NaN            NaN            NaN
  1288.30        500.000        98.9236                 NaN            NaN  0.430108       0.187056       0.259347       0.199844                 NaN            NaN            NaN            NaN
  1286.82        500.000        98.9405                 NaN            NaN  0.423228       0.183619       0.255632       0.196981                 NaN            NaN            NaN            NaN
  1285.33        500.000        98.9577       0.185507E-005            NaN  0.415819       0.180539       0.251832       0.194075                 NaN            NaN            NaN            NaN
  1283.84        500.000        98.9734                 NaN            NaN  0.409144       0.177977       0.248332       0.191129                 NaN            NaN            NaN            NaN
  1282.36        500.000        98.9911                 NaN            NaN  0.401443       0.175045       0.244439       0.187971                 NaN            NaN            NaN            NaN
  1280.87        500.000        99.0068                 NaN            NaN  0.394716       0.172635       0.240949       0.184857                 NaN            NaN            NaN            NaN
  1279.38        500.000        99.0224                 NaN            NaN  0.387608       0.170583       0.237516       0.181864                 NaN            NaN            NaN            NaN
  1277.90        500.000        99.0383                 NaN            NaN  0.380767       0.168018       0.233913       0.178953                 NaN            NaN            NaN            NaN
  1276.41        500.000        99.0548       0.118514E-005            NaN  0.164418       0.374476       0.230210       0.176049                 NaN            NaN            NaN            NaN
  1274.93        500.000        99.0694                 NaN            NaN  0.367971       0.162586       0.226952       0.173102                 NaN            NaN            NaN            NaN
  1273.44        500.000        99.0845                 NaN            NaN  0.361332       0.160433       0.223563       0.170180                 NaN            NaN            NaN            NaN
  1271.95        500.000        99.0993                 NaN            NaN  0.354969       0.158263       0.220261       0.167173                 NaN            NaN            NaN            NaN
  1270.47        500.000        99.1135                 NaN            NaN  0.156474       0.348639       0.217115       0.164267                 NaN            NaN            NaN            NaN
  1268.98        500.000        99.1280                 NaN            NaN  0.342670       0.153861       0.213679       0.161748                 NaN            NaN            NaN            NaN
  1267.50        500.000        99.1420                 NaN            NaN  0.336423       0.152280       0.210615       0.158728                 NaN            NaN            NaN            NaN
  1266.01        500.000        99.1556                 NaN            NaN  0.330189       0.150811       0.207531       0.155854                 NaN            NaN            NaN            NaN
  1264.52        500.000        99.1694                 NaN            NaN  0.148947       0.324295       0.204342       0.152977                 NaN            NaN            NaN            NaN
  1263.04        500.000        99.1829                 NaN            NaN  0.318557       0.146698       0.201348       0.150482                 NaN            NaN            NaN            NaN
  1261.55        500.000        99.1960                 NaN            NaN  0.312622       0.145625       0.198289       0.147486                 NaN            NaN            NaN            NaN
