|6.6.6
Archiving\03_Data\frac/QFM_m2.75/TAY13/TAY13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       mang           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1944.86        2500.00        99.7284                 NaN  0.263021       0.861438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.7283                 NaN  0.263036       0.861461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.7283                 NaN  0.263052       0.861485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.7283                 NaN  0.263067       0.861508E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.7283                 NaN  0.263082       0.861532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.7283                 NaN  0.263098       0.861555E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.7258                 NaN  0.263113       0.860711E-002  0.247658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.9983                 NaN            NaN            NaN  0.169861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.3684                 NaN            NaN            NaN  0.631588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3583                 NaN            NaN            NaN  0.641695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3619                 NaN            NaN            NaN  0.638133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3731                 NaN            NaN            NaN  0.626868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3724                 NaN            NaN            NaN  0.627574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.5024                 NaN            NaN            NaN  0.497642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.2495                 NaN            NaN            NaN  0.750464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3847                 NaN            NaN            NaN  0.615324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.2907                 NaN            NaN            NaN  0.709268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.5136                 NaN            NaN            NaN  0.486397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3668                 NaN            NaN            NaN  0.633230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3954                 NaN            NaN            NaN  0.604559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3990                 NaN            NaN            NaN  0.600965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4027                 NaN            NaN            NaN  0.597298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4033                 NaN            NaN            NaN  0.596669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4068                 NaN            NaN            NaN  0.593244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.2728                 NaN            NaN            NaN  0.727234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5510                 NaN            NaN            NaN  0.448988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4147                 NaN            NaN            NaN  0.585328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4130                 NaN            NaN            NaN  0.584054       0.290771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3271                 NaN            NaN            NaN  0.672036       0.841746E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.7392                 NaN            NaN            NaN  0.256238       0.454149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.1759                 NaN            NaN            NaN  0.809793       0.143420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4165                 NaN            NaN            NaN  0.573354       0.101504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.3780                 NaN            NaN            NaN  0.611133       0.108344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5998                 NaN            NaN            NaN  0.393279       0.696649E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.2756                 NaN            NaN            NaN  0.711802       0.126361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4206                 NaN            NaN            NaN  0.569241       0.101095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4210                 NaN            NaN            NaN  0.568855       0.101211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4264                 NaN            NaN            NaN  0.563670       0.996388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4258                 NaN            NaN            NaN  0.564272       0.996732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4252                 NaN            NaN            NaN  0.564766       0.100405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3869                 NaN            NaN            NaN  0.602498       0.106324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4744                 NaN            NaN            NaN  0.516479       0.911046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2480                 NaN            NaN            NaN  0.741602       0.103538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.6069                 NaN            NaN            NaN  0.383598       0.945431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4298                 NaN            NaN            NaN  0.560379       0.980170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4313                 NaN            NaN            NaN  0.558879       0.977878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4300                 NaN            NaN            NaN  0.560217       0.979631E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4315                 NaN            NaN            NaN  0.558728       0.973584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.3856                 NaN            NaN            NaN  0.603894       0.105087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4805                 NaN            NaN            NaN  0.510660       0.885097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4285                 NaN            NaN            NaN  0.561765       0.971482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4305                 NaN            NaN            NaN  0.559815       0.965581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.3734                 NaN            NaN            NaN  0.615982       0.105833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.6226       0.677186E-001            NaN            NaN  0.304639       0.501146E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.2093                 NaN            NaN            NaN  0.777340       0.133188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4276                 NaN            NaN            NaN  0.562777       0.959659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4312                 NaN            NaN            NaN  0.559388       0.946060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4293                 NaN            NaN            NaN  0.561230       0.944795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4276                 NaN            NaN            NaN  0.562977       0.945024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4252                 NaN            NaN            NaN  0.565390       0.943408E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4271                 NaN            NaN            NaN  0.563524       0.941479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4248                 NaN            NaN            NaN  0.565762       0.940425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4233                 NaN            NaN            NaN  0.567342       0.937804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4242                 NaN            NaN            NaN  0.566507       0.932812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4216                 NaN            NaN            NaN  0.569023       0.933558E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4205                 NaN            NaN            NaN  0.570233       0.931388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4195                 NaN            NaN            NaN  0.571172       0.928634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4175                 NaN            NaN            NaN  0.573226       0.927285E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4162                 NaN            NaN            NaN  0.574527       0.924303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4145                 NaN            NaN            NaN  0.576247       0.922318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4125                 NaN            NaN            NaN  0.578266       0.923142E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4115                 NaN            NaN            NaN  0.579287       0.918374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4085                 NaN            NaN            NaN  0.582323       0.919552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4076                 NaN            NaN            NaN  0.583262       0.916344E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4071                 NaN            NaN            NaN  0.583837       0.911146E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4039                 NaN            NaN            NaN  0.586934       0.912816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4017                 NaN            NaN            NaN  0.589159       0.910353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4443                 NaN            NaN            NaN  0.547232       0.843294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3547                 NaN            NaN            NaN  0.635578       0.972104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3948                 NaN            NaN            NaN  0.596101       0.905598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        98.9905                 NaN            NaN            NaN  0.994514       0.150280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.8029                 NaN            NaN            NaN  0.194240       0.290387E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3849                 NaN            NaN            NaN  0.605984       0.908506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3922                 NaN            NaN            NaN  0.598842       0.892000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3859                 NaN            NaN            NaN  0.605104       0.896730E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3842                 NaN            NaN            NaN  0.606785       0.896540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3833                 NaN            NaN            NaN  0.607780       0.892734E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3811                 NaN            NaN            NaN  0.610004       0.890905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3787                 NaN            NaN            NaN  0.612374       0.890408E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3727                 NaN            NaN            NaN  0.618378       0.894688E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3785                 NaN            NaN            NaN  0.612736       0.881396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3719                 NaN            NaN            NaN  0.619252       0.887790E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3738                 NaN            NaN            NaN  0.617393       0.880544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3703                 NaN            NaN            NaN  0.620875       0.882218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3691                 NaN            NaN            NaN  0.622082       0.880334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3677                 NaN            NaN            NaN  0.623512       0.879425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3654                 NaN            NaN            NaN  0.625786       0.879233E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3671                 NaN            NaN            NaN  0.624154       0.872676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3644                 NaN            NaN            NaN  0.626828       0.874456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3644                 NaN            NaN            NaN  0.626941       0.869760E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3627                 NaN            NaN            NaN  0.628649       0.869883E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3668                 NaN            NaN            NaN  0.624608       0.861931E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3550                 NaN            NaN            NaN  0.636233       0.871689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3625                 NaN            NaN            NaN  0.628897       0.861818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3583                 NaN            NaN            NaN  0.633045       0.862758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3712                 NaN            NaN            NaN  0.620326       0.846598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4971                 NaN            NaN            NaN  0.496188       0.675042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2055                 NaN            NaN            NaN  0.783866       0.106432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3703                 NaN            NaN            NaN  0.621331       0.839374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3002                 NaN            NaN            NaN  0.690316       0.950122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4248                 NaN            NaN            NaN  0.567695       0.747963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3617                 NaN            NaN            NaN  0.629808       0.851781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3660                 NaN            NaN            NaN  0.625589       0.841258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3677                 NaN            NaN            NaN  0.623944       0.840146E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3681                 NaN            NaN            NaN  0.623499       0.837943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3656                 NaN            NaN            NaN  0.625989       0.841498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.7938                 NaN            NaN            NaN   1.19015       0.160222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9224                 NaN            NaN            NaN  0.766435E-001  0.916996E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3993                 NaN            NaN            NaN  0.592744       0.793177E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3757                 NaN            NaN            NaN  0.615967       0.830334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3829                 NaN            NaN            NaN  0.608917       0.816217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3806                 NaN            NaN            NaN  0.611152       0.820989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.3837                 NaN            NaN            NaN  0.608135       0.817821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3871                 NaN            NaN            NaN  0.604795       0.812817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3882                 NaN            NaN            NaN  0.603689       0.810353E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3924                 NaN            NaN            NaN  0.599496       0.806406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3949                 NaN            NaN            NaN  0.597056       0.803509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.3992                 NaN            NaN            NaN  0.592838       0.799764E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.2190                 NaN            NaN            NaN  0.485332       0.433599E-002  0.291299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7213                 NaN            NaN            NaN  0.190464                 NaN   1.08825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7445                 NaN            NaN            NaN  0.186679                 NaN   1.06882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6583                 NaN            NaN            NaN  0.169562                 NaN   1.17218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.9022                 NaN            NaN            NaN  0.199358                 NaN  0.898486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8060                 NaN            NaN            NaN  0.175304                 NaN   1.01870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8263                 NaN            NaN            NaN  0.171536                 NaN   1.00212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8464                 NaN            NaN            NaN  0.171888                 NaN  0.981734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8686                 NaN            NaN            NaN  0.165600                 NaN  0.965836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8835                 NaN            NaN            NaN  0.161867                 NaN  0.954667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9005                 NaN            NaN            NaN  0.157415                 NaN  0.942103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9200                 NaN            NaN            NaN  0.156588                 NaN  0.923378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9370                 NaN            NaN            NaN  0.152726                 NaN  0.910234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9530                 NaN            NaN            NaN  0.150399                 NaN  0.896607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9693                 NaN            NaN            NaN  0.146980                 NaN  0.883731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9830                 NaN            NaN            NaN  0.142559                 NaN  0.874478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9977                 NaN            NaN            NaN  0.139810                 NaN  0.862482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0142                 NaN            NaN            NaN  0.135719                 NaN  0.850035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0305                 NaN            NaN            NaN  0.135591                 NaN  0.833887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0426                 NaN            NaN            NaN  0.133104                 NaN  0.824315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0592                 NaN            NaN            NaN  0.132297                 NaN  0.808484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0711                 NaN            NaN            NaN  0.127656                 NaN  0.801289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0753                 NaN            NaN            NaN  0.122320                 NaN  0.802421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0975                 NaN            NaN            NaN  0.117501                 NaN  0.785047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.1098                 NaN            NaN            NaN  0.118757                 NaN  0.771400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.1220                 NaN            NaN            NaN  0.116947                 NaN  0.761061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.1322                 NaN            NaN            NaN  0.114321                 NaN  0.753454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.1432                 NaN            NaN            NaN  0.112818                 NaN  0.744020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1538                 NaN            NaN            NaN  0.107271                 NaN  0.738951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1677                 NaN            NaN            NaN  0.107404                 NaN  0.724902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1769                 NaN            NaN            NaN  0.105161                 NaN  0.717901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1680                 NaN            NaN            NaN  0.928458E-001            NaN  0.739195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1960                 NaN            NaN            NaN  0.102439                 NaN  0.701607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
