|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1429.79        2500.00                 NaN   98.8318                 NaN            NaN  0.468552       0.440987       0.258622                 NaN            NaN            NaN            NaN
  1428.38        2500.00                 NaN   98.3236                 NaN            NaN  0.651664       0.492778       0.531918                 NaN            NaN            NaN            NaN
  1426.96        2500.00                 NaN   98.3506                 NaN            NaN  0.485643       0.640852       0.522923                 NaN            NaN            NaN            NaN
  1425.55        2500.00                 NaN   98.3762                 NaN            NaN  0.478293       0.631253       0.514273                 NaN            NaN            NaN            NaN
  1424.14        2500.00                 NaN   98.4035                 NaN            NaN  0.621537       0.469657       0.505349                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.4267       0.998513E-005            NaN  0.612445       0.463206       0.497597                 NaN            NaN            NaN            NaN
  1421.31        2500.00                 NaN   98.4142       0.130871                 NaN  0.515793       0.405769       0.533414                 NaN            NaN            NaN            NaN
  1419.89        2500.00                 NaN   98.4247       0.206430                 NaN  0.542441       0.277799       0.548652                 NaN            NaN            NaN            NaN
  1418.48        2500.00                 NaN   98.4491       0.205174                 NaN  0.269201       0.535923       0.540633                 NaN            NaN            NaN            NaN
  1417.07        2500.00                 NaN   98.4711       0.204580                 NaN  0.531464       0.259494       0.533372                 NaN            NaN            NaN            NaN
  1415.65        2500.00                 NaN   98.4939       0.203703                 NaN  0.526083       0.250510       0.525766                 NaN            NaN            NaN            NaN
  1414.24        2500.00                 NaN   98.5110       0.203405                 NaN  0.243072       0.522331       0.520193                 NaN            NaN            NaN            NaN
  1412.83        2500.00                 NaN   98.5404       0.201713                 NaN  0.514269       0.233325       0.510315                 NaN            NaN            NaN            NaN
  1411.41        2500.00                 NaN   98.5621       0.195013                 NaN  0.234982       0.506590       0.501317                 NaN            NaN            NaN            NaN
  1410.00        2500.00                 NaN   98.5781       0.205953                 NaN  0.207750       0.509162       0.498985                 NaN            NaN            NaN            NaN
  1408.58        2500.00                 NaN   98.6003       0.199207                 NaN  0.210072       0.500327       0.490130                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6198       0.198466                 NaN  0.201755       0.496352       0.483630                 NaN            NaN            NaN            NaN
  1405.76        2500.00                 NaN   98.6399       0.197301                 NaN  0.195602       0.490722       0.476518                 NaN            NaN            NaN            NaN
  1404.34        2500.00                 NaN   98.6575       0.196420                 NaN  0.487626       0.187901       0.470575                 NaN            NaN            NaN            NaN
  1402.93        2500.00                 NaN   98.6743       0.196151                 NaN  0.484367       0.180064       0.465167                 NaN            NaN            NaN            NaN
  1401.51        2500.00                 NaN   98.6958       0.194131                 NaN  0.174052       0.478512       0.457500                 NaN            NaN            NaN            NaN
  1400.10        2500.00                 NaN   98.7097       0.194336                 NaN  0.475109       0.167521       0.453310                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.7300       0.192130                 NaN  0.471532       0.160666       0.445636                 NaN            NaN            NaN            NaN
  1397.27        2500.00                 NaN   98.7446       0.191731                 NaN  0.468246       0.154650       0.440769                 NaN            NaN            NaN            NaN
  1395.86        2500.00                 NaN   98.7598       0.190799                 NaN  0.148349       0.465555       0.435456                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7734       0.190961                 NaN  0.463025       0.141122       0.431470                 NaN            NaN            NaN            NaN
  1393.03        2500.00                 NaN   98.7954       0.187290                 NaN  0.457270       0.137510       0.422521                 NaN            NaN            NaN            NaN
  1391.62        2500.00                 NaN   98.8075       0.187597                 NaN  0.130660       0.455307       0.418973                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.8219       0.186653                 NaN  0.124868       0.452484       0.414050                 NaN            NaN            NaN            NaN
  1388.79        2500.00                 NaN   98.8359       0.185823                 NaN  0.450543       0.118564       0.409125                 NaN            NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.8518       0.183887                 NaN  0.445731       0.115232       0.403328                 NaN            NaN            NaN            NaN
  1385.96        2500.00                 NaN   98.8636       0.182744                 NaN  0.441147       0.113283       0.399231                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.8795       0.182371                 NaN  0.439795       0.104648       0.393672                 NaN            NaN            NaN            NaN
  1383.14        2500.00                 NaN   98.8931       0.180432                 NaN  0.437404       0.100336       0.388739                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9047       0.179267                 NaN  0.435056       0.965410E-001  0.384465                 NaN            NaN            NaN            NaN
  1380.31        2500.00                 NaN   98.9182       0.178145                 NaN  0.922871E-001  0.431597       0.379786                 NaN            NaN            NaN            NaN
  1378.89        2500.00                 NaN   98.9303       0.176790                 NaN  0.877413E-001  0.429736       0.375405                 NaN            NaN            NaN            NaN
  1377.48        2500.00                 NaN   98.9429       0.175307                 NaN  0.427557       0.834984E-001  0.370728                 NaN            NaN            NaN            NaN
  1376.07        2500.00                 NaN   98.9540       0.174071                 NaN  0.794062E-001  0.425831       0.366717                 NaN            NaN            NaN            NaN
  1374.65        2500.00                 NaN   98.9660       0.172685                 NaN  0.424002       0.750701E-001  0.362259                 NaN            NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.9781       0.170757                 NaN  0.724793E-001  0.420941       0.357689                 NaN            NaN            NaN            NaN
  1371.83        2500.00                 NaN   98.9887       0.169504                 NaN  0.682516E-001  0.419630       0.353907                 NaN            NaN            NaN            NaN
  1370.41        2500.00                 NaN   99.0003       0.168380                 NaN  0.416805       0.646246E-001  0.349935                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0118       0.165902                 NaN  0.414238       0.628355E-001  0.345273                 NaN            NaN            NaN            NaN
  1367.58        2500.00                 NaN   99.0206       0.165470                 NaN  0.414888       0.569911E-001  0.342064                 NaN            NaN            NaN            NaN
  1366.17        2500.00                 NaN   99.0284       0.163860                 NaN  0.413896       0.544715E-001  0.339335                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.0458       0.159580                 NaN  0.406754       0.558937E-001  0.331967                 NaN            NaN            NaN            NaN
  1363.34        2500.00                 NaN   99.0520       0.159440                 NaN  0.407805       0.507606E-001  0.330028                 NaN            NaN            NaN            NaN
  1361.93        2500.00                 NaN   98.2773       0.293898                 NaN  0.531235E-001  0.775035       0.600596                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.8611       0.197009E-001            NaN  0.582666E-001  0.160454E-001  0.449178E-001            NaN            NaN            NaN            NaN
  1359.10        2500.00                 NaN   99.0806       0.153932                 NaN  0.435892E-001  0.402935       0.318983                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.0890       0.151695                 NaN  0.419170E-001  0.401882       0.315550                 NaN            NaN            NaN            NaN
  1356.27        2500.00                 NaN   99.0961       0.150974                 NaN  0.400071       0.393933E-001  0.313470                 NaN            NaN            NaN            NaN
  1354.86        2500.00                 NaN   99.1064       0.148431                 NaN  0.402073       0.345409E-001  0.308593                 NaN            NaN            NaN            NaN
  1353.45        2500.00                 NaN   99.1178       0.143942                 NaN  0.394884       0.396409E-001  0.303743                 NaN            NaN            NaN            NaN
  1352.03        2500.00                 NaN   99.1237       0.143427                 NaN  0.396987       0.340660E-001  0.301777                 NaN            NaN            NaN            NaN
  1350.62        2500.00                 NaN   99.1304       0.141105                 NaN  0.395656       0.339539E-001  0.298889                 NaN            NaN            NaN            NaN
  1349.20        2500.00                 NaN   99.1394       0.138688                 NaN  0.395179       0.315242E-001  0.295246                 NaN            NaN            NaN            NaN
  1347.79        2500.00                 NaN   99.1465       0.136374                 NaN  0.395499       0.294065E-001  0.292220                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   99.1551       0.148306                 NaN  0.144559E-002  0.402695       0.292411                 NaN            NaN            NaN            NaN
  1344.96        2500.00                 NaN   99.1618       0.117740                 NaN  0.379972       0.580511E-001  0.282450                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1685       0.129421                 NaN  0.393999       0.249524E-001  0.283168                 NaN            NaN            NaN            NaN
  1342.14        2500.00                 NaN   99.1753       0.126656                 NaN  0.255262E-001  0.392412       0.280128                 NaN            NaN            NaN            NaN
  1340.72        2500.00                 NaN   99.1818       0.124044                 NaN  0.394330       0.225509E-001  0.277311                 NaN            NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.1888       0.121993                 NaN  0.394056       0.206069E-001  0.274500                 NaN            NaN            NaN            NaN
  1337.89        2500.00                 NaN   99.1951       0.118472                 NaN  0.393204       0.217712E-001  0.271414                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1999       0.115841                 NaN  0.396156       0.188475E-001  0.269260                 NaN            NaN            NaN            NaN
  1335.07        2500.00                 NaN   99.2061       0.112938                 NaN  0.397185       0.172944E-001  0.266529                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN   99.2122       0.110315                 NaN  0.400075       0.137106E-001  0.263691                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.2176       0.107436                 NaN  0.876382E-002  0.404888       0.261271                 NaN            NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1737       0.101210                 NaN  0.428702                 NaN  0.273260       0.230936E-001            NaN            NaN            NaN
  1329.41        2500.00                 NaN   99.1487       0.954907E-001            NaN  0.437935                 NaN  0.279664       0.381910E-001            NaN            NaN            NaN
  1328.00        2500.00                 NaN   99.1600       0.956894E-001            NaN  0.430586                 NaN  0.276223       0.375170E-001            NaN            NaN            NaN
  1326.58        2500.00                 NaN   99.1700       0.938318E-001            NaN  0.426658                 NaN  0.272789       0.367669E-001            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.1811       0.950071E-001            NaN  0.418224                 NaN  0.269510       0.361792E-001            NaN            NaN            NaN
  1323.76        2500.00                 NaN   99.1929       0.949791E-001            NaN  0.410363                 NaN  0.266093       0.356942E-001            NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.2019       0.929284E-001            NaN  0.408046                 NaN  0.262419       0.346797E-001            NaN            NaN            NaN
  1320.93        2500.00                 NaN   99.2112       0.925638E-001            NaN  0.402405                 NaN  0.259686       0.341665E-001            NaN            NaN            NaN
  1319.52        2500.00                 NaN   99.2202       0.909534E-001            NaN  0.398800                 NaN  0.256576       0.334594E-001            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2300       0.901733E-001            NaN  0.393624                 NaN  0.253422       0.328276E-001            NaN            NaN            NaN
  1316.69        2500.00                 NaN   99.2378       0.879710E-001            NaN  0.391535                 NaN  0.250524       0.321338E-001            NaN            NaN            NaN
  1315.27        2500.00                 NaN   99.2447       0.853517E-001            NaN  0.390148                 NaN  0.248351       0.313989E-001            NaN            NaN            NaN
  1313.86        2500.00                 NaN   99.2559       0.845810E-001            NaN  0.384821                 NaN  0.243923       0.307784E-001            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.2631       0.828031E-001            NaN  0.382252                 NaN  0.241751       0.301349E-001            NaN            NaN            NaN
  1311.03        2500.00                 NaN   99.2725       0.821596E-001            NaN  0.376915                 NaN  0.238817       0.295773E-001            NaN            NaN            NaN
  1309.62        2500.00                 NaN   99.2798       0.801456E-001            NaN  0.375095                 NaN  0.236094       0.289098E-001            NaN            NaN            NaN
  1308.21        2500.00                 NaN   99.2867       0.759539E-001            NaN  0.375715                 NaN  0.233504       0.281617E-001            NaN            NaN            NaN
  1306.79        2500.00                 NaN   99.2946       0.763012E-001            NaN  0.370665                 NaN  0.230768       0.276614E-001            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.3033       0.761898E-001            NaN  0.365120                 NaN  0.228198       0.271623E-001            NaN            NaN            NaN
  1303.96        2500.00                 NaN   99.1855       0.778766E-001            NaN  0.386326                 NaN  0.241918       0.292008E-001  0.791696E-001            NaN            NaN
  1302.55        2500.00                 NaN   75.4472        1.32943                 NaN   4.02867                 NaN   3.34286       0.569196        15.2826                 NaN            NaN
  1301.14        2500.00                 NaN   78.5262        1.24229                 NaN   3.47587                 NaN   2.92334       0.495366        13.3369                 NaN            NaN
  1299.72        2500.00                 NaN   81.6202        1.10874                 NaN   2.96437                 NaN   2.50714       0.420738        11.3788                 NaN            NaN
  1298.31        2500.00                 NaN   84.2316       0.982295                 NaN   2.54505                 NaN   2.15697       0.358281        9.72581                 NaN            NaN
  1296.89        2500.00                 NaN   86.3827       0.870630                 NaN   2.20573                 NaN   1.86920       0.307355        8.36439                 NaN            NaN
  1295.48        2500.00                 NaN   88.0592       0.782350                 NaN   1.94329                 NaN   1.64588       0.267762        7.30157                 NaN            NaN
  1294.07        2500.00                 NaN   89.5971       0.693279                 NaN   1.70807                 NaN   1.43946       0.232252        6.32982                 NaN            NaN
  1292.65        2500.00                 NaN   90.7524       0.627413                 NaN   1.52834                 NaN   1.28563       0.205668        5.60056                 NaN            NaN
  1291.24        2500.00       0.446113        88.2888       0.511557                 NaN   2.06969                 NaN   1.57647                 NaN   7.10737                 NaN            NaN
  1289.83        2500.00       0.276976        92.6566       0.342404                 NaN   1.31959                 NaN  0.985159                 NaN   4.41928                 NaN            NaN
  1288.41        2500.00       0.428469        89.1853       0.555551                 NaN   1.86697                 NaN   1.53665                 NaN   6.42708                 NaN            NaN
  1287.00        2500.00       0.146950        95.4323       0.179762                 NaN  0.878886                 NaN  0.531935                 NaN   2.83015                 NaN            NaN
  1285.58        2500.00       0.265513        92.8268       0.351575                 NaN   1.30475                 NaN  0.975916                 NaN   4.27544                 NaN            NaN
  1284.17        2500.00       0.206288        94.5415       0.245333                 NaN   1.02384                 NaN  0.737372                 NaN   3.24569                 NaN            NaN
  1282.76        2500.00       0.192407        94.5616       0.307015                 NaN  0.989113                 NaN  0.748932                 NaN   3.20097                 NaN            NaN
  1281.34        2500.00       0.203902        94.4446       0.274871                 NaN   1.03914                 NaN  0.760347                 NaN   3.27715                 NaN            NaN
  1279.93        2500.00       0.166192        95.3468       0.243550                 NaN  0.882823                 NaN  0.640417                 NaN   2.72024                 NaN            NaN
  1278.52        2500.00       0.300363        90.8480       0.426999                 NaN   1.94278                 NaN   1.27264                 NaN   5.20921                 NaN            NaN
  1277.10        2500.00       0.132049E-001   99.8167       0.612338E-001            NaN            NaN            NaN  0.211927E-001            NaN  0.876584E-001            NaN            NaN
  1275.69        2500.00       0.100969        97.6529       0.150450                 NaN  0.324675                 NaN  0.326411                 NaN   1.44455                 NaN            NaN
  1274.27        2500.00       0.223122        94.4314       0.316266                 NaN   1.07326                 NaN  0.832873                 NaN   3.12304                 NaN            NaN
  1272.86        2500.00       0.255881E-001   98.2856       0.792766E-001            NaN  0.390111                 NaN  0.184097                 NaN   1.03530                 NaN            NaN
  1271.45        2500.00       0.122569        96.3746       0.291053                 NaN  0.365502                 NaN  0.540142                 NaN   2.30618                 NaN            NaN
  1270.03        2500.00       0.112769        96.6558       0.867059E-001            NaN   1.08037                 NaN  0.438296                 NaN   1.62606                 NaN            NaN
  1268.62        2500.00       0.108480        96.2452       0.226572                 NaN  0.831342                 NaN  0.532764                 NaN   2.05566                 NaN            NaN
  1267.21        2500.00       0.930281E-001   97.5357       0.140314                 NaN  0.469015                 NaN  0.348459                 NaN   1.41353                 NaN            NaN
  1265.79        2500.00       0.778456E-001   97.5795       0.139095                 NaN  0.514683                 NaN  0.338950                 NaN   1.34993                 NaN            NaN
