|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1548.08        2500.00                 NaN            NaN   99.4158                 NaN  0.524881       0.593087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN            NaN   99.4207                 NaN  0.519276       0.600345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN            NaN   99.4258                 NaN  0.516012       0.581425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN            NaN   99.4294                 NaN  0.513407       0.572164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN            NaN   99.4321                 NaN  0.512955       0.549387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN            NaN   99.4375                 NaN  0.508022       0.544958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN            NaN   99.4246                 NaN  0.519142       0.562612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN            NaN   99.5844                 NaN  0.372912       0.426428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN            NaN   99.3288                 NaN  0.607492       0.636953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN            NaN   99.4532                 NaN  0.494657       0.520974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN            NaN   99.4581                 NaN  0.490947       0.509739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN            NaN   99.4575                 NaN  0.494712       0.477770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN            NaN   99.4666                 NaN  0.483793       0.495911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN            NaN   99.4674                 NaN  0.485062       0.475422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN            NaN   99.4715                 NaN  0.481796       0.467465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN            NaN   99.4750                 NaN  0.478996       0.460456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN            NaN   99.4783                 NaN  0.476263       0.454404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN            NaN   99.4822                 NaN  0.473092       0.446917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN            NaN   99.4825                 NaN  0.474268       0.432477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN            NaN   99.4897                 NaN  0.467536       0.427181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN            NaN   99.4913                 NaN  0.467457       0.412545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN            NaN   99.4944                 NaN  0.465018       0.405391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN            NaN   99.4497                 NaN  0.504679       0.456453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN            NaN   99.5503                 NaN  0.413423       0.362905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN            NaN   99.5052                 NaN  0.455858       0.389120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN            NaN   99.5064                 NaN  0.456181       0.374170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN            NaN   99.5121                 NaN  0.430245       0.576100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN            NaN   99.4162                 NaN  0.951238E-001  0.464568E-002  0.483991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN            NaN   99.4016                 NaN            NaN  0.489726E-001  0.549392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN            NaN   99.3958                 NaN  0.169702E-001  0.883539E-002  0.578391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN            NaN   99.3913                 NaN  0.193865E-001            NaN  0.589355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN            NaN   99.4960                 NaN            NaN  0.724944E-004  0.503931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN            NaN   99.3982                 NaN  0.415955       0.408146E-005  0.185865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN            NaN   99.3017                 NaN  0.266720E-001            NaN  0.671582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN            NaN   99.3969                 NaN            NaN            NaN  0.603107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00                 NaN            NaN   99.3938                 NaN            NaN            NaN  0.606157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN            NaN   99.3927                 NaN            NaN            NaN  0.607316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN            NaN   99.3943                 NaN            NaN            NaN  0.605693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN            NaN   99.3932                 NaN            NaN            NaN  0.606805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN            NaN   99.3908                 NaN            NaN            NaN  0.609189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN            NaN   99.3906                 NaN            NaN            NaN  0.609394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN   99.3897                 NaN            NaN            NaN  0.610267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN            NaN   99.3865                 NaN            NaN            NaN  0.613469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN            NaN   99.3942                 NaN            NaN            NaN  0.605797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN            NaN   99.3675                 NaN            NaN            NaN  0.632531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN            NaN   99.3764                 NaN            NaN            NaN  0.623632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN            NaN   99.3511                 NaN            NaN            NaN  0.648883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN            NaN   99.4316                 NaN            NaN            NaN  0.568412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN            NaN   99.3071                 NaN            NaN            NaN  0.692927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN            NaN   99.1359                 NaN            NaN            NaN  0.493055       0.371017                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN            NaN   99.0873                 NaN            NaN            NaN  0.615393       0.297318                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN            NaN   99.0942                 NaN            NaN            NaN  0.293764       0.612075                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN            NaN   99.0999                 NaN            NaN            NaN  0.292753       0.607359                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN            NaN   99.1104                 NaN            NaN            NaN  0.599709       0.289882                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN            NaN   99.1164                 NaN            NaN            NaN  0.288255       0.595390                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN            NaN   99.1231                 NaN            NaN            NaN  0.284882       0.592047                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN            NaN   99.1320                 NaN            NaN            NaN  0.586022       0.281951                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN            NaN   99.1370                 NaN            NaN            NaN  0.581565       0.281451                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN            NaN   99.1438                 NaN            NaN            NaN  0.577114       0.279084                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN            NaN   99.1492                 NaN            NaN            NaN  0.574482       0.276312                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN            NaN   99.1544                 NaN            NaN            NaN  0.275846       0.569764                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN            NaN   99.1637                 NaN            NaN            NaN  0.272394       0.563866                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN            NaN   99.1678                 NaN            NaN            NaN  0.270102       0.562067                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN            NaN   99.1740                 NaN            NaN            NaN  0.268465       0.557542                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN            NaN   99.1794                 NaN            NaN            NaN  0.554064       0.266566                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN            NaN   99.1865                 NaN            NaN            NaN  0.548396       0.265071                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN            NaN   99.1913                 NaN            NaN            NaN  0.262583       0.546152                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN            NaN   99.1963                 NaN            NaN            NaN  0.260160       0.543579                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN            NaN   99.2008                 NaN            NaN            NaN  0.258025       0.541172                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN            NaN   99.2078                 NaN            NaN            NaN  0.256106       0.536117                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN            NaN   99.2117                 NaN            NaN            NaN  0.254899       0.533432                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN            NaN   99.2179                 NaN            NaN            NaN  0.529252       0.252814                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN            NaN   99.2213                 NaN            NaN            NaN  0.526291       0.252374                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN            NaN   99.2280                 NaN            NaN            NaN  0.248738       0.523283                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN            NaN   99.2319                 NaN            NaN            NaN  0.520620       0.247469                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN            NaN   99.1742                 NaN            NaN            NaN  0.276533       0.519765       0.295100E-001            NaN            NaN            NaN            NaN            NaN
  1432.69        2500.00                 NaN            NaN   99.8094                 NaN            NaN            NaN  0.827677E-001  0.366061E-001  0.712464E-001            NaN            NaN            NaN            NaN            NaN
  1431.17        2500.00                 NaN            NaN   96.3056                 NaN            NaN            NaN   1.59881        1.03096        1.06464                 NaN            NaN            NaN            NaN            NaN
  1429.66        2500.00                 NaN            NaN   98.1016                 NaN            NaN            NaN  0.520862       0.822956       0.554544                 NaN            NaN            NaN            NaN            NaN
  1428.14        2500.00                 NaN            NaN   98.0649                 NaN            NaN  0.319985E-001  0.558200       0.770647       0.574247                 NaN            NaN            NaN            NaN            NaN
  1426.62        2500.00                 NaN            NaN   98.1669                 NaN            NaN  0.226658       0.585811       0.455335       0.565322                 NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN            NaN   98.1648                 NaN            NaN  0.235728       0.591485       0.438332       0.569666                 NaN            NaN            NaN            NaN            NaN
  1423.58        2500.00                 NaN            NaN   98.1805                 NaN            NaN  0.235989       0.589812       0.428232       0.565512                 NaN            NaN            NaN            NaN            NaN
  1422.07        2500.00                 NaN            NaN   98.2336                 NaN            NaN  0.232575       0.411474       0.573967       0.548347                 NaN            NaN            NaN            NaN            NaN
  1420.55        2500.00                 NaN            NaN   98.2339                 NaN            NaN  0.236699       0.390896       0.588488       0.550059                 NaN            NaN            NaN            NaN            NaN
  1419.03        2500.00                 NaN            NaN   98.3061                 NaN            NaN  0.226885       0.388286       0.553316       0.525423                 NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00                 NaN            NaN   98.3106                 NaN            NaN  0.230566       0.379486       0.554350       0.525046                 NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00                 NaN            NaN   98.3397                 NaN            NaN  0.229276       0.368359       0.546357       0.516261                 NaN            NaN            NaN            NaN            NaN
  1414.47        2500.00                 NaN            NaN   98.3609                 NaN            NaN  0.228936       0.543893       0.356413       0.509879                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN            NaN   98.3945                 NaN            NaN  0.226442       0.532069       0.347803       0.499203                 NaN            NaN            NaN            NaN            NaN
  1411.44        2500.00                 NaN            NaN   98.4169                 NaN            NaN  0.226967       0.336385       0.527253       0.492506                 NaN            NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN            NaN   98.4442                 NaN            NaN  0.223973       0.519765       0.328308       0.483800                 NaN            NaN            NaN            NaN            NaN
  1408.40        2500.00                 NaN            NaN   98.4676                 NaN            NaN  0.223615       0.513985       0.318093       0.476700                 NaN            NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN            NaN   98.4912                 NaN            NaN  0.222702       0.508037       0.308563       0.469460                 NaN            NaN            NaN            NaN            NaN
  1405.36        2500.00                 NaN            NaN   98.5144                 NaN            NaN  0.221718       0.299688       0.501908       0.462248                 NaN            NaN            NaN            NaN            NaN
  1403.85        2500.00                 NaN            NaN   98.5365                 NaN            NaN  0.220842       0.290779       0.496425       0.455413                 NaN            NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN            NaN   98.5593                 NaN            NaN  0.219538       0.491183       0.281706       0.448270                 NaN            NaN            NaN            NaN            NaN
  1400.81        2500.00                 NaN            NaN   98.5790                 NaN            NaN  0.220108       0.486442       0.271967       0.442517                 NaN            NaN            NaN            NaN            NaN
  1399.29        2500.00                 NaN            NaN   98.6019                 NaN            NaN  0.216168       0.479580       0.267814       0.434535                 NaN            NaN            NaN            NaN            NaN
  1397.77        2500.00                 NaN            NaN   98.6213                 NaN            NaN  0.216792       0.475420       0.257584       0.428875                 NaN            NaN            NaN            NaN            NaN
  1396.26        2500.00                 NaN            NaN   98.6426                 NaN            NaN  0.216155       0.469931       0.248934       0.422354                 NaN            NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN            NaN   98.6610                 NaN            NaN  0.213645       0.464879       0.244098       0.416370                 NaN            NaN            NaN            NaN            NaN
  1393.22        2500.00                 NaN            NaN   98.6805                 NaN            NaN  0.213452       0.235515       0.460230       0.410326                 NaN            NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN            NaN   98.6986                 NaN            NaN  0.212163       0.456982       0.227749       0.404555                 NaN            NaN            NaN            NaN            NaN
  1390.18        2500.00                 NaN            NaN   98.7135                 NaN            NaN  0.214920       0.215438       0.455104       0.400991                 NaN            NaN            NaN            NaN            NaN
  1388.66        2500.00                 NaN            NaN   98.7404                 NaN            NaN  0.206843       0.442483       0.219580       0.390674                 NaN            NaN            NaN            NaN            NaN
  1387.15        2500.00                 NaN            NaN   98.7525                 NaN            NaN  0.208817       0.441935       0.209239       0.387466                 NaN            NaN            NaN            NaN            NaN
  1385.63        2500.00                 NaN            NaN   98.6680                 NaN            NaN  0.220068       0.483916       0.213938       0.414127                 NaN            NaN            NaN            NaN            NaN
  1384.11        2500.00                 NaN            NaN   98.8642                 NaN            NaN  0.192768       0.184871       0.408370       0.349775                 NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN            NaN   98.8042                 NaN            NaN  0.207394       0.432562       0.184613       0.371274                 NaN            NaN            NaN            NaN            NaN
  1381.07        2500.00                 NaN            NaN   98.8180                 NaN            NaN  0.204298       0.185589       0.425487       0.366654                 NaN            NaN            NaN            NaN            NaN
  1379.56        2500.00                 NaN            NaN   98.8344                 NaN            NaN  0.166849       0.400183       0.241983       0.356589                 NaN            NaN            NaN            NaN            NaN
  1378.04        2500.00                 NaN            NaN   98.8479                 NaN            NaN  0.238127       0.440367       0.111766       0.361821                 NaN            NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN            NaN   98.8634                 NaN            NaN  0.200331       0.170057       0.414178       0.352033                 NaN            NaN            NaN            NaN            NaN
  1375.00        2500.00                 NaN            NaN   98.8778                 NaN            NaN  0.199139       0.410821       0.164873       0.347359                 NaN            NaN            NaN            NaN            NaN
  1373.48        2500.00                 NaN            NaN   98.8888                 NaN            NaN  0.189132       0.403893       0.175441       0.342715                 NaN            NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN            NaN   98.9089                 NaN            NaN  0.205187       0.407804       0.139838       0.338261                 NaN            NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN            NaN   98.9197                 NaN            NaN  0.195033       0.399359       0.152179       0.333755                 NaN            NaN            NaN            NaN            NaN
  1368.93        2500.00                 NaN            NaN   98.9348                 NaN            NaN  0.194083       0.146387       0.395648       0.329129                 NaN            NaN            NaN            NaN            NaN
  1367.41        2500.00                 NaN            NaN   98.9473                 NaN            NaN  0.191583       0.144525       0.391919       0.324709                 NaN            NaN            NaN            NaN            NaN
  1365.89        2500.00                 NaN            NaN   98.9595                 NaN            NaN  0.187232       0.387227       0.145737       0.320270                 NaN            NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN            NaN   98.9716                 NaN            NaN  0.193657       0.389719       0.127578       0.317464                 NaN            NaN            NaN            NaN            NaN
  1362.85        2500.00                 NaN            NaN   98.9851                 NaN            NaN  0.185944       0.135896       0.381096       0.311953                 NaN            NaN            NaN            NaN            NaN
  1361.34        2500.00                 NaN            NaN   98.9974                 NaN            NaN  0.185962       0.379516       0.128787       0.308356                 NaN            NaN            NaN            NaN            NaN
  1359.82        2500.00                 NaN            NaN   99.0091                 NaN            NaN  0.184237       0.125302       0.376932       0.304391                 NaN            NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN            NaN   99.0202                 NaN            NaN  0.182389       0.123664       0.373046       0.300693                 NaN            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN            NaN   99.0325                 NaN            NaN  0.180371       0.369325       0.121347       0.296473                 NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00                 NaN            NaN   99.0428                 NaN            NaN  0.179668       0.116522       0.367815       0.293181                 NaN            NaN            NaN            NaN            NaN
  1353.75        2500.00                 NaN            NaN   99.0543                 NaN            NaN  0.176759       0.116426       0.363246       0.289298                 NaN            NaN            NaN            NaN            NaN
  1352.23        2500.00                 NaN            NaN   99.0656                 NaN            NaN  0.174503       0.360318       0.114335       0.285287                 NaN            NaN            NaN            NaN            NaN
  1350.71        2500.00                 NaN            NaN   99.0756                 NaN            NaN  0.173276       0.357807       0.111284       0.282006                 NaN            NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN            NaN   99.0858                 NaN            NaN  0.171050       0.110295       0.354353       0.278475                 NaN            NaN            NaN            NaN            NaN
  1347.67        2500.00                 NaN            NaN   99.0966                 NaN            NaN  0.169476       0.106741       0.352158       0.275049                 NaN            NaN            NaN            NaN            NaN
  1346.15        2500.00                 NaN            NaN   99.1065                 NaN            NaN  0.166727       0.347754       0.107543       0.271445                 NaN            NaN            NaN            NaN            NaN
  1344.64        2500.00                 NaN            NaN   99.1162                 NaN            NaN  0.165395       0.345606       0.104516       0.268253                 NaN            NaN            NaN            NaN            NaN
  1343.12        2500.00                 NaN            NaN   99.1271                 NaN            NaN  0.163340       0.103695       0.341184       0.264726                 NaN            NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN            NaN   99.1357                 NaN            NaN  0.160448       0.339229       0.103147       0.261462                 NaN            NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN            NaN   99.1439                 NaN            NaN  0.159243       0.337396       0.100717       0.258761                 NaN            NaN            NaN            NaN            NaN
  1338.56        2500.00                 NaN            NaN   99.1541                 NaN            NaN  0.155390       0.331819       0.103710       0.255015                 NaN            NaN            NaN            NaN            NaN
  1337.04        2500.00                 NaN            NaN   99.1630                 NaN            NaN  0.153964       0.330087       0.100917       0.252069                 NaN            NaN            NaN            NaN            NaN
  1335.53        2500.00                 NaN            NaN   99.1715                 NaN            NaN  0.152073       0.995492E-001  0.327715       0.249165                 NaN            NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN            NaN   99.1802                 NaN            NaN  0.149019       0.324023       0.100713       0.246056                 NaN            NaN            NaN            NaN            NaN
  1332.49        2500.00                 NaN            NaN   99.1893                 NaN            NaN  0.147242       0.991797E-001  0.321314       0.242983                 NaN            NaN            NaN            NaN            NaN
  1330.97        2500.00                 NaN            NaN   99.1970                 NaN            NaN  0.144231       0.100792       0.317836       0.240169                 NaN            NaN            NaN            NaN            NaN
