|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1534.41        2500.00                 NaN            NaN   99.5296                 NaN  0.427129       0.433012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN            NaN   99.5339                 NaN  0.423769       0.423486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN            NaN   99.5334                 NaN  0.426887       0.396751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN            NaN   99.5415                 NaN  0.417310       0.411478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN            NaN   99.5423                 NaN  0.418259       0.394215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN            NaN   99.5459                 NaN  0.415328       0.387492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN            NaN   99.5491                 NaN  0.412757       0.381426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN            NaN   99.5521                 NaN  0.410280       0.376267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN            NaN   99.5556                 NaN  0.407431       0.369903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN            NaN   99.5560                 NaN  0.408240       0.357721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN            NaN   99.5624                 NaN  0.402287       0.353091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN            NaN   99.5638                 NaN  0.402139       0.340845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN            NaN   99.5666                 NaN  0.399901       0.334717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN            NaN   99.5285                 NaN  0.433816       0.376848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN            NaN   99.6149                 NaN  0.355200       0.299259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN            NaN   99.5763                 NaN  0.391590       0.320824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN            NaN   99.5774                 NaN  0.391762       0.308302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN            NaN   99.5832                 NaN  0.369320       0.474501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN            NaN   99.4972                 NaN  0.816351E-001  0.382379E-002  0.417343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN            NaN   99.4862                 NaN            NaN  0.402856E-001  0.473562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN            NaN   99.4798                 NaN  0.145530E-001  0.727013E-002  0.498346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN            NaN   99.4759                 NaN  0.166173E-001            NaN  0.507516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN            NaN   99.5663                 NaN            NaN  0.594411E-004  0.433627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN            NaN   99.4839                 NaN  0.356226       0.334976E-005  0.159897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN            NaN   99.3993                 NaN  0.228391E-001            NaN  0.577860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN            NaN   99.4816                 NaN            NaN            NaN  0.518446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00                 NaN            NaN   99.4792                 NaN            NaN            NaN  0.520795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN            NaN   99.4782                 NaN            NaN            NaN  0.521776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN            NaN   99.4801                 NaN            NaN            NaN  0.519947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN            NaN   99.4793                 NaN            NaN            NaN  0.520695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN            NaN   99.4774                 NaN            NaN            NaN  0.522609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN            NaN   99.4776                 NaN            NaN            NaN  0.522416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN   99.4771                 NaN            NaN            NaN  0.522882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN            NaN   99.4744                 NaN            NaN            NaN  0.525551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN            NaN   99.4813                 NaN            NaN            NaN  0.518728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN            NaN   99.4587                 NaN            NaN            NaN  0.541344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN            NaN   99.4665                 NaN            NaN            NaN  0.533546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN            NaN   99.4452                 NaN            NaN            NaN  0.554850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN            NaN   99.5142                 NaN            NaN            NaN  0.485799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN            NaN   99.4081                 NaN            NaN            NaN  0.591935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN            NaN   99.2586                 NaN            NaN            NaN  0.424514       0.316849                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN            NaN   99.2165                 NaN            NaN            NaN  0.529662       0.253790                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN            NaN   99.2229                 NaN            NaN            NaN  0.250565       0.526487                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN            NaN   99.2281                 NaN            NaN            NaN  0.249601       0.522286                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN            NaN   99.2377                 NaN            NaN            NaN  0.515365       0.246966                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN            NaN   99.2433                 NaN            NaN            NaN  0.245386       0.511328                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN            NaN   99.2493                 NaN            NaN            NaN  0.242413       0.508324                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN            NaN   99.2575                 NaN            NaN            NaN  0.502800       0.239732                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN            NaN   99.2621                 NaN            NaN            NaN  0.498707       0.239147                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN            NaN   99.2683                 NaN            NaN            NaN  0.494655       0.236999                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN            NaN   99.2734                 NaN            NaN            NaN  0.492111       0.234475                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN            NaN   99.2782                 NaN            NaN            NaN  0.233944       0.487853                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN            NaN   99.2866                 NaN            NaN            NaN  0.230855       0.482524                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN            NaN   99.2906                 NaN            NaN            NaN  0.228751       0.480663                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN            NaN   99.2962                 NaN            NaN            NaN  0.227203       0.476593                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN            NaN   99.3012                 NaN            NaN            NaN  0.473369       0.225463                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN            NaN   99.3077                 NaN            NaN            NaN  0.468279       0.224051                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN            NaN   99.3121                 NaN            NaN            NaN  0.221778       0.466076                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN            NaN   99.3168                 NaN            NaN            NaN  0.219592       0.463629                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN            NaN   99.3211                 NaN            NaN            NaN  0.217610       0.461247                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN            NaN   99.3274                 NaN            NaN            NaN  0.215865       0.456726                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN            NaN   99.3311                 NaN            NaN            NaN  0.214696       0.454194                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN            NaN   99.3369                 NaN            NaN            NaN  0.450349       0.212797                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN            NaN   99.3401                 NaN            NaN            NaN  0.447629       0.212290                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN            NaN   99.3462                 NaN            NaN            NaN  0.209062       0.444737                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN            NaN   99.3499                 NaN            NaN            NaN  0.442261       0.207849                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN            NaN   99.2963                 NaN            NaN            NaN  0.232113       0.441274       0.303518E-001            NaN            NaN            NaN            NaN            NaN
  1432.69        2500.00                 NaN            NaN   99.8265                 NaN            NaN            NaN  0.692958E-001  0.310156E-001  0.732025E-001            NaN            NaN            NaN            NaN            NaN
  1431.17        2500.00                 NaN            NaN   96.6842                 NaN            NaN            NaN   1.34280       0.876040        1.09699                 NaN            NaN            NaN            NaN            NaN
  1429.66        2500.00                 NaN            NaN   98.2995                 NaN            NaN            NaN  0.441319       0.689108       0.570052                 NaN            NaN            NaN            NaN            NaN
  1428.14        2500.00                 NaN            NaN   98.2683                 NaN            NaN  0.251704E-001  0.472200       0.644330       0.590042                 NaN            NaN            NaN            NaN            NaN
  1426.62        2500.00                 NaN            NaN   98.3659                 NaN            NaN  0.178081       0.495241       0.380304       0.580446                 NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN            NaN   98.3653                 NaN            NaN  0.184903       0.499562       0.365701       0.584500                 NaN            NaN            NaN            NaN            NaN
  1423.58        2500.00                 NaN            NaN   98.3809                 NaN            NaN  0.184742       0.497641       0.356857       0.579819                 NaN            NaN            NaN            NaN            NaN
  1422.07        2500.00                 NaN            NaN   98.4306                 NaN            NaN  0.181665       0.342380       0.483586       0.561792                 NaN            NaN            NaN            NaN            NaN
  1420.55        2500.00                 NaN            NaN   98.4321                 NaN            NaN  0.184549       0.324946       0.495291       0.563134                 NaN            NaN            NaN            NaN            NaN
  1419.03        2500.00                 NaN            NaN   98.4987                 NaN            NaN  0.176458       0.322233       0.465077       0.537486                 NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00                 NaN            NaN   98.5045                 NaN            NaN  0.178911       0.314507       0.465403       0.536702                 NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00                 NaN            NaN   98.5321                 NaN            NaN  0.177572       0.304890       0.458145       0.527312                 NaN            NaN            NaN            NaN            NaN
  1414.47        2500.00                 NaN            NaN   98.5526                 NaN            NaN  0.176873       0.455500       0.294589       0.520388                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN            NaN   98.5842                 NaN            NaN  0.174618       0.445022       0.287080       0.509086                 NaN            NaN            NaN            NaN            NaN
  1411.44        2500.00                 NaN            NaN   98.6057                 NaN            NaN  0.174638       0.277281       0.440480       0.501859                 NaN            NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN            NaN   98.6314                 NaN            NaN  0.172007       0.433703       0.270272       0.492590                 NaN            NaN            NaN            NaN            NaN
  1408.40        2500.00                 NaN            NaN   98.6539                 NaN            NaN  0.171342       0.428305       0.261487       0.484970                 NaN            NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN            NaN   98.6763                 NaN            NaN  0.170276       0.422840       0.253326       0.477215                 NaN            NaN            NaN            NaN            NaN
  1405.36        2500.00                 NaN            NaN   98.6984                 NaN            NaN  0.169160       0.245708       0.417228       0.469498                 NaN            NaN            NaN            NaN            NaN
  1403.85        2500.00                 NaN            NaN   98.7195                 NaN            NaN  0.168119       0.238082       0.412156       0.462175                 NaN            NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN            NaN   98.7410                 NaN            NaN  0.166789       0.407285       0.230339       0.454547                 NaN            NaN            NaN            NaN            NaN
  1400.81        2500.00                 NaN            NaN   98.7599                 NaN            NaN  0.166863       0.402838       0.222066       0.448338                 NaN            NaN            NaN            NaN            NaN
  1399.29        2500.00                 NaN            NaN   98.7816                 NaN            NaN  0.163520       0.396644       0.218373       0.439880                 NaN            NaN            NaN            NaN            NaN
  1397.77        2500.00                 NaN            NaN   98.8001                 NaN            NaN  0.163662       0.392727       0.209755       0.433783                 NaN            NaN            NaN            NaN            NaN
  1396.26        2500.00                 NaN            NaN   98.8202                 NaN            NaN  0.162846       0.387709       0.202444       0.426822                 NaN            NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN            NaN   98.8377                 NaN            NaN  0.160580       0.383043       0.198239       0.420416                 NaN            NaN            NaN            NaN            NaN
  1393.22        2500.00                 NaN            NaN   98.8562                 NaN            NaN  0.160124       0.191004       0.378726       0.413956                 NaN            NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN            NaN   98.8734                 NaN            NaN  0.158852       0.375532       0.184456       0.407782                 NaN            NaN            NaN            NaN            NaN
  1390.18        2500.00                 NaN            NaN   98.8876                 NaN            NaN  0.160589       0.174302       0.373662       0.403838                 NaN            NaN            NaN            NaN            NaN
  1388.66        2500.00                 NaN            NaN   98.9126                 NaN            NaN  0.154175       0.362731       0.177362       0.393103                 NaN            NaN            NaN            NaN            NaN
  1387.15        2500.00                 NaN            NaN   98.9246                 NaN            NaN  0.155320       0.361807       0.168774       0.389536                 NaN            NaN            NaN            NaN            NaN
  1385.63        2500.00                 NaN            NaN   98.8541                 NaN            NaN  0.162522       0.395108       0.172298       0.416002                 NaN            NaN            NaN            NaN            NaN
  1384.11        2500.00                 NaN            NaN   99.0241                 NaN            NaN  0.142758       0.148696       0.333486       0.350978                 NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN            NaN   98.9734                 NaN            NaN  0.153315       0.352741       0.148296       0.372260                 NaN            NaN            NaN            NaN            NaN
  1381.07        2500.00                 NaN            NaN   98.9866                 NaN            NaN  0.150707       0.148883       0.346539       0.367302                 NaN            NaN            NaN            NaN            NaN
  1379.56        2500.00                 NaN            NaN   99.0008                 NaN            NaN  0.122835       0.325530       0.193881       0.356909                 NaN            NaN            NaN            NaN            NaN
  1378.04        2500.00                 NaN            NaN   99.0161                 NaN            NaN  0.174917       0.357720       0.894185E-001  0.361817                 NaN            NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN            NaN   99.0296                 NaN            NaN  0.146856       0.135869       0.336004       0.351710                 NaN            NaN            NaN            NaN            NaN
  1375.00        2500.00                 NaN            NaN   99.0432                 NaN            NaN  0.145684       0.332838       0.131552       0.346728                 NaN            NaN            NaN            NaN            NaN
  1373.48        2500.00                 NaN            NaN   99.0536                 NaN            NaN  0.138043       0.326795       0.139785       0.341787                 NaN            NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN            NaN   99.0726                 NaN            NaN  0.149508       0.329537       0.111273       0.337037                 NaN            NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN            NaN   99.0827                 NaN            NaN  0.141775       0.322314       0.120936       0.332246                 NaN            NaN            NaN            NaN            NaN
  1368.93        2500.00                 NaN            NaN   99.0967                 NaN            NaN  0.140855       0.116185       0.318918       0.327343                 NaN            NaN            NaN            NaN            NaN
  1367.41        2500.00                 NaN            NaN   99.1086                 NaN            NaN  0.138733       0.114540       0.315500       0.322655                 NaN            NaN            NaN            NaN            NaN
  1365.89        2500.00                 NaN            NaN   99.1201                 NaN            NaN  0.135298       0.311285       0.115349       0.317955                 NaN            NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN            NaN   99.1317                 NaN            NaN  0.139675       0.312880       0.100841       0.314882                 NaN            NaN            NaN            NaN            NaN
  1362.85        2500.00                 NaN            NaN   99.1442                 NaN            NaN  0.133818       0.107274       0.305550       0.309133                 NaN            NaN            NaN            NaN            NaN
  1361.34        2500.00                 NaN            NaN   99.1557                 NaN            NaN  0.133562       0.303946       0.101547       0.305290                 NaN            NaN            NaN            NaN            NaN
  1359.82        2500.00                 NaN            NaN   99.1667                 NaN            NaN  0.132106       0.986568E-001  0.301410       0.301090                 NaN            NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN            NaN   99.1772                 NaN            NaN  0.130471       0.972390E-001  0.297947       0.297160                 NaN            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN            NaN   99.1886                 NaN            NaN  0.128777       0.294573       0.952860E-001  0.292722                 NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00                 NaN            NaN   99.1984                 NaN            NaN  0.128019       0.913852E-001  0.293010       0.289207                 NaN            NaN            NaN            NaN            NaN
  1353.75        2500.00                 NaN            NaN   99.2090                 NaN            NaN  0.125718       0.911835E-001  0.288940       0.285116                 NaN            NaN            NaN            NaN            NaN
  1352.23        2500.00                 NaN            NaN   99.2195                 NaN            NaN  0.123857       0.286274       0.894337E-001  0.280907                 NaN            NaN            NaN            NaN            NaN
  1350.71        2500.00                 NaN            NaN   99.2290                 NaN            NaN  0.122738       0.283907       0.869347E-001  0.277423                 NaN            NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN            NaN   99.2385                 NaN            NaN  0.120914       0.860490E-001  0.280800       0.273698                 NaN            NaN            NaN            NaN            NaN
  1347.67        2500.00                 NaN            NaN   99.2485                 NaN            NaN  0.119621       0.831741E-001  0.278660       0.270084                 NaN            NaN            NaN            NaN            NaN
  1346.15        2500.00                 NaN            NaN   99.2578                 NaN            NaN  0.117418       0.274840       0.836884E-001  0.266302                 NaN            NaN            NaN            NaN            NaN
  1344.64        2500.00                 NaN            NaN   99.2668                 NaN            NaN  0.116255       0.272804       0.812331E-001  0.262931                 NaN            NaN            NaN            NaN            NaN
  1343.12        2500.00                 NaN            NaN   99.2767                 NaN            NaN  0.114642       0.804934E-001  0.268972       0.259238                 NaN            NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN            NaN   99.2848                 NaN            NaN  0.112344       0.267072       0.799670E-001  0.255810                 NaN            NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN            NaN   99.2925                 NaN            NaN  0.111246       0.265286       0.779855E-001  0.252937                 NaN            NaN            NaN            NaN            NaN
  1338.56        2500.00                 NaN            NaN   99.3018                 NaN            NaN  0.108372       0.260564       0.802033E-001  0.249049                 NaN            NaN            NaN            NaN            NaN
  1337.04        2500.00                 NaN            NaN   99.3100                 NaN            NaN  0.107192       0.258870       0.779478E-001  0.245950                 NaN            NaN            NaN            NaN            NaN
  1335.53        2500.00                 NaN            NaN   99.3180                 NaN            NaN  0.105670       0.767923E-001  0.256660       0.242897                 NaN            NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN            NaN   99.3259                 NaN            NaN  0.103364       0.253452       0.775980E-001  0.239650                 NaN            NaN            NaN            NaN            NaN
  1332.49        2500.00                 NaN            NaN   99.3342                 NaN            NaN  0.101948       0.763324E-001  0.251040       0.236444                 NaN            NaN            NaN            NaN            NaN
