|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1513.16        500.000                 NaN   99.5573       0.121794E-001  0.430492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.80        500.000                 NaN   99.5678       0.413604E-001  0.390857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN   99.5626       0.112082E-005  0.437408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.09        500.000                 NaN   99.5692       0.316741E-001  0.399164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000                 NaN   99.5746                 NaN  0.425448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.37        500.000                 NaN   99.5742                 NaN  0.425810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.02        500.000                 NaN   99.5778       0.180087E-002  0.420391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        500.000                 NaN   99.5565       0.308649E-002  0.440455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN   99.6034       0.634402E-002  0.390290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.94        500.000                 NaN   99.5837       0.712678E-002  0.409149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.59        500.000                 NaN   99.5882       0.781237E-002  0.403968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.23        500.000                 NaN   99.5920       0.627160E-002  0.401725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        500.000                 NaN   99.5915       0.476050E-002  0.403724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.51        500.000                 NaN   99.5944       0.471706E-002  0.400866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.16        500.000                 NaN   99.5955       0.319062E-002  0.401295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.80        500.000                 NaN   99.5995       0.329233E-002  0.397242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        500.000                 NaN   99.6004       0.206650E-002  0.397503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.08        500.000                 NaN   99.4975       0.100288E-001  0.492463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000                 NaN   99.7161                 NaN  0.283941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        500.000                 NaN   99.5150                 NaN  0.484980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN   99.7072       0.403345E-001  0.252465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.65        500.000                 NaN   99.6134                 NaN  0.386577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN   99.6141                 NaN  0.385896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.94        500.000                 NaN   99.6172                 NaN  0.382838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000                 NaN   99.6235       0.582094E-005  0.376504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.22        500.000                 NaN   99.6160                 NaN  0.384020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000                 NaN   99.4389                 NaN  0.561137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.51        500.000                 NaN   99.8090       0.113255E-005  0.191018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000                 NaN   99.6276       0.114870E-001  0.360939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.79        500.000                 NaN   99.6192       0.160329E-001  0.364792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.43        500.000                 NaN   99.6437                 NaN  0.356319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.08        500.000                 NaN   99.6328       0.602180E-002  0.361190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.72        500.000                 NaN   99.6345                 NaN  0.365480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.36        500.000                 NaN   99.6349       0.478204E-005  0.365068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN   99.6380                 NaN  0.361963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.65        500.000                 NaN   99.6407                 NaN  0.359336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.29        500.000                 NaN   99.6414                 NaN  0.358580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.93        500.000                 NaN   99.6427                 NaN  0.357267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.57        500.000                 NaN   99.6430                 NaN  0.356969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.22        500.000                 NaN   99.6459                 NaN  0.354058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.86        500.000                 NaN   99.6478                 NaN  0.352219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.50        500.000                 NaN   99.6480                 NaN  0.351970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        500.000                 NaN   99.6307                 NaN  0.278925       0.904053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.79        500.000                 NaN   99.5209                 NaN  0.187994E-001  0.238786E-001  0.436451                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.43        500.000                 NaN   99.2588                 NaN  0.462897E-001  0.268132       0.426828                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.07        500.000                 NaN   99.2659                 NaN  0.575055E-001  0.252695       0.423924                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.71        500.000                 NaN   99.2730                 NaN  0.829481E-001  0.421770       0.222283                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.36        500.000                 NaN   99.2792                 NaN            NaN  0.412407       0.308356                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.00        500.000                 NaN   99.4782                 NaN            NaN  0.222765       0.299017                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.64        500.000                 NaN   99.0994                 NaN  0.555146E-001  0.520063       0.324990                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.28        500.000                 NaN   99.2978                 NaN            NaN  0.403009       0.299195                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.93        500.000                 NaN   99.2968                 NaN            NaN  0.403811       0.299369                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.57        500.000                 NaN   99.3180                 NaN            NaN  0.289905       0.392140                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.21        500.000                 NaN   99.3170                 NaN            NaN  0.392757       0.290237                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.85        500.000                 NaN   99.3247                 NaN  0.437486E-001  0.239957       0.391594                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.49        500.000                 NaN   99.3290                 NaN            NaN  0.386808       0.284194                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.14        500.000                 NaN   99.3350                 NaN  0.164418E-002  0.383675       0.279684                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.78        500.000                 NaN   99.3408                 NaN            NaN  0.278381       0.380864                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.42        500.000                 NaN   99.3466                 NaN            NaN  0.275813       0.377608                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.06        500.000                 NaN   99.3527                 NaN            NaN  0.374581       0.272701                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.71        500.000                 NaN   99.3577                 NaN  0.517360E-002  0.265016       0.372125                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.35        500.000                 NaN   99.3634                 NaN  0.654600E-002  0.369397       0.260672                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.99        500.000                 NaN   99.3693                 NaN  0.140479E-001  0.366558       0.250138                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.63        500.000                 NaN   99.3745                 NaN  0.124671E-001  0.363635       0.249435                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.28        500.000                 NaN   99.3797                 NaN  0.122700E-001  0.361056       0.247018                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.92        500.000                 NaN   99.3841                 NaN  0.132263E-001  0.243766       0.358891                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.56        500.000                 NaN   99.3907                 NaN  0.115181E-001  0.242690       0.355129                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.20        500.000                 NaN   98.8103                 NaN  0.155328E-001  0.410172       0.478351                 NaN            NaN  0.285653                 NaN            NaN            NaN
  1420.85        500.000                 NaN   98.3229                 NaN            NaN  0.450860       0.696394                 NaN            NaN  0.529873                 NaN            NaN            NaN
  1419.49        500.000                 NaN   98.3548                 NaN            NaN  0.442006       0.683145                 NaN            NaN  0.520004                 NaN            NaN            NaN
  1418.13        500.000                 NaN   98.3863                 NaN            NaN  0.670083       0.433243                 NaN            NaN  0.510413                 NaN            NaN            NaN
  1416.77        500.000                 NaN   98.4156                 NaN            NaN  0.657817       0.425199                 NaN            NaN  0.501345                 NaN            NaN            NaN
  1415.42        500.000                 NaN   98.4486                 NaN            NaN  0.416415       0.644242                 NaN            NaN  0.490763                 NaN            NaN            NaN
  1414.06        500.000                 NaN   98.4755                 NaN            NaN  0.633336       0.408535                 NaN            NaN  0.482657                 NaN            NaN            NaN
  1412.70        500.000                 NaN   98.5028                 NaN            NaN  0.401447       0.621597                 NaN            NaN  0.474127                 NaN            NaN            NaN
  1411.34        500.000                 NaN   98.5270                 NaN            NaN  0.394377       0.611803                 NaN            NaN  0.466796                 NaN            NaN            NaN
  1409.99        500.000                 NaN   98.5586                 NaN            NaN  0.385677       0.598940                 NaN            NaN  0.456736                 NaN            NaN            NaN
  1408.63        500.000                 NaN   98.5821                 NaN            NaN  0.589456       0.378849                 NaN            NaN  0.449603                 NaN            NaN            NaN
  1407.27        500.000                 NaN   98.6076                 NaN            NaN  0.578874       0.371840                 NaN            NaN  0.441704                 NaN            NaN            NaN
  1405.91        500.000                 NaN   98.6310                 NaN            NaN  0.365464       0.569284                 NaN            NaN  0.434253                 NaN            NaN            NaN
  1404.56        500.000                 NaN   98.6542                 NaN            NaN  0.559777       0.359069                 NaN            NaN  0.426983                 NaN            NaN            NaN
  1403.20        500.000                 NaN   98.6756                 NaN            NaN  0.352652       0.551195                 NaN            NaN  0.420579                 NaN            NaN            NaN
  1401.84        500.000                 NaN   98.7008                 NaN            NaN  0.345795       0.540890                 NaN            NaN  0.412490                 NaN            NaN            NaN
  1400.48        500.000                 NaN   98.7195                 NaN            NaN  0.340735       0.533205                 NaN            NaN  0.406515                 NaN            NaN            NaN
  1399.13        500.000                 NaN   98.7394                 NaN            NaN  0.335470       0.524868                 NaN            NaN  0.400252                 NaN            NaN            NaN
  1397.77        500.000                 NaN   98.7636                 NaN            NaN  0.515412       0.328303                 NaN            NaN  0.392678                 NaN            NaN            NaN
  1396.41        500.000                 NaN   98.7817                 NaN            NaN  0.508100       0.323119                 NaN            NaN  0.387040                 NaN            NaN            NaN
  1395.05        500.000                 NaN   98.8001                 NaN            NaN  0.500420       0.318248                 NaN            NaN  0.381236                 NaN            NaN            NaN
  1393.69        500.000                 NaN   98.8205                 NaN            NaN  0.312402       0.492294                 NaN            NaN  0.374835                 NaN            NaN            NaN
  1392.34        500.000                 NaN   98.8383                 NaN            NaN  0.485212       0.307243                 NaN            NaN  0.369270                 NaN            NaN            NaN
  1390.98        500.000                 NaN   98.8562                 NaN            NaN  0.302199       0.478050                 NaN            NaN  0.363534                 NaN            NaN            NaN
  1389.62        500.000                 NaN   98.8726                 NaN            NaN  0.471285       0.297695                 NaN            NaN  0.358428                 NaN            NaN            NaN
  1388.26        500.000                 NaN   98.8905                 NaN            NaN  0.464334       0.292440                 NaN            NaN  0.352767                 NaN            NaN            NaN
  1386.91        500.000                 NaN   98.9067                 NaN            NaN  0.288004       0.457682                 NaN            NaN  0.347583                 NaN            NaN            NaN
  1385.55        500.000                 NaN   98.9227                 NaN            NaN  0.451410       0.283301                 NaN            NaN  0.342568                 NaN            NaN            NaN
  1384.19        500.000                 NaN   98.9407       0.124723E-001            NaN  0.426026       0.281620                 NaN            NaN  0.339195                 NaN            NaN            NaN
  1382.83        500.000                 NaN   98.9597       0.357301E-001            NaN  0.384410       0.283147                 NaN            NaN  0.337055                 NaN            NaN            NaN
  1381.48        500.000                 NaN   98.9799       0.688932E-001            NaN  0.287110       0.327654                 NaN            NaN  0.336399                 NaN            NaN            NaN
  1380.12        500.000                 NaN   98.9953       0.689338E-001            NaN  0.282784       0.321441                 NaN            NaN  0.331563                 NaN            NaN            NaN
  1378.76        500.000                 NaN   99.0092       0.691536E-001            NaN  0.315210       0.279320                 NaN            NaN  0.327157                 NaN            NaN            NaN
  1377.40        500.000                 NaN   99.0244       0.693864E-001            NaN  0.274972       0.308814                 NaN            NaN  0.322403                 NaN            NaN            NaN
  1376.05        500.000                 NaN   99.0382       0.694711E-001            NaN  0.302786       0.271530                 NaN            NaN  0.318023                 NaN            NaN            NaN
  1374.69        500.000                 NaN   99.0520       0.696553E-001            NaN  0.267800       0.296863                 NaN            NaN  0.313689                 NaN            NaN            NaN
  1373.33        500.000                 NaN   99.0657       0.697566E-001            NaN  0.291064       0.264167                 NaN            NaN  0.309320                 NaN            NaN            NaN
  1371.97        500.000                 NaN   99.0552       0.729007E-001            NaN  0.289783       0.267767                 NaN            NaN  0.314324                 NaN            NaN            NaN
  1370.62        500.000                 NaN   99.1175       0.670610E-001            NaN  0.274242       0.249946                 NaN            NaN  0.291242                 NaN            NaN            NaN
  1369.26        500.000                 NaN   99.1043       0.705266E-001            NaN  0.254251       0.273855                 NaN            NaN  0.297042                 NaN            NaN            NaN
  1367.90        500.000                 NaN   99.1175       0.700837E-001            NaN  0.269322       0.250287                 NaN            NaN  0.292813                 NaN            NaN            NaN
  1366.54        500.000                 NaN   99.1287       0.702847E-001            NaN  0.263838       0.248001                 NaN            NaN  0.289150                 NaN            NaN            NaN
  1365.19        500.000                 NaN   99.1410       0.703932E-001            NaN  0.258805       0.244454                 NaN            NaN  0.285311                 NaN            NaN            NaN
  1363.83        500.000                 NaN   99.1524       0.706003E-001            NaN  0.253963       0.241315                 NaN            NaN  0.281732                 NaN            NaN            NaN
  1362.47        500.000                 NaN   99.1641       0.704885E-001            NaN  0.249310       0.238129                 NaN            NaN  0.277949                 NaN            NaN            NaN
  1361.11        500.000                 NaN   99.1754       0.705905E-001            NaN  0.235157       0.244561                 NaN            NaN  0.274332                 NaN            NaN            NaN
  1359.76        500.000                 NaN   99.1856       0.706962E-001            NaN  0.240448       0.232165                 NaN            NaN  0.271126                 NaN            NaN            NaN
  1358.40        500.000                 NaN   99.1960       0.719305E-001            NaN  0.233490       0.230692                 NaN            NaN  0.267934                 NaN            NaN            NaN
  1357.04        500.000                 NaN   99.2091       0.693617E-001            NaN  0.232665       0.225751                 NaN            NaN  0.263120                 NaN            NaN            NaN
  1355.68        500.000                 NaN   99.2181       0.706547E-001            NaN  0.226783       0.223866                 NaN            NaN  0.260563                 NaN            NaN            NaN
  1354.33        500.000                 NaN   99.2274       0.706297E-001            NaN  0.221749       0.222599                 NaN            NaN  0.257579                 NaN            NaN            NaN
  1352.97        500.000                 NaN   99.2351       0.680072E-001            NaN  0.217423       0.224476                 NaN            NaN  0.255037                 NaN            NaN            NaN
  1351.61        500.000                 NaN   99.2520       0.733739E-001            NaN  0.207936       0.216968                 NaN            NaN  0.249710                 NaN            NaN            NaN
  1350.25        500.000                 NaN   99.2577       0.706307E-001            NaN  0.213269       0.210573                 NaN            NaN  0.247814                 NaN            NaN            NaN
  1348.90        500.000                 NaN   99.2671       0.703882E-001            NaN  0.211007       0.206868                 NaN            NaN  0.244675                 NaN            NaN            NaN
  1347.54        500.000                 NaN   99.2762       0.704346E-001            NaN  0.208485       0.203087                 NaN            NaN  0.241745                 NaN            NaN            NaN
  1346.18        500.000                 NaN   99.2850       0.702942E-001            NaN  0.206214       0.199610                 NaN            NaN  0.238855                 NaN            NaN            NaN
  1344.82        500.000                 NaN   99.2939       0.700530E-001            NaN  0.196209       0.203914                 NaN            NaN  0.235961                 NaN            NaN            NaN
  1343.46        500.000                 NaN   99.3031       0.702568E-001            NaN  0.201344       0.192307                 NaN            NaN  0.232960                 NaN            NaN            NaN
  1342.11        500.000                 NaN   99.3116       0.700336E-001            NaN  0.189087       0.199108                 NaN            NaN  0.230196                 NaN            NaN            NaN
  1340.75        500.000                 NaN   99.3198       0.702179E-001            NaN  0.185339       0.197098                 NaN            NaN  0.227559                 NaN            NaN            NaN
  1339.39        500.000                 NaN   99.3276       0.696315E-001            NaN  0.194710       0.183130                 NaN            NaN  0.224884                 NaN            NaN            NaN
  1338.03        500.000                 NaN   99.3366       0.691314E-001            NaN  0.192031       0.180355                 NaN            NaN  0.221893                 NaN            NaN            NaN
  1336.68        500.000                 NaN   99.3444       0.691171E-001            NaN  0.176912       0.190228                 NaN            NaN  0.219336                 NaN            NaN            NaN
  1335.32        500.000                 NaN   99.3519       0.689815E-001            NaN  0.174042       0.188177                 NaN            NaN  0.216894                 NaN            NaN            NaN
  1333.96        500.000                 NaN   99.3600       0.688728E-001            NaN  0.186127       0.170722                 NaN            NaN  0.214258                 NaN            NaN            NaN
  1332.60        500.000                 NaN   99.3673       0.686424E-001            NaN  0.168099       0.184154                 NaN            NaN  0.211759                 NaN            NaN            NaN
  1331.25        500.000                 NaN   99.3750       0.680691E-001            NaN  0.165941       0.181783                 NaN            NaN  0.209190                 NaN            NaN            NaN
  1329.89        500.000                 NaN   99.3797       0.691089E-001            NaN  0.180439       0.162751                 NaN            NaN  0.208039                 NaN            NaN            NaN
  1328.53        500.000                 NaN   99.3916       0.667005E-001            NaN  0.177430       0.160951                 NaN            NaN  0.203341                 NaN            NaN            NaN
  1327.17        500.000                 NaN   99.3911       0.683581E-001            NaN  0.175417       0.160311                 NaN            NaN  0.204843                 NaN            NaN            NaN
  1325.82        500.000                 NaN   99.4108       0.663867E-001            NaN  0.152556       0.173771                 NaN            NaN  0.196479                 NaN            NaN            NaN
  1324.46        500.000                 NaN   99.4101       0.669791E-001            NaN  0.172520       0.152834                 NaN            NaN  0.197543                 NaN            NaN            NaN
  1323.10        500.000                 NaN   99.4169       0.661009E-001            NaN  0.170335       0.151548                 NaN            NaN  0.195111                 NaN            NaN            NaN
  1321.74        500.000                 NaN   99.4232       0.660493E-001            NaN  0.148924       0.168776                 NaN            NaN  0.193087                 NaN            NaN            NaN
  1320.39        500.000                 NaN   99.4304       0.654216E-001            NaN  0.166602       0.146980                 NaN            NaN  0.190585                 NaN            NaN            NaN
  1319.03        500.000                 NaN   99.4364       0.654958E-001            NaN  0.165108       0.144277                 NaN            NaN  0.188683                 NaN            NaN            NaN
  1317.67        500.000                 NaN   99.4378       0.662394E-001            NaN  0.165242       0.142125                 NaN            NaN  0.188582                 NaN            NaN            NaN
  1316.31        500.000                 NaN   99.4526       0.619112E-001            NaN  0.159241       0.143840                 NaN            NaN  0.182388                 NaN            NaN            NaN
  1314.96        500.000                 NaN   99.4549       0.641287E-001            NaN  0.159768       0.138736                 NaN            NaN  0.182424                 NaN            NaN            NaN
  1313.60        500.000                 NaN   99.4609       0.630576E-001            NaN  0.157777       0.138082                 NaN            NaN  0.180190                 NaN            NaN            NaN
  1312.24        500.000                 NaN   99.4669       0.625478E-001            NaN  0.156008       0.136411                 NaN            NaN  0.178179                 NaN            NaN            NaN
  1310.88        500.000                 NaN   99.4724       0.620346E-001            NaN  0.154470       0.134797                 NaN            NaN  0.176283                 NaN            NaN            NaN
  1309.53        500.000                 NaN   99.4687       0.501282E-001            NaN  0.146164       0.159385                 NaN            NaN  0.175603                 NaN            NaN            NaN
  1308.17        500.000                 NaN   99.4928       0.726796E-001            NaN  0.158045       0.105146                 NaN            NaN  0.171346                 NaN            NaN            NaN
  1306.81        500.000                 NaN   99.4895       0.598799E-001            NaN  0.149200       0.131164                 NaN            NaN  0.170243                 NaN            NaN            NaN
  1305.45        500.000                 NaN   99.4947       0.598883E-001            NaN  0.147849       0.128919                 NaN            NaN  0.168607                 NaN            NaN            NaN
  1304.10        500.000                 NaN   99.5002       0.591733E-001            NaN  0.127881       0.146074                 NaN            NaN  0.166715                 NaN            NaN            NaN
  1302.74        500.000                 NaN   99.5052       0.591580E-001            NaN  0.144787       0.125791                 NaN            NaN  0.165066                 NaN            NaN            NaN
  1301.38        500.000                 NaN   99.5104       0.575397E-001            NaN  0.142878       0.126173                 NaN            NaN  0.163053                 NaN            NaN            NaN
  1300.02        500.000                 NaN   99.5154       0.572087E-001            NaN  0.124588       0.141397                 NaN            NaN  0.161395                 NaN            NaN            NaN
  1298.67        500.000                 NaN   99.5201       0.566803E-001            NaN  0.123580       0.139818                 NaN            NaN  0.159812                 NaN            NaN            NaN
  1297.31        500.000                 NaN   99.5254       0.558781E-001            NaN  0.138132       0.122661                 NaN            NaN  0.157889                 NaN            NaN            NaN
  1295.95        500.000                 NaN   99.5303       0.550902E-001            NaN  0.136671       0.121823                 NaN            NaN  0.156150                 NaN            NaN            NaN
  1294.59        500.000                 NaN   99.5349       0.546219E-001            NaN  0.120592       0.135314                 NaN            NaN  0.154592                 NaN            NaN            NaN
  1293.23        500.000                 NaN   99.5397       0.538148E-001            NaN  0.133756       0.119886                 NaN            NaN  0.152873                 NaN            NaN            NaN
  1291.88        500.000                 NaN   99.5431       0.535318E-001            NaN  0.118769       0.132764                 NaN            NaN  0.151792                 NaN            NaN            NaN
  1290.52        500.000                 NaN   99.5496       0.517418E-001            NaN  0.130324       0.119098                 NaN            NaN  0.149222                 NaN            NaN            NaN
  1289.16        500.000                 NaN   99.5518       0.522099E-001            NaN  0.129851       0.117402                 NaN            NaN  0.148729                 NaN            NaN            NaN
  1287.80        500.000                 NaN   89.5282       0.162818                 NaN  0.869345        1.58387                 NaN            NaN   1.23314        6.62260                 NaN            NaN
  1286.45        500.000                 NaN   86.1447       0.178946                 NaN   2.11387        1.11342                 NaN            NaN   1.60241        8.84662                 NaN            NaN
  1285.09        500.000                 NaN   87.3657       0.155548                 NaN   1.02217        1.94657                 NaN            NaN   1.47189        8.03813                 NaN            NaN
  1283.73        500.000                 NaN   88.3892       0.135598                 NaN  0.943377        1.80942                 NaN            NaN   1.36236        7.36000                 NaN            NaN
  1282.37        500.000                 NaN   89.2873       0.120363                 NaN  0.874124        1.68540                 NaN            NaN   1.26584        6.76699                 NaN            NaN
  1281.02        500.000                 NaN   90.0644       0.105875                 NaN  0.812257        1.58175                 NaN            NaN   1.18210        6.25358                 NaN            NaN
  1279.66        500.000                 NaN   90.7302       0.932057E-001            NaN  0.758743        1.49408                 NaN            NaN   1.11017        5.81357                 NaN            NaN
  1278.30        500.000                 NaN   91.3331       0.836704E-001            NaN  0.710005        1.41186                 NaN            NaN   1.04485        5.41654                 NaN            NaN
  1276.94        500.000                 NaN   91.8602       0.736244E-001            NaN  0.665419        1.34439                 NaN            NaN  0.987613        5.06879                 NaN            NaN
  1275.59        500.000                 NaN   92.3404       0.661247E-001            NaN  0.625032        1.27989                 NaN            NaN  0.935238        4.75334                 NaN            NaN
  1274.23        500.000                 NaN   92.7636       0.583934E-001            NaN  0.588231        1.22634                 NaN            NaN  0.889022        4.47444                 NaN            NaN
  1272.87        500.000                 NaN   93.1514       0.524899E-001            NaN   1.17539       0.554225                 NaN            NaN  0.846556        4.21989                 NaN            NaN
  1271.51        500.000                 NaN   93.5042       0.458006E-001            NaN   1.13215       0.521775                 NaN            NaN  0.807640        3.98848                 NaN            NaN
  1270.16        500.000                 NaN   93.8163       0.394319E-001            NaN  0.491843        1.09632                 NaN            NaN  0.773236        3.78287                 NaN            NaN
  1268.80        500.000                 NaN   94.1104       0.344388E-001            NaN  0.463922        1.06021                 NaN            NaN  0.740706        3.59032                 NaN            NaN
  1267.44        500.000                 NaN   94.3767       0.293512E-001            NaN   1.02999       0.437049                 NaN            NaN  0.711198        3.41568                 NaN            NaN
