|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1899.75        500.000        99.1930                 NaN            NaN  0.801354       0.562634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.1930                 NaN            NaN  0.801419       0.562642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.1929                 NaN            NaN  0.801485       0.562649E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1928                 NaN            NaN  0.801551       0.562657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.1928                 NaN            NaN  0.801616       0.562664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.1927                 NaN            NaN  0.801682       0.562672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1926                 NaN            NaN  0.801748       0.562679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.1926                 NaN            NaN  0.801813       0.562687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1925                 NaN            NaN  0.801879       0.562695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.1924                 NaN            NaN  0.801945       0.562703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.1924                 NaN            NaN  0.802011       0.562711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.1923                 NaN            NaN  0.802076       0.562718E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1922                 NaN            NaN  0.802142       0.562727E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1922                 NaN            NaN  0.802208       0.562735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1921                 NaN            NaN  0.802274       0.562743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1920                 NaN            NaN  0.802346       0.562755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1920                 NaN            NaN  0.802405       0.562759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1919                 NaN            NaN  0.802471       0.562767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1918                 NaN            NaN  0.802537       0.562775E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1918                 NaN            NaN  0.802602       0.562784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1917                 NaN            NaN  0.802668       0.562792E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1916                 NaN            NaN  0.802734       0.562801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1916                 NaN            NaN  0.802800       0.562809E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1915                 NaN            NaN  0.802866       0.562818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1914                 NaN            NaN  0.802932       0.562826E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1914                 NaN            NaN  0.802997       0.562835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1913                 NaN            NaN  0.803063       0.562844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1912                 NaN            NaN  0.803129       0.562852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1912                 NaN            NaN  0.803195       0.562861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1911                 NaN            NaN  0.803261       0.562870E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1910                 NaN            NaN  0.803327       0.562879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1910                 NaN            NaN  0.803393       0.562888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1909                 NaN            NaN  0.803458       0.562897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1908                 NaN            NaN  0.803524       0.562906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1908                 NaN            NaN  0.803590       0.562915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1907                 NaN            NaN  0.803656       0.562924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1906                 NaN            NaN  0.803722       0.562933E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1906                 NaN            NaN  0.803787       0.562942E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1905                 NaN            NaN  0.803853       0.562951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1905                 NaN            NaN  0.803919       0.562961E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1904                 NaN            NaN  0.803985       0.562970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1903                 NaN            NaN  0.804051       0.562979E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1903                 NaN            NaN  0.804117       0.562989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1902                 NaN            NaN  0.804183       0.562998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1901                 NaN            NaN  0.804249       0.563008E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1901                 NaN            NaN  0.804315       0.563017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1900                 NaN            NaN  0.804381       0.563027E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1899                 NaN            NaN  0.804447       0.563037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1899                 NaN            NaN  0.804512       0.563046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1898                 NaN            NaN  0.804578       0.563056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1897                 NaN            NaN  0.804644       0.563066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1897                 NaN            NaN  0.804710       0.563076E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1896                 NaN            NaN  0.804776       0.563086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1895                 NaN            NaN  0.804842       0.563095E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1895                 NaN            NaN  0.804908       0.563105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1894                 NaN            NaN  0.804973       0.563115E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1893                 NaN            NaN  0.805039       0.563125E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1893                 NaN            NaN  0.805105       0.563135E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1892                 NaN            NaN  0.805171       0.563146E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1891                 NaN            NaN  0.805237       0.563156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1891                 NaN            NaN  0.805303       0.563166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1890                 NaN            NaN  0.805369       0.563176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.1889                 NaN            NaN  0.805434       0.563186E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.1889                 NaN            NaN  0.805500       0.563196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.1888                 NaN            NaN  0.805566       0.563207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.1887                 NaN            NaN  0.805632       0.563217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.1887                 NaN            NaN  0.805698       0.563227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.1886                 NaN            NaN  0.805763       0.563238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.1885                 NaN            NaN  0.805829       0.563248E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.1885                 NaN            NaN  0.805895       0.563259E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.1884                 NaN            NaN  0.805960       0.563269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.1883                 NaN            NaN  0.806027       0.563280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.1883                 NaN            NaN  0.806092       0.563290E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.1882                 NaN            NaN  0.806158       0.563301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.1881                 NaN            NaN  0.806224       0.563312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.1881                 NaN            NaN  0.806289       0.563322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.1880                 NaN            NaN  0.806355       0.563333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.1879                 NaN            NaN  0.806421       0.563344E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.1879                 NaN            NaN  0.806486       0.563355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.1878                 NaN            NaN  0.806552       0.563366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1877                 NaN            NaN  0.806618       0.563376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1877                 NaN            NaN  0.806683       0.563387E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.0375                 NaN            NaN  0.806796       0.151099E-002  0.154164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.9983                 NaN            NaN            NaN            NaN            NaN  0.169371E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.9912                 NaN            NaN            NaN            NaN            NaN  0.879534E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.9913                 NaN            NaN            NaN            NaN            NaN  0.872891E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.9913                 NaN            NaN            NaN            NaN            NaN  0.865946E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.9914                 NaN            NaN            NaN            NaN            NaN  0.861643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.9915                 NaN            NaN            NaN            NaN            NaN  0.850270E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.9916                 NaN            NaN            NaN            NaN            NaN  0.844187E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.9916                 NaN            NaN            NaN            NaN  0.269990E-005  0.837539E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.9917                 NaN            NaN            NaN            NaN            NaN  0.831409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.9918                 NaN            NaN            NaN            NaN            NaN  0.823516E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.9918                 NaN            NaN            NaN            NaN            NaN  0.816752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.9919                 NaN            NaN            NaN            NaN            NaN  0.813069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.9920                 NaN            NaN            NaN            NaN            NaN  0.802286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.9920                 NaN            NaN            NaN            NaN            NaN  0.797565E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.9921                 NaN            NaN            NaN            NaN            NaN  0.790531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.9922                 NaN            NaN            NaN            NaN            NaN  0.783616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.9922                 NaN            NaN            NaN            NaN            NaN  0.775941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.8231                 NaN            NaN            NaN            NaN  0.169055       0.781947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4267                 NaN            NaN            NaN            NaN  0.565314       0.801033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4265                 NaN            NaN            NaN            NaN  0.565510       0.800821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4267                 NaN            NaN            NaN            NaN  0.565369       0.797478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.4276                 NaN            NaN            NaN            NaN  0.564484       0.795283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4277                 NaN            NaN            NaN            NaN  0.564340       0.792779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4295                 NaN            NaN            NaN            NaN  0.562614       0.788432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.4301                 NaN            NaN            NaN            NaN  0.562073       0.786578E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3919                 NaN            NaN            NaN            NaN  0.599744       0.840347E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4722                 NaN            NaN            NaN            NaN  0.520571       0.725303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.4344                 NaN            NaN            NaN            NaN  0.557880       0.775879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4353                 NaN            NaN            NaN            NaN  0.557009       0.774041E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4368                 NaN            NaN            NaN            NaN  0.555460       0.771420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4390                 NaN            NaN            NaN            NaN  0.553325       0.767398E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4409                 NaN            NaN            NaN            NaN  0.551422       0.763471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4419                 NaN            NaN            NaN            NaN  0.550537       0.760626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4444                 NaN            NaN            NaN            NaN  0.548025       0.757651E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4457                 NaN            NaN            NaN            NaN  0.546806       0.754317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4508                 NaN            NaN            NaN            NaN  0.541692       0.746763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4498                 NaN            NaN            NaN            NaN  0.542696       0.751129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4564                 NaN            NaN            NaN            NaN  0.536220       0.738420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4565                 NaN            NaN            NaN            NaN  0.536156       0.738255E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.4578                 NaN            NaN            NaN            NaN  0.534884       0.736229E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.4610                 NaN            NaN            NaN            NaN  0.531666       0.730670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4662                 NaN            NaN            NaN            NaN  0.526565       0.724223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.4688                 NaN            NaN            NaN            NaN  0.523966       0.721352E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.4703                 NaN            NaN            NaN            NaN  0.522519       0.719313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.4739                 NaN            NaN            NaN            NaN  0.518997       0.713454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.4775                 NaN            NaN            NaN            NaN  0.515394       0.709770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.7699                 NaN            NaN            NaN            NaN  0.226939       0.312773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.1940                 NaN            NaN            NaN            NaN  0.795030       0.109424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.4868                 NaN            NaN            NaN            NaN  0.506230       0.696532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.4905                 NaN            NaN            NaN            NaN  0.502575       0.692721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000       0.155738E-001   99.9843       0.875446E-005            NaN            NaN            NaN  0.109409E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9924                 NaN            NaN            NaN            NaN  0.994051       0.135684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.3269                 NaN            NaN            NaN            NaN  0.661886       0.112000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.6794                 NaN            NaN            NaN            NaN  0.318320       0.232332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5082                 NaN            NaN            NaN            NaN  0.485118       0.670326E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.5120                 NaN            NaN            NaN            NaN  0.481339       0.665435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.1155                 NaN            NaN            NaN            NaN  0.872320       0.121862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.7953                 NaN            NaN            NaN            NaN  0.202028       0.270629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.6495                 NaN            NaN            NaN            NaN  0.345759       0.476988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
