|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1952.38        500.000        99.0015                 NaN            NaN  0.982749       0.157775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.0015                 NaN            NaN  0.982747       0.157775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.0015                 NaN            NaN  0.982745       0.157775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.0015                 NaN            NaN  0.982744       0.157774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.0015                 NaN            NaN  0.982742       0.157774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.0015                 NaN            NaN  0.982740       0.157774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.0015                 NaN            NaN  0.982738       0.157773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.0015                 NaN            NaN  0.982737       0.157773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.0015                 NaN            NaN  0.982735       0.157773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.0015                 NaN            NaN  0.982733       0.157773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.0015                 NaN            NaN  0.982731       0.157772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.0015                 NaN            NaN  0.982729       0.157772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.0015                 NaN            NaN  0.982727       0.157772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.0015                 NaN            NaN  0.982725       0.157771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.0015                 NaN            NaN  0.982723       0.157771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.0015                 NaN            NaN  0.982721       0.157771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.0015                 NaN            NaN  0.982720       0.157770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.0015                 NaN            NaN  0.982718       0.157770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.0015                 NaN            NaN  0.982716       0.157770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.0015                 NaN            NaN  0.982714       0.157770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.0015                 NaN            NaN  0.982712       0.157769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.0015                 NaN            NaN  0.982709       0.157769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.0015                 NaN            NaN  0.982707       0.157769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.0015                 NaN            NaN  0.982705       0.157768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.0015                 NaN            NaN  0.982703       0.157768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.0015                 NaN            NaN  0.982701       0.157768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.0015                 NaN            NaN  0.982699       0.157767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.0015                 NaN            NaN  0.982697       0.157767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.0015                 NaN            NaN  0.982695       0.157766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.0015                 NaN            NaN  0.982692       0.157766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.0015                 NaN            NaN  0.982690       0.157766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.0015                 NaN            NaN  0.982688       0.157765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.0015                 NaN            NaN  0.982686       0.157765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.0015                 NaN            NaN  0.982684       0.157765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.0015                 NaN            NaN  0.982681       0.157764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.0015                 NaN            NaN  0.982679       0.157764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.0016                 NaN            NaN  0.982673       0.157763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.0015                 NaN            NaN  0.982674       0.157763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.0016                 NaN            NaN  0.982672       0.157763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.0016                 NaN            NaN  0.982669       0.157762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.0016                 NaN            NaN  0.982667       0.157762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.0016                 NaN            NaN  0.982665       0.157762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.0016                 NaN            NaN  0.982662       0.157761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.0016                 NaN            NaN  0.982660       0.157761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.0016                 NaN            NaN  0.982657       0.157760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.0016                 NaN            NaN  0.982655       0.157760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.0016                 NaN            NaN  0.982652       0.157760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.0016                 NaN            NaN  0.982650       0.157759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.0016                 NaN            NaN  0.982647       0.157759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.0016                 NaN            NaN  0.982644       0.157758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.0016                 NaN            NaN  0.982642       0.157758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.0016                 NaN            NaN  0.982639       0.157758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.0016                 NaN            NaN  0.982637       0.157757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.0016                 NaN            NaN  0.982634       0.157757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.0016                 NaN            NaN  0.982631       0.157756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.0016                 NaN            NaN  0.982628       0.157756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.0016                 NaN            NaN  0.982626       0.157755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.0016                 NaN            NaN  0.982623       0.157755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.0016                 NaN            NaN  0.982619       0.157754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.0016                 NaN            NaN  0.982616       0.157754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.0016                 NaN            NaN  0.982614       0.157754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.0016                 NaN            NaN  0.982612       0.157753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.0016                 NaN            NaN  0.982609       0.157753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.0016                 NaN            NaN  0.982606       0.157752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.0016                 NaN            NaN  0.982603       0.157752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.0016                 NaN            NaN  0.982600       0.157751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.0016                 NaN            NaN  0.982597       0.157751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.0016                 NaN            NaN  0.982594       0.157750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.0016                 NaN            NaN  0.982591       0.157750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.0016                 NaN            NaN  0.982588       0.157749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.0016                 NaN            NaN  0.982585       0.157749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.0016                 NaN            NaN  0.982582       0.157748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.0016                 NaN            NaN  0.982578       0.157748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.0016                 NaN            NaN  0.982575       0.157747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.0017                 NaN            NaN  0.982572       0.157747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.0017                 NaN            NaN  0.982569       0.157746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.0017                 NaN            NaN  0.982566       0.157746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.0017                 NaN            NaN  0.982562       0.157745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.0017                 NaN            NaN  0.982559       0.157745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.0017                 NaN            NaN  0.982556       0.157744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.0017                 NaN            NaN  0.982552       0.157744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.0017                 NaN            NaN  0.982549       0.157743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.0017                 NaN            NaN  0.982546       0.157743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.0017                 NaN            NaN  0.982542       0.157742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.0017                 NaN            NaN  0.982539       0.157741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.0017                 NaN            NaN  0.982535       0.157741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.0017                 NaN            NaN  0.982532       0.157740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.0017                 NaN            NaN  0.982528       0.157740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.0017                 NaN            NaN  0.982525       0.157739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.0017                 NaN            NaN  0.982521       0.157739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.0017                 NaN            NaN  0.982517       0.157738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.0017                 NaN            NaN  0.982509       0.157737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.0017                 NaN            NaN  0.982510       0.157737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.0017                 NaN            NaN  0.982506       0.157736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.0017                 NaN            NaN  0.982503       0.157736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.0017                 NaN            NaN  0.982499       0.157735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.0017                 NaN            NaN  0.982495       0.157734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.0017                 NaN            NaN  0.982491       0.157734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.0017                 NaN            NaN  0.982487       0.157733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.0017                 NaN            NaN  0.982483       0.157733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.0017                 NaN            NaN  0.982480       0.157732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.0018                 NaN            NaN  0.982476       0.157731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.0018                 NaN            NaN  0.982472       0.157731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        98.8331                 NaN            NaN  0.982441       0.422982E-002  0.180271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.9974                 NaN            NaN            NaN            NaN            NaN  0.259024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.9866                 NaN            NaN            NaN            NaN            NaN  0.134488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.9867                 NaN            NaN            NaN            NaN            NaN  0.133452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.9868                 NaN            NaN            NaN            NaN            NaN  0.132395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.9868                 NaN            NaN            NaN            NaN            NaN  0.131703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.9870                 NaN            NaN            NaN            NaN            NaN  0.129944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.9871                 NaN            NaN            NaN            NaN            NaN  0.129031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.9872                 NaN            NaN            NaN            NaN  0.311440E-005  0.128001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.9873                 NaN            NaN            NaN            NaN            NaN  0.127058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.9874                 NaN            NaN            NaN            NaN            NaN  0.125838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.9875                 NaN            NaN            NaN            NaN            NaN  0.124800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.9876                 NaN            NaN            NaN            NaN            NaN  0.124201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.9877                 NaN            NaN            NaN            NaN            NaN  0.122592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.9878                 NaN            NaN            NaN            NaN            NaN  0.121823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.9879                 NaN            NaN            NaN            NaN            NaN  0.120707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.9880                 NaN            NaN            NaN            NaN            NaN  0.119645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.9882                 NaN            NaN            NaN            NaN            NaN  0.118494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.7955                 NaN            NaN            NaN            NaN  0.192578       0.119359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3433                 NaN            NaN            NaN            NaN  0.644452       0.122322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3425                 NaN            NaN            NaN            NaN  0.645276       0.122332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3420                 NaN            NaN            NaN            NaN  0.645826       0.121916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3425                 NaN            NaN            NaN            NaN  0.645358       0.121633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3418                 NaN            NaN            NaN            NaN  0.646113       0.121344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3431                 NaN            NaN            NaN            NaN  0.644788       0.120754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3432                 NaN            NaN            NaN            NaN  0.644762       0.120530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2987                 NaN            NaN            NaN            NaN  0.688393       0.128854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3904                 NaN            NaN            NaN            NaN  0.598456       0.111278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3460                 NaN            NaN            NaN            NaN  0.642120       0.119119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3464                 NaN            NaN            NaN            NaN  0.641705       0.118905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3476                 NaN            NaN            NaN            NaN  0.640553       0.118563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3493                 NaN            NaN            NaN            NaN  0.638867       0.118009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3509                 NaN            NaN            NaN            NaN  0.637337       0.117501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.3510                 NaN            NaN            NaN            NaN  0.637257       0.117147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.3535                 NaN            NaN            NaN            NaN  0.634850       0.116738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.3542                 NaN            NaN            NaN            NaN  0.634164       0.116326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3594                 NaN            NaN            NaN            NaN  0.629063       0.115221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3580                 NaN            NaN            NaN            NaN  0.630457       0.115922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.3645                 NaN            NaN            NaN            NaN  0.624068       0.114081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.3639                 NaN            NaN            NaN            NaN  0.624692       0.114124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.3648                 NaN            NaN            NaN            NaN  0.623762       0.113899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.3677                 NaN            NaN            NaN            NaN  0.621001       0.113114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.3731                 NaN            NaN            NaN            NaN  0.615732       0.112179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.3756                 NaN            NaN            NaN            NaN  0.613236       0.111781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.3765                 NaN            NaN            NaN            NaN  0.612355       0.111544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.3800                 NaN            NaN            NaN            NaN  0.608930       0.110710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.3836                 NaN            NaN            NaN            NaN  0.605352       0.110204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.7281                 NaN            NaN            NaN            NaN  0.267033       0.485767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.0475                 NaN            NaN            NaN            NaN  0.935496       0.170028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.3924                 NaN            NaN            NaN            NaN  0.596764       0.108361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.3962                 NaN            NaN            NaN            NaN  0.593030       0.107831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000       0.158544E-001   99.9840       0.917206E-005            NaN            NaN            NaN  0.170387E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8040                 NaN            NaN            NaN            NaN   1.17487       0.211318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.1987                 NaN            NaN            NaN            NaN  0.783807       0.174615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.6188                 NaN            NaN            NaN            NaN  0.377577       0.362651E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.4136                 NaN            NaN            NaN            NaN  0.575899       0.104657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.4176                 NaN            NaN            NaN            NaN  0.572047       0.103971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9438                 NaN            NaN            NaN            NaN   1.03715       0.190514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.7549                 NaN            NaN            NaN            NaN  0.240878       0.423556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.5800                 NaN            NaN            NaN            NaN  0.412548       0.746801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
