|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1464.56        2500.00        99.1126                 NaN            NaN  0.333165       0.554201                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.1169                 NaN            NaN  0.331250       0.551830                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        99.1190                 NaN            NaN  0.329982       0.550991                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.1248                 NaN            NaN  0.547119       0.328108                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.1187                 NaN            NaN  0.330074       0.551261                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        96.9061                 NaN  0.275345E-001   1.12992        1.93650                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.9999                 NaN            NaN  0.102450E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.6354                 NaN            NaN  0.228178       0.136417                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.6762                 NaN  0.260949E-001  0.853867E-001  0.212340                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        98.7314                 NaN  0.142169E-001  0.452744       0.801677                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.1393                 NaN  0.355393E-001  0.303034       0.522093                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.1591                 NaN  0.249257E-005  0.284507       0.556352                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.1842                 NaN            NaN  0.304710       0.511066                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        99.1681                 NaN  0.239941E-001  0.530442       0.277461                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.1676                 NaN            NaN  0.522165       0.310218                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        99.1147                 NaN            NaN  0.555760       0.329530                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.2291                 NaN  0.286112E-005  0.286724       0.484201                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.1758                 NaN            NaN  0.306424       0.517727                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        99.1782                 NaN            NaN  0.305862       0.515961                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.1811                 NaN            NaN  0.303818       0.515061                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.1840                 NaN            NaN  0.513172       0.302816                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.1855                 NaN            NaN  0.512345       0.302138                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        98.7688                 NaN  0.820756E-001  0.381566       0.562258                 NaN  0.205349                 NaN            NaN            NaN            NaN
  1435.45        2500.00        97.7367                 NaN  0.320202       0.768723       0.522490                 NaN  0.651879                 NaN            NaN            NaN            NaN
  1434.24        2500.00        98.4235                 NaN  0.226145       0.536809       0.359090                 NaN  0.454463                 NaN            NaN            NaN            NaN
  1433.03        2500.00        98.1255                 NaN  0.271379       0.639706       0.423266                 NaN  0.540148                 NaN            NaN            NaN            NaN
  1431.81        2500.00        98.1459                 NaN  0.272609       0.412655       0.634340                 NaN  0.534503                 NaN            NaN            NaN            NaN
  1430.60        2500.00        98.1416                 NaN  0.278634       0.636236       0.406131                 NaN  0.537365                 NaN            NaN            NaN            NaN
  1429.39        2500.00        98.2290                 NaN  0.264854       0.385688       0.611818                 NaN  0.508676                 NaN            NaN            NaN            NaN
  1428.17        2500.00        98.2177                 NaN  0.272569       0.615254       0.380466                 NaN  0.514002                 NaN            NaN            NaN            NaN
  1426.96        2500.00        98.2394                 NaN  0.273115       0.370092       0.609280                 NaN  0.508076                 NaN            NaN            NaN            NaN
  1425.75        2500.00        97.7520                 NaN  0.355285       0.456894       0.786569                 NaN  0.649216                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.7807                 NaN  0.192809       0.423719       0.251529                 NaN  0.351206                 NaN            NaN            NaN            NaN
  1423.32        2500.00        98.3055                 NaN  0.273239       0.340628       0.591559                 NaN  0.489035                 NaN            NaN            NaN            NaN
  1422.11        2500.00        98.3241                 NaN  0.273791       0.587119       0.331266                 NaN  0.483713                 NaN            NaN            NaN            NaN
  1420.90        2500.00        98.3430                 NaN  0.274202       0.582203       0.322114                 NaN  0.478447                 NaN            NaN            NaN            NaN
  1419.68        2500.00        98.3618                 NaN  0.274828       0.313461       0.576742                 NaN  0.473121                 NaN            NaN            NaN            NaN
  1418.47        2500.00        98.3838                 NaN  0.274386       0.571276       0.303821                 NaN  0.466765                 NaN            NaN            NaN            NaN
  1417.26        2500.00        98.3997                 NaN  0.275364       0.567282       0.295302                 NaN  0.462401                 NaN            NaN            NaN            NaN
  1416.04        2500.00        98.4132                 NaN  0.276873       0.564717       0.286913                 NaN  0.458342                 NaN            NaN            NaN            NaN
  1414.83        2500.00        98.4372                 NaN  0.275084       0.279616       0.556915                 NaN  0.451144                 NaN            NaN            NaN            NaN
  1413.62        2500.00        98.4526                 NaN  0.276323       0.270621       0.553372                 NaN  0.447038                 NaN            NaN            NaN            NaN
  1412.41        2500.00        98.4682                 NaN  0.277046       0.549565       0.262472                 NaN  0.442681                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.4856                 NaN  0.277261       0.254497       0.545023                 NaN  0.437638                 NaN            NaN            NaN            NaN
  1409.98        2500.00        98.5004                 NaN  0.277891       0.246960       0.541447                 NaN  0.433350                 NaN            NaN            NaN            NaN
  1408.77        2500.00        98.5165                 NaN  0.278248       0.537418       0.239158                 NaN  0.428690                 NaN            NaN            NaN            NaN
  1407.55        2500.00        98.4768                 NaN  0.280048       0.254709       0.547618                 NaN  0.440838                 NaN            NaN            NaN            NaN
  1406.34        2500.00        98.5839                 NaN  0.282448       0.517634       0.207015                 NaN  0.408976                 NaN            NaN            NaN            NaN
  1405.13        2500.00        98.5790                 NaN  0.275780       0.521549       0.214040                 NaN  0.409665                 NaN            NaN            NaN            NaN
  1403.91        2500.00        98.5759                 NaN  0.280095       0.522341       0.209945                 NaN  0.411728                 NaN            NaN            NaN            NaN
  1402.70        2500.00        98.5891                 NaN  0.280815       0.203128       0.519300                 NaN  0.407672                 NaN            NaN            NaN            NaN
  1401.49        2500.00        98.4514                 NaN  0.312141       0.216197       0.572292                 NaN  0.448014                 NaN            NaN            NaN            NaN
  1400.28        2500.00        98.7686                 NaN  0.250476       0.456906       0.168692                 NaN  0.355376                 NaN            NaN            NaN            NaN
  1399.06        2500.00        98.6308                 NaN  0.282032       0.508806       0.182649                 NaN  0.395685                 NaN            NaN            NaN            NaN
  1397.85        2500.00        98.6400                 NaN  0.282858       0.508961       0.175268                 NaN  0.392914                 NaN            NaN            NaN            NaN
  1396.64        2500.00        98.2456                 NaN  0.370180       0.219704       0.658409                 NaN  0.506108                 NaN            NaN            NaN            NaN
  1395.42        2500.00        99.0790                 NaN  0.195324       0.114689       0.345221                 NaN  0.265801                 NaN            NaN            NaN            NaN
  1394.21        2500.00        98.6820                 NaN  0.283340       0.496751       0.157440                 NaN  0.380515                 NaN            NaN            NaN            NaN
  1393.00        2500.00        98.6906                 NaN  0.284506       0.494909       0.151970                 NaN  0.377994                 NaN            NaN            NaN            NaN
  1391.79        2500.00        98.7032                 NaN  0.284688       0.492049       0.145678                 NaN  0.374394                 NaN            NaN            NaN            NaN
  1390.57        2500.00        98.7141                 NaN  0.285163       0.140065       0.489603                 NaN  0.371105                 NaN            NaN            NaN            NaN
  1389.36        2500.00        98.7232                 NaN  0.285917       0.488243       0.134387                 NaN  0.368225                 NaN            NaN            NaN            NaN
  1388.15        2500.00        98.7290                 NaN  0.288754       0.488026       0.127404                 NaN  0.366774                 NaN            NaN            NaN            NaN
  1386.93        2500.00        98.7522                 NaN  0.283379       0.479669       0.125644                 NaN  0.359058                 NaN            NaN            NaN            NaN
  1385.72        2500.00        98.7570                 NaN  0.286624       0.479777       0.118280                 NaN  0.358299                 NaN            NaN            NaN            NaN
  1384.51        2500.00        98.7652                 NaN  0.287866       0.112361       0.478471                 NaN  0.356104                 NaN            NaN            NaN            NaN
  1383.29        2500.00        98.7792                 NaN  0.286396       0.108145       0.474790                 NaN  0.351460                 NaN            NaN            NaN            NaN
  1382.08        2500.00        98.7866                 NaN  0.287559       0.103212       0.473322                 NaN  0.349272                 NaN            NaN            NaN            NaN
  1380.87        2500.00        99.0240                 NaN  0.236945       0.752491E-001  0.380793                 NaN  0.283002                 NaN            NaN            NaN            NaN
  1379.66        2500.00        98.5778                 NaN  0.338582       0.559076       0.118002                 NaN  0.406513                 NaN            NaN            NaN            NaN
  1378.44        2500.00        98.8143                 NaN  0.288732       0.467537       0.884123E-001            NaN  0.341016                 NaN            NaN            NaN            NaN
  1377.23        2500.00        98.8270                 NaN  0.287409       0.463913       0.847153E-001            NaN  0.336960                 NaN            NaN            NaN            NaN
  1376.02        2500.00        98.8344                 NaN  0.288104       0.463366       0.794215E-001            NaN  0.334724                 NaN            NaN            NaN            NaN
  1374.80        2500.00        98.8442                 NaN  0.287998       0.460836       0.751200E-001            NaN  0.331829                 NaN            NaN            NaN            NaN
  1373.59        2500.00        98.8529                 NaN  0.288134       0.458993       0.707830E-001            NaN  0.329193                 NaN            NaN            NaN            NaN
  1372.38        2500.00        98.8604                 NaN  0.289648       0.645454E-001  0.457960                 NaN  0.327496                 NaN            NaN            NaN            NaN
  1371.16        2500.00        98.8689                 NaN  0.287113       0.455322       0.651103E-001            NaN  0.323586                 NaN            NaN            NaN            NaN
  1369.95        2500.00        98.8793                 NaN  0.287811       0.453293       0.584014E-001            NaN  0.321168                 NaN            NaN            NaN            NaN
  1368.74        2500.00        98.8874                 NaN  0.286848       0.451705       0.559841E-001            NaN  0.318102                 NaN            NaN            NaN            NaN
  1367.53        2500.00        98.8940                 NaN  0.287640       0.450518       0.516591E-001            NaN  0.316180                 NaN            NaN            NaN            NaN
  1366.31        2500.00        98.8899                 NaN  0.289397       0.454865       0.491076E-001            NaN  0.316703                 NaN            NaN            NaN            NaN
  1365.10        2500.00        98.9161                 NaN  0.284230       0.445063       0.459564E-001            NaN  0.308618                 NaN            NaN            NaN            NaN
  1363.89        2500.00        98.8297                 NaN  0.249623       0.712450E-001  0.484744                 NaN  0.318950       0.457696E-001            NaN            NaN            NaN
  1362.67        2500.00        98.5693                 NaN  0.136832       0.155468       0.605716                 NaN  0.348044       0.184680                 NaN            NaN            NaN
  1361.46        2500.00        98.5713                 NaN  0.131479       0.609105       0.153513                 NaN  0.345982       0.188580                 NaN            NaN            NaN
  1360.25        2500.00        98.5782                 NaN  0.127867       0.609039       0.150971                 NaN  0.343414       0.190474                 NaN            NaN            NaN
  1359.04        2500.00        98.5879                 NaN  0.124644       0.147766       0.607969                 NaN  0.340354       0.191345                 NaN            NaN            NaN
  1357.82        2500.00        98.5990                 NaN  0.122589       0.143641       0.605936                 NaN  0.337321       0.191537                 NaN            NaN            NaN
  1356.61        2500.00        98.6113                 NaN  0.120783       0.140290       0.602640                 NaN  0.334147       0.190860                 NaN            NaN            NaN
  1355.40        2500.00        98.6245                 NaN  0.119049       0.137068       0.598798                 NaN  0.330786       0.189839                 NaN            NaN            NaN
  1354.18        2500.00        98.6341                 NaN  0.114189       0.137538       0.596667                 NaN  0.327669       0.189841                 NaN            NaN            NaN
  1352.97        2500.00        98.6537                 NaN  0.119787       0.126098       0.589880                 NaN  0.324316       0.186208                 NaN            NaN            NaN
  1351.76        2500.00        98.6682                 NaN  0.115817       0.583385       0.127355                 NaN  0.320566       0.184630                 NaN            NaN            NaN
  1350.54        2500.00        98.6830                 NaN  0.114940       0.577341       0.124819                 NaN  0.317225       0.182704                 NaN            NaN            NaN
  1349.33        2500.00        98.6987                 NaN  0.114203       0.121716       0.571497                 NaN  0.313612       0.180243                 NaN            NaN            NaN
  1348.12        2500.00        98.7119                 NaN  0.113880       0.567826       0.117111                 NaN  0.310697       0.178567                 NaN            NaN            NaN
  1346.91        2500.00        98.7279                 NaN  0.111948       0.559682       0.117643                 NaN  0.306868       0.175976                 NaN            NaN            NaN
  1345.69        2500.00        98.7431                 NaN  0.111883       0.553922       0.113654                 NaN  0.303619       0.173791                 NaN            NaN            NaN
  1344.48        2500.00        98.7577                 NaN  0.111826       0.110377       0.548175                 NaN  0.300493       0.171465                 NaN            NaN            NaN
  1343.27        2500.00        98.7726                 NaN  0.109784       0.110669       0.540980                 NaN  0.296909       0.169083                 NaN            NaN            NaN
  1342.05        2500.00        98.7868                 NaN  0.109351       0.534225       0.108930                 NaN  0.293943       0.166754                 NaN            NaN            NaN
  1340.84        2500.00        98.8011                 NaN  0.108187       0.106941       0.528608                 NaN  0.290537       0.164611                 NaN            NaN            NaN
  1339.63        2500.00        98.8140                 NaN  0.107099       0.106167       0.522885                 NaN  0.287622       0.162257                 NaN            NaN            NaN
  1338.42        2500.00        98.8283                 NaN  0.105805       0.104491       0.516751                 NaN  0.284281       0.160389                 NaN            NaN            NaN
  1337.20        2500.00        98.8429                 NaN  0.105841       0.101568       0.510445                 NaN  0.281246       0.158043                 NaN            NaN            NaN
  1335.99        2500.00        98.8555                 NaN  0.103739       0.102298       0.504494                 NaN  0.278132       0.155873                 NaN            NaN            NaN
  1334.78        2500.00        98.8675                 NaN  0.102283       0.102562       0.498451                 NaN  0.275379       0.153820                 NaN            NaN            NaN
  1333.56        2500.00        98.8817                 NaN  0.101483       0.100471       0.492525                 NaN  0.272159       0.151689                 NaN            NaN            NaN
  1332.35        2500.00        98.8934                 NaN  0.999663E-001  0.101200       0.486350                 NaN  0.269465       0.149576                 NaN            NaN            NaN
  1331.14        2500.00        98.9058                 NaN  0.988318E-001  0.999608E-001  0.481189                 NaN  0.266602       0.147639                 NaN            NaN            NaN
  1329.92        2500.00        98.9183                 NaN  0.972072E-001  0.474930       0.100266                 NaN  0.263649       0.145646                 NaN            NaN            NaN
  1328.71        2500.00        98.9301                 NaN  0.959020E-001  0.468920       0.100345                 NaN  0.261002       0.143690                 NaN            NaN            NaN
  1327.50        2500.00        98.9423                 NaN  0.944491E-001  0.100293       0.463195                 NaN  0.258081       0.141697                 NaN            NaN            NaN
  1326.29        2500.00        98.9540                 NaN  0.929144E-001  0.457502       0.100338                 NaN  0.255359       0.139840                 NaN            NaN            NaN
  1325.07        2500.00        98.9648                 NaN  0.914429E-001  0.100263       0.452671                 NaN  0.252827       0.138038                 NaN            NaN            NaN
  1323.86        2500.00        98.9762                 NaN  0.894297E-001  0.446151       0.101933                 NaN  0.250127       0.136163                 NaN            NaN            NaN
  1322.65        2500.00        98.9874                 NaN  0.881533E-001  0.440976       0.101618                 NaN  0.247518       0.134366                 NaN            NaN            NaN
  1321.43        2500.00        98.9981                 NaN  0.860491E-001  0.103195       0.435149                 NaN  0.244913       0.132547                 NaN            NaN            NaN
  1320.22        2500.00        99.0085                 NaN  0.844046E-001  0.429819       0.104031                 NaN  0.242458       0.130794                 NaN            NaN            NaN
  1319.01        2500.00        99.0184                 NaN  0.823010E-001  0.105983       0.424097                 NaN  0.240088       0.129101                 NaN            NaN            NaN
  1317.79        2500.00        99.0301                 NaN  0.817026E-001  0.104128       0.418920                 NaN  0.237585       0.127554                 NaN            NaN            NaN
  1316.58        2500.00        99.0402                 NaN  0.782844E-001  0.108901       0.412378                 NaN  0.234749       0.125503                 NaN            NaN            NaN
  1315.37        2500.00        99.0492                 NaN  0.770122E-001  0.408100       0.108840                 NaN  0.232671       0.124127                 NaN            NaN            NaN
  1314.16        2500.00        99.0593                 NaN  0.752929E-001  0.402364       0.110248                 NaN  0.230413       0.122350                 NaN            NaN            NaN
  1312.94        2500.00        99.0690                 NaN  0.730733E-001  0.397474       0.111661                 NaN  0.227895       0.120944                 NaN            NaN            NaN
  1311.73        2500.00        99.0785                 NaN  0.713378E-001  0.391822       0.113365                 NaN  0.225749       0.119184                 NaN            NaN            NaN
  1310.52        2500.00        99.0876                 NaN  0.696829E-001  0.387130       0.114426                 NaN  0.223479       0.117662                 NaN            NaN            NaN
  1309.30        2500.00        99.0968                 NaN  0.670730E-001  0.117599       0.381119                 NaN  0.221253       0.116183                 NaN            NaN            NaN
  1308.09        2500.00        99.1058                 NaN  0.650555E-001  0.119169       0.376243                 NaN  0.219039       0.114657                 NaN            NaN            NaN
  1306.88        2500.00        99.1146                 NaN  0.631499E-001  0.120883       0.371219                 NaN  0.216909       0.113202                 NaN            NaN            NaN
  1305.67        2500.00        99.1239                 NaN  0.613959E-001  0.365842       0.122355                 NaN  0.214715       0.111752                 NaN            NaN            NaN
  1304.45        2500.00        99.1319                 NaN  0.587037E-001  0.360439       0.126062                 NaN  0.212710       0.110235                 NaN            NaN            NaN
  1303.24        2500.00        99.1425                 NaN  0.118973       0.484466E-001  0.372794                 NaN  0.218186       0.991137E-001            NaN            NaN            NaN
  1302.03        2500.00        99.1499                 NaN  0.110253E-001  0.179206       0.342123                 NaN  0.202654       0.115064                 NaN            NaN            NaN
  1300.81        2500.00        99.1532                 NaN  0.330925E-001  0.164623       0.335420                 NaN  0.205168       0.108487                 NaN            NaN            NaN
  1299.60        2500.00        99.1653                 NaN  0.503136E-001  0.340107       0.135053                 NaN  0.204531       0.104706                 NaN            NaN            NaN
  1298.39        2500.00        99.1729                 NaN  0.485764E-001  0.335295       0.137146                 NaN  0.202757       0.103349                 NaN            NaN            NaN
  1297.17        2500.00        99.1808                 NaN  0.459100E-001  0.330044       0.140394                 NaN  0.200752       0.102060                 NaN            NaN            NaN
  1295.96        2500.00        90.9467                 NaN  0.204890       0.727169        1.75698                 NaN   1.20522       0.741188        4.41787                 NaN            NaN
  1294.75        2500.00        72.0337                 NaN  0.355777        4.77820        2.66370                 NaN   3.50597        2.15455        14.5081                 NaN            NaN
  1293.54        2500.00        77.5652                 NaN  0.181462        3.69537        2.49186                 NaN   2.82922        1.69548        11.5414                 NaN            NaN
  1292.32        2500.00        81.2539                 NaN  0.606098E-001   2.95893        2.39076                 NaN   2.37576        1.39204        9.56803                 NaN            NaN
  1291.11        2500.00        83.8868                 NaN  0.918819E-002   2.45430        2.25625                 NaN   2.05450        1.17287        8.16605                 NaN            NaN
  1289.90        2500.00        78.8685                 NaN  0.358064        1.98733        3.69984                 NaN   2.75666        1.54986        10.7797                 NaN            NaN
  1288.68        2500.00        95.5565                 NaN            NaN  0.426066        1.11568                 NaN  0.564051       0.229804        2.10785                 NaN            NaN
  1287.47        2500.00        88.8332                 NaN            NaN   1.82188        1.56881                 NaN   1.45361       0.757361        5.56510                 NaN            NaN
  1286.26        2500.00        89.8187                 NaN  0.363201       0.926271        1.79223                 NaN   1.36647       0.651744        5.08136                 NaN            NaN
  1285.04        2500.00        86.7637                 NaN            NaN   2.11314        1.54466                 NaN   1.74934        1.02423        6.80494                 NaN            NaN
  1283.83        2500.00        96.0056                 NaN  0.203190        1.47008                 NaN            NaN  0.549571       0.414965E-001   1.73011                 NaN            NaN
  1282.62        2500.00        94.8142                 NaN            NaN  0.999933       0.589796                 NaN  0.693240       0.331891        2.57096                 NaN            NaN
  1281.41        2500.00        89.8731                 NaN            NaN   1.97005        1.32259                 NaN   1.34144       0.607211        4.88558                 NaN            NaN
  1280.19        2500.00        98.8728                 NaN            NaN            NaN            NaN            NaN  0.120093       0.412296       0.594798                 NaN            NaN
  1278.98        2500.00        87.4920                 NaN            NaN   1.32835        3.05435                 NaN   1.72360       0.388067        6.01363                 NaN            NaN
  1277.77        2500.00        94.1188                 NaN            NaN   1.20379       0.708146                 NaN  0.790983       0.358271        2.81999                 NaN            NaN
  1276.55        2500.00        91.7414                 NaN            NaN   2.35389       0.237722                 NaN   1.17279       0.454745        4.03946                 NaN            NaN
  1275.34        2500.00        96.7543                 NaN            NaN   1.14399                 NaN            NaN  0.396252       0.206887        1.49858                 NaN            NaN
  1274.13        2500.00        94.3952                 NaN            NaN   1.33440       0.513147                 NaN  0.764017       0.311955        2.68131                 NaN            NaN
  1272.92        2500.00        95.0912                 NaN            NaN  0.765283       0.832249                 NaN  0.664473       0.305810        2.34101                 NaN            NaN
  1271.70        2500.00        92.2003                 NaN            NaN  0.857230        1.35672                 NaN   1.07247       0.579896        3.93334                 NaN            NaN
  1270.49        2500.00        78.7846                 NaN            NaN  0.543286        1.58343        3.99037        2.92779        1.04995        11.1205                 NaN            NaN
  1269.28        2500.00        99.9999                 NaN  0.271049E-004  0.342861E-004            NaN            NaN  0.407919E-005            NaN            NaN            NaN            NaN
  1268.06        2500.00        99.9999                 NaN  0.199286E-005            NaN            NaN            NaN  0.234463E-004            NaN  0.935943E-004  0.488772E-005            NaN
  1266.85        2500.00        98.5931                 NaN            NaN  0.863780                 NaN            NaN  0.173452                 NaN  0.369709                 NaN            NaN
  1265.64        2500.00        93.4916                 NaN            NaN   1.84278       0.259903E-002            NaN  0.905875       0.436805        3.32036                 NaN            NaN
  1264.42        2500.00        99.8178                 NaN            NaN  0.238760E-001            NaN            NaN  0.243651E-001  0.227982E-001  0.111173                 NaN            NaN
  1263.21        2500.00        97.4145                 NaN            NaN  0.713249                 NaN            NaN  0.362018       0.156642        1.35364                 NaN            NaN
  1262.00        2500.00        98.1150                 NaN            NaN  0.650429                 NaN            NaN  0.270242       0.892131E-001  0.875125                 NaN            NaN
  1260.79        2500.00        96.7604                 NaN            NaN  0.774039       0.218594                 NaN  0.448131       0.198508        1.60037                 NaN            NaN
  1259.57        2500.00       100.0000                 NaN            NaN  0.374815E-005            NaN            NaN  0.166967E-005            NaN  0.630917E-005            NaN            NaN
  1258.36        2500.00       100.0000                 NaN            NaN  0.295198E-005            NaN            NaN  0.240875E-005  0.268168E-005  0.974202E-005            NaN            NaN
  1257.15        2500.00        97.1889                 NaN            NaN  0.788879                 NaN            NaN  0.384838       0.158477        1.47886                 NaN            NaN
  1255.93        2500.00        98.8626                 NaN            NaN  0.405432                 NaN            NaN  0.163071       0.351031E-001  0.533806                 NaN            NaN
  1254.72        2500.00        98.8866                 NaN            NaN  0.379179                 NaN            NaN  0.159400       0.419320E-001  0.532856                 NaN            NaN
  1253.51        2500.00        98.8542                 NaN            NaN  0.426482                 NaN            NaN  0.161339                 NaN  0.536421       0.215771E-001            NaN
  1252.30        2500.00        99.4026                 NaN            NaN            NaN            NaN            NaN  0.880428E-001  0.874145E-001  0.421935                 NaN            NaN
  1251.08        2500.00        98.0710                 NaN            NaN  0.945645       0.616499E-001            NaN  0.248737                 NaN  0.647404       0.255595E-001            NaN
  1249.87        2500.00        97.0743                 NaN            NaN  0.384531       0.699586                 NaN  0.393268                 NaN   1.37102       0.773067E-001            NaN
  1248.66        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.347702E-005            NaN  0.230593E-005
  1247.44        2500.00        95.8437                 NaN            NaN   2.33904                 NaN            NaN  0.527794                 NaN   1.23629       0.531818E-001            NaN
  1246.23        2500.00        92.9865                 NaN            NaN   3.69145                 NaN            NaN  0.885835       0.592065E-002   2.33067       0.995987E-001            NaN
  1245.02        2500.00        93.6211                 NaN            NaN   2.29415                 NaN            NaN  0.703759                 NaN   3.14421       0.236817                 NaN
  1243.80        2500.00        97.5114                 NaN            NaN   1.58287       0.344550E-003            NaN  0.425225                 NaN  0.439575       0.405624E-001            NaN
  1242.59        2500.00        94.4859                 NaN            NaN   2.02670                 NaN            NaN  0.745519                 NaN   2.65613       0.857544E-001            NaN
  1241.38        2500.00        99.2150                 NaN            NaN  0.936128E-001  0.454162                 NaN  0.106531                 NaN  0.130669                 NaN            NaN
  1240.17        2500.00        96.8535                 NaN            NaN  0.962613       0.275889                 NaN  0.468127                 NaN   1.41877       0.210597E-001            NaN
  1238.95        2500.00        98.3795                 NaN            NaN  0.766282                 NaN            NaN  0.154619                 NaN  0.650276       0.493313E-001            NaN
  1237.74        2500.00        98.4152                 NaN            NaN  0.508277E-001  0.562035                 NaN  0.225201                 NaN  0.699908       0.467808E-001            NaN
  1236.53        2500.00        79.6889                 NaN   1.93814       0.481173        1.74741                 NaN   2.41463                 NaN   9.65642       0.534427        3.53894     
  1235.31        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.120520E-005            NaN            NaN
  1234.10        2500.00       100.0000       0.113177E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1232.89        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1231.67        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1230.46        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1229.25        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1228.04        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1226.82        2500.00        75.3501                 NaN            NaN   5.56992       0.854505                 NaN   2.42715                 NaN   8.96119       0.173095        6.66402     
