|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1337.20        2500.00        99.0413                 NaN  0.754895E-001  0.812143E-001  0.416712                 NaN  0.289280       0.960403E-001            NaN            NaN            NaN
  1335.99        2500.00        99.0530                 NaN  0.738348E-001  0.816745E-001  0.411212                 NaN  0.285736       0.945681E-001            NaN            NaN            NaN
  1334.78        2500.00        99.0642                 NaN  0.726579E-001  0.817528E-001  0.405647                 NaN  0.282570       0.931730E-001            NaN            NaN            NaN
  1333.56        2500.00        99.0771                 NaN  0.719571E-001  0.799726E-001  0.400253                 NaN  0.278932       0.917438E-001            NaN            NaN            NaN
  1332.35        2500.00        99.0880                 NaN  0.707290E-001  0.804309E-001  0.394632                 NaN  0.275843       0.903255E-001            NaN            NaN            NaN
  1331.14        2500.00        99.0994                 NaN  0.697989E-001  0.793331E-001  0.389876                 NaN  0.272587       0.890210E-001            NaN            NaN            NaN
  1329.92        2500.00        99.1108                 NaN  0.685217E-001  0.384243       0.794575E-001            NaN  0.269248       0.876803E-001            NaN            NaN            NaN
  1328.71        2500.00        99.1217                 NaN  0.674691E-001  0.378823       0.794045E-001            NaN  0.266228       0.863705E-001            NaN            NaN            NaN
  1327.50        2500.00        99.1328                 NaN  0.663169E-001  0.792491E-001  0.373659                 NaN  0.262938       0.850430E-001            NaN            NaN            NaN
  1326.29        2500.00        99.1435                 NaN  0.651213E-001  0.368532       0.791696E-001            NaN  0.259857       0.838013E-001            NaN            NaN            NaN
  1325.07        2500.00        99.1534                 NaN  0.639702E-001  0.789955E-001  0.364098                 NaN  0.256979       0.826004E-001            NaN            NaN            NaN
  1323.86        2500.00        99.1637                 NaN  0.624470E-001  0.358334       0.801960E-001            NaN  0.253936       0.813476E-001            NaN            NaN            NaN
  1322.65        2500.00        99.1739                 NaN  0.614362E-001  0.353679       0.798357E-001            NaN  0.250994       0.801548E-001            NaN            NaN            NaN
  1321.43        2500.00        99.1837                 NaN  0.598618E-001  0.809619E-001  0.348485                 NaN  0.248062       0.789480E-001            NaN            NaN            NaN
  1320.22        2500.00        99.1931                 NaN  0.586085E-001  0.343726       0.814979E-001            NaN  0.245290       0.777867E-001            NaN            NaN            NaN
  1319.01        2500.00        99.2021                 NaN  0.570484E-001  0.829043E-001  0.338641                 NaN  0.242611       0.766614E-001            NaN            NaN            NaN
  1317.79        2500.00        99.2126                 NaN  0.565295E-001  0.813583E-001  0.334107                 NaN  0.239804       0.756276E-001            NaN            NaN            NaN
  1316.58        2500.00        99.2216                 NaN  0.540648E-001  0.849581E-001  0.328382                 NaN  0.236669       0.743050E-001            NaN            NaN            NaN
  1315.37        2500.00        99.2299                 NaN  0.530885E-001  0.324512       0.847923E-001            NaN  0.234305       0.733829E-001            NaN            NaN            NaN
  1314.16        2500.00        99.2389                 NaN  0.518134E-001  0.319499       0.857747E-001            NaN  0.231766       0.722247E-001            NaN            NaN            NaN
  1312.94        2500.00        99.2476                 NaN  0.501997E-001  0.315197       0.867559E-001            NaN  0.228971       0.712928E-001            NaN            NaN            NaN
  1311.73        2500.00        99.2561                 NaN  0.489146E-001  0.310278       0.879576E-001            NaN  0.226558       0.701514E-001            NaN            NaN            NaN
  1310.52        2500.00        99.2643                 NaN  0.476995E-001  0.306138       0.886617E-001            NaN  0.224026       0.691584E-001            NaN            NaN            NaN
  1309.30        2500.00        99.2725                 NaN  0.458325E-001  0.909953E-001  0.300961                 NaN  0.221545       0.681847E-001            NaN            NaN            NaN
  1308.09        2500.00        99.2805                 NaN  0.443785E-001  0.920891E-001  0.296710                 NaN  0.219082       0.671916E-001            NaN            NaN            NaN
  1306.88        2500.00        99.2884                 NaN  0.430037E-001  0.932908E-001  0.292353                 NaN  0.216710       0.662440E-001            NaN            NaN            NaN
  1305.67        2500.00        99.2966                 NaN  0.417399E-001  0.287750       0.943049E-001            NaN  0.214280       0.653044E-001            NaN            NaN            NaN
  1304.45        2500.00        99.3037                 NaN  0.398394E-001  0.283087       0.970295E-001            NaN  0.212044       0.643213E-001            NaN            NaN            NaN
  1303.24        2500.00        99.3147                 NaN  0.805864E-001  0.372443E-001  0.292420                 NaN  0.217258       0.577435E-001            NaN            NaN            NaN
  1302.03        2500.00        99.3184                 NaN  0.745659E-002  0.137583       0.267999                 NaN  0.201571       0.669502E-001            NaN            NaN            NaN
  1300.81        2500.00        99.3222                 NaN  0.223451E-001  0.126218       0.262378                 NaN  0.203855       0.630314E-001            NaN            NaN            NaN
  1299.60        2500.00        99.3332                 NaN  0.339187E-001  0.265717       0.103424                 NaN  0.203002       0.607519E-001            NaN            NaN            NaN
  1298.39        2500.00        99.3399                 NaN  0.326928E-001  0.261620       0.104894                 NaN  0.201024       0.598808E-001            NaN            NaN            NaN
  1297.17        2500.00        99.3469                 NaN  0.308468E-001  0.257174       0.107241                 NaN  0.198822       0.590497E-001            NaN            NaN            NaN
  1295.96        2500.00        91.5786                 NaN  0.138047       0.557490        1.37407                 NaN   1.19894       0.430439        4.72240                 NaN            NaN
  1294.75        2500.00        73.4308                 NaN  0.241307        3.77351        2.06212                 NaN   3.53014        1.26431        15.6978                 NaN            NaN
  1293.54        2500.00        78.7915                 NaN  0.122200        2.90121        1.91754                 NaN   2.83771       0.989679        12.4402                 NaN            NaN
  1292.32        2500.00        82.3458                 NaN  0.405531E-001   2.31219        1.83115                 NaN   2.37621       0.809263        10.2848                 NaN            NaN
  1291.11        2500.00        84.8739                 NaN  0.611412E-002   1.91025        1.72127                 NaN   2.05030       0.679569        8.75865                 NaN            NaN
  1289.90        2500.00        80.1104                 NaN  0.237161        1.51652        2.88510                 NaN   2.75813       0.899669        11.5930                 NaN            NaN
  1288.68        2500.00        95.9047                 NaN            NaN  0.327224       0.840108                 NaN  0.557386       0.131768        2.23885                 NaN            NaN
  1287.47        2500.00        89.6014                 NaN            NaN   1.37637        1.20860                 NaN   1.44232       0.435681        5.93567                 NaN            NaN
  1286.26        2500.00        90.5520                 NaN  0.238134       0.696790        1.37568                 NaN   1.35347       0.373568        5.41039                 NaN            NaN
  1285.04        2500.00        87.6363                 NaN            NaN   1.62544        1.16552                 NaN   1.73384       0.588406        7.25047                 NaN            NaN
  1283.83        2500.00        96.3773                 NaN  0.131427        1.09604                 NaN            NaN  0.540907       0.236252E-001   1.83069                 NaN            NaN
  1282.62        2500.00        95.2122                 NaN            NaN  0.747547       0.449288                 NaN  0.682108       0.189269        2.71956                 NaN            NaN
  1281.41        2500.00        90.6654                 NaN            NaN   1.47294        1.00756                 NaN   1.32373       0.346608        5.18380                 NaN            NaN
  1280.19        2500.00        99.0239                 NaN            NaN            NaN            NaN            NaN  0.117510       0.232640       0.625946                 NaN            NaN
  1278.98        2500.00        88.4152                 NaN            NaN   1.00987        2.27872                 NaN   1.69940       0.221301        6.37555                 NaN            NaN
  1277.77        2500.00        94.6252                 NaN            NaN  0.891783       0.534227                 NaN  0.774880       0.203160        2.97072                 NaN            NaN
  1276.55        2500.00        92.4157                 NaN            NaN   1.74656       0.173951                 NaN   1.14912       0.257764        4.25688                 NaN            NaN
  1275.34        2500.00        97.0676                 NaN            NaN  0.858093                 NaN            NaN  0.386335       0.116645        1.57132                 NaN            NaN
  1274.13        2500.00        94.9003                 NaN            NaN  0.980154       0.385068                 NaN  0.745366       0.175909        2.81318                 NaN            NaN
  1272.92        2500.00        95.5470                 NaN            NaN  0.571374       0.610963                 NaN  0.646979       0.172182        2.45152                 NaN            NaN
  1271.70        2500.00        92.8676                 NaN            NaN  0.628596        1.01252                 NaN   1.04450       0.326789        4.11998                 NaN            NaN
  1270.49        2500.00        80.3739                 NaN            NaN  0.403348        1.16266        2.87101        2.87072       0.596463        11.7219                 NaN            NaN
  1269.28        2500.00       100.0000                 NaN  0.168182E-004  0.255273E-004            NaN            NaN  0.392069E-005            NaN            NaN            NaN            NaN
  1268.06        2500.00        99.9999                 NaN  0.122092E-005            NaN            NaN            NaN  0.225358E-004            NaN  0.968128E-004  0.274353E-005            NaN
  1266.85        2500.00        98.8105                 NaN            NaN  0.639757                 NaN            NaN  0.166918                 NaN  0.382844                 NaN            NaN
  1265.64        2500.00        94.0944                 NaN            NaN   1.34084       0.186642E-002            NaN  0.873504       0.243999        3.44535                 NaN            NaN
  1264.42        2500.00        99.8322                 NaN            NaN  0.171477E-001            NaN            NaN  0.233469E-001  0.126700E-001  0.114650                 NaN            NaN
  1263.21        2500.00        97.6546                 NaN            NaN  0.512606                 NaN            NaN  0.347419       0.871783E-001   1.39821                 NaN            NaN
  1262.00        2500.00        98.3177                 NaN            NaN  0.470410                 NaN            NaN  0.259030       0.495598E-001  0.903265                 NaN            NaN
  1260.79        2500.00        97.0878                 NaN            NaN  0.559685       0.160552                 NaN  0.429560       0.110511        1.65190                 NaN            NaN
  1259.57        2500.00       100.0000                 NaN            NaN  0.270170E-005            NaN            NaN  0.159512E-005            NaN  0.649094E-005            NaN            NaN
  1258.36        2500.00       100.0000                 NaN            NaN  0.211941E-005            NaN            NaN  0.230126E-005  0.148809E-005  0.100215E-004            NaN            NaN
  1257.15        2500.00        97.4557                 NaN            NaN  0.563924                 NaN            NaN  0.368338       0.880843E-001   1.52398                 NaN            NaN
  1255.93        2500.00        98.9864                 NaN            NaN  0.289279                 NaN            NaN  0.155773       0.194708E-001  0.549056                 NaN            NaN
  1254.72        2500.00        99.0060                 NaN            NaN  0.270729                 NaN            NaN  0.152191       0.232604E-001  0.547844                 NaN            NaN
  1253.51        2500.00        98.9779                 NaN            NaN  0.304816                 NaN            NaN  0.153981                 NaN  0.551294       0.120239E-001            NaN
  1252.30        2500.00        99.4344                 NaN            NaN            NaN            NaN            NaN  0.839452E-001  0.484191E-001  0.433262                 NaN            NaN
  1251.08        2500.00        98.3493                 NaN            NaN  0.689366       0.440582E-001            NaN  0.237450                 NaN  0.665555       0.142459E-001            NaN
  1249.87        2500.00        97.3898                 NaN            NaN  0.274739       0.509577                 NaN  0.375139                 NaN   1.40769       0.430547E-001            NaN
  1248.66        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.355749E-005            NaN  0.234507E-005
  1247.44        2500.00        96.4903                 NaN            NaN   1.70657                 NaN            NaN  0.503517                 NaN   1.27004       0.296210E-001            NaN
  1246.23        2500.00        94.0150                 NaN            NaN   2.69119                 NaN            NaN  0.844024       0.326943E-002   2.39107       0.554033E-001            NaN
  1245.02        2500.00        94.3363                 NaN            NaN   1.66200                 NaN            NaN  0.666234                 NaN   3.20463       0.130885                 NaN
  1243.80        2500.00        97.9928                 NaN            NaN   1.13884       0.249459E-003            NaN  0.400273                 NaN  0.445578       0.222909E-001            NaN
  1242.59        2500.00        95.1476                 NaN            NaN   1.41719                 NaN            NaN  0.700962                 NaN   2.68716       0.470708E-001            NaN
  1241.38        2500.00        99.3807                 NaN            NaN  0.651938E-001  0.323125                 NaN  0.995370E-001            NaN  0.131481                 NaN            NaN
  1240.17        2500.00        97.2669                 NaN            NaN  0.664120       0.191664                 NaN  0.437606                 NaN   1.42817       0.114926E-001            NaN
  1238.95        2500.00        98.6405                 NaN            NaN  0.535743                 NaN            NaN  0.144102                 NaN  0.652815       0.268391E-001            NaN
  1237.74        2500.00        98.6259                 NaN            NaN  0.350225E-001  0.402469                 NaN  0.209564                 NaN  0.701629       0.254124E-001            NaN
  1236.53        2500.00        81.3106                 NaN   1.16257       0.338732        1.27252                 NaN   2.27348                 NaN   9.78357       0.293734        3.56476     
  1235.31        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.120012E-005            NaN            NaN
  1234.10        2500.00       100.0000       0.112834E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1232.89        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
