|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1548.35        2500.00        99.4780       0.480960       0.410168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.5480       0.418348       0.336424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.5191       0.443885       0.370079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.1025       0.827115       0.704160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.9523       0.440793E-001  0.359740E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.5299       0.435104       0.350431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.5333       0.433170       0.335508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.5374       0.429173       0.334105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.5403       0.427215       0.325099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        99.5439       0.424164       0.319132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        99.5464       0.422776       0.307798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.5503       0.418579       0.311035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.5533       0.417087       0.295711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.5568       0.413725       0.295169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.5582       0.414342       0.274285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.5626       0.409778       0.276495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.5637       0.409698       0.266291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.5699       0.403125       0.269891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.5697       0.405570       0.247205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00        99.5750       0.399820       0.251738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00        99.5759       0.400506       0.236045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.5799       0.395866       0.241897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00        99.5830       0.394056       0.229869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00        99.5849       0.392044       0.230701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00        99.5878       0.390001       0.221701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00        99.5905       0.388891       0.206278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00        99.5904       0.388706       0.208762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.5984       0.381532       0.200481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00        99.5972       0.383797       0.190436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00        99.5947       0.385279       0.200435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00        99.6111       0.370007       0.188851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00        99.6049       0.378008       0.171404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00        99.6074       0.375871       0.167133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00        99.5378       0.126321       0.273571E-001            NaN            NaN  0.308503                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        99.5039                 NaN            NaN            NaN            NaN  0.496098                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        99.4960       0.313757E-002            NaN            NaN            NaN  0.500893                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.4422                 NaN            NaN            NaN            NaN  0.557803                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.5510                 NaN            NaN            NaN            NaN  0.449016                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00        99.4969       0.113232E-002            NaN            NaN            NaN  0.501922                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00        99.4976                 NaN            NaN            NaN            NaN  0.502405                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00        99.4966                 NaN            NaN            NaN            NaN  0.503377                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00        99.4952                 NaN            NaN            NaN            NaN  0.504797                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00        99.4956                 NaN            NaN            NaN            NaN  0.504390                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00        99.4931                 NaN  0.306212E-005            NaN            NaN  0.506909                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00        99.4908                 NaN            NaN            NaN            NaN  0.509153                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00        99.4355                 NaN            NaN            NaN            NaN  0.953567E-001  0.469107                 NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00        99.2419                 NaN            NaN            NaN            NaN  0.442347       0.315767                 NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00        99.2471                 NaN            NaN            NaN            NaN  0.313262       0.439632                 NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.2554                 NaN            NaN            NaN            NaN  0.309677       0.434901                 NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00        99.2619                 NaN            NaN            NaN            NaN  0.306609       0.431456                 NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00        99.2676                 NaN            NaN            NaN            NaN  0.428462       0.303933                 NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00        99.3667       0.140745                 NaN            NaN            NaN  0.492576                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00        99.1942                 NaN  0.280077E-005            NaN            NaN  0.367360       0.438447                 NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00        99.2882                 NaN            NaN            NaN            NaN  0.417391       0.294436                 NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00        99.2944                 NaN            NaN            NaN            NaN  0.413440       0.292192                 NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00        99.2997                 NaN            NaN            NaN            NaN  0.289363       0.410945                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00        99.3070                 NaN            NaN            NaN            NaN  0.286512       0.406503                 NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00        99.3127                 NaN            NaN            NaN            NaN  0.403085       0.284214                 NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00        99.3185                 NaN            NaN            NaN            NaN  0.281256       0.400205                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.3244                 NaN  0.104773E-005            NaN            NaN  0.397034       0.278529                 NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00        99.3300                 NaN            NaN            NaN            NaN  0.276220       0.393778                 NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00        99.3354                 NaN  0.370798E-005            NaN            NaN  0.273833       0.390772                 NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00        99.3410                 NaN            NaN            NaN            NaN  0.271020       0.387982                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00        99.3466                 NaN            NaN            NaN            NaN  0.384803       0.268577                 NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00        99.3517                 NaN            NaN            NaN            NaN  0.266216       0.382075                 NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.3571                 NaN            NaN            NaN            NaN  0.263715       0.379192                 NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00        99.3620       0.257188E-002            NaN            NaN            NaN  0.376428       0.258984                 NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.3684                 NaN            NaN            NaN            NaN  0.258908       0.372717                 NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00        99.3732       0.180359E-001            NaN            NaN            NaN  0.371253       0.237538                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.4494       0.133269                 NaN            NaN            NaN  0.417339                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.3129                 NaN            NaN            NaN            NaN  0.362613       0.324511                 NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00        99.3882                 NaN            NaN            NaN            NaN  0.363169       0.248653                 NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00        99.3925                 NaN            NaN            NaN            NaN  0.360085       0.247443                 NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00        99.3960                 NaN            NaN            NaN            NaN  0.246074       0.357929                 NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00        99.4016                 NaN            NaN            NaN            NaN  0.355556       0.242858                 NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00        99.4055                 NaN  0.103113E-005            NaN            NaN  0.353346       0.241197                 NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00        99.4923       0.101017                 NaN            NaN            NaN  0.406709                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        99.3335                 NaN            NaN            NaN            NaN  0.299733       0.366781                 NaN            NaN            NaN            NaN            NaN
  1433.07        2500.00        99.4190                 NaN            NaN            NaN            NaN  0.234941       0.346055                 NaN            NaN            NaN            NaN            NaN
  1431.59        2500.00        99.2606                 NaN            NaN            NaN            NaN  0.349384       0.302657       0.873363E-001            NaN            NaN            NaN            NaN
  1430.11        2500.00        98.5512                 NaN  0.189701E-005            NaN            NaN  0.607917       0.366646       0.474214                 NaN            NaN            NaN            NaN
  1428.63        2500.00        98.5773                 NaN            NaN            NaN            NaN  0.359757       0.597350       0.465642                 NaN            NaN            NaN            NaN
  1427.16        2500.00        98.5956                 NaN  0.325826E-002            NaN            NaN  0.354637       0.585758       0.460748                 NaN            NaN            NaN            NaN
  1425.68        2500.00        98.6251                 NaN  0.937066E-001            NaN            NaN  0.446201       0.366682       0.468261                 NaN            NaN            NaN            NaN
  1424.20        2500.00        98.6393                 NaN  0.120394                 NaN            NaN  0.402334       0.368935       0.469059                 NaN            NaN            NaN            NaN
  1422.72        2500.00        98.6667                 NaN  0.118740                 NaN            NaN  0.361670       0.393142       0.459730                 NaN            NaN            NaN            NaN
  1421.24        2500.00        98.6890                 NaN  0.117934                 NaN            NaN  0.355590       0.385094       0.452377                 NaN            NaN            NaN            NaN
  1419.76        2500.00        98.7098                 NaN  0.118172                 NaN            NaN  0.376321       0.349609       0.446124                 NaN            NaN            NaN            NaN
  1418.29        2500.00        98.7376                 NaN  0.114039                 NaN            NaN  0.370198       0.342786       0.435371                 NaN            NaN            NaN            NaN
  1416.81        2500.00        98.7557                 NaN  0.114667                 NaN            NaN  0.361106       0.338612       0.429871                 NaN            NaN            NaN            NaN
  1415.33        2500.00        98.7774                 NaN  0.113450                 NaN            NaN  0.354318       0.332115       0.422669                 NaN            NaN            NaN            NaN
  1413.85        2500.00        98.7979                 NaN  0.112295                 NaN            NaN  0.326705       0.347281       0.415801                 NaN            NaN            NaN            NaN
  1412.37        2500.00        98.8182                 NaN  0.111305                 NaN            NaN  0.321325       0.340243       0.408960                 NaN            NaN            NaN            NaN
  1410.90        2500.00        98.9860                 NaN  0.230679                 NaN            NaN  0.402950                 NaN  0.380366                 NaN            NaN            NaN            NaN
  1409.42        2500.00        98.7067                 NaN  0.194483E-002            NaN            NaN  0.642285       0.228064       0.420998                 NaN            NaN            NaN            NaN
  1407.94        2500.00        98.8723                 NaN  0.946423E-001            NaN            NaN  0.340920       0.303884       0.388237                 NaN            NaN            NaN            NaN
  1406.46        2500.00        98.8968                 NaN  0.106405                 NaN            NaN  0.300326       0.314496       0.381945                 NaN            NaN            NaN            NaN
  1404.98        2500.00        98.9104                 NaN  0.106734                 NaN            NaN  0.308078       0.296951       0.377803                 NaN            NaN            NaN            NaN
  1403.51        2500.00        98.9263                 NaN  0.105979                 NaN            NaN  0.292610       0.302464       0.372645                 NaN            NaN            NaN            NaN
  1402.03        2500.00        98.9477                 NaN  0.103506                 NaN            NaN  0.297535       0.286625       0.364610                 NaN            NaN            NaN            NaN
  1400.55        2500.00        98.9612                 NaN  0.103594                 NaN            NaN  0.291605       0.283185       0.360448                 NaN            NaN            NaN            NaN
  1399.07        2500.00        98.9777                 NaN  0.102586                 NaN            NaN  0.278792       0.286129       0.354764                 NaN            NaN            NaN            NaN
  1397.59        2500.00        98.9928                 NaN  0.101818                 NaN            NaN  0.280918       0.274837       0.349633                 NaN            NaN            NaN            NaN
  1396.12        2500.00        99.0083                 NaN  0.100896                 NaN            NaN  0.270465       0.276039       0.344330                 NaN            NaN            NaN            NaN
  1394.64        2500.00        98.7387                 NaN  0.128372                 NaN            NaN  0.342108       0.351836       0.438954                 NaN            NaN            NaN            NaN
  1393.16        2500.00        99.3231                 NaN  0.706135E-001            NaN            NaN  0.185189       0.185951       0.235116                 NaN            NaN            NaN            NaN
  1391.68        2500.00        99.0544                 NaN  0.973451E-001            NaN            NaN  0.258005       0.262079       0.328160                 NaN            NaN            NaN            NaN
  1390.20        2500.00        99.0659                 NaN  0.971196E-001            NaN            NaN  0.255174       0.257325       0.324499                 NaN            NaN            NaN            NaN
  1388.73        2500.00        99.0793                 NaN  0.965358E-001            NaN            NaN  0.251676       0.252532       0.319977                 NaN            NaN            NaN            NaN
  1387.25        2500.00        99.0916                 NaN  0.951897E-001            NaN            NaN  0.249482       0.247662       0.316031                 NaN            NaN            NaN            NaN
  1385.77        2500.00        99.1073                 NaN  0.944764E-001            NaN            NaN  0.244263       0.243870       0.310116                 NaN            NaN            NaN            NaN
  1384.29        2500.00        99.1177                 NaN  0.941610E-001            NaN            NaN  0.239915       0.241549       0.306634                 NaN            NaN            NaN            NaN
  1382.81        2500.00        99.1306                 NaN  0.928889E-001            NaN            NaN  0.236673       0.237749       0.302116                 NaN            NaN            NaN            NaN
  1381.34        2500.00        99.1426                 NaN  0.920106E-001            NaN            NaN  0.234616       0.232734       0.298049                 NaN            NaN            NaN            NaN
  1379.86        2500.00        99.1548                 NaN  0.913733E-001            NaN            NaN  0.231308       0.228755       0.293808                 NaN            NaN            NaN            NaN
  1378.38        2500.00        99.1664                 NaN  0.905365E-001            NaN            NaN  0.224964       0.228326       0.289796                 NaN            NaN            NaN            NaN
  1376.90        2500.00        99.1764                 NaN  0.904766E-001            NaN            NaN  0.223918       0.222510       0.286713                 NaN            NaN            NaN            NaN
  1375.42        2500.00        99.1917                 NaN  0.877501E-001            NaN            NaN  0.218688       0.221428       0.280407                 NaN            NaN            NaN            NaN
  1373.95        2500.00        99.1998                 NaN  0.879993E-001            NaN            NaN  0.219031       0.215136       0.278082                 NaN            NaN            NaN            NaN
  1372.47        2500.00        99.2098                 NaN  0.872017E-001            NaN            NaN  0.216308       0.212047       0.274647                 NaN            NaN            NaN            NaN
  1370.99        2500.00        99.2210                 NaN  0.860696E-001            NaN            NaN  0.209204       0.213133       0.270611                 NaN            NaN            NaN            NaN
  1369.51        2500.00        99.2308                 NaN  0.858739E-001            NaN            NaN  0.210997       0.205156       0.267160                 NaN            NaN            NaN            NaN
  1368.03        2500.00        99.2417                 NaN  0.841868E-001            NaN            NaN  0.207324       0.203524       0.263286                 NaN            NaN            NaN            NaN
  1366.56        2500.00        99.2511                 NaN  0.837483E-001            NaN            NaN  0.200067       0.204988       0.260047                 NaN            NaN            NaN            NaN
  1365.08        2500.00        99.2609                 NaN  0.828822E-001            NaN            NaN  0.202142       0.197368       0.256662                 NaN            NaN            NaN            NaN
  1363.60        2500.00        99.2700                 NaN  0.821247E-001            NaN            NaN  0.199900       0.194552       0.253383                 NaN            NaN            NaN            NaN
  1362.12        2500.00        99.2796                 NaN  0.810817E-001            NaN            NaN  0.197137       0.192272       0.249903                 NaN            NaN            NaN            NaN
  1360.64        2500.00        99.2885                 NaN  0.804651E-001            NaN            NaN  0.189370       0.194831       0.246855                 NaN            NaN            NaN            NaN
  1359.16        2500.00        99.2975                 NaN  0.794514E-001            NaN            NaN  0.187335       0.192108       0.243633                 NaN            NaN            NaN            NaN
  1357.69        2500.00        99.3063                 NaN  0.787235E-001            NaN            NaN  0.189730       0.184695       0.240529                 NaN            NaN            NaN            NaN
  1356.21        2500.00        99.3148                 NaN  0.778433E-001            NaN            NaN  0.187222       0.182599       0.237558                 NaN            NaN            NaN            NaN
  1354.73        2500.00        99.3235                 NaN  0.768345E-001            NaN            NaN  0.180538       0.184728       0.234384                 NaN            NaN            NaN            NaN
  1353.25        2500.00        99.3314                 NaN  0.760368E-001            NaN            NaN  0.178422       0.182607       0.231512                 NaN            NaN            NaN            NaN
  1351.77        2500.00        99.3396                 NaN  0.752991E-001            NaN            NaN  0.180522       0.175940       0.228598                 NaN            NaN            NaN            NaN
  1350.30        2500.00        99.3476                 NaN  0.748999E-001            NaN            NaN  0.177846       0.173684       0.225996                 NaN            NaN            NaN            NaN
  1348.82        2500.00        99.3563                 NaN  0.729412E-001            NaN            NaN  0.172876       0.175414       0.222487                 NaN            NaN            NaN            NaN
  1347.34        2500.00        99.3629                 NaN  0.726271E-001            NaN            NaN  0.170312       0.173904       0.220224                 NaN            NaN            NaN            NaN
  1345.86        2500.00        99.3694                 NaN  0.730989E-001            NaN            NaN  0.172754       0.166329       0.218419                 NaN            NaN            NaN            NaN
  1344.38        2500.00        99.3791                 NaN  0.695031E-001            NaN            NaN  0.168608       0.168881       0.213887                 NaN            NaN            NaN            NaN
  1342.91        2500.00        99.3924                 NaN  0.129067                 NaN            NaN  0.190191       0.676533E-001  0.220732                 NaN            NaN            NaN            NaN
  1341.43        2500.00        99.3854                 NaN  0.950597E-002            NaN            NaN  0.262173       0.141830       0.201053                 NaN            NaN            NaN            NaN
  1339.95        2500.00        99.3968                 NaN  0.694303E-001            NaN            NaN  0.160897       0.164607       0.208299                 NaN            NaN            NaN            NaN
  1338.47        2500.00        99.4079                 NaN  0.663475E-001            NaN            NaN  0.161182       0.161000       0.203560                 NaN            NaN            NaN            NaN
  1336.99        2500.00        99.4128                 NaN  0.664110E-001            NaN            NaN  0.158905       0.159711       0.202172                 NaN            NaN            NaN            NaN
  1335.52        2500.00        99.4194                 NaN  0.659543E-001            NaN            NaN  0.156954       0.157873       0.199844                 NaN            NaN            NaN            NaN
  1334.04        2500.00        99.4252                 NaN  0.644705E-001            NaN            NaN  0.156907       0.155585       0.197802                 NaN            NaN            NaN            NaN
  1332.56        2500.00        99.4333                 NaN  0.630609E-001            NaN            NaN  0.153563       0.155649       0.194459                 NaN            NaN            NaN            NaN
  1331.08        2500.00        99.4385                 NaN  0.626642E-001            NaN            NaN  0.151733       0.154327       0.192745                 NaN            NaN            NaN            NaN
  1329.60        2500.00        99.4453                 NaN  0.619297E-001            NaN            NaN  0.149694       0.152637       0.190389                 NaN            NaN            NaN            NaN
  1328.13        2500.00        99.4510                 NaN  0.609960E-001            NaN            NaN  0.151860       0.147910       0.188271                 NaN            NaN            NaN            NaN
  1326.65        2500.00        99.4565                 NaN  0.598067E-001            NaN            NaN  0.146103       0.151350       0.186192                 NaN            NaN            NaN            NaN
  1325.17        2500.00        99.4631                 NaN  0.594966E-001            NaN            NaN  0.144570       0.148910       0.183937                 NaN            NaN            NaN            NaN
  1323.69        2500.00        99.4685                 NaN  0.576869E-001            NaN            NaN  0.149682       0.142503       0.181622                 NaN            NaN            NaN            NaN
  1322.21        2500.00        99.4729                 NaN  0.512298E-001            NaN            NaN  0.138367       0.158419       0.179126                 NaN            NaN            NaN            NaN
  1320.74        2500.00        99.4812                 NaN  0.627361E-001            NaN            NaN  0.141926       0.135787       0.178386                 NaN            NaN            NaN            NaN
  1319.26        2500.00        99.4850                 NaN  0.542959E-001            NaN            NaN  0.136648       0.148601       0.175480                 NaN            NaN            NaN            NaN
  1317.78        2500.00        99.4905                 NaN  0.543256E-001            NaN            NaN  0.135688       0.145820       0.173672                 NaN            NaN            NaN            NaN
  1316.30        2500.00        91.4319                 NaN  0.728974                 NaN            NaN  0.973671       0.248074        1.14148        5.47588                 NaN            NaN            NaN
  1314.82        2500.00        80.4637                 NaN   1.67771                 NaN            NaN   2.16798       0.274009        2.45501        12.9616                 NaN            NaN            NaN
  1313.35        2500.00        83.2567                 NaN   1.48338                 NaN            NaN   1.93737       0.105454        2.11620        11.1009                 NaN            NaN            NaN
  1311.87        2500.00        85.4099                 NaN   1.33551                 NaN            NaN   1.72569                 NaN   1.85389        9.67504                 NaN            NaN            NaN
  1310.39        2500.00        87.1850                 NaN   1.16083                 NaN            NaN   1.55295                 NaN   1.63570        8.46552                 NaN            NaN            NaN
  1308.91        2500.00        88.5314                 NaN   1.03992                 NaN            NaN   1.39941                 NaN   1.47157        7.55772                 NaN            NaN            NaN
  1307.43        2500.00        89.7025                 NaN  0.934520                 NaN            NaN   1.26720                 NaN   1.32768        6.76811                 NaN            NaN            NaN
  1305.96        2500.00        90.6934                 NaN  0.846180                 NaN            NaN   1.15433                 NaN   1.20574        6.10030                 NaN            NaN            NaN
  1304.48        2500.00        91.5330                 NaN  0.771321                 NaN            NaN   1.05889                 NaN   1.10223        5.53461                 NaN            NaN            NaN
  1303.00        2500.00        92.2561                 NaN  0.708427                 NaN            NaN  0.974546                 NaN   1.01285        5.04805                 NaN            NaN            NaN
  1301.52        2500.00        92.8843                 NaN  0.652595                 NaN            NaN  0.902826                 NaN  0.934786        4.62551                 NaN            NaN            NaN
  1300.04        2500.00        93.4285                 NaN  0.604862                 NaN            NaN  0.841146                 NaN  0.867342        4.25816                 NaN            NaN            NaN
  1298.57        2500.00        93.9095                 NaN  0.561954                 NaN            NaN  0.787103                 NaN  0.807525        3.93387                 NaN            NaN            NaN
  1297.09        2500.00        94.3341                 NaN  0.524528                 NaN            NaN  0.739101                 NaN  0.754518        3.64776                 NaN            NaN            NaN
  1295.61        2500.00        94.7071                 NaN  0.491123                 NaN            NaN  0.697846                 NaN  0.707955        3.39602                 NaN            NaN            NaN
  1294.13        2500.00        95.0429                 NaN  0.461349                 NaN            NaN  0.660822                 NaN  0.665859        3.16906                 NaN            NaN            NaN
  1292.65        2500.00        95.3391                 NaN  0.435011                 NaN            NaN  0.628319                 NaN  0.628728        2.96887                 NaN            NaN            NaN
  1291.17        2500.00        95.6090                 NaN  0.410313                 NaN            NaN  0.599742                 NaN  0.594679        2.78628                 NaN            NaN            NaN
  1289.70        2500.00        95.1116                 NaN  0.421187                 NaN            NaN  0.664640                 NaN  0.658350        3.09381       0.503999E-001            NaN            NaN
  1288.22        2500.00        93.2264                 NaN  0.490274                 NaN            NaN  0.896567                 NaN  0.897561        4.28535       0.203839                 NaN            NaN
