|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.75/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1957.39        2500.00        98.6766                 NaN   1.28400       0.394277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        98.6520                 NaN   1.30861       0.394304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        98.6274                 NaN   1.33317       0.394332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        98.6204                 NaN   1.34014       0.394340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        98.5784                 NaN   1.38217       0.394387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        98.5539                 NaN   1.40661       0.394415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        98.6522                 NaN   1.30833       0.394304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        98.6440                 NaN   1.31657       0.394313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        98.4810                 NaN   1.47955       0.394497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        98.4568                 NaN   1.50377       0.394524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        98.4326                 NaN   1.52794       0.394552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        98.4085                 NaN   1.55208       0.394579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        98.3844                 NaN   1.57613       0.394606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        98.3604                 NaN   1.60014       0.394633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        98.3364                 NaN   1.62413       0.394660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        97.9332                 NaN   1.63036       0.390789E-001  0.397316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.5772                 NaN  0.534048E-002            NaN  0.417461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3748                 NaN  0.702715E-001            NaN  0.554922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.4045                 NaN            NaN            NaN  0.595513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3523                 NaN            NaN            NaN  0.647673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.5158                 NaN            NaN            NaN  0.484222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3598                 NaN            NaN            NaN  0.640226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4187                 NaN            NaN            NaN  0.581299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4215                 NaN            NaN            NaN  0.578462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.6209                 NaN            NaN            NaN  0.379121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.2272                 NaN            NaN            NaN  0.772827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        98.9754                 NaN  0.917748E-002            NaN   1.00284       0.125924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.8339                 NaN            NaN            NaN  0.166063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.7188                 NaN            NaN            NaN  0.264890       0.163317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1866                 NaN            NaN            NaN  0.813366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4344                 NaN            NaN            NaN  0.559578       0.600033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4349                 NaN            NaN            NaN  0.549524       0.155372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4330                 NaN            NaN            NaN  0.551301       0.156912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4363                 NaN            NaN            NaN  0.548076       0.156217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4381                 NaN            NaN            NaN  0.546349       0.155911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4410                 NaN            NaN            NaN  0.543483       0.155028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4427                 NaN            NaN            NaN  0.541849       0.154911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4442                 NaN            NaN            NaN  0.540315       0.154474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4447                 NaN            NaN            NaN  0.539866       0.154611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4491                 NaN            NaN            NaN  0.535562       0.153220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4482                 NaN            NaN            NaN  0.536374       0.153796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4517                 NaN            NaN            NaN  0.533009       0.152668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4531                 NaN            NaN            NaN  0.531656       0.152319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4527                 NaN            NaN            NaN  0.532096       0.152487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4556                 NaN            NaN            NaN  0.529292       0.151393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4555                 NaN            NaN            NaN  0.529333       0.151417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4543                 NaN            NaN            NaN  0.530538       0.152075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4597                 NaN            NaN            NaN  0.525361       0.149762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5847                 NaN            NaN            NaN  0.403664       0.116234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.3320                 NaN            NaN            NaN  0.649544       0.184224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4583                 NaN            NaN            NaN  0.526735       0.149711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.3313                 NaN            NaN            NaN  0.650211       0.185182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5895                 NaN            NaN            NaN  0.399247       0.112914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4593                 NaN            NaN            NaN  0.525808       0.148836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4593                 NaN            NaN            NaN  0.525852       0.148580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4589                 NaN            NaN            NaN  0.526279       0.148440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4585                 NaN            NaN            NaN  0.526645       0.148115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4588                 NaN            NaN            NaN  0.526484       0.147413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4572                 NaN            NaN            NaN  0.528038       0.147455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4582                 NaN            NaN            NaN  0.527135       0.146894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5487                 NaN            NaN            NaN  0.439148       0.121894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.3615                 NaN            NaN            NaN  0.621307       0.171848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4560                 NaN            NaN            NaN  0.529420       0.145876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4546                 NaN            NaN            NaN  0.530877       0.145593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4515                 NaN            NaN            NaN  0.533860       0.146018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4517                 NaN            NaN            NaN  0.533764       0.145286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4480                 NaN            NaN            NaN  0.537443       0.145875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4365                 NaN            NaN            NaN  0.548681       0.147941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4602                 NaN            NaN            NaN  0.525698       0.141245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4454                 NaN            NaN            NaN  0.540174       0.144581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4429                 NaN            NaN            NaN  0.542684       0.144265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4386                 NaN            NaN            NaN  0.546892       0.145061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4413                 NaN            NaN            NaN  0.544318       0.143442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4369                 NaN            NaN            NaN  0.548695       0.143862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4349                 NaN            NaN            NaN  0.550714       0.143612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4316                 NaN            NaN            NaN  0.554034       0.143693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4297                 NaN            NaN            NaN  0.555976       0.143269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4290                 NaN            NaN            NaN  0.556737       0.142710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4246                 NaN            NaN            NaN  0.561039       0.143202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4230                 NaN            NaN            NaN  0.562739       0.142673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4194                 NaN            NaN            NaN  0.566349       0.142767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4155                 NaN            NaN            NaN  0.570232       0.143007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4150                 NaN            NaN            NaN  0.570806       0.142011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4106                 NaN            NaN            NaN  0.575117       0.142423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4035                 NaN            NaN            NaN  0.582158       0.143615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4096                 NaN            NaN            NaN  0.576349       0.140737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4019                 NaN            NaN            NaN  0.583854       0.142038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3984                 NaN            NaN            NaN  0.587394       0.142172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3971                 NaN            NaN            NaN  0.588766       0.141332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3923                 NaN            NaN            NaN  0.593561       0.141653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3880                 NaN            NaN            NaN  0.597771       0.141892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3873                 NaN            NaN            NaN  0.598578       0.141261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3827                 NaN            NaN            NaN  0.603119       0.141406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3800                 NaN            NaN            NaN  0.605917       0.141253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3764                 NaN            NaN            NaN  0.609483       0.141179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3725                 NaN            NaN            NaN  0.613325       0.141441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3698                 NaN            NaN            NaN  0.616104       0.140916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3647                 NaN            NaN            NaN  0.621146       0.141503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2324                 NaN            NaN            NaN  0.750778       0.168529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4906                 NaN            NaN            NaN  0.498176       0.112497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4052                 NaN            NaN            NaN  0.581698       0.131111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3074                 NaN            NaN            NaN  0.677624       0.149968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3515                 NaN            NaN            NaN  0.634463       0.140517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3462                 NaN            NaN            NaN  0.639678       0.141070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3461                 NaN            NaN            NaN  0.639875       0.140236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3427                 NaN            NaN            NaN  0.643241       0.140282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3381                 NaN            NaN            NaN  0.647859       0.140564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3376                 NaN            NaN            NaN  0.648425       0.140179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3342                 NaN            NaN            NaN  0.651809       0.140327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3307                 NaN            NaN            NaN  0.655259       0.140303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3268                 NaN            NaN            NaN  0.659116       0.140711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3266                 NaN            NaN            NaN  0.659365       0.140083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3356                 NaN            NaN            NaN  0.650620       0.137598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3119                 NaN            NaN            NaN  0.673905       0.141796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3211                 NaN            NaN            NaN  0.664927       0.139545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3195                 NaN            NaN            NaN  0.666564       0.139698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3171                 NaN            NaN            NaN  0.668912       0.139400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.2304                 NaN            NaN            NaN  0.371827                 NaN   1.39774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.8661                 NaN            NaN            NaN  0.258107                 NaN   1.87583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.9110                 NaN            NaN            NaN  0.251183                 NaN   1.83786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.9514                 NaN            NaN            NaN  0.245881                 NaN   1.80273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.9930                 NaN            NaN            NaN  0.241410                 NaN   1.76563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.0300                 NaN            NaN            NaN  0.237106                 NaN   1.73291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.0660                 NaN            NaN            NaN  0.230395                 NaN   1.70361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1107                 NaN            NaN            NaN  0.224895                 NaN   1.66439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.1432                 NaN            NaN            NaN  0.222351                 NaN   1.63442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.1546                 NaN            NaN            NaN  0.216005                 NaN   1.62941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.2319                 NaN            NaN            NaN  0.204506                 NaN   1.56363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2367                 NaN            NaN            NaN  0.222325                 NaN   1.54097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2759                 NaN            NaN            NaN  0.191144                 NaN   1.53299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        96.9712                 NaN            NaN            NaN  0.299795                 NaN   2.72900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.6876                 NaN            NaN            NaN  0.997393E-001            NaN  0.212641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.3630                 NaN            NaN            NaN  0.188567                 NaN   1.44844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.3823                 NaN            NaN            NaN  0.185214                 NaN   1.43248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4215                 NaN            NaN            NaN  0.182382                 NaN   1.39613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4438                 NaN            NaN            NaN  0.177517                 NaN   1.37865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.2843                 NaN            NaN            NaN  0.190573                 NaN   1.52513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6748                 NaN            NaN            NaN  0.147034                 NaN   1.17816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5189                 NaN            NaN            NaN  0.165704                 NaN   1.31544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5372                 NaN            NaN            NaN  0.160100                 NaN   1.30272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5645                 NaN            NaN            NaN  0.155331                 NaN   1.28014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5801                 NaN            NaN            NaN  0.151463                 NaN   1.26848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6072                 NaN            NaN            NaN  0.150782                 NaN   1.24205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6281                 NaN            NaN            NaN  0.145542                 NaN   1.22638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5634                 NaN            NaN            NaN  0.148460                 NaN   1.28815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7500                 NaN            NaN            NaN  0.131025                 NaN   1.11893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6879                 NaN            NaN            NaN  0.135726                 NaN   1.17633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7056                 NaN            NaN            NaN  0.132338                 NaN   1.16206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7248                 NaN            NaN            NaN  0.130032                 NaN   1.14516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7389                 NaN            NaN            NaN  0.174325                 NaN   1.08679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7598                 NaN            NaN            NaN  0.767214E-001            NaN   1.16350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7801                 NaN            NaN            NaN  0.118757                 NaN   1.10117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.6651                 NaN            NaN            NaN  0.123383                 NaN   1.21150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9351                 NaN            NaN            NaN  0.101028                 NaN  0.963884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8260                 NaN            NaN            NaN  0.111488                 NaN   1.06256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8391                 NaN            NaN            NaN  0.105957                 NaN   1.05496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8531                 NaN            NaN            NaN  0.102514                 NaN   1.04434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8681                 NaN            NaN            NaN  0.100321                 NaN   1.03162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8747                 NaN            NaN            NaN  0.111771                 NaN   1.01353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9136                 NaN            NaN            NaN  0.922320E-001            NaN  0.994135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8395                 NaN            NaN            NaN  0.917865E-001            NaN   1.06872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9921                 NaN            NaN            NaN  0.831180E-001            NaN  0.924789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9328                 NaN            NaN            NaN  0.864367E-001            NaN  0.980756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9490                 NaN            NaN            NaN  0.853820E-001            NaN  0.965574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9576                 NaN            NaN            NaN  0.769649E-001            NaN  0.965428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9693                 NaN            NaN            NaN  0.766590E-001            NaN  0.954008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9805                 NaN            NaN            NaN  0.735199E-001            NaN  0.946004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9885                 NaN            NaN            NaN  0.714213E-001            NaN  0.940092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
