|6.6.6
Archiving\03_Data\frac/QFM_m4.75/Y98/Y98_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1874.69        2500.00        99.2112       0.780427       0.838350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.2111       0.780485       0.838355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.2111       0.780543       0.838361E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.2110       0.780602       0.838366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.2110       0.780663       0.838375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.2109       0.780718       0.838378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.2108       0.780777       0.838384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.2108       0.780835       0.838390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.2107       0.780893       0.838397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.2107       0.780952       0.838403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.2106       0.781010       0.838409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.2105       0.781072       0.838419E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.2105       0.781127       0.838423E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.2104       0.781186       0.838430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.2104       0.781245       0.838437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.2103       0.781303       0.838444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2103       0.781362       0.838451E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.2102       0.781421       0.838458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.2101       0.781480       0.838466E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.2101       0.781539       0.838473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2100       0.781598       0.838481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.2100       0.781657       0.838488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2099       0.781716       0.838496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.2098       0.781775       0.838504E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.2098       0.781834       0.838512E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.2097       0.781893       0.838521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2097       0.781952       0.838529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.2096       0.782011       0.838537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.2095       0.782071       0.838546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.2095       0.782130       0.838554E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2094       0.782189       0.838563E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.2094       0.782249       0.838572E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.2093       0.782308       0.838581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2092       0.782368       0.838590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.2092       0.782428       0.838600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.2091       0.782487       0.838608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.2091       0.782546       0.838618E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.2090       0.782606       0.838627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2089       0.782666       0.838637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.2089       0.782725       0.838647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.2088       0.782785       0.838657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.2088       0.782845       0.838666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.2087       0.782905       0.838677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.2086       0.782965       0.838687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.2086       0.783025       0.838697E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.2085       0.783085       0.838707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.2085       0.783145       0.838718E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.2084       0.783205       0.838728E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2083       0.783265       0.838739E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.2083       0.783325       0.838750E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.2082       0.783385       0.838761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.2082       0.783445       0.838772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.2081       0.783506       0.838783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2080       0.783566       0.838794E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2080       0.783626       0.838805E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.2079       0.783687       0.838817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2079       0.783747       0.838828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.2078       0.783807       0.838840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.2077       0.783868       0.838852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.2077       0.783929       0.838864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2076       0.783989       0.838876E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2076       0.784050       0.838888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2075       0.784110       0.838900E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2074       0.784171       0.838912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2074       0.784232       0.838924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2073       0.784293       0.838937E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2073       0.784354       0.838949E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2035       0.784439       0.838988E-002  0.362251E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.1966       0.784546       0.839050E-002  0.104818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.1896       0.784652       0.839112E-002  0.173123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.1806       0.784760       0.839175E-002  0.238303E-001  0.242676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.1680       0.784893       0.839265E-002  0.296093E-001  0.911212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.1621       0.785077       0.839410E-002  0.353513E-001  0.904274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1563       0.785261       0.839554E-002  0.410674E-001  0.898317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1505       0.785444       0.839698E-002  0.467526E-001  0.891991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.1447       0.785626       0.839840E-002  0.523933E-001  0.885169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.1390       0.785807       0.839982E-002  0.580123E-001  0.879114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.1333       0.785988       0.840123E-002  0.635894E-001  0.871814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1276       0.786167       0.840263E-002  0.691349E-001  0.866259E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.1220       0.786346       0.840403E-002  0.746433E-001  0.859438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.1164       0.786524       0.840541E-002  0.801201E-001  0.852974E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1109       0.786701       0.840679E-002  0.855639E-001  0.847320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.1053       0.786877       0.840816E-002  0.909920E-001  0.841932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.0999       0.787053       0.840951E-002  0.963420E-001  0.832968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.0944       0.787227       0.841086E-002  0.101678       0.827960E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.0890       0.787401       0.841221E-002  0.106996       0.822439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.0835       0.787574       0.841354E-002  0.112284       0.818125E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.0162       0.787745       0.837765E-002  0.114388       0.825084E-002  0.650240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.6803                 NaN            NaN            NaN  0.861318E-002  0.311050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4029                 NaN            NaN            NaN  0.884184E-002  0.588265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4029                 NaN            NaN            NaN  0.881449E-002  0.588311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3844                 NaN            NaN            NaN  0.910977E-002  0.606537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4252                 NaN            NaN            NaN  0.847171E-002  0.566329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4059                 NaN            NaN            NaN  0.876937E-002  0.585296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.9638                 NaN            NaN            NaN  0.152652E-001   1.02090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.8558                 NaN            NaN            NaN  0.213762E-002  0.142086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4106                 NaN            NaN            NaN  0.868054E-002  0.580718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.4120                 NaN            NaN            NaN  0.865317E-002  0.579355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4126                 NaN            NaN            NaN  0.864658E-002  0.578760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.4178                 NaN            NaN            NaN  0.857136E-002  0.573671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.9291                 NaN            NaN            NaN  0.108907E-003  0.350855       0.719979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5589                 NaN            NaN            NaN            NaN  0.173268        1.26783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5821                 NaN            NaN            NaN            NaN  0.168615        1.24931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5730                 NaN            NaN            NaN            NaN  0.169109        1.25793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6610                 NaN            NaN            NaN            NaN  0.157512        1.18148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6511                 NaN            NaN            NaN            NaN  0.157211        1.19169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6729                 NaN            NaN            NaN            NaN  0.154342        1.17275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6945                 NaN            NaN            NaN            NaN  0.151975        1.15352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.3108                 NaN            NaN            NaN            NaN  0.759137E-001  0.613273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.1368                 NaN            NaN            NaN            NaN  0.211939        1.65124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7525                 NaN            NaN            NaN            NaN  0.139963        1.10752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7741                 NaN            NaN            NaN            NaN  0.138503        1.08738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7931                 NaN            NaN            NaN            NaN  0.135256        1.07166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8089                 NaN            NaN            NaN            NaN  0.130883        1.06024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8262                 NaN            NaN            NaN            NaN  0.129553        1.04423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8478                 NaN            NaN            NaN            NaN  0.125843        1.02638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8607                 NaN            NaN            NaN            NaN  0.121963        1.01732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8770                 NaN            NaN            NaN            NaN  0.120050        1.00292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8945                 NaN            NaN            NaN            NaN  0.118998       0.986542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9095                 NaN            NaN            NaN            NaN  0.115999       0.974523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9260                 NaN            NaN            NaN            NaN  0.115856       0.958095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9412                 NaN            NaN            NaN            NaN  0.109959       0.948856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9537                 NaN            NaN            NaN            NaN  0.108029       0.938295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9675                 NaN            NaN            NaN            NaN  0.105570       0.926949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9711                 NaN            NaN            NaN            NaN  0.104481       0.924393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0027                 NaN            NaN            NaN            NaN  0.988283E-001  0.898502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0063                 NaN            NaN            NaN            NaN  0.972166E-001  0.896470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.6674                 NaN            NaN            NaN            NaN  0.144930        1.18772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.3815                 NaN            NaN            NaN            NaN  0.449941E-001  0.573530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0434                 NaN            NaN            NaN            NaN  0.915836E-001  0.864979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0496                 NaN            NaN            NaN            NaN  0.876405E-001  0.862795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9926                 NaN            NaN            NaN            NaN  0.101740       0.905676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1589                 NaN            NaN            NaN            NaN  0.731372E-001  0.767976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0880                 NaN            NaN            NaN            NaN  0.823545E-001  0.829601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
