|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             ilm            San(TH)        q             
  1409.49        2500.00                 NaN   98.5862       0.517874       0.204560                 NaN            NaN  0.267470                 NaN  0.423882                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.5904       0.196124       0.520153                 NaN            NaN  0.270169                 NaN  0.423148                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6158       0.190252       0.511100                 NaN            NaN  0.267721                 NaN  0.415086                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.4114       0.209873       0.592428                 NaN            NaN  0.309877                 NaN  0.476461                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8489       0.147007       0.430208                 NaN            NaN  0.228541                 NaN  0.345298                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.6445       0.507893       0.170421                 NaN            NaN  0.270414                 NaN  0.406751                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.6694       0.161716       0.500751                 NaN            NaN  0.268805                 NaN  0.399368                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.6821       0.156974       0.497582                 NaN            NaN  0.268265                 NaN  0.395072                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.6897       0.496636       0.150438                 NaN            NaN  0.270107                 NaN  0.393135                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7018       0.494277       0.145770                 NaN            NaN  0.269230                 NaN  0.388889                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.7161       0.489375       0.139805                 NaN            NaN  0.269655                 NaN  0.385034                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.6098       0.529797       0.141084                 NaN            NaN  0.300338                 NaN  0.418973                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.8679       0.120623       0.436472                 NaN            NaN  0.237489                 NaN  0.337486                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7487       0.487270       0.119310                 NaN            NaN  0.269649                 NaN  0.375022                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.7643       0.481194       0.115672                 NaN            NaN  0.268719                 NaN  0.370134                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.7715       0.481357       0.108414                 NaN            NaN  0.270176                 NaN  0.368533                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.7886       0.476527       0.104889                 NaN            NaN  0.267601                 NaN  0.362391                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.7969       0.475163       0.989242E-001            NaN            NaN  0.268755                 NaN  0.360290                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   96.9352        1.19994       0.320134                 NaN            NaN  0.536475E-001  0.603860       0.887202                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.2774       0.510297E-001  0.290791                 NaN            NaN  0.165635                 NaN  0.215109                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.8404       0.464883       0.811944E-001            NaN            NaN  0.266799                 NaN  0.346732                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.8504       0.463432       0.762066E-001            NaN            NaN  0.266425                 NaN  0.343537                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.8606       0.461103       0.717705E-001            NaN            NaN  0.266134                 NaN  0.340428                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8696       0.675500E-001  0.459518                 NaN            NaN  0.265826                 NaN  0.337489                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.8779       0.634311E-001  0.458119                 NaN            NaN  0.265712                 NaN  0.334881                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.8895       0.455984       0.589963E-001            NaN            NaN  0.264423                 NaN  0.331078                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.8956       0.454942       0.557356E-001            NaN            NaN  0.264523                 NaN  0.329224                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9068       0.508953E-001  0.453023                 NaN            NaN  0.263691                 NaN  0.325585                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   98.9077       0.576076E-001  0.447649                 NaN            NaN  0.261830                 NaN  0.325193                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   98.9324       0.335923E-001  0.451983                 NaN            NaN  0.264324                 NaN  0.317671                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.9324       0.391975E-001  0.448599                 NaN            NaN  0.262368                 NaN  0.317441                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   98.9407       0.446545       0.356415E-001            NaN            NaN  0.262119                 NaN  0.315030                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   98.9521       0.442655       0.341109E-001            NaN            NaN  0.260000                 NaN  0.311175                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   98.9594       0.442678       0.296264E-001            NaN            NaN  0.259577                 NaN  0.308691                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   98.9642       0.439741       0.294752E-001            NaN            NaN  0.259298                 NaN  0.307241                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   98.9766       0.440783       0.216897E-001            NaN            NaN  0.258029                 NaN  0.302925                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   98.9815       0.439171       0.178794E-001            NaN            NaN  0.259300                 NaN  0.302105                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   98.9927       0.435664       0.179572E-001            NaN            NaN  0.255675                 NaN  0.298039                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   98.9993       0.434492       0.167624E-001            NaN            NaN  0.254148                 NaN  0.295291                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0031       0.435671       0.124926E-001            NaN            NaN  0.254697                 NaN  0.294082                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.0130       0.110627E-001  0.432330                 NaN            NaN  0.252815                 NaN  0.290818                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.0194       0.431823       0.798692E-002            NaN            NaN  0.252044                 NaN  0.288746                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.0263       0.430173       0.654273E-002            NaN            NaN  0.250749                 NaN  0.286284                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.0326       0.428888       0.434036E-002            NaN            NaN  0.249825                 NaN  0.284352                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0422       0.244334E-002  0.426509                 NaN            NaN  0.247928                 NaN  0.280909                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0473       0.425847       0.855625E-003            NaN            NaN  0.246837                 NaN  0.279131                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.0537       0.312626E-003  0.423831                 NaN            NaN  0.245248                 NaN  0.276904                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.0601       0.163283E-002  0.420619                 NaN            NaN  0.242812                 NaN  0.274855                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.0694       0.417679                 NaN            NaN            NaN  0.241547                 NaN  0.271381                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.0744       0.417920                 NaN            NaN            NaN  0.238239                 NaN  0.269410                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.0748       0.401608       0.277864E-001            NaN            NaN  0.228169                 NaN  0.267589                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.0838       0.936851E-002  0.409466                 NaN            NaN  0.231860                 NaN  0.265462                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.0927       0.409585       0.362148E-002            NaN            NaN  0.231441                 NaN  0.262651                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.0979       0.408038                 NaN            NaN            NaN  0.232940                 NaN  0.261133                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1039       0.407104                 NaN            NaN            NaN  0.230120                 NaN  0.258851                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.1091       0.404665                 NaN            NaN            NaN  0.229262                 NaN  0.257005                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1134       0.401457       0.868983E-002            NaN            NaN  0.221873                 NaN  0.254612                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.1212       0.402748                 NaN            NaN            NaN  0.223476                 NaN  0.252558                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.1265       0.402528                 NaN            NaN            NaN  0.220509                 NaN  0.250419                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.1482       0.392788                 NaN            NaN            NaN  0.214858                 NaN  0.244176                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.1192       0.408940                 NaN            NaN            NaN  0.220842                 NaN  0.251062                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.1426       0.398766                 NaN            NaN            NaN  0.214219                 NaN  0.244368                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.1474       0.396779                 NaN            NaN            NaN  0.213123                 NaN  0.242704                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.1537       0.394037                 NaN            NaN            NaN  0.211624                 NaN  0.240601                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.1583       0.393674                 NaN            NaN            NaN  0.209248                 NaN  0.238760                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.1634       0.391935                 NaN            NaN            NaN  0.207697                 NaN  0.236991                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.1682       0.390657                 NaN            NaN            NaN  0.205907                 NaN  0.235231                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1682       0.395438                 NaN            NaN            NaN  0.201930                 NaN  0.234473                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.1807       0.389345                 NaN            NaN            NaN  0.199601                 NaN  0.230366                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.1836       0.387530                 NaN            NaN            NaN  0.199280                 NaN  0.229611                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.1873       0.387726                 NaN            NaN            NaN  0.196919                 NaN  0.228040                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.1825       0.383103                 NaN            NaN            NaN  0.204067                 NaN  0.230320                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.1911       0.886877E-001  0.344727                 NaN            NaN  0.154329                 NaN  0.221175                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2031       0.388931                 NaN            NaN            NaN  0.186194                 NaN  0.221743                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2057       0.384328                 NaN            NaN            NaN  0.188879                 NaN  0.221115                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.2093       0.381817                 NaN            NaN            NaN  0.188859                 NaN  0.219977                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.2139       0.384434                 NaN            NaN            NaN  0.183756                 NaN  0.217909                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.2181       0.384136                 NaN            NaN            NaN  0.181278                 NaN  0.216464                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2225       0.382457                 NaN            NaN            NaN  0.180129                 NaN  0.214880                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2044       0.281171       0.180512                 NaN            NaN  0.121303                 NaN  0.212573                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.2309       0.380641                 NaN            NaN            NaN  0.176531                 NaN  0.211913                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2345       0.382904                 NaN            NaN            NaN  0.172305                 NaN  0.210261                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.2373       0.384494                 NaN            NaN            NaN  0.169237                 NaN  0.208963                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.2405       0.384700                 NaN            NaN            NaN  0.166925                 NaN  0.207923                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.2454       0.385591                 NaN            NaN            NaN  0.163279                 NaN  0.205694                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.2471       0.389253                 NaN            NaN            NaN  0.158895                 NaN  0.204790                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.2110       0.398151                 NaN            NaN            NaN  0.155437                 NaN  0.211856       0.235774E-001            NaN            NaN
  1307.69        2500.00                 NaN   99.1746       0.409012                 NaN            NaN            NaN  0.150914                 NaN  0.218409       0.471049E-001            NaN            NaN
  1306.54        2500.00                 NaN   99.1811       0.407712                 NaN            NaN            NaN  0.148151                 NaN  0.216634       0.463669E-001            NaN            NaN
  1305.38        2500.00                 NaN   99.1887       0.401002                 NaN            NaN            NaN  0.149596                 NaN  0.214795       0.458702E-001            NaN            NaN
  1304.22        2500.00                 NaN   99.1956       0.399411                 NaN            NaN            NaN  0.147028                 NaN  0.212870       0.451396E-001            NaN            NaN
  1303.07        2500.00                 NaN   99.2023       0.396626                 NaN            NaN            NaN  0.145535                 NaN  0.211072       0.444419E-001            NaN            NaN
  1301.91        2500.00                 NaN   99.2104       0.389817                 NaN            NaN            NaN  0.146622                 NaN  0.209207       0.439574E-001            NaN            NaN
  1300.75        2500.00                 NaN   99.2152       0.391734                 NaN            NaN            NaN  0.142568                 NaN  0.207368       0.431520E-001            NaN            NaN
  1299.60        2500.00                 NaN   99.2284       0.381819                 NaN            NaN            NaN  0.142367                 NaN  0.204293       0.431444E-001            NaN            NaN
  1298.44        2500.00       0.778886E-001   99.1917       0.405991                 NaN            NaN            NaN  0.114692                 NaN  0.209756                 NaN            NaN            NaN
  1297.28        2500.00       0.118612        85.5136        3.09937                 NaN            NaN            NaN   1.29762                 NaN   1.97896       0.483733        7.50807                 NaN
  1296.13        2500.00        1.65726        74.0098        6.04526                 NaN            NaN            NaN   1.27485                 NaN   3.39017       0.759979E-002   13.6150                 NaN
  1294.97        2500.00        1.05643        78.6843        4.95180                 NaN            NaN            NaN   1.23362                 NaN   2.81585       0.169494        11.0885                 NaN
  1293.81        2500.00       0.604793        81.8760        4.17327                 NaN            NaN            NaN   1.24692                 NaN   2.42485       0.303707        9.37043                 NaN
  1292.66        2500.00       0.251575        84.1329        3.60568                 NaN            NaN            NaN   1.28709                 NaN   2.14908       0.417082        8.15654                 NaN
  1291.50        2500.00       0.175168E-001   85.8356        3.18491                 NaN            NaN            NaN   1.29846                 NaN   1.93784       0.483914        7.24172                 NaN
  1290.34        2500.00                 NaN   87.1815        2.91941                 NaN            NaN            NaN   1.18532                 NaN   1.76076       0.441673        6.51136                 NaN
  1289.19        2500.00                 NaN   88.3254        2.69589                 NaN            NaN            NaN   1.07882                 NaN   1.60890       0.397924        5.89305                 NaN
  1288.03        2500.00                 NaN   89.3160        2.50500                 NaN            NaN            NaN  0.981010                 NaN   1.47694       0.360360        5.36066                 NaN
  1286.87        2500.00                 NaN   90.1719        2.34894                 NaN            NaN            NaN  0.887437                 NaN   1.36238       0.327812        4.90156                 NaN
  1285.72        2500.00                 NaN   87.9879        2.87642                 NaN            NaN            NaN  0.912710                 NaN   1.66699       0.413041        6.14290                 NaN
  1284.56        2500.00                 NaN   93.2893        1.59147                 NaN            NaN            NaN  0.791274                 NaN  0.945804       0.207736        3.17444                 NaN
  1283.40        2500.00                 NaN   83.0296        3.98108       0.899670                 NaN            NaN  0.809810                 NaN   2.41204       0.518452        8.34937                 NaN
  1282.25        2500.00                 NaN   68.7884        7.38300        2.50306                 NaN            NaN   1.63223                 NaN   4.30140       0.871281        14.5206                 NaN
  1281.09        2500.00                 NaN   99.8520       0.141083                 NaN            NaN            NaN            NaN            NaN  0.687368E-002            NaN            NaN            NaN
  1279.93        2500.00                 NaN   99.9070       0.195233E-001  0.440699E-001            NaN            NaN            NaN            NaN  0.294070E-001            NaN            NaN            NaN
  1278.77        2500.00                 NaN   99.5522                 NaN            NaN            NaN            NaN  0.303759                 NaN  0.345522E-001  0.136243E-001  0.958290E-001            NaN
  1277.62        2500.00                 NaN   99.9500                 NaN            NaN            NaN            NaN            NaN            NaN  0.358698E-001  0.141291E-001            NaN            NaN
  1276.46        2500.00                 NaN   99.5819                 NaN            NaN            NaN            NaN            NaN            NaN  0.676035E-001            NaN  0.350479                 NaN
  1275.30        2500.00                 NaN   99.6774       0.907306E-001            NaN            NaN            NaN            NaN            NaN  0.451201E-001            NaN  0.186764                 NaN
  1274.15        2500.00                 NaN   98.8520       0.374561                 NaN            NaN            NaN            NaN            NaN  0.148862       0.509825E-001  0.573621                 NaN
  1272.99        2500.00                 NaN   97.7552       0.529694                 NaN            NaN            NaN  0.209423                 NaN  0.326665       0.735092E-001   1.10548                 NaN
  1271.83        2500.00                 NaN   89.7950       0.796896E-001   3.90480                 NaN            NaN            NaN            NaN   1.38286       0.239833        4.59780                 NaN
  1270.68        2500.00                 NaN   94.9006        1.91788                 NaN            NaN            NaN            NaN            NaN  0.696878       0.131801        2.35285                 NaN
  1269.52        2500.00                 NaN   95.3737                 NaN            NaN            NaN            NaN   1.30064                 NaN  0.763445       0.151434        2.41082                 NaN
  1268.36        2500.00                 NaN   91.5027        1.31018        1.75578                 NaN            NaN            NaN            NaN   1.18750       0.236675        4.00712                 NaN
  1267.21        2500.00                 NaN   99.0424       0.164316       0.261715                 NaN            NaN            NaN            NaN  0.105964       0.135210E-001  0.412067                 NaN
  1266.05        2500.00                 NaN   96.6221        1.30368                 NaN            NaN            NaN            NaN            NaN  0.462513       0.920229E-001   1.51968                 NaN
  1264.89        2500.00                 NaN   97.4645       0.941065                 NaN            NaN            NaN            NaN            NaN  0.348403       0.667017E-001   1.17937                 NaN
  1263.74        2500.00                 NaN   98.7053       0.174217                 NaN            NaN            NaN            NaN            NaN  0.240695       0.416848E-001  0.838126                 NaN
  1262.58        2500.00                 NaN   96.9686       0.289825        1.04118                 NaN            NaN            NaN            NaN  0.397275       0.592607E-001   1.24383                 NaN
  1261.42        2500.00                 NaN   93.7320       0.759829        1.82589                 NaN            NaN            NaN            NaN  0.822699       0.145667        2.71392                 NaN
  1260.27        2500.00                 NaN   96.3081        1.44997                 NaN            NaN            NaN            NaN            NaN  0.505378       0.859546E-001   1.65064                 NaN
  1259.11        2500.00                 NaN   94.6240        1.02100       0.698816                 NaN            NaN            NaN            NaN  0.676671       0.167920        2.81164                 NaN
  1257.95        2500.00                 NaN   98.9240       0.595266                 NaN            NaN            NaN            NaN            NaN  0.203257       0.722402E-002  0.270290                 NaN
  1256.80        2500.00                 NaN   86.2194        5.41822       0.501069E-001            NaN            NaN            NaN            NaN   1.96199       0.272253        6.07806                 NaN
  1255.64        2500.00                 NaN   99.8621                 NaN            NaN            NaN            NaN            NaN            NaN  0.474973E-001  0.904098E-001            NaN            NaN
  1254.48        2500.00                 NaN   99.9930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.702882E-002            NaN
  1253.33        2500.00                 NaN   99.8506       0.101986                 NaN            NaN            NaN            NaN            NaN  0.473796E-001            NaN            NaN            NaN
  1252.17        2500.00                 NaN   97.2694       0.931321                 NaN            NaN            NaN            NaN            NaN  0.296807                 NaN   1.50248                 NaN
  1251.01        2500.00                 NaN   99.6206       0.197253                 NaN            NaN            NaN            NaN            NaN  0.721319E-001            NaN  0.110045                 NaN
  1249.86        2500.00                 NaN   97.9966       0.638240       0.170189                 NaN            NaN            NaN            NaN  0.272363       0.401602E-001  0.882473                 NaN
  1248.70        2500.00                 NaN  100.0000       0.345361E-005            NaN            NaN            NaN  0.407194E-005            NaN  0.336839E-005            NaN  0.130654E-004            NaN
  1247.54        2500.00                 NaN   99.9999       0.290310E-005  0.438403E-004            NaN            NaN            NaN            NaN  0.176832E-004  0.291762E-005  0.560203E-004            NaN
  1246.39        2500.00                 NaN   91.7888       0.470041        2.68524                 NaN            NaN            NaN            NaN   1.14168       0.162116        3.75209                 NaN
  1245.23        2500.00                 NaN   97.7110       0.859693                 NaN            NaN            NaN            NaN            NaN  0.318758       0.472210E-001   1.06330                 NaN
  1244.07        2500.00                 NaN   95.0448       0.116375        1.68009                 NaN            NaN            NaN            NaN  0.673021       0.120319        2.36538                 NaN
  1242.92        2500.00                 NaN   99.1210       0.277783E-001  0.103051       0.699908E-001            NaN            NaN            NaN  0.888741E-001  0.128908E-001  0.349321       0.227086     
  1241.76        2500.00                 NaN   99.9999                 NaN            NaN            NaN            NaN  0.449815E-004            NaN  0.211107E-004  0.232194E-005  0.476559E-004            NaN
  1240.60        2500.00                 NaN   99.9999                 NaN            NaN            NaN            NaN            NaN            NaN  0.666259E-005  0.259286E-005  0.591996E-004  0.670551E-004
  1239.45        2500.00                 NaN   99.9997       0.383611E-004  0.774099E-004            NaN            NaN  0.202719E-005            NaN  0.487410E-004  0.534458E-005  0.161424E-003            NaN
  1238.29        2500.00                 NaN   99.9997       0.138339E-004            NaN            NaN            NaN  0.825644E-005            NaN  0.302648E-004            NaN  0.109594E-003  0.163829E-003
  1237.13        2500.00                 NaN   90.8151        3.21130                 NaN            NaN            NaN            NaN            NaN   1.22273       0.184228        4.27338       0.293222     
  1235.98        2500.00                 NaN   90.5200        1.19859       0.779842                 NaN            NaN            NaN            NaN  0.943339       0.107876        3.71765        2.73268     
