|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        pxmn           ilm            q             
  1593.57        2500.00        99.1331       0.757697       0.109205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00        99.1393       0.752681       0.107980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00        99.1469       0.745654       0.107416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00        99.7303       0.237395       0.323514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00        98.5884        1.23990       0.171679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00        99.1704       0.726147       0.103422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00        99.1807       0.717484       0.101808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.1598       0.738724       0.101443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00        99.2198       0.683248       0.969372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00        99.1973       0.704124       0.985833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00        99.2109       0.694823       0.942609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00        99.2131       0.692194       0.946786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00        99.2217       0.686472       0.918724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.2276       0.680431       0.919448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00        98.9854       0.899528       0.115116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00        99.4889       0.449129       0.620123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00        99.2459       0.665511       0.886244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00        99.2544       0.659080       0.865205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00        99.2590       0.655921       0.850606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00        99.2642       0.652054       0.837801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00        99.2708       0.646720       0.825128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00        99.2741       0.645517       0.804241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00        99.2833       0.635806       0.808532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        99.6807       0.282502       0.367829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00        98.8902       0.990360       0.119395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00        99.3039       0.620435       0.756595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00        99.1053       0.794221       0.100516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.5078       0.432559       0.596773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00        99.3136       0.621608       0.648123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00        99.3201       0.607767       0.721594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00        99.1338       0.773058       0.931738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.5690       0.386612       0.444050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00        99.2823       0.645133       0.725664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.3380       0.595110       0.668955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00        99.3412       0.593562       0.652108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00        99.3463       0.589161       0.645065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00        99.3511       0.585704       0.632107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00        99.3554       0.582703       0.619391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00        99.3450       0.592128       0.628668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00        99.3781       0.563587       0.583152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00        99.3658       0.574063       0.601290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00        99.3712       0.569991       0.588150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00        99.3798       0.564656       0.554995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00        99.3797       0.564281       0.560221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00        99.3819       0.564701       0.533924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00        99.9951                 NaN  0.491007E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00        98.7812        1.12194       0.969061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00        99.3947       0.554019       0.512973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00        99.3973       0.553188       0.494765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00        99.4015       0.548364       0.501726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00        99.1373       0.801329       0.613754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00        99.8657       0.124422       0.987948E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.2125       0.727512       0.599383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00        99.4144       0.541932       0.437029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00        99.4152       0.544110       0.407203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00        99.5111       0.452849       0.360800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00        99.3168       0.638516       0.446766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00        99.4359       0.524707       0.394236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00        99.4287       0.532789       0.384785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00        99.5596       0.411732       0.286516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00        99.3034       0.650874       0.456798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00        99.4310       0.537316       0.316354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00        99.2242       0.713807       0.416757E-001            NaN  0.202961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00        99.5514                 NaN  0.358804E-001            NaN  0.412704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00        99.1929                 NaN            NaN            NaN  0.807054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.1718                 NaN            NaN            NaN  0.126121E-001  0.815577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00        98.7655                 NaN            NaN            NaN  0.838992       0.395482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00        98.7743                 NaN            NaN            NaN  0.391169       0.834538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00        98.7906                 NaN  0.706695E-001            NaN  0.279765       0.858988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00        98.8021                 NaN  0.741385E-001            NaN  0.272259       0.851463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00        98.8121                 NaN  0.722753E-001            NaN  0.844725       0.270949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00        98.8212                 NaN  0.705074E-001            NaN  0.272190       0.836084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00        98.8290                 NaN  0.690983E-001            NaN  0.271775       0.830112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00        98.8425                 NaN  0.665976E-001            NaN  0.819073       0.271820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00        98.8490                 NaN  0.652608E-001            NaN  0.814098       0.271596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00        99.0245                 NaN  0.544656E-001            NaN  0.693258       0.227822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        98.6962                 NaN  0.713896E-001            NaN  0.311159       0.921238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        98.8741                 NaN  0.602654E-001            NaN  0.794785       0.270823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        98.8810                 NaN  0.590475E-001            NaN  0.788146       0.271810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00        98.9565                 NaN  0.532803E-001            NaN  0.255866       0.734394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        98.8339                 NaN  0.585342E-001            NaN  0.287269       0.820278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00        98.9073                 NaN  0.538165E-001            NaN  0.768153       0.270730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00        98.9127                 NaN  0.504530E-001            NaN  0.763662       0.273156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00        98.9353                 NaN  0.522318E-001            NaN  0.749192       0.263299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00        98.9105                 NaN  0.500866E-001            NaN  0.764860       0.274585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00        98.9328                 NaN  0.478528E-001            NaN  0.749172       0.270151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00        98.9372                 NaN  0.466930E-001            NaN  0.270981       0.745165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        98.9480                 NaN  0.447627E-001            NaN  0.269766       0.737504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00        98.9512                 NaN  0.436813E-001            NaN  0.735148       0.269995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        98.9542                 NaN  0.428966E-001            NaN  0.268418       0.734475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00        98.9669                 NaN  0.399698E-001            NaN  0.270345       0.722834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00        98.9720                 NaN  0.391378E-001            NaN  0.718985       0.269917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00        98.9707                 NaN  0.380459E-001            NaN  0.720236       0.271003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00        98.9766                 NaN  0.369726E-001            NaN  0.715632       0.270817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00        98.9842                 NaN  0.351729E-001            NaN  0.269600       0.710979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00        98.9888                 NaN  0.337500E-001            NaN  0.706750       0.270654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00        98.9926                 NaN  0.325203E-001            NaN  0.270695       0.704183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00        98.6928                 NaN  0.924206E-001            NaN  0.332675       0.739672                 NaN  0.142442                 NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        97.2568                 NaN  0.387981                 NaN  0.912851       0.620685                 NaN  0.821646                 NaN            NaN            NaN            NaN            NaN
  1437.70        2500.00        97.4376                 NaN  0.369956                 NaN  0.861952       0.561682                 NaN  0.768822                 NaN            NaN            NaN            NaN            NaN
  1436.13        2500.00        97.2187                 NaN  0.406099                 NaN  0.933130       0.609428                 NaN  0.832674                 NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        97.4052                 NaN  0.387968                 NaN  0.875355       0.553443                 NaN  0.778013                 NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        97.4552                 NaN  0.386553                 NaN  0.533124       0.862457                 NaN  0.762673                 NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        97.4988                 NaN  0.386855                 NaN  0.852191       0.512418                 NaN  0.749784                 NaN            NaN            NaN            NaN            NaN
  1429.83        2500.00        97.5396                 NaN  0.387450                 NaN  0.842865       0.492180                 NaN  0.737888                 NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00        97.5810                 NaN  0.388082                 NaN  0.832593       0.472959                 NaN  0.725399                 NaN            NaN            NaN            NaN            NaN
  1426.68        2500.00        97.5836                 NaN  0.395602                 NaN  0.839352       0.454583                 NaN  0.726816                 NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00        97.6980                 NaN  0.380061                 NaN  0.432272       0.800394                 NaN  0.689249                 NaN            NaN            NaN            NaN            NaN
  1423.53        2500.00        97.6957                 NaN  0.389824                 NaN  0.418879       0.804121                 NaN  0.691451                 NaN            NaN            NaN            NaN            NaN
  1421.96        2500.00        97.7312                 NaN  0.389551                 NaN  0.400292       0.798306                 NaN  0.680628                 NaN            NaN            NaN            NaN            NaN
  1420.38        2500.00        97.7844                 NaN  0.386714                 NaN  0.781430       0.382598                 NaN  0.664905                 NaN            NaN            NaN            NaN            NaN
  1418.81        2500.00        97.8114                 NaN  0.388867                 NaN  0.776419       0.366111                 NaN  0.657196                 NaN            NaN            NaN            NaN            NaN
  1417.23        2500.00        97.8422                 NaN  0.390464                 NaN  0.349425       0.769669                 NaN  0.648202                 NaN            NaN            NaN            NaN            NaN
  1415.66        2500.00        97.8541                 NaN  0.394782                 NaN  0.785352       0.322225                 NaN  0.643525                 NaN            NaN            NaN            NaN            NaN
  1414.08        2500.00        97.9288                 NaN  0.385044                 NaN  0.329637       0.733657                 NaN  0.622888                 NaN            NaN            NaN            NaN            NaN
  1412.51        2500.00        97.9376                 NaN  0.391517                 NaN  0.747546       0.304071                 NaN  0.619310                 NaN            NaN            NaN            NaN            NaN
  1410.93        2500.00        97.9621                 NaN  0.394067                 NaN  0.742493       0.288636                 NaN  0.612667                 NaN            NaN            NaN            NaN            NaN
  1409.36        2500.00        98.0034                 NaN  0.390129                 NaN  0.733502       0.273643                 NaN  0.599354                 NaN            NaN            NaN            NaN            NaN
  1407.79        2500.00        98.0256                 NaN  0.392790                 NaN  0.260921       0.727724                 NaN  0.592926                 NaN            NaN            NaN            NaN            NaN
  1406.21        2500.00        98.0525                 NaN  0.393995                 NaN  0.246787       0.721642                 NaN  0.585103                 NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.0806                 NaN  0.394053                 NaN  0.232496       0.716299                 NaN  0.576529                 NaN            NaN            NaN            NaN            NaN
  1403.06        2500.00        98.1052                 NaN  0.395329                 NaN  0.218965       0.711217                 NaN  0.569309                 NaN            NaN            NaN            NaN            NaN
  1401.49        2500.00        98.1315                 NaN  0.394931                 NaN  0.208707       0.703893                 NaN  0.560980                 NaN            NaN            NaN            NaN            NaN
  1399.91        2500.00        98.1560                 NaN  0.395857                 NaN  0.699857       0.194553                 NaN  0.553767                 NaN            NaN            NaN            NaN            NaN
  1398.34        2500.00        98.1783                 NaN  0.396609                 NaN  0.695071       0.183141                 NaN  0.546893                 NaN            NaN            NaN            NaN            NaN
  1396.76        2500.00        98.2024                 NaN  0.397318                 NaN  0.690146       0.170474                 NaN  0.539662                 NaN            NaN            NaN            NaN            NaN
  1395.19        2500.00        98.2247                 NaN  0.398185                 NaN  0.684403       0.159578                 NaN  0.533113                 NaN            NaN            NaN            NaN            NaN
  1393.62        2500.00        98.2509                 NaN  0.396383                 NaN  0.148817       0.679434                 NaN  0.524462                 NaN            NaN            NaN            NaN            NaN
  1392.04        2500.00        98.2678                 NaN  0.398654                 NaN  0.675958       0.137943                 NaN  0.519634                 NaN            NaN            NaN            NaN            NaN
  1390.47        2500.00        98.2919                 NaN  0.397991                 NaN  0.671635       0.126557                 NaN  0.511961                 NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        98.3119                 NaN  0.398550                 NaN  0.115922       0.667613                 NaN  0.506001                 NaN            NaN            NaN            NaN            NaN
  1387.32        2500.00        97.5794                 NaN  0.588568                 NaN  0.944390       0.161523                 NaN  0.726145                 NaN            NaN            NaN            NaN            NaN
  1385.74        2500.00        99.0572                 NaN  0.213885                 NaN  0.391947       0.613300E-001            NaN  0.275628                 NaN            NaN            NaN            NaN            NaN
  1384.17        2500.00        98.3753                 NaN  0.397194                 NaN  0.653660       0.879030E-001            NaN  0.485896                 NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00        98.3773                 NaN  0.404787                 NaN  0.663205       0.677990E-001            NaN  0.486939                 NaN            NaN            NaN            NaN            NaN
  1381.02        2500.00        98.4080                 NaN  0.395983                 NaN  0.647584       0.726669E-001            NaN  0.475731                 NaN            NaN            NaN            NaN            NaN
  1379.45        2500.00        98.4381                 NaN  0.392646                 NaN  0.638815       0.648273E-001            NaN  0.465650                 NaN            NaN            NaN            NaN            NaN
  1377.87        2500.00        98.4433                 NaN  0.397575                 NaN  0.641372       0.530868E-001            NaN  0.464693                 NaN            NaN            NaN            NaN            NaN
  1376.30        2500.00        98.4601                 NaN  0.397360                 NaN  0.455591E-001  0.637680                 NaN  0.459326                 NaN            NaN            NaN            NaN            NaN
  1374.72        2500.00        98.4788                 NaN  0.396059                 NaN  0.384346E-001  0.633271                 NaN  0.453455                 NaN            NaN            NaN            NaN            NaN
  1373.15        2500.00        98.4962                 NaN  0.395659                 NaN  0.628946       0.311583E-001            NaN  0.447995                 NaN            NaN            NaN            NaN            NaN
  1371.57        2500.00        98.5104                 NaN  0.394996                 NaN  0.626739       0.246391E-001            NaN  0.443214                 NaN            NaN            NaN            NaN            NaN
  1370.00        2500.00        98.5285                 NaN  0.393668                 NaN  0.175574E-001  0.622729                 NaN  0.437501                 NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        98.5446                 NaN  0.393014                 NaN  0.620055       0.976860E-002            NaN  0.432589                 NaN            NaN            NaN            NaN            NaN
  1366.85        2500.00        98.5590                 NaN  0.391390                 NaN  0.616532       0.562632E-002            NaN  0.427482                 NaN            NaN            NaN            NaN            NaN
  1365.27        2500.00        98.5691                 NaN  0.374500                 NaN  0.412562E-001  0.593153                 NaN  0.422029                 NaN            NaN            NaN            NaN            NaN
  1363.70        2500.00        98.5883                 NaN  0.390818                 NaN  0.602720                 NaN            NaN  0.418172                 NaN            NaN            NaN            NaN            NaN
  1362.13        2500.00        98.6028                 NaN  0.382834                 NaN  0.601957                 NaN            NaN  0.412450                 NaN            NaN            NaN            NaN            NaN
  1360.55        2500.00        98.6138                 NaN  0.382560                 NaN  0.595010                 NaN            NaN  0.408649                 NaN            NaN            NaN            NaN            NaN
  1358.98        2500.00        98.6297                 NaN  0.376675                 NaN  0.590430                 NaN            NaN  0.403226                 NaN            NaN            NaN            NaN            NaN
  1357.40        2500.00        98.6411                 NaN  0.372928                 NaN  0.587360                 NaN            NaN  0.398659                 NaN            NaN            NaN            NaN            NaN
  1355.83        2500.00        98.6543                 NaN  0.369932                 NaN  0.581485                 NaN            NaN  0.394291                 NaN            NaN            NaN            NaN            NaN
  1354.25        2500.00        98.6679                 NaN  0.367023                 NaN  0.575590                 NaN            NaN  0.389501                 NaN            NaN            NaN            NaN            NaN
  1352.68        2500.00        98.6811                 NaN  0.364982                 NaN  0.568592                 NaN            NaN  0.385330                 NaN            NaN            NaN            NaN            NaN
  1351.10        2500.00        98.6939                 NaN  0.361270                 NaN  0.564268                 NaN            NaN  0.380580                 NaN            NaN            NaN            NaN            NaN
  1349.53        2500.00        98.7048                 NaN  0.358578                 NaN  0.559964                 NaN            NaN  0.376684                 NaN            NaN            NaN            NaN            NaN
  1347.96        2500.00        98.7177                 NaN  0.356799                 NaN  0.553049                 NaN            NaN  0.372449                 NaN            NaN            NaN            NaN            NaN
  1346.38        2500.00        98.7290                 NaN  0.348882                 NaN  0.554347                 NaN            NaN  0.367779                 NaN            NaN            NaN            NaN            NaN
  1344.81        2500.00        98.7412                 NaN  0.347942                 NaN  0.547162                 NaN            NaN  0.363656                 NaN            NaN            NaN            NaN            NaN
  1343.23        2500.00        98.7513                 NaN  0.344795                 NaN  0.543874                 NaN            NaN  0.360006                 NaN            NaN            NaN            NaN            NaN
  1341.66        2500.00        98.7635                 NaN  0.342099                 NaN  0.538455                 NaN            NaN  0.355939                 NaN            NaN            NaN            NaN            NaN
  1340.08        2500.00        98.7758                 NaN  0.337611                 NaN  0.534976                 NaN            NaN  0.351571                 NaN            NaN            NaN            NaN            NaN
  1338.51        2500.00        98.7847                 NaN  0.335324                 NaN  0.531312                 NaN            NaN  0.348648                 NaN            NaN            NaN            NaN            NaN
  1336.93        2500.00        98.7966                 NaN  0.332429                 NaN  0.527128                 NaN            NaN  0.343860                 NaN            NaN            NaN            NaN            NaN
  1335.36        2500.00        98.8086                 NaN  0.326998                 NaN  0.524845                 NaN            NaN  0.339562                 NaN            NaN            NaN            NaN            NaN
  1333.79        2500.00        98.8181                 NaN  0.325726                 NaN  0.519557                 NaN            NaN  0.336650                 NaN            NaN            NaN            NaN            NaN
  1332.21        2500.00        98.8276                 NaN  0.321117                 NaN  0.518330                 NaN            NaN  0.332933                 NaN            NaN            NaN            NaN            NaN
  1330.64        2500.00        98.8378                 NaN  0.317891                 NaN  0.514829                 NaN            NaN  0.329440                 NaN            NaN            NaN            NaN            NaN
  1329.06        2500.00        98.8496                 NaN  0.314360                 NaN  0.510605                 NaN            NaN  0.325484                 NaN            NaN            NaN            NaN            NaN
  1327.49        2500.00        98.8580                 NaN  0.310514                 NaN  0.509346                 NaN            NaN  0.322171                 NaN            NaN            NaN            NaN            NaN
  1325.91        2500.00        98.8691                 NaN  0.308203                 NaN  0.503936                 NaN            NaN  0.318741                 NaN            NaN            NaN            NaN            NaN
  1324.34        2500.00        98.8784                 NaN  0.304132                 NaN  0.502310                 NaN            NaN  0.315143                 NaN            NaN            NaN            NaN            NaN
