|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1541.22        2500.00                 NaN   99.2612       0.689751E-001            NaN  0.669801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00                 NaN   99.4986       0.451342E-001            NaN  0.456225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00                 NaN   99.5024       0.454922E-001            NaN  0.452122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00                 NaN   99.5051       0.445328E-001            NaN  0.450374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00                 NaN   99.5062       0.439484E-001            NaN  0.449804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00                 NaN   99.5148       0.424151E-001            NaN  0.442802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00                 NaN   99.5150       0.426604E-001            NaN  0.442332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN   99.5186       0.418928E-001            NaN  0.439505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00                 NaN   99.5214       0.464531E-001            NaN  0.432166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00                 NaN   99.5228       0.363665E-001            NaN  0.440817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00                 NaN   99.5288       0.400900E-001            NaN  0.431110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00                 NaN   99.5303       0.400498E-001            NaN  0.429667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00                 NaN   99.5334       0.388839E-001            NaN  0.427723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.5345       0.377381E-001            NaN  0.427735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00                 NaN   99.5075       0.405851E-001            NaN  0.451871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN   99.4685       0.288029E-002            NaN  0.620707E-001  0.466539                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00                 NaN   99.4051                 NaN            NaN            NaN  0.594949                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.4063                 NaN            NaN            NaN  0.593718                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00                 NaN   99.3631                 NaN            NaN            NaN  0.636943                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00                 NaN   99.4931       0.909168E-006            NaN            NaN  0.506944                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00                 NaN   99.3625                 NaN            NaN            NaN  0.637521                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00                 NaN   99.4054                 NaN            NaN            NaN  0.594633                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00                 NaN   99.4054                 NaN            NaN  0.710654E-002  0.587495                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN   99.4093                 NaN            NaN            NaN  0.590719                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00                 NaN   99.4051                 NaN            NaN  0.130103       0.464774                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00                 NaN   99.4018                 NaN            NaN            NaN  0.598237                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00                 NaN   99.3682                 NaN            NaN            NaN  0.631777                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00                 NaN   99.7443                 NaN            NaN            NaN  0.255719                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00                 NaN   99.0708                 NaN            NaN            NaN  0.929154                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00                 NaN   99.3900                 NaN            NaN            NaN  0.609986                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00                 NaN   99.3834       0.131128E-005            NaN            NaN  0.616580                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00                 NaN   99.3784                 NaN            NaN            NaN  0.621646                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00                 NaN   99.3704                 NaN            NaN            NaN  0.629579                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00                 NaN   99.3611                 NaN            NaN            NaN  0.149148E-002  0.637374                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   99.0845                 NaN            NaN            NaN  0.376030       0.539463                 NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00                 NaN   99.0565       0.975514E-006            NaN            NaN  0.603096       0.340362                 NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00                 NaN   99.0640                 NaN            NaN            NaN  0.597379       0.338576                 NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00                 NaN   99.0726                 NaN            NaN            NaN  0.335982       0.591404                 NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00                 NaN   98.8356                 NaN            NaN            NaN  0.422792       0.741643                 NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00                 NaN   99.3342                 NaN            NaN            NaN  0.241801       0.423980                 NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00       0.176269E-003   99.0938                 NaN            NaN            NaN  0.575790       0.330262                 NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00                 NaN   99.1015                 NaN            NaN            NaN  0.327198       0.571335                 NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00       0.446095E-003   99.1086                 NaN            NaN            NaN  0.325962       0.565018                 NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00       0.185752E-002   99.1141                 NaN            NaN            NaN  0.326951       0.557081                 NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00       0.180253E-002   99.1224                 NaN            NaN            NaN  0.551802       0.324045                 NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00       0.174805E-002   99.1286                 NaN            NaN            NaN  0.322009       0.547624                 NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00       0.206096E-002   98.9472                 NaN            NaN            NaN  0.661635       0.389140                 NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00       0.127202E-002   99.3311                 NaN            NaN            NaN  0.419784       0.247810                 NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00       0.159875E-002   99.1476                 NaN            NaN            NaN  0.535518       0.315328                 NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00       0.153357E-002   99.1558                 NaN            NaN            NaN  0.312992       0.529645                 NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00       0.148992E-002   99.1608                 NaN            NaN            NaN  0.311123       0.526543                 NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00       0.146297E-002   99.1660                 NaN            NaN            NaN  0.309595       0.522961                 NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00       0.138753E-002   99.1752                 NaN            NaN            NaN  0.306383       0.517035                 NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00       0.134471E-002   99.1795                 NaN            NaN            NaN  0.304990       0.514143                 NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00       0.183400E-002   98.8532                 NaN            NaN            NaN  0.718668       0.426285                 NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00       0.737016E-003   99.5237                 NaN            NaN            NaN  0.298148       0.177459                 NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00       0.122062E-002   99.1962                 NaN            NaN            NaN  0.298710       0.503898                 NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00       0.116679E-002   99.2024                 NaN            NaN            NaN  0.297120       0.499273                 NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00       0.150296E-002   98.9362                 NaN            NaN            NaN  0.398081       0.664253                 NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00       0.706582E-003   99.4844                 NaN            NaN            NaN  0.192428       0.322423                 NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00       0.105201E-002   99.2184       0.218227E-005            NaN            NaN  0.488926       0.291616                 NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00       0.100086E-002   99.2222                 NaN            NaN            NaN  0.486611       0.290177                 NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00       0.954437E-003   99.2265                 NaN            NaN            NaN  0.484792       0.287711                 NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00       0.934718E-003   99.2348       0.125558E-005            NaN            NaN  0.478580       0.285703                 NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00       0.884176E-003   99.2378       0.750145E-002            NaN            NaN  0.273385       0.480413                 NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00       0.823036E-003   99.2479       0.161366E-001            NaN            NaN  0.256052       0.479131                 NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00       0.798611E-003   99.2426       0.147447E-001            NaN            NaN  0.258540       0.483322                 NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00       0.756877E-003   99.2612       0.150680E-001            NaN            NaN  0.469781       0.253219                 NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00       0.731136E-003   99.2587       0.137245E-001            NaN            NaN  0.471128       0.255728                 NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00       0.698179E-003   99.2642       0.128087E-001            NaN            NaN  0.467028       0.255217                 NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00       0.669576E-003   99.2675       0.121377E-001            NaN            NaN  0.464962       0.254745                 NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00       0.572548E-003   99.3481       0.991140E-002            NaN            NaN  0.412843       0.228565                 NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00       0.628723E-003   99.2025       0.387303E-001            NaN            NaN  0.238370       0.519753                 NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00       0.596371E-003   99.2825       0.143625E-003            NaN            NaN  0.267291       0.449427                 NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00       0.579327E-003   99.2786                 NaN            NaN            NaN  0.269016       0.451772                 NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00       0.556679E-003   99.2845       0.590490E-003            NaN            NaN  0.265969       0.448387                 NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00       0.512266E-003   99.2900       0.769046E-002            NaN            NaN  0.449002       0.252840                 NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00       0.488487E-003   99.2929       0.717184E-002            NaN            NaN  0.252144       0.447301                 NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00       0.465472E-003   99.2945       0.646590E-002            NaN            NaN  0.252467       0.446135                 NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00       0.446006E-003   99.3011       0.568826E-002            NaN            NaN  0.251542       0.441240                 NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00       0.425274E-003   99.3023       0.498424E-002            NaN            NaN  0.251743       0.440572                 NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00       0.407904E-003   99.3052       0.446540E-002            NaN            NaN  0.251015       0.438863                 NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00       0.387312E-003   99.3085       0.364726E-002            NaN            NaN  0.436373       0.251106                 NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00       0.370599E-003   99.3110       0.299247E-002            NaN            NaN  0.434604       0.251020                 NaN            NaN            NaN            NaN            NaN
  1423.14        2500.00       0.353407E-003   99.3134       0.235166E-002            NaN            NaN  0.250654       0.433200                 NaN            NaN            NaN            NaN            NaN
  1421.73        2500.00                 NaN   98.8712       0.102251                 NaN            NaN  0.284494       0.481042                 NaN  0.260997                 NaN            NaN            NaN
  1420.32        2500.00       0.564620E-003   98.3753       0.215718                 NaN            NaN  0.531982       0.321325                 NaN  0.555092                 NaN            NaN            NaN
  1418.92        2500.00                 NaN   98.4219       0.213696                 NaN            NaN  0.520944       0.304965                 NaN  0.538452                 NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.4347       0.214061                 NaN            NaN  0.518190       0.298006                 NaN  0.535026                 NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.4562       0.213340                 NaN            NaN  0.289363       0.513371                 NaN  0.527760                 NaN            NaN            NaN
  1414.70        2500.00                 NaN   97.0822       0.186078E-001  0.400153                 NaN  0.570929       0.944430                 NaN  0.983693                 NaN            NaN            NaN
  1413.29        2500.00                 NaN   99.6920       0.347355E-001            NaN            NaN  0.101879       0.713103E-001            NaN  0.100110                 NaN            NaN            NaN
  1411.89        2500.00                 NaN   98.5234       0.210859                 NaN            NaN  0.495698       0.264279                 NaN  0.505714                 NaN            NaN            NaN
  1410.48        2500.00                 NaN   98.5373       0.211673                 NaN            NaN  0.255986       0.493251                 NaN  0.501827                 NaN            NaN            NaN
  1409.08        2500.00                 NaN   98.5694       0.208795                 NaN            NaN  0.483537       0.247978                 NaN  0.490335                 NaN            NaN            NaN
  1407.67        2500.00                 NaN   98.5830       0.209726                 NaN            NaN  0.480387       0.240504                 NaN  0.486337                 NaN            NaN            NaN
  1406.27        2500.00                 NaN   98.6040       0.208516                 NaN            NaN  0.233212       0.474763                 NaN  0.479526                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.6227       0.208193                 NaN            NaN  0.225087       0.470734                 NaN  0.473302                 NaN            NaN            NaN
  1403.45        2500.00                 NaN   98.6400       0.207781                 NaN            NaN  0.466666       0.218029                 NaN  0.467534                 NaN            NaN            NaN
  1402.05        2500.00                 NaN   98.6575       0.207197                 NaN            NaN  0.211239       0.462298                 NaN  0.461725                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   98.6737       0.206752                 NaN            NaN  0.458882       0.204304                 NaN  0.456384                 NaN            NaN            NaN
  1399.24        2500.00                 NaN   98.6939       0.205979                 NaN            NaN  0.452981       0.197480                 NaN  0.449702                 NaN            NaN            NaN
  1397.83        2500.00                 NaN   98.7034       0.206641                 NaN            NaN  0.191325       0.451750                 NaN  0.446849                 NaN            NaN            NaN
  1396.43        2500.00                 NaN   98.7279       0.204249                 NaN            NaN  0.185106       0.444658                 NaN  0.438091                 NaN            NaN            NaN
  1395.02        2500.00                 NaN   98.7387       0.205096                 NaN            NaN  0.441555       0.179238                 NaN  0.435428                 NaN            NaN            NaN
  1393.61        2500.00                 NaN   98.7583       0.203263                 NaN            NaN  0.438188       0.172293                 NaN  0.427961                 NaN            NaN            NaN
  1392.21        2500.00                 NaN   98.7728       0.203215                 NaN            NaN  0.433997       0.166590                 NaN  0.423400                 NaN            NaN            NaN
  1390.80        2500.00                 NaN   98.7867       0.202661                 NaN            NaN  0.430840       0.161087                 NaN  0.418746                 NaN            NaN            NaN
  1389.40        2500.00                 NaN   98.8004       0.202094                 NaN            NaN  0.156143       0.427344                 NaN  0.414061                 NaN            NaN            NaN
  1387.99        2500.00                 NaN   98.8157       0.201239                 NaN            NaN  0.150428       0.423810                 NaN  0.408830                 NaN            NaN            NaN
  1386.59        2500.00                 NaN   98.8266       0.201195                 NaN            NaN  0.421895       0.145056                 NaN  0.405258                 NaN            NaN            NaN
  1385.18        2500.00                 NaN   98.8430       0.199590                 NaN            NaN  0.416789       0.141248                 NaN  0.399373                 NaN            NaN            NaN
  1383.77        2500.00                 NaN   98.8565       0.199600                 NaN            NaN  0.413690       0.135082                 NaN  0.395171                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   98.8702       0.198216                 NaN            NaN  0.410776       0.130674                 NaN  0.390125                 NaN            NaN            NaN
  1380.96        2500.00                 NaN   98.8830       0.197624                 NaN            NaN  0.125723       0.407591                 NaN  0.386034                 NaN            NaN            NaN
  1379.56        2500.00                 NaN   98.8945       0.197009                 NaN            NaN  0.121081       0.405489                 NaN  0.381886                 NaN            NaN            NaN
  1378.15        2500.00                 NaN   98.9067       0.196805                 NaN            NaN  0.116797       0.401766                 NaN  0.377947                 NaN            NaN            NaN
  1376.74        2500.00                 NaN   98.9214       0.194505                 NaN            NaN  0.113405       0.398387                 NaN  0.372325                 NaN            NaN            NaN
  1375.34        2500.00                 NaN   98.9314       0.194383                 NaN            NaN  0.108870       0.396254                 NaN  0.369089                 NaN            NaN            NaN
  1373.93        2500.00                 NaN   98.9423       0.193401                 NaN            NaN  0.393748       0.105359                 NaN  0.365179                 NaN            NaN            NaN
  1372.53        2500.00                 NaN   98.9542       0.192531                 NaN            NaN  0.391231       0.100935                 NaN  0.361113                 NaN            NaN            NaN
  1371.12        2500.00                 NaN   98.9649       0.191274                 NaN            NaN  0.979172E-001  0.388800                 NaN  0.357076                 NaN            NaN            NaN
  1369.72        2500.00                 NaN   98.9758       0.190405                 NaN            NaN  0.942797E-001  0.386128                 NaN  0.353436                 NaN            NaN            NaN
  1368.31        2500.00                 NaN   98.9868       0.189428                 NaN            NaN  0.383806       0.903057E-001            NaN  0.349651                 NaN            NaN            NaN
  1366.90        2500.00                 NaN   98.9978       0.187985                 NaN            NaN  0.879061E-001  0.380879                 NaN  0.345385                 NaN            NaN            NaN
  1365.50        2500.00                 NaN   98.1219       0.352553                 NaN            NaN  0.169602       0.706550                 NaN  0.649371                 NaN            NaN            NaN
  1364.09        2500.00                 NaN   99.9030       0.313768E-001            NaN            NaN  0.311751E-001            NaN            NaN  0.344060E-001            NaN            NaN            NaN
  1362.69        2500.00                 NaN   99.0487       0.173288                 NaN            NaN  0.377470       0.741857E-001            NaN  0.326311                 NaN            NaN            NaN
  1361.28        2500.00                 NaN   99.0370       0.183220                 NaN            NaN  0.371706       0.769395E-001            NaN  0.331087                 NaN            NaN            NaN
  1359.88        2500.00                 NaN   99.0455       0.183704                 NaN            NaN  0.369178       0.725110E-001            NaN  0.329114                 NaN            NaN            NaN
  1358.47        2500.00                 NaN   99.0582       0.178924                 NaN            NaN  0.744666E-001  0.365645                 NaN  0.322742                 NaN            NaN            NaN
  1357.06        2500.00                 NaN   99.0644       0.179433                 NaN            NaN  0.692983E-001  0.365763                 NaN  0.321140                 NaN            NaN            NaN
  1355.66        2500.00                 NaN   99.0742       0.177417                 NaN            NaN  0.686939E-001  0.362424                 NaN  0.317308                 NaN            NaN            NaN
  1354.25        2500.00                 NaN   99.0819       0.176100                 NaN            NaN  0.669342E-001  0.360796                 NaN  0.314303                 NaN            NaN            NaN
  1352.85        2500.00                 NaN   99.0901       0.174929                 NaN            NaN  0.358986       0.646381E-001            NaN  0.311316                 NaN            NaN            NaN
  1351.44        2500.00                 NaN   99.0508       0.146724                 NaN            NaN  0.323348       0.150126                 NaN  0.328990                 NaN            NaN            NaN
  1350.04        2500.00                 NaN   99.1542       0.187693                 NaN            NaN  0.376266                 NaN            NaN  0.281861                 NaN            NaN            NaN
  1348.63        2500.00                 NaN   99.1204       0.178647                 NaN            NaN  0.364307       0.344756E-001            NaN  0.302186                 NaN            NaN            NaN
  1347.22        2500.00                 NaN   99.1232       0.167635                 NaN            NaN  0.350867       0.600379E-001            NaN  0.298286                 NaN            NaN            NaN
  1345.82        2500.00                 NaN   99.1312       0.153468                 NaN            NaN  0.340783       0.824411E-001            NaN  0.292155                 NaN            NaN            NaN
  1344.41        2500.00                 NaN   99.1381       0.177358                 NaN            NaN  0.355747       0.328340E-001            NaN  0.295987                 NaN            NaN            NaN
  1343.01        2500.00                 NaN   99.1461       0.161550                 NaN            NaN  0.344736       0.587425E-001            NaN  0.288848                 NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.1533       0.159733                 NaN            NaN  0.342301       0.584735E-001            NaN  0.286156                 NaN            NaN            NaN
  1340.19        2500.00                 NaN   99.1583       0.158666                 NaN            NaN  0.576248E-001  0.340983                 NaN  0.284389                 NaN            NaN            NaN
  1338.79        2500.00                 NaN   99.1683       0.155436                 NaN            NaN  0.337773       0.584615E-001            NaN  0.280056                 NaN            NaN            NaN
  1337.38        2500.00                 NaN   99.1737       0.153663                 NaN            NaN  0.336467       0.583380E-001            NaN  0.277823                 NaN            NaN            NaN
  1335.98        2500.00                 NaN   99.1794       0.151572                 NaN            NaN  0.334838       0.588751E-001            NaN  0.275353                 NaN            NaN            NaN
  1334.57        2500.00                 NaN   99.1867       0.149368                 NaN            NaN  0.588816E-001  0.332610                 NaN  0.272429                 NaN            NaN            NaN
  1333.17        2500.00                 NaN   99.1924       0.147121                 NaN            NaN  0.330639       0.599295E-001            NaN  0.269933                 NaN            NaN            NaN
  1331.76        2500.00                 NaN   99.1793       0.156188                 NaN            NaN  0.220277E-001  0.357211                 NaN  0.275229       0.100139E-001            NaN            NaN
  1330.35        2500.00                 NaN   99.0932       0.154504                 NaN            NaN  0.407213                 NaN            NaN  0.298077       0.470544E-001            NaN            NaN
  1328.95        2500.00                 NaN   99.1047       0.153408                 NaN            NaN  0.401150                 NaN            NaN  0.294522       0.462237E-001            NaN            NaN
  1327.54        2500.00                 NaN   99.1096       0.151182                 NaN            NaN  0.400528                 NaN            NaN  0.293117       0.455957E-001            NaN            NaN
  1326.14        2500.00                 NaN   99.1307       0.149131                 NaN            NaN  0.390446                 NaN            NaN  0.285479       0.442533E-001            NaN            NaN
  1324.73        2500.00                 NaN   99.1383       0.148462                 NaN            NaN  0.386003                 NaN            NaN  0.283594       0.436777E-001            NaN            NaN
  1323.33        2500.00                 NaN   99.1485       0.146188                 NaN            NaN  0.382332                 NaN            NaN  0.280093       0.428446E-001            NaN            NaN
  1321.92        2500.00                 NaN   99.1597       0.144569                 NaN            NaN  0.377200                 NaN            NaN  0.276481       0.420593E-001            NaN            NaN
  1320.51        2500.00                 NaN   99.1692       0.142618                 NaN            NaN  0.373756                 NaN            NaN  0.273217       0.412472E-001            NaN            NaN
  1319.11        2500.00                 NaN   99.1792       0.140384                 NaN            NaN  0.370101                 NaN            NaN  0.269862       0.404450E-001            NaN            NaN
  1317.70        2500.00                 NaN   99.1895       0.139401                 NaN            NaN  0.364740                 NaN            NaN  0.266592       0.397491E-001            NaN            NaN
  1316.30        2500.00                 NaN   99.1978       0.137104                 NaN            NaN  0.362498                 NaN            NaN  0.263606       0.389848E-001            NaN            NaN
  1314.89        2500.00                 NaN   99.2080       0.135016                 NaN            NaN  0.358478                 NaN            NaN  0.260215       0.382418E-001            NaN            NaN
  1313.49        2500.00                 NaN   99.2182       0.134055                 NaN            NaN  0.353237                 NaN            NaN  0.257001       0.375115E-001            NaN            NaN
  1312.08        2500.00                 NaN   99.2269       0.131687                 NaN            NaN  0.350646                 NaN            NaN  0.253976       0.368156E-001            NaN            NaN
  1310.67        2500.00                 NaN   99.2357       0.130144                 NaN            NaN  0.346952                 NaN            NaN  0.251023       0.361453E-001            NaN            NaN
  1309.27        2500.00                 NaN   99.2449       0.127780                 NaN            NaN  0.343911                 NaN            NaN  0.247952       0.354540E-001            NaN            NaN
  1307.86        2500.00                 NaN   99.2532       0.126068                 NaN            NaN  0.340959                 NaN            NaN  0.245013       0.347648E-001            NaN            NaN
  1306.46        2500.00                 NaN   99.2615       0.124612                 NaN            NaN  0.337413                 NaN            NaN  0.242319       0.341434E-001            NaN            NaN
  1305.05        2500.00                 NaN   99.2697       0.121992                 NaN            NaN  0.335421                 NaN            NaN  0.239407       0.334370E-001            NaN            NaN
  1303.65        2500.00                 NaN   99.2776       0.120277                 NaN            NaN  0.332581                 NaN            NaN  0.236727       0.328207E-001            NaN            NaN
  1302.24        2500.00                 NaN   99.2862       0.118109                 NaN            NaN  0.329731                 NaN            NaN  0.233809       0.321722E-001            NaN            NaN
  1300.83        2500.00                 NaN   99.2940       0.116730                 NaN            NaN  0.326425                 NaN            NaN  0.231246       0.315783E-001            NaN            NaN
  1299.43        2500.00                 NaN   99.3016       0.114722                 NaN            NaN  0.324120                 NaN            NaN  0.228613       0.309585E-001            NaN            NaN
  1298.02        2500.00                 NaN   92.6836       0.563690                 NaN            NaN   1.26458                 NaN            NaN   1.11190       0.194289        4.18190                 NaN
  1296.62        2500.00        1.67127        62.5955        1.47513                 NaN            NaN   6.31929                 NaN            NaN   4.97022                 NaN   22.9686                 NaN
  1295.21        2500.00        1.38719        68.6565        1.29290                 NaN            NaN   5.27438                 NaN            NaN   4.17858                 NaN   19.2105                 NaN
  1293.80        2500.00        1.15347        73.5095        1.13700                 NaN            NaN   4.44832                 NaN            NaN   3.54296                 NaN   16.2088                 NaN
  1292.40        2500.00       0.987086        76.9607        1.01779                 NaN            NaN   3.86758                 NaN            NaN   3.08940                 NaN   14.0774                 NaN
  1290.99        2500.00       0.866051        79.4699       0.930032                 NaN            NaN   3.44492                 NaN            NaN   2.75836                 NaN   12.5308                 NaN
  1289.59        2500.00       0.841175        80.0191       0.880368                 NaN            NaN   3.37279                 NaN            NaN   2.68316                 NaN   12.2034                 NaN
  1288.18        2500.00       0.642068        84.0799       0.773306                 NaN            NaN   2.67789                 NaN            NaN   2.14615                 NaN   9.68066                 NaN
  1286.78        2500.00       0.644822        84.0053       0.759227                 NaN            NaN   2.67548                 NaN            NaN   2.15083                 NaN   9.76432                 NaN
  1285.37        2500.00       0.690855        82.9917       0.757827                 NaN            NaN   2.85004                 NaN            NaN   2.27911                 NaN   10.4304                 NaN
  1283.96        2500.00       0.597027        84.8150       0.796176                 NaN            NaN   2.37141                 NaN            NaN   2.05792                 NaN   9.36251                 NaN
  1282.56        2500.00       0.578274        85.0053       0.671217                 NaN            NaN   2.63371                 NaN            NaN   1.97081                 NaN   9.14068                 NaN
