|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             iron           ilm            San(TH)        q             
  1463.90        500.000        99.0344                 NaN            NaN  0.360762       0.601694                 NaN  0.314804E-002            NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.0463                 NaN            NaN  0.356581       0.594059                 NaN  0.305406E-002            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.0537                 NaN            NaN  0.353865       0.589503                 NaN  0.296812E-002            NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.0627                 NaN            NaN  0.350352       0.584125                 NaN  0.286919E-002            NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.0713                 NaN            NaN  0.346985       0.578898                 NaN  0.278744E-002            NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.0790                 NaN            NaN  0.344062       0.574238                 NaN  0.269321E-002            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        99.0881                 NaN            NaN  0.340450       0.568824                 NaN  0.261209E-002            NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.0956                 NaN            NaN  0.564142       0.337676                 NaN  0.253493E-002            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.1036                 NaN            NaN  0.334412       0.559570                 NaN  0.244367E-002            NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        99.1073                 NaN            NaN  0.333069       0.557203                 NaN  0.238689E-002            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1222                 NaN            NaN  0.328115       0.547366                 NaN  0.228080E-002            NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        98.9252                 NaN            NaN  0.670931       0.401154                 NaN  0.270437E-002            NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.3387                 NaN            NaN  0.246836       0.412793                 NaN  0.163260E-002            NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        99.1421                 NaN            NaN  0.536018       0.319792                 NaN  0.206366E-002            NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.1486                 NaN            NaN  0.532303       0.317092                 NaN  0.198209E-002            NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.1567                 NaN            NaN  0.314583       0.526814                 NaN  0.191654E-002            NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.1641                 NaN            NaN  0.522728       0.311301                 NaN  0.184341E-002            NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        99.1707                 NaN            NaN  0.518649       0.308847                 NaN  0.177442E-002            NaN            NaN            NaN            NaN            NaN
  1440.05        500.000        99.1770                 NaN            NaN  0.515148       0.306100                 NaN  0.170964E-002            NaN            NaN            NaN            NaN            NaN
  1438.72        500.000        99.1843                 NaN            NaN  0.303401       0.510638                 NaN  0.164448E-002            NaN            NaN            NaN            NaN            NaN
  1437.39        500.000        99.1896                 NaN            NaN  0.301285       0.507560                 NaN  0.159113E-002            NaN            NaN            NaN            NaN            NaN
  1436.07        500.000        99.1964                 NaN            NaN  0.503800       0.298296                 NaN  0.152226E-002            NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        98.5801                 NaN            NaN  0.525174       0.892241                 NaN  0.248947E-002            NaN            NaN            NaN            NaN            NaN
  1433.42        500.000        99.8371                 NaN            NaN  0.610279E-001  0.101584                 NaN  0.309816E-003            NaN            NaN            NaN            NaN            NaN
  1432.09        500.000        99.2149                 NaN            NaN  0.290991       0.492729                 NaN  0.134379E-002            NaN            NaN            NaN            NaN            NaN
  1430.77        500.000        99.2201                 NaN            NaN  0.489800       0.288761                 NaN  0.130002E-002            NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2285                 NaN            NaN  0.484284       0.285985                 NaN  0.122743E-002            NaN            NaN            NaN            NaN            NaN
  1428.12        500.000        99.2340                 NaN            NaN  0.283927       0.480947                 NaN  0.116316E-002            NaN            NaN            NaN            NaN            NaN
  1426.79        500.000        99.2393                 NaN            NaN  0.477994       0.281604                 NaN  0.110481E-002            NaN            NaN            NaN            NaN            NaN
  1425.47        500.000        99.2419                 NaN            NaN  0.281005       0.475985                 NaN  0.107722E-002            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.2551                 NaN            NaN  0.275691       0.468193                 NaN  0.994217E-003            NaN            NaN            NaN            NaN            NaN
  1422.81        500.000        99.2539                 NaN            NaN  0.275637       0.469548                 NaN  0.961594E-003            NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        99.2639                 NaN            NaN  0.463289       0.271948                 NaN  0.894813E-003            NaN            NaN            NaN            NaN            NaN
  1420.16        500.000        99.2672                 NaN            NaN  0.270439       0.461524                 NaN  0.849754E-003            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.2727                 NaN            NaN  0.268426       0.458053                 NaN  0.801850E-003            NaN            NaN            NaN            NaN            NaN
  1417.51        500.000        98.2208                 NaN            NaN  0.713928       0.596073                 NaN  0.703883E-003  0.468512                 NaN            NaN            NaN            NaN
  1416.19        500.000        98.1095                 NaN            NaN  0.760713       0.606909                 NaN            NaN  0.522867                 NaN            NaN            NaN            NaN
  1414.86        500.000        98.1429                 NaN            NaN  0.746252       0.597280                 NaN            NaN  0.513600                 NaN            NaN            NaN            NaN
  1413.54        500.000        98.1738                 NaN            NaN  0.587473       0.733585                 NaN            NaN  0.505100                 NaN            NaN            NaN            NaN
  1412.21        500.000        98.2044                 NaN            NaN  0.720483       0.578498                 NaN            NaN  0.496626                 NaN            NaN            NaN            NaN
  1410.89        500.000        98.2334                 NaN            NaN  0.569499       0.708552                 NaN            NaN  0.488516                 NaN            NaN            NaN            NaN
  1409.56        500.000        98.2600                 NaN            NaN  0.697636       0.561138                 NaN            NaN  0.481221                 NaN            NaN            NaN            NaN
  1408.24        500.000        98.2902                 NaN            NaN  0.551885       0.685254                 NaN            NaN  0.472692                 NaN            NaN            NaN            NaN
  1406.91        500.000        98.3133                 NaN            NaN  0.545310       0.675160                 NaN            NaN  0.466257                 NaN            NaN            NaN            NaN
  1405.58        500.000        98.3442                 NaN            NaN  0.535105       0.663176                 NaN            NaN  0.457505                 NaN            NaN            NaN            NaN
  1404.26        500.000        98.3677                 NaN            NaN  0.528137       0.653181                 NaN            NaN  0.451027                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.3923                 NaN            NaN  0.643302       0.520176                 NaN            NaN  0.444218                 NaN            NaN            NaN            NaN
  1401.61        500.000        98.4164                 NaN            NaN  0.633300       0.512833                 NaN            NaN  0.437420                 NaN            NaN            NaN            NaN
  1400.28        500.000        98.4317                 NaN            NaN  0.627300       0.507288                 NaN            NaN  0.433733                 NaN            NaN            NaN            NaN
  1398.96        500.000        98.4692                 NaN            NaN  0.497888       0.610478                 NaN            NaN  0.422391                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.4875                 NaN            NaN  0.490442       0.604522                 NaN            NaN  0.417507                 NaN            NaN            NaN            NaN
  1396.31        500.000        98.5052                 NaN            NaN  0.597251       0.485002                 NaN            NaN  0.412503                 NaN            NaN            NaN            NaN
  1394.98        500.000        98.4074                 NaN            NaN  0.551141       0.550510                 NaN            NaN  0.449450       0.415165E-001            NaN            NaN            NaN
  1393.66        500.000        98.3440                 NaN            NaN  0.511808       0.597296                 NaN            NaN  0.474434       0.724793E-001            NaN            NaN            NaN
  1392.33        500.000        98.3784                 NaN            NaN  0.585199       0.501442                 NaN            NaN  0.464457       0.704882E-001            NaN            NaN            NaN
  1391.00        500.000        98.4109                 NaN            NaN  0.573412       0.492208                 NaN            NaN  0.455083       0.683971E-001            NaN            NaN            NaN
  1389.68        500.000        98.4410                 NaN            NaN  0.483413       0.562792                 NaN            NaN  0.446336       0.664603E-001            NaN            NaN            NaN
  1388.35        500.000        98.4717                 NaN            NaN  0.473681       0.552626                 NaN            NaN  0.437441       0.645345E-001            NaN            NaN            NaN
  1387.03        500.000        98.5014                 NaN            NaN  0.465662       0.541414                 NaN            NaN  0.428905       0.626428E-001            NaN            NaN            NaN
  1385.70        500.000        98.5286                 NaN            NaN  0.458212       0.531485                 NaN            NaN  0.420904       0.607777E-001            NaN            NaN            NaN
  1384.38        500.000        98.5561                 NaN            NaN  0.522190       0.449556                 NaN            NaN  0.413031       0.591566E-001            NaN            NaN            NaN
  1383.05        500.000        98.5768                 NaN            NaN  0.442924       0.515173                 NaN            NaN  0.407306       0.578251E-001            NaN            NaN            NaN
  1381.73        500.000        98.6133                 NaN            NaN  0.501641       0.433338                 NaN            NaN  0.396089       0.555860E-001            NaN            NaN            NaN
  1380.40        500.000        98.6278                 NaN            NaN  0.428088       0.497097                 NaN            NaN  0.392449       0.545748E-001            NaN            NaN            NaN
  1379.08        500.000        98.6606                 NaN            NaN  0.419922       0.484484                 NaN            NaN  0.382458       0.525565E-001            NaN            NaN            NaN
  1377.75        500.000        98.6793                 NaN            NaN  0.477591       0.415115                 NaN            NaN  0.376919       0.511096E-001            NaN            NaN            NaN
  1376.42        500.000        98.7023                 NaN            NaN  0.468997       0.408832                 NaN            NaN  0.370260       0.495965E-001            NaN            NaN            NaN
  1375.10        500.000        98.7235                 NaN            NaN  0.402605       0.461220                 NaN            NaN  0.364273       0.483835E-001            NaN            NaN            NaN
  1373.77        500.000        98.7455                 NaN            NaN  0.453563       0.396516                 NaN            NaN  0.357612       0.467704E-001            NaN            NaN            NaN
  1372.45        500.000        98.7460                 NaN            NaN  0.454179       0.395758                 NaN            NaN  0.357829       0.462415E-001            NaN            NaN            NaN
  1371.12        500.000        98.8036                 NaN            NaN  0.382275       0.431279                 NaN            NaN  0.339985       0.428918E-001            NaN            NaN            NaN
  1369.80        500.000        98.8043                 NaN            NaN  0.431654       0.381106                 NaN            NaN  0.340271       0.426627E-001            NaN            NaN            NaN
  1368.47        500.000        98.8233                 NaN            NaN  0.376215       0.424343                 NaN            NaN  0.334771       0.413809E-001            NaN            NaN            NaN
  1367.15        500.000        98.8420                 NaN            NaN  0.371240       0.417340                 NaN            NaN  0.329215       0.401817E-001            NaN            NaN            NaN
  1365.82        500.000        98.8594                 NaN            NaN  0.366546       0.411061                 NaN            NaN  0.324062       0.389026E-001            NaN            NaN            NaN
  1364.50        500.000        98.8767                 NaN            NaN  0.362059       0.404439                 NaN            NaN  0.318999       0.378038E-001            NaN            NaN            NaN
  1363.17        500.000        98.8936                 NaN            NaN  0.398242       0.357660                 NaN            NaN  0.313966       0.365640E-001            NaN            NaN            NaN
  1361.84        500.000        98.9099                 NaN            NaN  0.353819       0.391844                 NaN            NaN  0.309073       0.353325E-001            NaN            NaN            NaN
  1360.52        500.000        98.9258                 NaN            NaN  0.350104       0.385621                 NaN            NaN  0.304321       0.341576E-001            NaN            NaN            NaN
  1359.19        500.000        98.9412                 NaN            NaN  0.380111       0.345843                 NaN            NaN  0.299770       0.330690E-001            NaN            NaN            NaN
  1357.87        500.000        98.9560                 NaN            NaN  0.373981       0.342790                 NaN            NaN  0.295323       0.319102E-001            NaN            NaN            NaN
  1356.54        500.000        98.9708                 NaN            NaN  0.368405       0.339224                 NaN            NaN  0.290814       0.307845E-001            NaN            NaN            NaN
  1355.22        500.000        98.9853                 NaN            NaN  0.335247       0.363139                 NaN            NaN  0.286630       0.297179E-001            NaN            NaN            NaN
  1353.89        500.000        98.9996                 NaN            NaN  0.357001       0.332385                 NaN            NaN  0.282272       0.286926E-001            NaN            NaN            NaN
  1352.57        500.000        99.0128                 NaN            NaN  0.329506       0.351659                 NaN            NaN  0.278394       0.276269E-001            NaN            NaN            NaN
  1351.24        500.000        99.0254                 NaN            NaN  0.346567       0.326730                 NaN            NaN  0.274636       0.267151E-001            NaN            NaN            NaN
  1349.92        500.000        99.0404                 NaN            NaN  0.340607       0.323399                 NaN            NaN  0.270040       0.255720E-001            NaN            NaN            NaN
  1348.59        500.000        99.0518                 NaN            NaN  0.321052       0.336033                 NaN            NaN  0.266560       0.245709E-001            NaN            NaN            NaN
  1347.26        500.000        99.0640                 NaN            NaN  0.330985       0.318505                 NaN            NaN  0.262894       0.235740E-001            NaN            NaN            NaN
  1345.94        500.000        99.0720                 NaN            NaN  0.314087       0.329855                 NaN            NaN  0.260824       0.232475E-001            NaN            NaN            NaN
  1344.61        500.000        99.0917                 NaN            NaN  0.319098       0.313419                 NaN            NaN  0.254390       0.213675E-001            NaN            NaN            NaN
  1343.29        500.000        99.0990                 NaN            NaN  0.311802       0.316276                 NaN            NaN  0.252328       0.206093E-001            NaN            NaN            NaN
  1341.96        500.000        99.1104                 NaN            NaN  0.309174       0.311810                 NaN            NaN  0.248826       0.198113E-001            NaN            NaN            NaN
  1340.64        500.000        99.1213                 NaN            NaN  0.307367       0.306969                 NaN            NaN  0.245552       0.187978E-001            NaN            NaN            NaN
  1339.31        500.000        99.1316                 NaN            NaN  0.305943       0.302254                 NaN            NaN  0.242435       0.177814E-001            NaN            NaN            NaN
  1337.99        500.000        99.1420                 NaN            NaN  0.297809       0.304100                 NaN            NaN  0.239197       0.168824E-001            NaN            NaN            NaN
  1336.66        500.000        99.1521                 NaN            NaN  0.302408       0.293370                 NaN            NaN  0.236160       0.159707E-001            NaN            NaN            NaN
  1335.34        500.000        99.1621                 NaN            NaN  0.300707       0.288982                 NaN            NaN  0.233123       0.151147E-001            NaN            NaN            NaN
  1334.01        500.000        99.1714                 NaN            NaN  0.284766       0.299458                 NaN            NaN  0.230218       0.141583E-001            NaN            NaN            NaN
  1332.69        500.000        99.1806                 NaN            NaN  0.297782       0.280843                 NaN            NaN  0.227456       0.133435E-001            NaN            NaN            NaN
  1331.36        500.000        99.1900                 NaN            NaN  0.276277       0.296993                 NaN            NaN  0.224475       0.123026E-001            NaN            NaN            NaN
  1330.03        500.000        99.1984                 NaN            NaN  0.295897       0.272360                 NaN            NaN  0.221876       0.114353E-001            NaN            NaN            NaN
  1328.71        500.000        99.2076                 NaN            NaN  0.267921       0.294516                 NaN            NaN  0.219195       0.107920E-001            NaN            NaN            NaN
  1327.38        500.000        99.2162                 NaN            NaN  0.263742       0.293982                 NaN            NaN  0.216391       0.971122E-002            NaN            NaN            NaN
  1326.06        500.000        99.2236                 NaN            NaN  0.259882       0.293569                 NaN            NaN  0.214070       0.883280E-002            NaN            NaN            NaN
  1324.73        500.000        99.2310                 NaN            NaN  0.292552       0.256292                 NaN            NaN  0.211978       0.821305E-002            NaN            NaN            NaN
  1323.41        500.000        99.2411                 NaN            NaN  0.250882       0.292652                 NaN            NaN  0.208524       0.685982E-002            NaN            NaN            NaN
  1322.08        500.000        99.2477                 NaN            NaN  0.291482       0.247907                 NaN            NaN  0.206677       0.627243E-002            NaN            NaN            NaN
  1320.76        500.000        99.2549                 NaN            NaN  0.291217       0.244013                 NaN            NaN  0.204450       0.545275E-002            NaN            NaN            NaN
  1319.43        500.000        99.2623                 NaN            NaN  0.240123       0.290875                 NaN            NaN  0.202112       0.457062E-002            NaN            NaN            NaN
  1318.11        500.000        99.1501                 NaN            NaN  0.335176       0.234267                 NaN            NaN  0.252265       0.282384E-001            NaN            NaN            NaN
  1316.78        500.000        99.0909                 NaN            NaN  0.473445                 NaN            NaN            NaN  0.312623       0.123031                 NaN            NaN            NaN
  1315.45        500.000        99.4663                 NaN            NaN  0.120844       0.309931                 NaN            NaN  0.102937                 NaN            NaN            NaN            NaN
  1314.13        500.000        99.3184                 NaN            NaN  0.231135       0.271787                 NaN            NaN  0.178688                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.0738                 NaN            NaN  0.472888       0.683888E-001            NaN            NaN  0.295191       0.897820E-001            NaN            NaN            NaN
  1311.48        500.000        99.4758                 NaN            NaN  0.271506       0.131606                 NaN            NaN  0.121107                 NaN            NaN            NaN            NaN
  1310.15        500.000        99.2136                 NaN            NaN  0.381622                 NaN            NaN            NaN  0.369368       0.354579E-001            NaN            NaN            NaN
  1308.83        500.000        97.2117                 NaN            NaN   2.39172                 NaN            NaN            NaN  0.333005       0.635232E-001            NaN            NaN            NaN
  1307.50        500.000        99.9795                 NaN            NaN            NaN            NaN            NaN            NaN  0.205361E-001            NaN            NaN            NaN            NaN
  1306.18        500.000        99.9251                 NaN            NaN            NaN            NaN            NaN            NaN  0.748959E-001            NaN            NaN            NaN            NaN
  1304.85        500.000        98.0549                 NaN            NaN            NaN            NaN            NaN            NaN  0.999625       0.945464                 NaN            NaN            NaN
  1303.53        500.000        99.9962                 NaN            NaN            NaN            NaN            NaN            NaN  0.376783E-002            NaN            NaN            NaN            NaN
  1302.20        500.000        99.8996                 NaN            NaN            NaN            NaN            NaN            NaN  0.970151E-001  0.341557E-002            NaN            NaN            NaN
  1300.87        500.000        99.4637                 NaN            NaN  0.473165                 NaN            NaN            NaN  0.631614E-001            NaN            NaN            NaN            NaN
  1299.55        500.000        99.8885                 NaN            NaN            NaN            NaN            NaN            NaN  0.106424                 NaN  0.509138E-002            NaN            NaN
  1298.22        500.000        99.5250                 NaN            NaN  0.306431                 NaN            NaN            NaN  0.134735                 NaN  0.338145E-001            NaN            NaN
  1296.90        500.000        99.2755                 NaN            NaN  0.588949                 NaN            NaN            NaN  0.119294                 NaN  0.162359E-001            NaN            NaN
  1295.57        500.000        99.4424                 NaN            NaN  0.305477                 NaN            NaN            NaN  0.174480                 NaN  0.775990E-001            NaN            NaN
  1294.25        500.000        98.8519                 NaN            NaN  0.271464                 NaN            NaN            NaN  0.525919       0.350669                 NaN            NaN            NaN
  1292.92        500.000        99.4025                 NaN            NaN            NaN            NaN            NaN            NaN  0.212048       0.385402                 NaN            NaN            NaN
  1291.60        500.000        99.2893                 NaN            NaN  0.347187                 NaN            NaN  0.145643E-001  0.345739       0.321815E-002            NaN            NaN            NaN
  1290.27        500.000        96.6468                 NaN            NaN   2.47751                 NaN            NaN  0.253306E-002  0.721082                 NaN  0.152118                 NaN            NaN
  1288.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1287.62        500.000        99.2956                 NaN            NaN  0.659832                 NaN            NaN            NaN  0.445652E-001            NaN            NaN            NaN            NaN
  1286.29        500.000        99.0633                 NaN            NaN  0.666522                 NaN            NaN            NaN  0.270214                 NaN            NaN            NaN            NaN
  1284.97        500.000        97.5409                 NaN            NaN   2.02285                 NaN            NaN            NaN  0.436258                 NaN            NaN            NaN            NaN
  1283.64        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1282.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1280.99        500.000        97.2942                 NaN            NaN            NaN            NaN            NaN            NaN  0.186792                 NaN  0.169663        2.34937                 NaN
  1279.67        500.000        99.8956                 NaN            NaN            NaN            NaN            NaN            NaN  0.104417                 NaN            NaN            NaN            NaN
  1278.34        500.000        98.1999                 NaN            NaN  0.425019E-001            NaN            NaN            NaN  0.126194                 NaN  0.176530        1.45492                 NaN
  1277.02        500.000        97.0438                 NaN            NaN  0.955885                 NaN            NaN            NaN  0.434012                 NaN  0.800482E-001   1.48627                 NaN
  1275.69        500.000        94.4755                 NaN            NaN   1.26168                 NaN            NaN            NaN  0.591734                 NaN  0.319860        3.35119                 NaN
  1274.37        500.000        94.8026                 NaN            NaN   1.19545                 NaN            NaN            NaN  0.560034                 NaN  0.297741        3.14421                 NaN
  1273.04        500.000        86.8939                 NaN            NaN   3.00987                 NaN            NaN            NaN   1.65837                 NaN  0.984974E-001   8.33941                 NaN
  1271.71        500.000        98.3258                 NaN            NaN   1.14984                 NaN            NaN            NaN  0.939412E-001            NaN  0.430379                 NaN            NaN
  1270.39        500.000        98.1346                 NaN            NaN  0.587479                 NaN            NaN            NaN  0.104155                 NaN  0.118797        1.05497                 NaN
  1269.06        500.000        96.0547                 NaN            NaN  0.820980                 NaN            NaN            NaN  0.561810                 NaN  0.248546        2.31401                 NaN
  1267.74        500.000        96.1385                 NaN            NaN  0.865827                 NaN            NaN            NaN  0.413117                 NaN  0.229109        2.35342                 NaN
  1266.41        500.000        96.3152                 NaN            NaN  0.827607                 NaN            NaN            NaN  0.394756                 NaN  0.217288        2.24511                 NaN
  1265.09        500.000        96.4771                 NaN            NaN  0.792276                 NaN            NaN            NaN  0.377917                 NaN  0.206214        2.14649                 NaN
  1263.76        500.000        96.6244                 NaN            NaN  0.760698                 NaN            NaN            NaN  0.362684                 NaN  0.195919        2.05626                 NaN
  1262.44        500.000        96.7361                 NaN            NaN  0.734819                 NaN            NaN            NaN  0.351314                 NaN  0.187828        1.98990                 NaN
  1261.11        500.000        96.9170                 NaN            NaN  0.698386                 NaN            NaN            NaN  0.331712                 NaN  0.175790        1.87714                 NaN
  1259.79        500.000        97.0090                 NaN            NaN  0.676974                 NaN            NaN            NaN  0.322179                 NaN  0.168990        1.82287                 NaN
  1258.46        500.000        97.1241                 NaN            NaN  0.651025                 NaN            NaN            NaN  0.309752                 NaN  0.161203        1.75393                 NaN
