|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             iron           ilm            San(TH)        q             
  1487.76        500.000        99.4675                 NaN  0.131386E-001  0.519367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.4210                 NaN  0.107628E-001  0.568271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.7290                 NaN  0.378407E-002  0.267257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.2724                 NaN  0.731370E-002  0.720290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.4714                 NaN  0.161214E-002  0.526966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.4414                 NaN  0.466855E-002  0.553957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.4981                 NaN  0.563936E-002  0.496290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.4665                 NaN            NaN  0.533219                 NaN            NaN  0.232920E-003            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.4574                 NaN            NaN  0.538960                 NaN            NaN  0.360924E-002            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.1910                 NaN  0.285503       0.205588       0.317866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.7254                 NaN            NaN  0.273992                 NaN            NaN  0.644201E-003            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3465                 NaN            NaN  0.649342                 NaN            NaN  0.413853E-002            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.7246                 NaN  0.147049       0.127437                 NaN            NaN  0.876792E-003            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        98.9030                 NaN            NaN  0.360929       0.734483                 NaN  0.160514E-002            NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        99.1413                 NaN            NaN  0.536717       0.319725                 NaN  0.222989E-002            NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        99.1494                 NaN            NaN  0.531783       0.316670                 NaN  0.216016E-002            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        99.1579                 NaN            NaN  0.526809       0.313213                 NaN  0.210286E-002            NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.1659                 NaN            NaN  0.310199       0.521898                 NaN  0.204553E-002            NaN            NaN            NaN            NaN            NaN
  1463.90        500.000        99.1733                 NaN            NaN  0.307289       0.517473                 NaN  0.198320E-002            NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.1839                 NaN            NaN  0.303534       0.510653                 NaN  0.192498E-002            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.1906                 NaN            NaN  0.301024       0.506485                 NaN  0.187075E-002            NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.1988                 NaN            NaN  0.297833       0.501601                 NaN  0.180865E-002            NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.2066                 NaN            NaN  0.294778       0.496862                 NaN  0.175760E-002            NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.2136                 NaN            NaN  0.292098       0.492610                 NaN  0.169829E-002            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        99.2218                 NaN            NaN  0.288853       0.487717                 NaN  0.164759E-002            NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.2287                 NaN            NaN  0.483442       0.286285                 NaN  0.159900E-002            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.2359                 NaN            NaN  0.283320       0.479260                 NaN  0.154166E-002            NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        99.2394                 NaN            NaN  0.282047       0.477062                 NaN  0.150637E-002            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.2526                 NaN            NaN  0.277631       0.468347                 NaN  0.143946E-002            NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        99.0851                 NaN            NaN  0.573934       0.339291                 NaN  0.170767E-002            NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.4378                 NaN            NaN  0.208500       0.352700                 NaN  0.103033E-002            NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        99.2708                 NaN            NaN  0.457907       0.270032                 NaN  0.130309E-002            NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.2767                 NaN            NaN  0.454463       0.267547                 NaN  0.125144E-002            NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.2839                 NaN            NaN  0.265311       0.449625                 NaN  0.121079E-002            NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.2907                 NaN            NaN  0.445834       0.262316                 NaN  0.116437E-002            NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        99.2966                 NaN            NaN  0.442161       0.260103                 NaN  0.112114E-002            NaN            NaN            NaN            NaN            NaN
  1440.05        500.000        99.3025                 NaN            NaN  0.438892       0.257575                 NaN  0.108023E-002            NaN            NaN            NaN            NaN            NaN
  1438.72        500.000        99.3090                 NaN            NaN  0.255130       0.434821                 NaN  0.103927E-002            NaN            NaN            NaN            NaN            NaN
  1437.39        500.000        99.3139                 NaN            NaN  0.253167       0.431960                 NaN  0.100557E-002            NaN            NaN            NaN            NaN            NaN
  1436.07        500.000        99.3201                 NaN            NaN  0.428504       0.250468                 NaN  0.962294E-003            NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        98.7989                 NaN            NaN  0.440791       0.758766                 NaN  0.157559E-002            NaN            NaN            NaN            NaN            NaN
  1433.42        500.000        99.8624                 NaN            NaN  0.511297E-001  0.862275E-001            NaN  0.195719E-003            NaN            NaN            NaN            NaN            NaN
  1432.09        500.000        99.3370                 NaN            NaN  0.243807       0.418382                 NaN  0.849898E-003            NaN            NaN            NaN            NaN            NaN
  1430.77        500.000        99.3417                 NaN            NaN  0.415678       0.241779                 NaN  0.822413E-003            NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.3492                 NaN            NaN  0.410737       0.239257                 NaN  0.776515E-003            NaN            NaN            NaN            NaN            NaN
  1428.12        500.000        99.3541                 NaN            NaN  0.237405       0.407730                 NaN  0.735993E-003            NaN            NaN            NaN            NaN            NaN
  1426.79        500.000        99.3590                 NaN            NaN  0.404984       0.235285                 NaN  0.699155E-003            NaN            NaN            NaN            NaN            NaN
  1425.47        500.000        99.3614                 NaN            NaN  0.234711       0.403187                 NaN  0.682237E-003            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3731                 NaN            NaN  0.230024       0.396254                 NaN  0.629420E-003            NaN            NaN            NaN            NaN            NaN
  1422.81        500.000        99.3724                 NaN            NaN  0.229820       0.397184                 NaN  0.608919E-003            NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        99.3812                 NaN            NaN  0.391635       0.226571                 NaN  0.566653E-003            NaN            NaN            NaN            NaN            NaN
  1420.16        500.000        99.3844                 NaN            NaN  0.225148       0.389925                 NaN  0.538199E-003            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3894                 NaN            NaN  0.223316       0.386781                 NaN  0.507935E-003            NaN            NaN            NaN            NaN            NaN
  1417.51        500.000        98.4221                 NaN            NaN  0.593788       0.503292                 NaN  0.445897E-003  0.480382                 NaN            NaN            NaN            NaN
  1416.19        500.000        98.3201                 NaN            NaN  0.631998       0.512026                 NaN            NaN  0.535909                 NaN            NaN            NaN            NaN
  1414.86        500.000        98.3512                 NaN            NaN  0.619289       0.503376                 NaN            NaN  0.526144                 NaN            NaN            NaN            NaN
  1413.54        500.000        98.3801                 NaN            NaN  0.494653       0.608080                 NaN            NaN  0.517172                 NaN            NaN            NaN            NaN
  1412.21        500.000        98.4086                 NaN            NaN  0.596524       0.486611                 NaN            NaN  0.508232                 NaN            NaN            NaN            NaN
  1410.89        500.000        98.4358                 NaN            NaN  0.478548       0.585945                 NaN            NaN  0.499671                 NaN            NaN            NaN            NaN
  1409.56        500.000        98.4608                 NaN            NaN  0.576211       0.471032                 NaN            NaN  0.491950                 NaN            NaN            NaN            NaN
  1408.24        500.000        98.4889                 NaN            NaN  0.462813       0.565332                 NaN            NaN  0.482972                 NaN            NaN            NaN            NaN
  1406.91        500.000        98.5107                 NaN            NaN  0.456838       0.556341                 NaN            NaN  0.476143                 NaN            NaN            NaN            NaN
  1405.58        500.000        98.5394                 NaN            NaN  0.447851       0.545841                 NaN            NaN  0.466949                 NaN            NaN            NaN            NaN
  1404.26        500.000        98.5614                 NaN            NaN  0.441538       0.536981                 NaN            NaN  0.460086                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.5844                 NaN            NaN  0.528222       0.434478                 NaN            NaN  0.452890                 NaN            NaN            NaN            NaN
  1401.61        500.000        98.6070                 NaN            NaN  0.519388       0.427891                 NaN            NaN  0.445711                 NaN            NaN            NaN            NaN
  1400.28        500.000        98.6215                 NaN            NaN  0.513903       0.422893                 NaN            NaN  0.441709                 NaN            NaN            NaN            NaN
  1398.96        500.000        98.6560                 NaN            NaN  0.414509       0.499566                 NaN            NaN  0.429910                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.6733                 NaN            NaN  0.407947       0.494057                 NaN            NaN  0.424700                 NaN            NaN            NaN            NaN
  1396.31        500.000        98.6902                 NaN            NaN  0.487498       0.402972                 NaN            NaN  0.419370                 NaN            NaN            NaN            NaN
  1394.98        500.000        98.6217                 NaN            NaN  0.449410       0.457002                 NaN            NaN  0.456691       0.151941E-001            NaN            NaN            NaN
  1393.66        500.000        98.5797                 NaN            NaN  0.416814       0.495283                 NaN            NaN  0.481687       0.265033E-001            NaN            NaN            NaN
  1392.33        500.000        98.6108                 NaN            NaN  0.484596       0.407805                 NaN            NaN  0.471058       0.257470E-001            NaN            NaN            NaN
  1391.00        500.000        98.6401                 NaN            NaN  0.474202       0.399691                 NaN            NaN  0.461065       0.249560E-001            NaN            NaN            NaN
  1389.68        500.000        98.6673                 NaN            NaN  0.391977       0.464795                 NaN            NaN  0.451732       0.242231E-001            NaN            NaN            NaN
  1388.35        500.000        98.6949                 NaN            NaN  0.383528       0.455793                 NaN            NaN  0.442269       0.234959E-001            NaN            NaN            NaN
  1387.03        500.000        98.7216                 NaN            NaN  0.376498       0.445946                 NaN            NaN  0.433192       0.227828E-001            NaN            NaN            NaN
  1385.70        500.000        98.7461                 NaN            NaN  0.369926       0.437168                 NaN            NaN  0.424676       0.220811E-001            NaN            NaN            NaN
  1384.38        500.000        98.7708                 NaN            NaN  0.428979       0.362442                 NaN            NaN  0.416308       0.214695E-001            NaN            NaN            NaN
  1383.05        500.000        98.7897                 NaN            NaN  0.356586       0.422661                 NaN            NaN  0.410124       0.209643E-001            NaN            NaN            NaN
  1381.73        500.000        98.8220                 NaN            NaN  0.411027       0.348391                 NaN            NaN  0.398424       0.201313E-001            NaN            NaN            NaN
  1380.40        500.000        98.8354                 NaN            NaN  0.343683       0.406794                 NaN            NaN  0.394372       0.197448E-001            NaN            NaN            NaN
  1379.08        500.000        98.8645                 NaN            NaN  0.336668       0.395938                 NaN            NaN  0.383947       0.189949E-001            NaN            NaN            NaN
  1377.75        500.000        98.8814                 NaN            NaN  0.389779       0.332329                 NaN            NaN  0.378017       0.184532E-001            NaN            NaN            NaN
  1376.42        500.000        98.9020                 NaN            NaN  0.382270       0.326851                 NaN            NaN  0.370974       0.178887E-001            NaN            NaN            NaN
  1375.10        500.000        98.9210                 NaN            NaN  0.321456       0.375469                 NaN            NaN  0.364620       0.174335E-001            NaN            NaN            NaN
  1373.77        500.000        98.9407                 NaN            NaN  0.368752       0.316147                 NaN            NaN  0.357607       0.168354E-001            NaN            NaN            NaN
  1372.45        500.000        98.9421                 NaN            NaN  0.368696       0.315072                 NaN            NaN  0.357485       0.166287E-001            NaN            NaN            NaN
  1371.12        500.000        98.9916                 NaN            NaN  0.303957       0.349728                 NaN            NaN  0.339319       0.154081E-001            NaN            NaN            NaN
  1369.80        500.000        98.9932                 NaN            NaN  0.349583       0.302614                 NaN            NaN  0.339293       0.153112E-001            NaN            NaN            NaN
  1368.47        500.000        99.0101                 NaN            NaN  0.298347       0.343215                 NaN            NaN  0.333494       0.148367E-001            NaN            NaN            NaN
  1367.15        500.000        99.0268                 NaN            NaN  0.294003       0.337144                 NaN            NaN  0.327652       0.143927E-001            NaN            NaN            NaN
  1365.82        500.000        99.0423                 NaN            NaN  0.289901       0.331649                 NaN            NaN  0.322223       0.139210E-001            NaN            NaN            NaN
  1364.50        500.000        99.0577                 NaN            NaN  0.285984       0.325912                 NaN            NaN  0.316896       0.135149E-001            NaN            NaN            NaN
  1363.17        500.000        99.0727                 NaN            NaN  0.320514       0.282133                 NaN            NaN  0.311609       0.130592E-001            NaN            NaN            NaN
  1361.84        500.000        99.0872                 NaN            NaN  0.278732       0.314962                 NaN            NaN  0.306473       0.126073E-001            NaN            NaN            NaN
  1360.52        500.000        99.1013                 NaN            NaN  0.275442       0.309569                 NaN            NaN  0.301488       0.121766E-001            NaN            NaN            NaN
  1359.19        500.000        99.1150                 NaN            NaN  0.304765       0.271747                 NaN            NaN  0.296712       0.117775E-001            NaN            NaN            NaN
  1357.87        500.000        99.1281                 NaN            NaN  0.299486       0.268984                 NaN            NaN  0.292049       0.113542E-001            NaN            NaN            NaN
  1356.54        500.000        99.1412                 NaN            NaN  0.294645       0.265845                 NaN            NaN  0.287335       0.109436E-001            NaN            NaN            NaN
  1355.22        500.000        99.1540                 NaN            NaN  0.262406       0.290061                 NaN            NaN  0.282950       0.105547E-001            NaN            NaN            NaN
  1353.89        500.000        99.1668                 NaN            NaN  0.284829       0.259833                 NaN            NaN  0.278403       0.101812E-001            NaN            NaN            NaN
  1352.57        500.000        99.1784                 NaN            NaN  0.257265       0.280203                 NaN            NaN  0.274340       0.979419E-002            NaN            NaN            NaN
  1351.24        500.000        99.1895                 NaN            NaN  0.275841       0.254771                 NaN            NaN  0.270402       0.946237E-002            NaN            NaN            NaN
  1349.92        500.000        99.2027                 NaN            NaN  0.270754       0.251859                 NaN            NaN  0.265648       0.904937E-002            NaN            NaN            NaN
  1348.59        500.000        99.2128                 NaN            NaN  0.249717       0.266781                 NaN            NaN  0.262001       0.868739E-002            NaN            NaN            NaN
  1347.26        500.000        99.2236                 NaN            NaN  0.262459       0.247422                 NaN            NaN  0.258178       0.832755E-002            NaN            NaN            NaN
  1345.94        500.000        99.2309                 NaN            NaN  0.243727       0.261273                 NaN            NaN  0.255931       0.820499E-002            NaN            NaN            NaN
  1344.61        500.000        99.2478                 NaN            NaN  0.252412       0.242869                 NaN            NaN  0.249405       0.753480E-002            NaN            NaN            NaN
  1343.29        500.000        99.2544                 NaN            NaN  0.241319       0.249874                 NaN            NaN  0.247179       0.726118E-002            NaN            NaN            NaN
  1341.96        500.000        99.2644                 NaN            NaN  0.239013       0.246066                 NaN            NaN  0.243548       0.697399E-002            NaN            NaN            NaN
  1340.64        500.000        99.2740                 NaN            NaN  0.237318       0.241943                 NaN            NaN  0.240146       0.661157E-002            NaN            NaN            NaN
  1339.31        500.000        99.2830                 NaN            NaN  0.235922       0.237927                 NaN            NaN  0.236904       0.624873E-002            NaN            NaN            NaN
  1337.99        500.000        99.2921                 NaN            NaN  0.234149       0.234224                 NaN            NaN  0.233551       0.592778E-002            NaN            NaN            NaN
  1336.66        500.000        99.3010                 NaN            NaN  0.232641       0.230384                 NaN            NaN  0.230400       0.560296E-002            NaN            NaN            NaN
  1335.34        500.000        99.3097                 NaN            NaN  0.231067       0.226668                 NaN            NaN  0.227256       0.529822E-002            NaN            NaN            NaN
  1334.01        500.000        99.3179                 NaN            NaN  0.223085       0.229829                 NaN            NaN  0.224245       0.495885E-002            NaN            NaN            NaN
  1332.69        500.000        99.3259                 NaN            NaN  0.228280       0.219751                 NaN            NaN  0.221381       0.466963E-002            NaN            NaN            NaN
  1331.36        500.000        99.3341                 NaN            NaN  0.215906       0.227393                 NaN            NaN  0.218308       0.430185E-002            NaN            NaN            NaN
  1330.03        500.000        99.3415                 NaN            NaN  0.226290       0.212586                 NaN            NaN  0.215612       0.399532E-002            NaN            NaN            NaN
  1328.71        500.000        99.3495                 NaN            NaN  0.208897       0.225000                 NaN            NaN  0.212842       0.376748E-002            NaN            NaN            NaN
  1327.38        500.000        99.3570                 NaN            NaN  0.205373       0.224314                 NaN            NaN  0.209958       0.338748E-002            NaN            NaN            NaN
  1326.06        500.000        99.3635                 NaN            NaN  0.202120       0.223738                 NaN            NaN  0.207548       0.307861E-002            NaN            NaN            NaN
  1324.73        500.000        99.3699                 NaN            NaN  0.222725       0.199112                 NaN            NaN  0.205364       0.286032E-002            NaN            NaN            NaN
  1323.41        500.000        99.3786                 NaN            NaN  0.194640       0.222520                 NaN            NaN  0.201865       0.238715E-002            NaN            NaN            NaN
  1322.08        500.000        99.3844                 NaN            NaN  0.221398       0.192113                 NaN            NaN  0.199928       0.218104E-002            NaN            NaN            NaN
  1320.76        500.000        99.3907                 NaN            NaN  0.220953       0.188870                 NaN            NaN  0.197627       0.189455E-002            NaN            NaN            NaN
  1319.43        500.000        99.3971                 NaN            NaN  0.185630       0.220454                 NaN            NaN  0.195223       0.158683E-002            NaN            NaN            NaN
  1318.11        500.000        99.3104                 NaN            NaN  0.258930       0.177419                 NaN            NaN  0.243499       0.979672E-002            NaN            NaN            NaN
  1316.78        500.000        99.2905                 NaN            NaN  0.365415                 NaN            NaN            NaN  0.301444       0.426365E-001            NaN            NaN            NaN
  1315.45        500.000        99.5738                 NaN            NaN  0.930632E-001  0.234025                 NaN            NaN  0.991067E-001            NaN            NaN            NaN            NaN
  1314.13        500.000        99.4452                 NaN            NaN  0.177797       0.205029                 NaN            NaN  0.171957                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.2700                 NaN            NaN  0.363521       0.515766E-001            NaN            NaN  0.283880       0.310282E-001            NaN            NaN            NaN
  1311.48        500.000        99.5784                 NaN            NaN  0.204310       0.100966                 NaN            NaN  0.116296                 NaN            NaN            NaN            NaN
  1310.15        500.000        99.3404                 NaN            NaN  0.292830                 NaN            NaN            NaN  0.354501       0.122286E-001            NaN            NaN            NaN
  1308.83        500.000        97.8103                 NaN            NaN   1.84779                 NaN            NaN            NaN  0.319946       0.219304E-001            NaN            NaN            NaN
  1307.50        500.000        99.9804                 NaN            NaN            NaN            NaN            NaN            NaN  0.196227E-001            NaN            NaN            NaN            NaN
  1306.18        500.000        99.9284                 NaN            NaN            NaN            NaN            NaN            NaN  0.715672E-001            NaN            NaN            NaN            NaN
  1304.85        500.000        98.7207                 NaN            NaN            NaN            NaN            NaN            NaN  0.954823       0.324469                 NaN            NaN            NaN
  1303.53        500.000        99.9964                 NaN            NaN            NaN            NaN            NaN            NaN  0.357296E-002            NaN            NaN            NaN            NaN
  1302.20        500.000        99.9067                 NaN            NaN            NaN            NaN            NaN            NaN  0.921097E-001  0.116504E-002            NaN            NaN            NaN
  1300.87        500.000        99.5788                 NaN            NaN  0.361245                 NaN            NaN            NaN  0.599553E-001            NaN            NaN            NaN            NaN
  1299.55        500.000        99.8963                 NaN            NaN            NaN            NaN            NaN            NaN  0.100898                 NaN  0.281730E-002            NaN            NaN
  1298.22        500.000        99.6196                 NaN            NaN  0.234016                 NaN            NaN            NaN  0.127706                 NaN  0.187060E-001            NaN            NaN
  1296.90        500.000        99.4432                 NaN            NaN  0.434740                 NaN            NaN            NaN  0.113072                 NaN  0.898151E-002            NaN            NaN
  1295.57        500.000        99.5661                 NaN            NaN  0.225914                 NaN            NaN            NaN  0.165128                 NaN  0.428608E-001            NaN            NaN
  1294.25        500.000        99.1781                 NaN            NaN  0.205283                 NaN            NaN            NaN  0.497469       0.119141                 NaN            NaN            NaN
  1292.92        500.000        99.6697                 NaN            NaN            NaN            NaN            NaN            NaN  0.199824       0.130446                 NaN            NaN            NaN
  1291.60        500.000        99.4095                 NaN            NaN  0.255875                 NaN            NaN  0.830516E-002  0.325185       0.108711E-002            NaN            NaN            NaN
  1290.27        500.000        97.4229                 NaN            NaN   1.81310                 NaN            NaN  0.145015E-002  0.678959                 NaN  0.835872E-001            NaN            NaN
  1288.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1287.62        500.000        99.4837                 NaN            NaN  0.474610                 NaN            NaN            NaN  0.416610E-001            NaN            NaN            NaN            NaN
  1286.29        500.000        99.2483                 NaN            NaN  0.499342                 NaN            NaN            NaN  0.252346                 NaN            NaN            NaN            NaN
  1284.97        500.000        98.0789                 NaN            NaN   1.51335                 NaN            NaN            NaN  0.407717                 NaN            NaN            NaN            NaN
  1283.64        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1282.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1280.99        500.000        97.3793                 NaN            NaN            NaN            NaN            NaN            NaN  0.173908                 NaN  0.921713E-001   2.35458                 NaN
  1279.67        500.000        99.9029                 NaN            NaN            NaN            NaN            NaN            NaN  0.971170E-001            NaN            NaN            NaN            NaN
  1278.34        500.000        98.2974                 NaN            NaN  0.309017E-001            NaN            NaN            NaN  0.117527                 NaN  0.959288E-001   1.45819                 NaN
  1277.02        500.000        97.3451                 NaN            NaN  0.715252                 NaN            NaN            NaN  0.404599                 NaN  0.435408E-001   1.49146                 NaN
  1275.69        500.000        94.9642                 NaN            NaN  0.943858                 NaN            NaN            NaN  0.552092                 NaN  0.174124        3.36571                 NaN
  1274.37        500.000        95.2712                 NaN            NaN  0.891998                 NaN            NaN            NaN  0.521750                 NaN  0.161843        3.15320                 NaN
  1273.04        500.000        87.8128                 NaN            NaN   2.18643                 NaN            NaN            NaN   1.55101                 NaN  0.537473E-001   8.39597                 NaN
  1271.71        500.000        98.8258                 NaN            NaN  0.854424                 NaN            NaN            NaN  0.870730E-001            NaN  0.232740                 NaN            NaN
  1270.39        500.000        98.3569                 NaN            NaN  0.434021                 NaN            NaN            NaN  0.961970E-001            NaN  0.640136E-001   1.04885                 NaN
  1269.06        500.000        96.4383                 NaN            NaN  0.607350                 NaN            NaN            NaN  0.519045                 NaN  0.133967        2.30132                 NaN
  1267.74        500.000        96.5189                 NaN            NaN  0.639087                 NaN            NaN            NaN  0.381178                 NaN  0.123329        2.33750                 NaN
  1266.41        500.000        96.6830                 NaN            NaN  0.609625                 NaN            NaN            NaN  0.363733                 NaN  0.116802        2.22682                 NaN
  1265.09        500.000        96.8330                 NaN            NaN  0.582415                 NaN            NaN            NaN  0.347742                 NaN  0.110696        2.12610                 NaN
  1263.76        500.000        96.9697                 NaN            NaN  0.558013                 NaN            NaN            NaN  0.333278                 NaN  0.105027        2.03401                 NaN
  1262.44        500.000        97.0734                 NaN            NaN  0.537857                 NaN            NaN            NaN  0.322407                 NaN  0.100556        1.96576                 NaN
  1261.11        500.000        97.2400                 NaN            NaN  0.510181                 NaN            NaN            NaN  0.304006                 NaN  0.939819E-001   1.85187                 NaN
  1259.79        500.000        97.3253                 NaN            NaN  0.493557                 NaN            NaN            NaN  0.294895                 NaN  0.902304E-001   1.79605                 NaN
