|6.6.6
Archiving\03_Data\frac/QFM_m5/TAY13/TAY13_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ne             ilm            lc            
  1944.86        2500.00        92.0037       0.831938                 NaN   7.14019       0.241325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        91.9857       0.831980                 NaN   7.15819       0.241337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        91.9676       0.832022                 NaN   7.17621       0.241349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        91.9496       0.832064                 NaN   7.19416       0.241361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        91.9317       0.832106                 NaN   7.21207       0.241373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        91.9138       0.832148                 NaN   7.22991       0.241385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        91.8959       0.832190                 NaN   7.24772       0.241398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        91.8781       0.832231                 NaN   7.26550       0.241410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        91.8604       0.832273                 NaN   7.28322       0.241422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        91.8426       0.832314                 NaN   7.30092       0.241434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        91.8250       0.832355                 NaN   7.31851       0.241446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        91.8074       0.832396                 NaN   7.33609       0.241458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        91.7898       0.832437                 NaN   7.35362       0.241469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        91.7723       0.832478                 NaN   7.37109       0.241481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        91.5468       0.832504                 NaN   7.38220       0.239805E-001  0.214475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.5703                 NaN            NaN  0.612395E-002            NaN  0.423552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4432                 NaN            NaN  0.173203E-002            NaN  0.555077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4434                 NaN            NaN  0.132013E-002            NaN  0.555303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4466                 NaN            NaN  0.103838E-002            NaN  0.552388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4448                 NaN            NaN  0.579223E-003            NaN  0.554572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4553                 NaN            NaN  0.431140E-003            NaN  0.544257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        98.8220                 NaN            NaN  0.175092E-002            NaN   1.17627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5627                 NaN            NaN  0.432417E-003            NaN  0.436849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4634                 NaN            NaN  0.212529E-002            NaN  0.534499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4667                 NaN            NaN  0.121450E-001            NaN  0.521192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4723                 NaN            NaN            NaN            NaN  0.527653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4672                 NaN            NaN            NaN            NaN  0.532770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4836                 NaN            NaN            NaN            NaN  0.516429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4790                 NaN            NaN  0.110383E-002            NaN  0.519863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4819                 NaN            NaN            NaN            NaN  0.518142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4839                 NaN            NaN            NaN            NaN  0.516125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.7963                 NaN            NaN            NaN            NaN  0.203706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.1782                 NaN            NaN            NaN            NaN  0.821752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4887                 NaN            NaN            NaN            NaN  0.511282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4927                 NaN            NaN            NaN            NaN  0.507326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4930                 NaN            NaN            NaN            NaN  0.507046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4952                 NaN            NaN            NaN            NaN  0.504824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4970                 NaN            NaN            NaN            NaN  0.503046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5518                 NaN            NaN            NaN            NaN  0.448179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4450                 NaN            NaN            NaN            NaN  0.554960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5009                 NaN            NaN            NaN            NaN  0.499057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5019                 NaN            NaN            NaN            NaN  0.498144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5016                 NaN            NaN            NaN            NaN  0.498371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5005                 NaN            NaN            NaN            NaN  0.499488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5106                 NaN            NaN            NaN            NaN  0.489405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5062                 NaN            NaN            NaN            NaN  0.493828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5058                 NaN            NaN            NaN            NaN  0.494150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5081                 NaN            NaN            NaN            NaN  0.491894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4970                 NaN            NaN            NaN            NaN  0.491600       0.114188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4957                 NaN            NaN            NaN            NaN  0.488954       0.153398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4948                 NaN            NaN            NaN            NaN  0.489846       0.153314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4962                 NaN            NaN            NaN            NaN  0.488512       0.152417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4957                 NaN            NaN            NaN            NaN  0.489019       0.152346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4965                 NaN            NaN            NaN            NaN  0.488363       0.151740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.6390                 NaN            NaN            NaN            NaN  0.350053       0.109083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.3516                 NaN            NaN            NaN            NaN  0.629009       0.194005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4977                 NaN            NaN            NaN            NaN  0.487278       0.149735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4959                 NaN            NaN            NaN            NaN  0.489082       0.150144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5267                 NaN            NaN  0.333772E-001            NaN  0.427498       0.124086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4640                 NaN            NaN            NaN            NaN  0.519461       0.165058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4945                 NaN            NaN            NaN            NaN  0.490599       0.149015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4955                 NaN            NaN            NaN            NaN  0.489653       0.148638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5971                 NaN            NaN            NaN            NaN  0.391127       0.118203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3912                 NaN            NaN            NaN            NaN  0.591027       0.177340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4927                 NaN            NaN            NaN            NaN  0.492605       0.147300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4910                 NaN            NaN            NaN            NaN  0.494278       0.147204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4914                 NaN            NaN            NaN            NaN  0.493964       0.146390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4877                 NaN            NaN            NaN            NaN  0.497581       0.146739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4902                 NaN            NaN            NaN            NaN  0.495297       0.145492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4874                 NaN            NaN            NaN            NaN  0.498059       0.145616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4869                 NaN            NaN            NaN            NaN  0.498570       0.145308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4838                 NaN            NaN            NaN            NaN  0.501680       0.145314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4850                 NaN            NaN            NaN            NaN  0.500616       0.144050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4820                 NaN            NaN            NaN            NaN  0.503554       0.144210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4799                 NaN            NaN            NaN            NaN  0.505724       0.144205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4789                 NaN            NaN            NaN            NaN  0.506804       0.143401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4770                 NaN            NaN            NaN            NaN  0.508668       0.143109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4750                 NaN            NaN            NaN            NaN  0.510688       0.142940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4730                 NaN            NaN            NaN            NaN  0.512700       0.142669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4717                 NaN            NaN            NaN            NaN  0.514076       0.142423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4703                 NaN            NaN            NaN            NaN  0.515494       0.141941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4683                 NaN            NaN            NaN            NaN  0.517514       0.141707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4654                 NaN            NaN            NaN            NaN  0.520412       0.141491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4633                 NaN            NaN            NaN            NaN  0.522538       0.141655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4620                 NaN            NaN            NaN            NaN  0.523931       0.140962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4609                 NaN            NaN            NaN            NaN  0.525062       0.140251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5352                 NaN            NaN            NaN            NaN  0.452738       0.120865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.6191                 NaN            NaN            NaN            NaN  0.371064       0.982696E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2142                 NaN            NaN            NaN            NaN  0.765638       0.201306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4517                 NaN            NaN            NaN            NaN  0.534396       0.139437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4487                 NaN            NaN            NaN            NaN  0.537308       0.139490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.8973                 NaN            NaN            NaN            NaN  0.100033       0.269248E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        98.9970                 NaN            NaN            NaN            NaN  0.977997       0.250391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4423                 NaN            NaN            NaN            NaN  0.543822       0.138565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4400                 NaN            NaN            NaN            NaN  0.546123       0.138334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4346                 NaN            NaN            NaN            NaN  0.551487       0.138831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4346                 NaN            NaN            NaN            NaN  0.551619       0.138082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4385                 NaN            NaN            NaN            NaN  0.547857       0.136239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4311                 NaN            NaN            NaN            NaN  0.555165       0.137498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4287                 NaN            NaN            NaN            NaN  0.557583       0.137125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4265                 NaN            NaN            NaN            NaN  0.559785       0.137097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4243                 NaN            NaN            NaN            NaN  0.561965       0.136946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4230                 NaN            NaN            NaN            NaN  0.563312       0.136554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4207                 NaN            NaN            NaN            NaN  0.565708       0.136367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4184                 NaN            NaN            NaN            NaN  0.567978       0.136137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        98.9460                 NaN            NaN            NaN            NaN   1.02924       0.247213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.8897                 NaN            NaN            NaN            NaN  0.107686       0.263058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4118                 NaN            NaN            NaN            NaN  0.574589       0.135751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4101                 NaN            NaN            NaN            NaN  0.576288       0.135718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        98.0334                 NaN            NaN            NaN            NaN  0.245773                 NaN   1.72086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.8582                 NaN            NaN            NaN            NaN  0.191080                 NaN   1.95069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.9045                 NaN            NaN            NaN            NaN  0.186417                 NaN   1.90909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.9485                 NaN            NaN            NaN            NaN  0.184086                 NaN   1.86743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.9944                 NaN            NaN            NaN            NaN  0.178097                 NaN   1.82751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.0354                 NaN            NaN            NaN            NaN  0.174309                 NaN   1.79033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.0732                 NaN            NaN            NaN            NaN  0.170470                 NaN   1.75636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.1125                 NaN            NaN            NaN            NaN  0.166317                 NaN   1.72118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.1493                 NaN            NaN            NaN            NaN  0.162666                 NaN   1.68801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1841                 NaN            NaN            NaN            NaN  0.158194                 NaN   1.65775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.2172                 NaN            NaN            NaN            NaN  0.155428                 NaN   1.62737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.2586                 NaN            NaN            NaN            NaN  0.150339                 NaN   1.59108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.2880                 NaN            NaN            NaN            NaN  0.147695                 NaN   1.56426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2558                 NaN            NaN            NaN            NaN  0.117096                 NaN   1.62715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4041                 NaN            NaN            NaN            NaN  0.162622                 NaN   1.43328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3817                 NaN            NaN            NaN            NaN  0.135747                 NaN   1.48259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4086                 NaN            NaN            NaN            NaN  0.133412                 NaN   1.45796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4353                 NaN            NaN            NaN            NaN  0.130737                 NaN   1.43393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4661                 NaN            NaN            NaN            NaN  0.127240                 NaN   1.40665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4899                 NaN            NaN            NaN            NaN  0.122879                 NaN   1.38726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5146                 NaN            NaN            NaN            NaN  0.120188                 NaN   1.36518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5441                 NaN            NaN            NaN            NaN  0.118333                 NaN   1.33755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5651                 NaN            NaN            NaN            NaN  0.113758                 NaN   1.32111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5878                 NaN            NaN            NaN            NaN  0.111938                 NaN   1.30026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6139                 NaN            NaN            NaN            NaN  0.107464                 NaN   1.27863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6315                 NaN            NaN            NaN            NaN  0.105170                 NaN   1.26329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6590                 NaN            NaN            NaN            NaN  0.102211                 NaN   1.23884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6777                 NaN            NaN            NaN            NaN  0.990765E-001            NaN   1.22326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6986                 NaN            NaN            NaN            NaN  0.968053E-001            NaN   1.20456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7139                 NaN            NaN            NaN            NaN  0.918318E-001            NaN   1.19424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7292                 NaN            NaN            NaN            NaN  0.881330E-001            NaN   1.18271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7623                 NaN            NaN            NaN            NaN  0.897112E-001            NaN   1.14798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7789                 NaN            NaN            NaN            NaN  0.863634E-001            NaN   1.13475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7927                 NaN            NaN            NaN            NaN  0.820080E-001            NaN   1.12528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8082                 NaN            NaN            NaN            NaN  0.795477E-001            NaN   1.11222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8275                 NaN            NaN            NaN            NaN  0.773838E-001            NaN   1.09508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8425                 NaN            NaN            NaN            NaN  0.745046E-001            NaN   1.08298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8605                 NaN            NaN            NaN            NaN  0.725941E-001            NaN   1.06688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8747                 NaN            NaN            NaN            NaN  0.689325E-001            NaN   1.05633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8791                 NaN            NaN            NaN            NaN  0.797859E-001            NaN   1.04111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9153                 NaN            NaN            NaN            NaN  0.495097E-001            NaN   1.03521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9201                 NaN            NaN            NaN            NaN  0.615779E-001            NaN   1.01831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9322                 NaN            NaN            NaN            NaN  0.668840E-001            NaN   1.00095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
