|6.6.6
Archiving\03_Data\frac/QFM_m5/TAY13/TAY13_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ne             ilm            lc            
  1877.19        2500.00        99.5134                 NaN            NaN            NaN            NaN  0.486629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.5285                 NaN            NaN            NaN            NaN  0.471517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.5252                 NaN            NaN  0.430649E-003            NaN  0.474409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.5273                 NaN            NaN            NaN            NaN  0.472694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5293                 NaN            NaN            NaN            NaN  0.470701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.8143                 NaN            NaN            NaN            NaN  0.185669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.2511                 NaN            NaN            NaN            NaN  0.748927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.5343                 NaN            NaN            NaN            NaN  0.465722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5382                 NaN            NaN            NaN            NaN  0.461829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5386                 NaN            NaN            NaN            NaN  0.461408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.5408                 NaN            NaN            NaN            NaN  0.459216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5425                 NaN            NaN            NaN            NaN  0.457458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5928                 NaN            NaN            NaN            NaN  0.407249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4957                 NaN            NaN            NaN            NaN  0.504269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5468                 NaN            NaN            NaN            NaN  0.453200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5479                 NaN            NaN            NaN            NaN  0.452144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5478                 NaN            NaN            NaN            NaN  0.452237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5470                 NaN            NaN            NaN            NaN  0.453020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5563                 NaN            NaN            NaN            NaN  0.443658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5525                 NaN            NaN            NaN            NaN  0.447451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5524                 NaN            NaN            NaN            NaN  0.447575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5547                 NaN            NaN            NaN            NaN  0.445313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5476                 NaN            NaN            NaN            NaN  0.444836       0.757570E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5475                 NaN            NaN            NaN            NaN  0.442277       0.101733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5470                 NaN            NaN            NaN            NaN  0.442800       0.101633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5485                 NaN            NaN            NaN            NaN  0.441398       0.100990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5482                 NaN            NaN            NaN            NaN  0.441664       0.100898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5491                 NaN            NaN            NaN            NaN  0.440867       0.100457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.6769                 NaN            NaN            NaN            NaN  0.315904       0.722238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4199                 NaN            NaN            NaN            NaN  0.567308       0.128335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5510                 NaN            NaN            NaN            NaN  0.439104       0.989873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5495                 NaN            NaN            NaN            NaN  0.440617       0.992289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5945                 NaN            NaN  0.129446E-001            NaN  0.384410       0.818747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5217                 NaN            NaN            NaN            NaN  0.467444       0.108995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5490                 NaN            NaN            NaN            NaN  0.441194       0.983136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5499                 NaN            NaN            NaN            NaN  0.440282       0.980817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.6408                 NaN            NaN            NaN            NaN  0.351421       0.779262E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4575                 NaN            NaN            NaN            NaN  0.530768       0.116875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5482                 NaN            NaN            NaN            NaN  0.442065       0.970100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5470                 NaN            NaN            NaN            NaN  0.443307       0.969144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5476                 NaN            NaN            NaN            NaN  0.442783       0.963258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5446                 NaN            NaN            NaN            NaN  0.445776       0.964736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5469                 NaN            NaN            NaN            NaN  0.443532       0.956706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5447                 NaN            NaN            NaN            NaN  0.445740       0.956881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5444                 NaN            NaN            NaN            NaN  0.446004       0.954788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5420                 NaN            NaN            NaN            NaN  0.448501       0.954009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5433                 NaN            NaN            NaN            NaN  0.447219       0.945248E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5409                 NaN            NaN            NaN            NaN  0.449595       0.945774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5393                 NaN            NaN            NaN            NaN  0.451224       0.945624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5387                 NaN            NaN            NaN            NaN  0.451897       0.939348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5373                 NaN            NaN            NaN            NaN  0.453298       0.936924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5359                 NaN            NaN            NaN            NaN  0.454783       0.935342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5343                 NaN            NaN            NaN            NaN  0.456336       0.933079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5334                 NaN            NaN            NaN            NaN  0.457285       0.931323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5324                 NaN            NaN            NaN            NaN  0.458302       0.927651E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5309                 NaN            NaN            NaN            NaN  0.459802       0.925698E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5287                 NaN            NaN            NaN            NaN  0.462070       0.923463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.5270                 NaN            NaN            NaN            NaN  0.463723       0.924674E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.5262                 NaN            NaN            NaN            NaN  0.464636       0.919440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5256                 NaN            NaN            NaN            NaN  0.465279       0.914162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5909                 NaN            NaN            NaN            NaN  0.401258       0.788921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.6651                 NaN            NaN            NaN            NaN  0.328470       0.639685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3095                 NaN            NaN            NaN            NaN  0.677352       0.131082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.5186                 NaN            NaN            NaN            NaN  0.472324       0.907026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5163                 NaN            NaN            NaN            NaN  0.474650       0.907158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.9099                 NaN            NaN            NaN            NaN  0.883332E-001  0.175338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.1205                 NaN            NaN            NaN            NaN  0.863213       0.162683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.5116                 NaN            NaN            NaN            NaN  0.479381       0.899441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5100                 NaN            NaN            NaN            NaN  0.481067       0.897405E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.5054                 NaN            NaN            NaN            NaN  0.485555       0.900172E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.5058                 NaN            NaN            NaN            NaN  0.485247       0.894690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.5095                 NaN            NaN            NaN            NaN  0.481642       0.882487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.5035                 NaN            NaN            NaN            NaN  0.487631       0.890170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.5018                 NaN            NaN            NaN            NaN  0.489315       0.886959E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.5001                 NaN            NaN            NaN            NaN  0.490987       0.886487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4986                 NaN            NaN            NaN            NaN  0.492539       0.885144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4978                 NaN            NaN            NaN            NaN  0.493403       0.882242E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4961                 NaN            NaN            NaN            NaN  0.495135       0.880421E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4945                 NaN            NaN            NaN            NaN  0.496747       0.878311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.0836                 NaN            NaN            NaN            NaN  0.900419       0.160110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.9043                 NaN            NaN            NaN            NaN  0.939784E-001  0.169445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4899                 NaN            NaN            NaN            NaN  0.501351       0.874368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4886                 NaN            NaN            NaN            NaN  0.502666       0.873928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        98.2596                 NaN            NaN            NaN            NaN  0.214497                 NaN   1.52589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.1039                 NaN            NaN            NaN            NaN  0.166710                 NaN   1.72936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.1459                 NaN            NaN            NaN            NaN  0.162538                 NaN   1.69153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.1861                 NaN            NaN            NaN            NaN  0.160375                 NaN   1.65349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.2277                 NaN            NaN            NaN            NaN  0.155060                 NaN   1.61727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.2650                 NaN            NaN            NaN            NaN  0.151653                 NaN   1.58339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.2992                 NaN            NaN            NaN            NaN  0.148227                 NaN   1.55257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.3349                 NaN            NaN            NaN            NaN  0.144515                 NaN   1.52058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.3685                 NaN            NaN            NaN            NaN  0.141220                 NaN   1.49029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3998                 NaN            NaN            NaN            NaN  0.137270                 NaN   1.46289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.4302                 NaN            NaN            NaN            NaN  0.134767                 NaN   1.43502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.4672                 NaN            NaN            NaN            NaN  0.130282                 NaN   1.40248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.4940                 NaN            NaN            NaN            NaN  0.127903                 NaN   1.37809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4653                 NaN            NaN            NaN            NaN  0.101353                 NaN   1.43336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5981                 NaN            NaN            NaN            NaN  0.140631                 NaN   1.26126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5786                 NaN            NaN            NaN            NaN  0.117317                 NaN   1.30405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.6032                 NaN            NaN            NaN            NaN  0.115234                 NaN   1.28161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6274                 NaN            NaN            NaN            NaN  0.112824                 NaN   1.25973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6551                 NaN            NaN            NaN            NaN  0.109748                 NaN   1.23514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6765                 NaN            NaN            NaN            NaN  0.105918                 NaN   1.21758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6991                 NaN            NaN            NaN            NaN  0.103538                 NaN   1.19741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7256                 NaN            NaN            NaN            NaN  0.101861                 NaN   1.17257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7445                 NaN            NaN            NaN            NaN  0.978645E-001            NaN   1.15761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7650                 NaN            NaN            NaN            NaN  0.962308E-001            NaN   1.13875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7886                 NaN            NaN            NaN            NaN  0.923196E-001            NaN   1.11910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8043                 NaN            NaN            NaN            NaN  0.903164E-001            NaN   1.10536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8291                 NaN            NaN            NaN            NaN  0.876989E-001            NaN   1.08318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8460                 NaN            NaN            NaN            NaN  0.849526E-001            NaN   1.06903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8650                 NaN            NaN            NaN            NaN  0.829382E-001            NaN   1.05206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8789                 NaN            NaN            NaN            NaN  0.786177E-001            NaN   1.04247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8924                 NaN            NaN            NaN            NaN  0.754145E-001            NaN   1.03219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9222                 NaN            NaN            NaN            NaN  0.767153E-001            NaN   1.00109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9371                 NaN            NaN            NaN            NaN  0.738088E-001            NaN  0.989108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9496                 NaN            NaN            NaN            NaN  0.700299E-001            NaN  0.980341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9636                 NaN            NaN            NaN            NaN  0.678883E-001            NaN  0.968471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9809                 NaN            NaN            NaN            NaN  0.660068E-001            NaN  0.953048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9944                 NaN            NaN            NaN            NaN  0.635043E-001            NaN  0.942099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0106                 NaN            NaN            NaN            NaN  0.618363E-001            NaN  0.927571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0234                 NaN            NaN            NaN            NaN  0.586779E-001            NaN  0.917970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0278                 NaN            NaN            NaN            NaN  0.678813E-001            NaN  0.904303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0591                 NaN            NaN            NaN            NaN  0.420995E-001            NaN  0.898815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0641                 NaN            NaN            NaN            NaN  0.523164E-001            NaN  0.883588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
