|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1957.39        500.000        97.0151        2.98487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        97.0069        2.99308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        96.9987        3.00128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        96.9906        3.00944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        96.9824        3.01760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        96.9743        3.02572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        96.9662        3.03384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        96.9581        3.04193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        96.9500        3.05001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        96.9419        3.05805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        96.9339        3.06611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        96.9259        3.07410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        96.9179        3.08210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        96.9099        3.09007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        96.9011        3.09886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        96.8940        3.10596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        96.8861        3.11387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        96.8811        3.11893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        96.8714        3.12857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        96.8625        3.13750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        96.8547        3.14533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        96.8469        3.15315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        96.8390        3.16095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        96.8313        3.16873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        96.8235        3.17648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        96.8158        3.18422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        96.8081        3.19195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        96.7876        3.19948       0.129690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5249       0.478776E-003  0.474637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5148       0.171147E-003  0.484995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.9337       0.921236E-003   1.06541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.8174                 NaN  0.182599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3641       0.425869E-002  0.631689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.5366       0.456032E-002  0.458818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5345       0.654811E-003  0.464808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5355                 NaN  0.464471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.8897       0.409406E-002  0.106160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1937                 NaN  0.806269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5447                 NaN  0.455291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5446                 NaN  0.455396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5457                 NaN  0.454295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5481                 NaN  0.451929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5436                 NaN  0.456410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5558                 NaN  0.444163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5527                 NaN  0.447310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5485                 NaN  0.451500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5575                 NaN  0.442467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5553                 NaN  0.444748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5550                 NaN  0.445001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.0623       0.897306E-002  0.921337       0.735940E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6147                 NaN  0.385299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5577                 NaN  0.442325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5584                 NaN  0.441570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5586                 NaN  0.441442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6941                 NaN  0.305939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4247                 NaN  0.575345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5565                 NaN  0.443462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5621                 NaN  0.437871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5508                 NaN  0.439419       0.980569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5507                 NaN  0.439166       0.101087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.8430                 NaN   1.13154       0.254911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.9016                 NaN  0.964679E-001  0.193244E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4509                 NaN  0.536942       0.121517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5479                 NaN  0.442143       0.996306E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5417                 NaN  0.448238       0.100873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5500                 NaN  0.440185       0.977973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5432                 NaN  0.446847       0.990797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5427                 NaN  0.447457       0.987515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5413                 NaN  0.448894       0.985171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.6314                 NaN  0.360688       0.788847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4461                 NaN  0.542144       0.117246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5362                 NaN  0.454055       0.978739E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.5329                 NaN  0.457270       0.980380E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        98.7733                 NaN   1.20150       0.252233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.9999                 NaN            NaN  0.133227E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.8212                 NaN  0.174977       0.381160E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4034                 NaN  0.584339       0.122209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.6763                 NaN  0.317169       0.656670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4942                 NaN  0.495616       0.102096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.6262                 NaN  0.366345       0.741508E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3071                 NaN  0.679010       0.139323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.7100                 NaN  0.284194       0.578947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4216                 NaN  0.567028       0.113690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.5064                 NaN  0.483993       0.962643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.5087                 NaN  0.481832       0.949471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.2589                 NaN  0.735658       0.540207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.7482                 NaN  0.238223       0.136112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4992                 NaN  0.491356       0.946216E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.1913                 NaN  0.789908       0.188081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.7970                 NaN  0.202926       0.961791E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4890                 NaN  0.501535       0.942063E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4853                 NaN  0.505280       0.944254E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4822                 NaN  0.508375       0.941180E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4792                 NaN  0.511375       0.941307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4739                 NaN  0.516694       0.942875E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.7435                 NaN   1.23409       0.223956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.7115                 NaN  0.283425       0.506489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.8997                 NaN  0.980882E-001  0.218403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.9864                 NaN  0.996531       0.171160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4555                 NaN  0.535163       0.932911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4521                 NaN  0.538537       0.932223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4461                 NaN  0.544484       0.937880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4486                 NaN  0.542130       0.926396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4425                 NaN  0.548168       0.929146E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4383                 NaN  0.552383       0.930975E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4356                 NaN  0.555101       0.928958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4318                 NaN  0.558926       0.928226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4300                 NaN  0.560698       0.926188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4223                 NaN  0.568342       0.938671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        98.7377                 NaN   1.24371       0.186236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.5260                 NaN  0.464912       0.905679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4148                 NaN  0.575944       0.922609E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4123                 NaN  0.578452       0.922163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.4085                 NaN  0.582212       0.924899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.3206                 NaN  0.291184                 NaN   1.38826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        97.5893                 NaN  0.789126E-001            NaN   2.33184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        97.6431                 NaN  0.757748E-001            NaN   2.28115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        97.7067                 NaN  0.731976E-001            NaN   2.22009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.7572                 NaN  0.713155E-001            NaN   2.17145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        97.7901                 NaN  0.689230E-001            NaN   2.14095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.8772                 NaN  0.667728E-001            NaN   2.05607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.9136                 NaN  0.654145E-001            NaN   2.02094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.9530                 NaN  0.595738E-001            NaN   1.98741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.9986                 NaN  0.576207E-001            NaN   1.94381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        98.0384                 NaN  0.573069E-001            NaN   1.90426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.0853                 NaN  0.520895E-001            NaN   1.86262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.1169                 NaN  0.491691E-001            NaN   1.83394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.1631                 NaN  0.484843E-001            NaN   1.78845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.1956                 NaN  0.445404E-001            NaN   1.75985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.2296                 NaN  0.414187E-001            NaN   1.72899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2688                 NaN  0.404095E-001            NaN   1.69077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.2126                 NaN  0.420715E-001            NaN   1.74532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.4224                 NaN  0.326250E-001            NaN   1.54493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.3599                 NaN  0.329713E-001            NaN   1.60712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.3723                 NaN  0.265626E-001            NaN   1.60112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4454                 NaN  0.296073E-001            NaN   1.52502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4544                 NaN  0.262375E-001            NaN   1.51933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4803                 NaN  0.234513E-001            NaN   1.49626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5089                 NaN  0.222430E-001            NaN   1.46882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5338                 NaN  0.192058E-001            NaN   1.44695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.2591                 NaN  0.101776E-001            NaN  0.730731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        97.8832                 NaN  0.251148E-001            NaN   2.09167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6054                 NaN  0.725679E-002            NaN   1.38732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6266                 NaN  0.685873E-002            NaN   1.36651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6519                 NaN  0.902993E-002            NaN   1.33904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6471                 NaN  0.326386E-001            NaN   1.32027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7287                 NaN  0.391540E-003            NaN   1.27091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7208                 NaN  0.255975E-001            NaN   1.25360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7428                 NaN  0.489509E-001            NaN   1.20820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7557                 NaN            NaN            NaN   1.24433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7770                 NaN            NaN            NaN   1.22304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7898                 NaN  0.879918E-002            NaN   1.20143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8164                 NaN            NaN            NaN   1.18357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8314                 NaN  0.438905E-001            NaN   1.12471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8537                 NaN            NaN            NaN   1.14627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8612                 NaN            NaN            NaN   1.13882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8766                 NaN            NaN            NaN   1.12341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8948                 NaN            NaN            NaN   1.10517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9108                 NaN            NaN            NaN   1.08919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7572                 NaN  0.151244E-002            NaN   1.24125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.1055                 NaN            NaN            NaN  0.894537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9523                 NaN            NaN            NaN   1.04772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9697                 NaN            NaN            NaN   1.03032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9845                 NaN            NaN            NaN   1.01547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9999                 NaN            NaN            NaN   1.00009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0090                 NaN            NaN            NaN  0.990963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0205                 NaN            NaN            NaN  0.979468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.0300                 NaN            NaN            NaN  0.970043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.0473                 NaN            NaN            NaN  0.952671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0593                 NaN            NaN            NaN  0.940740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0699                 NaN            NaN            NaN  0.930127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0110                 NaN            NaN            NaN  0.572036       0.416921                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.9031                 NaN            NaN            NaN  0.232307E-001   1.07367                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9052                 NaN            NaN            NaN            NaN   1.09478                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9280                 NaN            NaN            NaN  0.154698       0.917260                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9239                 NaN            NaN            NaN            NaN   1.07607                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9293                 NaN            NaN            NaN            NaN   1.07074                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.9304                 NaN            NaN            NaN            NaN   1.06964                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.9349                 NaN            NaN            NaN            NaN   1.06514                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.9359                 NaN            NaN            NaN            NaN   1.06414                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.9344                 NaN            NaN            NaN            NaN   1.06559                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.9310                 NaN            NaN            NaN            NaN   1.06897                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.6950                 NaN            NaN            NaN            NaN  0.990197       0.314799                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        98.1858                 NaN            NaN            NaN            NaN   1.03942       0.774760                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.2224                 NaN            NaN            NaN            NaN  0.756531        1.02109                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.2635                 NaN            NaN            NaN            NaN  0.736111        1.00044                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.2982                 NaN            NaN            NaN            NaN  0.983528       0.718307                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.3345                 NaN            NaN            NaN            NaN  0.700734       0.964719                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.3684                 NaN            NaN            NaN            NaN  0.683551       0.948030                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.3967                 NaN            NaN            NaN            NaN  0.668812       0.934466                 NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.4384                 NaN            NaN            NaN            NaN  0.650492       0.911138                 NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        98.4650                 NaN            NaN            NaN            NaN  0.899762       0.635266                 NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        98.4939                 NaN            NaN            NaN            NaN  0.620726       0.885386                 NaN            NaN            NaN            NaN            NaN
