|6.6.6
Archiving\03_Data\frac/QFM_m4.75/LAR/LAR_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1749.37        2500.00        97.8768                 NaN  0.744419        1.37874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        97.8696                 NaN  0.744517        1.38589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        97.8624                 NaN  0.744614        1.39302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        97.8552                 NaN  0.744712        1.40010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        97.8481                 NaN  0.744809        1.40713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        97.8409                 NaN  0.744905        1.41416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        97.8339                 NaN  0.745002        1.42113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        97.8269                 NaN  0.745098        1.42803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        97.8199                 NaN  0.745194        1.43491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        97.8130                 NaN  0.745290        1.44176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        97.8060                 NaN  0.745385        1.44857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        97.7992                 NaN  0.745480        1.45535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        97.7924                 NaN  0.745575        1.46207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        97.7856                 NaN  0.745670        1.46877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        97.7788                 NaN  0.745764        1.47542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        97.7721                 NaN  0.745858        1.48204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        97.7654                 NaN  0.745952        1.48861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        97.7588                 NaN  0.746046        1.49514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        97.7522                 NaN  0.746139        1.50165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        97.7457                 NaN  0.746232        1.50810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        97.7391                 NaN  0.746325        1.51453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        97.7327                 NaN  0.746417        1.52091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        97.7262                 NaN  0.746510        1.52726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        97.7233                 NaN  0.746578        1.53009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        97.7135                 NaN  0.746694        1.53982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        97.7071                 NaN  0.746785        1.54608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        97.7009                 NaN  0.746876        1.55224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.6946                 NaN  0.746967        1.55839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.6884                 NaN  0.747058        1.56453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.6823                 NaN  0.747148        1.57057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.6762                 NaN  0.747239        1.57660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.6701                 NaN  0.747328        1.58260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.6640                 NaN  0.747418        1.58854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.6580                 NaN  0.747508        1.59446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.6521                 NaN  0.747597        1.60035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.6461                 NaN  0.747686        1.60619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.6402                 NaN  0.747775        1.61205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.6291                 NaN  0.747867        1.61712       0.587443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.6218                 NaN  0.748006        1.62220       0.797331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        97.6169                 NaN  0.748159        1.62712       0.779131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        97.6118                 NaN  0.748311        1.63207       0.778336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        97.5753                 NaN  0.748543        1.64327       0.329083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        97.6107                 NaN  0.748815        1.64048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        97.6049                 NaN  0.748904        1.64624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        97.5979                 NaN  0.749000        1.65315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        97.5888                 NaN  0.749081        1.65664       0.548998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        97.5879                 NaN  0.749193        1.65910       0.376276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        97.5742                 NaN  0.749331        1.66576       0.106773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        97.5727                 NaN  0.749503        1.67050       0.730913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        97.5679                 NaN  0.749648        1.67515       0.725431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        97.5633                 NaN  0.749793        1.67976       0.719643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        97.5586                 NaN  0.749937        1.68434       0.714123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        97.4899                 NaN  0.750078        1.68545       0.730315E-002  0.672599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.4855                 NaN            NaN            NaN  0.781067E-002  0.506644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.4844                 NaN            NaN            NaN  0.784322E-002  0.507714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4884                 NaN            NaN            NaN  0.776302E-002  0.503866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.3115                 NaN            NaN            NaN  0.104610E-001  0.677999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.6733                 NaN            NaN            NaN  0.496121E-002  0.321788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.5272                 NaN            NaN            NaN  0.722408E-002  0.465613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.4664                 NaN            NaN            NaN  0.807264E-002  0.525566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.5012                 NaN            NaN            NaN  0.760107E-002  0.491206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.5051                 NaN            NaN            NaN  0.752967E-002  0.487368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.5072                 NaN            NaN            NaN  0.750557E-002  0.485326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.5099                 NaN            NaN            NaN  0.746774E-002  0.482653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.5134                 NaN            NaN            NaN  0.741898E-002  0.479139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.1094                 NaN            NaN            NaN            NaN  0.224856       0.665767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9276                 NaN            NaN            NaN            NaN  0.104116       0.968330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9402                 NaN            NaN            NaN            NaN  0.101056       0.958710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9594                 NaN            NaN            NaN            NaN  0.987467E-001  0.941900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9758                 NaN            NaN            NaN            NaN  0.971878E-001  0.926994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.6141                 NaN            NaN            NaN            NaN  0.350110E-001  0.350933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.3711                 NaN            NaN            NaN            NaN  0.156143        1.47279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0288                 NaN            NaN            NaN            NaN  0.914587E-001  0.879755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0332                 NaN            NaN            NaN            NaN  0.891806E-001  0.877643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0448                 NaN            NaN            NaN            NaN  0.873655E-001  0.867822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0568                 NaN            NaN            NaN            NaN  0.826104E-001  0.860613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0694                 NaN            NaN            NaN            NaN  0.815618E-001  0.848996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9141                 NaN            NaN            NaN            NaN  0.943642E-001  0.991547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.2631                 NaN            NaN            NaN            NaN  0.636250E-001  0.673229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.1044                 NaN            NaN            NaN            NaN  0.786278E-001  0.816930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1221                 NaN            NaN            NaN            NaN  0.736972E-001  0.804177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1289                 NaN            NaN            NaN            NaN  0.719984E-001  0.799124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1404                 NaN            NaN            NaN            NaN  0.723256E-001  0.787302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1492                 NaN            NaN            NaN            NaN  0.679215E-001  0.782835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0905                 NaN            NaN            NaN            NaN  0.281890E-001  0.527904       0.353439                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9849                 NaN            NaN            NaN            NaN  0.101135E-001  0.764853E-001  0.928485                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9869                 NaN            NaN            NaN            NaN  0.231369E-005  0.706164E-001  0.942529                 NaN            NaN            NaN            NaN            NaN            NaN
