|6.6.6
Archiving\03_Data\frac/QFM_m4.75/LAR/LAR_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1937.34        2500.00        97.2497                 NaN  0.905928        1.84441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        97.2243                 NaN  0.905993        1.86971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        97.1992                 NaN  0.906058        1.89475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        97.1741                 NaN  0.906123        1.91975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        97.1490                 NaN  0.906187        1.94478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        97.1243                 NaN  0.906251        1.96949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        97.0995                 NaN  0.906315        1.99420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        97.0748                 NaN  0.906379        2.01882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        97.0502                 NaN  0.906442        2.04333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        97.0258                 NaN  0.906505        2.06773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        97.0014                 NaN  0.906568        2.09207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        96.9771                 NaN  0.906631        2.11625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        96.9529                 NaN  0.906693        2.14041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        96.9289                 NaN  0.906755        2.16437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        96.9049                 NaN  0.906817        2.18829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        96.8810                 NaN  0.906879        2.21212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        96.8572                 NaN  0.906940        2.23582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        96.8336                 NaN  0.907001        2.25944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        96.8100                 NaN  0.907062        2.28296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        96.7865                 NaN  0.907122        2.30638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        96.7631                 NaN  0.907183        2.32973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        96.7399                 NaN  0.907243        2.35290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        96.7167                 NaN  0.907302        2.37602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        96.6936                 NaN  0.907362        2.39906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        96.6706                 NaN  0.907421        2.42196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        96.6477                 NaN  0.907480        2.44484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        96.6249                 NaN  0.907539        2.46751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        96.6023                 NaN  0.907597        2.49012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        96.5796                 NaN  0.907656        2.51275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        96.5572                 NaN  0.907714        2.53507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        96.5348                 NaN  0.907771        2.55743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        96.5125                 NaN  0.907829        2.57970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        96.4904                 NaN  0.907886        2.60176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        96.4683                 NaN  0.907943        2.62378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        96.4463                 NaN  0.907999        2.64572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        96.4244                 NaN  0.908056        2.66755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        96.4026                 NaN  0.908112        2.68928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        96.3809                 NaN  0.908168        2.71093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        96.3593                 NaN  0.908223        2.73246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        96.3378                 NaN  0.908279        2.75389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        96.3164                 NaN  0.908334        2.77523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        96.2951                 NaN  0.908389        2.79650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        96.2739                 NaN  0.908444        2.81765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        96.2528                 NaN  0.908498        2.83865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        96.2318                 NaN  0.908552        2.85961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        96.2109                 NaN  0.908606        2.88048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        96.1901                 NaN  0.908659        2.90121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        96.1693                 NaN  0.908713        2.92196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        96.1488                 NaN  0.908766        2.94243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        96.1283                 NaN  0.908819        2.96289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        96.1079                 NaN  0.908871        2.98323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        96.0876                 NaN  0.908923        3.00350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        96.0673                 NaN  0.908976        3.02373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        96.0473                 NaN  0.909027        3.04371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        96.0272                 NaN  0.909079        3.06369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        96.0073                 NaN  0.909130        3.08355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        95.9875                 NaN  0.909181        3.10333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        95.9676                 NaN  0.909232        3.12314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        95.9481                 NaN  0.909283        3.14267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        95.9286                 NaN  0.909333        3.16205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        95.9092                 NaN  0.909382        3.18143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        95.8898                 NaN  0.909432        3.20073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        95.8706                 NaN  0.909482        3.21990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        95.8515                 NaN  0.909531        3.23897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        95.8646                 NaN  0.909497        3.22592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        95.8135                 NaN  0.909629        3.27685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        95.7947                 NaN  0.909677        3.29566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        95.8332                 NaN  0.909578        3.25720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        95.7573                 NaN  0.909773        3.33294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        95.7387                 NaN  0.909821        3.35147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        95.7203                 NaN  0.909868        3.36983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        95.7020                 NaN  0.909916        3.38813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        95.6837                 NaN  0.909962        3.40632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        95.6656                 NaN  0.910009        3.42444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        95.6475                 NaN  0.910056        3.44245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        95.6295                 NaN  0.910102        3.46036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        95.6117                 NaN  0.910148        3.47816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        95.5939                 NaN  0.910193        3.49588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        95.5762                 NaN  0.910239        3.51352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        95.5587                 NaN  0.910284        3.53101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        95.5412                 NaN  0.910329        3.54849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        95.5238                 NaN  0.910373        3.56582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        95.5066                 NaN  0.910418        3.58300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        95.4894                 NaN  0.910462        3.60010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        95.4724                 NaN  0.910505        3.61713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        95.4554                 NaN  0.910549        3.63406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        95.4385                 NaN  0.910592        3.65092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        95.4217                 NaN  0.910636        3.66764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        95.4050                 NaN  0.910678        3.68428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        95.3885                 NaN  0.910721        3.70080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        95.3720                 NaN  0.910763        3.71726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        95.3556                 NaN  0.910805        3.73359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        95.3393                 NaN  0.910847        3.74981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        95.3231                 NaN  0.910889        3.76596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        95.3071                 NaN  0.910930        3.78199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        95.2911                 NaN  0.910971        3.79795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        95.2752                 NaN  0.911012        3.81380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        95.2594                 NaN  0.911052        3.82957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        95.2524                 NaN  0.911070        3.83653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        95.2281                 NaN  0.911132        3.86074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        95.2126                 NaN  0.911172        3.87627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        95.1973                 NaN  0.911211        3.89153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        95.1820                 NaN  0.911251        3.90680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        95.1667                 NaN  0.911290        3.92204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        95.1517                 NaN  0.911328        3.93700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        95.1367                 NaN  0.911367        3.95195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        95.1218                 NaN  0.911405        3.96682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        95.1070                 NaN  0.911443        3.98157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        95.0923                 NaN  0.911480        3.99623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        95.0777                 NaN  0.911518        4.01083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        95.0632                 NaN  0.911555        4.02529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        95.0486                 NaN  0.911592        4.03980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        95.0272                 NaN  0.911624        4.05229       0.888943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        95.0113                 NaN  0.911737        4.06494       0.120665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        94.9992                 NaN  0.911877        4.07719       0.117858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        94.9867                 NaN  0.912014        4.08954       0.117734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        94.9207                 NaN  0.912191        4.11728       0.497792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        94.9765                 NaN  0.912624        4.11088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        94.9622                 NaN  0.912660        4.12515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        94.9450                 NaN  0.912704        4.14227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        94.9281                 NaN  0.912726        4.15083       0.829731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        94.9246                 NaN  0.912817        4.15692       0.568439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        94.8975                 NaN  0.912910        4.17342       0.161328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        94.8906                 NaN  0.913086        4.18529       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        94.8789                 NaN  0.913215        4.19688       0.109582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        94.8674                 NaN  0.913343        4.20835       0.108672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        94.8560                 NaN  0.913471        4.21975       0.107823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        94.7766                 NaN  0.913574        4.22238       0.110250E-001  0.763665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.3961                 NaN            NaN            NaN  0.121260E-001  0.591770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.3942                 NaN            NaN            NaN  0.121816E-001  0.593604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.3981                 NaN            NaN            NaN  0.120697E-001  0.589815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.1890                 NaN            NaN            NaN  0.162654E-001  0.794730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.6147                 NaN            NaN            NaN  0.772396E-002  0.377594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4416                 NaN            NaN            NaN  0.112495E-001  0.547148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.3697                 NaN            NaN            NaN  0.125774E-001  0.617734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4102                 NaN            NaN            NaN  0.118513E-001  0.577958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4142                 NaN            NaN            NaN  0.117492E-001  0.574061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4160                 NaN            NaN            NaN  0.117180E-001  0.572299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4185                 NaN            NaN            NaN  0.116671E-001  0.569784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.4222                 NaN            NaN            NaN  0.115981E-001  0.566224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9764                 NaN            NaN            NaN            NaN  0.265841       0.757746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7743                 NaN            NaN            NaN            NaN  0.123183        1.10250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7882                 NaN            NaN            NaN            NaN  0.119656        1.09213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8093                 NaN            NaN            NaN            NaN  0.117039        1.07366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8276                 NaN            NaN            NaN            NaN  0.115276        1.05715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.5580                 NaN            NaN            NaN            NaN  0.415437E-001  0.400474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.1341                 NaN            NaN            NaN            NaN  0.185397        1.68053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8859                 NaN            NaN            NaN            NaN  0.108794        1.00527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8905                 NaN            NaN            NaN            NaN  0.106163        1.00336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9031                 NaN            NaN            NaN            NaN  0.104127       0.992753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9166                 NaN            NaN            NaN            NaN  0.985041E-001  0.984907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9305                 NaN            NaN            NaN            NaN  0.973397E-001  0.972207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.7512                 NaN            NaN            NaN            NaN  0.112822        1.13599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.1518                 NaN            NaN            NaN            NaN  0.761035E-001  0.772060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9688                 NaN            NaN            NaN            NaN  0.940969E-001  0.937088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9888                 NaN            NaN            NaN            NaN  0.882789E-001  0.922958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9960                 NaN            NaN            NaN            NaN  0.863237E-001  0.917685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0087                 NaN            NaN            NaN            NaN  0.867943E-001  0.904546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0185                 NaN            NaN            NaN            NaN  0.816031E-001  0.899943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9550                 NaN            NaN            NaN            NaN  0.338805E-001  0.607102       0.403977                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.8378                 NaN            NaN            NaN            NaN  0.121685E-001  0.880237E-001   1.06198                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.8399                 NaN            NaN            NaN            NaN  0.278822E-005  0.813191E-001   1.07876                 NaN            NaN            NaN            NaN            NaN            NaN
