|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1407.79        500.000        98.3998       0.582565       0.404063                 NaN            NaN            NaN  0.152989       0.460602                 NaN            NaN            NaN
  1406.64        500.000        99.1849       0.288854       0.211947                 NaN            NaN  0.310845E-002  0.767857E-001  0.234356                 NaN            NaN            NaN
  1405.49        500.000        97.6283       0.589594       0.866618                 NaN            NaN            NaN  0.232005       0.683522                 NaN            NaN            NaN
  1404.34        500.000        98.4379       0.378154       0.574334                 NaN            NaN            NaN  0.158195       0.451436                 NaN            NaN            NaN
  1403.19        500.000        98.4580       0.367111       0.569645                 NaN            NaN            NaN  0.159410       0.445835                 NaN            NaN            NaN
  1402.04        500.000        98.4707       0.565375       0.359552                 NaN            NaN            NaN  0.161409       0.442917                 NaN            NaN            NaN
  1400.90        500.000        98.5067       0.343707       0.556718                 NaN            NaN            NaN  0.160933       0.431895                 NaN            NaN            NaN
  1399.75        500.000        97.4326       0.590453       0.949423                 NaN            NaN            NaN  0.283147       0.744406                 NaN            NaN            NaN
  1398.60        500.000        99.6504       0.136021       0.677485E-001            NaN            NaN            NaN  0.443671E-001  0.101492                 NaN            NaN            NaN
  1397.45        500.000        98.5539       0.547025       0.314750                 NaN            NaN            NaN  0.165027       0.419275                 NaN            NaN            NaN
  1396.30        500.000        98.5693       0.544908       0.303849                 NaN            NaN            NaN  0.166743       0.415237                 NaN            NaN            NaN
  1395.15        500.000        98.5882       0.295506       0.539308                 NaN            NaN            NaN  0.167181       0.409807                 NaN            NaN            NaN
  1394.00        500.000        98.6020       0.536664       0.286896                 NaN            NaN            NaN  0.168477       0.405954                 NaN            NaN            NaN
  1392.85        500.000        98.6204       0.279900       0.531934                 NaN            NaN            NaN  0.167270       0.400477                 NaN            NaN            NaN
  1391.71        500.000        98.6362       0.529163       0.264755                 NaN            NaN            NaN  0.173078       0.396846                 NaN            NaN            NaN
  1390.56        500.000        98.6534       0.524713       0.258165                 NaN            NaN            NaN  0.171986       0.391693                 NaN            NaN            NaN
  1389.41        500.000        98.6683       0.230420       0.527740                 NaN            NaN            NaN  0.184276       0.389234                 NaN            NaN            NaN
  1388.26        500.000        98.6822       0.512902       0.262278                 NaN            NaN            NaN  0.160864       0.381779                 NaN            NaN            NaN
  1387.11        500.000        98.6825       0.523931       0.231372                 NaN            NaN            NaN  0.177710       0.384482                 NaN            NaN            NaN
  1385.96        500.000        98.7241       0.225984       0.507453                 NaN            NaN            NaN  0.171647       0.370824                 NaN            NaN            NaN
  1384.81        500.000        98.7284       0.509761       0.215420                 NaN            NaN            NaN  0.175948       0.370472                 NaN            NaN            NaN
  1383.66        500.000        98.7402       0.507227       0.208347                 NaN            NaN            NaN  0.176887       0.367347                 NaN            NaN            NaN
  1382.52        500.000        98.7537       0.198986       0.505531                 NaN            NaN            NaN  0.177973       0.363811                 NaN            NaN            NaN
  1381.37        500.000        98.7692       0.500376       0.193378                 NaN            NaN            NaN  0.178021       0.359005                 NaN            NaN            NaN
  1380.22        500.000        98.7812       0.498786       0.185581                 NaN            NaN            NaN  0.178728       0.355669                 NaN            NaN            NaN
  1379.07        500.000        98.7926       0.177563       0.497355                 NaN            NaN            NaN  0.179936       0.352590                 NaN            NaN            NaN
  1377.92        500.000        98.6905       0.363042E-001  0.498535                 NaN            NaN            NaN  0.366093       0.408611                 NaN            NaN            NaN
  1376.77        500.000        98.9424       0.497801       0.251190                 NaN            NaN            NaN  0.213983E-001  0.287179                 NaN            NaN            NaN
  1375.62        500.000        98.8263       0.204897       0.475574                 NaN            NaN            NaN  0.154275       0.338916                 NaN            NaN            NaN
  1374.48        500.000        98.8470       0.486570       0.144974                 NaN            NaN            NaN  0.184268       0.337236                 NaN            NaN            NaN
  1373.33        500.000        98.8550       0.149516       0.482783                 NaN            NaN            NaN  0.178687       0.334010                 NaN            NaN            NaN
  1372.18        500.000        98.8662       0.137397       0.482744                 NaN            NaN            NaN  0.182415       0.331279                 NaN            NaN            NaN
  1371.03        500.000        98.8777       0.480916       0.130896                 NaN            NaN            NaN  0.182601       0.327844                 NaN            NaN            NaN
  1369.88        500.000        98.8883       0.478939       0.124689                 NaN            NaN            NaN  0.183184       0.324935                 NaN            NaN            NaN
  1368.73        500.000        98.9002       0.118796       0.476679                 NaN            NaN            NaN  0.183034       0.321263                 NaN            NaN            NaN
  1367.58        500.000        98.9101       0.476215       0.111463                 NaN            NaN            NaN  0.183670       0.318513                 NaN            NaN            NaN
  1366.43        500.000        98.9152       0.473497       0.110587                 NaN            NaN            NaN  0.183624       0.317121                 NaN            NaN            NaN
  1365.29        500.000        98.8897       0.375748       0.331164                 NaN            NaN            NaN  0.925902E-001  0.310760                 NaN            NaN            NaN
  1364.14        500.000        98.9650       0.505579                 NaN            NaN            NaN            NaN  0.221810       0.307660                 NaN            NaN            NaN
  1362.99        500.000        98.9664       0.508295                 NaN            NaN            NaN            NaN  0.218309       0.306996                 NaN            NaN            NaN
  1361.84        500.000        98.9704       0.488953       0.335746E-001            NaN            NaN            NaN  0.203462       0.303592                 NaN            NaN            NaN
  1360.69        500.000        98.9711       0.802006E-001  0.464949                 NaN            NaN            NaN  0.183444       0.300305                 NaN            NaN            NaN
  1359.54        500.000        98.9809       0.464126       0.733201E-001            NaN            NaN            NaN  0.184225       0.297447                 NaN            NaN            NaN
  1358.39        500.000        98.9879       0.461779       0.742317E-001            NaN            NaN            NaN  0.181191       0.294877                 NaN            NaN            NaN
  1357.24        500.000        98.9995       0.455697       0.775918E-001            NaN            NaN            NaN  0.176352       0.290845                 NaN            NaN            NaN
  1356.10        500.000        99.0103       0.462511       0.499361E-001            NaN            NaN            NaN  0.188075       0.289153                 NaN            NaN            NaN
  1354.95        500.000        99.0170       0.457327       0.570831E-001            NaN            NaN            NaN  0.182075       0.286526                 NaN            NaN            NaN
  1353.80        500.000        99.0277       0.515281E-001  0.456670                 NaN            NaN            NaN  0.181183       0.282948                 NaN            NaN            NaN
  1352.65        500.000        99.0340       0.455746       0.490653E-001            NaN            NaN            NaN  0.180248       0.280944                 NaN            NaN            NaN
  1351.50        500.000        99.0427       0.449161E-001  0.454206                 NaN            NaN            NaN  0.179891       0.278293                 NaN            NaN            NaN
  1350.35        500.000        99.0516       0.453584       0.386300E-001            NaN            NaN            NaN  0.180285       0.275927                 NaN            NaN            NaN
  1349.20        500.000        99.0610       0.450084       0.386499E-001            NaN            NaN            NaN  0.177832       0.272459                 NaN            NaN            NaN
  1348.06        500.000        99.0682       0.449599       0.341695E-001            NaN            NaN            NaN  0.177739       0.270332                 NaN            NaN            NaN
  1346.91        500.000        99.0759       0.448889       0.302784E-001            NaN            NaN            NaN  0.176941       0.267944                 NaN            NaN            NaN
  1345.76        500.000        99.0836       0.447051       0.285768E-001            NaN            NaN            NaN  0.175495       0.265321                 NaN            NaN            NaN
  1344.61        500.000        99.0896       0.444482       0.276666E-001            NaN            NaN            NaN  0.174825       0.263411                 NaN            NaN            NaN
  1343.46        500.000        99.0992       0.444901       0.229989E-001            NaN            NaN            NaN  0.172844       0.260101                 NaN            NaN            NaN
  1342.31        500.000        99.1039       0.178695E-001  0.446871                 NaN            NaN            NaN  0.172745       0.258567                 NaN            NaN            NaN
  1341.16        500.000        99.1141       0.188095E-001  0.441430                 NaN            NaN            NaN  0.170215       0.255423                 NaN            NaN            NaN
  1340.01        500.000        99.1220       0.130222E-001  0.441139                 NaN            NaN            NaN  0.170629       0.253222                 NaN            NaN            NaN
  1338.87        500.000        99.1265       0.442168       0.106620E-001            NaN            NaN            NaN  0.169135       0.251543                 NaN            NaN            NaN
  1337.72        500.000        99.1368       0.854261E-002  0.438997                 NaN            NaN            NaN  0.167429       0.248209                 NaN            NaN            NaN
  1336.57        500.000        99.1419       0.271849E-002  0.441047                 NaN            NaN            NaN  0.167700       0.246668                 NaN            NaN            NaN
  1335.42        500.000        99.1501       0.436191       0.996047E-003            NaN            NaN            NaN  0.167635       0.245064                 NaN            NaN            NaN
  1334.27        500.000        99.1599       0.433712       0.560196E-002            NaN            NaN            NaN  0.160768       0.240065                 NaN            NaN            NaN
  1333.12        500.000        99.1612       0.435757       0.200561E-002            NaN            NaN            NaN  0.161105       0.239895                 NaN            NaN            NaN
  1331.97        500.000        99.1660       0.113065E-001  0.429808                 NaN            NaN            NaN  0.155265       0.237571                 NaN            NaN            NaN
  1330.82        500.000        99.1744       0.431512                 NaN            NaN            NaN            NaN  0.158598       0.235518                 NaN            NaN            NaN
  1329.68        500.000        99.1783       0.151076E-001  0.423587                 NaN            NaN            NaN  0.149789       0.233239                 NaN            NaN            NaN
  1328.53        500.000        99.1859       0.429659                 NaN            NaN            NaN            NaN  0.153055       0.231418                 NaN            NaN            NaN
  1327.38        500.000        99.1922       0.428545                 NaN            NaN            NaN            NaN  0.150142       0.229079                 NaN            NaN            NaN
  1326.23        500.000        99.1813       0.421930       0.153040E-001            NaN            NaN            NaN  0.148343       0.233114                 NaN            NaN            NaN
  1325.08        500.000        99.2151       0.613686E-001  0.383532                 NaN            NaN            NaN  0.122126       0.217826                 NaN            NaN            NaN
  1323.93        500.000        99.2094       0.422107                 NaN            NaN            NaN            NaN  0.145324       0.223218                 NaN            NaN            NaN
  1322.78        500.000        99.2138       0.424177                 NaN            NaN            NaN            NaN  0.140704       0.221352                 NaN            NaN            NaN
  1321.64        500.000        99.2138       0.396481       0.467706E-001            NaN            NaN            NaN  0.123854       0.219087                 NaN            NaN            NaN
  1320.49        500.000        99.2186       0.566695E-001  0.388786                 NaN            NaN            NaN  0.118771       0.217215                 NaN            NaN            NaN
  1319.34        500.000        99.2301       0.419810                 NaN            NaN            NaN            NaN  0.134545       0.215555                 NaN            NaN            NaN
  1318.19        500.000        99.2361       0.414629                 NaN            NaN            NaN            NaN  0.135449       0.213783                 NaN            NaN            NaN
  1317.04        500.000        99.2371       0.422333                 NaN            NaN            NaN            NaN  0.127872       0.212711                 NaN            NaN            NaN
  1315.89        500.000        99.2106       0.433928                 NaN            NaN            NaN            NaN  0.120697       0.217528       0.172600E-001            NaN            NaN
  1314.74        500.000        99.1540       0.461016                 NaN            NaN            NaN            NaN  0.104517       0.226832       0.536034E-001            NaN            NaN
  1313.59        500.000        99.1519       0.441531                 NaN            NaN            NaN            NaN  0.124070       0.230036       0.524694E-001            NaN            NaN
  1312.45        500.000        99.1651       0.444016                 NaN            NaN            NaN            NaN  0.113600       0.225292       0.520322E-001            NaN            NaN
  1311.30        500.000        99.1736       0.438463                 NaN            NaN            NaN            NaN  0.113645       0.223019       0.512982E-001            NaN            NaN
  1310.15        500.000        99.1815       0.434798                 NaN            NaN            NaN            NaN  0.112504       0.220653       0.505088E-001            NaN            NaN
  1309.00        500.000        99.1913       0.430200                 NaN            NaN            NaN            NaN  0.110796       0.218023       0.496738E-001            NaN            NaN
  1307.85        500.000        99.1998       0.423342                 NaN            NaN            NaN            NaN  0.111960       0.215864       0.490706E-001            NaN            NaN
  1306.70        500.000        99.2077       0.421677                 NaN            NaN            NaN            NaN  0.109022       0.213431       0.481947E-001            NaN            NaN
  1305.55        500.000        99.2219       0.424644                 NaN            NaN            NaN            NaN  0.973216E-001  0.208249       0.479276E-001            NaN            NaN
  1304.40        500.000        99.2144       0.410120                 NaN            NaN            NaN            NaN  0.115840       0.213119       0.465007E-001            NaN            NaN
  1303.26        500.000        99.2344       0.406487                 NaN            NaN            NaN            NaN  0.107595       0.205651       0.458405E-001            NaN            NaN
  1302.11        500.000        99.2405       0.403434                 NaN            NaN            NaN            NaN  0.106320       0.204387       0.453895E-001            NaN            NaN
  1300.96        500.000        99.2467       0.401320                 NaN            NaN            NaN            NaN  0.104838       0.202437       0.446703E-001            NaN            NaN
  1299.81        500.000        99.2562       0.394526                 NaN            NaN            NaN            NaN  0.105186       0.200046       0.440500E-001            NaN            NaN
  1298.66        500.000        99.2629       0.393212                 NaN            NaN            NaN            NaN  0.102542       0.198040       0.433096E-001            NaN            NaN
  1297.51        500.000        99.2698       0.389910                 NaN            NaN            NaN            NaN  0.101682       0.195998       0.426598E-001            NaN            NaN
  1296.36        500.000        99.2739       0.386185                 NaN            NaN            NaN            NaN  0.102587       0.194992       0.423220E-001            NaN            NaN
  1295.22        500.000        99.2886       0.386124                 NaN            NaN            NaN            NaN  0.941103E-001  0.189842       0.412882E-001            NaN            NaN
  1294.07        500.000        99.2897       0.376384                 NaN            NaN            NaN            NaN  0.102556       0.190860       0.404935E-001            NaN            NaN
  1292.92        500.000        99.2983       0.377153                 NaN            NaN            NaN            NaN  0.965033E-001  0.187974       0.400520E-001            NaN            NaN
  1291.77        500.000        99.3057       0.373708                 NaN            NaN            NaN            NaN  0.954567E-001  0.185711       0.393822E-001            NaN            NaN
  1290.62        500.000        99.3122       0.371153                 NaN            NaN            NaN            NaN  0.939486E-001  0.183907       0.387771E-001            NaN            NaN
  1289.47        500.000        99.3187       0.368424                 NaN            NaN            NaN            NaN  0.926365E-001  0.182084       0.381514E-001            NaN            NaN
  1288.32        500.000        99.3255       0.365576                 NaN            NaN            NaN            NaN  0.913267E-001  0.180098       0.375389E-001            NaN            NaN
  1287.17        500.000        99.3303       0.363329                 NaN            NaN            NaN            NaN  0.906294E-001  0.178670       0.370298E-001            NaN            NaN
  1286.03        500.000        99.3396       0.359521                 NaN            NaN            NaN            NaN  0.886157E-001  0.176010       0.362734E-001            NaN            NaN
  1284.88        500.000        99.3443       0.358713                 NaN            NaN            NaN            NaN  0.866782E-001  0.174609       0.357229E-001            NaN            NaN
  1283.73        500.000        99.3507       0.356092                 NaN            NaN            NaN            NaN  0.852632E-001  0.172849       0.351367E-001            NaN            NaN
  1282.58        500.000        99.3572       0.353197                 NaN            NaN            NaN            NaN  0.840483E-001  0.170952       0.345615E-001            NaN            NaN
  1281.43        500.000        99.3634       0.350101                 NaN            NaN            NaN            NaN  0.832565E-001  0.169210       0.340251E-001            NaN            NaN
  1280.28        500.000        99.3692       0.348348                 NaN            NaN            NaN            NaN  0.815353E-001  0.167519       0.334360E-001            NaN            NaN
  1279.13        500.000        99.3755       0.345623                 NaN            NaN            NaN            NaN  0.801749E-001  0.165789       0.328882E-001            NaN            NaN
  1277.98        500.000        97.1604       0.872016                 NaN            NaN            NaN            NaN  0.140702       0.413113       0.102626        1.31113                 NaN
  1276.84        500.000        91.3604        2.26684                 NaN            NaN            NaN            NaN  0.290132        1.05872       0.282133        4.74181                 NaN
  1275.69        500.000        92.0775        2.12206                 NaN            NaN            NaN            NaN  0.242772       0.975199       0.255316        4.32721                 NaN
  1274.54        500.000        92.6818        1.98621                 NaN            NaN            NaN            NaN  0.213954       0.904284       0.233499        3.98023                 NaN
  1273.39        500.000        93.2008        1.87114                 NaN            NaN            NaN            NaN  0.187234       0.843318       0.214678        3.68278                 NaN
  1272.24        500.000        93.6613        1.77104                 NaN            NaN            NaN            NaN  0.161044       0.788962       0.197937        3.41973                 NaN
  1271.09        500.000        94.0513        1.67848                 NaN            NaN            NaN            NaN  0.145084       0.742658       0.184144        3.19838                 NaN
  1269.94        500.000        94.4056        1.59991                 NaN            NaN            NaN            NaN  0.125244       0.700516       0.171373        2.99731                 NaN
  1268.80        500.000        94.7173        1.52337                 NaN            NaN            NaN            NaN  0.113748       0.663206       0.160472        2.82189                 NaN
  1267.65        500.000        95.0032        1.46067                 NaN            NaN            NaN            NaN  0.959075E-001  0.629090       0.150124        2.66102                 NaN
  1266.50        500.000        95.2524        1.39586                 NaN            NaN            NaN            NaN  0.894667E-001  0.598867       0.141579        2.52186                 NaN
  1265.35        500.000        95.4837        1.33871                 NaN            NaN            NaN            NaN  0.800327E-001  0.570809       0.133495        2.39321                 NaN
  1264.20        500.000        95.6923        1.29161                 NaN            NaN            NaN            NaN  0.679502E-001  0.545593       0.125938        2.27657                 NaN
  1263.05        500.000        95.8840        1.24309                 NaN            NaN            NaN            NaN  0.608934E-001  0.522073       0.119268        2.17068                 NaN
  1261.90        500.000        96.0532        1.19778                 NaN            NaN            NaN            NaN  0.573673E-001  0.501001       0.113473        2.07719                 NaN
  1260.75        500.000        96.8137       0.593135                 NaN            NaN            NaN            NaN  0.237437       0.428527       0.105106        1.82208                 NaN
  1259.61        500.000        95.7456        1.54016                 NaN            NaN            NaN            NaN            NaN  0.526970       0.106195        2.08105                 NaN
  1258.46        500.000        96.5277        1.11402                 NaN            NaN            NaN            NaN            NaN  0.434654       0.997307E-001   1.82389                 NaN
  1257.31        500.000        96.6370        1.08592                 NaN            NaN            NaN            NaN  0.188214E-005  0.423599       0.941061E-001   1.75933                 NaN
  1256.16        500.000        96.7508        1.02905                 NaN            NaN            NaN            NaN  0.221297E-001  0.412736       0.891838E-001   1.69607                 NaN
  1255.01        500.000        96.8515       0.975947                 NaN            NaN            NaN            NaN  0.413104E-001  0.401099       0.862447E-001   1.64390                 NaN
  1253.86        500.000        96.9732       0.963816                 NaN            NaN            NaN            NaN  0.235840E-001  0.385057       0.810095E-001   1.57331                 NaN
  1252.71        500.000        97.0635       0.933465                 NaN            NaN            NaN            NaN  0.240069E-001  0.373802       0.781334E-001   1.52710                 NaN
  1251.56        500.000        97.1611       0.910902                 NaN            NaN            NaN            NaN  0.170865E-001  0.361193       0.745952E-001   1.47515                 NaN
  1250.42        500.000        97.2430       0.890004                 NaN            NaN            NaN            NaN  0.150174E-001  0.350669       0.714648E-001   1.42987                 NaN
  1249.27        500.000        97.3256       0.863596                 NaN            NaN            NaN            NaN  0.159654E-001  0.339653       0.687898E-001   1.38641                 NaN
  1248.12        500.000        97.4036       0.841662                 NaN            NaN            NaN            NaN  0.142405E-001  0.329357       0.660890E-001   1.34506                 NaN
  1246.97        500.000        97.4831       0.822958                 NaN            NaN            NaN            NaN  0.868884E-002  0.319190       0.631130E-001   1.30298                 NaN
  1245.82        500.000        97.4456       0.815163                 NaN            NaN            NaN            NaN  0.849502E-002  0.325730       0.652460E-001   1.33981                 NaN
  1244.67        500.000        97.7216       0.781331                 NaN            NaN            NaN            NaN  0.678609E-005  0.285495       0.536124E-001   1.15796                 NaN
  1243.52        500.000        97.6787       0.767172                 NaN            NaN            NaN            NaN  0.549157E-002  0.292841       0.562092E-001   1.19959                 NaN
  1242.38        500.000        97.7438       0.753917                 NaN            NaN            NaN            NaN            NaN  0.284057       0.537528E-001   1.16446                 NaN
  1241.23        500.000        97.8073       0.696863                 NaN            NaN            NaN            NaN  0.329825E-001  0.279576       0.512081E-001   1.13203                 NaN
  1240.08        500.000        97.8608       0.715931                 NaN            NaN            NaN            NaN  0.150558E-003  0.267283       0.503624E-001   1.10547                 NaN
  1238.93        500.000        97.9133       0.700055                 NaN            NaN            NaN            NaN            NaN  0.260577       0.482225E-001   1.07781                 NaN
  1237.78        500.000        97.9676       0.682965                 NaN            NaN            NaN            NaN            NaN  0.253666       0.462406E-001   1.04951                 NaN
  1236.63        500.000        98.0177       0.667138                 NaN            NaN            NaN            NaN  0.790702E-003  0.248157       0.439765E-001   1.02228                 NaN
  1235.48        500.000        98.0743       0.647000                 NaN            NaN            NaN            NaN            NaN  0.239141       0.429857E-001  0.996574                 NaN
  1234.33        500.000        97.4323       0.250555                 NaN            NaN            NaN            NaN  0.401932       0.372068       0.586421E-001   1.48453                 NaN
  1233.19        500.000        98.7243       0.539923                 NaN            NaN            NaN            NaN  0.514646E-001  0.153602       0.206385E-001  0.510027                 NaN
  1232.04        500.000        98.3972       0.531387                 NaN            NaN            NaN            NaN            NaN  0.189261       0.389918E-001  0.843156                 NaN
  1230.89        500.000        97.7709       0.671951                 NaN            NaN            NaN            NaN            NaN  0.262805       0.566052E-001   1.23771                 NaN
  1229.74        500.000        97.8712       0.511194                 NaN            NaN            NaN            NaN  0.694082E-001  0.293392       0.530042E-001   1.20185                 NaN
  1228.59        500.000        99.3961       0.388406                 NaN            NaN            NaN            NaN            NaN  0.487413E-001  0.645439E-003  0.166065                 NaN
  1227.44        500.000        98.2380                 NaN            NaN            NaN            NaN            NaN  0.464129       0.256241       0.394770E-001   1.00219                 NaN
  1226.29        500.000        97.5029       0.741663                 NaN            NaN            NaN            NaN            NaN  0.328307       0.765102E-001   1.35064                 NaN
  1225.14        500.000        98.7968       0.410618E-001  0.363202                 NaN            NaN            NaN            NaN  0.110363       0.422341E-002  0.684388                 NaN
  1224.00        500.000        98.3949       0.628236                 NaN            NaN            NaN            NaN            NaN  0.994841E-001  0.565582E-001  0.820791                 NaN
  1222.85        500.000        99.1881       0.271618       0.216643E-002            NaN            NaN            NaN            NaN  0.167553       0.131676E-002  0.369270                 NaN
  1221.70        500.000        98.6777       0.482653                 NaN            NaN            NaN            NaN            NaN  0.144751       0.271097E-001  0.667771                 NaN
  1220.55        500.000        98.3910       0.336378       0.103066                 NaN            NaN            NaN            NaN  0.214372       0.565827E-001  0.898611                 NaN
  1219.40        500.000        98.6625       0.372702                 NaN            NaN            NaN            NaN            NaN  0.114013       0.287764E-001  0.821999                 NaN
  1218.25        500.000        99.0023       0.492360                 NaN            NaN            NaN            NaN            NaN  0.113756       0.815468E-002  0.383476                 NaN
  1217.10        500.000        98.1873       0.564092                 NaN            NaN            NaN            NaN            NaN  0.204860       0.284430E-001   1.01526                 NaN
  1215.95        500.000        99.3193       0.255153                 NaN            NaN            NaN            NaN            NaN  0.746780E-001  0.157819E-001  0.335052                 NaN
  1214.81        500.000        94.1891        1.03709                 NaN            NaN            NaN            NaN            NaN  0.555921       0.537327E-001   2.47518        1.68897     
  1213.66        500.000        88.6432        1.68323                 NaN            NaN            NaN            NaN            NaN  0.877398       0.103954        4.15096        4.54126     
  1212.51        500.000        89.0902        1.10563       0.582793                 NaN            NaN            NaN            NaN  0.884284       0.861894E-001   4.04511        4.20581     
  1211.36        500.000        96.4202                 NaN            NaN            NaN            NaN            NaN  0.302747       0.318997       0.322412E-001   1.38556        1.54030     
  1210.21        500.000        74.7995        4.45347       0.128833E-003            NaN            NaN            NaN  0.689870E-002   2.11134       0.150639        9.12123        9.35679     
