|6.6.6
Archiving\03_Data\Dfrac/QFM_m1.75/T13/T13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       Ni             O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             pxmn           q              ilm            San(TH)       
  1947.37        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.8941                 NaN            NaN  0.105862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.3228                 NaN            NaN  0.677179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.3287                 NaN            NaN  0.671301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.3340                 NaN            NaN  0.666023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.3377                 NaN            NaN  0.662280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3439                 NaN            NaN  0.656102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.3483                 NaN            NaN  0.651703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        98.5410                 NaN            NaN   1.45898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.4962                 NaN            NaN  0.503803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.4085                 NaN            NaN  0.591530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.8725                 NaN            NaN  0.127513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        98.8780                 NaN            NaN   1.12203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3799                 NaN            NaN  0.620091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3837                 NaN            NaN  0.616280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3876                 NaN            NaN  0.612395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3889                 NaN            NaN  0.607296                 NaN  0.380227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3885                 NaN            NaN  0.601499                 NaN  0.100397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4098                 NaN            NaN  0.580452                 NaN  0.973238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3730                 NaN            NaN  0.616604                 NaN  0.103706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3948                 NaN            NaN  0.595189                 NaN  0.100569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3706                 NaN            NaN  0.618909                 NaN  0.104557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.7320                 NaN            NaN  0.263485                 NaN  0.450072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.1074                 NaN            NaN  0.877799                 NaN  0.148195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4023                 NaN            NaN  0.587684                 NaN  0.100085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4162                 NaN            NaN  0.574114                 NaN  0.971559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.6423                 NaN            NaN  0.351632                 NaN  0.606489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.1859                 NaN            NaN  0.800556                 NaN  0.135671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4184                 NaN            NaN  0.571897                 NaN  0.974468E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3105                 NaN            NaN  0.677815                 NaN  0.116596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.6441                 NaN            NaN  0.349982                 NaN  0.596610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.3135                 NaN            NaN  0.674967                 NaN  0.115321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4261                 NaN            NaN  0.564195                 NaN  0.965981E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4269                 NaN            NaN  0.563487                 NaN  0.962334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4271                 NaN            NaN  0.563275                 NaN  0.960203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4295                 NaN            NaN  0.560832                 NaN  0.963541E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4334                 NaN            NaN  0.557153                 NaN  0.949533E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4288                 NaN            NaN  0.561609                 NaN  0.961860E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        97.7118                 NaN            NaN   2.25015                 NaN  0.380439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.9840                 NaN            NaN  0.160274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5286                 NaN            NaN  0.462602                 NaN  0.875379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4378                 NaN            NaN  0.552845                 NaN  0.938006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4346                 NaN            NaN  0.555988                 NaN  0.940644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.2722                 NaN            NaN  0.715636                 NaN  0.121153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.6036                 NaN            NaN  0.389789                 NaN  0.657721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4383                 NaN            NaN  0.552440                 NaN  0.929239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4341                 NaN            NaN  0.556537                 NaN  0.932427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2975                 NaN            NaN  0.690946                 NaN  0.115519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5773                 NaN            NaN  0.415794                 NaN  0.692065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4317                 NaN            NaN  0.559012                 NaN  0.928795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4356                 NaN            NaN  0.555192                 NaN  0.919384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.1136                 NaN            NaN  0.871550                 NaN  0.148762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.7528                 NaN            NaN  0.243675                 NaN  0.357225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4301                 NaN            NaN  0.560665                 NaN  0.920613E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4306                 NaN            NaN  0.560275                 NaN  0.915772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2028                 NaN            NaN  0.784485                 NaN  0.126992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.6532                 NaN            NaN  0.341259                 NaN  0.550871E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4227                 NaN            NaN  0.568144                 NaN  0.915608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4208                 NaN            NaN  0.569998                 NaN  0.918143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4265                 NaN            NaN  0.564487                 NaN  0.900163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4192                 NaN            NaN  0.571767                 NaN  0.908239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4178                 NaN            NaN  0.573165                 NaN  0.906069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4159                 NaN            NaN  0.575033                 NaN  0.904442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4133                 NaN            NaN  0.577707                 NaN  0.903671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4088                 NaN            NaN  0.582104                 NaN  0.906439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4090                 NaN            NaN  0.582021                 NaN  0.899358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4055                 NaN            NaN  0.585508                 NaN  0.900597E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4023                 NaN            NaN  0.588681                 NaN  0.900409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4634                 NaN            NaN  0.528538                 NaN  0.804383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3296                 NaN            NaN  0.660458                 NaN  0.997991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3968                 NaN            NaN  0.594244                 NaN  0.891661E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.0726                 NaN            NaN  0.913823                 NaN  0.136214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.7067                 NaN            NaN  0.289079                 NaN  0.426629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5931                 NaN            NaN  0.400974                 NaN  0.592589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.1707                 NaN            NaN  0.817303                 NaN  0.119894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3754                 NaN            NaN  0.615632                 NaN  0.899686E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3757                 NaN            NaN  0.615362                 NaN  0.890462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3682                 NaN            NaN  0.622835                 NaN  0.897628E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3677                 NaN            NaN  0.623428                 NaN  0.890904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3652                 NaN            NaN  0.625954                 NaN  0.888957E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3498                 NaN            NaN  0.641132                 NaN  0.906495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3601                 NaN            NaN  0.631027                 NaN  0.884945E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3538                 NaN            NaN  0.637369                 NaN  0.885338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3552                 NaN            NaN  0.635939                 NaN  0.881613E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3465                 NaN            NaN  0.644579                 NaN  0.888694E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3430                 NaN            NaN  0.648112                 NaN  0.887905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3395                 NaN            NaN  0.651559                 NaN  0.890474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3340                 NaN            NaN  0.657095                 NaN  0.891938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3731                 NaN            NaN  0.618406                 NaN  0.848368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.5132                 NaN            NaN  0.480591                 NaN  0.624904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.1042                 NaN            NaN  0.883977                 NaN  0.118146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3233                 NaN            NaN  0.667858                 NaN  0.886178E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3597                 NaN            NaN  0.632001                 NaN  0.834546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2781                 NaN            NaN  0.712498                 NaN  0.936994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3158                 NaN            NaN  0.675379                 NaN  0.884150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3116                 NaN            NaN  0.679539                 NaN  0.885008E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3107                 NaN            NaN  0.680517                 NaN  0.882419E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3078                 NaN            NaN  0.683315                 NaN  0.883586E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2970                 NaN            NaN  0.694060                 NaN  0.894055E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3124                 NaN            NaN  0.678894                 NaN  0.867968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3163                 NaN            NaN  0.675067                 NaN  0.861942E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2823                 NaN            NaN  0.708653                 NaN  0.901721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3010                 NaN            NaN  0.690222                 NaN  0.875161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2978                 NaN            NaN  0.693394                 NaN  0.877749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3002                 NaN            NaN  0.691030                 NaN  0.872124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2912                 NaN            NaN  0.699965                 NaN  0.880896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2958                 NaN            NaN  0.695437                 NaN  0.873595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2876                 NaN            NaN  0.703614                 NaN  0.881623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3001                 NaN            NaN  0.691232                 NaN  0.863092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.2937                 NaN            NaN  0.697578                 NaN  0.870104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2945                 NaN            NaN  0.696842                 NaN  0.868706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2950                 NaN            NaN  0.696360                 NaN  0.868090E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.2951                 NaN            NaN  0.696183                 NaN  0.866997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.2973                 NaN            NaN  0.694107                 NaN  0.862155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.1811                 NaN            NaN  0.808065                 NaN  0.107981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4138                 NaN            NaN  0.579743                 NaN  0.648282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3020                 NaN            NaN  0.689417                 NaN  0.855581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3004                 NaN            NaN  0.691032                 NaN  0.859096E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3050                 NaN            NaN  0.686460                 NaN  0.853017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3062                 NaN            NaN  0.685290                 NaN  0.851809E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.7661                 NaN            NaN  0.475779                 NaN  0.120549E-002  0.756909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5028                 NaN            NaN  0.237934                 NaN            NaN   1.25928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4505                 NaN            NaN  0.246060                 NaN            NaN   1.30342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        96.6798                 NaN            NaN  0.533183                 NaN  0.250226E-002   2.78455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.9561                 NaN            NaN            NaN            NaN            NaN  0.439090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.7899                 NaN            NaN  0.202095                 NaN            NaN   1.00799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5593                 NaN            NaN  0.225764                 NaN            NaN   1.21496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5839                 NaN            NaN  0.222149                 NaN            NaN   1.19390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6065                 NaN            NaN  0.217838                 NaN            NaN   1.17569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6297                 NaN            NaN  0.213963                 NaN            NaN   1.15631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6527                 NaN            NaN  0.211158                 NaN            NaN   1.13611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6747                 NaN            NaN  0.205647                 NaN            NaN   1.11964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6942                 NaN            NaN  0.201653                 NaN            NaN   1.10417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7157                 NaN            NaN  0.197482                 NaN            NaN   1.08680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7401                 NaN            NaN  0.195522                 NaN            NaN   1.06435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7574                 NaN            NaN  0.190387                 NaN            NaN   1.05223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7756                 NaN            NaN  0.187032                 NaN            NaN   1.03737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7956                 NaN            NaN  0.183664                 NaN            NaN   1.02070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8128                 NaN            NaN  0.179570                 NaN            NaN   1.00768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8293                 NaN            NaN  0.174331                 NaN            NaN  0.996411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7654                 NaN            NaN  0.182736                 NaN            NaN   1.05183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9470                 NaN            NaN  0.158508                 NaN            NaN  0.894490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8798                 NaN            NaN  0.164148                 NaN            NaN  0.956017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8982                 NaN            NaN  0.162675                 NaN            NaN  0.939159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9113                 NaN            NaN  0.159578                 NaN            NaN  0.929154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9280                 NaN            NaN  0.156940                 NaN            NaN  0.915076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9365                 NaN            NaN  0.157830                 NaN            NaN  0.905713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.1634                 NaN            NaN  0.265908                 NaN            NaN   1.57064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.7779                 NaN            NaN  0.329819E-001            NaN            NaN  0.189123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9847                 NaN            NaN  0.143939                 NaN            NaN  0.871362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
