|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1415.17        500.000        98.0998                 NaN            NaN  0.548177       0.804079       0.547979                 NaN            NaN            NaN
  1413.75        500.000        98.1385                 NaN            NaN  0.537465       0.787241       0.536828                 NaN            NaN            NaN
  1412.33        500.000        98.1721                 NaN            NaN  0.527508       0.773019       0.527384                 NaN            NaN            NaN
  1410.91        500.000        98.2020                 NaN            NaN  0.518234       0.760755       0.519036                 NaN            NaN            NaN
  1409.49        500.000        98.2427                 NaN            NaN  0.743139       0.507149       0.506963                 NaN            NaN            NaN
  1408.07        500.000        98.2698                 NaN            NaN  0.732113       0.498793       0.499304                 NaN            NaN            NaN
  1406.64        500.000        98.3000                 NaN            NaN  0.489761       0.719172       0.491058                 NaN            NaN            NaN
  1405.22        500.000        98.3325                 NaN            NaN  0.705581       0.480796       0.481122                 NaN            NaN            NaN
  1403.80        500.000        98.3595                 NaN            NaN  0.472528       0.694441       0.473563                 NaN            NaN            NaN
  1402.38        500.000        98.3876                 NaN            NaN  0.464162       0.682817       0.465416                 NaN            NaN            NaN
  1400.96        500.000        98.4147                 NaN            NaN  0.456072       0.671628       0.457567                 NaN            NaN            NaN
  1399.53        500.000        98.4409                 NaN            NaN  0.660644       0.448486       0.449931                 NaN            NaN            NaN
  1398.11        500.000        98.4669                 NaN            NaN  0.440632       0.649923       0.442578                 NaN            NaN            NaN
  1396.69        500.000        98.4888                 NaN            NaN  0.434494       0.640508       0.436179                 NaN            NaN            NaN
  1395.27        500.000        98.5181                 NaN            NaN  0.629242       0.425107       0.427590                 NaN            NaN            NaN
  1393.85        500.000        98.5386                 NaN            NaN  0.419527       0.620239       0.421622                 NaN            NaN            NaN
  1392.42        500.000        98.5627                 NaN            NaN  0.411853       0.610926       0.414507                 NaN            NaN            NaN
  1391.00        500.000        98.5843                 NaN            NaN  0.601937       0.405433       0.408305                 NaN            NaN            NaN
  1389.58        500.000        98.6074                 NaN            NaN  0.398574       0.592512       0.401548                 NaN            NaN            NaN
  1388.16        500.000        98.6280                 NaN            NaN  0.583638       0.392754       0.395632                 NaN            NaN            NaN
  1386.74        500.000        98.6491                 NaN            NaN  0.386056       0.575528       0.389299                 NaN            NaN            NaN
  1385.32        500.000        98.6689                 NaN            NaN  0.567259       0.380254       0.383606                 NaN            NaN            NaN
  1383.89        500.000        98.6889                 NaN            NaN  0.373842       0.559558       0.377739                 NaN            NaN            NaN
  1382.47        500.000        98.7083                 NaN            NaN  0.551605       0.368081       0.371985                 NaN            NaN            NaN
  1381.05        500.000        98.7264                 NaN            NaN  0.363050       0.543961       0.366553                 NaN            NaN            NaN
  1379.63        500.000        98.7456                 NaN            NaN  0.536766       0.356491       0.361180                 NaN            NaN            NaN
  1378.21        500.000        98.7616                 NaN            NaN  0.351762       0.530230       0.356388                 NaN            NaN            NaN
  1376.78        500.000        98.7817                 NaN            NaN  0.345780       0.522083       0.350396                 NaN            NaN            NaN
  1375.36        500.000        98.7974                 NaN            NaN  0.341194       0.515725       0.345717                 NaN            NaN            NaN
  1373.94        500.000        98.8124                 NaN            NaN  0.509912       0.336305       0.341356                 NaN            NaN            NaN
  1372.52        500.000        98.8318                 NaN            NaN  0.330638       0.501912       0.335644                 NaN            NaN            NaN
  1371.10        500.000        98.8477                 NaN            NaN  0.495811       0.325603       0.330849                 NaN            NaN            NaN
  1369.68        500.000        98.8588                 NaN            NaN  0.491307       0.322306       0.327583                 NaN            NaN            NaN
  1368.25        500.000        98.8787                 NaN            NaN  0.483541       0.316250       0.321550                 NaN            NaN            NaN
  1366.83        500.000        98.8914                 NaN            NaN  0.312240       0.478475       0.317838                 NaN            NaN            NaN
  1365.41        500.000        98.9064                 NaN            NaN  0.307088       0.473061       0.313466                 NaN            NaN            NaN
  1363.99        500.000        98.9214                 NaN            NaN  0.302720       0.466835       0.309027                 NaN            NaN            NaN
  1362.57        500.000        98.9309                 NaN            NaN  0.300645       0.462617       0.305872                 NaN            NaN            NaN
  1361.14        500.000        98.9497                 NaN            NaN  0.455822       0.294058       0.300421                 NaN            NaN            NaN
  1359.72        500.000        98.9601                 NaN            NaN  0.290160       0.452134       0.297653                 NaN            NaN            NaN
  1358.30        500.000        98.9769                 NaN            NaN  0.445176       0.285669       0.292286                 NaN            NaN            NaN
  1356.88        500.000        98.9870                 NaN            NaN  0.441045       0.282573       0.289383                 NaN            NaN            NaN
  1355.46        500.000        99.0008                 NaN            NaN  0.278123       0.435769       0.285300                 NaN            NaN            NaN
  1354.04        500.000        99.0115                 NaN            NaN  0.431573       0.274922       0.282048                 NaN            NaN            NaN
  1352.61        500.000        99.0243                 NaN            NaN  0.426819       0.270702       0.278223                 NaN            NaN            NaN
  1351.19        500.000        99.0364                 NaN            NaN  0.422167       0.266746       0.274719                 NaN            NaN            NaN
  1349.77        500.000        99.0485       0.538866E-004            NaN  0.417219       0.263352       0.270834                 NaN            NaN            NaN
  1348.35        500.000        99.0592                 NaN            NaN  0.259985       0.413098       0.267740                 NaN            NaN            NaN
  1346.93        500.000        99.0708                 NaN            NaN  0.408874       0.256042       0.264258                 NaN            NaN            NaN
  1345.50        500.000        99.0812                 NaN            NaN  0.404635       0.253045       0.261090                 NaN            NaN            NaN
  1344.08        500.000        99.0918                 NaN            NaN  0.249483       0.400839       0.257902                 NaN            NaN            NaN
  1342.66        500.000        99.1026       0.113096E-005            NaN  0.396217       0.246537       0.254645                 NaN            NaN            NaN
  1341.24        500.000        99.1156       0.140155E-001            NaN  0.367850       0.250238       0.252271                 NaN            NaN            NaN
  1339.82        500.000        99.1369       0.901532E-001            NaN  0.290114       0.228623       0.254213                 NaN            NaN            NaN
  1338.40        500.000        99.1546       0.135873                 NaN  0.143336       0.312538       0.253682                 NaN            NaN            NaN
  1336.97        500.000        99.1650       0.135915                 NaN  0.310088       0.138470       0.250549                 NaN            NaN            NaN
  1335.55        500.000        99.1751       0.135617                 NaN  0.307499       0.134380       0.247426                 NaN            NaN            NaN
  1334.13        500.000        99.1857       0.134808                 NaN  0.304064       0.131322       0.244063                 NaN            NaN            NaN
  1332.71        500.000        99.1952       0.134325                 NaN  0.127259       0.302152       0.241092                 NaN            NaN            NaN
  1331.29        500.000        99.2030       0.132923                 NaN  0.298382       0.127043       0.238620                 NaN            NaN            NaN
  1329.86        500.000        99.2163       0.134138                 NaN  0.117890       0.297077       0.234561                 NaN            NaN            NaN
  1328.44        500.000        99.2240       0.131199                 NaN  0.119287       0.293755       0.231758                 NaN            NaN            NaN
  1327.02        500.000        99.2334       0.131167                 NaN  0.115239       0.291244       0.228945                 NaN            NaN            NaN
  1325.60        500.000        99.2431       0.130252                 NaN  0.112126       0.288635       0.225895                 NaN            NaN            NaN
  1324.18        500.000        99.2515       0.129166                 NaN  0.110538       0.285685       0.223143                 NaN            NaN            NaN
  1322.76        500.000        99.2605       0.128795                 NaN  0.282804       0.107394       0.220477                 NaN            NaN            NaN
  1321.33        500.000        99.2696       0.126858                 NaN  0.106210       0.280069       0.217285                 NaN            NaN            NaN
  1319.91        500.000        99.2746       0.126317                 NaN  0.277862       0.105312       0.215863                 NaN            NaN            NaN
  1318.49        500.000        99.2886       0.124812                 NaN  0.274987       0.100440       0.211114                 NaN            NaN            NaN
  1317.07        500.000        99.2956       0.124734                 NaN  0.975373E-001  0.273086       0.209084                 NaN            NaN            NaN
  1315.65        500.000        99.3024       0.122806                 NaN  0.982787E-001  0.269687       0.206805                 NaN            NaN            NaN
  1314.22        500.000        99.3104       0.121076                 NaN  0.974914E-001  0.266926       0.204065                 NaN            NaN            NaN
  1312.80        500.000        99.3183       0.119873                 NaN  0.958929E-001  0.264379       0.201566                 NaN            NaN            NaN
  1311.38        500.000        99.3259       0.118656                 NaN  0.261938       0.944256E-001  0.199093                 NaN            NaN            NaN
  1309.96        500.000        99.3341       0.117239                 NaN  0.258916       0.933046E-001  0.196438                 NaN            NaN            NaN
  1308.54        500.000        99.3413       0.116916                 NaN  0.904168E-001  0.257126       0.194269                 NaN            NaN            NaN
  1307.12        500.000        99.3491       0.117992                 NaN  0.257506       0.834086E-001  0.191983                 NaN            NaN            NaN
  1305.69        500.000        99.3554       0.109097                 NaN  0.994126E-001  0.247200       0.188906                 NaN            NaN            NaN
  1304.27        500.000        99.3629       0.110631                 NaN  0.914662E-001  0.248214       0.186807                 NaN            NaN            NaN
  1302.85        500.000        99.3700       0.109739                 NaN  0.900730E-001  0.245578       0.184624                 NaN            NaN            NaN
  1301.43        500.000        99.3768       0.107816                 NaN  0.899954E-001  0.243137       0.182294                 NaN            NaN            NaN
  1300.01        500.000        99.3827       0.105575                 NaN  0.240324       0.911985E-001  0.180231                 NaN            NaN            NaN
  1298.58        500.000        99.3898       0.104546                 NaN  0.238179       0.895618E-001  0.177882                 NaN            NaN            NaN
  1297.16        500.000        99.3965       0.102648                 NaN  0.235136       0.900087E-001  0.175699                 NaN            NaN            NaN
  1295.74        500.000        99.4033       0.101486                 NaN  0.890328E-001  0.232601       0.173531                 NaN            NaN            NaN
  1294.32        500.000        99.4094       0.990753E-001            NaN  0.905219E-001  0.229590       0.171391                 NaN            NaN            NaN
  1292.90        500.000        99.4154       0.969710E-001            NaN  0.226794       0.914804E-001  0.169353                 NaN            NaN            NaN
  1291.48        500.000        99.4223       0.960611E-001            NaN  0.224324       0.900990E-001  0.167243                 NaN            NaN            NaN
  1290.05        500.000        98.9038       0.775164E-001            NaN  0.260649       0.218221       0.221126       0.318659                 NaN            NaN
  1288.63        500.000        88.3379                 NaN            NaN   2.27154        1.25132        1.35517        6.78405                 NaN            NaN
  1287.21        500.000        89.5235                 NaN            NaN   1.13222        2.04699        1.22450        6.07276                 NaN            NaN
  1285.79        500.000        90.5251                 NaN            NaN   1.03123        1.85435        1.11355        5.47574                 NaN            NaN
  1284.37        500.000        91.3517                 NaN            NaN   1.69357       0.951346        1.02155        4.98187                 NaN            NaN
  1282.94        500.000        92.0667                 NaN            NaN   1.55526       0.878907       0.941494        4.55761                 NaN            NaN
  1281.52        500.000        92.6722                 NaN            NaN   1.43937       0.817135       0.873804        4.19748                 NaN            NaN
  1280.10        500.000        93.2057                 NaN            NaN  0.760768        1.33712       0.813634        3.88282                 NaN            NaN
  1278.68        500.000        93.6683                 NaN            NaN   1.25003       0.711020       0.761416        3.60922                 NaN            NaN
  1277.26        500.000        94.0612                 NaN            NaN   1.17628       0.669974       0.717274        3.37529                 NaN            NaN
  1275.83        500.000        94.4501                 NaN            NaN   1.10319       0.624013       0.672254        3.15040                 NaN            NaN
  1274.41        500.000        94.7568                 NaN            NaN   1.04820       0.588851       0.637337        2.96885                 NaN            NaN
  1272.99        500.000        95.0462                 NaN            NaN  0.554479       0.995906       0.604046        2.79938                 NaN            NaN
  1271.57        500.000        95.3030                 NaN            NaN  0.952638       0.520751       0.574272        2.64930                 NaN            NaN
  1270.15        500.000        95.5440                 NaN            NaN  0.486962       0.913646       0.546428        2.50892                 NaN            NaN
  1268.73        500.000        95.7567                 NaN            NaN  0.886405       0.450210       0.521529        2.38512                 NaN            NaN
  1267.30        500.000        95.9513                 NaN            NaN  0.874081       0.404172       0.498949        2.27148                 NaN            NaN
  1265.88        500.000        96.1305                 NaN            NaN  0.366941       0.857105       0.477780        2.16768                 NaN            NaN
  1264.46        500.000        96.3000                 NaN            NaN   1.17086                 NaN  0.458019        2.07110                 NaN            NaN
  1263.04        500.000        97.1325                 NaN            NaN  0.711815                 NaN  0.369975        1.78574                 NaN            NaN
  1261.62        500.000        95.8868                 NaN            NaN   1.51646                 NaN  0.493918        2.10281                 NaN            NaN
  1260.19        500.000        96.7284                 NaN            NaN   1.04175                 NaN  0.404904        1.82499                 NaN            NaN
  1258.77        500.000        96.8492                 NaN            NaN   1.00499                 NaN  0.391048        1.75475                 NaN            NaN
  1257.35        500.000        96.9678                 NaN            NaN  0.967669                 NaN  0.376429        1.68810                 NaN            NaN
  1255.93        500.000        97.0700                 NaN            NaN  0.937673                 NaN  0.363931        1.62835                 NaN            NaN
  1254.51        500.000        97.1670                 NaN            NaN  0.907906                 NaN  0.352809        1.57230                 NaN            NaN
  1253.09        500.000        97.2636                 NaN            NaN  0.877994                 NaN  0.340550        1.51781                 NaN            NaN
  1251.66        500.000        97.3498                 NaN            NaN  0.851506                 NaN  0.329749        1.46890                 NaN            NaN
  1250.24        500.000        97.4355                 NaN            NaN  0.825841                 NaN  0.318366        1.42028                 NaN            NaN
  1248.82        500.000        97.5126                 NaN            NaN  0.802277                 NaN  0.308494        1.37665                 NaN            NaN
  1247.40        500.000        97.5962                 NaN            NaN  0.774850                 NaN  0.297938        1.33105                 NaN            NaN
  1245.98        500.000        97.6626                 NaN            NaN  0.754949                 NaN  0.290375        1.29210                 NaN            NaN
  1244.55        500.000        97.7241                 NaN            NaN  0.737013                 NaN  0.282435        1.25649                 NaN            NaN
  1243.13        500.000        97.7876                 NaN            NaN  0.717599                 NaN  0.273983        1.22083                 NaN            NaN
  1241.71        500.000        97.8509                 NaN            NaN  0.697744                 NaN  0.265053        1.18627                 NaN            NaN
  1240.29        500.000        97.9048                 NaN            NaN  0.681982                 NaN  0.258205        1.15506                 NaN            NaN
  1238.87        500.000        97.9591                 NaN            NaN  0.664612                 NaN  0.253082        1.12321                 NaN            NaN
  1237.45        500.000        98.0144                 NaN            NaN  0.646574                 NaN  0.246655        1.09240                 NaN            NaN
  1236.02        500.000        98.0650                 NaN            NaN  0.631742                 NaN  0.238048        1.06517                 NaN            NaN
  1234.60        500.000        98.1102                 NaN            NaN  0.618198                 NaN  0.232432        1.03914                 NaN            NaN
  1233.18        500.000        98.1604                 NaN            NaN  0.601323                 NaN  0.227125        1.01120                 NaN            NaN
  1231.76        500.000        98.2063                 NaN            NaN  0.587409                 NaN  0.219409       0.986879                 NaN            NaN
  1230.34        500.000        98.2413                 NaN            NaN  0.577977                 NaN  0.215422       0.965345                 NaN            NaN
  1228.91        500.000        98.2824                 NaN            NaN  0.564481                 NaN  0.211165       0.941971                 NaN            NaN
  1227.49        500.000        98.3226                 NaN            NaN  0.552641                 NaN  0.204419       0.920383                 NaN            NaN
  1226.07        500.000        98.3561                 NaN            NaN  0.542611                 NaN  0.200980       0.900269                 NaN            NaN
  1224.65        500.000        98.3959                 NaN            NaN  0.529824                 NaN  0.194631       0.879619                 NaN            NaN
  1223.23        500.000        98.4319                 NaN            NaN  0.518739                 NaN  0.190024       0.859351                 NaN            NaN
  1221.81        500.000        98.4093                 NaN            NaN  0.507447                 NaN  0.192574       0.875624       0.150194E-001            NaN
  1220.38        500.000        98.3631                 NaN            NaN  0.493189                 NaN  0.196524       0.908794       0.384095E-001            NaN
  1218.96        500.000        98.3992                 NaN            NaN  0.484470                 NaN  0.191613       0.887990       0.366800E-001            NaN
  1217.54        500.000        98.4414                 NaN            NaN  0.471129                 NaN  0.184870       0.866989       0.356316E-001            NaN
  1216.12        500.000        98.4819                 NaN            NaN  0.459214                 NaN  0.180297       0.844810       0.338211E-001            NaN
  1214.70        500.000        97.4314                 NaN            NaN  0.240305       0.244966       0.418811        1.56272       0.101826                 NaN
  1213.27        500.000        98.9170                 NaN            NaN  0.273830       0.161379       0.208766       0.417094       0.219268E-001            NaN
  1211.85        500.000        98.6948                 NaN            NaN  0.529240                 NaN            NaN  0.772222       0.378505E-002            NaN
  1210.43        500.000        98.5431                 NaN            NaN  0.266100E-001            NaN  0.787390E-001   1.26803       0.835596E-001            NaN
  1209.01        500.000        91.3591                 NaN            NaN  0.755712       0.132307       0.621722        3.67442       0.917829E-001   3.36491     
  1207.59        500.000        97.4518                 NaN            NaN  0.171792E-001   1.23526       0.469299       0.825493E-001  0.745777E-001  0.669354     
  1206.17        500.000        90.2016                 NaN            NaN  0.930688                 NaN  0.639857        4.60436       0.260127E-002   3.62085     
  1204.74        500.000        94.4771                 NaN            NaN  0.350250       0.523604       0.453941        2.12525       0.420233E-001   2.02787     
  1203.32        500.000        96.9652                 NaN            NaN  0.587303       0.839979       0.422389       0.607567                 NaN  0.577592     
  1201.90        500.000        65.0527                 NaN            NaN   5.00529                 NaN   2.87405        13.2819       0.164713        13.6213     
  1200.48        500.000        97.9557                 NaN            NaN  0.351630                 NaN  0.161513       0.763549       0.135460E-001  0.754068     
