|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.25/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              Sp(TH)        
  1546.78        500.000        99.2967       0.681866       0.214831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        500.000        99.2982       0.682035       0.197781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.3111       0.670127       0.187581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        500.000        99.1837       0.791264       0.250475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        500.000        99.4478       0.539590       0.125897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        500.000        99.3205       0.664160       0.153540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000        99.3292       0.653245       0.175625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        500.000        99.3373       0.647716       0.150121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        500.000        99.4203       0.564452       0.152605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000        99.2596       0.729262       0.111106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        500.000        99.3443       0.645489       0.102584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000        99.2439       0.746373       0.973639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000        99.4645       0.527432       0.810430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        500.000        99.3616       0.629681       0.870511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000        99.3649       0.627847       0.723316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        500.000        99.3710       0.618620       0.103740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000        99.3737       0.616943       0.931230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        500.000        99.3777       0.619138       0.315668E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        500.000        98.6837        1.30324       0.130901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        500.000        99.9786       0.213390E-001  0.495549E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        500.000        99.5996       0.392221       0.817235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        500.000        99.3012       0.676039       0.227357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000        99.3979       0.602012       0.104186E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        500.000        99.2494       0.750576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        500.000        99.5987       0.401258       0.117414E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        500.000        99.3698       0.630188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.4106       0.589404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        500.000        99.4211       0.555930       0.229740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000        99.4890       0.510960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        500.000        99.3526       0.647408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000        99.4266       0.573379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        500.000        99.4307       0.569325       0.227339E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.4337       0.566288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        500.000        99.4361       0.563877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000        99.4406       0.559350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        500.000        99.4401       0.559873       0.170817E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        500.000        99.4452       0.554767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        500.000        99.4499       0.550146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.4496       0.550384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        500.000        99.4537       0.546348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        500.000        99.3861       0.256464                 NaN  0.357408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        500.000        99.3035                 NaN            NaN  0.696521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        500.000        99.3039                 NaN            NaN  0.696109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        500.000        99.3028                 NaN            NaN  0.697229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        500.000        99.3008                 NaN            NaN  0.699154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        500.000        99.2985                 NaN            NaN  0.701506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000        99.2960                 NaN            NaN  0.703978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        500.000        99.2263                 NaN            NaN  0.773713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        500.000        99.5313                 NaN            NaN  0.468694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        500.000        99.9175                 NaN            NaN  0.660221E-001  0.165070E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        97.8386                 NaN            NaN  0.890028        1.27136                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.22        500.000        98.8199                 NaN            NaN  0.712887       0.467220                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        500.000        98.8325                 NaN            NaN  0.460900       0.706577                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.30        500.000        98.8430                 NaN            NaN  0.456759       0.700219                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.83        500.000        98.8574                 NaN            NaN  0.693162       0.449438                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.37        500.000        98.8679                 NaN            NaN  0.444929       0.687168                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.91        500.000        98.8797                 NaN            NaN  0.680447       0.439857                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.45        500.000        98.8901                 NaN            NaN  0.435059       0.674868                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.99        500.000        98.9015                 NaN            NaN  0.669138       0.429341                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.52        500.000        98.9127                 NaN            NaN  0.662844       0.424427                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.06        500.000        98.9212                 NaN            NaN  0.658467       0.420336                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.60        500.000        98.9334                 NaN            NaN  0.651359       0.415275                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        98.9436                 NaN            NaN  0.410096       0.646285                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.68        500.000        98.9537                 NaN            NaN  0.405622       0.640715                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.21        500.000        98.9632                 NaN            NaN  0.400978       0.635860                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.75        500.000        98.9708                 NaN            NaN  0.632662       0.396572                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000        98.9832                 NaN            NaN  0.391805       0.625024                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.83        500.000        98.9891                 NaN            NaN  0.623372       0.387520                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.37        500.000        98.7744                 NaN            NaN  0.482736       0.653365                 NaN  0.895295E-001            NaN            NaN            NaN            NaN
  1445.90        500.000        96.5379                 NaN            NaN   1.02681        1.46413                 NaN  0.971188                 NaN            NaN            NaN            NaN
  1444.44        500.000        96.6332                 NaN            NaN   1.42275       0.999314                 NaN  0.944769                 NaN            NaN            NaN            NaN
  1442.98        500.000        96.7219                 NaN            NaN  0.974027        1.38379                 NaN  0.920268                 NaN            NaN            NaN            NaN
  1441.52        500.000        96.8074                 NaN            NaN  0.949859        1.34626                 NaN  0.896494                 NaN            NaN            NaN            NaN
  1440.06        500.000        96.8873                 NaN            NaN   1.31146       0.926579                 NaN  0.874667                 NaN            NaN            NaN            NaN
  1438.59        500.000        96.9654                 NaN            NaN  0.904292        1.27731                 NaN  0.853028                 NaN            NaN            NaN            NaN
  1437.13        500.000        97.0414                 NaN            NaN  0.882501        1.24459                 NaN  0.831519                 NaN            NaN            NaN            NaN
  1435.67        500.000        97.1129                 NaN            NaN   1.21348       0.861937                 NaN  0.811671                 NaN            NaN            NaN            NaN
  1434.21        500.000        97.1785                 NaN            NaN   1.18442       0.843754                 NaN  0.793353                 NaN            NaN            NaN            NaN
  1432.75        500.000        97.2462                 NaN            NaN   1.15578       0.823397                 NaN  0.774592                 NaN            NaN            NaN            NaN
  1431.28        500.000        97.3099                 NaN            NaN  0.804742        1.12871                 NaN  0.756655                 NaN            NaN            NaN            NaN
  1429.82        500.000        97.3704                 NaN            NaN  0.787283        1.10261                 NaN  0.739684                 NaN            NaN            NaN            NaN
  1428.36        500.000        97.4261                 NaN            NaN  0.771041        1.07877                 NaN  0.724098                 NaN            NaN            NaN            NaN
  1426.90        500.000        97.4843                 NaN            NaN  0.754167        1.05373                 NaN  0.707770                 NaN            NaN            NaN            NaN
  1425.44        500.000        97.5364                 NaN            NaN  0.738598        1.03201                 NaN  0.693041                 NaN            NaN            NaN            NaN
  1423.97        500.000        97.5894                 NaN            NaN  0.722738        1.00949                 NaN  0.678411                 NaN            NaN            NaN            NaN
  1422.51        500.000        97.6307                 NaN            NaN  0.709972       0.992244                 NaN  0.667070                 NaN            NaN            NaN            NaN
  1421.05        500.000        97.6829                 NaN            NaN  0.970985       0.694408                 NaN  0.651728                 NaN            NaN            NaN            NaN
  1419.59        500.000        97.7356                 NaN            NaN  0.947743       0.679825                 NaN  0.636861                 NaN            NaN            NaN            NaN
  1418.13        500.000        97.7752                 NaN            NaN  0.930734       0.668260                 NaN  0.625788                 NaN            NaN            NaN            NaN
  1416.66        500.000        97.8204                 NaN            NaN  0.655284       0.911506                 NaN  0.612839                 NaN            NaN            NaN            NaN
  1415.20        500.000        97.8607                 NaN            NaN  0.642652       0.895169                 NaN  0.601490                 NaN            NaN            NaN            NaN
  1413.74        500.000        97.8989                 NaN            NaN  0.879295       0.631079                 NaN  0.590712                 NaN            NaN            NaN            NaN
  1412.28        500.000        97.9406                 NaN            NaN  0.861958       0.618605                 NaN  0.578868                 NaN            NaN            NaN            NaN
  1410.82        500.000        97.9746                 NaN            NaN  0.608760       0.847626                 NaN  0.569052                 NaN            NaN            NaN            NaN
  1409.35        500.000        98.0137                 NaN            NaN  0.831734       0.596529                 NaN  0.557999                 NaN            NaN            NaN            NaN
  1407.89        500.000        98.0472                 NaN            NaN  0.817751       0.586650                 NaN  0.548365                 NaN            NaN            NaN            NaN
  1406.43        500.000        98.0823                 NaN            NaN  0.575856       0.803323                 NaN  0.538511                 NaN            NaN            NaN            NaN
  1404.97        500.000        98.1130                 NaN            NaN  0.567157       0.790278                 NaN  0.529531                 NaN            NaN            NaN            NaN
  1403.51        500.000        98.1451                 NaN            NaN  0.778595       0.556005                 NaN  0.520340                 NaN            NaN            NaN            NaN
  1402.04        500.000        98.1763                 NaN            NaN  0.764679       0.547688                 NaN  0.511356                 NaN            NaN            NaN            NaN
  1400.58        500.000        98.2085                 NaN            NaN  0.536906       0.752547                 NaN  0.502014                 NaN            NaN            NaN            NaN
  1399.12        500.000        98.2358                 NaN            NaN  0.740927       0.528926                 NaN  0.494359                 NaN            NaN            NaN            NaN
  1397.66        500.000        98.2575                 NaN            NaN  0.732640       0.522038                 NaN  0.487845                 NaN            NaN            NaN            NaN
  1396.20        500.000        98.2944                 NaN            NaN  0.511078       0.717341                 NaN  0.477201                 NaN            NaN            NaN            NaN
  1394.73        500.000        98.3187                 NaN            NaN  0.503321       0.707653                 NaN  0.470368                 NaN            NaN            NaN            NaN
  1393.27        500.000        98.3449                 NaN            NaN  0.697212       0.495053                 NaN  0.462857                 NaN            NaN            NaN            NaN
  1391.81        500.000        98.3691                 NaN            NaN  0.687452       0.487573                 NaN  0.455916                 NaN            NaN            NaN            NaN
  1390.35        500.000        98.3939                 NaN            NaN  0.480075       0.677454                 NaN  0.448579                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.4181                 NaN  0.174934E-005  0.472548       0.667847                 NaN  0.441500                 NaN            NaN            NaN            NaN
  1387.42        500.000        98.4407                 NaN            NaN  0.659178       0.465117                 NaN  0.435026                 NaN            NaN            NaN            NaN
  1385.96        500.000        98.4710                 NaN  0.162529       0.524428       0.394452                 NaN  0.447628                 NaN            NaN            NaN            NaN
  1384.50        500.000        98.4945                 NaN  0.180439       0.525334       0.356728                 NaN  0.442975                 NaN            NaN            NaN            NaN
  1383.04        500.000        98.5186                 NaN  0.182286       0.343113       0.519693                 NaN  0.436329                 NaN            NaN            NaN            NaN
  1381.58        500.000        98.5356                 NaN  0.184895       0.334011       0.513137                 NaN  0.432362                 NaN            NaN            NaN            NaN
  1380.11        500.000        98.5685                 NaN  0.184433       0.507870       0.317466                 NaN  0.421749                 NaN            NaN            NaN            NaN
  1378.65        500.000        98.5828                 NaN  0.186104       0.309062       0.504027                 NaN  0.417974                 NaN            NaN            NaN            NaN
  1377.19        500.000        98.6028                 NaN  0.187449       0.499575       0.297864                 NaN  0.412307                 NaN            NaN            NaN            NaN
  1375.73        500.000        98.6225                 NaN  0.188744       0.287300       0.494723                 NaN  0.406712                 NaN            NaN            NaN            NaN
  1374.27        500.000        98.6390                 NaN  0.190203       0.277287       0.491331                 NaN  0.402139                 NaN            NaN            NaN            NaN
  1372.80        500.000        98.6643                 NaN  0.190738       0.484921       0.265485                 NaN  0.394547                 NaN            NaN            NaN            NaN
  1371.34        500.000        98.6797                 NaN  0.192013       0.481365       0.256675                 NaN  0.390296                 NaN            NaN            NaN            NaN
  1369.88        500.000        98.6980                 NaN  0.193329       0.245893       0.477677                 NaN  0.385094                 NaN            NaN            NaN            NaN
  1368.42        500.000        98.7150                 NaN  0.193506       0.238041       0.473445                 NaN  0.380013                 NaN            NaN            NaN            NaN
  1366.96        500.000        98.7336                 NaN  0.195011       0.227843       0.468746                 NaN  0.374789                 NaN            NaN            NaN            NaN
  1365.49        500.000        98.7507                 NaN  0.196548       0.217535       0.465307                 NaN  0.369936                 NaN            NaN            NaN            NaN
  1364.03        500.000        98.7673                 NaN  0.195866       0.460923       0.211113                 NaN  0.364799                 NaN            NaN            NaN            NaN
  1362.57        500.000        98.7830                 NaN  0.197043       0.202127       0.457499                 NaN  0.360345                 NaN            NaN            NaN            NaN
  1361.11        500.000        98.7996                 NaN  0.197636       0.193835       0.453430                 NaN  0.355495                 NaN            NaN            NaN            NaN
  1359.65        500.000        98.8113                 NaN  0.198629       0.451618       0.186506                 NaN  0.351901                 NaN            NaN            NaN            NaN
  1358.19        500.000        98.8315                 NaN  0.198226       0.445372       0.178833                 NaN  0.346024                 NaN            NaN            NaN            NaN
  1356.72        500.000        98.8434                 NaN  0.198845       0.172246       0.443065                 NaN  0.342427                 NaN            NaN            NaN            NaN
  1355.26        500.000        98.8605                 NaN  0.199044       0.439036       0.163965                 NaN  0.337494                 NaN            NaN            NaN            NaN
  1353.80        500.000        98.8744                 NaN  0.199706       0.435905       0.156602                 NaN  0.333401                 NaN            NaN            NaN            NaN
  1352.34        500.000        98.8880                 NaN  0.200968       0.432661       0.148741                 NaN  0.329631                 NaN            NaN            NaN            NaN
  1350.88        500.000        98.9022                 NaN  0.199529       0.143916       0.429437                 NaN  0.324901                 NaN            NaN            NaN            NaN
  1349.41        500.000        98.9169                 NaN  0.199484       0.137709       0.425279                 NaN  0.320584                 NaN            NaN            NaN            NaN
  1347.95        500.000        98.9296                 NaN  0.200534       0.422780       0.130086                 NaN  0.316971                 NaN            NaN            NaN            NaN
  1346.49        500.000        98.9424                 NaN  0.199799       0.125170       0.419583                 NaN  0.313041                 NaN            NaN            NaN            NaN
  1345.03        500.000        98.9561                 NaN  0.199011       0.415683       0.120450                 NaN  0.308707                 NaN            NaN            NaN            NaN
  1343.57        500.000        98.9676                 NaN  0.200409       0.111938       0.414530                 NaN  0.305519                 NaN            NaN            NaN            NaN
  1342.10        500.000        98.9803                 NaN  0.198011       0.110183       0.410334                 NaN  0.301174                 NaN            NaN            NaN            NaN
  1340.64        500.000        98.9926                 NaN  0.197929       0.105125       0.406822                 NaN  0.297519                 NaN            NaN            NaN            NaN
  1339.18        500.000        99.0044                 NaN  0.199245       0.405429       0.965687E-001            NaN  0.294334                 NaN            NaN            NaN            NaN
  1337.72        500.000        99.0165                 NaN  0.195315       0.399270       0.989387E-001            NaN  0.289935                 NaN            NaN            NaN            NaN
  1336.26        500.000        99.0277                 NaN  0.196160       0.918054E-001  0.397600                 NaN  0.286752                 NaN            NaN            NaN            NaN
  1334.79        500.000        99.0392                 NaN  0.195741       0.394689       0.870602E-001            NaN  0.283336                 NaN            NaN            NaN            NaN
  1333.33        500.000        99.0507                 NaN  0.194052       0.391349       0.843945E-001            NaN  0.279530                 NaN            NaN            NaN            NaN
  1331.87        500.000        99.0602                 NaN  0.193013       0.820399E-001  0.388312                 NaN  0.276457                 NaN            NaN            NaN            NaN
  1330.41        500.000        99.0717                 NaN  0.192246       0.385432       0.776990E-001            NaN  0.272922                 NaN            NaN            NaN            NaN
  1328.95        500.000        99.0828                 NaN  0.191532       0.382331       0.738033E-001            NaN  0.269550                 NaN            NaN            NaN            NaN
  1327.48        500.000        99.0925                 NaN  0.189261       0.379283       0.727384E-001            NaN  0.266185                 NaN            NaN            NaN            NaN
  1326.02        500.000        99.1026                 NaN  0.188360       0.696270E-001  0.376362                 NaN  0.263070                 NaN            NaN            NaN            NaN
  1324.56        500.000        99.1132                 NaN  0.186819       0.671379E-001  0.373164                 NaN  0.259720                 NaN            NaN            NaN            NaN
  1323.10        500.000        99.1226                 NaN  0.185089       0.370139       0.655535E-001            NaN  0.256635                 NaN            NaN            NaN            NaN
  1321.64        500.000        99.1319                 NaN  0.183660       0.635629E-001  0.367247                 NaN  0.253622                 NaN            NaN            NaN            NaN
  1320.17        500.000        99.1418                 NaN  0.181623       0.364033       0.621679E-001            NaN  0.250377                 NaN            NaN            NaN            NaN
  1318.71        500.000        99.1506                 NaN  0.179791       0.360426       0.616766E-001            NaN  0.247473                 NaN            NaN            NaN            NaN
  1317.25        500.000        99.1601                 NaN  0.177562       0.357334       0.606901E-001            NaN  0.244317                 NaN            NaN            NaN            NaN
  1315.79        500.000        99.1688                 NaN  0.176232       0.354521       0.587615E-001            NaN  0.241677                 NaN            NaN            NaN            NaN
  1314.33        500.000        99.1775                 NaN  0.173059       0.350515       0.604589E-001            NaN  0.238501                 NaN            NaN            NaN            NaN
  1312.86        500.000        99.1864                 NaN  0.171029       0.347502       0.594408E-001            NaN  0.235594                 NaN            NaN            NaN            NaN
  1311.40        500.000        99.1949                 NaN  0.169494       0.345215       0.575562E-001            NaN  0.232868                 NaN            NaN            NaN            NaN
  1309.94        500.000        99.2031                 NaN  0.166799       0.341316       0.586747E-001            NaN  0.230114                 NaN            NaN            NaN            NaN
  1308.48        500.000        99.2114                 NaN  0.164142       0.590933E-001  0.338121                 NaN  0.227236                 NaN            NaN            NaN            NaN
  1307.02        500.000        99.2190                 NaN  0.161695       0.599443E-001  0.334678                 NaN  0.224705                 NaN            NaN            NaN            NaN
  1305.55        500.000        99.2272                 NaN  0.159624       0.331484       0.596122E-001            NaN  0.222110                 NaN            NaN            NaN            NaN
  1304.09        500.000        99.2356                 NaN  0.156432       0.610785E-001  0.327778                 NaN  0.219120                 NaN            NaN            NaN            NaN
  1302.63        500.000        99.2422                 NaN  0.154694       0.325990       0.602260E-001            NaN  0.216910                 NaN            NaN            NaN            NaN
  1301.17        500.000        99.2506                 NaN  0.150286       0.649364E-001  0.320266                 NaN  0.213890                 NaN            NaN            NaN            NaN
  1299.71        500.000        99.2569                 NaN  0.148477       0.647318E-001  0.318014                 NaN  0.211843                 NaN            NaN            NaN            NaN
  1298.24        500.000        98.1468                 NaN  0.445029       0.862887                 NaN            NaN  0.545244                 NaN            NaN            NaN            NaN
  1296.78        500.000        99.9978                 NaN            NaN            NaN            NaN            NaN  0.224920E-002            NaN            NaN            NaN            NaN
  1295.32        500.000        99.6604                 NaN            NaN  0.828153E-001  0.181866                 NaN  0.749205E-001            NaN            NaN            NaN            NaN
  1293.86        500.000        99.2796                 NaN  0.100613       0.275185       0.144010                 NaN  0.200640                 NaN            NaN            NaN            NaN
  1292.40        500.000        99.2917                 NaN  0.132635       0.299354       0.764411E-001            NaN  0.199885                 NaN            NaN            NaN            NaN
  1290.93        500.000        99.2980                 NaN  0.128218       0.820424E-001  0.294319                 NaN  0.197441                 NaN            NaN            NaN            NaN
  1289.47        500.000        99.3049                 NaN  0.126328       0.291838       0.816746E-001            NaN  0.195253                 NaN            NaN            NaN            NaN
  1288.01        500.000        99.3108                 NaN  0.122726       0.858912E-001  0.287382                 NaN  0.193202                 NaN            NaN            NaN            NaN
  1286.55        500.000        99.3174                 NaN  0.119612       0.888033E-001  0.283258                 NaN  0.190957                 NaN            NaN            NaN            NaN
  1285.09        500.000        99.3228                 NaN  0.115847       0.280082       0.923517E-001            NaN  0.188965                 NaN            NaN            NaN            NaN
  1283.62        500.000        99.3295                 NaN  0.113178       0.275914       0.946346E-001            NaN  0.186760                 NaN            NaN            NaN            NaN
  1282.16        500.000        99.3357                 NaN  0.110035       0.271352       0.981951E-001            NaN  0.184763                 NaN            NaN            NaN            NaN
  1280.70        500.000        99.3404                 NaN  0.105568       0.267051       0.104047                 NaN  0.182897                 NaN            NaN            NaN            NaN
  1279.24        500.000        92.1606                 NaN            NaN   1.75206       0.799941                 NaN  0.957350        4.33006                 NaN            NaN            NaN
  1277.78        500.000        92.0389                 NaN            NaN  0.793415        1.79083                 NaN  0.969816        4.40707                 NaN            NaN            NaN
  1276.31        500.000        92.5555                 NaN            NaN   1.70197       0.730081                 NaN  0.912727        4.09977                 NaN            NaN            NaN
  1274.85        500.000        93.0148                 NaN            NaN   1.62440       0.671144                 NaN  0.861543        3.82816                 NaN            NaN            NaN
  1273.39        500.000        93.4221                 NaN            NaN  0.611163        1.56383                 NaN  0.816265        3.58664                 NaN            NaN            NaN
  1271.93        500.000        93.7801                 NaN            NaN   1.51435       0.554156                 NaN  0.776222        3.37513                 NaN            NaN            NaN
  1270.47        500.000        94.1339                 NaN            NaN  0.488781        1.47348                 NaN  0.736284        3.16758                 NaN            NaN            NaN
  1269.00        500.000        94.4305                 NaN            NaN  0.422047        1.45046                 NaN  0.702833        2.99418                 NaN            NaN            NaN
  1267.54        500.000        94.6978                 NaN            NaN   1.45637       0.337180                 NaN  0.672658        2.83597                 NaN            NaN            NaN
  1266.08        500.000        94.9487                 NaN            NaN  0.222411        1.49514                 NaN  0.644175        2.68954                 NaN            NaN            NaN
  1264.62        500.000        95.1771                 NaN            NaN   1.57087       0.778016E-001            NaN  0.617609        2.55663                 NaN            NaN            NaN
  1263.16        500.000        95.4011                 NaN            NaN   1.57867                 NaN            NaN  0.590900        2.42928                 NaN            NaN            NaN
  1261.69        500.000        95.5934                 NaN            NaN   1.52087                 NaN            NaN  0.567841        2.31792                 NaN            NaN            NaN
  1260.23        500.000        94.8824                 NaN            NaN   1.64233                 NaN            NaN  0.651906        2.69815       0.125243                 NaN            NaN
  1258.77        500.000        94.8829                 NaN            NaN   1.61671                 NaN            NaN  0.649561        2.69597       0.154822                 NaN            NaN
