|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1425.68        2500.00                 NaN   99.0518       0.492431       0.218789                 NaN  0.919247E-001  0.145095                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3627       0.573620       0.303588                 NaN  0.266750       0.493304                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.3822       0.569378       0.294188                 NaN  0.266711       0.487553                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4000       0.285313       0.565700                 NaN  0.266864       0.482158                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4212       0.559668       0.276593                 NaN  0.266495       0.475999                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.4385       0.555599       0.268314                 NaN  0.266667       0.470880                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.4531       0.552376       0.259524                 NaN  0.268293       0.466736                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.4802       0.252123       0.544742                 NaN  0.264831       0.458092                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.4911       0.544813       0.242184                 NaN  0.266640       0.455241                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.3843       0.585610       0.253958                 NaN  0.288797       0.487368                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   99.5405       0.166585       0.717411E-001            NaN  0.827994E-001  0.138374                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   97.6546       0.856704       0.355104                 NaN  0.426541       0.707042                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.5575       0.529441       0.211233                 NaN  0.266528       0.435326                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.5721       0.203442       0.526519                 NaN  0.266952       0.430996                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.5905       0.197653       0.521410                 NaN  0.265296       0.425122                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6020       0.520569       0.189246                 NaN  0.266337       0.421814                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6186       0.515994       0.182285                 NaN  0.266156       0.417008                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.6327       0.512848       0.175483                 NaN  0.266178       0.412791                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.6456       0.510632       0.168450                 NaN  0.266427       0.408903                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.6605       0.161905       0.507386                 NaN  0.265964       0.404292                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.6729       0.504516       0.155715                 NaN  0.266333       0.400503                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.6869       0.502080       0.148918                 NaN  0.265856       0.396260                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.6995       0.142804       0.499385                 NaN  0.265872       0.392432                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7125       0.136062       0.496871                 NaN  0.266033       0.388491                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.7211       0.129772       0.496387                 NaN  0.266700       0.386049                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.6195       0.535268       0.139143                 NaN  0.290321       0.415802                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.8673       0.443564       0.107654                 NaN  0.240098       0.341356                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7612       0.112310       0.487651                 NaN  0.265294       0.373502                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.7714       0.486643       0.106681                 NaN  0.265074       0.370182                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.7840       0.483082       0.101861                 NaN  0.264659       0.366400                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.7933       0.481526       0.968714E-001            NaN  0.264819       0.363437                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8065       0.478791       0.910860E-001            NaN  0.264158       0.359471                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.8168       0.476747       0.861430E-001            NaN  0.263994       0.356294                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.8278       0.475046       0.804592E-001            NaN  0.263704       0.352964                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0231       0.401103       0.595050E-001            NaN  0.221010       0.295284                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.6643       0.543620       0.858203E-001            NaN  0.305423       0.400811                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.8592       0.468819       0.669366E-001            NaN  0.262059       0.342950                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.8681       0.467552       0.620499E-001            NaN  0.262124       0.340199                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8788       0.572576E-001  0.465623                 NaN  0.261474       0.336831                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.8859       0.530040E-001  0.465487                 NaN  0.261176       0.334396                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.8985       0.484302E-001  0.462148                 NaN  0.260284       0.330634                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9061       0.461404       0.444058E-001            NaN  0.259981       0.328079                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9119       0.413854E-001  0.460496                 NaN  0.260281       0.325888                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   98.9250       0.387723E-001  0.457257                 NaN  0.257401       0.321563                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   98.9333       0.455844       0.330689E-001            NaN  0.258322       0.319416                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.9422       0.454180       0.305004E-001            NaN  0.256723       0.316445                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   98.9504       0.259281E-001  0.453595                 NaN  0.256384       0.313660                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   98.9603       0.238627E-001  0.449812                 NaN  0.255457       0.310603                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   98.9653       0.453004       0.178602E-001            NaN  0.255069       0.308742                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   98.9766       0.180044E-001  0.447720                 NaN  0.252731       0.304991                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   98.9839       0.141960E-001  0.446860                 NaN  0.252374       0.302690                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   98.9915       0.107305E-001  0.445831                 NaN  0.251746       0.300230                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   98.9952       0.730695E-002  0.443225                 NaN  0.253506       0.300736                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0207       0.439115       0.254722E-002            NaN  0.247322       0.290324                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0074       0.515682E-001  0.417513                 NaN  0.231479       0.292058                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.0242       0.439599                 NaN            NaN  0.246976       0.289250                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   98.9876       0.307200       0.253614                 NaN  0.162199       0.289356                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.0461       0.429555                 NaN            NaN  0.243762       0.280569                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.0468       0.426832                 NaN            NaN  0.244559       0.281775                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0495       0.429664                 NaN            NaN  0.240747       0.280113                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0573       0.426336                 NaN            NaN  0.238890       0.277485                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.0652       0.422117                 NaN            NaN  0.237635       0.275068                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.0704       0.422815                 NaN            NaN  0.233984       0.272811                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.0767       0.422285                 NaN            NaN  0.230811       0.270240                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.0826       0.416055                 NaN            NaN  0.232720       0.268628                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.0892       0.417556                 NaN            NaN  0.227398       0.265826                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.0961       0.414441                 NaN            NaN  0.225930       0.263537                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1016       0.411603                 NaN            NaN  0.225159       0.261664                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1087       0.410016                 NaN            NaN  0.222244       0.259088                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1127       0.407071                 NaN            NaN  0.222459       0.257750                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.1212       0.406285                 NaN            NaN  0.217996       0.254497                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1255       0.405427                 NaN            NaN  0.216299       0.252750                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.1313       0.403830                 NaN            NaN  0.214080       0.250785                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.1380       0.401448                 NaN            NaN  0.212036       0.248496                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.1419       0.402072                 NaN            NaN  0.209417       0.246611                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.0724       0.367126                 NaN            NaN  0.284033       0.276462                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.2302       0.427154                 NaN            NaN  0.131142       0.211543                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.1633       0.393813                 NaN            NaN  0.203806       0.239049                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.1637       0.395097                 NaN            NaN  0.202269       0.238884                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.1688       0.392432                 NaN            NaN  0.201562       0.237237                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.1752       0.391912                 NaN            NaN  0.198176       0.234668                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.1803       0.388750                 NaN            NaN  0.197747       0.233159                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1846       0.391357                 NaN            NaN  0.192973       0.231072                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.1896       0.389496                 NaN            NaN  0.191503       0.229359                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.1948       0.387793                 NaN            NaN  0.189748       0.227639                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.1995       0.386322                 NaN            NaN  0.188350       0.225862                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2042       0.385504                 NaN            NaN  0.186288       0.224053                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2072       0.385661                 NaN            NaN  0.184328       0.222776                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2108       0.378417                 NaN            NaN  0.187610       0.223141                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2199       0.387736                 NaN            NaN  0.175691       0.216703                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.2220       0.384217                 NaN            NaN  0.176272       0.217490                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.2251       0.388276                 NaN            NaN  0.171144       0.215495                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.2299       0.386483                 NaN            NaN  0.169525       0.214058                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2337       0.384897                 NaN            NaN  0.168573       0.212864                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2388       0.381923                 NaN            NaN  0.168149       0.211154                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.2439       0.383604                 NaN            NaN  0.163514       0.209023                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2476       0.382883                 NaN            NaN  0.161698       0.207809                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.2490       0.388314                 NaN            NaN  0.156165       0.206554                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.2532       0.386300                 NaN            NaN  0.155331       0.205156                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.2543       0.389290                 NaN            NaN  0.152031       0.204351                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.2618       0.387619                 NaN            NaN  0.148777       0.201779                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.2638       0.389736                 NaN            NaN  0.145498       0.200988                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.2654       0.393171                 NaN            NaN  0.141670       0.199709                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   99.2725       0.384302                 NaN            NaN  0.144709       0.198442                 NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.2725       0.395675                 NaN            NaN  0.135007       0.196815                 NaN            NaN            NaN
  1304.22        2500.00                 NaN   99.2752       0.394590                 NaN            NaN  0.134148       0.196047                 NaN            NaN            NaN
  1303.07        2500.00                 NaN   99.2764       0.402447                 NaN            NaN  0.126256       0.194886                 NaN            NaN            NaN
  1301.91        2500.00                 NaN   99.2729       0.761132E-001  0.352024                 NaN  0.104983       0.194028                 NaN            NaN            NaN
  1300.75        2500.00                 NaN   99.2802       0.411342                 NaN            NaN  0.115783       0.192653                 NaN            NaN            NaN
  1299.60        2500.00                 NaN   99.2818       0.407303                 NaN            NaN  0.116615       0.192075       0.219390E-002            NaN            NaN
  1298.44        2500.00                 NaN   87.8588        2.72726                 NaN            NaN   1.03953        1.68032       0.451239        6.24281                 NaN
  1297.28        2500.00                 NaN   76.0203        5.06611                 NaN            NaN   2.14030        3.22184       0.876545        12.6749                 NaN
  1296.13        2500.00                 NaN   78.2592        4.59942                 NaN            NaN   2.01813        2.93250       0.783495        11.4073                 NaN
  1294.97        2500.00                 NaN   80.4497        4.18286                 NaN            NaN   1.84852        2.64726       0.693086        10.1785                 NaN
  1293.81        2500.00                 NaN   82.4341        3.80568                 NaN            NaN   1.68140        2.38760       0.613519        9.07769                 NaN
  1292.66        2500.00                 NaN   84.2039        3.47086                 NaN            NaN   1.52159        2.15477       0.544031        8.10486                 NaN
  1291.50        2500.00                 NaN   85.7733        3.17319                 NaN            NaN   1.37203        1.94714       0.483740        7.25064                 NaN
  1290.34        2500.00                 NaN   87.1227        2.91555                 NaN            NaN   1.23997        1.76792       0.432845        6.52096                 NaN
  1289.19        2500.00                 NaN   88.3212        2.68328                 NaN            NaN   1.11904        1.60840       0.388645        5.87947                 NaN
  1288.03        2500.00                 NaN   89.2885        2.49956                 NaN            NaN   1.02037        1.47900       0.352764        5.35976                 NaN
  1286.87        2500.00                 NaN   86.8191        2.90817                 NaN            NaN   1.28704        1.84144       0.446010        6.69821                 NaN
  1285.72        2500.00                 NaN   94.2703        1.71139                 NaN            NaN  0.215653       0.737460       0.208801        2.85636                 NaN
  1284.56        2500.00                 NaN   88.9485        1.92835                 NaN            NaN   1.63937        1.57961       0.350799        5.55336                 NaN
  1283.40        2500.00                 NaN   94.9010        1.83828                 NaN            NaN  0.218358       0.712107       0.129760        2.20047                 NaN
  1282.25        2500.00       0.914960        75.7443        6.19660        2.50445                 NaN            NaN   3.30066       0.980332E-001   11.2410                 NaN
  1281.09        2500.00                 NaN   99.7690                 NaN            NaN            NaN  0.759938E-001  0.251395E-001  0.740113E-002  0.122424                 NaN
  1279.93        2500.00                 NaN   99.9033       0.640866E-001            NaN            NaN            NaN  0.173377E-001  0.152392E-001            NaN            NaN
  1278.77        2500.00                 NaN   98.0845       0.646981                 NaN            NaN            NaN  0.259555       0.343052E-001  0.974665                 NaN
  1277.62        2500.00                 NaN   80.4974        5.72674        1.53094                 NaN  0.131322        2.69006       0.480563        8.94293                 NaN
  1276.46        2500.00                 NaN   97.7785       0.403536       0.301487                 NaN  0.904279E-001  0.310021       0.624594E-001   1.05362                 NaN
  1275.30        2500.00                 NaN   99.9553       0.146981E-001            NaN            NaN  0.168395E-003  0.455273E-002  0.579610E-003  0.246832E-001            NaN
  1274.15        2500.00                 NaN   99.7080       0.807488E-001            NaN            NaN  0.222230E-001  0.416838E-001  0.877572E-002  0.138586                 NaN
  1272.99        2500.00                 NaN   98.7936       0.428455                 NaN            NaN  0.537037E-002  0.168980       0.307571E-001  0.572873                 NaN
  1271.83        2500.00                 NaN   83.7795        5.89648                 NaN            NaN            NaN   2.26443       0.405926        7.65366                 NaN
  1270.68        2500.00                 NaN   99.7321       0.102896                 NaN            NaN            NaN  0.370018E-001  0.607217E-002  0.121907                 NaN
  1269.52        2500.00                 NaN   99.6698       0.109625                 NaN            NaN            NaN  0.392862E-001  0.104043E-001  0.170868                 NaN
  1268.36        2500.00                 NaN   92.4947        2.87920                 NaN            NaN  0.200562E-001   1.05166       0.164271        3.39007                 NaN
  1267.21        2500.00                 NaN   89.6600        4.01903                 NaN            NaN            NaN   1.43328       0.225392        4.66233                 NaN
  1266.05        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1264.89        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1263.74        2500.00                 NaN   93.3303        2.54176                 NaN            NaN            NaN  0.934646       0.146477        3.04677                 NaN
  1262.58        2500.00                 NaN   96.2612        1.42438                 NaN            NaN            NaN  0.523823       0.822081E-001   1.70840                 NaN
  1261.42        2500.00                 NaN   96.5219        1.27596                 NaN            NaN            NaN  0.490670       0.807196E-001   1.63077                 NaN
  1260.27        2500.00                 NaN   96.4063        1.17054                 NaN            NaN            NaN  0.509153       0.830505E-001   1.83098                 NaN
  1259.11        2500.00                 NaN   96.6345        1.32936                 NaN            NaN            NaN  0.433439       0.109546        1.49317                 NaN
  1257.95        2500.00                 NaN   96.9260        1.34609                 NaN            NaN            NaN  0.433781       0.415336E-001   1.25261                 NaN
  1256.80        2500.00                 NaN   95.5074        1.62287                 NaN            NaN            NaN  0.648157       0.828610E-001   2.13867                 NaN
  1255.64        2500.00                 NaN   98.7733       0.165777       0.263413                 NaN            NaN  0.228669       0.461422E-001  0.522696                 NaN
  1254.48        2500.00                 NaN   96.6064        1.41286                 NaN            NaN            NaN  0.412274       0.549570E-001   1.51351                 NaN
  1253.33        2500.00                 NaN   97.2201        1.02625                 NaN            NaN            NaN  0.387546       0.629754E-001   1.30314                 NaN
  1252.17        2500.00                 NaN   96.5710        1.24057                 NaN            NaN            NaN  0.479982       0.811278E-001   1.62731                 NaN
  1251.01        2500.00                 NaN   98.5163       0.569416                 NaN            NaN            NaN  0.210028       0.268864E-001  0.677396                 NaN
  1249.86        2500.00                 NaN   97.1485       0.417378       0.660803                 NaN            NaN  0.384716       0.665810E-001   1.32201                 NaN
  1248.70        2500.00                 NaN   97.4997       0.863860E-001  0.850093                 NaN            NaN  0.343081       0.549031E-001   1.16588                 NaN
  1247.54        2500.00                 NaN   97.6393       0.884558                 NaN            NaN            NaN  0.331408       0.466098E-001   1.09816                 NaN
  1246.39        2500.00                 NaN   96.6961       0.131732       0.741279       0.359250E-001            NaN  0.467511       0.914203E-001   1.83599                 NaN
  1245.23        2500.00                 NaN  100.0000       0.318741E-005  0.261429E-005  0.132617E-005            NaN  0.348557E-005            NaN  0.132569E-004            NaN
  1244.07        2500.00                 NaN   93.7238       0.689480        1.86830                 NaN            NaN  0.823357       0.145874        2.74918                 NaN
  1242.92        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1241.76        2500.00                 NaN   99.8712       0.868144E-001            NaN            NaN            NaN  0.856628E-002            NaN  0.334368E-001            NaN
  1240.60        2500.00                 NaN   99.6998                 NaN            NaN            NaN            NaN  0.610528E-001  0.211018E-001  0.218059                 NaN
  1239.45        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN            NaN            NaN  0.254890E-005            NaN
  1238.29        2500.00                 NaN   95.2875       0.275064       0.738765                 NaN            NaN  0.751612       0.217547        2.72950                 NaN
  1237.13        2500.00                 NaN   96.5950       0.107138       0.669285                 NaN            NaN  0.348101       0.314405E-001   1.23150        1.01756     
  1235.98        2500.00                 NaN   99.9995       0.126837E-003  0.522939E-004            NaN            NaN  0.481616E-004            NaN  0.179457E-003  0.908738E-004
  1234.82        2500.00                 NaN   78.6613        3.15990        2.23166                 NaN            NaN   2.11118       0.130753        8.59768        5.10749     
  1233.66        2500.00                 NaN   99.0935       0.137239       0.418415                 NaN            NaN  0.722783E-001            NaN  0.935353E-001  0.185081     
  1232.51        2500.00                 NaN   89.7643        2.16801                 NaN            NaN            NaN   1.01677       0.860006E-001   4.02463        2.94030     
  1231.35        2500.00                 NaN   85.8933       0.295278       0.792094        1.77539                 NaN   1.37184       0.134208        5.62220        4.11571     
  1230.19        2500.00                 NaN   93.1630       0.643869       0.565564                 NaN            NaN  0.607810       0.102112        2.84071        2.07698     
  1229.03        2500.00                 NaN   86.1861       0.796995        1.73462                 NaN            NaN   1.27061       0.152362        5.75810        4.10122     
  1227.88        2500.00                 NaN   58.1751        7.10697                 NaN            NaN            NaN   3.68617       0.454778        17.8650        12.7120     
  1226.72        2500.00                 NaN            NaN   2.36587        13.7767                 NaN            NaN   8.60297        1.07580        43.2966        30.8821     
  1225.56        2500.00                 NaN            NaN   3.59334        12.5475                 NaN            NaN   8.60235        1.07840        43.2956        30.8829     
  1224.41        2500.00                 NaN            NaN   3.48384        12.6582                 NaN            NaN   8.60624        1.07762        43.2913        30.8828     
  1223.25        2500.00                 NaN            NaN   3.37897        12.7642                 NaN            NaN   8.61024        1.07684        43.2869        30.8828     
  1222.09        2500.00                 NaN            NaN   8.21333        7.87552                 NaN            NaN   8.64251        1.08756        43.3096        30.8714     
  1220.94        2500.00                 NaN            NaN   3.06487        13.0809                 NaN            NaN   8.61817        1.07518        43.2780        30.8828     
  1219.78        2500.00                 NaN            NaN   2.99686        13.1503                 NaN            NaN   8.62213        1.07440        43.2735        30.8828     
  1218.62        2500.00                 NaN            NaN   3.09015        13.0576                 NaN            NaN   8.62547        1.07390        43.2701        30.8828     
  1217.47        2500.00                 NaN            NaN   7.98302        8.11348                 NaN            NaN   8.66847        1.08298        43.2807        30.8713     
  1216.31        2500.00                 NaN            NaN   7.93340        8.16351                 NaN            NaN   8.66854        1.08236        43.2808        30.8714     
  1215.15        2500.00                 NaN            NaN   2.80678        13.3450                 NaN            NaN   8.63731        1.07146        43.2567        30.8827     
  1214.00        2500.00                 NaN            NaN   7.87825        8.22015                 NaN            NaN   8.67170        1.08167        43.2767        30.8715     
  1212.84        2500.00                 NaN            NaN   7.84705        8.25184                 NaN            NaN   8.67308        1.08134        43.2752        30.8715     
  1211.68        2500.00                 NaN            NaN   7.81745        8.28206                 NaN            NaN   8.67468        1.08101        43.2733        30.8715     
  1210.53        2500.00                 NaN            NaN   7.77664        8.32302                 NaN            NaN   8.67678        1.08069        43.2714        30.8715     
  1209.37        2500.00                 NaN            NaN   7.76083        8.33999                 NaN            NaN   8.67760        1.08039        43.2695        30.8717     
  1208.21        2500.00                 NaN            NaN   7.73090        8.37056                 NaN            NaN   8.67906        1.08006        43.2677        30.8717     
  1207.06        2500.00                 NaN            NaN   7.70081        8.40124                 NaN            NaN   8.68049        1.07974        43.2659        30.8718     
  1205.90        2500.00                 NaN            NaN   7.67058        8.43219                 NaN            NaN   8.68191        1.07941        43.2641        30.8719     
  1204.74        2500.00                 NaN            NaN   7.63631        8.46713                 NaN            NaN   8.68337        1.07908        43.2622        30.8719     
  1203.59        2500.00                 NaN            NaN   7.59688        8.50704                 NaN            NaN   8.68483        1.07874        43.2606        30.8719     
  1202.43        2500.00                 NaN            NaN   7.57605        8.52850                 NaN            NaN   8.68676        1.07835        43.2584        30.8720     
  1201.27        2500.00                 NaN            NaN   7.53632        8.56746                 NaN            NaN   8.68746        1.07836        43.2588        30.8716     
