|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        iron           O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1509.76        2500.00        98.8505                 NaN  0.517108E-002  0.131164E-001            NaN            NaN  0.753300       0.377901                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00        98.8646                 NaN            NaN  0.128281E-001            NaN            NaN  0.381093       0.741470                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.71        2500.00        98.8783                 NaN            NaN  0.126409E-001            NaN            NaN  0.731311       0.377786                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.19        2500.00        98.8913                 NaN            NaN  0.123704E-001            NaN            NaN  0.374859       0.721424                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        2500.00        98.9046                 NaN            NaN  0.120970E-001            NaN            NaN  0.371505       0.711837                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.13        2500.00        98.9175                 NaN            NaN  0.118679E-001            NaN            NaN  0.701871       0.368805                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        2500.00        98.9276                 NaN            NaN  0.116295E-001            NaN            NaN  0.365487       0.695296                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.08        2500.00        98.9453                 NaN            NaN  0.113105E-001            NaN            NaN  0.361576       0.681801                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.55        2500.00        98.9554                 NaN            NaN  0.111356E-001            NaN            NaN  0.359375       0.674111                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.03        2500.00        98.9666                 NaN            NaN  0.109291E-001            NaN            NaN  0.356746       0.665708                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00        98.9790                 NaN            NaN  0.107067E-001            NaN            NaN  0.656862       0.353457                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        2500.00        98.9893                 NaN            NaN  0.104955E-001            NaN            NaN  0.649810       0.350392                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.45        2500.00        98.9993                 NaN            NaN  0.102086E-001            NaN  0.534791E-003  0.349260       0.640724                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.92        2500.00        99.0183                 NaN            NaN  0.972432E-002            NaN  0.144398E-002  0.623923       0.346603                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        2500.00        99.0245                 NaN            NaN  0.958765E-002            NaN  0.137701E-002  0.344404       0.620133                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.87        2500.00        99.0356                 NaN            NaN  0.939846E-002            NaN  0.131343E-002  0.341153       0.612489                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.34        2500.00        99.0461                 NaN            NaN  0.920059E-002            NaN  0.124902E-002  0.338076       0.605419                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.82        2500.00        99.0566                 NaN            NaN  0.900105E-002            NaN  0.118543E-002  0.598344       0.334910                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.29        2500.00        99.0674                 NaN            NaN  0.881601E-002            NaN  0.112638E-002  0.590983       0.331676                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        99.0772                 NaN            NaN  0.862682E-002            NaN  0.106674E-002  0.584258       0.328805                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.24        2500.00        99.0872                 NaN            NaN  0.845648E-002            NaN  0.100940E-002  0.325558       0.577813                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.71        2500.00        99.0971                 NaN            NaN  0.826192E-002            NaN  0.952343E-003  0.571089       0.322617                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1065                 NaN            NaN  0.809305E-002            NaN  0.900119E-003  0.319436       0.565031                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.66        2500.00        99.1159                 NaN            NaN  0.789848E-002            NaN  0.841572E-003  0.316717       0.558688                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.13        2500.00        99.1250                 NaN            NaN  0.776216E-002            NaN  0.793875E-003  0.552800       0.313666                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.61        2500.00        99.1320                 NaN            NaN  0.768775E-002            NaN  0.749962E-003  0.548470       0.311084                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.08        2500.00        99.1455                 NaN            NaN  0.735792E-002            NaN  0.692180E-003  0.539690       0.306792                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.56        2500.00        99.1517                 NaN            NaN  0.723382E-002            NaN  0.644577E-003  0.535471       0.304941                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.1608                 NaN            NaN  0.708412E-002            NaN  0.600468E-003  0.529325       0.302176                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.50        2500.00        99.1686                 NaN            NaN  0.690986E-002            NaN  0.551464E-003  0.299513       0.524392                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1767                 NaN            NaN  0.675557E-002            NaN  0.507550E-003  0.519314       0.296761                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.45        2500.00        99.1850                 NaN            NaN  0.659523E-002            NaN  0.465195E-003  0.294073       0.513833                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.1928                 NaN            NaN  0.645830E-002            NaN  0.426597E-003  0.509124       0.291240                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.40        2500.00        99.2006                 NaN            NaN  0.629309E-002            NaN  0.382751E-003  0.504027       0.288693                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.87        2500.00        99.2084                 NaN            NaN  0.613653E-002            NaN  0.342780E-003  0.286058       0.499016                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.35        2500.00        99.2154                 NaN            NaN  0.600674E-002            NaN  0.306117E-003  0.283566       0.494684                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.82        2500.00        99.2226                 NaN            NaN  0.587497E-002            NaN  0.269742E-003  0.280977       0.490323                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.29        2500.00        99.2279                 NaN            NaN  0.568211E-002            NaN  0.226539E-003  0.487001       0.279229                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.2400                 NaN            NaN  0.550203E-002            NaN  0.197837E-003  0.275333       0.478984                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.24        2500.00        99.2441                 NaN            NaN  0.542699E-002            NaN  0.163213E-003  0.476915       0.273357                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.71        2500.00        98.9320                 NaN            NaN  0.120271E-001            NaN            NaN  0.528187       0.372937                 NaN            NaN  0.154865                 NaN            NaN            NaN
  1447.19        2500.00        97.4909                 NaN            NaN  0.425202E-001            NaN            NaN  0.834311       0.767136                 NaN            NaN  0.865129                 NaN            NaN            NaN
  1445.66        2500.00        97.5759                 NaN            NaN  0.407442E-001            NaN            NaN  0.740629       0.806981                 NaN            NaN  0.835777                 NaN            NaN            NaN
  1444.14        2500.00        97.6551                 NaN            NaN  0.391898E-001            NaN            NaN  0.717360       0.779414                 NaN            NaN  0.808962                 NaN            NaN            NaN
  1442.61        2500.00        97.8281                 NaN            NaN  0.360341E-001            NaN            NaN  0.664913       0.721115                 NaN            NaN  0.749881                 NaN            NaN            NaN
  1441.08        2500.00        97.7014                 NaN            NaN  0.378201E-001            NaN            NaN  0.704038       0.763763                 NaN            NaN  0.792979                 NaN            NaN            NaN
  1439.56        2500.00        97.8667                 NaN            NaN  0.349034E-001            NaN            NaN  0.652954       0.708878                 NaN            NaN  0.736531                 NaN            NaN            NaN
  1438.03        2500.00        97.9288                 NaN            NaN  0.336468E-001            NaN            NaN  0.634544       0.687878                 NaN            NaN  0.715146                 NaN            NaN            NaN
  1436.50        2500.00        97.9865                 NaN            NaN  0.325164E-001            NaN            NaN  0.616569       0.668995                 NaN            NaN  0.695372                 NaN            NaN            NaN
  1434.98        2500.00        98.0484                 NaN            NaN  0.312811E-001            NaN            NaN  0.648849       0.597460                 NaN            NaN  0.674055                 NaN            NaN            NaN
  1433.45        2500.00        98.1018                 NaN            NaN  0.301359E-001            NaN            NaN  0.631080       0.581083                 NaN            NaN  0.655862                 NaN            NaN            NaN
  1431.93        2500.00        98.1523                 NaN            NaN  0.291134E-001            NaN            NaN  0.614704       0.565425                 NaN            NaN  0.638472                 NaN            NaN            NaN
  1430.40        2500.00        98.2024                 NaN            NaN  0.281151E-001            NaN            NaN  0.550236       0.598148                 NaN            NaN  0.621121                 NaN            NaN            NaN
  1428.87        2500.00        98.2486                 NaN            NaN  0.271217E-001            NaN            NaN  0.535934       0.583208                 NaN            NaN  0.605126                 NaN            NaN            NaN
  1427.35        2500.00        98.2941                 NaN            NaN  0.262313E-001            NaN            NaN  0.521993       0.568274                 NaN            NaN  0.589359                 NaN            NaN            NaN
  1425.82        2500.00        98.3374                 NaN            NaN  0.253760E-001            NaN            NaN  0.554270       0.508352                 NaN            NaN  0.574578                 NaN            NaN            NaN
  1424.29        2500.00        98.3786                 NaN            NaN  0.245057E-001            NaN            NaN  0.495389       0.541289                 NaN            NaN  0.560248                 NaN            NaN            NaN
  1422.77        2500.00        98.4178                 NaN            NaN  0.237036E-001            NaN            NaN  0.483110       0.528636                 NaN            NaN  0.546770                 NaN            NaN            NaN
  1421.24        2500.00        98.4562                 NaN            NaN  0.229236E-001            NaN            NaN  0.471158       0.516319                 NaN            NaN  0.533367                 NaN            NaN            NaN
  1419.72        2500.00        98.4920                 NaN            NaN  0.221779E-001            NaN            NaN  0.505109       0.459788                 NaN            NaN  0.520975                 NaN            NaN            NaN
  1418.19        2500.00        98.5252                 NaN            NaN  0.215495E-001            NaN            NaN  0.449182       0.494510                 NaN            NaN  0.509574                 NaN            NaN            NaN
  1416.66        2500.00        98.5634                 NaN            NaN  0.207169E-001            NaN            NaN  0.437098       0.482716                 NaN            NaN  0.496109                 NaN            NaN            NaN
  1415.14        2500.00        98.5937                 NaN            NaN  0.200653E-001            NaN            NaN  0.472741       0.427893                 NaN            NaN  0.485584                 NaN            NaN            NaN
  1413.61        2500.00        98.6250                 NaN            NaN  0.194114E-001            NaN            NaN  0.417865       0.463043                 NaN            NaN  0.474653                 NaN            NaN            NaN
  1412.08        2500.00        98.6541                 NaN            NaN  0.187992E-001            NaN            NaN  0.408559       0.453990                 NaN            NaN  0.464555                 NaN            NaN            NaN
  1410.56        2500.00        98.6832                 NaN            NaN  0.182159E-001            NaN            NaN  0.444881       0.399323                 NaN            NaN  0.454374                 NaN            NaN            NaN
  1409.03        2500.00        98.7111                 NaN            NaN  0.176322E-001            NaN            NaN  0.390462       0.436168                 NaN            NaN  0.444661                 NaN            NaN            NaN
  1407.51        2500.00        98.7376                 NaN            NaN  0.170765E-001            NaN            NaN  0.381792       0.428194                 NaN            NaN  0.435368                 NaN            NaN            NaN
  1405.98        2500.00        98.7638                 NaN            NaN  0.165382E-001            NaN            NaN  0.373517       0.419894                 NaN            NaN  0.426205                 NaN            NaN            NaN
  1404.45        2500.00        98.7887                 NaN            NaN  0.159768E-001            NaN            NaN  0.365527       0.412296                 NaN            NaN  0.417488                 NaN            NaN            NaN
  1402.93        2500.00        98.8129                 NaN            NaN  0.155361E-001            NaN            NaN  0.357256       0.405288                 NaN            NaN  0.409023                 NaN            NaN            NaN
  1401.40        2500.00        98.8362                 NaN            NaN  0.150134E-001            NaN            NaN  0.398094       0.349991                 NaN            NaN  0.400736                 NaN            NaN            NaN
  1399.88        2500.00        98.8596                 NaN            NaN  0.144499E-001            NaN            NaN  0.342276       0.391152                 NaN            NaN  0.392524                 NaN            NaN            NaN
  1398.35        2500.00        98.8800                 NaN            NaN  0.140312E-001            NaN            NaN  0.335727       0.384706                 NaN            NaN  0.385532                 NaN            NaN            NaN
  1396.82        2500.00        98.8975                 NaN            NaN  0.135834E-001            NaN            NaN  0.329222       0.380062                 NaN            NaN  0.379597                 NaN            NaN            NaN
  1395.30        2500.00        98.9274                 NaN            NaN  0.130252E-001            NaN            NaN  0.320204       0.370779                 NaN            NaN  0.368550                 NaN            NaN            NaN
  1393.77        2500.00        98.9412                 NaN            NaN  0.127178E-001            NaN            NaN  0.366997       0.315156                 NaN            NaN  0.363937                 NaN            NaN            NaN
  1392.24        2500.00        98.9621                 NaN            NaN  0.122521E-001            NaN            NaN  0.360597       0.308595                 NaN            NaN  0.356422                 NaN            NaN            NaN
  1390.72        2500.00        98.9804                 NaN            NaN  0.118485E-001            NaN            NaN  0.302460       0.355293                 NaN            NaN  0.349996                 NaN            NaN            NaN
  1389.19        2500.00        98.9980                 NaN            NaN  0.114565E-001            NaN            NaN  0.350010       0.296733                 NaN            NaN  0.343847                 NaN            NaN            NaN
  1387.67        2500.00        99.0156                 NaN            NaN  0.110713E-001            NaN            NaN  0.290684       0.345012                 NaN            NaN  0.337655                 NaN            NaN            NaN
  1386.14        2500.00        99.0322                 NaN            NaN  0.106750E-001            NaN            NaN  0.340260       0.285042                 NaN            NaN  0.331779                 NaN            NaN            NaN
  1384.61        2500.00        99.0489                 NaN            NaN  0.102940E-001            NaN            NaN  0.335763       0.279161                 NaN            NaN  0.325884                 NaN            NaN            NaN
  1383.09        2500.00        99.0653                 NaN            NaN  0.991529E-002            NaN            NaN  0.273731       0.331134                 NaN            NaN  0.319908                 NaN            NaN            NaN
  1381.56        2500.00        99.0806                 NaN            NaN  0.958994E-002            NaN            NaN  0.268526       0.326729                 NaN            NaN  0.314554                 NaN            NaN            NaN
  1380.03        2500.00        99.0957                 NaN            NaN  0.923178E-002            NaN            NaN  0.322584       0.263320                 NaN            NaN  0.309159                 NaN            NaN            NaN
  1378.51        2500.00        99.1057                 NaN            NaN  0.896729E-002            NaN            NaN  0.319598       0.259921                 NaN            NaN  0.305798                 NaN            NaN            NaN
  1376.98        2500.00        99.1290                 NaN            NaN  0.847186E-002            NaN            NaN  0.251817       0.313553                 NaN            NaN  0.297142                 NaN            NaN            NaN
  1375.46        2500.00        99.1383                 NaN            NaN  0.822462E-002            NaN            NaN  0.311299       0.248145                 NaN            NaN  0.294044                 NaN            NaN            NaN
  1373.93        2500.00        99.1522                 NaN            NaN  0.790243E-002            NaN            NaN  0.307244       0.243625                 NaN            NaN  0.289051                 NaN            NaN            NaN
  1372.40        2500.00        99.1646                 NaN            NaN  0.758213E-002            NaN            NaN  0.303972       0.239271                 NaN            NaN  0.284587                 NaN            NaN            NaN
  1370.88        2500.00        99.1779                 NaN            NaN  0.729922E-002            NaN            NaN  0.234646       0.300268                 NaN            NaN  0.279844                 NaN            NaN            NaN
  1369.35        2500.00        99.1902                 NaN            NaN  0.698895E-002            NaN            NaN  0.230155       0.297173                 NaN            NaN  0.275489                 NaN            NaN            NaN
  1367.82        2500.00        99.2022                 NaN            NaN  0.667988E-002            NaN            NaN  0.225694       0.294236                 NaN            NaN  0.271202                 NaN            NaN            NaN
  1366.30        2500.00        99.2139                 NaN            NaN  0.642841E-002            NaN            NaN  0.221840       0.290737                 NaN            NaN  0.267049                 NaN            NaN            NaN
  1364.77        2500.00        99.2253                 NaN            NaN  0.604906E-002            NaN            NaN  0.288779       0.217032                 NaN            NaN  0.262882                 NaN            NaN            NaN
  1363.25        2500.00        99.2363                 NaN            NaN  0.580130E-002            NaN            NaN  0.213105       0.285836                 NaN            NaN  0.258984                 NaN            NaN            NaN
  1361.72        2500.00        99.2473                 NaN            NaN  0.551463E-002            NaN            NaN  0.208973       0.283238                 NaN            NaN  0.254937                 NaN            NaN            NaN
  1360.19        2500.00        99.2580                 NaN            NaN  0.525672E-002            NaN            NaN  0.280416       0.205193                 NaN            NaN  0.251183                 NaN            NaN            NaN
  1358.67        2500.00        99.2680                 NaN            NaN  0.500251E-002            NaN            NaN  0.201212       0.278147                 NaN            NaN  0.247663                 NaN            NaN            NaN
  1357.14        2500.00        99.2782                 NaN            NaN  0.473085E-002            NaN            NaN  0.197498       0.275706                 NaN            NaN  0.243869                 NaN            NaN            NaN
  1355.61        2500.00        99.2879                 NaN            NaN  0.444188E-002            NaN            NaN  0.193616       0.273655                 NaN            NaN  0.240395                 NaN            NaN            NaN
  1354.09        2500.00        99.2928                 NaN            NaN  0.421480E-002            NaN            NaN  0.273631       0.190399                 NaN            NaN  0.238963                 NaN            NaN            NaN
  1352.56        2500.00        99.3108                 NaN            NaN  0.384218E-002            NaN            NaN  0.268307       0.185157                 NaN            NaN  0.231896                 NaN            NaN            NaN
  1351.04        2500.00        99.3155                 NaN            NaN  0.368157E-002            NaN            NaN  0.267681       0.182651                 NaN            NaN  0.230467                 NaN            NaN            NaN
  1349.51        2500.00        99.3238                 NaN            NaN  0.343881E-002            NaN            NaN  0.179285       0.266033                 NaN            NaN  0.227468                 NaN            NaN            NaN
  1347.98        2500.00        99.3332                 NaN            NaN  0.321883E-002            NaN            NaN  0.175419       0.264015                 NaN            NaN  0.224146                 NaN            NaN            NaN
  1346.46        2500.00        99.3411                 NaN            NaN  0.297155E-002            NaN            NaN  0.172341       0.262294                 NaN            NaN  0.221314                 NaN            NaN            NaN
  1344.93        2500.00        99.3495                 NaN            NaN  0.270921E-002            NaN            NaN  0.261126       0.168420                 NaN            NaN  0.218288                 NaN            NaN            NaN
  1343.40        2500.00        99.3571                 NaN            NaN  0.245546E-002            NaN            NaN  0.165238       0.259768                 NaN            NaN  0.215480                 NaN            NaN            NaN
