|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1551.33        2500.00        98.2011                 NaN  0.817282E-001  0.931331E-002   1.55220       0.155660                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.2072                 NaN  0.164214       0.876338E-002   1.59906       0.207299E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.2371                 NaN  0.167965       0.849908E-002   1.58644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.2681                 NaN  0.171011       0.819603E-002   1.55272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.2935                 NaN  0.171356       0.797280E-002   1.52714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.3111                 NaN  0.153481       0.797191E-002   1.49614       0.313082E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.0253                 NaN  0.220555       0.895982E-002   1.74523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.6930                 NaN  0.127135       0.592873E-002   1.17395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.3770                 NaN  0.125493       0.760573E-002   1.36056       0.129327                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.4126                 NaN  0.156703       0.701074E-002   1.42367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.4328                 NaN  0.152801       0.684332E-002   1.40754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.4575                 NaN  0.156029       0.660751E-002   1.37989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.4732                 NaN  0.143781       0.653501E-002  0.118213E-001   1.36466                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.4923                 NaN  0.143309       0.633667E-002   1.35492       0.309615E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.2205                 NaN  0.195170       0.714070E-002   1.57724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.8474                 NaN  0.116858       0.464217E-002   1.03107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.5544                 NaN  0.140552       0.578527E-002   1.29912       0.139536E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.5740                 NaN  0.141516       0.558591E-002   1.27890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.5906                 NaN  0.137660       0.543605E-002  0.472898E-002   1.26160                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.3858                 NaN  0.587963E-001  0.249117E-002  0.623133E-003  0.552252                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        97.8269                 NaN  0.191844       0.835141E-002  0.977651E-001   1.87512                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.6425                 NaN  0.119906       0.507943E-002  0.589843E-001   1.17351                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.3447                 NaN  0.144590       0.609064E-002  0.799067E-001   1.42476                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        98.9762                 NaN  0.887609E-001  0.370669E-002  0.515846E-001  0.879782                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.2323                 NaN  0.164682       0.952186E-002   1.45124       0.142211                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        99.1485                 NaN  0.584494E-001            NaN  0.793094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.7123                 NaN  0.108540       0.426558E-002   1.09448       0.804198E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.7257                 NaN  0.106011       0.429311E-002   1.07625       0.877527E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.7402                 NaN  0.103737       0.415574E-002  0.910716E-001   1.06084                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.7526                 NaN  0.100856       0.404394E-002   1.04777       0.947623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.3580                 NaN  0.130996       0.527031E-002   1.37487       0.130819                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        99.1837                 NaN  0.676295E-001  0.252344E-002  0.681927       0.642686E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.7915                 NaN  0.952578E-001  0.367795E-002  0.106709        1.00289                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        97.8959                 NaN  0.162944       0.636269E-002  0.126658        1.80816                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        99.7376                 NaN  0.122051E-001  0.819433E-003  0.423275E-001  0.207088                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.8279                 NaN  0.988869E-001  0.329829E-002  0.970793       0.991430E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.8383                 NaN  0.874970E-001  0.322645E-002  0.119643       0.951363                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.8493                 NaN  0.855233E-001  0.312657E-002  0.938095       0.123941                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.8605                 NaN  0.837167E-001  0.301348E-002  0.926645       0.126118                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        98.8696                 NaN  0.754220E-001  0.294879E-002  0.910238       0.141796                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        98.8823                 NaN  0.867496E-001  0.278562E-002  0.118810       0.909350                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        98.8913                 NaN  0.784572E-001  0.271565E-002  0.893751       0.133815                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        98.9028                 NaN  0.980127E-001  0.251150E-002  0.902426       0.942550E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        98.9083                 NaN  0.535862E-001  0.260744E-002  0.179349       0.856133                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9205                 NaN  0.733838E-001  0.243343E-002  0.861881       0.141757                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        98.9299                 NaN  0.719000E-001  0.234169E-002  0.852085       0.143821                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        98.9378                 NaN  0.703053E-001  0.225423E-002  0.145959       0.843677                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        98.9475                 NaN  0.704050E-001  0.213820E-002  0.144929       0.835033                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        98.9553                 NaN  0.654582E-001  0.208622E-002  0.153842       0.823307                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        98.9643                 NaN  0.657943E-001  0.199681E-002  0.152083       0.815805                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        98.9703                 NaN  0.645516E-001  0.184165E-002  0.809311       0.153969                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        98.9821                 NaN  0.626871E-001  0.182966E-002  0.797200       0.156174                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        98.9878                 NaN  0.612040E-001  0.175816E-002  0.158498       0.790725                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        98.9959                 NaN  0.603153E-001  0.167323E-002  0.158454       0.783700                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.0027                 NaN  0.587007E-001  0.159722E-002  0.776586       0.160442                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.0095                 NaN  0.571041E-001  0.152385E-002  0.769686       0.162233                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.0192                 NaN  0.561836E-001  0.144815E-002  0.760270       0.162946                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0249                 NaN  0.547619E-001  0.138055E-002  0.753668       0.165310                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0286                 NaN  0.531889E-001  0.130316E-002  0.750597       0.166269                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.0417                 NaN  0.524082E-001  0.124463E-002  0.167333       0.737284                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.0443                 NaN  0.511010E-001  0.117401E-002  0.734244       0.169192                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.0508                 NaN  0.497041E-001  0.111288E-002  0.170929       0.727407                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.0570                 NaN  0.485778E-001  0.104445E-002  0.721954       0.171442                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.0999                 NaN  0.445328E-001  0.940441E-003  0.688799       0.165783                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0315                 NaN  0.491024E-001  0.960708E-003  0.738425       0.180056                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.0748                 NaN  0.451635E-001  0.862214E-003  0.704382       0.174789                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.0804                 NaN  0.440026E-001  0.804686E-003  0.698393       0.176422                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.0852                 NaN  0.429140E-001  0.745896E-003  0.694102       0.177029                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.0899                 NaN  0.411118E-001  0.696996E-003  0.688987       0.179288                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.0974                 NaN  0.415225E-001  0.636526E-003  0.177495       0.682972                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.1011                 NaN  0.396962E-001  0.583660E-003  0.679022       0.179564                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.1055                 NaN  0.386489E-001  0.535100E-003  0.674562       0.180799                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1105                 NaN  0.375792E-001  0.477774E-003  0.670617       0.180834                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1138                 NaN  0.366152E-001  0.430425E-003  0.667564       0.181551                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.1200                 NaN  0.357180E-001  0.385707E-003  0.661737       0.182140                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.1189                 NaN  0.341698E-001  0.334978E-003  0.661677       0.184918                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1299                 NaN  0.336980E-001  0.292332E-003  0.183952       0.652147                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.1295                 NaN  0.320957E-001  0.243669E-003  0.654143       0.184017                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.1379                 NaN  0.318582E-001  0.205328E-003  0.645725       0.184318                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.1394                 NaN  0.304809E-001  0.165510E-003  0.644451       0.185501                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1424                 NaN  0.296823E-001  0.125403E-003  0.185770       0.642004                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.1457                 NaN  0.283912E-001  0.817317E-004  0.638986       0.186856                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.1499                 NaN  0.276748E-001  0.496628E-004  0.187138       0.635231                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.1525                 NaN  0.266186E-001  0.121644E-004  0.633881       0.186981                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.1563                 NaN  0.245040E-001  0.179200E-002  0.194507       0.622852                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        97.9686                 NaN  0.333144                 NaN  0.841242       0.264610                 NaN            NaN  0.592438                 NaN            NaN            NaN
  1422.83        2500.00        97.8641                 NaN  0.368108                 NaN  0.858383       0.257653                 NaN            NaN  0.651749                 NaN            NaN            NaN
  1421.34        2500.00        97.8946                 NaN  0.367624                 NaN  0.240497       0.854886                 NaN            NaN  0.642362                 NaN            NaN            NaN
  1419.84        2500.00        97.9249                 NaN  0.367735                 NaN  0.851628       0.222507                 NaN            NaN  0.633214                 NaN            NaN            NaN
  1418.35        2500.00        97.9551                 NaN  0.367173                 NaN  0.847373       0.206246                 NaN            NaN  0.624097                 NaN            NaN            NaN
  1416.86        2500.00        97.9823                 NaN  0.364868                 NaN  0.839854       0.197055                 NaN            NaN  0.615888                 NaN            NaN            NaN
  1415.36        2500.00        98.0177                 NaN  0.368376                 NaN  0.839650       0.169118                 NaN            NaN  0.605176                 NaN            NaN            NaN
  1413.87        2500.00        99.2858                 NaN  0.124508       0.277818E-002  0.132806       0.231414                 NaN            NaN  0.222663                 NaN            NaN            NaN
  1412.37        2500.00        96.7832                 NaN  0.605472                 NaN   1.45849       0.181649                 NaN            NaN  0.971148                 NaN            NaN            NaN
  1410.88        2500.00        98.0916                 NaN  0.364959                 NaN  0.123857       0.837442                 NaN            NaN  0.582125                 NaN            NaN            NaN
  1409.39        2500.00        98.1240                 NaN  0.363313                 NaN  0.829935       0.110653                 NaN            NaN  0.572131                 NaN            NaN            NaN
  1407.89        2500.00        98.1460                 NaN  0.364193                 NaN  0.831867       0.918248E-001            NaN            NaN  0.566150                 NaN            NaN            NaN
  1406.40        2500.00        98.1737                 NaN  0.362186                 NaN  0.827702       0.795026E-001            NaN            NaN  0.556916                 NaN            NaN            NaN
  1404.90        2500.00        98.1978                 NaN  0.360993                 NaN  0.664278E-001  0.825515                 NaN            NaN  0.549314                 NaN            NaN            NaN
  1403.41        2500.00        98.2190                 NaN  0.360767                 NaN  0.510343E-001  0.826427                 NaN            NaN  0.542784                 NaN            NaN            NaN
  1401.92        2500.00        98.2392                 NaN  0.360247                 NaN  0.826864       0.374387E-001            NaN            NaN  0.536224                 NaN            NaN            NaN
  1400.42        2500.00        98.2683                 NaN  0.332638                 NaN  0.801058       0.744398E-001            NaN            NaN  0.523548                 NaN            NaN            NaN
  1398.93        2500.00        98.2692                 NaN  0.364725                 NaN  0.268085E-001  0.811055                 NaN            NaN  0.528166                 NaN            NaN            NaN
  1397.43        2500.00        98.3029                 NaN  0.348790                 NaN  0.812565       0.211709E-001            NaN            NaN  0.514614                 NaN            NaN            NaN
  1395.94        2500.00        98.3091                 NaN  0.333400                 NaN  0.113644       0.731747                 NaN            NaN  0.512060                 NaN            NaN            NaN
  1394.45        2500.00        98.3571                 NaN  0.338092                 NaN  0.808782                 NaN            NaN            NaN  0.495988                 NaN            NaN            NaN
  1392.95        2500.00        98.3658                 NaN  0.343503                 NaN  0.795921                 NaN            NaN            NaN  0.494742                 NaN            NaN            NaN
  1391.46        2500.00        98.3835                 NaN  0.346269                 NaN  0.780481                 NaN            NaN            NaN  0.489740                 NaN            NaN            NaN
  1389.96        2500.00        98.3959                 NaN  0.350631                 NaN  0.766913                 NaN            NaN            NaN  0.486564                 NaN            NaN            NaN
  1388.47        2500.00        98.4271                 NaN  0.324971                 NaN  0.775080                 NaN            NaN            NaN  0.472847                 NaN            NaN            NaN
  1386.97        2500.00        98.4306                 NaN  0.321646                 NaN  0.776447                 NaN            NaN            NaN  0.471330                 NaN            NaN            NaN
  1385.48        2500.00        98.4567                 NaN  0.332849                 NaN  0.746040                 NaN            NaN            NaN  0.464370                 NaN            NaN            NaN
  1383.99        2500.00        98.4370                 NaN  0.233213                 NaN  0.304179       0.569244                 NaN            NaN  0.456413                 NaN            NaN            NaN
  1382.49        2500.00        98.4890                 NaN  0.320697                 NaN  0.738609                 NaN            NaN            NaN  0.451726                 NaN            NaN            NaN
  1381.00        2500.00        97.7562                 NaN  0.437779                 NaN  0.991299       0.148243                 NaN            NaN  0.666470                 NaN            NaN            NaN
  1379.50        2500.00        99.2497                 NaN  0.183511                 NaN  0.341311                 NaN            NaN            NaN  0.225478                 NaN            NaN            NaN
  1378.01        2500.00        98.5581                 NaN  0.286603                 NaN  0.728868                 NaN            NaN            NaN  0.426456                 NaN            NaN            NaN
  1376.52        2500.00        98.3909                 NaN  0.357989                 NaN  0.774285                 NaN            NaN            NaN  0.476797                 NaN            NaN            NaN
  1375.02        2500.00        98.7200                 NaN  0.281881                 NaN  0.612214                 NaN            NaN            NaN  0.385938                 NaN            NaN            NaN
  1373.53        2500.00        98.5778                 NaN  0.298394                 NaN  0.701934                 NaN            NaN            NaN  0.421870                 NaN            NaN            NaN
  1372.03        2500.00        98.5945                 NaN  0.297191                 NaN  0.693064                 NaN            NaN            NaN  0.415215                 NaN            NaN            NaN
  1370.54        2500.00        98.6073                 NaN  0.297710                 NaN  0.683101                 NaN            NaN            NaN  0.411857                 NaN            NaN            NaN
  1369.05        2500.00        98.6211                 NaN  0.294314                 NaN  0.677523                 NaN            NaN            NaN  0.407039                 NaN            NaN            NaN
  1367.55        2500.00        98.6287                 NaN  0.295453                 NaN  0.670714                 NaN            NaN            NaN  0.405169                 NaN            NaN            NaN
  1366.06        2500.00        98.6554                 NaN  0.283959                 NaN  0.666093                 NaN            NaN            NaN  0.394535                 NaN            NaN            NaN
  1364.56        2500.00        98.6604                 NaN  0.286878                 NaN  0.658985                 NaN            NaN            NaN  0.393719                 NaN            NaN            NaN
  1363.07        2500.00        98.6761                 NaN  0.281682                 NaN  0.654552                 NaN            NaN            NaN  0.387715                 NaN            NaN            NaN
  1361.57        2500.00        98.6852                 NaN  0.277391                 NaN  0.653398                 NaN            NaN            NaN  0.384057                 NaN            NaN            NaN
  1360.08        2500.00        98.6984                 NaN  0.274789                 NaN  0.647203                 NaN            NaN            NaN  0.379609                 NaN            NaN            NaN
  1358.59        2500.00        98.7099                 NaN  0.271210                 NaN  0.643408                 NaN            NaN            NaN  0.375476                 NaN            NaN            NaN
  1357.09        2500.00        98.7210                 NaN  0.264078                 NaN  0.644337                 NaN            NaN            NaN  0.370565                 NaN            NaN            NaN
  1355.60        2500.00        98.7318                 NaN  0.265768                 NaN  0.635009                 NaN            NaN            NaN  0.367455                 NaN            NaN            NaN
  1354.10        2500.00        98.7425                 NaN  0.259531                 NaN  0.634928                 NaN            NaN            NaN  0.363021                 NaN            NaN            NaN
  1352.61        2500.00        98.7550                 NaN  0.256494                 NaN  0.629754                 NaN            NaN            NaN  0.358752                 NaN            NaN            NaN
  1351.12        2500.00        98.7646                 NaN  0.252890                 NaN  0.627345                 NaN            NaN            NaN  0.355136                 NaN            NaN            NaN
  1349.62        2500.00        98.7753                 NaN  0.250218                 NaN  0.623201                 NaN            NaN            NaN  0.351327                 NaN            NaN            NaN
  1348.13        2500.00        98.7872                 NaN  0.250070                 NaN  0.615336                 NaN            NaN            NaN  0.347426                 NaN            NaN            NaN
  1346.63        2500.00        98.7974                 NaN  0.243962                 NaN  0.615059                 NaN            NaN            NaN  0.343561                 NaN            NaN            NaN
  1345.14        2500.00        98.8042                 NaN  0.237161                 NaN  0.618161                 NaN            NaN            NaN  0.340488                 NaN            NaN            NaN
  1343.65        2500.00        98.8171                 NaN  0.234336                 NaN  0.612874                 NaN            NaN            NaN  0.335716                 NaN            NaN            NaN
  1342.15        2500.00        98.8239                 NaN  0.232765                 NaN  0.609643                 NaN            NaN            NaN  0.333656                 NaN            NaN            NaN
  1340.66        2500.00        98.8360                 NaN  0.228898                 NaN  0.606268                 NaN            NaN            NaN  0.328877                 NaN            NaN            NaN
  1339.16        2500.00        98.8432                 NaN  0.223536                 NaN  0.607196                 NaN            NaN            NaN  0.326030                 NaN            NaN            NaN
  1337.67        2500.00        98.8537                 NaN  0.218062                 NaN  0.605911                 NaN            NaN            NaN  0.322356                 NaN            NaN            NaN
  1336.17        2500.00        98.8609                 NaN  0.216854                 NaN  0.602821                 NaN            NaN            NaN  0.319385                 NaN            NaN            NaN
  1334.68        2500.00        98.8702                 NaN  0.216867                 NaN  0.595686                 NaN            NaN            NaN  0.317288                 NaN            NaN            NaN
  1333.19        2500.00        98.7441                 NaN  0.193041                 NaN  0.653875                 NaN            NaN            NaN  0.340109       0.688705E-001            NaN            NaN
  1331.69        2500.00        98.7546                 NaN  0.193290                 NaN  0.644804                 NaN            NaN            NaN  0.337818       0.694462E-001            NaN            NaN
  1330.20        2500.00        98.7686                 NaN  0.190222                 NaN  0.639650                 NaN            NaN            NaN  0.333502       0.680479E-001            NaN            NaN
  1328.70        2500.00        98.7867                 NaN  0.194501                 NaN  0.622181                 NaN            NaN            NaN  0.329510       0.670851E-001            NaN            NaN
  1327.21        2500.00        98.7984                 NaN  0.184852                 NaN  0.626837                 NaN            NaN            NaN  0.324621       0.652557E-001            NaN            NaN
  1325.72        2500.00        98.8135                 NaN  0.184883                 NaN  0.616587                 NaN            NaN            NaN  0.320991       0.640797E-001            NaN            NaN
  1324.22        2500.00        98.8252                 NaN  0.182610                 NaN  0.611998                 NaN            NaN            NaN  0.317364       0.627811E-001            NaN            NaN
  1322.73        2500.00        98.8400                 NaN  0.179121                 NaN  0.606293                 NaN            NaN            NaN  0.313162       0.614560E-001            NaN            NaN
  1321.23        2500.00        98.8541                 NaN  0.176054                 NaN  0.600656                 NaN            NaN            NaN  0.309043       0.601525E-001            NaN            NaN
  1319.74        2500.00        98.8679                 NaN  0.175865                 NaN  0.591693                 NaN            NaN            NaN  0.305383       0.591655E-001            NaN            NaN
  1318.25        2500.00        98.8797                 NaN  0.172383                 NaN  0.588463                 NaN            NaN            NaN  0.301783       0.576921E-001            NaN            NaN
  1316.75        2500.00        98.8933                 NaN  0.169488                 NaN  0.582991                 NaN            NaN            NaN  0.297686       0.565186E-001            NaN            NaN
  1315.26        2500.00        98.9054                 NaN  0.164919                 NaN  0.580362                 NaN            NaN            NaN  0.294102       0.551759E-001            NaN            NaN
  1313.76        2500.00        98.9161                 NaN  0.162682                 NaN  0.575590                 NaN            NaN            NaN  0.291388       0.542537E-001            NaN            NaN
  1312.27        2500.00        98.9298                 NaN  0.159607                 NaN  0.571110                 NaN            NaN            NaN  0.286813       0.527050E-001            NaN            NaN
  1310.77        2500.00        98.9435                 NaN  0.155614                 NaN  0.566277                 NaN            NaN            NaN  0.283032       0.515572E-001            NaN            NaN
  1309.28        2500.00        98.9536                 NaN  0.152301                 NaN  0.563438                 NaN            NaN            NaN  0.280170       0.504793E-001            NaN            NaN
  1307.79        2500.00        98.9649                 NaN  0.149307                 NaN  0.559708                 NaN            NaN            NaN  0.276732       0.493438E-001            NaN            NaN
  1306.29        2500.00        98.9759                 NaN  0.145983                 NaN  0.556349                 NaN            NaN            NaN  0.273536       0.481974E-001            NaN            NaN
  1304.80        2500.00        98.9878                 NaN  0.145476                 NaN  0.547657                 NaN            NaN            NaN  0.271513       0.475787E-001            NaN            NaN
