|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/T13/T13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1506.76        500.000                 NaN            NaN   99.4630       0.521887       0.151391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN            NaN   99.4673       0.527140       0.556923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000                 NaN            NaN   99.3889       0.557415       0.536625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN            NaN   99.5620       0.438048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000                 NaN            NaN   99.4765       0.523548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000                 NaN            NaN   99.4793       0.520663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000                 NaN            NaN   99.4813       0.518744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000                 NaN            NaN   99.4845       0.515548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000                 NaN            NaN   99.4877       0.512303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000                 NaN            NaN   99.4913       0.508712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000                 NaN            NaN   99.4949       0.505116       0.698531E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN            NaN   99.4960       0.504039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000                 NaN            NaN   99.4998       0.500224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN            NaN   99.5035       0.496484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000                 NaN            NaN   99.5049       0.495096       0.253155E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN            NaN   99.5098       0.490196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        500.000                 NaN            NaN   99.5091       0.490890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN            NaN   99.5146       0.485378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        500.000                 NaN            NaN   99.3098       0.690153       0.125064E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN            NaN   99.7215       0.278458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        500.000                 NaN            NaN   99.5196       0.480379       0.154422E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        500.000                 NaN            NaN   99.5229       0.477057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        500.000                 NaN            NaN   99.5253       0.474683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        500.000                 NaN            NaN   99.5286       0.471414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        500.000                 NaN            NaN   99.5276       0.472412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        500.000                 NaN            NaN   99.5324       0.467580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN            NaN   99.5333       0.466679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        500.000                 NaN            NaN   99.5373       0.462691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        500.000                 NaN            NaN   99.5369       0.463084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000                 NaN            NaN   99.5396       0.460399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        500.000                 NaN            NaN   99.5409       0.459102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        500.000                 NaN            NaN   99.5568       0.443155       0.203169E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        500.000                 NaN            NaN   99.1586       0.351132                 NaN  0.490262                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        500.000                 NaN            NaN   99.0380       0.284450                 NaN  0.677518                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        500.000                 NaN            NaN   99.0358       0.189511                 NaN  0.119254       0.655396                 NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN            NaN   99.0213       0.338551E-002            NaN  0.616689       0.358648                 NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN            NaN   99.0198       0.845220E-001            NaN  0.620735       0.274960                 NaN            NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN            NaN   99.0510       0.134019E-003            NaN  0.607389       0.341527                 NaN            NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN            NaN   99.0493       0.126420E-001            NaN  0.601761       0.336285                 NaN            NaN            NaN            NaN            NaN
  1448.80        500.000                 NaN            NaN   99.0571       0.132944E-001            NaN  0.596887       0.332751                 NaN            NaN            NaN            NaN            NaN
  1447.31        500.000                 NaN            NaN   99.0650                 NaN            NaN  0.590763       0.344200                 NaN            NaN            NaN            NaN            NaN
  1445.83        500.000                 NaN            NaN   99.0736                 NaN            NaN  0.340648       0.585802                 NaN            NaN            NaN            NaN            NaN
  1444.34        500.000                 NaN            NaN   99.0808                 NaN            NaN  0.581719       0.337474                 NaN            NaN            NaN            NaN            NaN
  1442.85        500.000                 NaN            NaN   99.0897                 NaN            NaN  0.333873       0.576389                 NaN            NaN            NaN            NaN            NaN
  1441.37        500.000                 NaN            NaN   99.0990       0.209270                 NaN  0.950088E-001  0.596678                 NaN            NaN            NaN            NaN            NaN
  1439.88        500.000                 NaN            NaN   99.1073                 NaN            NaN  0.566007       0.326683                 NaN            NaN            NaN            NaN            NaN
  1438.40        500.000                 NaN            NaN   99.1145                 NaN            NaN  0.562879       0.322645                 NaN            NaN            NaN            NaN            NaN
  1436.91        500.000                 NaN            NaN   99.1195                 NaN            NaN  0.321914       0.558574                 NaN            NaN            NaN            NaN            NaN
  1435.42        500.000                 NaN            NaN   99.1269                 NaN            NaN  0.554948       0.318197                 NaN            NaN            NaN            NaN            NaN
  1433.94        500.000                 NaN            NaN   99.1328                 NaN            NaN  0.551508       0.315708                 NaN            NaN            NaN            NaN            NaN
  1432.45        500.000                 NaN            NaN   99.1391                 NaN            NaN  0.313244       0.547689                 NaN            NaN            NaN            NaN            NaN
  1430.97        500.000                 NaN            NaN   99.1479                 NaN            NaN  0.542756       0.309374                 NaN            NaN            NaN            NaN            NaN
  1429.48        500.000                 NaN            NaN   99.1518                 NaN            NaN  0.307697       0.540458                 NaN            NaN            NaN            NaN            NaN
  1427.99        500.000                 NaN            NaN   99.1620                 NaN            NaN  0.303808       0.534151                 NaN            NaN            NaN            NaN            NaN
  1426.51        500.000                 NaN            NaN   99.1667                 NaN            NaN  0.531342       0.301932                 NaN            NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN            NaN   99.1730                 NaN            NaN  0.298917       0.528070                 NaN            NaN            NaN            NaN            NaN
  1423.54        500.000                 NaN            NaN   98.9920                 NaN            NaN  0.545538       0.374663       0.877934E-001            NaN            NaN            NaN            NaN
  1422.05        500.000                 NaN            NaN   97.5737                 NaN            NaN  0.970343       0.694503       0.761442                 NaN            NaN            NaN            NaN
  1420.56        500.000                 NaN            NaN   97.6233                 NaN            NaN  0.680985       0.949921       0.745764                 NaN            NaN            NaN            NaN
  1419.08        500.000                 NaN            NaN   97.6685                 NaN            NaN  0.931842       0.668048       0.731625                 NaN            NaN            NaN            NaN
  1417.59        500.000                 NaN            NaN   97.7145                 NaN            NaN  0.655990       0.912500       0.717047                 NaN            NaN            NaN            NaN
  1416.11        500.000                 NaN            NaN   97.7585                 NaN            NaN  0.643302       0.894919       0.703235                 NaN            NaN            NaN            NaN
  1414.62        500.000                 NaN            NaN   97.7974                 NaN            NaN  0.634200       0.878381       0.690055                 NaN            NaN            NaN            NaN
  1413.13        500.000                 NaN            NaN   97.8495                 NaN            NaN  0.858806       0.617385       0.674311                 NaN            NaN            NaN            NaN
  1411.65        500.000                 NaN            NaN   97.8835                 NaN            NaN  0.844576       0.608290       0.663594                 NaN            NaN            NaN            NaN
  1410.16        500.000                 NaN            NaN   97.9207                 NaN            NaN  0.598153       0.829264       0.651874                 NaN            NaN            NaN            NaN
  1408.67        500.000                 NaN            NaN   97.9589                 NaN            NaN  0.814208       0.587431       0.639418                 NaN            NaN            NaN            NaN
  1407.19        500.000                 NaN            NaN   97.9947                 NaN            NaN  0.800481       0.576693       0.628123                 NaN            NaN            NaN            NaN
  1405.70        500.000                 NaN            NaN   98.0301                 NaN  0.518062E-002  0.778342       0.568549       0.617847                 NaN            NaN            NaN            NaN
  1404.22        500.000                 NaN            NaN   98.0583                 NaN  0.162284       0.607732       0.533161       0.638564                 NaN            NaN            NaN            NaN
  1402.73        500.000                 NaN            NaN   98.0916                 NaN  0.182663       0.488717       0.605186       0.631870                 NaN            NaN            NaN            NaN
  1401.24        500.000                 NaN            NaN   98.1252                 NaN  0.184693       0.596873       0.471612       0.621641                 NaN            NaN            NaN            NaN
  1399.76        500.000                 NaN            NaN   98.1561                 NaN  0.187232       0.454157       0.590110       0.612417                 NaN            NaN            NaN            NaN
  1398.27        500.000                 NaN            NaN   98.1883                 NaN  0.188506       0.439392       0.581415       0.602350                 NaN            NaN            NaN            NaN
  1396.79        500.000                 NaN            NaN   98.2190                 NaN  0.190595       0.574406       0.423116       0.592892                 NaN            NaN            NaN            NaN
  1395.30        500.000                 NaN            NaN   98.2489                 NaN  0.192822       0.567851       0.406557       0.583885                 NaN            NaN            NaN            NaN
  1393.81        500.000                 NaN            NaN   98.2759                 NaN  0.195004       0.391887       0.561571       0.575688                 NaN            NaN            NaN            NaN
  1392.33        500.000                 NaN            NaN   98.3048                 NaN  0.196752       0.554735       0.376924       0.566776                 NaN            NaN            NaN            NaN
  1390.84        500.000                 NaN            NaN   98.3310                 NaN  0.198886       0.362576       0.548672       0.558897                 NaN            NaN            NaN            NaN
  1389.36        500.000                 NaN            NaN   98.3584                 NaN  0.200913       0.542639       0.347464       0.550584                 NaN            NaN            NaN            NaN
  1387.87        500.000                 NaN            NaN   98.3846                 NaN  0.202817       0.536489       0.333485       0.542597                 NaN            NaN            NaN            NaN
  1386.38        500.000                 NaN            NaN   98.4089                 NaN  0.204998       0.531575       0.319393       0.535138                 NaN            NaN            NaN            NaN
  1384.90        500.000                 NaN            NaN   98.4323                 NaN  0.206980       0.306401       0.526329       0.527959                 NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN            NaN   98.4575                 NaN  0.209754       0.520804       0.291448       0.520464                 NaN            NaN            NaN            NaN
  1381.93        500.000                 NaN            NaN   98.4834                 NaN  0.209357       0.281531       0.513672       0.512010                 NaN            NaN            NaN            NaN
  1380.44        500.000                 NaN            NaN   98.5041                 NaN  0.212413       0.267508       0.510033       0.505959                 NaN            NaN            NaN            NaN
  1378.95        500.000                 NaN            NaN   98.5258                 NaN  0.214369       0.505436       0.255007       0.499388                 NaN            NaN            NaN            NaN
  1377.47        500.000                 NaN            NaN   98.5474                 NaN  0.216057       0.243066       0.500882       0.492644                 NaN            NaN            NaN            NaN
  1375.98        500.000                 NaN            NaN   98.5675                 NaN  0.218456       0.496713       0.230517       0.486773                 NaN            NaN            NaN            NaN
  1374.49        500.000                 NaN            NaN   98.5920                 NaN  0.219186       0.218868       0.491101       0.478843                 NaN            NaN            NaN            NaN
  1373.01        500.000                 NaN            NaN   98.6095                 NaN  0.221381       0.487180       0.208283       0.473698                 NaN            NaN            NaN            NaN
  1371.52        500.000                 NaN            NaN   98.6304                 NaN  0.222851       0.196468       0.483139       0.467139                 NaN            NaN            NaN            NaN
  1370.04        500.000                 NaN            NaN   98.6494                 NaN  0.224648       0.185622       0.479022       0.461317                 NaN            NaN            NaN            NaN
  1368.55        500.000                 NaN            NaN   98.6690                 NaN  0.226228       0.474781       0.174757       0.455274                 NaN            NaN            NaN            NaN
  1367.06        500.000                 NaN            NaN   98.6869                 NaN  0.227625       0.164328       0.471467       0.449676                 NaN            NaN            NaN            NaN
  1365.58        500.000                 NaN            NaN   98.7047                 NaN  0.228709       0.467180       0.155321       0.444079                 NaN            NaN            NaN            NaN
  1364.09        500.000                 NaN            NaN   98.7234                 NaN  0.230090       0.144870       0.463479       0.438143                 NaN            NaN            NaN            NaN
  1362.61        500.000                 NaN            NaN   98.7390                 NaN  0.231401       0.135934       0.460403       0.433285                 NaN            NaN            NaN            NaN
  1361.12        500.000                 NaN            NaN   98.7574                 NaN  0.232711       0.125644       0.456571       0.427702                 NaN            NaN            NaN            NaN
  1359.63        500.000                 NaN            NaN   98.7740                 NaN  0.233732       0.452987       0.116932       0.422354                 NaN            NaN            NaN            NaN
  1358.15        500.000                 NaN            NaN   98.7851                 NaN  0.236582       0.106591       0.452334       0.419390                 NaN            NaN            NaN            NaN
  1356.66        500.000                 NaN            NaN   98.8114                 NaN  0.234003       0.443985       0.100578       0.410062                 NaN            NaN            NaN            NaN
  1355.18        500.000                 NaN            NaN   98.8211                 NaN  0.236463       0.920152E-001  0.443128       0.407321                 NaN            NaN            NaN            NaN
  1353.69        500.000                 NaN            NaN   98.8387                 NaN  0.237426       0.439515       0.824906E-001  0.401889                 NaN            NaN            NaN            NaN
  1352.20        500.000                 NaN            NaN   98.8530                 NaN  0.238009       0.753153E-001  0.436457       0.397223                 NaN            NaN            NaN            NaN
  1350.72        500.000                 NaN            NaN   98.8671                 NaN  0.239275       0.433133       0.674812E-001  0.392974                 NaN            NaN            NaN            NaN
  1349.23        500.000                 NaN            NaN   98.8837                 NaN  0.238843       0.429746       0.606137E-001  0.387089                 NaN            NaN            NaN            NaN
  1347.75        500.000                 NaN            NaN   98.8960                 NaN  0.239560       0.426914       0.542564E-001  0.383301                 NaN            NaN            NaN            NaN
  1346.26        500.000                 NaN            NaN   98.9107                 NaN  0.240083       0.469112E-001  0.423714       0.378554                 NaN            NaN            NaN            NaN
  1344.77        500.000                 NaN            NaN   98.9234                 NaN  0.240943       0.421263       0.397246E-001  0.374634                 NaN            NaN            NaN            NaN
  1343.29        500.000                 NaN            NaN   98.9384                 NaN  0.239514       0.417676       0.351870E-001  0.369204                 NaN            NaN            NaN            NaN
  1341.80        500.000                 NaN            NaN   98.9517                 NaN  0.239777       0.414230       0.294421E-001  0.364871                 NaN            NaN            NaN            NaN
  1340.31        500.000                 NaN            NaN   98.9640                 NaN  0.239975       0.236780E-001  0.411497       0.360850                 NaN            NaN            NaN            NaN
  1338.83        500.000                 NaN            NaN   98.9771                 NaN  0.239907       0.408600       0.178821E-001  0.356535                 NaN            NaN            NaN            NaN
  1337.34        500.000                 NaN            NaN   98.9900                 NaN  0.239346       0.132234E-001  0.405296       0.352118                 NaN            NaN            NaN            NaN
  1335.86        500.000                 NaN            NaN   99.0016                 NaN  0.238833       0.402753       0.868322E-002  0.348155                 NaN            NaN            NaN            NaN
  1334.37        500.000                 NaN            NaN   99.0136                 NaN  0.238997       0.400324       0.285111E-002  0.344258                 NaN            NaN            NaN            NaN
  1332.88        500.000                 NaN            NaN   99.0215                 NaN  0.223153       0.338001E-001  0.382675       0.338853                 NaN            NaN            NaN            NaN
  1331.40        500.000                 NaN            NaN   99.0366                 NaN  0.235688       0.391679                 NaN  0.336065                 NaN            NaN            NaN            NaN
  1329.91        500.000                 NaN            NaN   99.0456                 NaN  0.229072       0.382941       0.107777E-001  0.331600                 NaN            NaN            NaN            NaN
  1328.43        500.000                 NaN            NaN   99.0619                 NaN  0.229515       0.382586                 NaN  0.326029                 NaN            NaN            NaN            NaN
  1326.94        500.000                 NaN            NaN   99.0584                 NaN  0.231641       0.381732                 NaN  0.328246                 NaN            NaN            NaN            NaN
  1325.45        500.000                 NaN            NaN   99.0893                 NaN  0.222153       0.373301                 NaN  0.315280                 NaN            NaN            NaN            NaN
  1323.97        500.000                 NaN            NaN   99.0893                 NaN  0.224128       0.370496                 NaN  0.316033                 NaN            NaN            NaN            NaN
  1322.48        500.000                 NaN            NaN   99.1004                 NaN  0.221741       0.365966                 NaN  0.311857                 NaN            NaN            NaN            NaN
  1321.00        500.000                 NaN            NaN   99.1106                 NaN  0.218773       0.362626                 NaN  0.308034                 NaN            NaN            NaN            NaN
  1319.51        500.000                 NaN            NaN   99.1200                 NaN  0.216516       0.359085                 NaN  0.304409                 NaN            NaN            NaN            NaN
  1318.02        500.000                 NaN            NaN   99.1300                 NaN  0.214330       0.354988                 NaN  0.300686                 NaN            NaN            NaN            NaN
  1316.54        500.000                 NaN            NaN   99.1399                 NaN  0.211995       0.351119                 NaN  0.297006                 NaN            NaN            NaN            NaN
  1315.05        500.000                 NaN            NaN   99.1487                 NaN  0.210429       0.347242                 NaN  0.293655                 NaN            NaN            NaN            NaN
  1313.57        500.000                 NaN            NaN   99.1585                 NaN  0.207436       0.344169                 NaN  0.289899                 NaN            NaN            NaN            NaN
  1312.08        500.000                 NaN            NaN   99.1676                 NaN  0.205258       0.340553                 NaN  0.286540                 NaN            NaN            NaN            NaN
  1310.59        500.000                 NaN            NaN   99.1757                 NaN  0.203849       0.336962                 NaN  0.283522                 NaN            NaN            NaN            NaN
  1309.11        500.000                 NaN            NaN   99.1875                 NaN  0.200307       0.333314                 NaN  0.278835                 NaN            NaN            NaN            NaN
  1307.62        500.000                 NaN            NaN   99.1956                 NaN  0.198667       0.329708                 NaN  0.276006                 NaN            NaN            NaN            NaN
  1306.13        500.000                 NaN            NaN   99.2036                 NaN  0.196363       0.327135                 NaN  0.272902                 NaN            NaN            NaN            NaN
  1304.65        500.000                 NaN            NaN   99.2040                 NaN  0.193744       0.328800                 NaN  0.273419                 NaN            NaN            NaN            NaN
  1303.16        500.000                 NaN            NaN   99.2283                 NaN  0.192812       0.316380                 NaN  0.262526                 NaN            NaN            NaN            NaN
  1301.68        500.000                 NaN            NaN   99.2253                 NaN  0.190106       0.383625E-002  0.315739       0.265017                 NaN            NaN            NaN            NaN
  1300.19        500.000                 NaN            NaN   99.2417                 NaN  0.186673       0.313458                 NaN  0.258127                 NaN            NaN            NaN            NaN
  1298.70        500.000                 NaN            NaN   99.2471                 NaN  0.185301       0.311139                 NaN  0.256422                 NaN            NaN            NaN            NaN
  1297.22        500.000                 NaN            NaN   99.2536                 NaN  0.182997       0.309631                 NaN  0.253771                 NaN            NaN            NaN            NaN
  1295.73        500.000                 NaN            NaN   99.2633                 NaN  0.180619       0.305744                 NaN  0.250316                 NaN            NaN            NaN            NaN
  1294.25        500.000                 NaN            NaN   99.2705                 NaN  0.178916       0.303001                 NaN  0.247610                 NaN            NaN            NaN            NaN
  1292.76        500.000                 NaN            NaN   99.2789                 NaN  0.176423       0.300206                 NaN  0.244474                 NaN            NaN            NaN            NaN
  1291.27        500.000                 NaN            NaN   99.2867                 NaN  0.174112       0.297664                 NaN  0.241489                 NaN            NaN            NaN            NaN
  1289.79        500.000                 NaN            NaN   99.2950                 NaN  0.171988       0.294535                 NaN  0.238431                 NaN            NaN            NaN            NaN
  1288.30        500.000                 NaN            NaN   99.3021                 NaN  0.170122       0.292046                 NaN  0.235744                 NaN            NaN            NaN            NaN
  1286.82        500.000                 NaN            NaN   99.3096                 NaN  0.167652       0.289872                 NaN  0.232841                 NaN            NaN            NaN            NaN
  1285.33        500.000                 NaN            NaN   99.3168                 NaN  0.165382       0.287681                 NaN  0.230166                 NaN            NaN            NaN            NaN
  1283.84        500.000       0.683596E-002            NaN   99.3171                 NaN  0.156574       0.290794                 NaN  0.228654                 NaN            NaN            NaN            NaN
