|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/T13/T13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1408.67        500.000                 NaN            NaN   97.7511                 NaN            NaN  0.959517       0.681937       0.607408                 NaN            NaN            NaN            NaN
  1407.19        500.000                 NaN            NaN   97.7891                 NaN            NaN  0.944223       0.669941       0.596732                 NaN            NaN            NaN            NaN
  1405.70        500.000                 NaN            NaN   97.8265                 NaN  0.656422E-002  0.918942       0.660969       0.587032                 NaN            NaN            NaN            NaN
  1404.22        500.000                 NaN            NaN   97.8498                 NaN  0.206051       0.707148       0.630168       0.606869                 NaN            NaN            NaN            NaN
  1402.73        500.000                 NaN            NaN   97.8837                 NaN  0.232434       0.578326       0.704860       0.600719                 NaN            NaN            NaN            NaN
  1401.24        500.000                 NaN            NaN   97.9186                 NaN  0.235531       0.695849       0.558764       0.591217                 NaN            NaN            NaN            NaN
  1399.76        500.000                 NaN            NaN   97.9506                 NaN  0.239302       0.538737       0.688653       0.582674                 NaN            NaN            NaN            NaN
  1398.27        500.000                 NaN            NaN   97.9841                 NaN  0.241452       0.521870       0.679244       0.573333                 NaN            NaN            NaN            NaN
  1396.79        500.000                 NaN            NaN   98.0158                 NaN  0.244660       0.671738       0.503207       0.564573                 NaN            NaN            NaN            NaN
  1395.30        500.000                 NaN            NaN   98.0468                 NaN  0.248083       0.664780       0.484083       0.556246                 NaN            NaN            NaN            NaN
  1393.81        500.000                 NaN            NaN   98.0745                 NaN  0.251452       0.467237       0.658137       0.548691                 NaN            NaN            NaN            NaN
  1392.33        500.000                 NaN            NaN   98.1044                 NaN  0.254292       0.650877       0.449982       0.540458                 NaN            NaN            NaN            NaN
  1390.84        500.000                 NaN            NaN   98.1313                 NaN  0.257618       0.433444       0.644452       0.533211                 NaN            NaN            NaN            NaN
  1389.36        500.000                 NaN            NaN   98.1597                 NaN  0.260822       0.638083       0.415887       0.525552                 NaN            NaN            NaN            NaN
  1387.87        500.000                 NaN            NaN   98.1867                 NaN  0.263895       0.631563       0.399681       0.518206                 NaN            NaN            NaN            NaN
  1386.38        500.000                 NaN            NaN   98.2115                 NaN  0.267346       0.626527       0.383313       0.511362                 NaN            NaN            NaN            NaN
  1384.90        500.000                 NaN            NaN   98.2353                 NaN  0.270550       0.368251       0.621086       0.504789                 NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN            NaN   98.2614                 NaN  0.274692       0.615248       0.350734       0.497916                 NaN            NaN            NaN            NaN
  1381.93        500.000                 NaN            NaN   98.2881                 NaN  0.274873       0.339284       0.607584       0.490123                 NaN            NaN            NaN            NaN
  1380.44        500.000                 NaN            NaN   98.3090                 NaN  0.279563       0.322830       0.603985       0.484629                 NaN            NaN            NaN            NaN
  1378.95        500.000                 NaN            NaN   98.3311                 NaN  0.282775       0.599284       0.308169       0.478638                 NaN            NaN            NaN            NaN
  1377.47        500.000                 NaN            NaN   98.3531                 NaN  0.285682       0.294167       0.594611       0.472482                 NaN            NaN            NaN            NaN
  1375.98        500.000                 NaN            NaN   98.3736                 NaN  0.289496       0.590407       0.279354       0.467163                 NaN            NaN            NaN            NaN
  1374.49        500.000                 NaN            NaN   98.3990                 NaN  0.291084       0.265630       0.584455       0.459867                 NaN            NaN            NaN            NaN
  1373.01        500.000                 NaN            NaN   98.4164                 NaN  0.294755       0.580495       0.253156       0.455243                 NaN            NaN            NaN            NaN
  1371.52        500.000                 NaN            NaN   98.4377                 NaN  0.297377       0.239145       0.576473       0.449260                 NaN            NaN            NaN            NaN
  1370.04        500.000                 NaN            NaN   98.4570                 NaN  0.300463       0.226264       0.572282       0.443985                 NaN            NaN            NaN            NaN
  1368.55        500.000                 NaN            NaN   98.4770                 NaN  0.303242       0.567953       0.213340       0.438496                 NaN            NaN            NaN            NaN
  1367.06        500.000                 NaN            NaN   98.4951                 NaN  0.305835       0.200908       0.564731       0.433433                 NaN            NaN            NaN            NaN
  1365.58        500.000                 NaN            NaN   98.5130                 NaN  0.308068       0.560325       0.190195       0.428369                 NaN            NaN            NaN            NaN
  1364.09        500.000                 NaN            NaN   98.5320                 NaN  0.310620       0.177664       0.556690       0.422977                 NaN            NaN            NaN            NaN
  1362.61        500.000                 NaN            NaN   98.5475                 NaN  0.313164       0.166965       0.553766       0.418623                 NaN            NaN            NaN            NaN
  1361.12        500.000                 NaN            NaN   98.5664                 NaN  0.315613       0.154552       0.549896       0.413569                 NaN            NaN            NaN            NaN
  1359.63        500.000                 NaN            NaN   98.5831                 NaN  0.317765       0.546306       0.144057       0.408737                 NaN            NaN            NaN            NaN
  1358.15        500.000                 NaN            NaN   98.5935                 NaN  0.322321       0.131508       0.546465       0.406211                 NaN            NaN            NaN            NaN
  1356.66        500.000                 NaN            NaN   98.6217                 NaN  0.319586       0.536936       0.124291       0.397522                 NaN            NaN            NaN            NaN
  1355.18        500.000                 NaN            NaN   98.6305                 NaN  0.323757       0.113897       0.536688       0.395206                 NaN            NaN            NaN            NaN
  1353.69        500.000                 NaN            NaN   98.6487                 NaN  0.325735       0.533055       0.102261       0.390283                 NaN            NaN            NaN            NaN
  1352.20        500.000                 NaN            NaN   98.6629                 NaN  0.327337       0.935137E-001  0.530116       0.386097                 NaN            NaN            NaN            NaN
  1350.72        500.000                 NaN            NaN   98.6772                 NaN  0.329781       0.526802       0.839210E-001  0.382316                 NaN            NaN            NaN            NaN
  1349.23        500.000                 NaN            NaN   98.6940                 NaN  0.330044       0.523474       0.755043E-001  0.376938                 NaN            NaN            NaN            NaN
  1347.75        500.000                 NaN            NaN   98.7061                 NaN  0.331825       0.520763       0.676921E-001  0.373598                 NaN            NaN            NaN            NaN
  1346.26        500.000                 NaN            NaN   98.7212                 NaN  0.333284       0.586175E-001  0.517603       0.369321                 NaN            NaN            NaN            NaN
  1344.77        500.000                 NaN            NaN   98.7338                 NaN  0.335299       0.515333       0.497160E-001  0.365847                 NaN            NaN            NaN            NaN
  1343.29        500.000                 NaN            NaN   98.7492                 NaN  0.334040       0.511775       0.441080E-001  0.360895                 NaN            NaN            NaN            NaN
  1341.80        500.000                 NaN            NaN   98.7626                 NaN  0.335192       0.508268       0.369707E-001  0.357008                 NaN            NaN            NaN            NaN
  1340.31        500.000                 NaN            NaN   98.7749                 NaN  0.336274       0.297812E-001  0.505653       0.353423                 NaN            NaN            NaN            NaN
  1338.83        500.000                 NaN            NaN   98.7881                 NaN  0.336909       0.502879       0.225286E-001  0.349547                 NaN            NaN            NaN            NaN
  1337.34        500.000                 NaN            NaN   98.8013                 NaN  0.336899       0.166865E-001  0.499545       0.345566                 NaN            NaN            NaN            NaN
  1335.86        500.000                 NaN            NaN   98.8128                 NaN  0.336952       0.497200       0.109748E-001  0.342024                 NaN            NaN            NaN            NaN
  1334.37        500.000                 NaN            NaN   98.8250                 NaN  0.337929       0.494945       0.360956E-002  0.338544                 NaN            NaN            NaN            NaN
  1332.88        500.000                 NaN            NaN   98.8336                 NaN  0.316235       0.428585E-001  0.473756       0.333569                 NaN            NaN            NaN            NaN
  1331.40        500.000                 NaN            NaN   98.8484                 NaN  0.334736       0.485698                 NaN  0.331169                 NaN            NaN            NaN            NaN
  1329.91        500.000                 NaN            NaN   98.8576                 NaN  0.326093       0.475485       0.137076E-001  0.327111                 NaN            NaN            NaN            NaN
  1328.43        500.000                 NaN            NaN   98.8747                 NaN  0.327534       0.475837                 NaN  0.321955                 NaN            NaN            NaN            NaN
  1326.94        500.000                 NaN            NaN   98.8685                 NaN  0.331371       0.475655                 NaN  0.324484                 NaN            NaN            NaN            NaN
  1325.45        500.000                 NaN            NaN   98.9038                 NaN  0.318426       0.465730                 NaN  0.312009                 NaN            NaN            NaN            NaN
  1323.97        500.000                 NaN            NaN   98.9019                 NaN  0.322027       0.462974                 NaN  0.313083                 NaN            NaN            NaN            NaN
  1322.48        500.000                 NaN            NaN   98.9134                 NaN  0.319320       0.457952                 NaN  0.309281                 NaN            NaN            NaN            NaN
  1321.00        500.000                 NaN            NaN   98.9240                 NaN  0.315733       0.454463                 NaN  0.305820                 NaN            NaN            NaN            NaN
  1319.51        500.000                 NaN            NaN   98.9335                 NaN  0.313163       0.450752                 NaN  0.302550                 NaN            NaN            NaN            NaN
  1318.02        500.000                 NaN            NaN   98.9439                 NaN  0.310680       0.446280                 NaN  0.299176                 NaN            NaN            NaN            NaN
  1316.54        500.000                 NaN            NaN   98.9541                 NaN  0.307968       0.442076                 NaN  0.295838                 NaN            NaN            NaN            NaN
  1315.05        500.000                 NaN            NaN   98.9629                 NaN  0.306400       0.437856                 NaN  0.292822                 NaN            NaN            NaN            NaN
  1313.57        500.000                 NaN            NaN   98.9733                 NaN  0.302697       0.434654                 NaN  0.289396                 NaN            NaN            NaN            NaN
  1312.08        500.000                 NaN            NaN   98.9827                 NaN  0.300148       0.430790                 NaN  0.286360                 NaN            NaN            NaN            NaN
  1310.59        500.000                 NaN            NaN   98.9907                 NaN  0.298775       0.426867                 NaN  0.283659                 NaN            NaN            NaN            NaN
  1309.11        500.000                 NaN            NaN   99.0037                 NaN  0.294186       0.422883                 NaN  0.279281                 NaN            NaN            NaN            NaN
  1307.62        500.000                 NaN            NaN   99.0120                 NaN  0.292401       0.418883                 NaN  0.276756                 NaN            NaN            NaN            NaN
  1306.13        500.000                 NaN            NaN   99.0201                 NaN  0.289668       0.416333                 NaN  0.273949                 NaN            NaN            NaN            NaN
  1304.65        500.000                 NaN            NaN   99.0196                 NaN  0.286551       0.419065                 NaN  0.274774                 NaN            NaN            NaN            NaN
  1303.16        500.000                 NaN            NaN   99.0464                 NaN  0.285626       0.403854                 NaN  0.264129                 NaN            NaN            NaN            NaN
  1301.68        500.000                 NaN            NaN   99.0422                 NaN  0.282186       0.503512E-002  0.403638       0.266932                 NaN            NaN            NaN            NaN
  1300.19        500.000                 NaN            NaN   99.0607                 NaN  0.277733       0.401318                 NaN  0.260289                 NaN            NaN            NaN            NaN
  1298.70        500.000                 NaN            NaN   99.0659                 NaN  0.276260       0.398975                 NaN  0.258860                 NaN            NaN            NaN            NaN
  1297.22        500.000                 NaN            NaN   99.0724                 NaN  0.273439       0.397721                 NaN  0.256472                 NaN            NaN            NaN            NaN
  1295.73        500.000                 NaN            NaN   99.0831                 NaN  0.270386       0.393262                 NaN  0.253268                 NaN            NaN            NaN            NaN
  1294.25        500.000                 NaN            NaN   99.0904                 NaN  0.268438       0.390337                 NaN  0.250814                 NaN            NaN            NaN            NaN
  1292.76        500.000                 NaN            NaN   99.0995                 NaN  0.265190       0.387345                 NaN  0.247918                 NaN            NaN            NaN            NaN
  1291.27        500.000                 NaN            NaN   99.1079                 NaN  0.262271       0.384625                 NaN  0.245169                 NaN            NaN            NaN            NaN
  1289.79        500.000                 NaN            NaN   99.1169                 NaN  0.259577       0.381163                 NaN  0.242338                 NaN            NaN            NaN            NaN
  1288.30        500.000                 NaN            NaN   99.1243                 NaN  0.257325       0.378502                 NaN  0.239879                 NaN            NaN            NaN            NaN
  1286.82        500.000                 NaN            NaN   99.1324                 NaN  0.254104       0.376273                 NaN  0.237193                 NaN            NaN            NaN            NaN
  1285.33        500.000                 NaN            NaN   99.1401                 NaN  0.251160       0.374021                 NaN  0.234734                 NaN            NaN            NaN            NaN
  1283.84        500.000       0.120584E-001            NaN   99.1377                 NaN  0.238227       0.378600                 NaN  0.233455                 NaN            NaN            NaN            NaN
