|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/LAR/LAR_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q              pxmn          
  1358.59        500.000        99.2109       0.273331       0.165666       0.229036       0.121020                 NaN            NaN            NaN            NaN            NaN
  1357.60        500.000        99.2172       0.272012       0.162063       0.227276       0.121435                 NaN            NaN            NaN            NaN            NaN
  1356.60        500.000        99.2230       0.158020       0.270811       0.225857       0.122352                 NaN            NaN            NaN            NaN            NaN
  1355.60        500.000        99.2315       0.267800       0.156539       0.223008       0.121139                 NaN            NaN            NaN            NaN            NaN
  1354.61        500.000        99.2339       0.150964       0.268406       0.222859       0.123837                 NaN            NaN            NaN            NaN            NaN
  1353.61        500.000        99.2463       0.263300       0.151229       0.218475       0.120655                 NaN            NaN            NaN            NaN            NaN
  1352.62        500.000        99.2488       0.263589       0.147604       0.218114       0.121933                 NaN            NaN            NaN            NaN            NaN
  1351.62        500.000        99.2561       0.261844       0.143285       0.216195       0.122612                 NaN            NaN            NaN            NaN            NaN
  1350.62        500.000        99.2621       0.140963       0.260244       0.214264       0.122404                 NaN            NaN            NaN            NaN            NaN
  1349.63        500.000        99.2680       0.258551       0.138380       0.212558       0.122474                 NaN            NaN            NaN            NaN            NaN
  1348.63        500.000        99.2738       0.135723       0.257076       0.210878       0.122524                 NaN            NaN            NaN            NaN            NaN
  1347.64        500.000        99.2796       0.132902       0.255650       0.209173       0.122652                 NaN            NaN            NaN            NaN            NaN
  1346.64        500.000        99.2848       0.254421       0.130693       0.207574       0.122546                 NaN            NaN            NaN            NaN            NaN
  1345.64        500.000        99.2872       0.253788       0.126637       0.207552       0.124852                 NaN            NaN            NaN            NaN            NaN
  1344.65        500.000        99.3012       0.249365       0.126702       0.202307       0.120419                 NaN            NaN            NaN            NaN            NaN
  1343.65        500.000        99.2924       0.128786       0.250795       0.206137       0.121855                 NaN            NaN            NaN            NaN            NaN
  1342.66        500.000        99.3192       0.113453       0.246862       0.197079       0.123400                 NaN            NaN            NaN            NaN            NaN
  1341.66        500.000        99.3136       0.246204       0.119401       0.199015       0.121738                 NaN            NaN            NaN            NaN            NaN
  1340.66        500.000        99.3190       0.116014       0.245122       0.197589       0.122313                 NaN            NaN            NaN            NaN            NaN
  1339.67        500.000        99.3234       0.114259       0.243818       0.196291       0.122214                 NaN            NaN            NaN            NaN            NaN
  1338.67        500.000        99.3290       0.112307       0.242016       0.194511       0.122173                 NaN            NaN            NaN            NaN            NaN
  1337.67        500.000        99.1898       0.135270       0.292812       0.234699       0.147400                 NaN            NaN            NaN            NaN            NaN
  1336.68        500.000        99.4840       0.850623E-001  0.187102       0.149235       0.945978E-001            NaN            NaN            NaN            NaN            NaN
  1335.68        500.000        99.3442       0.107016       0.237873       0.189986       0.120957                 NaN            NaN            NaN            NaN            NaN
  1334.69        500.000        99.3502       0.236664       0.103985       0.188092       0.121086                 NaN            NaN            NaN            NaN            NaN
  1333.69        500.000        99.3546       0.102593       0.235347       0.186810       0.120690                 NaN            NaN            NaN            NaN            NaN
  1332.69        500.000        99.5132       0.768789E-001  0.177485       0.140987       0.914820E-001            NaN            NaN            NaN            NaN            NaN
  1331.70        500.000        99.2092       0.125371       0.288721       0.228372       0.148296                 NaN            NaN            NaN            NaN            NaN
  1330.70        500.000        99.3688       0.981146E-001  0.231059       0.182426       0.119568                 NaN            NaN            NaN            NaN            NaN
  1329.71        500.000        99.3731       0.998422E-001  0.228760       0.180953       0.117363                 NaN            NaN            NaN            NaN            NaN
  1328.71        500.000        99.3788       0.228965       0.920888E-001  0.179612       0.120550                 NaN            NaN            NaN            NaN            NaN
  1327.71        500.000        99.3822       0.227016       0.943582E-001  0.178219       0.118165                 NaN            NaN            NaN            NaN            NaN
  1326.72        500.000        99.3867       0.225562       0.933514E-001  0.176849       0.117580                 NaN            NaN            NaN            NaN            NaN
  1325.72        500.000        99.1601       0.305271       0.134812       0.242519       0.157281                 NaN            NaN            NaN            NaN            NaN
  1324.73        500.000        99.6278       0.139841       0.513090E-001  0.106827       0.742514E-001            NaN            NaN            NaN            NaN            NaN
  1323.73        500.000        99.4007       0.221367       0.890322E-001  0.172606       0.116325                 NaN            NaN            NaN            NaN            NaN
  1322.73        500.000        99.4047       0.880780E-001  0.220144       0.171319       0.115723                 NaN            NaN            NaN            NaN            NaN
  1321.74        500.000        99.4089       0.870786E-001  0.219067       0.169938       0.115022                 NaN            NaN            NaN            NaN            NaN
  1320.74        500.000        99.4129       0.217792       0.855099E-001  0.168788       0.115039                 NaN            NaN            NaN            NaN            NaN
  1319.74        500.000        99.4171       0.844720E-001  0.216521       0.167533       0.114425                 NaN            NaN            NaN            NaN            NaN
  1318.75        500.000        99.4223       0.856051E-001  0.214082       0.165666       0.112345                 NaN            NaN            NaN            NaN            NaN
  1317.75        500.000        99.4253       0.213624       0.838117E-001  0.164762       0.112455                 NaN            NaN            NaN            NaN            NaN
  1316.76        500.000        99.4293       0.830153E-001  0.212377       0.163537       0.111812                 NaN            NaN            NaN            NaN            NaN
  1315.76        500.000        99.4337       0.210612       0.823697E-001  0.162169       0.111111                 NaN            NaN            NaN            NaN            NaN
  1314.76        500.000        99.4372       0.209791       0.814344E-001  0.161066       0.110531                 NaN            NaN            NaN            NaN            NaN
  1313.77        500.000        99.4409       0.816693E-001  0.208197       0.159751       0.109436                 NaN            NaN            NaN            NaN            NaN
  1312.77        500.000        99.4446       0.803388E-001  0.206872       0.158769       0.109414                 NaN            NaN            NaN            NaN            NaN
  1311.78        500.000        99.4489       0.823434E-001  0.204653       0.157105       0.106956                 NaN            NaN            NaN            NaN            NaN
  1310.78        500.000        99.4522       0.203892       0.810524E-001  0.156116       0.106755                 NaN            NaN            NaN            NaN            NaN
  1309.78        500.000        99.4559       0.805083E-001  0.202694       0.154930       0.105974                 NaN            NaN            NaN            NaN            NaN
  1308.79        500.000        99.4592       0.805756E-001  0.201436       0.153833       0.104954                 NaN            NaN            NaN            NaN            NaN
  1307.79        500.000        99.4632       0.199966       0.803269E-001  0.152521       0.103983                 NaN            NaN            NaN            NaN            NaN
  1306.80        500.000        99.4666       0.198634       0.800836E-001  0.151459       0.103213                 NaN            NaN            NaN            NaN            NaN
  1305.80        500.000        99.4696       0.197447       0.802947E-001  0.150402       0.102222                 NaN            NaN            NaN            NaN            NaN
  1304.80        500.000        99.4736       0.802396E-001  0.195892       0.149131       0.101136                 NaN            NaN            NaN            NaN            NaN
  1303.81        500.000        99.4765       0.194479       0.808921E-001  0.148137       0.999850E-001            NaN            NaN            NaN            NaN            NaN
  1302.81        500.000        99.4798       0.193595       0.803142E-001  0.147071       0.992258E-001            NaN            NaN            NaN            NaN            NaN
  1301.82        500.000        99.4840       0.191290       0.811877E-001  0.145719       0.978117E-001            NaN            NaN            NaN            NaN            NaN
  1300.82        500.000        99.4861       0.190716       0.808896E-001  0.144994       0.972582E-001            NaN            NaN            NaN            NaN            NaN
  1299.82        500.000        99.4900       0.820420E-001  0.188521       0.143750       0.957339E-001            NaN            NaN            NaN            NaN            NaN
  1298.83        500.000        99.4934       0.187509       0.821036E-001  0.142570       0.944444E-001            NaN            NaN            NaN            NaN            NaN
  1297.83        500.000        99.4967       0.827283E-001  0.185881       0.141448       0.932894E-001            NaN            NaN            NaN            NaN            NaN
  1296.83        500.000        99.5150       0.754731E-001  0.180739       0.136667       0.921270E-001            NaN            NaN            NaN            NaN            NaN
  1295.84        500.000        99.4870       0.903579E-001  0.187413       0.143462       0.917674E-001            NaN            NaN            NaN            NaN            NaN
  1294.84        500.000        99.5037       0.183587       0.796480E-001  0.139702       0.933816E-001            NaN            NaN            NaN            NaN            NaN
  1293.85        500.000        99.5109       0.177920       0.892481E-001  0.136278       0.856643E-001            NaN            NaN            NaN            NaN            NaN
  1292.85        500.000        99.5096       0.862556E-001  0.179396       0.137109       0.876698E-001            NaN            NaN            NaN            NaN            NaN
  1291.85        500.000        99.5150       0.176289       0.885157E-001  0.135193       0.850301E-001            NaN            NaN            NaN            NaN            NaN
  1290.86        500.000        99.5171       0.873435E-001  0.175976       0.134619       0.849796E-001            NaN            NaN            NaN            NaN            NaN
  1289.86        500.000        99.5201       0.882093E-001  0.174221       0.133652       0.837783E-001            NaN            NaN            NaN            NaN            NaN
  1288.87        500.000        99.5230       0.173006       0.890853E-001  0.132609       0.822535E-001            NaN            NaN            NaN            NaN            NaN
  1287.87        500.000        99.5258       0.171283       0.899367E-001  0.131750       0.812634E-001            NaN            NaN            NaN            NaN            NaN
  1286.87        500.000        99.5274       0.931581E-001  0.169578       0.130984       0.789189E-001            NaN            NaN            NaN            NaN            NaN
  1285.88        500.000        99.5309       0.934791E-001  0.167778       0.129928       0.779492E-001            NaN            NaN            NaN            NaN            NaN
  1284.88        500.000        99.5336       0.936508E-001  0.166921       0.128968       0.768142E-001            NaN            NaN            NaN            NaN            NaN
  1283.89        500.000        99.5359       0.945041E-001  0.165623       0.128268       0.757425E-001            NaN            NaN            NaN            NaN            NaN
  1282.89        500.000        99.5392       0.956121E-001  0.163694       0.127164       0.743045E-001            NaN            NaN            NaN            NaN            NaN
  1281.89        500.000        99.5418       0.969578E-001  0.162143       0.126298       0.728238E-001            NaN            NaN            NaN            NaN            NaN
  1280.90        500.000        99.5439       0.160322       0.991163E-001  0.125523       0.711301E-001            NaN            NaN            NaN            NaN            NaN
  1279.90        500.000        99.5462       0.158805       0.100363       0.124749       0.698559E-001            NaN            NaN            NaN            NaN            NaN
  1278.91        500.000        98.5849       0.304196       0.236332       0.227683       0.654622E-001  0.581391                 NaN            NaN            NaN            NaN
  1277.91        500.000        93.7336       0.616083        1.36549       0.749350       0.323384E-001   3.50318                 NaN            NaN            NaN            NaN
  1276.91        500.000        93.9908        1.32373       0.588581       0.721701       0.286853E-001   3.34646                 NaN            NaN            NaN            NaN
  1275.92        500.000        94.2400       0.557739        1.29219       0.694325       0.203876E-001   3.19537                 NaN            NaN            NaN            NaN
  1274.92        500.000        94.4569       0.529803        1.26585       0.670891       0.141305E-001   3.06245                 NaN            NaN            NaN            NaN
  1273.92        500.000        94.5902       0.517454        1.23839       0.658012       0.174814E-001   2.97850                 NaN            NaN            NaN            NaN
  1272.93        500.000        94.8972        1.21566       0.470517       0.622179       0.572226E-003   2.79388                 NaN            NaN            NaN            NaN
  1271.93        500.000        95.0204       0.453483        1.19817       0.609935                 NaN   2.71801                 NaN            NaN            NaN            NaN
  1270.94        500.000        95.1926       0.433441        1.16796       0.591368                 NaN   2.61464                 NaN            NaN            NaN            NaN
  1269.94        500.000        95.3550       0.410460        1.14431       0.573774                 NaN   2.51645                 NaN            NaN            NaN            NaN
  1268.94        500.000        95.5013       0.389768        1.12306       0.558093                 NaN   2.42773                 NaN            NaN            NaN            NaN
  1267.95        500.000        95.6437        1.10236       0.369249       0.542664       0.198726E-005   2.34200                 NaN            NaN            NaN            NaN
  1266.95        500.000        95.7681        1.08945       0.347144       0.529397                 NaN   2.26589                 NaN            NaN            NaN            NaN
  1265.96        500.000        95.9026        1.07107       0.326091       0.514615                 NaN   2.18563                 NaN            NaN            NaN            NaN
  1264.96        500.000        96.0186        1.05791       0.305212       0.502069                 NaN   2.11622                 NaN            NaN            NaN            NaN
  1263.96        500.000        95.4647       0.462715        1.01864       0.566112                 NaN   2.41041                 NaN  0.774701E-001            NaN            NaN
  1262.97        500.000        94.8770       0.766545       0.739379       0.636513       0.837826E-001   2.73147                 NaN  0.165322                 NaN            NaN
  1261.97        500.000        95.0985       0.945114       0.338629       0.614577       0.216131        2.62254                 NaN  0.164508                 NaN            NaN
  1260.98        500.000        95.3144       0.910845       0.322691       0.588778       0.204848        2.50197                 NaN  0.156427                 NaN            NaN
  1259.98        500.000        95.5046       0.878108       0.311235       0.566333       0.195536        2.39505                 NaN  0.149096                 NaN            NaN
  1258.98        500.000        95.6878       0.421561       0.773669       0.543513       0.144674        2.28883                 NaN  0.139989                 NaN            NaN
  1257.99        500.000        95.8592       0.895724       0.160544       0.524810       0.219312        2.20234                 NaN  0.138020                 NaN            NaN
  1256.99        500.000        96.0104       0.792754       0.277876       0.505676       0.169160        2.11404                 NaN  0.130065                 NaN            NaN
  1256.00        500.000        96.7688                 NaN            NaN  0.460042       0.600757        2.11622                 NaN  0.541373E-001            NaN            NaN
  1255.00        500.000        95.5536        1.76012                 NaN  0.528880                 NaN   1.95392                 NaN  0.203457                 NaN            NaN
  1254.00        500.000        96.4183       0.479724       0.675758       0.444711       0.567664E-005   1.86919                 NaN  0.112303                 NaN            NaN
  1253.01        500.000        96.5237       0.740295       0.376885       0.440867       0.520522E-004   1.81533                 NaN  0.102878                 NaN            NaN
  1252.01        500.000        96.6389       0.459098       0.571162       0.427652       0.431087E-001   1.75876                 NaN  0.101325                 NaN            NaN
  1251.01        500.000        96.7588       0.667254       0.220301       0.414468       0.133363        1.70357                 NaN  0.102214                 NaN            NaN
  1250.02        500.000        96.8554       0.661319       0.199291       0.402446       0.130870        1.65187                 NaN  0.987917E-001            NaN            NaN
  1249.02        500.000        96.9498       0.194723       0.642785       0.390753       0.125746        1.60092                 NaN  0.952595E-001            NaN            NaN
  1248.03        500.000        97.0392       0.626360       0.189118       0.379518       0.121108        1.55279                 NaN  0.919244E-001            NaN            NaN
  1247.03        500.000        97.1218       0.176799       0.616019       0.369274       0.118725        1.50854                 NaN  0.888913E-001            NaN            NaN
  1246.03        500.000        97.2046       0.163705       0.608003       0.358657       0.114996        1.46421                 NaN  0.858561E-001            NaN            NaN
  1245.04        500.000        97.2810       0.593297       0.159405       0.349091       0.110745        1.42349                 NaN  0.829982E-001            NaN            NaN
  1244.04        500.000        97.3539       0.584356       0.149322       0.339715       0.107668        1.38477                 NaN  0.802996E-001            NaN            NaN
  1243.05        500.000        97.4229       0.570657       0.146378       0.331001       0.103459        1.34797                 NaN  0.776541E-001            NaN            NaN
  1242.05        500.000        97.4893       0.555566       0.145854       0.322401       0.991891E-001   1.31264                 NaN  0.750733E-001            NaN            NaN
  1241.05        500.000        97.5540       0.129464       0.553308       0.314126       0.976054E-001   1.27872                 NaN  0.727439E-001            NaN            NaN
  1240.06        500.000        97.6126       0.529057       0.141955       0.306427       0.919146E-001   1.24771                 NaN  0.703857E-001            NaN            NaN
  1239.06        500.000        97.6715       0.527538       0.127494       0.298873       0.897648E-001   1.21667                 NaN  0.681685E-001            NaN            NaN
  1238.07        500.000        97.7276       0.513827       0.127725       0.291448       0.860928E-001   1.18731                 NaN  0.659609E-001            NaN            NaN
  1237.07        500.000        97.7821       0.147663       0.483453       0.284528       0.802190E-001   1.15829                 NaN  0.637087E-001            NaN            NaN
  1236.07        500.000        97.8324       0.102091       0.511373       0.277639       0.818606E-001   1.13254                 NaN  0.620566E-001            NaN            NaN
  1235.08        500.000        97.8738       0.330116       0.304549       0.272742       0.537277E-001   1.10658                 NaN  0.584784E-001            NaN            NaN
  1234.08        500.000        97.9306       0.254067       0.360134       0.265386       0.539152E-001   1.07915                 NaN  0.567703E-001            NaN            NaN
  1233.09        500.000        97.9739       0.571446                 NaN  0.258427       0.799156E-001   1.05923                 NaN  0.571061E-001            NaN            NaN
  1232.09        500.000        98.0281       0.546059                 NaN  0.251297       0.853154E-001   1.03351                 NaN  0.557117E-001            NaN            NaN
  1231.09        500.000        98.0627       0.563340                 NaN  0.247150       0.620730E-001   1.01207                 NaN  0.526761E-001            NaN            NaN
  1230.10        500.000        98.1011       0.564097                 NaN  0.242114       0.514760E-001  0.990672                 NaN  0.505189E-001            NaN            NaN
  1229.10        500.000        98.1362       0.572972                 NaN  0.237648       0.350709E-001  0.970035                 NaN  0.480496E-001            NaN            NaN
  1228.10        500.000        98.1929       0.504097                 NaN  0.229164       0.757089E-001  0.948783                 NaN  0.493080E-001            NaN            NaN
  1227.11        500.000        98.2083       0.560760                 NaN  0.227825       0.265674E-001  0.931696                 NaN  0.448846E-001            NaN            NaN
  1226.11        500.000        98.2511       0.532542                 NaN  0.221891       0.377570E-001  0.912460                 NaN  0.442916E-001            NaN            NaN
  1225.12        500.000        98.2824       0.540658                 NaN  0.217800       0.229395E-001  0.894037                 NaN  0.421223E-001            NaN            NaN
  1224.12        500.000        98.3211       0.512025                 NaN  0.212144       0.360993E-001  0.876927                 NaN  0.417400E-001            NaN            NaN
  1223.12        500.000        98.3550       0.512039                 NaN  0.207660       0.267578E-001  0.858564                 NaN  0.399560E-001            NaN            NaN
  1222.13        500.000        98.3783       0.523541                 NaN  0.204742       0.117052E-001  0.843786                 NaN  0.379336E-001            NaN            NaN
  1221.13        500.000        98.4111       0.511858                 NaN  0.200086       0.123270E-001  0.827715                 NaN  0.368880E-001            NaN            NaN
  1220.14        500.000        98.4429       0.497158                 NaN  0.195517       0.162264E-001  0.812205                 NaN  0.360278E-001            NaN            NaN
  1219.14        500.000        98.4727       0.484143                 NaN  0.191814       0.186517E-001  0.797721                 NaN  0.349272E-001            NaN            NaN
  1218.14        500.000        98.4972       0.499009                 NaN  0.187638       0.147940E-005  0.782852                 NaN  0.332922E-001            NaN            NaN
  1217.15        500.000        98.5243       0.484039                 NaN  0.184374       0.545121E-002  0.769493                 NaN  0.323405E-001            NaN            NaN
  1216.15        500.000        98.5529       0.477572                 NaN  0.180584       0.301357E-002  0.754801                 NaN  0.311793E-001            NaN            NaN
  1215.16        500.000        98.5814       0.469884                 NaN  0.176938       0.643132E-003  0.741195                 NaN  0.299494E-001            NaN            NaN
  1214.16        500.000        98.6054       0.464120                 NaN  0.173365                 NaN  0.728075                 NaN  0.290852E-001            NaN            NaN
  1213.16        500.000        98.6295       0.456416                 NaN  0.169992                 NaN  0.715878                 NaN  0.282371E-001            NaN            NaN
  1212.17        500.000        98.6550       0.447908                 NaN  0.166259                 NaN  0.703449                 NaN  0.274275E-001            NaN            NaN
  1211.17        500.000        98.6805       0.438911                 NaN  0.162183                 NaN  0.691613                 NaN  0.268389E-001            NaN            NaN
  1210.18        500.000        98.7054       0.430314                 NaN  0.158904                 NaN  0.679271                 NaN  0.260937E-001            NaN            NaN
  1209.18        500.000        98.7252       0.425231                 NaN  0.157440                 NaN  0.667676                 NaN  0.244622E-001            NaN            NaN
  1208.18        500.000        84.9286        4.65476                 NaN   1.86578       0.229056        8.05541                 NaN  0.266376                 NaN            NaN
  1207.19        500.000        99.7307       0.308420E-001            NaN  0.486643E-001            NaN  0.185975                 NaN  0.380328E-002            NaN            NaN
  1206.19        500.000        99.9191       0.648885E-002            NaN  0.141012E-001  0.127518E-001  0.472755E-001            NaN  0.313644E-003            NaN            NaN
  1205.19        500.000        99.9245       0.574739E-002            NaN  0.138816E-001  0.152623E-001  0.404793E-001            NaN  0.848999E-004            NaN            NaN
  1204.20        500.000        99.9519       0.283407E-001            NaN  0.110888E-002            NaN  0.186466E-001            NaN            NaN            NaN            NaN
  1203.20        500.000        99.8218       0.956388E-001  0.344046E-001            NaN            NaN  0.434968E-001            NaN  0.464895E-002            NaN            NaN
  1202.21        500.000        99.8794       0.413583E-001  0.238551E-001  0.145087E-001            NaN  0.408381E-001            NaN            NaN            NaN            NaN
  1201.21        500.000        99.9245                 NaN            NaN  0.845017E-002            NaN  0.592353E-001            NaN  0.784150E-002            NaN            NaN
  1200.21        500.000        99.1056       0.467103E-001  0.133616       0.724333E-001            NaN  0.425747                 NaN  0.166260E-001  0.199269                 NaN
  1199.22        500.000        99.9582       0.287023E-002  0.490237E-002  0.371704E-002            NaN  0.130148E-001            NaN  0.339434E-003  0.169092E-001            NaN
  1198.22        500.000        99.9972                 NaN            NaN  0.152098E-003            NaN  0.856465E-003            NaN  0.339521E-004  0.176912E-002            NaN
  1197.23        500.000        99.9819       0.310343E-002            NaN  0.159456E-002            NaN  0.505009E-002            NaN  0.242718E-004  0.831879E-002            NaN
  1196.23        500.000        99.9965       0.281950E-003  0.126610E-002  0.441573E-003            NaN  0.147911E-002            NaN  0.327815E-004            NaN            NaN
  1195.23        500.000        99.9917       0.260098E-002            NaN  0.463824E-003            NaN  0.516029E-002            NaN  0.491991E-004            NaN            NaN
  1194.24        500.000        99.9767       0.401631E-002            NaN  0.172631E-002            NaN  0.977316E-002            NaN  0.310470E-003  0.748604E-002            NaN
  1193.24        500.000        99.7175       0.253855                 NaN  0.200454E-001            NaN            NaN            NaN            NaN  0.864195E-002            NaN
  1192.25        500.000        97.8798                 NaN            NaN  0.167220       0.675403E-001  0.945629                 NaN  0.220416E-001  0.917743                 NaN
  1191.25        500.000        90.5198        1.51811                 NaN  0.751674                 NaN   3.60136                 NaN  0.697059E-001   3.53934                 NaN
  1190.25        500.000        88.1435        1.46644       0.155087       0.953490       0.604079E-009   2.41354        2.25552       0.788969E-001   4.53352       0.632189E-015
  1189.26        500.000        88.9987       0.875816       0.688282       0.866654                 NaN   4.31176                 NaN  0.749168E-001   4.18385                 NaN
  1188.26        500.000        99.9936       0.788591E-003            NaN  0.501847E-003  0.294387E-004  0.257027E-002            NaN  0.408958E-004  0.246544E-002            NaN
  1187.26        500.000        37.5074        7.83812                 NaN   4.75407                 NaN   25.3416                 NaN  0.374465        24.1843                 NaN
  1186.27        500.000                 NaN   11.0198        1.21752        7.50869                 NaN   40.7736                 NaN  0.589277        38.8912                 NaN
  1185.27        500.000                 NaN   11.1532        1.08541        7.51059                 NaN   40.7710                 NaN  0.588649        38.8912                 NaN
  1184.28        500.000                 NaN   11.1575        1.08194        7.51217                 NaN   40.7689                 NaN  0.588201        38.8913                 NaN
  1183.28        500.000                 NaN   11.1653        1.07507        7.51378                 NaN   40.7667                 NaN  0.587742        38.8914                 NaN
  1182.28        500.000                 NaN   11.1655        1.07577        7.51537                 NaN   40.7646                 NaN  0.587291        38.8915                 NaN
  1181.29        500.000                 NaN   11.1667        1.07552        7.51699                 NaN   40.7624                 NaN  0.586831        38.8916                 NaN
  1180.29        500.000                 NaN   11.1652        1.07794        7.51861                 NaN   40.7602                 NaN  0.586370        38.8917                 NaN
  1179.30        500.000                 NaN   11.1714        1.07266        7.52031                 NaN   40.7579                 NaN  0.585881        38.8918                 NaN
  1178.30        500.000                 NaN   12.2465                 NaN   7.52584                 NaN   40.7524                 NaN  0.584799        38.8904                 NaN
  1177.30        500.000                 NaN   12.2482                 NaN   7.52793                 NaN   40.7493                 NaN  0.584051        38.8905                 NaN
  1176.31        500.000                 NaN   12.2002       0.565451E-001   7.53247                 NaN   40.7382                 NaN  0.580748        38.8918                 NaN
  1175.31        500.000                 NaN   11.0855        1.16207        7.52680                 NaN   40.7492                 NaN  0.584118        38.8923                 NaN
  1174.32        500.000                 NaN   11.0735        1.17507        7.52860                 NaN   40.7467                 NaN  0.583619        38.8925                 NaN
  1173.32        500.000                 NaN   11.0586        1.19106        7.53044                 NaN   40.7442                 NaN  0.583109        38.8926                 NaN
  1172.32        500.000                 NaN   11.0404        1.21026        7.53234                 NaN   40.7416                 NaN  0.582587        38.8928                 NaN
