|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/LAR/LAR_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q              pxmn          
  1350.62        500.000        99.3769       0.111443       0.209926       0.213417       0.882904E-001            NaN            NaN            NaN            NaN            NaN
  1349.63        500.000        99.3825       0.208378       0.109296       0.211591       0.882140E-001            NaN            NaN            NaN            NaN            NaN
  1348.63        500.000        99.3880       0.107094       0.207006       0.209794       0.881191E-001            NaN            NaN            NaN            NaN            NaN
  1347.64        500.000        99.3935       0.104771       0.205681       0.207974       0.880888E-001            NaN            NaN            NaN            NaN            NaN
  1346.64        500.000        99.3984       0.204502       0.102923       0.206261       0.878737E-001            NaN            NaN            NaN            NaN            NaN
  1345.64        500.000        99.4010       0.203845       0.996544E-001  0.206115       0.893781E-001            NaN            NaN            NaN            NaN            NaN
  1344.65        500.000        99.4134       0.200114       0.996065E-001  0.200784       0.861081E-001            NaN            NaN            NaN            NaN            NaN
  1343.65        500.000        99.4063       0.101162       0.201099       0.204465       0.869975E-001            NaN            NaN            NaN            NaN            NaN
  1342.66        500.000        99.4299       0.890264E-001  0.197769       0.195358       0.879920E-001            NaN            NaN            NaN            NaN            NaN
  1341.66        500.000        99.4255       0.197046       0.935928E-001  0.197161       0.866936E-001            NaN            NaN            NaN            NaN            NaN
  1340.66        500.000        99.4305       0.908594E-001  0.196019       0.195629       0.869835E-001            NaN            NaN            NaN            NaN            NaN
  1339.67        500.000        99.4348       0.894024E-001  0.194781       0.194227       0.867768E-001            NaN            NaN            NaN            NaN            NaN
  1338.67        500.000        99.4401       0.877814E-001  0.193198       0.192348       0.866179E-001            NaN            NaN            NaN            NaN            NaN
  1337.67        500.000        99.3245       0.105618       0.233505       0.231971       0.104379                 NaN            NaN            NaN            NaN            NaN
  1336.68        500.000        99.5704       0.663510E-001  0.149060       0.147359       0.668631E-001            NaN            NaN            NaN            NaN            NaN
  1335.68        500.000        99.4543       0.834131E-001  0.189385       0.187529       0.854128E-001            NaN            NaN            NaN            NaN            NaN
  1334.69        500.000        99.4598       0.188270       0.809806E-001  0.185545       0.853879E-001            NaN            NaN            NaN            NaN            NaN
  1333.69        500.000        99.4640       0.798215E-001  0.187059       0.184168       0.849907E-001            NaN            NaN            NaN            NaN            NaN
  1332.69        500.000        99.5961       0.597489E-001  0.140904       0.138892       0.643143E-001            NaN            NaN            NaN            NaN            NaN
  1331.70        500.000        99.3444       0.973870E-001  0.229139       0.224925       0.104162                 NaN            NaN            NaN            NaN            NaN
  1330.70        500.000        99.4774       0.761211E-001  0.183163       0.179513       0.838445E-001            NaN            NaN            NaN            NaN            NaN
  1329.71        500.000        99.4813       0.773890E-001  0.181173       0.177955       0.821881E-001            NaN            NaN            NaN            NaN            NaN
  1328.71        500.000        99.4867       0.181193       0.713168E-001  0.176526       0.843049E-001            NaN            NaN            NaN            NaN            NaN
  1327.71        500.000        99.4900       0.179474       0.729976E-001  0.175049       0.825129E-001            NaN            NaN            NaN            NaN            NaN
  1326.72        500.000        99.4941       0.178175       0.721543E-001  0.173596       0.819883E-001            NaN            NaN            NaN            NaN            NaN
  1325.72        500.000        99.3078       0.240806       0.104059       0.237951       0.109400                 NaN            NaN            NaN            NaN            NaN
  1324.73        500.000        99.6939       0.110231       0.395720E-001  0.104689       0.516242E-001            NaN            NaN            NaN            NaN            NaN
  1323.73        500.000        99.5070       0.174422       0.686319E-001  0.169117       0.807979E-001            NaN            NaN            NaN            NaN            NaN
  1322.73        500.000        99.5108       0.678311E-001  0.173301       0.167752       0.802716E-001            NaN            NaN            NaN            NaN            NaN
  1321.74        500.000        99.5147       0.670022E-001  0.172297       0.166296       0.796720E-001            NaN            NaN            NaN            NaN            NaN
  1320.74        500.000        99.5185       0.171162       0.657305E-001  0.165068       0.795867E-001            NaN            NaN            NaN            NaN            NaN
  1319.74        500.000        99.5223       0.648739E-001  0.169990       0.163739       0.790577E-001            NaN            NaN            NaN            NaN            NaN
  1318.75        500.000        99.5270       0.656916E-001  0.167946       0.161813       0.775144E-001            NaN            NaN            NaN            NaN            NaN
  1317.75        500.000        99.5300       0.167431       0.642532E-001  0.160831       0.774788E-001            NaN            NaN            NaN            NaN            NaN
  1316.76        500.000        99.5336       0.635855E-001  0.166312       0.159536       0.769358E-001            NaN            NaN            NaN            NaN            NaN
  1315.76        500.000        99.5377       0.164790       0.630380E-001  0.158104       0.763533E-001            NaN            NaN            NaN            NaN            NaN
  1314.76        500.000        99.5409       0.164008       0.622658E-001  0.156931       0.758576E-001            NaN            NaN            NaN            NaN            NaN
  1313.77        500.000        99.5445       0.623864E-001  0.162606       0.155553       0.750021E-001            NaN            NaN            NaN            NaN            NaN
  1312.77        500.000        99.5479       0.613145E-001  0.161436       0.154501       0.748825E-001            NaN            NaN            NaN            NaN            NaN
  1311.78        500.000        99.5517       0.627916E-001  0.159571       0.152788       0.731024E-001            NaN            NaN            NaN            NaN            NaN
  1310.78        500.000        99.5548       0.158832       0.617472E-001  0.151731       0.728718E-001            NaN            NaN            NaN            NaN            NaN
  1309.78        500.000        99.5582       0.612778E-001  0.157756       0.150486       0.722460E-001            NaN            NaN            NaN            NaN            NaN
  1308.79        500.000        99.5613       0.612771E-001  0.156647       0.149328       0.714547E-001            NaN            NaN            NaN            NaN            NaN
  1307.79        500.000        99.5649       0.155367       0.610348E-001  0.147963       0.706986E-001            NaN            NaN            NaN            NaN            NaN
  1306.80        500.000        99.5681       0.154207       0.607971E-001  0.146842       0.700881E-001            NaN            NaN            NaN            NaN            NaN
  1305.80        500.000        99.5709       0.153150       0.608997E-001  0.145728       0.693182E-001            NaN            NaN            NaN            NaN            NaN
  1304.80        500.000        99.5745       0.608058E-001  0.151809       0.144407       0.685011E-001            NaN            NaN            NaN            NaN            NaN
  1303.81        500.000        99.5772       0.150585       0.612468E-001  0.143356       0.676259E-001            NaN            NaN            NaN            NaN            NaN
  1302.81        500.000        99.5802       0.149757       0.607604E-001  0.142237       0.670268E-001            NaN            NaN            NaN            NaN            NaN
  1301.82        500.000        99.5839       0.147868       0.613686E-001  0.140843       0.660011E-001            NaN            NaN            NaN            NaN            NaN
  1300.82        500.000        99.5860       0.147283       0.610831E-001  0.140057       0.655426E-001            NaN            NaN            NaN            NaN            NaN
  1299.82        500.000        99.5894       0.618990E-001  0.145483       0.138769       0.644198E-001            NaN            NaN            NaN            NaN            NaN
  1298.83        500.000        99.5925       0.144561       0.618982E-001  0.137546       0.634957E-001            NaN            NaN            NaN            NaN            NaN
  1297.83        500.000        99.5955       0.623169E-001  0.143186       0.136381       0.626271E-001            NaN            NaN            NaN            NaN            NaN
  1296.83        500.000        99.6106       0.567953E-001  0.139121       0.131689       0.617868E-001            NaN            NaN            NaN            NaN            NaN
  1295.84        500.000        99.5883       0.679472E-001  0.144123       0.138158       0.614524E-001            NaN            NaN            NaN            NaN            NaN
  1294.84        500.000        99.6021       0.141082       0.598542E-001  0.134452       0.624627E-001            NaN            NaN            NaN            NaN            NaN
  1293.85        500.000        99.6081       0.136586       0.669981E-001  0.131077       0.572165E-001            NaN            NaN            NaN            NaN            NaN
  1292.85        500.000        99.6075       0.646940E-001  0.137544       0.131797       0.584702E-001            NaN            NaN            NaN            NaN            NaN
  1291.85        500.000        99.6120       0.135112       0.663416E-001  0.129876       0.566585E-001            NaN            NaN            NaN            NaN            NaN
  1290.86        500.000        99.6140       0.654063E-001  0.134752       0.129248       0.565501E-001            NaN            NaN            NaN            NaN            NaN
  1289.86        500.000        99.6168       0.660010E-001  0.133309       0.128242       0.556858E-001            NaN            NaN            NaN            NaN            NaN
  1288.87        500.000        99.6194       0.132255       0.666079E-001  0.127165       0.546051E-001            NaN            NaN            NaN            NaN            NaN
  1287.87        500.000        99.6218       0.130846       0.671861E-001  0.126265       0.538806E-001            NaN            NaN            NaN            NaN            NaN
  1286.87        500.000        99.6234       0.695227E-001  0.129400       0.125457       0.522483E-001            NaN            NaN            NaN            NaN            NaN
  1285.88        500.000        99.6264       0.697086E-001  0.127936       0.124371       0.515576E-001            NaN            NaN            NaN            NaN            NaN
  1284.88        500.000        99.6289       0.697900E-001  0.127180       0.123378       0.507482E-001            NaN            NaN            NaN            NaN            NaN
  1283.89        500.000        99.6309       0.703695E-001  0.126089       0.122636       0.499793E-001            NaN            NaN            NaN            NaN            NaN
  1282.89        500.000        99.6339       0.711396E-001  0.124507       0.121509       0.489746E-001            NaN            NaN            NaN            NaN            NaN
  1281.89        500.000        99.6361       0.720850E-001  0.123236       0.120611       0.479451E-001            NaN            NaN            NaN            NaN            NaN
  1280.90        500.000        99.6381       0.121744       0.736273E-001  0.119800       0.467678E-001            NaN            NaN            NaN            NaN            NaN
  1279.90        500.000        99.6401       0.120491       0.744951E-001  0.118991       0.458746E-001            NaN            NaN            NaN            NaN            NaN
  1278.91        500.000        98.7376       0.225743       0.179268       0.217210       0.429535E-001  0.597264                 NaN            NaN            NaN            NaN
  1277.91        500.000        94.1667       0.468253        1.01545       0.717289       0.212288E-001   3.61103                 NaN            NaN            NaN            NaN
  1276.91        500.000        94.4102       0.983406       0.446857       0.690893       0.187815E-001   3.44990                 NaN            NaN            NaN            NaN
  1275.92        500.000        94.6456       0.422930       0.958919       0.664736       0.133123E-001   3.29448                 NaN            NaN            NaN            NaN
  1274.92        500.000        94.8511       0.401259       0.938396       0.642346       0.920413E-002   3.15774                 NaN            NaN            NaN            NaN
  1273.92        500.000        94.9786       0.391375       0.917019       0.630076       0.113585E-001   3.07154                 NaN            NaN            NaN            NaN
  1272.93        500.000        95.2680       0.899361       0.355477       0.595726       0.370915E-003   2.88106                 NaN            NaN            NaN            NaN
  1271.93        500.000        95.3851       0.342211       0.885637       0.584025                 NaN   2.80299                 NaN            NaN            NaN            NaN
  1270.94        500.000        95.5482       0.326664       0.862555       0.566232                 NaN   2.69639                 NaN            NaN            NaN            NaN
  1269.94        500.000        95.7022       0.309013       0.844311       0.549360                 NaN   2.59507                 NaN            NaN            NaN            NaN
  1268.94        500.000        95.8413       0.293058       0.827906       0.534310                 NaN   2.50347                 NaN            NaN            NaN            NaN
  1267.95        500.000        95.9763       0.811979       0.277296       0.519488       0.127396E-005   2.41489                 NaN            NaN            NaN            NaN
  1266.95        500.000        96.0950       0.801706       0.260352       0.506731                 NaN   2.33620                 NaN            NaN            NaN            NaN
  1265.96        500.000        96.2224       0.787641       0.244272       0.492506                 NaN   2.25317                 NaN            NaN            NaN            NaN
  1264.96        500.000        96.3325       0.777422       0.228327       0.480421                 NaN   2.18132                 NaN            NaN            NaN            NaN
  1263.96        500.000        95.8354       0.345902       0.748272       0.541849                 NaN   2.48532                 NaN  0.432570E-001            NaN            NaN
  1262.97        500.000        95.3137       0.572391       0.542708       0.609231       0.532168E-001   2.81647                 NaN  0.923092E-001            NaN            NaN
  1261.97        500.000        95.5294       0.704432       0.248172       0.587662       0.136944        2.70163                 NaN  0.917642E-001            NaN            NaN
  1260.98        500.000        95.7325       0.677563       0.236102       0.562393       0.129521        2.57480                 NaN  0.871627E-001            NaN            NaN
  1259.98        500.000        95.9118       0.651958       0.227354       0.540380       0.123290        2.46226                 NaN  0.829882E-001            NaN            NaN
  1258.98        500.000        96.0816       0.307483       0.573373       0.518059       0.910169E-001   2.35066                 NaN  0.778359E-001            NaN            NaN
  1257.99        500.000        96.2471       0.662530       0.116909       0.499688       0.137631        2.25949                 NaN  0.766569E-001            NaN            NaN
  1256.99        500.000        96.3871       0.585267       0.202043       0.480937       0.105912        2.16658                 NaN  0.721575E-001            NaN            NaN
  1256.00        500.000        96.9948                 NaN            NaN  0.436685       0.373693        2.16484                 NaN  0.299756E-001            NaN            NaN
  1255.00        500.000        96.0854        1.29814                 NaN  0.502606                 NaN   2.00108                 NaN  0.112781                 NaN            NaN
  1254.00        500.000        96.7642       0.347172       0.496095       0.421429       0.352987E-005   1.90899                 NaN  0.620763E-001            NaN            NaN
  1253.01        500.000        96.8623       0.535007       0.276177       0.417388       0.322991E-004   1.85229                 NaN  0.568117E-001            NaN            NaN
  1252.01        500.000        96.9719       0.335863       0.412231       0.404475       0.266967E-001   1.79289                 NaN  0.558981E-001            NaN            NaN
  1251.01        500.000        97.0889       0.487238       0.158764       0.391584       0.824110E-001   1.73480                 NaN  0.563269E-001            NaN            NaN
  1250.02        500.000        97.1793       0.482031       0.143416       0.379801       0.807081E-001   1.68036                 NaN  0.543795E-001            NaN            NaN
  1249.02        500.000        97.2675       0.139934       0.467693       0.368352       0.773894E-001   1.62677                 NaN  0.523757E-001            NaN            NaN
  1248.03        500.000        97.3509       0.454952       0.135718       0.357360       0.743858E-001   1.57617                 NaN  0.504847E-001            NaN            NaN
  1247.03        500.000        97.4282       0.126709       0.446657       0.347324       0.727639E-001   1.52959                 NaN  0.487635E-001            NaN            NaN
  1246.03        500.000        97.5054       0.117156       0.440047       0.336958       0.703555E-001   1.48304                 NaN  0.470447E-001            NaN            NaN
  1245.04        500.000        97.5765       0.428659       0.113924       0.327602       0.676238E-001   1.44024                 NaN  0.454269E-001            NaN            NaN
  1244.04        500.000        97.6444       0.421481       0.106580       0.318445       0.656190E-001   1.39955                 NaN  0.438999E-001            NaN            NaN
  1243.05        500.000        97.7086       0.410881       0.104339       0.309928       0.629358E-001   1.36087                 NaN  0.424053E-001            NaN            NaN
  1242.05        500.000        97.7704       0.399321       0.103826       0.301536       0.602260E-001   1.32377                 NaN  0.409495E-001            NaN            NaN
  1241.05        500.000        97.8305       0.920475E-001  0.397042       0.293467       0.591557E-001   1.28817                 NaN  0.396339E-001            NaN            NaN
  1240.06        500.000        97.8847       0.379005       0.100802       0.285955       0.556057E-001   1.25560                 NaN  0.383057E-001            NaN            NaN
  1239.06        500.000        97.9394       0.377278       0.904195E-001  0.278595       0.542086E-001   1.22304                 NaN  0.370572E-001            NaN            NaN
  1238.07        500.000        97.9913       0.366852       0.904719E-001  0.271371       0.518989E-001   1.19225                 NaN  0.358167E-001            NaN            NaN
  1237.07        500.000        98.0416       0.104481       0.344617       0.264634       0.482744E-001   1.16187                 NaN  0.345550E-001            NaN            NaN
  1236.07        500.000        98.0884       0.721501E-001  0.363894       0.257942       0.491767E-001   1.13484                 NaN  0.336214E-001            NaN            NaN
  1235.08        500.000        98.1260       0.232977       0.216354       0.253118       0.322220E-001   1.10766                 NaN  0.316480E-001            NaN            NaN
  1234.08        500.000        98.1777       0.178897       0.255298       0.246022       0.322821E-001   1.07907                 NaN  0.306896E-001            NaN            NaN
  1233.09        500.000        98.2193       0.404678                 NaN  0.239312       0.477677E-001   1.05806                 NaN  0.308373E-001            NaN            NaN
  1232.09        500.000        98.2690       0.386378                 NaN  0.232451       0.509084E-001   1.03126                 NaN  0.300505E-001            NaN            NaN
  1231.09        500.000        98.3003       0.397137                 NaN  0.228368       0.369808E-001   1.00882                 NaN  0.283822E-001            NaN            NaN
  1230.10        500.000        98.3355       0.396744                 NaN  0.223476       0.306187E-001  0.986478                 NaN  0.271904E-001            NaN            NaN
  1229.10        500.000        98.3675       0.401797                 NaN  0.219123       0.208277E-001  0.964947                 NaN  0.258338E-001            NaN            NaN
  1228.10        500.000        98.4201       0.354677                 NaN  0.211071       0.448847E-001  0.942822                 NaN  0.264813E-001            NaN            NaN
  1227.11        500.000        98.4337       0.391938                 NaN  0.209622       0.157289E-001  0.924938                 NaN  0.240805E-001            NaN            NaN
  1226.11        500.000        98.4729       0.372153                 NaN  0.203947       0.223193E-001  0.904927                 NaN  0.237371E-001            NaN            NaN
  1225.12        500.000        98.5013       0.376827                 NaN  0.199981       0.135402E-001  0.885782                 NaN  0.225510E-001            NaN            NaN
  1224.12        500.000        98.5369       0.356921                 NaN  0.194586       0.212762E-001  0.867963                 NaN  0.223229E-001            NaN            NaN
  1223.12        500.000        98.5675       0.356141                 NaN  0.190278       0.157473E-001  0.848946                 NaN  0.213466E-001            NaN            NaN
  1222.13        500.000        98.5888       0.363118                 NaN  0.187416       0.687888E-002  0.833538                 NaN  0.202456E-001            NaN            NaN
  1221.13        500.000        98.6186       0.354615                 NaN  0.182970       0.723398E-002  0.816874                 NaN  0.196675E-001            NaN            NaN
  1220.14        500.000        98.6477       0.344161                 NaN  0.178613       0.950891E-002  0.800802                 NaN  0.191893E-001            NaN            NaN
  1219.14        500.000        98.6750       0.334681                 NaN  0.175055       0.109141E-001  0.785772                 NaN  0.185843E-001            NaN            NaN
  1218.14        500.000        98.6966       0.344171                 NaN  0.171076       0.864358E-006  0.770408                 NaN  0.176968E-001            NaN            NaN
  1217.15        500.000        98.7217       0.333447                 NaN  0.167936       0.318138E-002  0.756552                 NaN  0.171738E-001            NaN            NaN
  1216.15        500.000        98.7475       0.328489                 NaN  0.164324       0.175659E-002  0.741406                 NaN  0.165409E-001            NaN            NaN
  1215.16        500.000        98.7729       0.322593                 NaN  0.160850       0.374385E-003  0.727383                 NaN  0.158728E-001            NaN            NaN
  1214.16        500.000        98.7950       0.318324                 NaN  0.157451                 NaN  0.713846                 NaN  0.153999E-001            NaN            NaN
  1213.16        500.000        98.8169       0.312672                 NaN  0.154241                 NaN  0.701240                 NaN  0.149364E-001            NaN            NaN
  1212.17        500.000        98.8398       0.306543                 NaN  0.150710                 NaN  0.688436                 NaN  0.144942E-001            NaN            NaN
  1211.17        500.000        98.8625       0.300187                 NaN  0.146877                 NaN  0.676259                 NaN  0.141696E-001            NaN            NaN
  1210.18        500.000        98.8850       0.293910                 NaN  0.143773                 NaN  0.663586                 NaN  0.137631E-001            NaN            NaN
  1209.18        500.000        98.9034       0.289668                 NaN  0.142317                 NaN  0.651685                 NaN  0.128905E-001            NaN            NaN
  1208.18        500.000        86.9110        3.18594                 NaN   1.70081       0.132878        7.92777                 NaN  0.141552                 NaN            NaN
  1207.19        500.000        99.7541       0.216567E-001            NaN  0.433570E-001            NaN  0.178870                 NaN  0.197527E-002            NaN            NaN
  1206.19        500.000        99.9300       0.455543E-002            NaN  0.125611E-001  0.722843E-002  0.454698E-001            NaN  0.162862E-003            NaN            NaN
  1205.19        500.000        99.9360       0.403457E-002            NaN  0.123647E-001  0.865078E-002  0.389227E-001            NaN  0.440815E-004            NaN            NaN
  1204.20        500.000        99.9621       0.189560E-001            NaN  0.987630E-003            NaN  0.179306E-001            NaN            NaN            NaN            NaN
  1203.20        500.000        99.8681       0.641714E-001  0.235119E-001            NaN            NaN  0.418475E-001            NaN  0.241370E-002            NaN            NaN
  1202.21        500.000        99.9035       0.278589E-001  0.164198E-001  0.129182E-001            NaN  0.392775E-001            NaN            NaN            NaN            NaN
  1201.21        500.000        99.9315                 NaN            NaN  0.752241E-002            NaN  0.569381E-001            NaN  0.406889E-002            NaN            NaN
  1200.21        500.000        99.2021       0.327896E-001  0.921965E-001  0.645228E-001            NaN  0.409492                 NaN  0.863259E-002  0.190222                 NaN
  1199.22        500.000        99.9625       0.201293E-002  0.342682E-002  0.330802E-002            NaN  0.124983E-001            NaN  0.176077E-003  0.161269E-001            NaN
  1198.22        500.000        99.9973                 NaN            NaN  0.135358E-003            NaN  0.822963E-003            NaN  0.176113E-004  0.168725E-002            NaN
  1197.23        500.000        99.9837       0.209080E-002            NaN  0.141909E-002            NaN  0.485962E-002            NaN  0.125902E-004  0.793415E-002            NaN
  1196.23        500.000        99.9971       0.194237E-003  0.856027E-003  0.392976E-003            NaN  0.142335E-002            NaN  0.170039E-004            NaN            NaN
  1195.23        500.000        99.9928       0.179695E-002            NaN  0.412781E-003            NaN  0.496125E-002            NaN  0.255197E-004            NaN            NaN
  1194.24        500.000        99.9790       0.278124E-002            NaN  0.153636E-002            NaN  0.939798E-002            NaN  0.161042E-003  0.714045E-002            NaN
  1193.24        500.000        99.7999       0.173981                 NaN  0.178443E-001            NaN            NaN            NaN            NaN  0.824527E-002            NaN
  1192.25        500.000        98.0130                 NaN            NaN  0.149004       0.383668E-001  0.911713                 NaN  0.114469E-001  0.876494                 NaN
  1191.25        500.000        91.3495        1.03990                 NaN  0.674513                 NaN   3.49546                 NaN  0.364552E-001   3.40416                 NaN
  1190.25        500.000        89.0985       0.988918       0.108545       0.856670       0.341794E-009   2.34347        2.19677       0.413124E-001   4.36585       0.421211E-015
  1189.26        500.000        89.9029       0.589904       0.473559       0.777721                 NaN   4.19234                 NaN  0.391809E-001   4.02438                 NaN
  1188.26        500.000        99.9942       0.529584E-003            NaN  0.445826E-003  0.166460E-004  0.247661E-002            NaN  0.211731E-004  0.234770E-002            NaN
  1187.26        500.000        39.6267        5.56339                 NaN   4.45973                 NaN   25.8268                 NaN  0.204720        24.3187                 NaN
  1186.27        500.000                 NaN   8.07259       0.906412        7.28085                 NaN   42.9830                 NaN  0.332995        40.4242                 NaN
  1185.27        500.000                 NaN   8.17161       0.808466        7.28267                 NaN   42.9798                 NaN  0.332635        40.4249                 NaN
  1184.28        500.000                 NaN   8.17475       0.806057        7.28417                 NaN   42.9770                 NaN  0.332376        40.4256                 NaN
  1183.28        500.000                 NaN   8.18045       0.801115        7.28569                 NaN   42.9743                 NaN  0.332110        40.4263                 NaN
  1182.28        500.000                 NaN   8.18050       0.801812        7.28720                 NaN   42.9715                 NaN  0.331850        40.4271                 NaN
  1181.29        500.000                 NaN   8.18127       0.801805        7.28874                 NaN   42.9687                 NaN  0.331584        40.4279                 NaN
  1180.29        500.000                 NaN   8.18007       0.803787        7.29028                 NaN   42.9659                 NaN  0.331318        40.4286                 NaN
  1179.30        500.000                 NaN   8.18466       0.800042        7.29189                 NaN   42.9630                 NaN  0.331036        40.4294                 NaN
  1178.30        500.000                 NaN   8.98910                 NaN   7.29707                 NaN   42.9557                 NaN  0.330411        40.4277                 NaN
  1177.30        500.000                 NaN   8.99056                 NaN   7.29907                 NaN   42.9518                 NaN  0.329983        40.4285                 NaN
  1176.31        500.000                 NaN   8.95571       0.421988E-001   7.30347                 NaN   42.9399                 NaN  0.328113        40.4306                 NaN
