|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.75/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              hed           
  1549.79        500.000                 NaN   99.3606       0.619611       0.198269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        500.000                 NaN   99.3028       0.676595       0.205840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        500.000                 NaN   99.3086       0.672421       0.190025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        500.000                 NaN   99.3136       0.666706       0.196856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.3182       0.664886       0.169154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN   99.3226       0.660499       0.168752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        500.000                 NaN   99.3294       0.655310       0.153266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        500.000                 NaN   99.3335       0.647292       0.191868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        500.000                 NaN   99.3351       0.658049       0.680189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        500.000                 NaN   99.3415       0.642825       0.157184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        500.000                 NaN   99.3520       0.638362       0.963838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000                 NaN   99.3525       0.636678       0.108506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000                 NaN   99.3537       0.634457       0.118758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        500.000                 NaN   99.3668       0.624985       0.816903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        500.000                 NaN   99.3662       0.626228       0.752942E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        500.000                 NaN   99.2701       0.719258       0.106086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   99.4767       0.510827       0.124479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        500.000                 NaN   99.3771       0.621705       0.119493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        500.000                 NaN   99.3823       0.617715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        500.000                 NaN   99.3930       0.571710       0.353310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.3919       0.608084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.3957       0.604256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.4026       0.541329       0.560912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        500.000                 NaN   99.4082       0.591822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN   99.4079       0.592091       0.256492E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        500.000                 NaN   99.4124       0.581378       0.622396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000                 NaN   99.4171       0.582942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        500.000                 NaN   99.4190       0.581018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.4229       0.577094       0.128615E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        500.000                 NaN   99.4252       0.574804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN   99.4274       0.567023       0.558473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        500.000                 NaN   99.4351       0.564904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000                 NaN   99.4344       0.565602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        500.000                 NaN   99.4393       0.555959       0.473554E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        500.000                 NaN   99.4425       0.557479       0.135603E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        500.000                 NaN   99.4461       0.553908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        500.000                 NaN   99.5955       0.220393E-001            NaN  0.382438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        500.000                 NaN   99.0460       0.646890E-001            NaN  0.889279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        500.000                 NaN   99.3095                 NaN            NaN  0.690502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        500.000                 NaN   99.3209       0.177412                 NaN  0.501658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        500.000                 NaN   99.3093                 NaN            NaN  0.690674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        500.000                 NaN   99.3095                 NaN            NaN  0.690485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        500.000                 NaN   99.3070                 NaN            NaN  0.693021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        500.000                 NaN   99.3105                 NaN            NaN  0.689515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000                 NaN   99.3063                 NaN            NaN  0.693656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        500.000                 NaN   99.3076                 NaN            NaN  0.692387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000                 NaN   99.3034                 NaN            NaN  0.696590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.70        500.000                 NaN   99.1608                 NaN            NaN  0.839164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.23        500.000                 NaN   99.5098                 NaN            NaN  0.490152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.76        500.000                 NaN   99.8284       0.255730E-002            NaN  0.168993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.29        500.000                 NaN   98.5736                 NaN            NaN   1.27050       0.155892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.82        500.000                 NaN   98.8200                 NaN            NaN  0.725911       0.454064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.35        500.000                 NaN   98.8333                 NaN            NaN  0.717463       0.449203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.88        500.000                 NaN   98.8463                 NaN            NaN  0.710481       0.443246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.41        500.000                 NaN   98.8586                 NaN            NaN  0.704322       0.437105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.94        500.000                 NaN   98.8684                 NaN            NaN  0.433157       0.698445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.47        500.000                 NaN   98.8829                 NaN            NaN  0.689542       0.427559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.00        500.000                 NaN   98.8926                 NaN            NaN  0.684736       0.422642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.53        500.000                 NaN   98.9058                 NaN            NaN  0.677903       0.416345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        500.000                 NaN   98.9159                 NaN            NaN  0.411720       0.672397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.59        500.000                 NaN   98.9615                 NaN            NaN  0.393710       0.644750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.12        500.000                 NaN   98.8988                 NaN            NaN  0.685720       0.415471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.65        500.000                 NaN   98.9530                 NaN            NaN  0.395999       0.650998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000                 NaN   98.9587                 NaN            NaN  0.392436       0.648841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.71        500.000                 NaN   98.9688                 NaN            NaN  0.388330       0.642885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.24        500.000                 NaN   98.9791                 NaN            NaN  0.382967       0.637944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.77        500.000                 NaN   98.9898                 NaN            NaN  0.378684       0.631476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.30        500.000                 NaN   98.9979                 NaN            NaN  0.374607       0.627540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.83        500.000                 NaN   96.9769                 NaN            NaN  0.979699        1.25352                 NaN  0.789848                 NaN            NaN            NaN            NaN            NaN
  1448.36        500.000                 NaN   96.4169                 NaN            NaN   1.06656        1.49720                 NaN   1.01937                 NaN            NaN            NaN            NaN            NaN
  1446.89        500.000                 NaN   96.5197                 NaN            NaN   1.03786        1.45174                 NaN  0.990723                 NaN            NaN            NaN            NaN            NaN
  1445.42        500.000                 NaN   96.6172                 NaN            NaN   1.01110        1.40828                 NaN  0.963423                 NaN            NaN            NaN            NaN            NaN
  1443.95        500.000                 NaN   96.7068                 NaN            NaN   1.37151       0.983240                 NaN  0.938416                 NaN            NaN            NaN            NaN            NaN
  1442.48        500.000                 NaN   96.8012                 NaN            NaN   1.32953       0.957168                 NaN  0.912055                 NaN            NaN            NaN            NaN            NaN
  1441.01        500.000                 NaN   96.8831                 NaN            NaN   1.29435       0.933390                 NaN  0.889144                 NaN            NaN            NaN            NaN            NaN
  1439.54        500.000                 NaN   96.9633                 NaN            NaN   1.26050       0.909252                 NaN  0.866929                 NaN            NaN            NaN            NaN            NaN
  1438.07        500.000                 NaN   97.0444                 NaN            NaN   1.22461       0.887137                 NaN  0.843801                 NaN            NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN   97.1134                 NaN            NaN  0.866853        1.19493                 NaN  0.824817                 NaN            NaN            NaN            NaN            NaN
  1435.13        500.000                 NaN   97.1855                 NaN            NaN  0.847162        1.16295                 NaN  0.804364                 NaN            NaN            NaN            NaN            NaN
  1433.66        500.000                 NaN   97.2527                 NaN            NaN   1.13501       0.827056                 NaN  0.785268                 NaN            NaN            NaN            NaN            NaN
  1432.19        500.000                 NaN   97.3175                 NaN            NaN  0.808117        1.10735                 NaN  0.767081                 NaN            NaN            NaN            NaN            NaN
  1430.72        500.000                 NaN   97.3807                 NaN            NaN  0.788719        1.08135                 NaN  0.749275                 NaN            NaN            NaN            NaN            NaN
  1429.25        500.000                 NaN   97.4353                 NaN            NaN   1.05715       0.773763                 NaN  0.733810                 NaN            NaN            NaN            NaN            NaN
  1427.78        500.000                 NaN   97.4978                 NaN            NaN  0.755384        1.03081                 NaN  0.716011                 NaN            NaN            NaN            NaN            NaN
  1426.31        500.000                 NaN   97.5508                 NaN            NaN  0.740076        1.00796                 NaN  0.701132                 NaN            NaN            NaN            NaN            NaN
  1424.84        500.000                 NaN   97.6028                 NaN            NaN  0.725586       0.985313                 NaN  0.686329                 NaN            NaN            NaN            NaN            NaN
  1423.37        500.000                 NaN   97.6563                 NaN            NaN  0.964108       0.708585                 NaN  0.671051                 NaN            NaN            NaN            NaN            NaN
  1421.90        500.000                 NaN   97.7038                 NaN            NaN  0.943709       0.694919                 NaN  0.657564                 NaN            NaN            NaN            NaN            NaN
  1420.43        500.000                 NaN   97.7489                 NaN            NaN  0.682956       0.923461                 NaN  0.644697                 NaN            NaN            NaN            NaN            NaN
  1418.96        500.000                 NaN   97.7967                 NaN            NaN  0.668171       0.904195                 NaN  0.630975                 NaN            NaN            NaN            NaN            NaN
  1417.49        500.000                 NaN   97.8396                 NaN            NaN  0.654783       0.886912                 NaN  0.618731                 NaN            NaN            NaN            NaN            NaN
  1416.02        500.000                 NaN   97.8828                 NaN            NaN  0.868910       0.641852                 NaN  0.606438                 NaN            NaN            NaN            NaN            NaN
  1414.55        500.000                 NaN   97.9202                 NaN            NaN  0.630713       0.853553                 NaN  0.595528                 NaN            NaN            NaN            NaN            NaN
  1413.08        500.000                 NaN   97.9632                 NaN            NaN  0.618212       0.835275                 NaN  0.583281                 NaN            NaN            NaN            NaN            NaN
  1411.61        500.000                 NaN   97.9944                 NaN            NaN  0.608219       0.822982                 NaN  0.574433                 NaN            NaN            NaN            NaN            NaN
  1410.14        500.000                 NaN   98.0406                 NaN            NaN  0.594862       0.803611                 NaN  0.560953                 NaN            NaN            NaN            NaN            NaN
  1408.67        500.000                 NaN   98.0708                 NaN            NaN  0.585879       0.791136                 NaN  0.552219                 NaN            NaN            NaN            NaN            NaN
  1407.20        500.000                 NaN   98.1080                 NaN            NaN  0.573788       0.776717                 NaN  0.541501                 NaN            NaN            NaN            NaN            NaN
  1405.73        500.000                 NaN   98.1427                 NaN            NaN  0.762432       0.563332                 NaN  0.531513                 NaN            NaN            NaN            NaN            NaN
  1404.26        500.000                 NaN   98.1736                 NaN            NaN  0.554361       0.749512                 NaN  0.522507                 NaN            NaN            NaN            NaN            NaN
  1402.79        500.000                 NaN   98.2029                 NaN            NaN  0.545406       0.737552                 NaN  0.514133                 NaN            NaN            NaN            NaN            NaN
  1401.32        500.000                 NaN   98.2361                 NaN            NaN  0.535501       0.723973                 NaN  0.504386                 NaN            NaN            NaN            NaN            NaN
  1399.85        500.000                 NaN   98.2649                 NaN            NaN  0.712541       0.526431                 NaN  0.496119                 NaN            NaN            NaN            NaN            NaN
  1398.38        500.000                 NaN   98.0459                 NaN            NaN  0.666071       0.632213                 NaN  0.575968       0.798050E-001            NaN            NaN            NaN            NaN
  1396.91        500.000                 NaN   98.0580                 NaN            NaN  0.607229       0.671863                 NaN  0.574400       0.884796E-001            NaN            NaN            NaN            NaN
  1395.44        500.000                 NaN   98.1052                 NaN            NaN  0.655359       0.593361                 NaN  0.560436       0.856129E-001            NaN            NaN            NaN            NaN
  1393.97        500.000                 NaN   98.1497                 NaN            NaN  0.639839       0.580203                 NaN  0.547313       0.829132E-001            NaN            NaN            NaN            NaN
  1392.50        500.000                 NaN   98.1926                 NaN            NaN  0.567504       0.625129                 NaN  0.534479       0.802600E-001            NaN            NaN            NaN            NaN
  1391.03        500.000                 NaN   98.2340                 NaN            NaN  0.610620       0.555487                 NaN  0.522172       0.777001E-001            NaN            NaN            NaN            NaN
  1389.56        500.000                 NaN   98.2734                 NaN            NaN  0.543454       0.597317                 NaN  0.510493       0.753151E-001            NaN            NaN            NaN            NaN
  1388.09        500.000                 NaN   98.3101                 NaN            NaN  0.585332       0.531934                 NaN  0.499515       0.731073E-001            NaN            NaN            NaN            NaN
  1386.62        500.000                 NaN   98.3506                 NaN            NaN  0.569667       0.521900                 NaN  0.487376       0.704826E-001            NaN            NaN            NaN            NaN
  1385.15        500.000                 NaN   98.3838                 NaN            NaN  0.558371       0.512084                 NaN  0.477406       0.683776E-001            NaN            NaN            NaN            NaN
  1383.68        500.000                 NaN   98.4181                 NaN            NaN  0.545909       0.502490                 NaN  0.467250       0.662796E-001            NaN            NaN            NaN            NaN
  1382.21        500.000                 NaN   98.4500                 NaN            NaN  0.534663       0.493397                 NaN  0.457646       0.642625E-001            NaN            NaN            NaN            NaN
  1380.74        500.000                 NaN   98.4831                 NaN            NaN  0.522740       0.484259                 NaN  0.447731       0.622058E-001            NaN            NaN            NaN            NaN
  1379.27        500.000                 NaN   98.5127                 NaN            NaN  0.476368       0.512137                 NaN  0.438660       0.601246E-001            NaN            NaN            NaN            NaN
  1377.80        500.000                 NaN   98.5422                 NaN            NaN  0.501649       0.467593                 NaN  0.430043       0.584728E-001            NaN            NaN            NaN            NaN
  1376.33        500.000                 NaN   98.5718                 NaN            NaN  0.491043       0.459891                 NaN  0.420884       0.563989E-001            NaN            NaN            NaN            NaN
  1374.86        500.000                 NaN   98.5986                 NaN            NaN  0.481228       0.452625                 NaN  0.412869       0.546810E-001            NaN            NaN            NaN            NaN
  1373.39        500.000                 NaN   98.6251                 NaN            NaN  0.471256       0.445900                 NaN  0.404821       0.528986E-001            NaN            NaN            NaN            NaN
  1371.92        500.000                 NaN   98.6513                 NaN            NaN  0.461984       0.438588                 NaN  0.396852       0.512398E-001            NaN            NaN            NaN            NaN
  1370.45        500.000                 NaN   98.6764                 NaN            NaN  0.431970       0.452730                 NaN  0.389288       0.495924E-001            NaN            NaN            NaN            NaN
  1368.98        500.000                 NaN   98.7002                 NaN            NaN  0.444233       0.425540                 NaN  0.382022       0.480122E-001            NaN            NaN            NaN            NaN
  1367.51        500.000                 NaN   98.7241                 NaN            NaN  0.419309       0.435436                 NaN  0.374757       0.463950E-001            NaN            NaN            NaN            NaN
  1366.04        500.000                 NaN   98.7465                 NaN            NaN  0.413919       0.426729                 NaN  0.367958       0.448657E-001            NaN            NaN            NaN            NaN
  1364.57        500.000                 NaN   98.7693                 NaN            NaN  0.418359       0.407805                 NaN  0.361044       0.434473E-001            NaN            NaN            NaN            NaN
  1363.10        500.000                 NaN   98.7902                 NaN            NaN  0.410798       0.402374                 NaN  0.354690       0.419597E-001            NaN            NaN            NaN            NaN
  1361.63        500.000                 NaN   98.8116                 NaN            NaN  0.402928       0.396901                 NaN  0.348078       0.405029E-001            NaN            NaN            NaN            NaN
  1360.16        500.000                 NaN   98.8308                 NaN            NaN  0.395505       0.392535                 NaN  0.342174       0.390326E-001            NaN            NaN            NaN            NaN
  1358.69        500.000                 NaN   98.8514                 NaN            NaN  0.387433       0.387508                 NaN  0.335918       0.377076E-001            NaN            NaN            NaN            NaN
  1357.22        500.000                 NaN   98.8701                 NaN            NaN  0.382478       0.380780                 NaN  0.330156       0.364459E-001            NaN            NaN            NaN            NaN
  1355.75        500.000                 NaN   98.8889                 NaN            NaN  0.373413       0.378128                 NaN  0.324402       0.351551E-001            NaN            NaN            NaN            NaN
  1354.28        500.000                 NaN   98.9068                 NaN            NaN  0.366688       0.373711                 NaN  0.318892       0.338799E-001            NaN            NaN            NaN            NaN
  1352.81        500.000                 NaN   98.9242                 NaN            NaN  0.360013       0.369708                 NaN  0.313478       0.325778E-001            NaN            NaN            NaN            NaN
  1351.34        500.000                 NaN   98.9414                 NaN            NaN  0.365923       0.353187                 NaN  0.308184       0.313109E-001            NaN            NaN            NaN            NaN
  1349.87        500.000                 NaN   98.9580                 NaN            NaN  0.346820       0.361913                 NaN  0.303087       0.301704E-001            NaN            NaN            NaN            NaN
  1348.40        500.000                 NaN   98.9741                 NaN            NaN  0.340331       0.358704                 NaN  0.298049       0.288538E-001            NaN            NaN            NaN            NaN
  1346.93        500.000                 NaN   98.9898                 NaN            NaN  0.334165       0.355136                 NaN  0.293190       0.277132E-001            NaN            NaN            NaN            NaN
  1345.46        500.000                 NaN   99.0053                 NaN            NaN  0.351846       0.327820                 NaN  0.288442       0.266142E-001            NaN            NaN            NaN            NaN
  1343.99        500.000                 NaN   99.0165                 NaN            NaN  0.322836       0.349846                 NaN  0.285138       0.256382E-001            NaN            NaN            NaN            NaN
  1342.52        500.000                 NaN   99.0385                 NaN            NaN  0.344634       0.314934                 NaN  0.277885       0.240528E-001            NaN            NaN            NaN            NaN
  1341.05        500.000                 NaN   99.0487                 NaN            NaN  0.310689       0.342475                 NaN  0.274848       0.232433E-001            NaN            NaN            NaN            NaN
  1339.58        500.000                 NaN   99.0624                 NaN            NaN  0.304854       0.340026                 NaN  0.270606       0.221196E-001            NaN            NaN            NaN            NaN
  1338.11        500.000                 NaN   99.0761                 NaN            NaN  0.299251       0.337308                 NaN  0.266274       0.210353E-001            NaN            NaN            NaN            NaN
  1336.64        500.000                 NaN   99.0888                 NaN            NaN  0.335200       0.293844                 NaN  0.262230       0.199170E-001            NaN            NaN            NaN            NaN
  1335.17        500.000                 NaN   99.1017                 NaN            NaN  0.288585       0.332455                 NaN  0.258257       0.189710E-001            NaN            NaN            NaN            NaN
  1333.70        500.000                 NaN   99.1140                 NaN            NaN  0.330522       0.283131                 NaN  0.254402       0.178977E-001            NaN            NaN            NaN            NaN
  1332.23        500.000                 NaN   99.1262                 NaN            NaN  0.278100       0.328400                 NaN  0.250536       0.168034E-001            NaN            NaN            NaN            NaN
  1330.76        500.000                 NaN   99.1385                 NaN            NaN  0.272883       0.325977                 NaN  0.246742       0.159335E-001            NaN            NaN            NaN            NaN
  1329.29        500.000                 NaN   99.1499                 NaN            NaN  0.268006       0.324170                 NaN  0.243053       0.148520E-001            NaN            NaN            NaN            NaN
  1327.82        500.000                 NaN   99.1607                 NaN            NaN  0.263060       0.322715                 NaN  0.239652       0.138808E-001            NaN            NaN            NaN            NaN
  1326.35        500.000                 NaN   99.1722                 NaN            NaN  0.257896       0.320971                 NaN  0.236017       0.128951E-001            NaN            NaN            NaN            NaN
  1324.88        500.000                 NaN   99.1827                 NaN            NaN  0.253282       0.319295                 NaN  0.232712       0.119816E-001            NaN            NaN            NaN            NaN
  1323.41        500.000                 NaN   99.1933                 NaN            NaN  0.317736       0.248571                 NaN  0.229368       0.110228E-001            NaN            NaN            NaN            NaN
  1321.94        500.000                 NaN   99.2034                 NaN            NaN  0.243636       0.316798                 NaN  0.226163       0.100125E-001            NaN            NaN            NaN            NaN
  1320.47        500.000                 NaN   99.2135                 NaN            NaN  0.239275       0.315078                 NaN  0.222979       0.917954E-002            NaN            NaN            NaN            NaN
  1319.00        500.000                 NaN   99.2232                 NaN            NaN  0.234427       0.314314                 NaN  0.219835       0.817518E-002            NaN            NaN            NaN            NaN
  1317.53        500.000                 NaN   99.2321                 NaN            NaN  0.230055       0.313847                 NaN  0.216910       0.708634E-002            NaN            NaN            NaN            NaN
  1316.06        500.000                 NaN   99.2417                 NaN            NaN  0.312945       0.225211                 NaN  0.213876       0.623861E-002            NaN            NaN            NaN            NaN
  1314.59        500.000                 NaN   99.2507                 NaN            NaN  0.220746       0.312208                 NaN  0.210986       0.531294E-002            NaN            NaN            NaN            NaN
  1313.12        500.000                 NaN   99.2595                 NaN            NaN  0.311355       0.216462                 NaN  0.208206       0.446065E-002            NaN            NaN            NaN            NaN
  1311.65        500.000                 NaN   99.2679                 NaN            NaN  0.211987       0.311131                 NaN  0.205464       0.348770E-002            NaN            NaN            NaN            NaN
  1310.18        500.000                 NaN   99.2765                 NaN            NaN  0.207849       0.310167                 NaN  0.202779       0.272251E-002            NaN            NaN            NaN            NaN
  1308.71        500.000                 NaN   99.2847                 NaN            NaN  0.202999       0.310433                 NaN  0.200115       0.175862E-002            NaN            NaN            NaN            NaN
  1307.24        500.000                 NaN   99.2927                 NaN            NaN  0.198640       0.310345                 NaN  0.197523       0.805842E-003            NaN            NaN            NaN            NaN
  1305.77        500.000                 NaN   99.3005                 NaN            NaN  0.309976       0.194463                 NaN  0.195031                 NaN            NaN            NaN            NaN            NaN
  1304.30        500.000                 NaN   99.3073                 NaN            NaN  0.191664       0.308044                 NaN  0.192953                 NaN            NaN            NaN            NaN            NaN
  1302.83        500.000                 NaN   99.3147                 NaN            NaN  0.188968       0.305508                 NaN  0.190841                 NaN            NaN            NaN            NaN            NaN
