|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1450.01        2500.00        99.8435       0.553092E-001  0.985099E-001            NaN            NaN  0.270979E-002            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.7587       0.847096E-001  0.152145                 NaN            NaN  0.447874E-002            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        98.7618       0.781581       0.437068                 NaN            NaN  0.195748E-001            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.2607       0.467046       0.260656                 NaN            NaN  0.116399E-001            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        99.2090       0.499398       0.280643                 NaN            NaN  0.109803E-001            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.3326       0.421194       0.237144                 NaN            NaN  0.905386E-002            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.2736       0.258443       0.458753                 NaN            NaN  0.922283E-002            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        99.2757       0.258256       0.457447                 NaN            NaN  0.858250E-002            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.2780       0.258326       0.455639                 NaN            NaN  0.800002E-002            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.2807       0.454367       0.257693                 NaN            NaN  0.726639E-002            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.2829       0.452751       0.257654                 NaN            NaN  0.672489E-002            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        99.2838       0.257990       0.451858                 NaN            NaN  0.631551E-002            NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00        99.2479       0.271688       0.474727                 NaN            NaN  0.573352E-002            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        98.8149       0.306650       0.481136                 NaN            NaN  0.111021       0.286344                 NaN            NaN            NaN            NaN
  1433.03        2500.00        98.2357       0.565382       0.354022                 NaN            NaN  0.247501       0.591160       0.622618E-002            NaN            NaN            NaN
  1431.81        2500.00        98.3432       0.520568       0.406442                 NaN            NaN  0.184922       0.544862                 NaN            NaN            NaN            NaN
  1430.60        2500.00        98.3084       0.547903       0.359420                 NaN            NaN  0.220976       0.563328                 NaN            NaN            NaN            NaN
  1429.39        2500.00        98.3275       0.543343       0.350461                 NaN            NaN  0.221333       0.557401                 NaN            NaN            NaN            NaN
  1428.17        2500.00        98.3566       0.340197       0.535496                 NaN            NaN  0.219994       0.547693                 NaN            NaN            NaN            NaN
  1426.96        2500.00        98.3616       0.535517       0.332965                 NaN            NaN  0.222832       0.547053                 NaN            NaN            NaN            NaN
  1425.75        2500.00        98.4060       0.321866       0.521770                 NaN            NaN  0.218493       0.531900                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.4160       0.314159       0.520059                 NaN            NaN  0.220374       0.529369                 NaN            NaN            NaN            NaN
  1423.32        2500.00        98.4364       0.305782       0.514727                 NaN            NaN  0.220231       0.522890                 NaN            NaN            NaN            NaN
  1422.11        2500.00        98.4523       0.511267       0.297543                 NaN            NaN  0.220900       0.517948                 NaN            NaN            NaN            NaN
  1420.90        2500.00        98.4776       0.504042       0.289197                 NaN            NaN  0.219499       0.509656                 NaN            NaN            NaN            NaN
  1419.68        2500.00        98.4922       0.281307       0.500791                 NaN            NaN  0.220359       0.505329                 NaN            NaN            NaN            NaN
  1418.47        2500.00        98.5115       0.495348       0.274013                 NaN            NaN  0.220043       0.499145                 NaN            NaN            NaN            NaN
  1417.26        2500.00        97.2784       0.491841       0.907273                 NaN            NaN  0.408040       0.914411                 NaN            NaN            NaN            NaN
  1416.04        2500.00        99.8199       0.619643E-001  0.282040E-001            NaN            NaN  0.296893E-001  0.602112E-001            NaN            NaN            NaN            NaN
  1414.83        2500.00        98.5692       0.267137       0.478616                 NaN            NaN  0.207365       0.477726                 NaN            NaN            NaN            NaN
  1413.62        2500.00        98.5758       0.481526       0.227071                 NaN            NaN  0.233381       0.482190                 NaN            NaN            NaN            NaN
  1412.41        2500.00        98.5970       0.474065       0.236620                 NaN            NaN  0.220309       0.472030                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.6133       0.229501       0.469930                 NaN            NaN  0.220355       0.466891                 NaN            NaN            NaN            NaN
  1409.98        2500.00        98.6274       0.222838       0.466078                 NaN            NaN  0.220899       0.462772                 NaN            NaN            NaN            NaN
  1408.77        2500.00        98.6438       0.462310       0.215956                 NaN            NaN  0.220676       0.457215                 NaN            NaN            NaN            NaN
  1407.55        2500.00        98.6570       0.209346       0.459657                 NaN            NaN  0.220945       0.453003                 NaN            NaN            NaN            NaN
  1406.34        2500.00        98.6735       0.454519       0.203268                 NaN            NaN  0.220978       0.447784                 NaN            NaN            NaN            NaN
  1405.13        2500.00        98.6890       0.450894       0.196663                 NaN            NaN  0.220641       0.442796                 NaN            NaN            NaN            NaN
  1403.91        2500.00        98.6996       0.449268       0.190026                 NaN            NaN  0.221571       0.439559                 NaN            NaN            NaN            NaN
  1402.70        2500.00        98.7152       0.444852       0.184580                 NaN            NaN  0.221056       0.434320                 NaN            NaN            NaN            NaN
  1401.49        2500.00        98.7287       0.178365       0.441369                 NaN            NaN  0.221358       0.430209                 NaN            NaN            NaN            NaN
  1400.28        2500.00        98.7415       0.172190       0.438311                 NaN            NaN  0.221654       0.426297                 NaN            NaN            NaN            NaN
  1399.06        2500.00        98.7095       0.409300       0.254286                 NaN            NaN  0.197588       0.429335                 NaN            NaN            NaN            NaN
  1397.85        2500.00        98.8151       0.452417       0.764667E-001            NaN            NaN  0.246672       0.409319                 NaN            NaN            NaN            NaN
  1396.64        2500.00        98.7813       0.428596       0.155167                 NaN            NaN  0.221601       0.413302                 NaN            NaN            NaN            NaN
  1395.42        2500.00        98.7916       0.149573       0.426203                 NaN            NaN  0.222287       0.410290                 NaN            NaN            NaN            NaN
  1394.21        2500.00        98.8056       0.422762       0.144403                 NaN            NaN  0.221730       0.405489                 NaN            NaN            NaN            NaN
  1393.00        2500.00        98.8162       0.420438       0.139224                 NaN            NaN  0.222018       0.402163                 NaN            NaN            NaN            NaN
  1391.79        2500.00        98.8274       0.133398       0.418181                 NaN            NaN  0.222336       0.398730                 NaN            NaN            NaN            NaN
  1390.57        2500.00        98.8374       0.129422       0.415031                 NaN            NaN  0.222814       0.395373                 NaN            NaN            NaN            NaN
  1389.36        2500.00        98.8514       0.124331       0.411977                 NaN            NaN  0.221773       0.390508                 NaN            NaN            NaN            NaN
  1388.15        2500.00        98.8602       0.410308       0.118993                 NaN            NaN  0.222555       0.387990                 NaN            NaN            NaN            NaN
  1386.93        2500.00        98.8714       0.114302       0.407444                 NaN            NaN  0.222520       0.384367                 NaN            NaN            NaN            NaN
  1385.72        2500.00        98.8813       0.110040       0.405130                 NaN            NaN  0.222616       0.380960                 NaN            NaN            NaN            NaN
  1384.51        2500.00        98.8926       0.402222       0.105297                 NaN            NaN  0.222520       0.377345                 NaN            NaN            NaN            NaN
  1383.29        2500.00        98.9026       0.400362       0.100563                 NaN            NaN  0.222382       0.374062                 NaN            NaN            NaN            NaN
  1382.08        2500.00        98.9124       0.398127       0.959919E-001            NaN            NaN  0.222557       0.370882                 NaN            NaN            NaN            NaN
  1380.87        2500.00        98.9221       0.919639E-001  0.396045                 NaN            NaN  0.222364       0.367543                 NaN            NaN            NaN            NaN
  1379.66        2500.00        98.9323       0.393502       0.876517E-001            NaN            NaN  0.222273       0.364302                 NaN            NaN            NaN            NaN
  1378.44        2500.00        98.9289       0.103617       0.390559                 NaN            NaN  0.212730       0.364150                 NaN            NaN            NaN            NaN
  1377.23        2500.00        98.9627       0.586125E-001  0.390998                 NaN            NaN  0.231927       0.355768                 NaN            NaN            NaN            NaN
  1376.02        2500.00        98.9603       0.759467E-001  0.387085                 NaN            NaN  0.221840       0.354819                 NaN            NaN            NaN            NaN
  1374.80        2500.00        98.9677       0.711191E-001  0.385779                 NaN            NaN  0.222549       0.352863                 NaN            NaN            NaN            NaN
  1373.59        2500.00        98.9786       0.691391E-001  0.383008                 NaN            NaN  0.220829       0.348410                 NaN            NaN            NaN            NaN
  1372.38        2500.00        98.9856       0.381517       0.650072E-001            NaN            NaN  0.221502       0.346348                 NaN            NaN            NaN            NaN
  1371.16        2500.00        98.9950       0.615289E-001  0.379317                 NaN            NaN  0.221036       0.343154                 NaN            NaN            NaN            NaN
  1369.95        2500.00        99.0026       0.377899       0.581831E-001            NaN            NaN  0.220825       0.340452                 NaN            NaN            NaN            NaN
  1368.74        2500.00        98.8678       0.436509       0.124186                 NaN            NaN  0.156663       0.357629       0.572023E-001            NaN            NaN            NaN
  1367.53        2500.00        98.6954       0.514684       0.206906                 NaN            NaN  0.744865E-001  0.379449       0.129026                 NaN            NaN            NaN
  1366.31        2500.00        98.6837       0.525593       0.211290                 NaN            NaN  0.637299E-001  0.378979       0.136724                 NaN            NaN            NaN
  1365.10        2500.00        98.6864       0.528381       0.212279                 NaN            NaN  0.565890E-001  0.375830       0.140542                 NaN            NaN            NaN
  1363.89        2500.00        98.6929       0.528323       0.211266                 NaN            NaN  0.522725E-001  0.372838       0.142399                 NaN            NaN            NaN
  1362.67        2500.00        98.7066       0.523801       0.208897                 NaN            NaN  0.498832E-001  0.368611       0.142254                 NaN            NaN            NaN
  1361.46        2500.00        98.7170       0.207430       0.521288                 NaN            NaN  0.466091E-001  0.364998       0.142704                 NaN            NaN            NaN
  1360.25        2500.00        98.7306       0.517344       0.205024                 NaN            NaN  0.440062E-001  0.360644       0.142403                 NaN            NaN            NaN
  1359.04        2500.00        98.7454       0.202677       0.511523                 NaN            NaN  0.425473E-001  0.356559       0.141298                 NaN            NaN            NaN
  1357.82        2500.00        98.7607       0.506014       0.199986                 NaN            NaN  0.409008E-001  0.352186       0.140260                 NaN            NaN            NaN
  1356.61        2500.00        98.7758       0.197020       0.500457                 NaN            NaN  0.397161E-001  0.347973       0.139069                 NaN            NaN            NaN
  1355.40        2500.00        98.7922       0.493592       0.194638                 NaN            NaN  0.385540E-001  0.343536       0.137459                 NaN            NaN            NaN
  1354.18        2500.00        98.8089       0.191228       0.487110                 NaN            NaN  0.378679E-001  0.339095       0.135848                 NaN            NaN            NaN
  1352.97        2500.00        98.8246       0.189137       0.480288                 NaN            NaN  0.368474E-001  0.334868       0.134219                 NaN            NaN            NaN
  1351.76        2500.00        98.8404       0.473619       0.187139                 NaN            NaN  0.356521E-001  0.330577       0.132579                 NaN            NaN            NaN
  1350.54        2500.00        98.8560       0.467137       0.184650                 NaN            NaN  0.348546E-001  0.326405       0.130943                 NaN            NaN            NaN
  1349.33        2500.00        98.8718       0.460371       0.182193                 NaN            NaN  0.341220E-001  0.322252       0.129227                 NaN            NaN            NaN
  1348.12        2500.00        98.8876       0.453183       0.180314                 NaN            NaN  0.333475E-001  0.318103       0.127451                 NaN            NaN            NaN
  1346.91        2500.00        98.9023       0.446576       0.179412                 NaN            NaN  0.319079E-001  0.313965       0.125853                 NaN            NaN            NaN
  1345.69        2500.00        98.9170       0.177507       0.440150                 NaN            NaN  0.310483E-001  0.310062       0.124214                 NaN            NaN            NaN
  1344.48        2500.00        98.9327       0.432742       0.175776                 NaN            NaN  0.303878E-001  0.306014       0.122397                 NaN            NaN            NaN
  1343.27        2500.00        98.9464       0.172735       0.427538                 NaN            NaN  0.300035E-001  0.302316       0.120991                 NaN            NaN            NaN
  1342.05        2500.00        98.9602       0.173824       0.420797                 NaN            NaN  0.275620E-001  0.298237       0.119418                 NaN            NaN            NaN
  1340.84        2500.00        98.9740       0.414744       0.171228                 NaN            NaN  0.274706E-001  0.294758       0.117815                 NaN            NaN            NaN
  1339.63        2500.00        98.9862       0.408264       0.172256                 NaN            NaN  0.254363E-001  0.291480       0.116383                 NaN            NaN            NaN
  1338.42        2500.00        99.0023       0.402314       0.168345                 NaN            NaN  0.255171E-001  0.286823       0.114720                 NaN            NaN            NaN
  1337.20        2500.00        99.0140       0.396005       0.169135                 NaN            NaN  0.237301E-001  0.283747       0.113344                 NaN            NaN            NaN
  1335.99        2500.00        99.0269       0.168620       0.389981                 NaN            NaN  0.223966E-001  0.280144       0.111929                 NaN            NaN            NaN
  1334.78        2500.00        99.0398       0.383561       0.167716                 NaN            NaN  0.216343E-001  0.276846       0.110483                 NaN            NaN            NaN
  1333.56        2500.00        99.0522       0.378090       0.167688                 NaN            NaN  0.197717E-001  0.273082       0.109136                 NaN            NaN            NaN
  1332.35        2500.00        99.0645       0.372312       0.166622                 NaN            NaN  0.190767E-001  0.269807       0.107666                 NaN            NaN            NaN
  1331.14        2500.00        99.0762       0.366542       0.166752                 NaN            NaN  0.176359E-001  0.266516       0.106361                 NaN            NaN            NaN
  1329.92        2500.00        99.0868       0.361352       0.167136                 NaN            NaN  0.158309E-001  0.263492       0.105348                 NaN            NaN            NaN
  1328.71        2500.00        99.1004       0.354525       0.166452                 NaN            NaN  0.152235E-001  0.259861       0.103541                 NaN            NaN            NaN
  1327.50        2500.00        99.1110       0.165468       0.349801                 NaN            NaN  0.143580E-001  0.256981       0.102405                 NaN            NaN            NaN
  1326.29        2500.00        99.1219       0.344021       0.167490                 NaN            NaN  0.118111E-001  0.253577       0.101246                 NaN            NaN            NaN
  1325.07        2500.00        99.1308       0.338515       0.167856                 NaN            NaN  0.111373E-001  0.251538       0.100163                 NaN            NaN            NaN
  1323.86        2500.00        99.1457       0.166421       0.333272                 NaN            NaN  0.922074E-002  0.246666       0.986992E-001            NaN            NaN            NaN
  1322.65        2500.00        99.1543       0.327892       0.167357                 NaN            NaN  0.819406E-002  0.244618       0.976837E-001            NaN            NaN            NaN
  1321.43        2500.00        99.1636       0.168960       0.322809                 NaN            NaN  0.616375E-002  0.241840       0.966457E-001            NaN            NaN            NaN
  1320.22        2500.00        99.1750       0.317579       0.167616                 NaN            NaN  0.567477E-002  0.238809       0.952968E-001            NaN            NaN            NaN
  1319.01        2500.00        99.1844       0.169470       0.312510                 NaN            NaN  0.346391E-002  0.235842       0.943505E-001            NaN            NaN            NaN
  1317.79        2500.00        99.1938       0.307498       0.170244                 NaN            NaN  0.196208E-002  0.233186       0.932701E-001            NaN            NaN            NaN
  1316.58        2500.00        99.2031       0.172077       0.302102                 NaN            NaN            NaN  0.230539       0.922206E-001            NaN            NaN            NaN
  1315.37        2500.00        99.2134       0.297870       0.169859                 NaN            NaN  0.130854E-003  0.227794       0.909827E-001            NaN            NaN            NaN
  1314.16        2500.00        99.2232       0.168425       0.293360                 NaN            NaN            NaN  0.225292       0.897392E-001            NaN            NaN            NaN
  1312.94        2500.00        99.2323       0.289156       0.167111                 NaN            NaN  0.997209E-006  0.222957       0.885022E-001            NaN            NaN            NaN
  1311.73        2500.00        99.2238       0.203417       0.261985                 NaN            NaN            NaN  0.226421       0.843607E-001            NaN            NaN            NaN
  1310.52        2500.00        99.2682       0.126484       0.303769                 NaN            NaN            NaN  0.212607       0.889263E-001            NaN            NaN            NaN
  1309.30        2500.00        99.2603       0.162699       0.276578                 NaN            NaN            NaN  0.215722       0.847066E-001            NaN            NaN            NaN
  1308.09        2500.00        99.2688       0.272747       0.161248                 NaN            NaN            NaN  0.213522       0.836845E-001            NaN            NaN            NaN
  1306.88        2500.00        99.2776       0.160330       0.268349                 NaN            NaN            NaN  0.211333       0.824084E-001            NaN            NaN            NaN
  1305.67        2500.00        99.2864       0.158614       0.264620                 NaN            NaN            NaN  0.209060       0.812654E-001            NaN            NaN            NaN
  1304.45        2500.00        99.2952       0.157194       0.260747                 NaN            NaN            NaN  0.206706       0.801570E-001            NaN            NaN            NaN
  1303.24        2500.00        99.3031       0.256700       0.156478                 NaN            NaN  0.552090E-005  0.204755       0.789221E-001            NaN            NaN            NaN
  1302.03        2500.00        99.3118       0.154921       0.253067                 NaN            NaN            NaN  0.202489       0.777432E-001            NaN            NaN            NaN
  1300.81        2500.00        99.3201       0.153475       0.249473                 NaN            NaN            NaN  0.200255       0.767261E-001            NaN            NaN            NaN
  1299.60        2500.00        99.3283       0.152472       0.245290                 NaN            NaN            NaN  0.198302       0.756360E-001            NaN            NaN            NaN
  1298.39        2500.00        99.3360       0.151424       0.242070                 NaN            NaN            NaN  0.196159       0.743074E-001            NaN            NaN            NaN
  1297.17        2500.00        99.3438       0.238074       0.150458                 NaN            NaN            NaN  0.194292       0.734198E-001            NaN            NaN            NaN
  1295.96        2500.00        83.6589        2.19539        1.63378                 NaN            NaN            NaN   2.18724       0.859606        9.46510                 NaN            NaN
  1294.75        2500.00        75.0374        3.15132        2.59399                 NaN            NaN            NaN   3.29202        1.24028        14.6850                 NaN            NaN
  1293.54        2500.00        80.4589        2.13753        2.41251                 NaN            NaN            NaN   2.60429       0.945690        11.4411                 NaN            NaN
  1292.32        2500.00        83.9684        1.82974        1.93932                 NaN            NaN            NaN   2.15684       0.758486        9.34725                 NaN            NaN
  1291.11        2500.00        85.9515        1.62205        1.68580                 NaN            NaN            NaN   1.90470       0.661616        8.17429                 NaN            NaN
  1289.90        2500.00        88.7692        1.30489        1.39331                 NaN            NaN            NaN   1.53547       0.509202        6.48790                 NaN            NaN
  1288.68        2500.00        88.9207        1.26452        1.40020                 NaN            NaN            NaN   1.52675       0.494025        6.39382                 NaN            NaN
  1287.47        2500.00        90.4595        1.17292        1.06964                 NaN            NaN            NaN   1.32455       0.458731        5.51463                 NaN            NaN
  1286.26        2500.00        89.5831       0.858697        1.91558                 NaN            NaN            NaN   1.39972       0.548535E-001   6.18806                 NaN            NaN
  1285.04        2500.00        95.1752       0.454212E-001  0.887241                 NaN            NaN            NaN  0.742198       0.631253        2.51873                 NaN            NaN
  1283.83        2500.00        93.1065        1.28373       0.259389                 NaN            NaN            NaN  0.970576       0.332544        4.04727                 NaN            NaN
  1282.62        2500.00        93.7862       0.450080        1.22629                 NaN            NaN            NaN  0.892294       0.247379        3.39777                 NaN            NaN
  1281.41        2500.00        93.9987       0.835738       0.637635                 NaN            NaN            NaN  0.855672       0.265151        3.40706                 NaN            NaN
  1280.19        2500.00        90.0768        1.72727       0.764856                 NaN            NaN            NaN   1.44514       0.355399        5.63056                 NaN            NaN
  1278.98        2500.00        97.8679       0.544422                 NaN            NaN            NaN            NaN  0.286923       0.168430        1.13231                 NaN            NaN
  1277.77        2500.00        95.5054       0.332389       0.401282                 NaN            NaN            NaN  0.654077       0.233978        2.87283                 NaN            NaN
  1276.55        2500.00        96.0163       0.491753       0.909076                 NaN            NaN            NaN  0.549170       0.765055E-001   1.95720                 NaN            NaN
  1275.34        2500.00        95.6156       0.501607       0.603271                 NaN            NaN            NaN  0.632968       0.185531        2.46102                 NaN            NaN
  1274.13        2500.00        93.8944        1.04360       0.222267                 NaN            NaN            NaN  0.875938       0.351478        3.61233                 NaN            NaN
  1272.92        2500.00        96.8383       0.259239       0.724933                 NaN            NaN            NaN  0.432073       0.115558        1.62987                 NaN            NaN
  1271.70        2500.00        96.8868       0.854690                 NaN            NaN            NaN            NaN  0.472288       0.719313E-001   1.71426                 NaN            NaN
  1270.49        2500.00        96.4360       0.906354                 NaN            NaN            NaN            NaN  0.540274       0.112306        2.00504                 NaN            NaN
  1269.28        2500.00        96.5239       0.257699       0.621600                 NaN            NaN            NaN  0.514993       0.134701        1.94706                 NaN            NaN
  1268.06        2500.00        97.4692       0.464714       0.652092E-001            NaN            NaN            NaN  0.371327       0.147040        1.48251                 NaN            NaN
  1266.85        2500.00        95.7342       0.262778       0.918587                 NaN            NaN            NaN  0.632620       0.130244        2.32158                 NaN            NaN
  1265.64        2500.00        96.8458       0.493963       0.299225                 NaN            NaN            NaN  0.465848       0.129080        1.76604                 NaN            NaN
  1264.42        2500.00        96.6774       0.321703       0.476152                 NaN            NaN            NaN  0.492805       0.145273        1.88665                 NaN            NaN
  1263.21        2500.00        97.5295       0.301286       0.257374                 NaN            NaN            NaN  0.365409       0.121925        1.42452                 NaN            NaN
  1262.00        2500.00        96.7542       0.570739       0.295806                 NaN            NaN            NaN  0.482274       0.124939        1.77209                 NaN            NaN
  1260.79        2500.00        96.5878       0.225133       0.491313                 NaN            NaN            NaN  0.498922       0.172350        2.02446                 NaN            NaN
  1259.57        2500.00        97.0214       0.132023       0.622814                 NaN            NaN            NaN  0.445436       0.115403        1.66288                 NaN            NaN
  1258.36        2500.00        98.7425       0.480018                 NaN            NaN            NaN            NaN  0.189177       0.119606E-001  0.576386                 NaN            NaN
  1257.15        2500.00        93.8934       0.742143       0.916675                 NaN            NaN            NaN  0.887481       0.765344E-001   3.48375                 NaN            NaN
  1255.93        2500.00        98.1175       0.340294                 NaN            NaN            NaN            NaN  0.275864       0.281926       0.984437                 NaN            NaN
  1254.72        2500.00        98.5649       0.630501E-001  0.513234E-002  0.213517                 NaN            NaN  0.229114                 NaN  0.924290                 NaN            NaN
  1253.51        2500.00        99.8616       0.548171E-001            NaN            NaN            NaN            NaN  0.146099E-001            NaN  0.689507E-001            NaN            NaN
  1252.30        2500.00        97.3420       0.379755       0.231835                 NaN            NaN            NaN  0.403078       0.159704        1.48363                 NaN            NaN
  1251.08        2500.00        98.3881       0.436489       0.825430E-001            NaN            NaN            NaN  0.241990       0.420661E-001  0.808814                 NaN            NaN
  1249.87        2500.00        91.4237       0.893180        1.42956                 NaN            NaN            NaN   1.26627       0.722090E-001   4.76918       0.145842                 NaN
  1248.66        2500.00        99.8887       0.524714E-001            NaN            NaN            NaN            NaN  0.396385E-001            NaN            NaN  0.191561E-001            NaN
  1247.44        2500.00        99.8591                 NaN            NaN            NaN            NaN            NaN  0.317495E-001            NaN  0.109112                 NaN            NaN
  1246.23        2500.00        99.9132       0.463218E-004            NaN            NaN            NaN            NaN            NaN  0.434701E-003  0.863420E-001            NaN            NaN
  1245.02        2500.00        98.5900       0.442687                 NaN            NaN            NaN            NaN  0.156473                 NaN  0.810886                 NaN            NaN
  1243.80        2500.00        98.2774       0.510984                 NaN            NaN            NaN            NaN  0.255085       0.670061E-002  0.949849                 NaN            NaN
  1242.59        2500.00        97.8111       0.487435                 NaN            NaN            NaN            NaN  0.340621       0.135328        1.21999       0.551145E-002            NaN
  1241.38        2500.00        97.3717       0.622649                 NaN            NaN            NaN            NaN  0.391150       0.102731        1.51174                 NaN            NaN
  1240.17        2500.00        98.6745       0.277268E-001  0.286818                 NaN            NaN            NaN  0.164530                 NaN  0.828914       0.175424E-001            NaN
  1238.95        2500.00        99.0376       0.287819                 NaN            NaN            NaN            NaN  0.150886       0.248869E-001  0.481807       0.170227E-001            NaN
  1237.74        2500.00        98.8518       0.184226       0.628016E-001  0.719036E-005            NaN            NaN  0.838111E-001            NaN  0.779086       0.383055E-001            NaN
  1236.53        2500.00        97.3485       0.108370       0.621068                 NaN            NaN            NaN  0.444967                 NaN   1.43117       0.459706E-001            NaN
  1235.31        2500.00        98.7659       0.459399                 NaN            NaN            NaN            NaN  0.160535                 NaN  0.608404       0.578417E-002            NaN
  1234.10        2500.00        93.6654       0.826722                 NaN            NaN            NaN            NaN  0.639436       0.420156E-001   2.76875       0.313060E-001   2.02641     
  1232.89        2500.00        93.9956       0.991454                 NaN            NaN            NaN            NaN  0.639101                 NaN   2.71016       0.573029E-001   1.60637     
  1231.67        2500.00        91.5883        1.18400       0.201537                 NaN            NaN            NaN  0.847272                 NaN   3.61492       0.703894E-001   2.49358     
  1230.46        2500.00        91.5306       0.293679       0.729839                 NaN            NaN            NaN  0.821047       0.225104        3.67049                 NaN   2.72926     
  1229.25        2500.00        91.5772       0.475794       0.528128                 NaN            NaN            NaN  0.823250       0.214673        3.67355                 NaN   2.70736     
  1228.04        2500.00        91.4044       0.167700       0.910926                 NaN            NaN            NaN  0.849537       0.168981        3.76005                 NaN   2.73845     
